Aaron Carter vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
475,Deoxys (Attack Forme),-25,66,-94,74,-75,72,30102
476,Deoxys (Defense Forme),-25,-44,46,-36,65,12,10342
477,Deoxys (Speed Forme),-25,-19,-24,-11,-5,102,12112
478,Turtwig,-20,-46,-50,-61,-40,-47,12546
479,Grotle,0,-25,-29,-51,-30,-42,6731
480,Torterra,20,-5,-9,-31,-10,-22,2051
481,Chimchar,-31,-56,-70,-48,-51,-17,14191
482,Monferno,-11,-36,-62,-28,-43,3,7903
483,Infernape,1,-10,-43,-2,-24,30,3430
484,Piplup,-22,-63,-61,-45,-39,-38,13164
485,Prinplup,-11,-48,-46,-25,-19,-28,6311
486,Empoleon,9,-28,-26,5,6,-18,1926
487,Starly,-35,-59,-84,-76,-65,-18,22087
488,Staravia,-20,-39,-64,-66,-55,2,13402
489,Staraptor,10,6,-44,-56,-35,22,6917
490,Bidoof,-16,-69,-74,-71,-55,-47,20768
491,Bibarel,4,-29,-54,-51,-35,-7,7648
492,Kricketot,-38,-89,-73,-81,-54,-53,26980
493,Kricketune,2,-29,-63,-51,-44,-13,9520
494,Shinx,-30,-49,-80,-66,-61,-33,18867
495,Luxio,-15,-29,-65,-46,-46,-18,9847
496,Luxray,5,6,-35,-11,-16,-8,1727
497,Budew,-35,-84,-79,-56,-25,-23,18812
498,Roserade,-15,-44,-49,19,10,12,5167
499,Cranidos,-8,11,-74,-76,-65,-20,16062
500,Rampardos,22,51,-54,-41,-45,-20,10107
501,Shieldon,-45,-72,4,-64,-7,-48,13674
502,Bastiodon,-15,-62,54,-59,43,-48,14619
503,Burmy,-35,-85,-69,-77,-50,-42,23404
504,Wormadam (Plant Cloak),-15,-55,-29,-27,10,-42,6684
505,Wormadam (Sandy Cloak),-15,-35,-9,-47,-10,-42,5604
506,Wormadam (Trash Cloak),-15,-45,-19,-37,0,-42,5744
507,Mothim,-5,-20,-64,-12,-45,-12,6834
508,Combee,-45,-84,-72,-76,-53,-8,22914
509,Vespiquen,-5,-34,-12,-26,7,-38,3494
510,Pachirisu,-15,-69,-44,-61,-5,17,10957
511,Buizel,-20,-49,-79,-46,-65,7,15432
512,Floatzel,10,-9,-59,-21,-45,37,7497
513,Cherubi,-30,-79,-69,-44,-42,-43,17451
514,Cherrim,-5,-54,-44,-19,-17,7,5576
515,Shellos,1,-66,-66,-49,-33,-44,14139
516,Gastrodon,36,-31,-46,-14,-13,-39,6259
517,Ambipom,0,-14,-48,-46,-29,37,6826
518,Drifloon,15,-64,-80,-46,-51,-8,15502
519,Drifblim,75,-34,-70,-16,-41,2,13622
520,Buneary,-20,-48,-70,-62,-39,7,13018
521,Lopunny,-10,-38,-30,-52,1,27,5878
522,Lopunny (Mega Lopunny),-10,22,-20,-52,1,57,6938
523,Mismagius,-15,-54,-54,-1,10,27,6887
524,Honchkrow,25,11,-62,-1,-43,-7,6489
525,Glameow,-26,-59,-72,-64,-58,7,16850
526,Purugly,-4,-32,-50,-42,-36,34,7756
527,Chingling,-30,-84,-64,-41,-45,-33,16847
528,Stunky,-12,-51,-67,-65,-54,-4,14391
529,Skuntank,28,-21,-47,-35,-34,6,5851
530,Bronzor,-18,-90,-28,-82,-9,-55,19038
531,Bronzong,-8,-25,2,-27,21,-45,3888
532,Bonsly,-25,-34,-19,-96,-50,-68,18482
533,Mime Jr.,-55,-89,-69,-36,-5,-18,17352
534,Happiny,25,-109,-109,-91,-30,-48,35872
535,Chatot,1,-49,-69,-14,-53,13,10337
536,Spiritomb,-25,-22,-6,-14,13,-43,3359
537,Gible,-17,-44,-69,-66,-50,-36,15138
538,Gabite,-7,-24,-49,-56,-40,4,7778
539,Garchomp,33,16,-19,-26,-10,24,3058
540,Garchomp (Mega Garchomp),33,56,1,14,0,14,4618
541,Munchlax,60,-29,-74,-66,-10,-73,19702
542,Riolu,-35,-44,-74,-71,-55,-18,17027
543,Lucario,-5,-4,-44,9,-25,12,2827
544,Lucario (Mega Lucario),-5,31,-26,34,-25,34,4599
545,Hippopotas,-7,-42,-36,-68,-53,-46,12658
546,Hippowdon,33,-2,4,-38,-23,-31,4043
547,Skorupi,-35,-64,-24,-76,-40,-13,13442
548,Drapion,-5,-24,-4,-46,-20,17,3422
549,Croagunk,-27,-53,-74,-45,-55,-28,14848
550,Toxicroak,8,-8,-49,-20,-30,7,3878
551,Carnivine,-1,-14,-42,-16,-23,-32,3770
552,Finneon,-26,-65,-58,-57,-34,-12,12814
553,Lumineon,-6,-45,-38,-37,-9,13,5124
554,Mantyke,-30,-94,-64,-46,25,-28,17357
555,Snover,-15,-52,-64,-44,-35,-38,11630
556,Abomasnow,15,-22,-39,-14,-10,-18,2850
557,Abomasnow (Mega Abomasnow),15,18,-9,26,10,-48,3710
558,Weavile,-5,6,-49,-61,-10,47,8492
559,Magnezone,-5,-44,1,24,-5,-18,2887
560,Lickilicky,35,-29,-19,-26,0,-28,3887
561,Rhyperior,40,26,16,-51,-40,-38,8177
562,Tangrowth,25,-14,11,4,-45,-28,3767
563,Electivire,0,9,-47,-11,-10,17,2800
564,Magmortar,0,-19,-47,19,0,5,2956
565,Togekiss,10,-64,-19,14,20,2,5157
566,Yanmega,11,-38,-28,10,-39,17,4259
567,Leafeon,-10,-4,16,-46,-30,17,3677
568,Glaceon,-10,-54,-4,24,0,-13,3777
569,Gliscor,0,-19,11,-61,-20,17,4892
570,Mamoswine,35,16,-34,-36,-35,2,5162
571,Porygon-Z,10,-34,-44,29,-20,12,4577
572,Gallade,-7,11,-49,-41,20,2,4656
573,Gallade (Mega Gallade),-7,51,-19,-41,20,32,6116
574,Probopass,-15,-59,31,-31,55,-38,10097
575,Dusknoir,-30,-14,21,-41,40,-33,5907
576,Froslass,-5,-34,-44,-26,-25,32,5442
577,Rotom,-25,-64,-37,-11,-18,13,6704
578,Rotom (Heat Rotom),-25,-49,-7,-1,12,8,3284
579,Rotom (Wash Rotom),-25,-49,-7,-1,12,8,3284
580,Rotom (Frost Rotom),-25,-49,-7,-1,12,8,3284
581,Rotom (Fan Rotom),-25,-49,-7,-1,12,8,3284
582,Rotom (Mow Rotom),-25,-49,-7,-1,12,8,3284
583,Uxie,0,-39,16,-31,35,17,4252
584,Mesprit,5,-9,-9,-1,10,2,292
585,Azelf,0,11,-44,19,-25,37,4412
586,Dialga,25,6,6,44,5,12,2802
587,Dialga (Origin Forme),25,-14,6,44,25,12,3562
588,Palkia,15,6,-14,44,25,22,3502
589,Palkia (Origin Forme),15,-14,-14,44,25,42,4942
590,Heatran,16,-24,-8,24,11,-1,1594
591,Regigigas,35,46,-4,-26,15,22,4742
592,Giratina (Altered Forme),75,-14,6,-6,25,12,6662
593,Giratina (Origin Forme),75,6,-14,14,5,12,6222
594,Cresselia,45,-44,6,-31,35,7,6232
595,Phione,5,-34,-34,-26,-15,2,3242
596,Manaphy,25,-14,-14,-6,5,22,1562
597,Darkrai,-5,-24,-24,29,-5,47,4252
598,Shaymin (Land Forme),25,-14,-14,-6,5,22,1562
599,Shaymin (Sky Forme),25,-11,-39,14,-20,49,5264
600,Arceus,45,6,6,14,25,42,4682
601,Victini,25,-14,-14,-6,5,22,1562
602,Snivy,-30,-69,-59,-61,-40,-15,14688
603,Servine,-15,-54,-39,-46,-20,5,7203
604,Serperior,0,-39,-19,-31,0,35,4068
605,Tepig,-10,-51,-69,-61,-50,-33,14772
606,Pignite,15,-21,-59,-36,-40,-23,7572
607,Emboar,35,9,-49,-6,-30,-13,4812
608,Oshawott,-20,-59,-69,-43,-50,-33,14080
609,Dewott,0,-39,-54,-23,-35,-18,6515
610,Samurott,20,-14,-29,2,-25,-8,2130
611,Samurott (Hisuian Samurott),15,-6,-34,-6,-30,7,2402
612,Patrat,-30,-59,-75,-71,-56,-36,19479
613,Watchog,-15,-29,-45,-46,-26,-1,5884
614,Lillipup,-30,-54,-69,-81,-50,-23,18167
615,Herdier,-10,-34,-49,-71,-30,-18,9922
616,Stoutland,10,-4,-24,-61,-5,2,4442
617,Purrloin,-34,-64,-77,-56,-58,-12,17825
618,Liepard,-11,-26,-64,-18,-45,28,8026
619,Pansage,-25,-61,-66,-53,-47,-14,13916
620,Simisage,0,-16,-51,-8,-32,23,4474
621,Pansear,-25,-61,-66,-53,-47,-14,13916
622,Simisear,0,-16,-51,-8,-32,23,4474
623,Panpour,-25,-61,-66,-53,-47,-14,13916
624,Simipour,0,-16,-51,-8,-32,23,4474
625,Munna,1,-89,-69,-39,-40,-54,18720
626,Musharna,41,-59,-29,1,0,-49,8405
627,Pidove,-25,-59,-64,-70,-65,-35,18552
628,Tranquill,-13,-37,-52,-56,-53,-13,10356
629,Unfezant,5,1,-34,-41,-40,15,4688
630,Blitzle,-30,-54,-82,-56,-63,-2,17649
631,Zebstrika,0,-14,-51,-26,-32,38,5941
632,Roggenrola,-20,-39,-29,-81,-70,-63,18192
633,Boldore,-5,-9,-9,-56,-55,-58,9712
634,Gigalith,10,21,16,-46,-15,-53,5947
635,Woobat,-10,-69,-71,-51,-52,-6,15243
636,Swoobat,-8,-57,-59,-29,-40,36,10531
637,Drilbur,-15,-29,-74,-76,-50,-10,14918
638,Excadrill,35,21,-54,-56,-30,10,8718
639,Audino,28,-54,-28,-46,-9,-28,7465
640,Audino (Mega Audino),28,-54,12,-26,31,-28,6265
641,Timburr,0,-34,-59,-81,-60,-43,16647
642,Gurdurr,10,-9,-29,-66,-45,-38,8847
643,Conkeldurr,30,26,-19,-51,-30,-33,6527
644,Tympole,-25,-64,-74,-56,-55,-14,16554
645,Palpitoad,0,-49,-59,-41,-40,-9,9244
646,Seismitoad,30,-19,-39,-21,-20,-4,3639
647,Throh,45,-14,-29,-76,-10,-33,10027
648,Sawk,0,11,-39,-76,-20,7,7867
649,Sewaddle,-30,-61,-44,-66,-35,-36,13434
650,Swadloon,-20,-51,-24,-56,-15,-36,8234
651,Leavanny,0,-11,-34,-36,-15,14,2994
652,Venipede,-45,-69,-55,-76,-56,-21,19164
653,Whirlipede,-35,-59,-15,-66,-16,-31,10504
654,Scolipede,-15,-14,-25,-51,-26,34,5479
655,Cottonee,-35,-87,-54,-69,-45,-12,18640
656,Whimsicott,-15,-47,-29,-29,-20,38,5960
657,Petilil,-30,-79,-64,-36,-45,-48,16862
658,Lilligant,-5,-54,-39,4,-20,12,5022
659,Lilligant (Hisuian Lilligant),-5,-9,-39,-56,-20,27,5892
660,Basculin,-5,-22,-49,-26,-40,20,5586
661,Sandile,-25,-42,-79,-71,-60,-13,17440
662,Krokorok,-15,-32,-69,-61,-50,-4,12247
663,Krookodile,20,3,-34,-41,-25,14,4067
664,Darumaka,-5,-24,-69,-91,-50,-28,16927
665,Darumaka (Galarian Darumaka),-5,-24,-69,-91,-50,-28,16927
666,Darmanitan (Standard Mode),30,26,-59,-76,-40,17,12722
667,Darmanitan (Zen Mode),30,-84,-9,34,10,-23,9822
668,Darmanitan (Galarian Standard Mode),30,26,-59,-76,-40,17,12722
669,Darmanitan (Galarian Zen Mode),30,46,-59,-76,-40,57,17122
670,Maractus,0,-28,-47,0,-28,-18,4101
671,Dwebble,-25,-49,-29,-71,-60,-23,13037
672,Crustle,-5,-9,11,-41,-20,-33,3397
673,Scraggy,-25,-39,-44,-71,-25,-30,10648
674,Scrafty,-10,-24,1,-61,20,-20,5198
675,Sigilyph,-3,-56,-34,-3,-15,19,4896
676,Yamask,-37,-84,-29,-51,-30,-48,15071
677,Yamask (Galarian Yamask),-37,-59,-29,-76,-30,-48,14671
678,Cofagrigus,-17,-64,31,-11,10,-48,7871
679,Tirtouga,-21,-36,-11,-53,-50,-56,10303
680,Carracosta,-1,-6,19,-23,-30,-46,3943
681,Archen,-20,-2,-69,-32,-50,-8,8753
682,Archeops,0,26,-49,6,-30,32,5037
683,Trubbish,-25,-64,-52,-66,-33,-13,13039
684,Garbodor,5,-19,-32,-46,-13,-3,3704
685,Zorua,-35,-49,-74,-26,-55,-13,12972
686,Zorua (Hisuian Zorua),-40,-54,-74,-21,-55,-8,13522
687,Zoroark,-15,-9,-54,14,-35,27,5372
688,Zoroark (Hisuian Zoroark),-20,-14,-54,19,-35,32,6122
689,Minccino,-20,-64,-74,-66,-55,-3,17362
690,Cinccino,0,-19,-54,-41,-35,37,7552
691,Gothita,-30,-84,-64,-51,-30,-33,16642
692,Gothorita,-15,-69,-44,-31,-10,-23,8512
693,Gothitelle,-5,-59,-19,-11,15,-13,4382
694,Solosis,-30,-84,-74,-1,-45,-58,18822
695,Duosion,-10,-74,-64,19,-35,-48,13562
696,Reuniclus,35,-49,-39,19,-10,-48,7912
697,Ducklett,-13,-70,-64,-62,-45,-23,15563
698,Swanna,0,-27,-51,-19,-32,20,5115
699,Vanillite,-39,-64,-64,-41,-35,-34,13775
700,Vanillish,-24,-49,-49,-26,-20,-19,6815
701,Vanilluxe,-4,-19,-29,4,0,1,1235
702,Deerling,-15,-54,-64,-66,-45,-3,13627
703,Sawsbuck,5,-14,-44,-46,-25,17,5187
704,Emolga,-20,-39,-54,-31,-35,25,7648
705,Karrablast,-25,-39,-69,-66,-50,-18,14087
706,Escavalier,-5,21,-9,-46,10,-58,6127
707,Foongus,-6,-59,-69,-51,-40,-63,16448
708,Amoonguss,39,-29,-44,-21,-15,-48,7268
709,Frillish,-20,-74,-64,-41,-10,-38,13197
710,Jellicent,25,-54,-44,-21,10,-18,6342
711,Alomomola,90,-39,-34,-66,-50,-13,17802
712,Joltik,-25,-67,-64,-49,-45,-13,13805
713,Galvantula,-5,-37,-54,-9,-35,30,6516
714,Ferroseed,-31,-64,-23,-82,-9,-68,17015
715,Ferrothorn,-1,-20,17,-52,21,-58,7199
716,Klink,-35,-59,-44,-61,-35,-48,13892
717,Klang,-15,-34,-19,-36,-10,-28,3922
718,Klinklang,-15,-14,1,-36,-10,12,1962
719,Tynamo,-40,-59,-74,-61,-55,-18,17627
720,Eelektrik,-10,-29,-44,-31,-25,-38,5907
721,Eelektross,10,1,-34,-1,-15,-28,2267
722,Elgyem,-20,-59,-59,-21,-40,-48,11707
723,Beheeyem,0,-39,-39,19,0,-38,4847
724,Litwick,-25,-84,-59,-41,-40,-58,17807
725,Lampent,-15,-74,-54,-11,-35,-23,10492
726,Chandelure,-15,-59,-24,39,-5,2,5832
727,Axew,-29,-27,-54,-76,-55,-21,13728
728,Fraxure,-9,3,-44,-66,-45,-11,8528
729,Haxorus,1,33,-24,-46,-25,19,4768
730,Cubchoo,-20,-44,-74,-46,-55,-38,14397
731,Beartic,20,16,-34,-36,-15,-28,4117
732,Cryogonal,5,-64,-64,-11,40,27,10667
733,Shelmet,-25,-74,-29,-66,-30,-53,15007
734,Accelgor,5,-44,-74,-6,-35,67,13187
735,Stunfisk,34,-48,-30,-25,4,-46,7117
736,Stunfisk (Galarian Stunfisk),34,-33,-15,-40,-11,-46,6307
737,Mienfoo,-30,-29,-64,-51,-45,-13,10632
738,Mienshao,-10,11,-54,-11,-35,27,5212
739,Druddigon,2,6,-24,-46,-5,-30,3657
740,Golett,-16,-40,-64,-71,-45,-43,14867
741,Golurk,14,10,-34,-51,-15,-23,4807
742,Pawniard,-30,-29,-44,-66,-55,-18,11382
743,Bisharp,-10,11,-14,-46,-25,-8,3222
744,Bouffalant,20,-4,-19,-66,0,-23,5662
745,Rufflet,-5,-31,-64,-69,-45,-18,12192
746,Braviary,25,9,-39,-49,-20,2,5032
747,Braviary (Hisuian Braviary),35,-31,-44,6,-25,-13,4952
748,Vullaby,-5,-59,-39,-61,-30,-18,9972
749,Mandibuzz,35,-49,-9,-51,0,2,6312
750,Heatmor,10,-17,-48,-1,-29,-13,3704
751,Durant,-17,-5,-2,-58,-47,31,6852
752,Deino,-23,-49,-64,-61,-45,-40,14372
753,Zweilous,-3,-29,-44,-41,-25,-20,5492
754,Hydreigon,17,-9,-24,19,-5,20,1732
755,Larvesta,-20,-29,-59,-56,-40,-18,9782
756,Volcarona,10,-54,-49,29,10,22,6842
757,Cobalion,16,-24,15,-16,-23,30,2742
758,Terrakion,16,15,-24,-34,-5,30,3138
759,Virizion,16,-24,-42,-16,34,30,4908
760,Tornadus (Incarnate Forme),4,1,-44,19,-15,33,3628
761,Tornadus (Therian Forme),4,-14,-34,4,-5,43,3258
762,Thundurus (Incarnate Forme),4,1,-44,19,-15,33,3628
763,Thundurus (Therian Forme),4,-9,-44,39,-15,23,4308
764,Reshiram,25,6,-14,44,25,12,3562
765,Zekrom,25,36,6,14,5,12,2322
766,Landorus (Incarnate Forme),14,11,-24,9,-15,23,1728
767,Landorus (Therian Forme),14,31,-24,-1,-15,13,2128
768,Kyurem,50,16,-24,24,-5,17,4222
769,Kyurem (Black Kyurem),50,56,-14,14,-5,17,6342
770,Kyurem (White Kyurem),50,6,-24,64,5,17,7522
771,Keldeo,16,-42,-24,23,-5,30,4050
772,Meloetta (Aria Forme),25,-37,-37,22,33,12,5080
773,Meloetta (Pirouette Forme),25,14,-24,-29,-18,50,5062
774,Genesect,-4,6,-19,14,0,21,1050
775,Chespin,-19,-53,-49,-58,-50,-40,13035
776,Quilladin,-14,-36,-19,-50,-37,-21,6163
777,Chesnaught,13,-7,8,-32,-20,-14,1902
778,Fennekin,-35,-69,-74,-44,-35,-18,14947
779,Braixen,-16,-55,-56,-16,-25,-5,7323
780,Delphox,0,-45,-42,8,5,26,4554
781,Froakie,-34,-58,-74,-44,-51,-7,14582
782,Frogadier,-21,-51,-62,-23,-39,19,9297
783,Greninja,-3,-19,-47,-3,-24,44,5100
784,Greninja (Ash-Greninja),-3,31,-47,47,-24,54,8880
785,Bunnelby,-37,-78,-76,-74,-59,-21,22627
786,Diggersby,10,-58,-37,-56,-18,0,8293
787,Fletchling,-30,-64,-71,-66,-57,-16,17898
788,Fletchinder,-13,-41,-59,-50,-43,6,9716
789,Talonflame,3,-33,-43,-32,-26,48,6951
790,Scatterbug,-37,-79,-74,-79,-70,-43,26076
791,Spewpa,-30,-92,-54,-79,-65,-49,25147
792,Vivillon,5,-62,-64,-16,-45,11,10367
793,Litleo,-13,-64,-56,-33,-41,-6,10207
794,Pyroar,11,-46,-42,3,-29,28,5635
795,Flabébé,-31,-76,-75,-45,-16,-36,15939
796,Floette,-21,-69,-67,-31,3,-26,11337
797,Florges,3,-49,-46,6,59,-3,8052
798,Skiddo,-9,-49,-66,-44,-38,-26,10894
799,Gogoat,48,-14,-52,-9,-14,-10,5581
800,Pancham,-8,-32,-52,-60,-47,-35,10826
801,Pangoro,20,10,-36,-37,-24,-20,4141
802,Furfrou,0,-34,-54,-41,-5,24,6354
803,Espurr,-13,-66,-60,-43,-35,-10,11299
804,Meowstic,-1,-66,-38,-23,-14,26,7202
805,Honedge,-30,-34,-14,-71,-58,-50,13157
806,Doublade,-16,-4,36,-61,-46,-43,9254
807,Aegislash (Shield Forme),-15,-64,26,-56,45,-18,10482
808,Aegislash (Blade Forme),-15,26,-64,34,-45,-18,8502
809,Spritzee,3,-62,-54,-43,-30,-55,12543
810,Aromatisse,26,-42,-42,-7,-6,-49,6690
811,Swirlix,-13,-66,-48,-47,-38,-29,11323
812,Slurpuff,7,-34,-28,-21,-20,-6,2866
813,Inkay,-22,-60,-61,-69,-49,-33,16056
814,Malamar,11,-22,-26,-38,-20,-5,3150
815,Binacle,-33,-62,-47,-67,-39,-28,13936
816,Barbaracle,-3,-9,1,-52,-9,-10,2976
817,Skrelp,-25,-54,-54,-46,-35,-48,12102
818,Dragalge,-10,-39,-24,-9,28,-34,4218
819,Clauncher,-25,-61,-52,-48,-32,-34,11534
820,Clawitzer,-4,-41,-26,14,-6,-19,2966
821,Helioptile,-31,-76,-81,-45,-52,-8,18091
822,Heliolisk,-13,-59,-62,3,-1,31,8465
823,Tyrunt,-17,-25,-37,-61,-50,-30,9404
824,Tyrantrum,7,7,5,-37,-36,-7,2837
825,Amaura,2,-55,-64,-39,-32,-32,10694
826,Aurorus,48,-37,-42,-7,-3,-20,5895
827,Sylveon,20,-49,-49,4,35,-18,6767
828,Hawlucha,3,-22,-39,-32,-32,40,5662
829,Dedenne,-8,-56,-57,-25,-28,23,8387
830,Carbink,-25,-64,36,-56,55,-28,12962
831,Goomy,-30,-64,-79,-51,-20,-38,15682
832,Sliggoo,-7,-39,-61,-23,18,-18,6468
833,Sliggoo (Hisuian Sliggoo),-17,-39,-31,-23,18,-38,5068
834,Goodra,15,-14,-44,4,55,2,5402
835,Goodra (Hisuian Goodra),5,-14,-14,4,55,-18,3782
836,Klefki,-18,-34,-23,-26,-8,-3,2758
837,Phantump,-32,-44,-66,-56,-35,-40,13277
838,Trevenant,10,-4,-38,-41,-13,-22,3894
839,Pumpkaboo (Small Size),-31,-48,-44,-62,-40,-22,11129
840,Pumpkaboo (Average Size),-26,-48,-44,-62,-40,-27,11089
841,Pumpkaboo (Large Size),-21,-48,-44,-62,-40,-32,11149
842,Pumpkaboo (Super Size),-16,-48,-44,-62,-40,-37,11309
843,Gourgeist (Small Size),-20,-29,8,-48,-20,21,4450
844,Gourgeist (Average Size),-10,-24,8,-48,-20,6,3480
845,Gourgeist (Large Size),0,-19,8,-48,-20,-9,3210
846,Gourgeist (Super Size),10,-14,8,-48,-20,-24,3640
847,Bergmite,-20,-45,-29,-74,-60,-50,14842
848,Avalugg,20,3,70,-62,-49,-50,14054
849,Avalugg (Hisuian Avalugg),20,13,70,-72,-59,-40,15734
850,Noibat,-35,-84,-79,-61,-55,-23,21797
851,Noivern,10,-44,-34,-9,-15,45,5523
852,Xerneas,51,17,-19,25,3,21,4326
853,Yveltal,51,17,-19,25,3,21,4326
854,Zygarde (50% Forme),33,-14,7,-25,0,17,2248
855,Zygarde (10% Forme),-21,-14,-43,-45,-10,37,5980
856,Zygarde (Complete Forme),141,-14,7,-15,0,7,20400
857,Diancie,-25,-14,36,-6,55,-28,5962
858,Diancie (Mega Diancie),-25,46,-4,54,15,32,6922
859,Hoopa (Hoopa Confined),5,-4,-54,44,35,-8,6182
860,Hoopa (Hoopa Unbound),5,46,-54,64,35,2,10382
861,Volcanion,5,-4,6,24,-5,-8,742
862,Rowlet,-7,-59,-59,-56,-45,-36,13468
863,Dartrix,3,-39,-39,-36,-25,-26,5648
864,Decidueye,3,-7,-39,-6,5,-8,1704
865,Decidueye (Hisuian Decidueye),13,-2,-34,-11,0,-18,1774
866,Litten,-30,-49,-74,-46,-55,-8,13982
867,Torracat,-10,-29,-64,-26,-45,12,7882
868,Incineroar,20,1,-24,-26,-5,-18,2002
869,Popplio,-25,-60,-60,-40,-39,-38,12390
870,Brionne,-15,-45,-45,-15,-14,-28,5480
871,Primarina,5,-40,-40,20,21,-18,4390
872,Pikipek,-40,-39,-84,-76,-65,-13,20347
873,Trumbeak,-20,-29,-64,-66,-45,-3,11727
874,Toucannon,5,6,-39,-31,-20,-18,3267
875,Yungoos,-27,-44,-84,-76,-65,-33,20811
876,Gumshoos,13,-4,-54,-51,-35,-33,8016
877,Grubbin,-28,-52,-69,-51,-50,-32,14374
878,Charjabug,-18,-32,-19,-51,-20,-42,6474
879,Vikavolt,2,-44,-24,39,-20,-35,5662
880,Crabrawler,-28,-32,-57,-64,-48,-15,11682
881,Crabominable,22,18,-37,-44,-28,-35,6122
882,Oricorio,0,-44,-44,-8,-25,15,4786
883,Cutiefly,-35,-69,-74,-51,-55,6,17124
884,Ribombee,-15,-59,-54,-11,-25,46,9484
885,Rockruff,-30,-49,-74,-76,-55,-18,17902
886,Lycanroc (Midday Form),0,1,-49,-51,-30,34,7059
887,Lycanroc (Midnight Form),10,1,-39,-51,-20,4,4639
888,Lycanroc (Dusk Form),0,3,-49,-51,-30,32,6935
889,Wishiwashi (Solo Form),-30,-94,-94,-81,-70,-38,31477
890,Wishiwashi (School Form),-30,26,16,34,40,-48,6892
891,Mareanie,-25,-61,-52,-63,-43,-33,13957
892,Toxapex,-25,-51,38,-53,47,-43,11537
893,Mudbray,-5,-14,-44,-61,-40,-33,8567
894,Mudsdale,25,11,-14,-51,-10,-43,5492
895,Dewpider,-37,-74,-62,-66,-23,-51,18175
896,Araquanid,-7,-44,-22,-56,37,-36,8270
897,Fomantis,-35,-59,-79,-56,-60,-43,19532
898,Lurantis,-5,-9,-24,-26,-5,-33,2472
899,Morelull,-35,-79,-59,-41,-20,-63,16997
900,Shiinotic,-15,-69,-34,-16,5,-48,8727
901,Salandit,-27,-70,-74,-35,-55,-1,15356
902,Salazzle,-7,-50,-54,5,-35,39,8236
903,Stufful,-5,-39,-64,-61,-45,-28,12172
904,Bewear,45,11,-34,-51,-35,-18,7452
905,Bounsweet,-33,-84,-76,-76,-57,-46,25062
906,Steenee,-23,-74,-66,-66,-47,-16,17182
907,Tsareena,-3,6,-16,-56,3,-6,3482
908,Comfey,-24,-62,-24,-24,15,22,6281
909,Oranguru,15,-54,-34,-16,15,-18,5102
910,Passimian,25,6,-24,-66,-35,2,6822
911,Wimpod,-50,-79,-74,-86,-65,2,25842
912,Golisopod,0,11,26,-46,-5,-38,4382
913,Sandygast,-20,-59,-34,-36,-50,-63,12802
914,Palossand,10,-39,-4,-6,-20,-43,3922
915,Pyukumuku,-20,-54,16,-76,35,-73,15902
916,Type: Null,20,-19,-19,-11,0,-19,1604
917,Silvally,20,-19,-19,-11,0,17,1532
918,Minior (Meteor Form),-15,-54,-14,-46,5,-18,5802
919,Minior (Core),-15,-14,-54,-6,-35,42,6362
920,Komala,-10,1,-49,-31,0,-13,3632
921,Turtonator,-15,-36,21,-15,-10,-42,4051
922,Togedemaru,-10,-16,-51,-66,-22,18,8121
923,Mimikyu,-20,-24,-34,-56,10,18,5692
924,Bruxish,-7,-9,-44,-36,-25,14,4183
925,Drampa,3,-54,-29,29,-4,-42,6387
926,Dhelmise,-5,17,-14,-20,-5,-38,2379
927,Jangmo-o,-30,-59,-49,-61,-50,-33,14092
928,Hakamo-o,-20,-39,-24,-41,-25,-13,4972
929,Kommo-o,0,-4,11,-6,10,7,322
930,Tapu Koko,-5,1,-29,-11,-20,52,4092
931,Tapu Lele,-5,-29,-39,24,20,17,3652
932,Tapu Bulu,-5,16,1,-21,0,-3,732
933,Tapu Fini,-5,-39,1,-11,35,7,2942
934,Cosmog,-32,-85,-83,-77,-64,-41,26844
935,Cosmoem,-32,-85,17,-77,36,-41,17444
936,Solgaleo,62,23,-7,7,-6,19,4868
937,Lunala,62,-1,-25,31,12,19,5936
938,Nihilego,34,-61,-67,21,36,25,11728
939,Buzzwole,32,25,25,-53,-42,1,6848
940,Pheromosa,-4,23,-77,31,-58,73,16128
941,Xurkitree,8,-25,-43,67,-24,5,7628
942,Celesteela,22,-13,-11,1,6,-17,1100
943,Kartana,-16,67,17,-47,-64,31,12300
944,Guzzlord,148,-13,-61,-9,-42,-35,28864
945,Necrozma,22,-7,-13,21,-6,1,1180
946,Necrozma (Dusk Mane Necrozma),22,43,13,7,14,-1,2748
947,Necrozma (Dawn Wings Necrozma),22,-1,-5,51,32,-1,4136
948,Necrozma (Ultra Necrozma),22,53,-17,61,2,51,9908
949,Magearna,5,-19,1,24,20,-13,1532
950,Marshadow,15,11,-34,-16,-5,47,3992
951,Poipole,-8,-41,-47,-33,-28,-5,5852
952,Naganadel,-2,-41,-41,21,-22,43,6140
953,Stakataka,-14,17,97,-53,6,-65,16964
954,Blacephalon,-22,13,-61,45,-16,29,7496
955,Zeraora,13,-2,-39,-4,-15,65,6160
956,Meltan,-29,-49,-49,-51,-60,-44,13780
957,Melmetal,60,29,29,-26,-30,-44,8794
958,Grookey,-25,-49,-64,-66,-55,-13,14672
959,Thwackey,-5,-29,-44,-51,-35,2,6632
960,Rillaboom,25,11,-24,-46,-25,7,4112
961,Scorbunny,-25,-43,-74,-66,-55,-9,15412
