Alexis Alms vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
493,Kricketune,-11,-3,-9,-5,-31,-26,1873
494,Shinx,-43,-23,-26,-20,-48,-46,7874
495,Luxio,-28,-3,-11,0,-33,-31,2964
496,Luxray,-8,32,19,35,-3,-21,3124
497,Budew,-48,-58,-25,-10,-12,-36,7833
498,Roserade,-28,-18,5,65,23,-1,5888
499,Cranidos,-21,37,-20,-30,-52,-33,6903
500,Rampardos,9,77,0,5,-32,-33,8148
501,Shieldon,-58,-46,58,-18,6,-61,12925
502,Bastiodon,-28,-36,108,-13,56,-61,20770
503,Burmy,-48,-59,-15,-31,-37,-55,11365
504,Wormadam (Plant Cloak),-28,-29,25,19,23,-55,6165
505,Wormadam (Sandy Cloak),-28,-9,45,-1,3,-55,5925
506,Wormadam (Trash Cloak),-28,-19,35,9,13,-55,5645
507,Mothim,-18,6,-10,34,-32,-25,3265
508,Combee,-58,-58,-18,-30,-40,-21,9993
509,Vespiquen,-18,-8,42,20,20,-51,5553
510,Pachirisu,-28,-43,10,-15,8,4,3038
511,Buizel,-33,-23,-25,0,-52,-6,4983
512,Floatzel,-3,17,-5,25,-32,24,2548
513,Cherubi,-43,-53,-15,2,-29,-56,8864
514,Cherrim,-18,-28,10,27,-4,-6,1989
515,Shellos,-12,-40,-12,-3,-20,-57,5546
516,Gastrodon,23,-5,8,32,0,-52,4346
517,Ambipom,-13,12,6,0,-16,24,1181
518,Drifloon,2,-38,-26,0,-38,-21,4009
519,Drifblim,62,-8,-16,30,-28,-11,5969
520,Buneary,-33,-22,-16,-16,-26,-6,2797
521,Lopunny,-23,-12,24,-6,14,14,1677
522,Lopunny (Mega Lopunny),-23,48,34,-6,14,44,6157
523,Mismagius,-28,-28,0,45,23,14,4318
524,Honchkrow,12,37,-8,45,-30,-20,4902
525,Glameow,-39,-33,-18,-18,-45,-6,5319
526,Purugly,-17,-6,4,4,-23,21,1327
527,Chingling,-43,-58,-10,5,-32,-46,8478
528,Stunky,-25,-25,-13,-19,-41,-17,3750
529,Skuntank,15,5,7,11,-21,-7,910
530,Bronzor,-31,-64,26,-36,4,-68,11669
531,Bronzong,-21,1,56,19,34,-58,8459
532,Bonsly,-38,-8,35,-50,-37,-81,13163
533,Mime Jr.,-68,-63,-15,10,8,-31,9943
534,Happiny,12,-83,-55,-45,-17,-61,16093
535,Chatot,-12,-23,-15,32,-40,0,3522
536,Spiritomb,-38,4,48,32,26,-56,8600
537,Gible,-30,-18,-15,-20,-37,-49,5619
538,Gabite,-20,2,5,-10,-27,-9,1339
539,Garchomp,20,42,35,20,3,11,3919
540,Garchomp (Mega Garchomp),20,82,55,60,13,1,13919
541,Munchlax,47,-3,-20,-20,3,-86,10423
542,Riolu,-48,-18,-20,-25,-42,-31,6378
543,Lucario,-18,22,10,55,-12,-1,4078
544,Lucario (Mega Lucario),-18,57,28,80,-12,21,11342
545,Hippopotas,-20,-16,18,-22,-40,-59,6545
546,Hippowdon,20,24,58,8,-10,-44,6440
547,Skorupi,-48,-38,30,-30,-27,-26,6953
548,Drapion,-18,2,50,0,-7,4,2893
549,Croagunk,-40,-27,-20,1,-42,-41,6175
550,Toxicroak,-5,18,5,26,-17,-6,1375
551,Carnivine,-14,12,12,30,-10,-45,3509
552,Finneon,-39,-39,-4,-11,-21,-25,4245
553,Lumineon,-19,-19,16,9,4,0,1075
554,Mantyke,-43,-68,-10,0,38,-41,9698
555,Snover,-28,-26,-10,2,-22,-51,4649
556,Abomasnow,2,4,15,32,3,-31,2239
557,Abomasnow (Mega Abomasnow),2,44,45,72,23,-61,13399
558,Weavile,-18,32,5,-15,3,34,2763
559,Magnezone,-18,-18,55,70,8,-31,9598
560,Lickilicky,22,-3,35,20,13,-41,3968
561,Rhyperior,27,52,70,-5,-27,-51,11688
562,Tangrowth,12,12,65,50,-32,-41,9718
563,Electivire,-13,35,7,35,3,4,2693
564,Magmortar,-13,7,7,65,13,-8,4725
565,Togekiss,-3,-38,35,60,33,-11,7488
566,Yanmega,-2,-12,26,56,-26,4,4652
567,Leafeon,-23,22,70,0,-17,4,6218
568,Glaceon,-23,-28,50,70,13,-26,9558
569,Gliscor,-13,7,65,-15,-7,4,4733
570,Mamoswine,22,42,20,10,-22,-11,3353
571,Porygon-Z,-3,-8,10,75,-7,-1,5848
572,Gallade,-20,37,5,5,33,-11,3029
573,Gallade (Mega Gallade),-20,77,35,5,33,19,9029
574,Probopass,-28,-33,85,15,68,-51,16548
575,Dusknoir,-43,12,75,5,53,-46,12568
576,Froslass,-18,-8,10,20,-12,19,1393
577,Rotom,-38,-38,17,35,-5,0,4427
578,Rotom (Heat Rotom),-38,-23,47,45,25,-5,6857
579,Rotom (Wash Rotom),-38,-23,47,45,25,-5,6857
580,Rotom (Frost Rotom),-38,-23,47,45,25,-5,6857
581,Rotom (Fan Rotom),-38,-23,47,45,25,-5,6857
582,Rotom (Mow Rotom),-38,-23,47,45,25,-5,6857
583,Uxie,-13,-13,70,15,48,4,7783
584,Mesprit,-8,17,45,45,23,-11,5053
585,Azelf,-13,37,10,65,-12,24,6583
586,Dialga,12,32,60,90,18,-1,13193
587,Dialga (Origin Forme),12,12,60,90,38,-1,13433
588,Palkia,2,32,40,90,38,9,12253
589,Palkia (Origin Forme),2,12,40,90,38,29,12133
590,Heatran,3,2,46,70,24,-14,7801
591,Regigigas,22,72,50,20,28,9,9433
592,Giratina (Altered Forme),62,12,60,40,38,-1,10633
593,Giratina (Origin Forme),62,32,40,60,18,-1,10393
594,Cresselia,32,-18,60,15,48,-6,7513
595,Phione,-8,-8,20,20,-2,-11,1053
596,Manaphy,12,12,40,40,18,9,3893
597,Darkrai,-18,2,30,75,8,34,8073
598,Shaymin (Land Forme),12,12,40,40,18,9,3893
599,Shaymin (Sky Forme),12,15,15,60,-7,36,5539
600,Arceus,32,32,60,60,38,29,11533
601,Victini,12,12,40,40,18,9,3893
602,Snivy,-43,-43,-5,-15,-27,-28,5461
603,Servine,-28,-28,15,0,-7,-8,1906
604,Serperior,-13,-13,35,15,13,22,2441
605,Tepig,-23,-25,-15,-15,-37,-46,5089
606,Pignite,2,5,-5,10,-27,-36,2179
607,Emboar,22,35,5,40,-17,-26,4299
608,Oshawott,-33,-33,-15,3,-37,-46,5897
609,Dewott,-13,-13,0,23,-22,-31,2312
610,Samurott,7,12,25,48,-12,-21,3707
611,Samurott (Hisuian Samurott),2,20,20,40,-17,-6,2729
612,Patrat,-43,-33,-21,-25,-43,-49,8254
613,Watchog,-28,-3,9,0,-13,-14,1239
614,Lillipup,-43,-28,-15,-35,-37,-36,6748
615,Herdier,-23,-8,5,-25,-17,-31,2493
616,Stoutland,-3,22,30,-15,8,-11,1803
617,Purrloin,-47,-38,-23,-10,-45,-25,6932
618,Liepard,-24,0,-10,28,-32,15,2709
619,Pansage,-38,-35,-12,-7,-34,-27,4747
620,Simisage,-13,10,3,38,-19,10,2183
621,Pansear,-38,-35,-12,-7,-34,-27,4747
622,Simisear,-13,10,3,38,-19,10,2183
623,Panpour,-38,-35,-12,-7,-34,-27,4747
624,Simipour,-13,10,3,38,-19,10,2183
625,Munna,-12,-63,-15,7,-27,-67,9605
626,Musharna,28,-33,25,47,13,-62,8720
627,Pidove,-38,-33,-10,-24,-52,-48,8217
628,Tranquill,-26,-11,2,-10,-40,-26,3177
629,Unfezant,-8,27,20,5,-27,2,1951
630,Blitzle,-43,-28,-28,-10,-50,-15,6242
631,Zebstrika,-13,12,3,20,-19,25,1708
632,Roggenrola,-33,-13,25,-35,-57,-76,12133
633,Boldore,-18,17,45,-10,-42,-71,9543
634,Gigalith,-3,47,70,0,-2,-66,11478
635,Woobat,-23,-43,-17,-5,-39,-19,4574
636,Swoobat,-21,-31,-5,17,-27,23,2974
637,Drilbur,-28,-3,-20,-30,-37,-23,3991
638,Excadrill,22,47,0,-10,-17,-3,3091
639,Audino,15,-28,26,0,4,-41,3382
640,Audino (Mega Audino),15,-28,66,20,44,-41,9382
641,Timburr,-13,-8,-5,-35,-47,-56,6828
642,Gurdurr,-3,17,25,-20,-32,-51,4948
643,Conkeldurr,17,52,35,-5,-17,-46,6648
644,Tympole,-38,-38,-20,-10,-42,-27,5881
645,Palpitoad,-13,-23,-5,5,-27,-22,1961
646,Seismitoad,17,7,15,25,-7,-17,1526
647,Throh,32,12,25,-30,3,-46,4818
648,Sawk,-13,37,15,-30,-7,-6,2748
649,Sewaddle,-43,-35,10,-20,-22,-49,6459
650,Swadloon,-33,-25,30,-10,-2,-49,5119
651,Leavanny,-13,15,20,10,-2,1,899
652,Venipede,-58,-43,-1,-30,-43,-34,9119
653,Whirlipede,-48,-33,39,-20,-3,-44,7259
654,Scolipede,-28,12,29,-5,-13,21,2404
655,Cottonee,-48,-61,0,-23,-32,-25,8203
656,Whimsicott,-28,-21,25,17,-7,25,2813
657,Petilil,-43,-53,-10,10,-32,-61,9603
658,Lilligant,-18,-28,15,50,-7,-1,3883
659,Lilligant (Hisuian Lilligant),-18,17,15,-10,-7,14,1183
660,Basculin,-18,4,5,20,-27,7,1543
661,Sandile,-38,-16,-25,-25,-47,-26,5835
662,Krokorok,-28,-6,-15,-15,-37,-17,2928
663,Krookodile,7,29,20,5,-12,1,1460
664,Darumaka,-18,2,-15,-45,-37,-41,5628
665,Darumaka (Galarian Darumaka),-18,2,-15,-45,-37,-41,5628
666,Darmanitan (Standard Mode),17,52,-5,-30,-27,4,4663
667,Darmanitan (Zen Mode),17,-58,45,80,23,-36,13903
668,Darmanitan (Galarian Standard Mode),17,52,-5,-30,-27,4,4663
669,Darmanitan (Galarian Zen Mode),17,72,-5,-30,-27,44,9063
670,Maractus,-13,-2,7,46,-15,-31,3524
671,Dwebble,-38,-23,25,-25,-47,-36,6728
672,Crustle,-18,17,65,5,-7,-46,7028
673,Scraggy,-38,-13,10,-25,-12,-43,4331
674,Scrafty,-23,2,55,-15,33,-33,5961
675,Sigilyph,-16,-30,20,43,-2,6,3445
676,Yamask,-50,-58,25,-5,-17,-61,10524
677,Yamask (Galarian Yamask),-50,-33,25,-30,-17,-61,9124
678,Cofagrigus,-30,-38,85,35,23,-61,15044
679,Tirtouga,-34,-10,43,-7,-37,-69,9284
680,Carracosta,-14,20,73,23,-17,-59,10224
681,Archen,-33,24,-15,14,-37,-21,3896
682,Archeops,-13,52,5,52,-17,19,6252
683,Trubbish,-38,-38,2,-20,-20,-26,4368
684,Garbodor,-8,7,22,0,0,-16,853
685,Zorua,-48,-23,-20,20,-42,-26,6073
686,Zorua (Hisuian Zorua),-53,-28,-20,25,-42,-21,6823
687,Zoroark,-28,17,0,60,-22,14,5353
688,Zoroark (Hisuian Zoroark),-33,12,0,65,-22,19,6303
689,Minccino,-33,-38,-20,-20,-42,-16,5353
690,Cinccino,-13,7,0,5,-22,24,1303
691,Gothita,-43,-58,-10,-5,-17,-46,7743
692,Gothorita,-28,-43,10,15,3,-36,4263
693,Gothitelle,-18,-33,35,35,28,-26,5323
694,Solosis,-43,-58,-20,45,-32,-71,13703
695,Duosion,-23,-48,-10,65,-22,-61,11363
696,Reuniclus,22,-23,15,65,3,-61,9193
697,Ducklett,-26,-44,-10,-16,-32,-36,5288
698,Swanna,-13,-1,3,27,-19,7,1318
699,Vanillite,-52,-38,-10,5,-22,-47,6966
700,Vanillish,-37,-23,5,20,-7,-32,3396
701,Vanilluxe,-17,7,25,50,13,-12,3776
702,Deerling,-28,-28,-10,-20,-32,-16,3348
703,Sawsbuck,-8,12,10,0,-12,4,468
704,Emolga,-33,-13,0,15,-22,12,2111
705,Karrablast,-38,-13,-15,-20,-37,-31,4568
706,Escavalier,-18,47,45,0,23,-71,10128
707,Foongus,-19,-33,-15,-5,-27,-76,8205
708,Amoonguss,26,-3,10,25,-2,-61,5135
709,Frillish,-33,-48,-10,5,3,-51,6128
710,Jellicent,12,-28,10,25,23,-31,3143
711,Alomomola,77,-13,20,-20,-37,-26,8943
712,Joltik,-38,-41,-10,-3,-32,-26,4934
713,Galvantula,-18,-11,0,37,-22,17,2587
714,Ferroseed,-44,-38,31,-36,4,-81,12214
715,Ferrothorn,-14,6,71,-6,34,-71,11506
716,Klink,-48,-33,10,-15,-22,-61,7923
717,Klang,-28,-8,35,10,3,-41,3863
718,Klinklang,-28,12,55,10,3,-1,4063
719,Tynamo,-53,-33,-20,-15,-42,-31,7248
720,Eelektrik,-23,-3,10,15,-12,-51,3608
721,Eelektross,-3,27,20,45,-2,-41,4848
722,Elgyem,-33,-33,-5,25,-27,-61,7278
723,Beheeyem,-13,-13,15,65,13,-51,7558
724,Litwick,-38,-58,-5,5,-27,-71,10628
725,Lampent,-28,-48,0,35,-22,-36,6093
726,Chandelure,-28,-33,30,85,8,-11,10183
727,Axew,-42,-1,0,-30,-42,-34,5585
728,Fraxure,-22,29,10,-20,-32,-24,3425
729,Haxorus,-12,59,30,0,-12,6,4705
730,Cubchoo,-33,-18,-20,0,-42,-51,6178
731,Beartic,7,42,20,10,-2,-41,3998
732,Cryogonal,-8,-38,-10,35,53,14,5838
733,Shelmet,-38,-48,25,-20,-17,-66,9418
734,Accelgor,-8,-18,-20,40,-22,54,5788
735,Stunfisk,21,-22,24,21,17,-59,5712
736,Stunfisk (Galarian Stunfisk),21,-7,39,6,2,-59,5532
737,Mienfoo,-43,-3,-10,-5,-32,-26,3683
738,Mienshao,-23,37,0,35,-22,14,3803
739,Druddigon,-11,32,30,0,8,-43,3958
740,Golett,-29,-14,-10,-25,-32,-56,5922
741,Golurk,1,36,20,-5,-2,-36,3022
742,Pawniard,-43,-3,10,-20,-42,-31,5083
743,Bisharp,-23,37,40,0,-12,-21,4083
744,Bouffalant,7,22,35,-20,13,-36,3623
745,Rufflet,-18,-5,-10,-23,-32,-31,2963
746,Braviary,12,35,15,-3,-7,-11,1773
747,Braviary (Hisuian Braviary),22,-5,10,52,-12,-26,4133
748,Vullaby,-18,-33,15,-15,-17,-31,3113
749,Mandibuzz,22,-23,45,-5,13,-11,3353
750,Heatmor,-3,9,6,45,-16,-26,3083
751,Durant,-30,21,52,-12,-34,18,5669
752,Deino,-36,-23,-10,-15,-32,-53,5983
753,Zweilous,-16,-3,10,5,-12,-33,1623
754,Hydreigon,4,17,30,65,8,7,5543
755,Larvesta,-33,-3,-5,-10,-27,-31,2913
756,Volcarona,-3,-28,5,75,23,9,7053
757,Cobalion,3,2,69,30,-10,17,6063
758,Terrakion,3,41,30,12,8,17,3087
759,Virizion,3,2,12,30,47,17,3555
760,Tornadus (Incarnate Forme),-9,27,10,65,-2,20,5539
761,Tornadus (Therian Forme),-9,12,20,50,8,30,4089
762,Thundurus (Incarnate Forme),-9,27,10,65,-2,20,5539
763,Thundurus (Therian Forme),-9,17,10,85,-2,10,7799
764,Reshiram,12,32,40,90,38,-1,12313
765,Zekrom,12,62,60,60,18,-1,11513
766,Landorus (Incarnate Forme),1,37,30,55,-2,10,5399
767,Landorus (Therian Forme),1,57,30,45,-2,0,6179
768,Kyurem,37,42,30,70,8,4,9013
769,Kyurem (Black Kyurem),37,82,40,60,8,4,13373
770,Kyurem (White Kyurem),37,32,30,110,18,4,15733
771,Keldeo,3,-16,30,69,8,17,6279
772,Meloetta (Aria Forme),12,-11,17,68,46,-1,7295
773,Meloetta (Pirouette Forme),12,40,30,17,-5,37,4327
774,Genesect,-17,32,35,60,13,8,6371
775,Chespin,-32,-27,5,-12,-37,-53,6100
776,Quilladin,-27,-10,35,-4,-24,-34,3802
777,Chesnaught,0,19,62,14,-7,-27,5179
778,Fennekin,-48,-43,-20,2,-22,-31,6002
779,Braixen,-29,-29,-2,30,-12,-18,3054
780,Delphox,-13,-19,12,54,18,13,4083
781,Froakie,-47,-32,-20,2,-38,-20,5481
782,Frogadier,-34,-25,-8,23,-26,6,3086
783,Greninja,-16,7,7,43,-11,31,3285
784,Greninja (Ash-Greninja),-16,57,7,93,-11,41,14005
785,Bunnelby,-50,-52,-22,-28,-46,-34,9744
786,Diggersby,-3,-32,17,-10,-5,-13,1616
787,Fletchling,-43,-38,-17,-20,-44,-29,6759
788,Fletchinder,-26,-15,-5,-4,-30,-7,1891
789,Talonflame,-10,-7,11,14,-13,35,1860
790,Scatterbug,-50,-53,-20,-33,-57,-56,13183
791,Spewpa,-43,-66,0,-33,-52,-62,13842
792,Vivillon,-8,-36,-10,30,-32,-2,3388
793,Litleo,-26,-38,-2,13,-28,-19,3438
794,Pyroar,-2,-20,12,49,-16,15,3430
795,Flabébé,-44,-50,-21,1,-3,-49,7288
796,Floette,-34,-43,-13,15,16,-39,5176
797,Florges,-10,-23,8,52,72,-16,8837
798,Skiddo,-22,-23,-12,2,-25,-39,3307
799,Gogoat,35,12,2,37,-1,-23,3272
800,Pancham,-21,-6,2,-14,-34,-48,4137
801,Pangoro,7,36,18,9,-11,-33,2960
802,Furfrou,-13,-8,0,5,8,11,443
803,Espurr,-26,-40,-6,3,-22,-23,3334
804,Meowstic,-14,-40,16,23,-1,13,2751
805,Honedge,-43,-8,40,-25,-45,-63,10132
806,Doublade,-29,22,90,-15,-33,-56,13875
807,Aegislash (Shield Forme),-28,-38,80,-10,58,-31,13053
808,Aegislash (Blade Forme),-28,52,-10,80,-32,-31,11973
809,Spritzee,-10,-36,0,3,-17,-68,6318
810,Aromatisse,13,-16,12,39,7,-62,5983
811,Swirlix,-26,-40,6,-1,-25,-42,4702
812,Slurpuff,-6,-8,26,25,-7,-19,1811
813,Inkay,-35,-34,-7,-23,-36,-46,6371
814,Malamar,-2,4,28,8,-7,-18,1241
815,Binacle,-46,-36,7,-21,-26,-41,6259
816,Barbaracle,-16,17,55,-6,4,-23,4151
817,Skrelp,-38,-28,0,0,-22,-61,6433
818,Dragalge,-23,-13,30,37,41,-47,6857
819,Clauncher,-38,-35,2,-2,-19,-47,5247
820,Clawitzer,-17,-15,28,60,7,-32,5971
821,Helioptile,-44,-50,-27,1,-39,-21,7128
822,Heliolisk,-26,-33,-8,49,12,18,4698
823,Tyrunt,-30,1,17,-15,-37,-43,4633
824,Tyrantrum,-6,33,59,9,-23,-20,5616
825,Amaura,-11,-29,-10,7,-19,-45,3497
826,Aurorus,35,-11,12,39,10,-33,4200
827,Sylveon,7,-23,5,50,48,-31,6368
828,Hawlucha,-10,4,15,14,-19,27,1627
829,Dedenne,-21,-30,-3,21,-15,10,2116
830,Carbink,-38,-38,90,-10,68,-41,17393
831,Goomy,-43,-38,-25,-5,-7,-51,6593
832,Sliggoo,-20,-13,-7,23,31,-31,3069
833,Sliggoo (Hisuian Sliggoo),-30,-13,23,23,31,-51,5689
834,Goodra,2,12,10,50,68,-11,7493
835,Goodra (Hisuian Goodra),-8,12,40,50,68,-31,9893
836,Klefki,-31,-8,31,20,5,-16,2667
837,Phantump,-45,-18,-12,-10,-22,-53,5886
838,Trevenant,-3,22,16,5,0,-35,1999
839,Pumpkaboo (Small Size),-44,-22,10,-16,-27,-35,4730
840,Pumpkaboo (Average Size),-39,-22,10,-16,-27,-40,4690
841,Pumpkaboo (Large Size),-34,-22,10,-16,-27,-45,4750
842,Pumpkaboo (Super Size),-29,-22,10,-16,-27,-50,4910
843,Gourgeist (Small Size),-33,-3,62,-2,-7,8,5059
844,Gourgeist (Average Size),-23,2,62,-2,-7,-7,4479
845,Gourgeist (Large Size),-13,7,62,-2,-7,-22,4599
846,Gourgeist (Super Size),-3,12,62,-2,-7,-37,5419
847,Bergmite,-33,-19,25,-28,-47,-63,9037
848,Avalugg,7,29,124,-16,-36,-63,21787
849,Avalugg (Hisuian Avalugg),7,39,124,-26,-46,-53,22547
850,Noibat,-48,-58,-25,-15,-42,-36,9578
851,Noivern,-3,-18,20,37,-2,32,3130
852,Xerneas,38,43,35,71,16,8,9879
853,Yveltal,38,43,35,71,16,8,9879
854,Zygarde (50% Forme),20,12,61,21,13,4,4891
855,Zygarde (10% Forme),-34,12,11,1,3,24,2007
856,Zygarde (Complete Forme),128,12,61,31,13,-6,21415
857,Diancie,-38,12,90,40,68,-41,17593
858,Diancie (Mega Diancie),-38,72,50,100,28,19,20273
859,Hoopa (Hoopa Confined),-8,22,0,90,48,-21,11393
860,Hoopa (Hoopa Unbound),-8,72,0,110,48,-11,19773
861,Volcanion,-8,22,60,70,8,-21,9553
862,Rowlet,-20,-33,-5,-10,-32,-49,5039
863,Dartrix,-10,-13,15,10,-12,-39,2259
864,Decidueye,-10,19,15,40,18,-21,3051
865,Decidueye (Hisuian Decidueye),0,24,20,35,13,-31,3331
866,Litten,-43,-23,-20,0,-42,-21,4983
867,Torracat,-23,-3,-10,20,-32,-1,2063
868,Incineroar,7,27,30,20,8,-31,3103
869,Popplio,-38,-34,-6,6,-26,-51,5949
870,Brionne,-28,-19,9,31,-1,-41,3869
871,Primarina,-8,-14,14,66,34,-31,6929
872,Pikipek,-53,-13,-30,-30,-52,-26,8158
873,Trumbeak,-33,-3,-10,-20,-32,-16,2878
874,Toucannon,-8,32,15,15,-7,-31,2548
875,Yungoos,-40,-18,-30,-30,-52,-46,8544
876,Gumshoos,0,22,0,-5,-22,-46,3109
877,Grubbin,-41,-26,-15,-5,-37,-45,6001
878,Charjabug,-31,-6,35,-5,-7,-55,5321
879,Vikavolt,-11,-18,30,85,-7,-48,10923
880,Crabrawler,-41,-6,-3,-18,-35,-28,4059
881,Crabominable,9,44,17,2,-15,-48,4839
882,Oricorio,-13,-18,10,38,-12,2,2185
883,Cutiefly,-48,-43,-20,-5,-42,-7,6391
884,Ribombee,-28,-33,0,35,-12,33,4331
885,Rockruff,-43,-23,-20,-30,-42,-31,6403
886,Lycanroc (Midday Form),-13,27,5,-5,-17,21,1678
887,Lycanroc (Midnight Form),-3,27,15,-5,-7,-9,1118
888,Lycanroc (Dusk Form),-13,29,5,-5,-17,19,1710
889,Wishiwashi (Solo Form),-43,-68,-40,-35,-57,-51,15148
890,Wishiwashi (School Form),-43,52,70,80,53,-61,22383
891,Mareanie,-38,-35,2,-17,-30,-46,5978
892,Toxapex,-38,-25,92,-7,60,-56,17318
893,Mudbray,-18,12,10,-15,-27,-46,3638
894,Mudsdale,12,37,40,-5,3,-56,6283
895,Dewpider,-50,-48,-8,-20,-10,-64,9464
896,Araquanid,-20,-18,32,-10,50,-49,6749
897,Fomantis,-48,-33,-25,-10,-47,-56,9463
898,Lurantis,-18,17,30,20,8,-46,4093
899,Morelull,-48,-53,-5,5,-7,-76,10988
900,Shiinotic,-28,-43,20,30,18,-61,7978
901,Salandit,-40,-44,-20,11,-42,-14,6017
902,Salazzle,-20,-24,0,51,-22,26,4737
903,Stufful,-18,-13,-10,-15,-32,-41,3523
904,Bewear,32,37,20,-5,-22,-31,4263
905,Bounsweet,-46,-58,-22,-30,-44,-59,12281
906,Steenee,-36,-48,-12,-20,-34,-29,6141
907,Tsareena,-16,32,38,-10,16,-19,3441
908,Comfey,-37,-36,30,22,28,9,4914
909,Oranguru,2,-28,20,30,28,-31,3833
910,Passimian,12,32,30,-20,-22,-11,3073
911,Wimpod,-63,-53,-20,-40,-52,-11,11603
912,Golisopod,-13,37,80,0,8,-51,10603
913,Sandygast,-33,-33,20,10,-37,-76,9823
914,Palossand,-3,-13,50,40,-7,-56,7463
915,Pyukumuku,-33,-28,70,-30,48,-86,17373
916,Type: Null,7,7,35,35,13,-32,3741
917,Silvally,7,7,35,35,13,4,2733
918,Minior (Meteor Form),-28,-28,40,0,18,-31,4453
919,Minior (Core),-28,12,0,40,-22,29,3853
920,Komala,-23,27,5,15,13,-26,2353
921,Turtonator,-28,-10,75,31,3,-55,10504
922,Togedemaru,-23,10,3,-20,-9,5,1144
923,Mimikyu,-33,2,20,-10,23,5,2147
924,Bruxish,-20,17,10,10,-12,1,1034
925,Drampa,-10,-28,25,75,9,-55,10240
926,Dhelmise,-18,43,40,26,8,-51,7114
927,Jangmo-o,-43,-33,5,-15,-37,-46,6673
928,Hakamo-o,-33,-13,30,5,-12,-26,3003
929,Kommo-o,-13,22,65,40,23,-6,7043
930,Tapu Koko,-18,27,25,35,-7,39,4473
931,Tapu Lele,-18,-3,15,70,33,4,6563
932,Tapu Bulu,-18,42,55,25,13,-16,6163
933,Tapu Fini,-18,-13,55,35,48,-6,7083
934,Cosmog,-45,-59,-29,-31,-51,-54,12825
935,Cosmoem,-45,-59,71,-31,49,-54,16825
936,Solgaleo,49,49,47,53,7,6,9905
937,Lunala,49,25,29,77,25,6,10457
938,Nihilego,21,-35,-13,67,49,12,8869
939,Buzzwole,19,51,79,-7,-29,-12,10237
940,Pheromosa,-17,49,-23,77,-45,60,14773
941,Xurkitree,-5,1,11,113,-11,-8,13101
942,Celesteela,9,13,43,47,19,-30,5569
943,Kartana,-29,93,71,-1,-51,18,17457
944,Guzzlord,135,13,-7,37,-29,-48,22957
945,Necrozma,9,19,41,67,7,-12,6805
946,Necrozma (Dusk Mane Necrozma),9,69,67,53,27,-14,13065
947,Necrozma (Dawn Wings Necrozma),9,25,49,97,45,-14,14737
948,Necrozma (Ultra Necrozma),9,79,37,107,15,38,20809
949,Magearna,-8,7,55,70,33,-26,9803
950,Marshadow,2,37,20,30,8,34,3893
951,Poipole,-21,-15,7,13,-15,-18,1433
952,Naganadel,-15,-15,13,67,-9,30,6089
953,Stakataka,-27,43,151,-7,19,-78,31873
954,Blacephalon,-35,39,-7,91,-3,16,11341
955,Zeraora,0,24,15,42,-2,52,5273
956,Meltan,-42,-23,5,-5,-47,-57,7801
957,Melmetal,47,55,83,20,-17,-57,16061
958,Grookey,-38,-23,-10,-20,-42,-26,4913
959,Thwackey,-18,-3,10,-5,-22,-11,1063
960,Rillaboom,12,37,30,0,-12,-6,2593
961,Scorbunny,-38,-17,-20,-20,-42,-22,4781
962,Raboot,-23,-2,0,-5,-22,3,1051
963,Cinderace,-8,28,15,5,-7,28,1931
964,Sobble,-38,-48,-20,10,-42,-21,6453
965,Drizzile,-23,-28,-5,35,-27,-1,3293
966,Inteleon,-18,-3,5,65,-17,29,5713
967,Skwovet,-18,-33,-5,-25,-47,-66,8628
968,Greedent,32,7,35,-5,-7,-71,7413
969,Rookidee,-50,-41,-25,-27,-47,-34,8900
970,Corvisquire,-20,-21,-5,-17,-27,-14,2080
971,Corviknight,10,-1,45,-7,3,-24,2760
972,Blipbug,-63,-68,-40,-35,-37,-46,14903
973,Dottler,-38,-53,20,-10,8,-61,8538
974,Orbeetle,-28,-43,50,20,38,-1,6978
975,Nickit,-48,-60,-32,-13,-30,-41,9678
976,Thievul,-18,-30,-2,27,10,-1,2058
977,Gossifleur,-48,-48,0,-20,-22,-81,12053
978,Eldegoss,-28,-38,30,20,38,-31,5933
979,Wooloo,-46,-48,-5,-20,-37,-43,8063
980,Dubwool,-16,-8,40,0,8,-3,1993
981,Chewtle,-38,-24,-10,-22,-44,-47,6749
982,Drednaw,2,27,30,-12,-14,-17,2262
983,Yamper,-29,-43,-10,-20,-32,-65,8439
984,Boltund,-19,2,0,30,-22,30,2649
985,Rolycoly,-58,-48,-10,-20,-32,-61,10913
986,Carkol,-8,-28,30,0,-12,-41,3573
987,Coalossal,22,-8,60,20,8,-61,8333
988,Applin,-48,-48,20,-20,-42,-71,12213
989,Flapple,-18,22,20,35,-22,-21,3358
990,Appletun,22,-3,20,40,-2,-61,6218
991,Silicobra,-36,-31,15,-25,-32,-45,6156
992,Sandaconda,-16,19,65,5,-12,-20,5411
993,Cramorant,-18,-3,-5,25,13,-6,1188
994,Arrokuda,-47,-25,-20,-20,-52,-25,6963
995,Barraskewda,-27,35,0,0,-32,45,5003
996,Toxel,-48,-50,-25,-6,-47,-51,10275
997,Toxtricity,-13,10,10,54,-12,-16,3685
998,Sizzlipede,-38,-23,-15,-10,-32,-46,5438
999,Centiskorch,12,27,5,30,8,-26,2538
