Reagan Fryatt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
472,Rayquaza (Mega Rayquaza),20,77,-9,95,2,4,15455
473,Jirachi,15,-3,-9,15,2,-11,665
474,Deoxys (Normal Forme),-35,47,-59,65,-48,39,14965
475,Deoxys (Attack Forme),-35,77,-89,95,-78,39,31705
476,Deoxys (Defense Forme),-35,-33,51,-15,62,-21,9425
477,Deoxys (Speed Forme),-35,-8,-19,10,-8,69,6575
478,Turtwig,-30,-35,-45,-40,-43,-80,13999
479,Grotle,-10,-14,-24,-30,-33,-75,8486
480,Torterra,10,6,-4,-10,-13,-55,3446
481,Chimchar,-41,-45,-65,-27,-54,-50,14076
482,Monferno,-21,-25,-57,-7,-46,-30,7380
483,Infernape,-9,1,-38,19,-27,-3,2625
484,Piplup,-32,-52,-56,-24,-42,-71,14245
485,Prinplup,-21,-37,-41,-4,-22,-61,7712
486,Empoleon,-1,-17,-21,26,3,-51,4017
487,Starly,-45,-48,-79,-55,-68,-51,20820
488,Staravia,-30,-28,-59,-45,-58,-31,11515
489,Staraptor,0,17,-39,-35,-38,-11,4600
490,Bidoof,-26,-58,-69,-50,-58,-80,21065
491,Bibarel,-6,-18,-49,-30,-38,-40,6705
492,Kricketot,-48,-78,-68,-60,-57,-86,27257
493,Kricketune,-8,-18,-58,-30,-47,-46,8977
494,Shinx,-40,-38,-75,-45,-64,-66,19146
495,Luxio,-25,-18,-60,-25,-49,-51,10176
496,Luxray,-5,17,-30,10,-19,-41,3356
497,Budew,-45,-73,-74,-35,-28,-56,17975
498,Roserade,-25,-33,-44,40,7,-21,5740
499,Cranidos,-18,22,-69,-55,-68,-53,16027
500,Rampardos,12,62,-49,-20,-48,-53,11902
501,Shieldon,-55,-61,9,-43,-10,-81,15337
502,Bastiodon,-25,-51,59,-38,40,-81,16312
503,Burmy,-45,-74,-64,-56,-53,-75,23167
504,Wormadam (Plant Cloak),-25,-44,-24,-6,7,-75,8847
505,Wormadam (Sandy Cloak),-25,-24,-4,-26,-13,-75,7687
506,Wormadam (Trash Cloak),-25,-34,-14,-16,-3,-75,7867
507,Mothim,-15,-9,-59,9,-48,-45,8197
508,Combee,-55,-73,-67,-55,-56,-41,20685
509,Vespiquen,-15,-23,-7,-5,4,-71,5885
510,Pachirisu,-25,-58,-39,-40,-8,-16,7430
511,Buizel,-30,-38,-74,-25,-68,-26,13745
512,Floatzel,0,2,-54,0,-48,4,5240
513,Cherubi,-40,-68,-64,-23,-45,-76,18650
514,Cherrim,-15,-43,-39,2,-20,-26,4675
515,Shellos,-9,-55,-61,-28,-36,-77,14836
516,Gastrodon,26,-20,-41,7,-16,-72,8246
517,Ambipom,-10,-3,-43,-25,-32,4,3623
518,Drifloon,5,-53,-75,-25,-54,-41,13681
519,Drifblim,65,-23,-65,5,-44,-31,11901
520,Buneary,-30,-37,-65,-41,-42,-26,10615
521,Lopunny,-20,-27,-25,-31,-2,-6,2755
522,Lopunny (Mega Lopunny),-20,33,-15,-31,-2,24,3255
523,Mismagius,-25,-43,-49,20,7,-6,5360
524,Honchkrow,15,22,-57,20,-46,-40,8074
525,Glameow,-36,-48,-67,-43,-61,-26,14335
526,Purugly,-14,-21,-45,-21,-39,1,4625
527,Chingling,-40,-73,-59,-20,-48,-66,17470
528,Stunky,-22,-40,-62,-44,-57,-37,12482
529,Skuntank,18,-10,-42,-14,-37,-27,4482
530,Bronzor,-28,-79,-23,-61,-12,-88,19163
531,Bronzong,-18,-14,7,-6,18,-78,7013
532,Bonsly,-35,-23,-14,-75,-53,-101,20585
533,Mime Jr.,-65,-78,-64,-15,-8,-51,17295
534,Happiny,15,-98,-104,-70,-33,-81,33195
535,Chatot,-9,-38,-64,7,-56,-20,9206
536,Spiritomb,-35,-11,-1,7,10,-76,7272
537,Gible,-27,-33,-64,-45,-53,-69,15509
538,Gabite,-17,-13,-44,-35,-43,-29,6309
539,Garchomp,23,27,-14,-5,-13,-9,1729
540,Garchomp (Mega Garchomp),23,67,6,35,-3,-19,6649
541,Munchlax,50,-18,-69,-45,-13,-106,21015
542,Riolu,-45,-33,-69,-50,-58,-51,16340
543,Lucario,-15,7,-39,30,-28,-21,3920
544,Lucario (Mega Lucario),-15,42,-21,55,-28,1,6240
545,Hippopotas,-17,-31,-31,-47,-56,-79,13797
546,Hippowdon,23,9,9,-17,-26,-64,5752
547,Skorupi,-45,-53,-19,-55,-43,-46,12185
548,Drapion,-15,-13,1,-25,-23,-16,1805
549,Croagunk,-37,-42,-69,-24,-58,-61,15555
550,Toxicroak,-2,3,-44,1,-33,-26,3715
551,Carnivine,-11,-3,-37,5,-26,-65,6425
552,Finneon,-36,-54,-53,-36,-37,-45,11711
553,Lumineon,-16,-34,-33,-16,-12,-20,3301
554,Mantyke,-40,-83,-59,-25,22,-61,16800
555,Snover,-25,-41,-59,-23,-38,-71,12801
556,Abomasnow,5,-11,-34,7,-13,-51,4121
557,Abomasnow (Mega Abomasnow),5,29,-4,47,7,-81,9701
558,Weavile,-15,17,-44,-40,-13,14,4415
559,Magnezone,-15,-33,6,45,-8,-51,6040
560,Lickilicky,25,-18,-14,-5,-3,-61,4900
561,Rhyperior,30,37,21,-30,-43,-71,10500
562,Tangrowth,15,-3,16,25,-48,-61,7140
563,Electivire,-10,20,-42,10,-13,-16,2789
564,Magmortar,-10,-8,-42,40,-3,-28,4321
565,Togekiss,0,-53,-14,35,17,-31,5480
566,Yanmega,1,-27,-23,31,-42,-16,4240
567,Leafeon,-20,7,21,-25,-33,-16,2860
568,Glaceon,-20,-43,1,45,-3,-46,6400
569,Gliscor,-10,-8,16,-40,-23,-16,2805
570,Mamoswine,25,27,-29,-15,-38,-31,4825
571,Porygon-Z,0,-23,-39,50,-23,-21,5520
572,Gallade,-17,22,-44,-20,17,-31,4359
573,Gallade (Mega Gallade),-17,62,-14,-20,17,-1,5019
574,Probopass,-25,-48,36,-10,52,-71,12070
575,Dusknoir,-40,-3,26,-20,37,-66,8410
576,Froslass,-15,-23,-39,-5,-28,-1,3085
577,Rotom,-35,-53,-32,10,-21,-20,5999
578,Rotom (Heat Rotom),-35,-38,-2,20,9,-25,3779
579,Rotom (Wash Rotom),-35,-38,-2,20,9,-25,3779
580,Rotom (Frost Rotom),-35,-38,-2,20,9,-25,3779
581,Rotom (Fan Rotom),-35,-38,-2,20,9,-25,3779
582,Rotom (Mow Rotom),-35,-38,-2,20,9,-25,3779
583,Uxie,-10,-28,21,-10,32,-16,2705
584,Mesprit,-5,2,-4,20,7,-31,1455
585,Azelf,-10,22,-39,40,-28,4,4505
586,Dialga,15,17,11,65,2,-21,5305
587,Dialga (Origin Forme),15,-3,11,65,22,-21,5505
588,Palkia,5,17,-9,65,22,-11,5225
589,Palkia (Origin Forme),5,-3,-9,65,22,9,4905
590,Heatran,6,-13,-3,45,8,-34,3459
591,Regigigas,25,57,1,-5,12,-11,4165
592,Giratina (Altered Forme),65,-3,11,15,22,-21,5505
593,Giratina (Origin Forme),65,17,-9,35,2,-21,6265
594,Cresselia,35,-33,11,-10,32,-26,4235
595,Phione,-5,-23,-29,-5,-18,-31,2705
596,Manaphy,15,-3,-9,15,2,-11,665
597,Darkrai,-15,-13,-19,50,-8,14,3515
598,Shaymin (Land Forme),15,-3,-9,15,2,-11,665
599,Shaymin (Sky Forme),15,0,-34,35,-23,16,3391
600,Arceus,35,17,11,35,22,9,3425
601,Victini,15,-3,-9,15,2,-11,665
602,Snivy,-40,-58,-54,-40,-43,-48,13633
603,Servine,-25,-43,-34,-25,-23,-28,5568
604,Serperior,-10,-28,-14,-10,-3,2,1193
605,Tepig,-20,-40,-64,-40,-53,-66,14861
606,Pignite,5,-10,-54,-15,-43,-56,8251
607,Emboar,25,20,-44,15,-33,-46,6391
608,Oshawott,-30,-48,-64,-22,-53,-66,14949
609,Dewott,-10,-28,-49,-2,-38,-51,7334
610,Samurott,10,-3,-24,23,-28,-41,3679
611,Samurott (Hisuian Samurott),5,5,-29,15,-33,-26,2881
612,Patrat,-40,-48,-70,-50,-59,-69,19546
613,Watchog,-25,-18,-40,-25,-29,-34,5171
614,Lillipup,-40,-43,-64,-60,-53,-56,17090
615,Herdier,-20,-23,-44,-50,-33,-51,9055
616,Stoutland,0,7,-19,-40,-8,-31,3035
617,Purrloin,-44,-53,-72,-35,-61,-45,16900
618,Liepard,-21,-15,-59,3,-48,-5,6485
619,Pansage,-35,-50,-61,-32,-50,-47,13179
620,Simisage,-10,-5,-46,13,-35,-10,3735
621,Pansear,-35,-50,-61,-32,-50,-47,13179
622,Simisear,-10,-5,-46,13,-35,-10,3735
623,Panpour,-35,-50,-61,-32,-50,-47,13179
624,Simipour,-10,-5,-46,13,-35,-10,3735
625,Munna,-9,-78,-64,-18,-43,-87,20003
626,Musharna,31,-48,-24,22,-3,-82,11058
627,Pidove,-35,-48,-59,-49,-68,-68,18659
628,Tranquill,-23,-26,-47,-35,-56,-46,9891
629,Unfezant,-5,12,-29,-20,-43,-18,3583
630,Blitzle,-40,-43,-77,-35,-66,-35,16184
631,Zebstrika,-10,-3,-46,-5,-35,5,3500
632,Roggenrola,-30,-28,-24,-60,-73,-96,20405
633,Boldore,-15,2,-4,-35,-58,-91,13115
634,Gigalith,0,32,21,-25,-18,-86,9810
635,Woobat,-20,-58,-66,-30,-55,-39,13566
636,Swoobat,-18,-46,-54,-8,-43,3,7278
637,Drilbur,-25,-18,-69,-55,-53,-43,13393
638,Excadrill,25,32,-49,-35,-33,-23,6893
639,Audino,18,-43,-23,-25,-12,-61,7192
640,Audino (Mega Audino),18,-43,17,-5,28,-61,6992
641,Timburr,-10,-23,-54,-60,-63,-76,16890
642,Gurdurr,0,2,-24,-45,-48,-71,9950
643,Conkeldurr,20,37,-14,-30,-33,-66,8310
644,Tympole,-35,-53,-69,-35,-58,-47,15593
645,Palpitoad,-10,-38,-54,-20,-43,-42,8473
646,Seismitoad,20,-8,-34,0,-23,-37,3518
647,Throh,35,-3,-24,-55,-13,-66,9360
648,Sawk,-10,22,-34,-55,-23,-26,5970
649,Sewaddle,-40,-50,-39,-45,-38,-69,13851
650,Swadloon,-30,-40,-19,-35,-18,-69,9171
651,Leavanny,-10,0,-29,-15,-18,-19,1851
652,Venipede,-55,-58,-50,-55,-59,-54,18311
653,Whirlipede,-45,-48,-10,-45,-19,-64,10911
654,Scolipede,-25,-3,-20,-30,-29,1,2776
655,Cottonee,-45,-76,-49,-48,-48,-45,16835
656,Whimsicott,-25,-36,-24,-8,-23,5,3115
657,Petilil,-40,-68,-59,-15,-48,-81,18795
658,Lilligant,-15,-43,-34,25,-23,-21,4825
659,Lilligant (Hisuian Lilligant),-15,2,-34,-35,-23,-6,3175
660,Basculin,-15,-11,-44,-5,-43,-13,4325
661,Sandile,-35,-31,-74,-50,-63,-46,16247
662,Krokorok,-25,-21,-64,-40,-53,-37,10940
663,Krookodile,10,14,-29,-20,-28,-19,2682
664,Darumaka,-15,-13,-64,-70,-53,-61,15920
665,Darumaka (Galarian Darumaka),-15,-13,-64,-70,-53,-61,15920
666,Darmanitan (Standard Mode),20,37,-54,-55,-43,-16,9815
667,Darmanitan (Zen Mode),20,-73,-4,55,7,-56,11955
668,Darmanitan (Galarian Standard Mode),20,37,-54,-55,-43,-16,9815
669,Darmanitan (Galarian Zen Mode),20,57,-54,-55,-43,24,12015
670,Maractus,-10,-17,-42,21,-31,-51,6156
671,Dwebble,-35,-38,-24,-50,-63,-56,12850
672,Crustle,-15,2,16,-20,-23,-66,5770
673,Scraggy,-35,-28,-39,-50,-28,-63,10783
674,Scrafty,-20,-13,6,-40,17,-53,5303
675,Sigilyph,-13,-45,-29,18,-18,-14,3879
676,Yamask,-47,-73,-24,-30,-33,-81,16664
677,Yamask (Galarian Yamask),-47,-48,-24,-55,-33,-81,15764
678,Cofagrigus,-27,-53,36,10,7,-81,11544
679,Tirtouga,-31,-25,-6,-32,-53,-89,13376
680,Carracosta,-11,5,24,-2,-33,-79,8056
681,Archen,-30,9,-64,-11,-53,-41,9688
682,Archeops,-10,37,-44,27,-33,-1,5224
683,Trubbish,-35,-53,-47,-45,-36,-46,11680
684,Garbodor,-5,-8,-27,-25,-16,-36,2995
685,Zorua,-45,-38,-69,-5,-58,-46,13735
686,Zorua (Hisuian Zorua),-50,-43,-69,0,-58,-41,14155
687,Zoroark,-25,2,-49,35,-38,-6,5735
688,Zoroark (Hisuian Zoroark),-30,-3,-49,40,-38,-1,6355
689,Minccino,-30,-53,-69,-45,-58,-36,15155
690,Cinccino,-10,-8,-49,-20,-38,4,4425
691,Gothita,-40,-73,-59,-30,-33,-66,16755
692,Gothorita,-25,-58,-39,-10,-13,-56,8915
693,Gothitelle,-15,-48,-14,10,12,-46,5085
694,Solosis,-40,-73,-69,20,-48,-91,22675
695,Duosion,-20,-63,-59,40,-38,-81,17455
696,Reuniclus,25,-38,-34,40,-13,-81,11555
697,Ducklett,-23,-59,-59,-41,-48,-56,14612
698,Swanna,-10,-16,-46,2,-35,-13,3870
699,Vanillite,-49,-53,-59,-20,-38,-67,15024
700,Vanillish,-34,-38,-44,-5,-23,-52,7794
701,Vanilluxe,-14,-8,-24,25,-3,-32,2494
702,Deerling,-25,-43,-59,-45,-48,-36,11580
703,Sawsbuck,-5,-3,-39,-25,-28,-16,3220
704,Emolga,-30,-28,-49,-10,-38,-8,5693
705,Karrablast,-35,-28,-64,-45,-53,-51,13540
706,Escavalier,-15,32,-4,-25,7,-91,10220
707,Foongus,-16,-48,-64,-30,-43,-96,18621
708,Amoonguss,29,-18,-39,0,-18,-81,9571
709,Frillish,-30,-63,-59,-20,-13,-71,13960
710,Jellicent,15,-43,-39,0,7,-51,6245
711,Alomomola,80,-28,-29,-45,-53,-46,14975
712,Joltik,-35,-56,-59,-28,-48,-46,13046
713,Galvantula,-15,-26,-49,12,-38,-3,4899
714,Ferroseed,-41,-53,-18,-61,-12,-101,18880
715,Ferrothorn,-11,-9,22,-31,18,-91,10252
716,Klink,-45,-48,-39,-40,-38,-81,15455
717,Klang,-25,-23,-14,-15,-13,-61,5465
718,Klinklang,-25,-3,6,-15,-13,-21,1505
719,Tynamo,-50,-48,-69,-40,-58,-51,17130
720,Eelektrik,-20,-18,-39,-10,-28,-71,8170
721,Eelektross,0,12,-29,20,-18,-61,5430
722,Elgyem,-30,-48,-54,0,-43,-81,14530
723,Beheeyem,-10,-28,-34,40,-3,-71,8690
724,Litwick,-35,-73,-54,-20,-43,-91,20000
725,Lampent,-25,-63,-49,10,-38,-56,11675
726,Chandelure,-25,-48,-19,60,-8,-31,7915
727,Axew,-39,-16,-49,-55,-58,-54,13483
728,Fraxure,-19,14,-39,-45,-48,-44,8343
729,Haxorus,-9,44,-19,-25,-28,-14,3983
730,Cubchoo,-30,-33,-69,-25,-58,-71,15780
731,Beartic,10,27,-29,-15,-18,-61,5940
732,Cryogonal,-5,-53,-59,10,37,-6,7820
733,Shelmet,-35,-63,-24,-45,-33,-86,16280
734,Accelgor,-5,-33,-69,15,-38,34,8700
735,Stunfisk,24,-37,-25,-4,1,-79,8828
736,Stunfisk (Galarian Stunfisk),24,-22,-10,-19,-14,-79,7958
737,Mienfoo,-40,-18,-59,-30,-48,-46,10725
738,Mienshao,-20,22,-49,10,-38,-6,4865
739,Druddigon,-8,17,-19,-25,-8,-63,5372
740,Golett,-26,-29,-59,-50,-48,-76,15578
741,Golurk,4,21,-29,-30,-18,-56,5658
742,Pawniard,-40,-18,-39,-45,-58,-51,11435
743,Bisharp,-20,22,-9,-25,-28,-41,4055
744,Bouffalant,10,7,-14,-45,-3,-56,5515
745,Rufflet,-15,-20,-59,-48,-48,-51,11315
746,Braviary,15,20,-34,-28,-23,-31,4055
747,Braviary (Hisuian Braviary),25,-20,-39,27,-28,-46,6175
748,Vullaby,-15,-48,-34,-40,-33,-51,8975
749,Mandibuzz,25,-38,-4,-30,-3,-31,3955
750,Heatmor,0,-6,-43,20,-32,-46,5425
751,Durant,-27,6,3,-37,-50,-2,4647
752,Deino,-33,-38,-59,-40,-48,-73,15247
753,Zweilous,-13,-18,-39,-20,-28,-53,6007
754,Hydreigon,7,2,-19,40,-8,-13,2247
755,Larvesta,-30,-18,-54,-35,-43,-51,9815
756,Volcarona,0,-43,-44,50,7,-11,6455
757,Cobalion,6,-13,20,5,-26,-3,1315
758,Terrakion,6,26,-19,-13,-8,-3,1315
759,Virizion,6,-13,-37,5,31,-3,2569
760,Tornadus (Incarnate Forme),-6,12,-39,40,-18,0,3625
761,Tornadus (Therian Forme),-6,-3,-29,25,-8,10,1675
762,Thundurus (Incarnate Forme),-6,12,-39,40,-18,0,3625
763,Thundurus (Therian Forme),-6,2,-39,60,-18,-10,5585
764,Reshiram,15,17,-9,65,22,-21,5745
765,Zekrom,15,47,11,35,2,-21,4225
766,Landorus (Incarnate Forme),4,22,-19,30,-18,-10,2185
767,Landorus (Therian Forme),4,42,-19,20,-18,-20,3265
768,Kyurem,40,27,-19,45,-8,-16,5035
769,Kyurem (Black Kyurem),40,67,-9,35,-8,-16,7715
770,Kyurem (White Kyurem),40,17,-19,85,2,-16,9735
771,Keldeo,6,-31,-19,44,-8,-3,3367
772,Meloetta (Aria Forme),15,-26,-32,43,30,-21,5115
773,Meloetta (Pirouette Forme),15,25,-19,-8,-21,17,2005
774,Genesect,-14,17,-14,35,-3,-12,2059
775,Chespin,-29,-42,-44,-37,-53,-73,14048
776,Quilladin,-24,-25,-14,-29,-40,-54,6754
777,Chesnaught,3,4,13,-11,-23,-47,3053
778,Fennekin,-45,-58,-69,-23,-38,-51,14724
779,Braixen,-26,-44,-51,5,-28,-38,7466
780,Delphox,-10,-34,-37,29,2,-7,3519
781,Froakie,-44,-47,-69,-23,-54,-40,13951
782,Frogadier,-31,-40,-57,-2,-42,-14,7774
783,Greninja,-13,-8,-42,18,-27,11,3171
784,Greninja (Ash-Greninja),-13,42,-42,68,-27,21,9491
785,Bunnelby,-47,-67,-71,-53,-62,-54,21308
786,Diggersby,0,-47,-32,-35,-21,-33,5988
787,Fletchling,-40,-53,-66,-45,-60,-49,16791
788,Fletchinder,-23,-30,-54,-29,-46,-27,8031
789,Talonflame,-7,-22,-38,-11,-29,15,3164
790,Scatterbug,-47,-68,-69,-58,-73,-76,26063
791,Spewpa,-40,-81,-49,-58,-68,-82,25274
792,Vivillon,-5,-51,-59,5,-48,-22,8920
793,Litleo,-23,-53,-51,-12,-44,-39,9540
794,Pyroar,1,-35,-37,24,-32,-5,4220
795,Flabébé,-41,-65,-70,-24,-19,-69,16504
796,Floette,-31,-58,-62,-10,0,-59,11750
797,Florges,-7,-38,-41,27,56,-36,8335
798,Skiddo,-19,-38,-61,-23,-41,-59,11217
799,Gogoat,38,-3,-47,12,-17,-43,5944
800,Pancham,-18,-21,-47,-39,-50,-68,11619
801,Pangoro,10,21,-31,-16,-27,-53,5296
802,Furfrou,-10,-23,-49,-20,-8,-9,3575
803,Espurr,-23,-55,-55,-22,-38,-43,10356
804,Meowstic,-11,-55,-33,-2,-17,-7,4577
805,Honedge,-40,-23,-9,-50,-61,-83,15320
806,Doublade,-26,7,41,-40,-49,-76,12183
807,Aegislash (Shield Forme),-25,-53,31,-35,42,-51,9985
808,Aegislash (Blade Forme),-25,37,-59,55,-48,-51,13405
809,Spritzee,-7,-51,-49,-22,-33,-88,14368
810,Aromatisse,16,-31,-37,14,-9,-82,9587
811,Swirlix,-23,-55,-43,-26,-41,-62,11604
812,Slurpuff,-3,-23,-23,0,-23,-39,3117
813,Inkay,-32,-49,-56,-48,-52,-66,15925
814,Malamar,1,-11,-21,-17,-23,-38,2825
815,Binacle,-43,-51,-42,-46,-42,-61,13815
816,Barbaracle,-13,2,6,-31,-12,-43,3163
817,Skrelp,-35,-43,-49,-25,-38,-81,14105
818,Dragalge,-20,-28,-19,12,25,-67,6803
819,Clauncher,-35,-50,-47,-27,-35,-67,12377
820,Clawitzer,-14,-30,-21,35,-9,-52,5547
821,Helioptile,-41,-65,-76,-24,-55,-41,16964
822,Heliolisk,-23,-48,-57,24,-4,-2,6678
823,Tyrunt,-27,-14,-32,-40,-53,-63,10327
824,Tyrantrum,-3,18,10,-16,-39,-40,3810
825,Amaura,-8,-44,-59,-18,-35,-65,11255
826,Aurorus,38,-26,-37,14,-6,-53,6530
827,Sylveon,10,-38,-44,25,32,-51,7730
828,Hawlucha,-7,-11,-34,-11,-35,7,2721
829,Dedenne,-18,-45,-52,-4,-31,-10,6130
830,Carbink,-35,-53,41,-35,52,-61,13365
831,Goomy,-40,-53,-74,-30,-23,-71,16355
832,Sliggoo,-17,-28,-56,-2,15,-51,7039
833,Sliggoo (Hisuian Sliggoo),-27,-28,-26,-2,15,-71,7459
834,Goodra,5,-3,-39,25,52,-31,5845
835,Goodra (Hisuian Goodra),-5,-3,-9,25,52,-51,6045
836,Klefki,-28,-23,-18,-5,-11,-36,3079
837,Phantump,-42,-33,-61,-35,-38,-73,14572
838,Trevenant,0,7,-33,-20,-16,-55,4819
839,Pumpkaboo (Small Size),-41,-37,-39,-41,-43,-55,11126
840,Pumpkaboo (Average Size),-36,-37,-39,-41,-43,-60,11316
841,Pumpkaboo (Large Size),-31,-37,-39,-41,-43,-65,11606
842,Pumpkaboo (Super Size),-26,-37,-39,-41,-43,-70,11996
843,Gourgeist (Small Size),-30,-18,13,-27,-23,-12,2795
844,Gourgeist (Average Size),-20,-13,13,-27,-23,-27,2725
845,Gourgeist (Large Size),-10,-8,13,-27,-23,-42,3355
846,Gourgeist (Super Size),0,-3,13,-27,-23,-57,4685
847,Bergmite,-30,-34,-24,-53,-63,-83,16299
848,Avalugg,10,14,75,-41,-52,-83,17195
849,Avalugg (Hisuian Avalugg),10,24,75,-51,-62,-73,18075
850,Noibat,-45,-73,-74,-40,-58,-56,20930
851,Noivern,0,-33,-29,12,-18,12,2542
852,Xerneas,41,28,-14,46,0,-12,4921
853,Yveltal,41,28,-14,46,0,-12,4921
854,Zygarde (50% Forme),23,-3,12,-4,-3,-16,963
855,Zygarde (10% Forme),-31,-3,-38,-24,-13,4,3175
856,Zygarde (Complete Forme),131,-3,12,6,-3,-26,18035
857,Diancie,-35,-3,41,15,52,-61,9565
858,Diancie (Mega Diancie),-35,57,1,75,12,-1,10245
859,Hoopa (Hoopa Confined),-5,7,-49,65,32,-41,9405
860,Hoopa (Hoopa Unbound),-5,57,-49,85,32,-31,14885
861,Volcanion,-5,7,11,45,-8,-41,3965
862,Rowlet,-17,-48,-54,-35,-48,-69,13799
863,Dartrix,-7,-28,-34,-15,-28,-59,6479
864,Decidueye,-7,4,-34,15,2,-41,3131
865,Decidueye (Hisuian Decidueye),3,9,-29,10,-3,-51,3641
866,Litten,-40,-38,-69,-25,-58,-41,13475
867,Torracat,-20,-18,-59,-5,-48,-21,6975
868,Incineroar,10,12,-19,-5,-8,-51,3295
869,Popplio,-35,-49,-55,-19,-42,-71,13817
870,Brionne,-25,-34,-40,6,-17,-61,7427
871,Primarina,-5,-29,-35,41,18,-51,6697
872,Pikipek,-50,-28,-79,-55,-68,-46,19290
873,Trumbeak,-30,-18,-59,-45,-48,-36,10330
874,Toucannon,-5,17,-34,-10,-23,-51,4700
875,Yungoos,-37,-33,-79,-55,-68,-66,20704
876,Gumshoos,3,7,-49,-30,-38,-66,9159
877,Grubbin,-38,-41,-64,-30,-53,-65,15155
878,Charjabug,-28,-21,-14,-30,-23,-75,8475
879,Vikavolt,-8,-33,-19,60,-23,-68,10267
880,Crabrawler,-38,-21,-52,-43,-51,-48,11343
881,Crabominable,12,29,-32,-23,-31,-68,8123
882,Oricorio,-10,-33,-39,13,-28,-18,3987
883,Cutiefly,-45,-58,-69,-30,-58,-27,15143
884,Ribombee,-25,-48,-49,10,-28,13,6383
885,Rockruff,-40,-38,-69,-55,-58,-51,16795
886,Lycanroc (Midday Form),-10,12,-44,-30,-33,1,4170
887,Lycanroc (Midnight Form),0,12,-34,-30,-23,-29,3570
888,Lycanroc (Dusk Form),-10,14,-44,-30,-33,-1,4222
889,Wishiwashi (Solo Form),-40,-83,-89,-60,-73,-71,30380
890,Wishiwashi (School Form),-40,37,21,55,37,-81,14365
891,Mareanie,-35,-50,-47,-42,-46,-66,14170
892,Toxapex,-35,-40,43,-32,44,-76,13410
893,Mudbray,-15,-3,-39,-40,-43,-66,9560
894,Mudsdale,15,22,-9,-30,-13,-76,7635
895,Dewpider,-47,-63,-57,-45,-26,-84,19184
896,Araquanid,-17,-33,-17,-35,34,-69,8809
897,Fomantis,-45,-48,-74,-35,-63,-76,20775
898,Lurantis,-15,2,-19,-5,-8,-66,5035
899,Morelull,-45,-68,-54,-20,-23,-96,19710
900,Shiinotic,-25,-58,-29,5,2,-81,11420
901,Salandit,-37,-59,-69,-14,-58,-34,14327
902,Salazzle,-17,-39,-49,26,-38,6,6367
903,Stufful,-15,-28,-59,-40,-48,-61,12115
904,Bewear,35,22,-29,-30,-38,-51,7495
905,Bounsweet,-43,-73,-71,-55,-60,-79,25085
906,Steenee,-33,-63,-61,-45,-50,-49,15705
907,Tsareena,-13,17,-11,-35,0,-39,3325
908,Comfey,-34,-51,-19,-3,12,-11,4392
909,Oranguru,5,-43,-29,5,12,-51,5485
910,Passimian,15,17,-19,-45,-38,-31,5305
911,Wimpod,-60,-68,-69,-65,-68,-31,22795
912,Golisopod,-10,22,31,-25,-8,-71,7275
913,Sandygast,-30,-48,-29,-15,-53,-96,16295
914,Palossand,0,-28,1,15,-23,-76,7315
915,Pyukumuku,-30,-43,21,-55,32,-106,18475
916,Type: Null,10,-8,-14,10,-3,-52,3173
917,Silvally,10,-8,-14,10,-3,-16,725
918,Minior (Meteor Form),-25,-43,-9,-25,2,-51,5785
919,Minior (Core),-25,-3,-49,15,-38,9,4785
920,Komala,-20,12,-44,-10,-3,-46,4705
921,Turtonator,-25,-25,26,6,-13,-75,7756
922,Togedemaru,-20,-5,-46,-45,-25,-15,5416
923,Mimikyu,-30,-13,-29,-35,7,-15,3409
924,Bruxish,-17,2,-39,-15,-28,-19,3184
925,Drampa,-7,-43,-24,50,-7,-75,10648
926,Dhelmise,-15,28,-9,1,-8,-71,6196
927,Jangmo-o,-40,-48,-44,-40,-53,-66,14605
928,Hakamo-o,-30,-28,-19,-20,-28,-46,5345
929,Kommo-o,-10,7,16,15,7,-26,1355
930,Tapu Koko,-15,12,-24,10,-23,19,1935
931,Tapu Lele,-15,-18,-34,45,17,-16,4275
932,Tapu Bulu,-15,27,6,0,-3,-36,2295
933,Tapu Fini,-15,-28,6,10,32,-26,2845
934,Cosmog,-42,-74,-78,-56,-67,-74,26425
935,Cosmoem,-42,-74,22,-56,33,-74,17425
936,Solgaleo,52,34,-2,28,-9,-14,4925
937,Lunala,52,10,-20,52,9,-14,6185
938,Nihilego,24,-50,-62,42,33,-8,9837
939,Buzzwole,22,36,30,-32,-45,-32,6753
940,Pheromosa,-14,34,-72,52,-61,40,14561
941,Xurkitree,-2,-14,-38,88,-27,-28,10901
942,Celesteela,12,-2,-6,22,3,-50,3177
943,Kartana,-26,78,22,-26,-67,-2,12413
944,Guzzlord,138,-2,-56,12,-45,-68,28977
945,Necrozma,12,4,-8,42,-9,-32,3093
946,Necrozma (Dusk Mane Necrozma),12,54,18,28,11,-34,5445
947,Necrozma (Dawn Wings Necrozma),12,10,0,72,29,-34,7425
948,Necrozma (Ultra Necrozma),12,64,-12,82,-1,18,11433
949,Magearna,-5,-8,6,45,17,-46,4555
950,Marshadow,5,22,-29,5,-8,14,1635
951,Poipole,-18,-30,-42,-12,-31,-38,5537
952,Naganadel,-12,-30,-36,42,-25,10,4829
953,Stakataka,-24,28,102,-32,3,-98,22401
954,Blacephalon,-32,24,-56,66,-19,-4,9469
