Ronan McKinney vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
485,Prinplup,-17,-34,8,19,-35,-49,5496
486,Empoleon,3,-14,28,49,-10,-39,5011
487,Starly,-41,-45,-30,-32,-81,-39,13712
488,Staravia,-26,-25,-10,-22,-71,-19,7287
489,Staraptor,4,20,10,-12,-51,1,3262
490,Bidoof,-22,-55,-20,-27,-71,-68,14303
491,Bibarel,-2,-15,0,-7,-51,-28,3663
492,Kricketot,-44,-75,-19,-37,-70,-74,19667
493,Kricketune,-4,-15,-9,-7,-60,-34,5127
494,Shinx,-36,-35,-26,-22,-77,-54,12526
495,Luxio,-21,-15,-11,-2,-62,-39,6156
496,Luxray,-1,20,19,33,-32,-29,3716
497,Budew,-41,-70,-25,-12,-41,-44,10967
498,Roserade,-21,-30,5,63,-6,-9,5452
499,Cranidos,-14,25,-20,-32,-81,-41,10487
500,Rampardos,16,65,0,3,-61,-41,9892
501,Shieldon,-51,-58,58,-20,-23,-69,15019
502,Bastiodon,-21,-48,108,-15,27,-69,20124
503,Burmy,-41,-71,-15,-33,-66,-63,16361
504,Wormadam (Plant Cloak),-21,-41,25,17,-6,-63,7041
505,Wormadam (Sandy Cloak),-21,-21,45,-3,-26,-63,7561
506,Wormadam (Trash Cloak),-21,-31,35,7,-16,-63,6901
507,Mothim,-11,-6,-10,32,-61,-33,6091
508,Combee,-51,-70,-18,-32,-69,-29,14451
509,Vespiquen,-11,-20,42,18,-9,-59,6171
510,Pachirisu,-21,-55,10,-17,-21,-4,4312
511,Buizel,-26,-35,-25,-2,-81,-14,9287
512,Floatzel,4,5,-5,23,-61,16,4572
513,Cherubi,-36,-65,-15,0,-58,-64,13206
514,Cherrim,-11,-40,10,25,-33,-14,3731
515,Shellos,-5,-52,-12,-5,-49,-65,9524
516,Gastrodon,30,-17,8,30,-29,-60,6594
517,Ambipom,-6,0,6,-2,-45,16,2357
518,Drifloon,9,-50,-26,-2,-67,-29,8591
519,Drifblim,69,-20,-16,28,-57,-19,9811
520,Buneary,-26,-34,-16,-18,-55,-14,5633
521,Lopunny,-16,-24,24,-8,-15,6,1733
522,Lopunny (Mega Lopunny),-16,36,34,-8,-15,36,4293
523,Mismagius,-21,-40,0,43,-6,6,3962
524,Honchkrow,19,25,-8,43,-59,-28,7164
525,Glameow,-32,-45,-18,-20,-74,-14,9445
526,Purugly,-10,-18,4,2,-52,13,3317
527,Chingling,-36,-70,-10,3,-61,-54,12942
528,Stunky,-18,-37,-13,-21,-70,-25,7828
529,Skuntank,22,-7,7,9,-50,-15,3388
530,Bronzor,-24,-76,26,-38,-25,-76,14873
531,Bronzong,-14,-11,56,17,5,-66,8123
532,Bonsly,-31,-20,35,-52,-66,-89,17567
533,Mime Jr.,-61,-75,-15,8,-21,-39,11597
534,Happiny,19,-95,-55,-47,-46,-69,21497
535,Chatot,-5,-35,-15,30,-69,-8,7200
536,Spiritomb,-31,-8,48,30,-3,-64,8334
537,Gible,-23,-30,-15,-22,-66,-57,9743
538,Gabite,-13,-10,5,-12,-56,-17,3863
539,Garchomp,27,30,35,18,-26,3,3863
540,Garchomp (Mega Garchomp),27,70,55,58,-16,-7,12323
541,Munchlax,54,-15,-20,-22,-26,-94,13537
542,Riolu,-41,-30,-20,-27,-71,-39,10272
543,Lucario,-11,10,10,53,-41,-9,4892
544,Lucario (Mega Lucario),-11,45,28,78,-41,13,10864
545,Hippopotas,-13,-28,18,-24,-69,-67,11103
546,Hippowdon,27,12,58,6,-39,-52,8498
547,Skorupi,-41,-50,30,-32,-56,-34,10397
548,Drapion,-11,-10,50,-2,-36,-4,4037
549,Croagunk,-33,-39,-20,-1,-71,-49,10453
550,Toxicroak,2,6,5,24,-46,-14,2953
551,Carnivine,-7,0,12,28,-39,-53,5307
552,Finneon,-32,-51,-4,-13,-50,-33,7399
553,Lumineon,-12,-31,16,7,-25,-8,2099
554,Mantyke,-36,-80,-10,-2,9,-49,10282
555,Snover,-21,-38,-10,0,-51,-59,8067
556,Abomasnow,9,-8,15,30,-26,-39,3467
557,Abomasnow (Mega Abomasnow),9,32,45,70,-6,-69,12827
558,Weavile,-11,20,5,-17,-26,26,2187
559,Magnezone,-11,-30,55,68,-21,-39,10632
560,Lickilicky,29,-15,35,18,-16,-49,5272
561,Rhyperior,34,40,70,-7,-56,-59,14322
562,Tangrowth,19,0,65,48,-61,-49,13012
563,Electivire,-6,23,7,33,-26,-4,2395
564,Magmortar,-6,-5,7,63,-16,-16,4591
565,Togekiss,4,-50,35,58,4,-19,7482
566,Yanmega,5,-24,26,54,-55,-4,7234
567,Leafeon,-16,10,70,-2,-46,-4,7392
568,Glaceon,-16,-40,50,68,-16,-34,10392
569,Gliscor,-6,-5,65,-17,-36,-4,5887
570,Mamoswine,29,30,20,8,-51,-19,5167
571,Porygon-Z,4,-20,10,73,-36,-9,7222
572,Gallade,-13,25,5,3,4,-19,1205
573,Gallade (Mega Gallade),-13,65,35,3,4,11,5765
574,Probopass,-21,-45,85,13,39,-59,14862
575,Dusknoir,-36,0,75,3,24,-54,10422
576,Froslass,-11,-20,10,18,-41,11,2747
577,Rotom,-31,-50,17,33,-34,-8,6059
578,Rotom (Heat Rotom),-31,-35,47,43,-4,-13,6429
579,Rotom (Wash Rotom),-31,-35,47,43,-4,-13,6429
580,Rotom (Frost Rotom),-31,-35,47,43,-4,-13,6429
581,Rotom (Fan Rotom),-31,-35,47,43,-4,-13,6429
582,Rotom (Mow Rotom),-31,-35,47,43,-4,-13,6429
583,Uxie,-6,-25,70,13,19,-4,6107
584,Mesprit,-1,5,45,43,-6,-19,4297
585,Azelf,-6,25,10,63,-41,16,6667
586,Dialga,19,20,60,88,-11,-9,12307
587,Dialga (Origin Forme),19,0,60,88,9,-9,11867
588,Palkia,9,20,40,88,9,1,9907
589,Palkia (Origin Forme),9,0,40,88,9,21,9947
590,Heatran,10,-10,46,68,-5,-22,7449
591,Regigigas,29,60,50,18,-1,1,7267
592,Giratina (Altered Forme),69,0,60,38,9,-9,9967
593,Giratina (Origin Forme),69,20,40,58,-11,-9,10327
594,Cresselia,39,-30,60,13,19,-14,6747
595,Phione,-1,-20,20,18,-31,-19,2447
596,Manaphy,19,0,40,38,-11,1,3527
597,Darkrai,-11,-10,30,73,-21,26,7567
598,Shaymin (Land Forme),19,0,40,38,-11,1,3527
599,Shaymin (Sky Forme),19,3,15,58,-36,28,6039
600,Arceus,39,20,60,58,9,21,9407
601,Victini,19,0,40,38,-11,1,3527
602,Snivy,-36,-55,-5,-17,-56,-36,9067
603,Servine,-21,-40,15,-2,-36,-16,3822
604,Serperior,-6,-25,35,13,-16,14,2507
605,Tepig,-16,-37,-15,-17,-66,-54,9411
606,Pignite,9,-7,-5,8,-56,-44,5291
607,Emboar,29,23,5,38,-46,-34,6111
608,Oshawott,-26,-45,-15,1,-66,-54,10199
609,Dewott,-6,-25,0,21,-51,-39,5224
610,Samurott,14,0,25,46,-41,-29,5459
611,Samurott (Hisuian Samurott),9,8,20,38,-46,-14,4301
612,Patrat,-36,-45,-21,-27,-72,-57,12924
613,Watchog,-21,-15,9,-2,-42,-22,2999
614,Lillipup,-36,-40,-15,-37,-66,-44,10782
615,Herdier,-16,-20,5,-27,-46,-39,5047
616,Stoutland,4,10,30,-17,-21,-19,2107
617,Purrloin,-40,-50,-23,-12,-74,-33,11338
618,Liepard,-17,-12,-10,26,-61,7,4979
619,Pansage,-31,-47,-12,-9,-63,-35,8589
620,Simisage,-6,-2,3,36,-48,2,3653
621,Pansear,-31,-47,-12,-9,-63,-35,8589
622,Simisear,-6,-2,3,36,-48,2,3653
623,Panpour,-31,-47,-12,-9,-63,-35,8589
624,Simipour,-6,-2,3,36,-48,2,3653
625,Munna,-5,-75,-15,5,-56,-75,14661
626,Musharna,35,-45,25,45,-16,-70,11056
627,Pidove,-31,-45,-10,-26,-81,-56,13459
628,Tranquill,-19,-23,2,-12,-69,-34,6955
629,Unfezant,-1,15,20,3,-56,-6,3807
630,Blitzle,-36,-40,-28,-12,-79,-23,10594
631,Zebstrika,-6,0,3,18,-48,17,2962
632,Roggenrola,-26,-25,25,-37,-86,-84,17747
633,Boldore,-11,5,45,-12,-71,-79,13597
634,Gigalith,4,35,70,-2,-31,-74,12582
635,Woobat,-16,-55,-17,-7,-68,-27,8972
636,Swoobat,-14,-43,-5,15,-56,15,5656
637,Drilbur,-21,-15,-20,-32,-66,-31,7407
638,Excadrill,29,35,0,-12,-46,-11,4447
639,Audino,22,-40,26,-2,-25,-49,5790
640,Audino (Mega Audino),22,-40,66,18,15,-49,9390
641,Timburr,-6,-20,-5,-37,-76,-64,11702
642,Gurdurr,4,5,25,-22,-61,-59,8352
643,Conkeldurr,24,40,35,-7,-46,-54,8482
644,Tympole,-31,-50,-20,-12,-71,-35,10271
645,Palpitoad,-6,-35,-5,3,-56,-30,5331
646,Seismitoad,24,-5,15,23,-36,-25,3276
647,Throh,39,0,25,-32,-26,-54,6762
648,Sawk,-6,25,15,-32,-36,-14,3402
649,Sewaddle,-36,-47,10,-22,-51,-57,9939
650,Swadloon,-26,-37,30,-12,-31,-57,7299
651,Leavanny,-6,3,20,8,-31,-7,1519
652,Venipede,-51,-55,-1,-32,-72,-42,13599
653,Whirlipede,-41,-45,39,-22,-32,-52,9439
654,Scolipede,-21,0,29,-7,-42,13,3264
655,Cottonee,-41,-73,0,-25,-61,-33,12445
656,Whimsicott,-21,-33,25,15,-36,17,3965
657,Petilil,-36,-65,-10,8,-61,-69,14167
658,Lilligant,-11,-40,15,48,-36,-9,5627
659,Lilligant (Hisuian Lilligant),-11,5,15,-12,-36,6,1847
660,Basculin,-11,-8,5,18,-56,-1,3671
661,Sandile,-31,-28,-25,-27,-76,-34,10031
662,Krokorok,-21,-18,-15,-17,-66,-25,6260
663,Krookodile,14,17,20,3,-41,-7,2624
664,Darumaka,-11,-10,-15,-47,-66,-49,9412
665,Darumaka (Galarian Darumaka),-11,-10,-15,-47,-66,-49,9412
666,Darmanitan (Standard Mode),24,40,-5,-32,-56,-4,6377
667,Darmanitan (Zen Mode),24,-70,45,78,-6,-44,15557
668,Darmanitan (Galarian Standard Mode),24,40,-5,-32,-56,-4,6377
669,Darmanitan (Galarian Zen Mode),24,60,-5,-32,-56,36,9657
670,Maractus,-6,-14,7,44,-44,-39,5674
671,Dwebble,-31,-35,25,-27,-76,-44,11252
672,Crustle,-11,5,65,3,-36,-54,8592
673,Scraggy,-31,-25,10,-27,-41,-51,6697
674,Scrafty,-16,-10,55,-17,4,-41,5367
675,Sigilyph,-9,-42,20,41,-31,-2,4891
676,Yamask,-43,-70,25,-7,-46,-69,14300
677,Yamask (Galarian Yamask),-43,-45,25,-32,-46,-69,12400
678,Cofagrigus,-23,-50,85,33,-6,-69,16140
679,Tirtouga,-27,-22,43,-9,-66,-77,13428
680,Carracosta,-7,8,73,21,-46,-67,12488
681,Archen,-26,12,-15,12,-66,-29,6386
682,Archeops,-6,40,5,50,-46,11,6398
683,Trubbish,-31,-50,2,-22,-49,-34,7506
684,Garbodor,-1,-5,22,-2,-29,-24,1931
685,Zorua,-41,-35,-20,18,-71,-34,9827
686,Zorua (Hisuian Zorua),-46,-40,-20,23,-71,-29,10527
687,Zoroark,-21,5,0,58,-51,6,6467
688,Zoroark (Hisuian Zoroark),-26,0,0,63,-51,11,7367
689,Minccino,-26,-50,-20,-22,-71,-24,9677
690,Cinccino,-6,-5,0,3,-51,16,2927
691,Gothita,-36,-70,-10,-7,-46,-54,11377
692,Gothorita,-21,-55,10,13,-26,-44,6347
693,Gothitelle,-11,-45,35,33,-1,-34,5617
694,Solosis,-36,-70,-20,43,-61,-79,18407
695,Duosion,-16,-60,-10,63,-51,-69,15287
696,Reuniclus,29,-35,15,63,-26,-69,11697
697,Ducklett,-19,-56,-10,-18,-61,-44,9578
698,Swanna,-6,-13,3,25,-48,-1,3144
699,Vanillite,-45,-50,-10,3,-51,-55,10260
700,Vanillish,-30,-35,5,18,-36,-40,5370
701,Vanilluxe,-10,-5,25,48,-16,-20,3710
702,Deerling,-21,-40,-10,-22,-61,-24,6922
703,Sawsbuck,-1,0,10,-2,-41,-4,1802
704,Emolga,-26,-25,0,13,-51,4,4087
705,Karrablast,-31,-25,-15,-22,-66,-39,8172
706,Escavalier,-11,35,45,-2,-6,-79,9652
707,Foongus,-12,-45,-15,-7,-56,-84,12635
708,Amoonguss,33,-15,10,23,-31,-69,7665
709,Frillish,-26,-60,-10,3,-26,-59,8542
710,Jellicent,19,-40,10,23,-6,-39,4147
711,Alomomola,84,-25,20,-22,-66,-34,14077
712,Joltik,-31,-53,-10,-5,-61,-34,8772
713,Galvantula,-11,-23,0,35,-51,9,4557
714,Ferroseed,-37,-50,31,-38,-25,-89,14820
715,Ferrothorn,-7,-6,71,-8,5,-79,11456
716,Klink,-41,-45,10,-17,-51,-69,11457
717,Klang,-21,-20,35,8,-26,-49,5207
718,Klinklang,-21,0,55,8,-26,-9,4287
719,Tynamo,-46,-45,-20,-17,-71,-39,11392
720,Eelektrik,-16,-15,10,13,-41,-59,5912
721,Eelektross,4,15,20,43,-31,-49,5852
722,Elgyem,-26,-45,-5,23,-56,-69,11152
723,Beheeyem,-6,-25,15,63,-16,-59,8592
724,Litwick,-31,-70,-5,3,-56,-79,15272
725,Lampent,-21,-60,0,33,-51,-44,9667
726,Chandelure,-21,-45,30,83,-21,-19,11057
727,Axew,-35,-13,0,-32,-71,-42,9223
728,Fraxure,-15,17,10,-22,-61,-32,5843
729,Haxorus,-5,47,30,-2,-41,-2,4823
730,Cubchoo,-26,-30,-20,-2,-71,-59,10502
731,Beartic,14,30,20,8,-31,-49,4922
732,Cryogonal,-1,-50,-10,33,24,6,4302
733,Shelmet,-31,-60,25,-22,-46,-74,13262
734,Accelgor,-1,-30,-20,38,-51,46,7462
735,Stunfisk,28,-34,24,19,-12,-67,7510
736,Stunfisk (Galarian Stunfisk),28,-19,39,4,-27,-67,7900
737,Mienfoo,-36,-15,-10,-7,-61,-34,6547
738,Mienshao,-16,25,0,33,-51,6,4607
739,Druddigon,-4,20,30,-2,-21,-51,4362
740,Golett,-22,-26,-10,-27,-61,-64,9806
741,Golurk,8,24,20,-7,-31,-44,3986
742,Pawniard,-36,-15,10,-22,-71,-39,8667
743,Bisharp,-16,25,40,-2,-41,-29,5007
744,Bouffalant,14,10,35,-22,-16,-44,4197
745,Rufflet,-11,-17,-10,-25,-61,-39,6377
746,Braviary,19,23,15,-5,-36,-19,2797
747,Braviary (Hisuian Braviary),29,-17,10,50,-41,-34,6567
748,Vullaby,-11,-45,15,-17,-46,-39,6297
749,Mandibuzz,29,-35,45,-7,-16,-19,4757
750,Heatmor,4,-3,6,43,-45,-34,5091
751,Durant,-23,9,52,-14,-63,10,7579
752,Deino,-29,-35,-10,-17,-61,-61,9897
753,Zweilous,-9,-15,10,3,-41,-41,3777
754,Hydreigon,11,5,30,63,-21,-1,5457
755,Larvesta,-26,-15,-5,-12,-56,-39,5727
756,Volcarona,4,-40,5,73,-6,1,7007
757,Cobalion,10,-10,69,28,-39,9,7347
758,Terrakion,10,29,30,10,-21,9,2463
759,Virizion,10,-10,12,28,18,9,1533
760,Tornadus (Incarnate Forme),-2,15,10,63,-31,12,5403
761,Tornadus (Therian Forme),-2,0,20,48,-21,22,3633
762,Thundurus (Incarnate Forme),-2,15,10,63,-31,12,5403
763,Thundurus (Therian Forme),-2,5,10,83,-31,2,7983
764,Reshiram,19,20,40,88,9,-9,10267
765,Zekrom,19,50,60,58,-11,-9,10027
766,Landorus (Incarnate Forme),8,25,30,53,-31,2,5363
767,Landorus (Therian Forme),8,45,30,43,-31,-8,5863
768,Kyurem,44,30,30,68,-21,-4,8817
769,Kyurem (Black Kyurem),44,70,40,58,-21,-4,12257
770,Kyurem (White Kyurem),44,20,30,108,-11,-4,15037
771,Keldeo,10,-28,30,67,-21,9,6795
772,Meloetta (Aria Forme),19,-23,17,66,17,-9,5905
773,Meloetta (Pirouette Forme),19,28,30,15,-34,29,4267
774,Genesect,-10,20,35,58,-16,0,5345
775,Chespin,-25,-39,5,-14,-66,-61,10444
776,Quilladin,-20,-22,35,-6,-53,-42,6718
777,Chesnaught,7,7,62,12,-36,-35,6607
778,Fennekin,-41,-55,-20,0,-51,-39,9228
779,Braixen,-22,-41,-2,28,-41,-26,5310
780,Delphox,-6,-31,12,52,-11,5,3991
781,Froakie,-40,-44,-20,0,-67,-28,9209
782,Frogadier,-27,-37,-8,21,-55,-2,5632
783,Greninja,-9,-5,7,41,-40,23,3965
784,Greninja (Ash-Greninja),-9,45,7,91,-40,33,13125
785,Bunnelby,-43,-64,-22,-30,-75,-42,14718
786,Diggersby,4,-44,17,-12,-34,-21,3982
787,Fletchling,-36,-50,-17,-22,-73,-37,11267
788,Fletchinder,-19,-27,-5,-6,-59,-15,4857
789,Talonflame,-3,-19,11,12,-42,27,3128
790,Scatterbug,-43,-65,-20,-35,-86,-64,19191
791,Spewpa,-36,-78,0,-35,-81,-70,20066
792,Vivillon,-1,-48,-10,28,-61,-10,7010
793,Litleo,-19,-50,-2,11,-57,-27,6964
794,Pyroar,5,-32,12,47,-45,7,5476
795,Flabébé,-37,-62,-21,-1,-32,-57,9928
796,Floette,-27,-55,-13,13,-13,-47,6470
797,Florges,-3,-35,8,50,43,-24,6223
798,Skiddo,-15,-35,-12,0,-54,-47,6719
799,Gogoat,42,0,2,35,-30,-31,4854
800,Pancham,-14,-18,2,-16,-63,-56,7885
801,Pangoro,14,24,18,7,-40,-41,4426
802,Furfrou,-6,-20,0,3,-21,3,895
803,Espurr,-19,-52,-6,1,-51,-31,6664
804,Meowstic,-7,-52,16,21,-30,5,4375
805,Honedge,-36,-20,40,-27,-74,-71,14542
806,Doublade,-22,10,90,-17,-62,-64,16913
807,Aegislash (Shield Forme),-21,-50,80,-12,29,-39,11847
808,Aegislash (Blade Forme),-21,40,-10,78,-61,-39,13467
809,Spritzee,-3,-48,0,1,-46,-76,10206
810,Aromatisse,20,-28,12,37,-22,-70,8081
811,Swirlix,-19,-52,6,-3,-54,-50,8526
812,Slurpuff,1,-20,26,23,-36,-27,3631
813,Inkay,-28,-46,-7,-25,-65,-54,10715
814,Malamar,5,-8,28,6,-36,-26,2881
815,Binacle,-39,-48,7,-23,-55,-49,9829
816,Barbaracle,-9,5,55,-8,-25,-31,4781
817,Skrelp,-31,-40,0,-2,-51,-69,9927
818,Dragalge,-16,-25,30,35,12,-55,6175
819,Clauncher,-31,-47,2,-4,-48,-55,8519
820,Clawitzer,-10,-27,28,58,-22,-40,7061
821,Helioptile,-37,-62,-27,-1,-68,-29,11408
822,Heliolisk,-19,-45,-8,47,-17,10,5048
823,Tyrunt,-23,-11,17,-17,-66,-51,8185
824,Tyrantrum,1,21,59,7,-52,-28,7460
825,Amaura,-4,-41,-10,5,-48,-53,6935
826,Aurorus,42,-23,12,37,-19,-41,5848
827,Sylveon,14,-35,5,48,19,-39,5632
828,Hawlucha,-3,-8,15,12,-48,19,3107
829,Dedenne,-14,-42,-3,19,-44,2,4270
830,Carbink,-31,-50,90,-12,39,-49,15627
831,Goomy,-36,-50,-25,-7,-36,-59,9247
832,Sliggoo,-13,-25,-7,21,2,-39,2809
833,Sliggoo (Hisuian Sliggoo),-23,-25,23,21,2,-59,5609
834,Goodra,9,0,10,48,39,-19,4367
835,Goodra (Hisuian Goodra),-1,0,40,48,39,-39,6947
836,Klefki,-24,-20,31,18,-24,-24,3413
837,Phantump,-38,-30,-12,-12,-51,-61,8954
838,Trevenant,4,10,16,3,-29,-43,3071
839,Pumpkaboo (Small Size),-37,-34,10,-18,-56,-43,7934
840,Pumpkaboo (Average Size),-32,-34,10,-18,-56,-48,8044
841,Pumpkaboo (Large Size),-27,-34,10,-18,-56,-53,8254
842,Pumpkaboo (Super Size),-22,-34,10,-18,-56,-58,8564
843,Gourgeist (Small Size),-26,-15,62,-4,-36,0,6057
844,Gourgeist (Average Size),-16,-10,62,-4,-36,-15,5737
845,Gourgeist (Large Size),-6,-5,62,-4,-36,-30,6117
846,Gourgeist (Super Size),4,0,62,-4,-36,-45,7197
847,Bergmite,-26,-31,25,-30,-76,-71,13979
848,Avalugg,14,17,124,-18,-65,-71,25451
849,Avalugg (Hisuian Avalugg),14,27,124,-28,-75,-61,26431
850,Noibat,-41,-70,-25,-17,-71,-44,14472
851,Noivern,4,-30,20,35,-31,24,4078
852,Xerneas,45,31,35,69,-13,0,9141
853,Yveltal,45,31,35,69,-13,0,9141
854,Zygarde (50% Forme),27,0,61,19,-16,-4,5083
855,Zygarde (10% Forme),-27,0,11,-1,-26,16,1783
856,Zygarde (Complete Forme),135,0,61,29,-16,-14,23239
857,Diancie,-31,0,90,38,39,-49,14427
858,Diancie (Mega Diancie),-31,60,50,98,-1,11,16787
859,Hoopa (Hoopa Confined),-1,10,0,88,19,-29,9047
860,Hoopa (Hoopa Unbound),-1,60,0,108,19,-19,15987
861,Volcanion,-1,10,60,68,-21,-29,9607
862,Rowlet,-13,-45,-5,-12,-61,-57,9333
863,Dartrix,-3,-25,15,8,-41,-47,4813
864,Decidueye,-3,7,15,38,-11,-29,2689
865,Decidueye (Hisuian Decidueye),7,12,20,33,-16,-39,3459
866,Litten,-36,-35,-20,-2,-71,-29,8807
867,Torracat,-16,-15,-10,18,-61,-9,4707
868,Incineroar,14,15,30,18,-21,-39,3607
869,Popplio,-31,-46,-6,4,-55,-59,9635
870,Brionne,-21,-31,9,29,-30,-49,5625
871,Primarina,-1,-26,14,64,5,-39,6515
872,Pikipek,-46,-25,-30,-32,-81,-34,12382
873,Trumbeak,-26,-15,-10,-22,-61,-24,5782
874,Toucannon,-1,20,15,13,-36,-39,3612
875,Yungoos,-33,-30,-30,-32,-81,-54,13390
876,Gumshoos,7,10,0,-7,-51,-54,5715
877,Grubbin,-34,-38,-15,-7,-66,-53,10039
878,Charjabug,-24,-18,35,-7,-36,-63,7439
879,Vikavolt,-4,-30,30,83,-36,-56,13137
880,Crabrawler,-34,-18,-3,-20,-64,-36,7281
881,Crabominable,16,32,17,0,-44,-56,6641
882,Oricorio,-6,-30,10,36,-41,-6,4049
883,Cutiefly,-41,-55,-20,-7,-71,-15,10421
884,Ribombee,-21,-45,0,33,-41,25,5861
885,Rockruff,-36,-35,-20,-32,-71,-39,10507
886,Lycanroc (Midday Form),-6,15,5,-7,-46,13,2620
887,Lycanroc (Midnight Form),4,15,15,-7,-36,-17,2100
888,Lycanroc (Dusk Form),-6,17,5,-7,-46,11,2636
889,Wishiwashi (Solo Form),-36,-80,-40,-37,-86,-59,21542
890,Wishiwashi (School Form),-36,40,70,78,24,-69,19217
891,Mareanie,-31,-47,2,-19,-59,-54,9932
892,Toxapex,-31,-37,92,-9,31,-64,15932
893,Mudbray,-11,0,10,-17,-56,-54,6562
894,Mudsdale,19,25,40,-7,-26,-64,7407
895,Dewpider,-43,-60,-8,-22,-39,-72,12702
896,Araquanid,-13,-30,32,-12,21,-57,5927
897,Fomantis,-41,-45,-25,-12,-76,-64,14347
898,Lurantis,-11,5,30,18,-21,-54,4727
899,Morelull,-41,-65,-5,3,-36,-84,14292
900,Shiinotic,-21,-55,20,28,-11,-69,9532
901,Salandit,-33,-56,-20,9,-71,-22,10231
902,Salazzle,-13,-36,0,49,-51,18,6791
903,Stufful,-11,-25,-10,-17,-61,-49,7257
904,Bewear,39,25,20,-7,-51,-39,6717
905,Bounsweet,-39,-70,-22,-32,-73,-67,17747
906,Steenee,-29,-60,-12,-22,-63,-37,10407
907,Tsareena,-9,20,38,-12,-13,-27,2967
908,Comfey,-30,-48,30,20,-1,1,4506
909,Oranguru,9,-40,20,28,-1,-39,4387
910,Passimian,19,20,30,-22,-51,-19,5107
911,Wimpod,-56,-65,-20,-42,-81,-19,16447
912,Golisopod,-6,25,80,-2,-21,-59,10987
913,Sandygast,-26,-45,20,8,-66,-84,14577
914,Palossand,4,-25,50,38,-36,-64,9977
915,Pyukumuku,-26,-40,70,-32,19,-94,17397
916,Type: Null,14,-5,35,33,-16,-40,4391
917,Silvally,14,-5,35,33,-16,-4,2807
918,Minior (Meteor Form),-21,-40,40,-2,-11,-39,5287
919,Minior (Core),-21,0,0,38,-51,21,4927
920,Komala,-16,15,5,13,-16,-34,2087
921,Turtonator,-21,-22,75,29,-26,-63,12036
922,Togedemaru,-16,-2,3,-22,-38,-3,2206
923,Mimikyu,-26,-10,20,-12,-6,-3,1365
924,Bruxish,-13,5,10,8,-41,-7,2088
925,Drampa,-3,-40,25,73,-20,-63,11932
926,Dhelmise,-11,31,40,24,-21,-59,7180
927,Jangmo-o,-36,-45,5,-17,-66,-54,10907
928,Hakamo-o,-26,-25,30,3,-41,-34,5047
929,Kommo-o,-6,10,65,38,-6,-14,6037
930,Tapu Koko,-11,15,25,33,-36,31,4317
931,Tapu Lele,-11,-15,15,68,4,-4,5227
932,Tapu Bulu,-11,30,55,23,-16,-24,5407
933,Tapu Fini,-11,-25,55,33,19,-14,5417
934,Cosmog,-38,-71,-29,-33,-80,-62,18659
935,Cosmoem,-38,-71,71,-33,20,-62,16859
936,Solgaleo,56,37,47,51,-22,-2,9803
937,Lunala,56,13,29,75,-4,-2,9791
938,Nihilego,28,-47,-13,65,20,4,7803
939,Buzzwole,26,39,79,-9,-58,-20,12283
940,Pheromosa,-10,37,-23,75,-74,52,15803
941,Xurkitree,2,-11,11,111,-40,-16,14423
942,Celesteela,16,1,43,45,-10,-38,5675
943,Kartana,-22,81,71,-3,-80,10,18595
944,Guzzlord,142,1,-7,35,-58,-56,27939
945,Necrozma,16,7,41,65,-22,-20,7095
946,Necrozma (Dusk Mane Necrozma),16,57,67,51,-2,-22,11083
947,Necrozma (Dawn Wings Necrozma),16,13,49,95,16,-22,12591
948,Necrozma (Ultra Necrozma),16,67,37,105,-14,30,18235
949,Magearna,-1,-5,55,68,4,-34,8847
950,Marshadow,9,25,20,28,-21,26,3007
951,Poipole,-14,-27,7,11,-44,-26,3707
952,Naganadel,-8,-27,13,65,-38,22,7115
953,Stakataka,-20,31,151,-9,-10,-86,31739
954,Blacephalon,-28,27,-7,89,-32,8,10571
955,Zeraora,7,12,15,40,-31,44,4915
956,Meltan,-35,-35,5,-7,-76,-65,12525
957,Melmetal,54,43,83,18,-46,-65,18319
958,Grookey,-31,-35,-10,-22,-71,-34,8967
959,Thwackey,-11,-15,10,-7,-51,-19,3457
960,Rillaboom,19,25,30,-2,-41,-14,3767
961,Scorbunny,-31,-29,-20,-22,-71,-30,8627
962,Raboot,-16,-14,0,-7,-51,-5,3127
963,Cinderace,-1,16,15,3,-36,20,2187
964,Sobble,-31,-60,-20,8,-71,-29,10907
965,Drizzile,-16,-40,-5,33,-56,-9,6187
966,Inteleon,-11,-15,5,63,-46,21,6897
967,Skwovet,-11,-45,-5,-27,-76,-74,14152
968,Greedent,39,-5,35,-7,-36,-79,10357
969,Rookidee,-43,-53,-25,-29,-76,-42,13664
970,Corvisquire,-13,-33,-5,-19,-56,-22,5264
971,Corviknight,17,-13,45,-9,-26,-32,4264
972,Blipbug,-56,-80,-40,-37,-66,-54,19777
973,Dottler,-31,-65,20,-12,-21,-69,10932
974,Orbeetle,-21,-55,50,18,9,-9,6452
975,Nickit,-41,-72,-32,-15,-59,-49,13996
976,Thievul,-11,-42,-2,25,-19,-9,2956
977,Gossifleur,-41,-60,0,-22,-51,-89,16287
978,Eldegoss,-21,-50,30,18,9,-39,5767
979,Wooloo,-39,-60,-5,-22,-66,-51,12587
980,Dubwool,-9,-20,40,-2,-21,-11,2647
981,Chewtle,-31,-36,-10,-24,-73,-55,11287
982,Drednaw,9,15,30,-14,-43,-25,3876
983,Yamper,-22,-55,-10,-22,-61,-73,13143
