Carla Betancourt vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
470,Groudon (Primal Groudon),2,78,63,65,-30,-23,15711
471,Rayquaza,7,48,-7,65,-30,-18,7851
472,Rayquaza (Mega Rayquaza),7,78,3,95,-20,2,15571
473,Jirachi,2,-2,3,15,-20,-13,811
474,Deoxys (Normal Forme),-48,48,-47,65,-70,37,17311
475,Deoxys (Attack Forme),-48,78,-77,95,-100,37,34711
476,Deoxys (Defense Forme),-48,-32,63,-15,40,-23,9651
477,Deoxys (Speed Forme),-48,-7,-7,10,-30,67,7891
478,Turtwig,-43,-34,-33,-40,-65,-82,16643
479,Grotle,-23,-13,-12,-30,-55,-77,10696
480,Torterra,-3,7,8,-10,-35,-57,4696
481,Chimchar,-54,-44,-53,-27,-76,-52,16870
482,Monferno,-34,-24,-45,-7,-68,-32,9454
483,Infernape,-22,2,-26,19,-49,-5,3951
484,Piplup,-45,-51,-44,-24,-64,-73,16563
485,Prinplup,-34,-36,-29,-4,-44,-63,9214
486,Empoleon,-14,-16,-9,26,-19,-53,4379
487,Starly,-58,-47,-67,-55,-90,-53,23996
488,Staravia,-43,-27,-47,-45,-80,-33,14301
489,Staraptor,-13,18,-27,-35,-60,-13,6216
490,Bidoof,-39,-57,-57,-50,-80,-82,23643
491,Bibarel,-19,-17,-37,-30,-60,-42,8283
492,Kricketot,-61,-77,-56,-60,-79,-88,30371
493,Kricketune,-21,-17,-46,-30,-69,-48,10811
494,Shinx,-53,-37,-63,-45,-86,-68,22192
495,Luxio,-38,-17,-48,-25,-71,-53,12512
496,Luxray,-18,18,-18,10,-41,-43,4602
497,Budew,-58,-72,-62,-35,-50,-58,19481
498,Roserade,-38,-32,-32,40,-15,-23,5846
499,Cranidos,-31,23,-57,-55,-90,-55,18889
500,Rampardos,-1,63,-37,-20,-70,-55,13664
501,Shieldon,-68,-60,21,-43,-32,-83,18427
502,Bastiodon,-38,-50,71,-38,18,-83,17642
503,Burmy,-58,-73,-52,-56,-75,-77,26087
504,Wormadam (Plant Cloak),-38,-43,-12,-6,-15,-77,9627
505,Wormadam (Sandy Cloak),-38,-23,8,-26,-35,-77,9867
506,Wormadam (Trash Cloak),-38,-33,-2,-16,-25,-77,9347
507,Mothim,-28,-8,-47,9,-70,-47,10247
508,Combee,-68,-72,-55,-55,-78,-43,23791
509,Vespiquen,-28,-22,5,-5,-18,-73,6971
510,Pachirisu,-38,-57,-27,-40,-30,-18,8246
511,Buizel,-43,-37,-62,-25,-90,-28,16571
512,Floatzel,-13,3,-42,0,-70,2,6846
513,Cherubi,-53,-67,-52,-23,-67,-78,21104
514,Cherrim,-28,-42,-27,2,-42,-28,5829
515,Shellos,-22,-54,-49,-28,-58,-79,16190
516,Gastrodon,13,-19,-29,7,-38,-74,8340
517,Ambipom,-23,-2,-31,-25,-54,2,5039
518,Drifloon,-8,-52,-63,-25,-76,-43,14987
519,Drifblim,52,-22,-53,5,-66,-33,11467
520,Buneary,-43,-36,-53,-41,-64,-28,12515
521,Lopunny,-33,-26,-13,-31,-24,-8,3535
522,Lopunny (Mega Lopunny),-33,34,-3,-31,-24,22,4275
523,Mismagius,-38,-42,-37,20,-15,-8,5266
524,Honchkrow,2,23,-45,20,-68,-42,9346
525,Glameow,-49,-47,-55,-43,-83,-28,17157
526,Purugly,-27,-20,-33,-21,-61,-1,6381
527,Chingling,-53,-72,-47,-20,-70,-68,20126
528,Stunky,-35,-39,-50,-44,-79,-39,14944
529,Skuntank,5,-9,-30,-14,-59,-29,5524
530,Bronzor,-41,-78,-11,-61,-34,-90,20863
531,Bronzong,-31,-13,19,-6,-4,-80,7943
532,Bonsly,-48,-22,-2,-75,-75,-103,24651
533,Mime Jr.,-78,-77,-52,-15,-30,-53,18651
534,Happiny,2,-97,-92,-70,-55,-83,32691
535,Chatot,-22,-37,-52,7,-78,-22,11174
536,Spiritomb,-48,-10,11,7,-12,-78,8802
537,Gible,-40,-32,-52,-45,-75,-71,18019
538,Gabite,-30,-12,-32,-35,-65,-31,8479
539,Garchomp,10,28,-2,-5,-35,-11,2259
540,Garchomp (Mega Garchomp),10,68,18,35,-25,-21,7339
541,Munchlax,37,-17,-57,-45,-35,-108,19821
542,Riolu,-58,-32,-57,-50,-80,-53,19346
543,Lucario,-28,8,-27,30,-50,-23,5506
544,Lucario (Mega Lucario),-28,43,-9,55,-50,-1,8240
545,Hippopotas,-30,-30,-19,-47,-78,-81,17015
546,Hippowdon,10,10,21,-17,-48,-66,7590
547,Skorupi,-58,-52,-7,-55,-65,-48,15671
548,Drapion,-28,-12,13,-25,-45,-18,4071
549,Croagunk,-50,-41,-57,-24,-80,-63,18375
550,Toxicroak,-15,4,-32,1,-55,-28,5075
551,Carnivine,-24,-2,-25,5,-48,-67,8023
552,Finneon,-49,-53,-41,-36,-59,-47,13877
553,Lumineon,-29,-33,-21,-16,-34,-22,4267
554,Mantyke,-53,-82,-47,-25,0,-63,16336
555,Snover,-38,-40,-47,-23,-60,-73,14711
556,Abomasnow,-8,-10,-22,7,-35,-53,4731
557,Abomasnow (Mega Abomasnow),-8,30,8,47,-15,-83,10351
558,Weavile,-28,18,-32,-40,-35,12,5101
559,Magnezone,-28,-32,18,45,-30,-53,7866
560,Lickilicky,12,-17,-2,-5,-25,-63,5056
561,Rhyperior,17,38,33,-30,-65,-73,13276
562,Tangrowth,2,-2,28,25,-70,-63,10286
563,Electivire,-23,21,-30,10,-35,-18,3519
564,Magmortar,-23,-7,-30,40,-25,-30,4603
565,Togekiss,-13,-52,-2,35,-5,-33,5216
566,Yanmega,-12,-26,-11,31,-64,-18,6322
567,Leafeon,-33,8,33,-25,-55,-18,6216
568,Glaceon,-33,-42,13,45,-25,-48,7976
569,Gliscor,-23,-7,28,-40,-45,-18,5311
570,Mamoswine,12,28,-17,-15,-60,-33,6131
571,Porygon-Z,-13,-22,-27,50,-45,-23,6436
572,Gallade,-30,23,-32,-20,-5,-33,3967
573,Gallade (Mega Gallade),-30,63,-2,-20,-5,-3,5307
574,Probopass,-38,-47,48,-10,30,-73,12286
575,Dusknoir,-53,-2,38,-20,15,-68,9506
576,Froslass,-28,-22,-27,-5,-50,-3,4531
577,Rotom,-48,-52,-20,10,-43,-22,7841
578,Rotom (Heat Rotom),-48,-37,10,20,-13,-27,5071
579,Rotom (Wash Rotom),-48,-37,10,20,-13,-27,5071
580,Rotom (Frost Rotom),-48,-37,10,20,-13,-27,5071
581,Rotom (Fan Rotom),-48,-37,10,20,-13,-27,5071
582,Rotom (Mow Rotom),-48,-37,10,20,-13,-27,5071
583,Uxie,-23,-27,33,-10,10,-18,2871
584,Mesprit,-18,3,8,20,-15,-33,2111
585,Azelf,-23,23,-27,40,-50,2,5891
586,Dialga,2,18,23,65,-20,-23,6011
587,Dialga (Origin Forme),2,-2,23,65,0,-23,5291
588,Palkia,-8,18,3,65,0,-13,4791
589,Palkia (Origin Forme),-8,-2,3,65,0,7,4351
590,Heatran,-7,-12,9,45,-14,-36,3791
591,Regigigas,12,58,13,-5,-10,-13,3971
592,Giratina (Altered Forme),52,-2,23,15,0,-23,3991
593,Giratina (Origin Forme),52,18,3,35,-20,-23,5191
594,Cresselia,22,-32,23,-10,10,-28,3021
595,Phione,-18,-22,-17,-5,-40,-33,3811
596,Manaphy,2,-2,3,15,-20,-13,811
597,Darkrai,-28,-12,-7,50,-30,12,4521
598,Shaymin (Land Forme),2,-2,3,15,-20,-13,811
599,Shaymin (Sky Forme),2,1,-22,35,-45,14,3935
600,Arceus,22,18,23,35,0,7,2611
601,Victini,2,-2,3,15,-20,-13,811
602,Snivy,-53,-57,-42,-40,-65,-50,16147
603,Servine,-38,-42,-22,-25,-45,-30,7242
604,Serperior,-23,-27,-2,-10,-25,0,1987
605,Tepig,-33,-39,-52,-40,-75,-68,17163
606,Pignite,-8,-9,-42,-15,-65,-58,9723
607,Emboar,12,21,-32,15,-55,-48,7163
608,Oshawott,-43,-47,-52,-22,-75,-68,17495
609,Dewott,-23,-27,-37,-2,-60,-53,9040
610,Samurott,-3,-2,-12,23,-50,-43,5035
611,Samurott (Hisuian Samurott),-8,6,-17,15,-55,-28,4423
612,Patrat,-53,-47,-58,-50,-81,-71,22484
613,Watchog,-38,-17,-28,-25,-51,-36,7039
614,Lillipup,-53,-42,-52,-60,-75,-58,19866
615,Herdier,-33,-22,-32,-50,-55,-53,10931
616,Stoutland,-13,8,-7,-40,-30,-33,3871
617,Purrloin,-57,-52,-60,-35,-83,-47,19876
618,Liepard,-34,-14,-47,3,-70,-7,8519
619,Pansage,-48,-49,-49,-32,-72,-49,15715
620,Simisage,-23,-4,-34,13,-57,-12,5263
621,Pansear,-48,-49,-49,-32,-72,-49,15715
622,Simisear,-23,-4,-34,13,-57,-12,5263
623,Panpour,-48,-49,-49,-32,-72,-49,15715
624,Simipour,-23,-4,-34,13,-57,-12,5263
625,Munna,-22,-77,-52,-18,-65,-89,21587
626,Musharna,18,-47,-12,22,-25,-84,10842
627,Pidove,-48,-47,-47,-49,-90,-70,22123
628,Tranquill,-36,-25,-35,-35,-78,-48,12759
629,Unfezant,-18,13,-17,-20,-65,-20,5807
630,Blitzle,-53,-42,-65,-35,-88,-37,19136
631,Zebstrika,-23,-2,-34,-5,-57,3,4972
632,Roggenrola,-43,-27,-12,-60,-95,-98,24951
633,Boldore,-28,3,8,-35,-80,-93,17131
634,Gigalith,-13,33,33,-25,-40,-88,12316
635,Woobat,-33,-57,-54,-30,-77,-41,15764
636,Swoobat,-31,-45,-42,-8,-65,1,9040
637,Drilbur,-38,-17,-57,-55,-75,-45,15657
638,Excadrill,12,33,-37,-35,-55,-25,7477
639,Audino,5,-42,-11,-25,-34,-63,7660
640,Audino (Mega Audino),5,-42,29,-5,6,-63,6660
641,Timburr,-23,-22,-42,-60,-85,-78,19686
642,Gurdurr,-13,3,-12,-45,-70,-73,12576
643,Conkeldurr,7,38,-2,-30,-55,-68,10046
644,Tympole,-48,-52,-57,-35,-80,-49,18283
645,Palpitoad,-23,-37,-42,-20,-65,-44,10223
646,Seismitoad,7,-7,-22,0,-45,-39,4128
647,Throh,22,-2,-12,-55,-35,-68,9506
648,Sawk,-23,23,-22,-55,-45,-28,7376
649,Sewaddle,-53,-49,-27,-45,-60,-71,16605
650,Swadloon,-43,-39,-7,-35,-40,-71,11285
651,Leavanny,-23,1,-17,-15,-40,-21,3085
652,Venipede,-68,-57,-38,-55,-81,-56,22039
653,Whirlipede,-58,-47,2,-45,-41,-66,13639
654,Scolipede,-38,-2,-8,-30,-51,-1,5014
655,Cottonee,-58,-75,-37,-48,-70,-47,19771
656,Whimsicott,-38,-35,-12,-8,-45,3,4911
657,Petilil,-53,-67,-47,-15,-70,-83,21521
658,Lilligant,-28,-42,-22,25,-45,-23,6211
659,Lilligant (Hisuian Lilligant),-28,3,-22,-35,-45,-8,4591
660,Basculin,-28,-10,-32,-5,-65,-15,6383
661,Sandile,-48,-30,-62,-50,-85,-48,19077
662,Krokorok,-38,-20,-52,-40,-75,-39,13294
663,Krookodile,-3,15,-17,-20,-50,-21,3864
664,Darumaka,-28,-12,-52,-70,-75,-63,18126
665,Darumaka (Galarian Darumaka),-28,-12,-52,-70,-75,-63,18126
666,Darmanitan (Standard Mode),7,38,-42,-55,-65,-18,10831
667,Darmanitan (Zen Mode),7,-72,8,55,-15,-58,11911
668,Darmanitan (Galarian Standard Mode),7,38,-42,-55,-65,-18,10831
669,Darmanitan (Galarian Zen Mode),7,58,-42,-55,-65,22,12911
670,Maractus,-23,-16,-30,21,-53,-53,7744
671,Dwebble,-48,-37,-12,-50,-85,-58,16906
672,Crustle,-28,3,28,-20,-45,-68,8626
673,Scraggy,-48,-27,-27,-50,-50,-65,12987
674,Scrafty,-33,-12,18,-40,-5,-55,6207
675,Sigilyph,-26,-44,-17,18,-40,-16,5081
676,Yamask,-60,-72,-12,-30,-55,-83,19742
677,Yamask (Galarian Yamask),-60,-47,-12,-55,-55,-83,18892
678,Cofagrigus,-40,-52,48,10,-15,-83,13822
679,Tirtouga,-44,-24,6,-32,-75,-91,17478
680,Carracosta,-24,6,36,-2,-55,-81,11498
681,Archen,-43,10,-52,-11,-75,-43,12248
682,Archeops,-23,38,-32,27,-55,-3,6760
683,Trubbish,-48,-52,-35,-45,-58,-48,13926
684,Garbodor,-18,-7,-15,-25,-38,-38,4111
685,Zorua,-58,-37,-57,-5,-80,-48,16711
686,Zorua (Hisuian Zorua),-63,-42,-57,0,-80,-43,17231
687,Zoroark,-38,3,-37,35,-60,-8,7711
688,Zoroark (Hisuian Zoroark),-43,-2,-37,40,-60,-3,8431
689,Minccino,-43,-52,-57,-45,-80,-38,17671
690,Cinccino,-23,-7,-37,-20,-60,2,5951
691,Gothita,-53,-72,-47,-30,-55,-68,18751
692,Gothorita,-38,-57,-27,-10,-35,-58,10111
693,Gothitelle,-28,-47,-2,10,-10,-48,5501
694,Solosis,-53,-72,-57,20,-70,-93,25191
695,Duosion,-33,-62,-47,40,-60,-83,19231
696,Reuniclus,12,-37,-22,40,-35,-83,11711
697,Ducklett,-36,-58,-47,-41,-70,-58,16814
698,Swanna,-23,-15,-34,2,-57,-15,5388
699,Vanillite,-62,-52,-47,-20,-60,-69,17518
700,Vanillish,-47,-37,-32,-5,-45,-54,9568
701,Vanilluxe,-27,-7,-12,25,-25,-34,3328
702,Deerling,-38,-42,-47,-45,-70,-38,13786
703,Sawsbuck,-18,-2,-27,-25,-50,-18,4506
704,Emolga,-43,-27,-37,-10,-60,-10,7747
705,Karrablast,-48,-27,-52,-45,-75,-53,16196
706,Escavalier,-28,33,8,-25,-15,-93,11436
707,Foongus,-29,-47,-52,-30,-65,-98,20483
708,Amoonguss,16,-17,-27,0,-40,-83,9763
709,Frillish,-43,-62,-47,-20,-35,-73,14856
710,Jellicent,2,-42,-27,0,-15,-53,5531
711,Alomomola,67,-27,-17,-45,-75,-48,15461
712,Joltik,-48,-55,-47,-28,-70,-48,15526
713,Galvantula,-28,-25,-37,12,-60,-5,6547
714,Ferroseed,-54,-52,-6,-61,-34,-103,21142
715,Ferrothorn,-24,-8,34,-31,-4,-93,11422
716,Klink,-58,-47,-27,-40,-60,-83,18391
717,Klang,-38,-22,-2,-15,-35,-63,7351
718,Klinklang,-38,-2,18,-15,-35,-23,3751
719,Tynamo,-63,-47,-57,-40,-80,-53,20236
720,Eelektrik,-33,-17,-27,-10,-50,-73,10036
721,Eelektross,-13,13,-17,20,-40,-63,6596
722,Elgyem,-43,-47,-42,0,-65,-83,16936
723,Beheeyem,-23,-27,-22,40,-25,-73,9296
724,Litwick,-48,-72,-42,-20,-65,-93,22526
725,Lampent,-38,-62,-37,10,-60,-58,13721
726,Chandelure,-38,-47,-7,60,-30,-33,9291
727,Axew,-52,-15,-37,-55,-80,-56,16859
728,Fraxure,-32,15,-27,-45,-70,-46,11019
729,Haxorus,-22,45,-7,-25,-50,-16,5939
730,Cubchoo,-43,-32,-57,-25,-80,-73,18476
731,Beartic,-3,28,-17,-15,-40,-63,6876
732,Cryogonal,-18,-52,-47,10,15,-8,5626
733,Shelmet,-48,-62,-12,-45,-55,-88,19086
734,Accelgor,-18,-32,-57,15,-60,32,9446
735,Stunfisk,11,-36,-13,-4,-21,-81,8604
736,Stunfisk (Galarian Stunfisk),11,-21,2,-19,-36,-81,8784
737,Mienfoo,-53,-17,-47,-30,-70,-48,13411
738,Mienshao,-33,23,-37,10,-60,-8,6751
739,Druddigon,-21,18,-7,-25,-30,-65,6564
740,Golett,-39,-28,-47,-50,-70,-78,17998
741,Golurk,-9,22,-17,-30,-40,-58,6718
742,Pawniard,-53,-17,-27,-45,-80,-53,15061
743,Bisharp,-33,23,3,-25,-50,-43,6601
744,Bouffalant,-3,8,-2,-45,-25,-58,6091
745,Rufflet,-28,-19,-47,-48,-70,-53,13367
746,Braviary,2,21,-22,-28,-45,-33,4827
747,Braviary (Hisuian Braviary),12,-19,-27,27,-50,-48,6767
748,Vullaby,-28,-47,-22,-40,-55,-53,10911
749,Mandibuzz,12,-37,8,-30,-25,-33,4191
750,Heatmor,-13,-5,-31,20,-54,-48,6775
751,Durant,-40,7,15,-37,-72,-4,8443
752,Deino,-46,-37,-47,-40,-70,-75,17819
753,Zweilous,-26,-17,-27,-20,-50,-55,7619
754,Hydreigon,-6,3,-7,40,-30,-15,2819
755,Larvesta,-43,-17,-42,-35,-65,-53,12161
756,Volcarona,-13,-42,-32,50,-15,-13,5851
757,Cobalion,-7,-12,32,5,-48,-5,3571
758,Terrakion,-7,27,-7,-13,-30,-5,1921
759,Virizion,-7,-12,-25,5,9,-5,949
760,Tornadus (Incarnate Forme),-19,13,-27,40,-40,-2,4463
761,Tornadus (Therian Forme),-19,-2,-17,25,-30,8,2243
762,Thundurus (Incarnate Forme),-19,13,-27,40,-40,-2,4463
763,Thundurus (Therian Forme),-19,3,-27,60,-40,-12,6443
764,Reshiram,2,18,3,65,0,-23,5091
765,Zekrom,2,48,23,35,-20,-23,4991
766,Landorus (Incarnate Forme),-9,23,-7,30,-40,-12,3303
767,Landorus (Therian Forme),-9,43,-7,20,-40,-22,4463
768,Kyurem,27,28,-7,45,-30,-18,4811
769,Kyurem (Black Kyurem),27,68,3,35,-30,-18,7811
770,Kyurem (White Kyurem),27,18,-7,85,-20,-18,9051
771,Keldeo,-7,-30,-7,44,-30,-5,3859
772,Meloetta (Aria Forme),2,-25,-20,43,8,-23,3471
773,Meloetta (Pirouette Forme),2,26,-7,-8,-43,15,2867
774,Genesect,-27,18,-2,35,-25,-14,3103
775,Chespin,-42,-41,-32,-37,-75,-75,17088
776,Quilladin,-37,-24,-2,-29,-62,-56,9770
777,Chesnaught,-10,5,25,-11,-45,-49,5297
778,Fennekin,-58,-57,-57,-23,-60,-53,16800
779,Braixen,-39,-43,-39,5,-50,-40,9016
780,Delphox,-23,-33,-25,29,-20,-9,3565
781,Froakie,-57,-46,-57,-23,-76,-42,16683
782,Frogadier,-44,-39,-45,-2,-64,-16,9838
783,Greninja,-26,-7,-30,18,-49,9,4431
784,Greninja (Ash-Greninja),-26,43,-30,68,-49,19,10811
785,Bunnelby,-60,-66,-59,-53,-84,-56,24438
786,Diggersby,-13,-46,-20,-35,-43,-35,6984
787,Fletchling,-53,-52,-54,-45,-82,-51,19779
788,Fletchinder,-36,-29,-42,-29,-68,-29,10207
789,Talonflame,-20,-21,-26,-11,-51,13,4408
790,Scatterbug,-60,-67,-57,-58,-95,-78,29811
791,Spewpa,-53,-80,-37,-58,-90,-84,29098
792,Vivillon,-18,-50,-47,5,-70,-24,10534
793,Litleo,-36,-52,-39,-12,-66,-41,11702
794,Pyroar,-12,-34,-25,24,-54,-7,5466
795,Flabébé,-54,-64,-58,-24,-41,-71,17674
796,Floette,-44,-57,-50,-10,-22,-61,11990
797,Florges,-20,-37,-29,27,34,-38,5939
798,Skiddo,-32,-37,-49,-23,-63,-61,13013
799,Gogoat,25,-2,-35,12,-39,-45,5544
800,Pancham,-31,-20,-35,-39,-72,-70,14191
801,Pangoro,-3,22,-19,-16,-49,-55,6536
802,Furfrou,-23,-22,-37,-20,-30,-11,3803
803,Espurr,-36,-54,-43,-22,-60,-45,12170
804,Meowstic,-24,-54,-21,-2,-39,-9,5539
805,Honedge,-53,-22,3,-50,-83,-85,19916
806,Doublade,-39,8,53,-40,-71,-78,17119
807,Aegislash (Shield Forme),-38,-52,43,-35,20,-53,10431
808,Aegislash (Blade Forme),-38,38,-47,55,-70,-53,15831
809,Spritzee,-20,-50,-37,-22,-55,-90,15878
810,Aromatisse,3,-30,-25,14,-31,-84,9747
811,Swirlix,-36,-54,-31,-26,-63,-64,13914
812,Slurpuff,-16,-22,-11,0,-45,-41,4567
813,Inkay,-45,-48,-44,-48,-74,-68,18669
814,Malamar,-12,-10,-9,-17,-45,-40,4239
815,Binacle,-56,-50,-30,-46,-64,-63,16717
816,Barbaracle,-26,3,18,-31,-34,-45,5151
817,Skrelp,-48,-42,-37,-25,-60,-83,16551
818,Dragalge,-33,-27,-7,12,3,-69,6781
819,Clauncher,-48,-49,-35,-27,-57,-69,14669
820,Clawitzer,-27,-29,-9,35,-31,-54,6753
821,Helioptile,-54,-64,-64,-24,-77,-43,19462
822,Heliolisk,-36,-47,-45,24,-26,-4,6798
823,Tyrunt,-40,-13,-20,-40,-75,-65,13619
824,Tyrantrum,-16,19,22,-16,-61,-42,6842
825,Amaura,-21,-43,-47,-18,-57,-67,12561
826,Aurorus,25,-25,-25,14,-28,-55,5880
827,Sylveon,-3,-37,-32,25,10,-53,5936
828,Hawlucha,-20,-10,-22,-11,-57,5,4379
829,Dedenne,-31,-44,-40,-4,-53,-12,7466
830,Carbink,-48,-52,53,-35,30,-63,13911
831,Goomy,-53,-52,-62,-30,-45,-73,17611
832,Sliggoo,-30,-27,-44,-2,-7,-53,6427
833,Sliggoo (Hisuian Sliggoo),-40,-27,-14,-2,-7,-73,7907
834,Goodra,-8,-2,-27,25,30,-33,3411
835,Goodra (Hisuian Goodra),-18,-2,3,25,30,-53,4671
836,Klefki,-41,-22,-6,-5,-33,-38,4759
837,Phantump,-55,-32,-49,-35,-60,-75,16900
838,Trevenant,-13,8,-21,-20,-38,-57,5767
839,Pumpkaboo (Small Size),-54,-36,-27,-41,-65,-57,14096
840,Pumpkaboo (Average Size),-49,-36,-27,-41,-65,-62,14176
841,Pumpkaboo (Large Size),-44,-36,-27,-41,-65,-67,14356
842,Pumpkaboo (Super Size),-39,-36,-27,-41,-65,-72,14636
843,Gourgeist (Small Size),-43,-17,25,-27,-45,-14,5713
844,Gourgeist (Average Size),-33,-12,25,-27,-45,-29,5453
845,Gourgeist (Large Size),-23,-7,25,-27,-45,-44,5893
846,Gourgeist (Super Size),-13,-2,25,-27,-45,-59,7033
847,Bergmite,-43,-33,-12,-53,-85,-85,20341
848,Avalugg,-3,15,87,-41,-74,-85,22185
849,Avalugg (Hisuian Avalugg),-3,25,87,-51,-84,-75,23485
850,Noibat,-58,-72,-62,-40,-80,-58,23756
851,Noivern,-13,-32,-17,12,-40,10,3326
852,Xerneas,28,29,-2,46,-22,-14,4425
853,Yveltal,28,29,-2,46,-22,-14,4425
854,Zygarde (50% Forme),10,-2,24,-4,-25,-18,1645
855,Zygarde (10% Forme),-44,-2,-26,-24,-35,2,4421
856,Zygarde (Complete Forme),118,-2,24,6,-25,-28,15949
857,Diancie,-48,-2,53,15,30,-63,10211
858,Diancie (Mega Diancie),-48,58,13,75,-10,-3,11571
859,Hoopa (Hoopa Confined),-18,8,-37,65,10,-43,7931
860,Hoopa (Hoopa Unbound),-18,58,-37,85,10,-33,13471
861,Volcanion,-18,8,23,45,-30,-43,5691
862,Rowlet,-30,-47,-42,-35,-70,-71,16039
863,Dartrix,-20,-27,-22,-15,-50,-61,8059
864,Decidueye,-20,5,-22,15,-20,-43,3383
865,Decidueye (Hisuian Decidueye),-10,10,-17,10,-25,-53,4023
866,Litten,-53,-37,-57,-25,-80,-43,16301
867,Torracat,-33,-17,-47,-5,-70,-23,9041
868,Incineroar,-3,13,-7,-5,-30,-53,3961
869,Popplio,-48,-48,-43,-19,-64,-73,16243
870,Brionne,-38,-33,-28,6,-39,-63,8843
871,Primarina,-18,-28,-23,41,-4,-53,6143
872,Pikipek,-63,-27,-67,-55,-90,-48,22616
873,Trumbeak,-43,-17,-47,-45,-70,-38,12716
874,Toucannon,-18,18,-22,-10,-45,-53,6066
875,Yungoos,-50,-32,-67,-55,-90,-68,23762
876,Gumshoos,-10,8,-37,-30,-60,-68,10657
877,Grubbin,-51,-40,-52,-30,-75,-67,17919
878,Charjabug,-41,-20,-2,-30,-45,-77,10939
879,Vikavolt,-21,-32,-7,60,-45,-70,12039
880,Crabrawler,-51,-20,-40,-43,-73,-50,14279
881,Crabominable,-1,30,-20,-23,-53,-70,9539
882,Oricorio,-23,-32,-27,13,-50,-20,5351
883,Cutiefly,-58,-57,-57,-30,-80,-29,18003
884,Ribombee,-38,-47,-37,10,-50,11,7743
885,Rockruff,-53,-37,-57,-55,-80,-53,19661
886,Lycanroc (Midday Form),-23,13,-32,-30,-55,-1,5648
887,Lycanroc (Midnight Form),-13,13,-22,-30,-45,-31,4708
888,Lycanroc (Dusk Form),-23,15,-32,-30,-55,-3,5712
889,Wishiwashi (Solo Form),-53,-82,-77,-60,-95,-73,33416
890,Wishiwashi (School Form),-53,38,33,55,15,-83,15481
891,Mareanie,-48,-49,-35,-42,-68,-68,16942
892,Toxapex,-48,-39,55,-32,22,-78,14442
893,Mudbray,-28,-2,-27,-40,-65,-68,11966
894,Mudsdale,2,23,3,-30,-35,-78,8751
895,Dewpider,-60,-62,-45,-45,-48,-86,21194
896,Araquanid,-30,-32,-5,-35,12,-71,8359
897,Fomantis,-58,-47,-62,-35,-85,-78,23951
898,Lurantis,-28,3,-7,-5,-30,-68,6391
899,Morelull,-58,-67,-42,-20,-45,-98,21646
900,Shiinotic,-38,-57,-17,5,-20,-83,12296
901,Salandit,-50,-58,-57,-14,-80,-36,17005
902,Salazzle,-30,-38,-37,26,-60,4,8005
903,Stufful,-28,-27,-47,-40,-70,-63,14191
904,Bewear,22,23,-17,-30,-60,-53,8611
905,Bounsweet,-56,-72,-59,-55,-82,-81,28111
906,Steenee,-46,-62,-49,-45,-72,-51,18171
907,Tsareena,-26,18,1,-35,-22,-41,4391
908,Comfey,-47,-50,-7,-3,-10,-13,5036
909,Oranguru,-8,-42,-17,5,-10,-53,5051
910,Passimian,2,18,-7,-45,-60,-33,7091
911,Wimpod,-73,-67,-57,-65,-90,-33,26481
912,Golisopod,-23,23,43,-25,-30,-73,9761
913,Sandygast,-43,-47,-17,-15,-75,-98,19801
914,Palossand,-13,-27,13,15,-45,-78,9401
915,Pyukumuku,-43,-42,33,-55,10,-108,19491
916,Type: Null,-3,-7,-2,10,-25,-54,3703
917,Silvally,-3,-7,-2,10,-25,-18,1111
918,Minior (Meteor Form),-38,-42,3,-25,-20,-53,7051
919,Minior (Core),-38,-2,-37,15,-60,7,6691
920,Komala,-33,13,-32,-10,-25,-48,5311
921,Turtonator,-38,-24,38,6,-35,-77,10654
922,Togedemaru,-33,-4,-34,-45,-47,-17,6784
923,Mimikyu,-43,-12,-17,-35,-15,-17,4021
924,Bruxish,-30,3,-27,-15,-50,-21,4804
925,Drampa,-20,-42,-12,50,-29,-77,11578
926,Dhelmise,-28,29,3,1,-30,-73,7864
927,Jangmo-o,-53,-47,-32,-40,-75,-68,17891
928,Hakamo-o,-43,-27,-7,-20,-50,-48,7831
929,Kommo-o,-23,8,28,15,-15,-28,2611
930,Tapu Koko,-28,13,-12,10,-45,17,3511
931,Tapu Lele,-28,-17,-22,45,-5,-18,3931
932,Tapu Bulu,-28,28,18,0,-25,-38,3961
933,Tapu Fini,-28,-27,18,10,10,-28,2821
934,Cosmog,-55,-73,-66,-56,-89,-76,29543
935,Cosmoem,-55,-73,34,-56,11,-76,18543
936,Solgaleo,39,35,10,28,-31,-16,4847
937,Lunala,39,11,-8,52,-13,-16,4835
938,Nihilego,11,-49,-50,42,11,-10,7007
939,Buzzwole,9,37,42,-32,-67,-34,9883
940,Pheromosa,-27,35,-60,52,-83,38,16591
941,Xurkitree,-15,-13,-26,88,-49,-30,12115
942,Celesteela,-1,-1,6,22,-19,-52,3587
943,Kartana,-39,79,34,-26,-89,-4,17531
944,Guzzlord,125,-1,-44,12,-67,-70,27095
945,Necrozma,-1,5,4,42,-31,-34,3923
946,Necrozma (Dusk Mane Necrozma),-1,55,30,28,-11,-36,6127
947,Necrozma (Dawn Wings Necrozma),-1,11,12,72,7,-36,6795
948,Necrozma (Ultra Necrozma),-1,65,0,82,-23,16,11735
949,Magearna,-18,-7,18,45,-5,-48,5051
