Piper Parker vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
491,Bibarel,6,-20,0,-8,-39,-14,2217
492,Kricketot,-36,-80,-19,-38,-58,-60,16465
493,Kricketune,4,-20,-9,-8,-48,-20,3265
494,Shinx,-28,-40,-26,-23,-65,-40,9414
495,Luxio,-13,-20,-11,-3,-50,-25,3824
496,Luxray,7,15,19,32,-20,-15,2284
497,Budew,-33,-75,-25,-13,-29,-30,9249
498,Roserade,-13,-35,5,62,6,5,5324
499,Cranidos,-6,20,-20,-33,-69,-27,7415
500,Rampardos,24,60,0,2,-49,-27,7310
501,Shieldon,-43,-63,58,-21,-11,-55,12769
502,Bastiodon,-13,-53,108,-16,39,-55,19444
503,Burmy,-33,-76,-15,-34,-54,-49,13563
504,Wormadam (Plant Cloak),-13,-46,25,16,6,-49,5603
505,Wormadam (Sandy Cloak),-13,-26,45,-4,-14,-49,5483
506,Wormadam (Trash Cloak),-13,-36,35,6,-4,-49,5143
507,Mothim,-3,-11,-10,31,-49,-19,3953
508,Combee,-43,-75,-18,-33,-57,-15,12361
509,Vespiquen,-3,-25,42,17,3,-45,4721
510,Pachirisu,-13,-60,10,-18,-9,10,4374
511,Buizel,-18,-40,-25,-3,-69,0,7319
512,Floatzel,12,0,-5,22,-49,30,3954
513,Cherubi,-28,-70,-15,-1,-46,-50,10526
514,Cherrim,-3,-45,10,24,-21,0,3151
515,Shellos,3,-57,-12,-6,-37,-51,7408
516,Gastrodon,38,-22,8,29,-17,-46,5238
517,Ambipom,2,-5,6,-3,-33,30,2063
518,Drifloon,17,-55,-26,-3,-55,-15,7249
519,Drifblim,77,-25,-16,27,-45,-5,9589
520,Buneary,-18,-39,-16,-19,-43,0,4311
521,Lopunny,-8,-29,24,-9,-3,20,1971
522,Lopunny (Mega Lopunny),-8,31,34,-9,-3,50,4771
523,Mismagius,-13,-45,0,42,6,20,4394
524,Honchkrow,27,20,-8,42,-47,-14,5362
525,Glameow,-24,-50,-18,-21,-62,0,7685
526,Purugly,-2,-23,4,1,-40,27,2879
527,Chingling,-28,-75,-10,2,-49,-40,10514
528,Stunky,-10,-42,-13,-22,-58,-11,6002
529,Skuntank,30,-12,7,8,-38,-1,2602
530,Bronzor,-16,-81,26,-39,-13,-62,13027
531,Bronzong,-6,-16,56,16,17,-52,6677
532,Bonsly,-23,-25,35,-53,-54,-75,13729
533,Mime Jr.,-53,-80,-15,7,-9,-25,10189
534,Happiny,27,-100,-55,-48,-34,-55,20239
535,Chatot,3,-40,-15,29,-57,6,5960
536,Spiritomb,-23,-13,48,29,9,-50,6424
537,Gible,-15,-35,-15,-23,-54,-43,6969
538,Gabite,-5,-15,5,-13,-44,-3,2389
539,Garchomp,35,25,35,17,-14,17,3849
540,Garchomp (Mega Garchomp),35,65,55,57,-4,7,11789
541,Munchlax,62,-20,-20,-23,-14,-80,11769
542,Riolu,-33,-35,-20,-28,-59,-25,7604
543,Lucario,-3,5,10,52,-29,5,3704
544,Lucario (Mega Lucario),-3,40,28,77,-29,27,9892
545,Hippopotas,-5,-33,18,-25,-57,-53,8121
546,Hippowdon,35,7,58,5,-27,-38,6836
547,Skorupi,-33,-55,30,-33,-44,-20,8439
548,Drapion,-3,-15,50,-3,-24,10,3419
549,Croagunk,-25,-44,-20,-2,-59,-35,7671
550,Toxicroak,10,1,5,23,-34,0,1811
551,Carnivine,1,-5,12,27,-27,-39,3149
552,Finneon,-24,-56,-4,-14,-38,-19,5729
553,Lumineon,-4,-36,16,6,-13,6,1809
554,Mantyke,-28,-85,-10,-3,21,-35,9784
555,Snover,-13,-43,-10,-1,-39,-45,5665
556,Abomasnow,17,-13,15,29,-14,-25,2345
557,Abomasnow (Mega Abomasnow),17,27,45,69,6,-55,10865
558,Weavile,-3,15,5,-18,-14,40,2379
559,Magnezone,-3,-35,55,67,-9,-25,9454
560,Lickilicky,37,-20,35,17,-4,-35,4524
561,Rhyperior,42,35,70,-8,-44,-45,11914
562,Tangrowth,27,-5,65,47,-49,-35,10814
563,Electivire,2,18,7,32,-14,10,1697
564,Magmortar,2,-10,7,62,-4,-2,4017
565,Togekiss,12,-55,35,57,16,-5,7924
566,Yanmega,13,-29,26,53,-43,10,6444
567,Leafeon,-8,5,70,-3,-34,10,6254
568,Glaceon,-8,-45,50,67,-4,-20,9494
569,Gliscor,2,-10,65,-18,-24,10,5329
570,Mamoswine,37,25,20,7,-39,-5,3989
571,Porygon-Z,12,-25,10,72,-24,5,6654
572,Gallade,-5,20,5,2,16,-5,735
573,Gallade (Mega Gallade),-5,60,35,2,16,25,5735
574,Probopass,-13,-50,85,12,51,-45,14664
575,Dusknoir,-28,-5,75,2,36,-40,9334
576,Froslass,-3,-25,10,17,-29,25,2489
577,Rotom,-23,-55,17,32,-22,6,5387
578,Rotom (Heat Rotom),-23,-40,47,42,8,1,6167
579,Rotom (Wash Rotom),-23,-40,47,42,8,1,6167
580,Rotom (Frost Rotom),-23,-40,47,42,8,1,6167
581,Rotom (Fan Rotom),-23,-40,47,42,8,1,6167
582,Rotom (Mow Rotom),-23,-40,47,42,8,1,6167
583,Uxie,2,-30,70,12,31,10,7009
584,Mesprit,7,0,45,42,6,-5,3899
585,Azelf,2,20,10,62,-29,30,6089
586,Dialga,27,15,60,87,1,5,12149
587,Dialga (Origin Forme),27,-5,60,87,21,5,12389
588,Palkia,17,15,40,87,21,15,10349
589,Palkia (Origin Forme),17,-5,40,87,21,35,11149
590,Heatran,18,-15,46,67,7,-8,7267
591,Regigigas,37,55,50,17,11,15,7529
592,Giratina (Altered Forme),77,-5,60,37,21,5,11389
593,Giratina (Origin Forme),77,15,40,57,1,5,11029
594,Cresselia,47,-35,60,12,31,0,8139
595,Phione,7,-25,20,17,-19,-5,1749
596,Manaphy,27,-5,40,37,1,15,3949
597,Darkrai,-3,-15,30,72,-9,40,7999
598,Shaymin (Land Forme),27,-5,40,37,1,15,3949
599,Shaymin (Sky Forme),27,-2,15,57,-24,42,6547
600,Arceus,47,15,60,57,21,35,10949
601,Victini,27,-5,40,37,1,15,3949
602,Snivy,-28,-60,-5,-18,-44,-22,7153
603,Servine,-13,-45,15,-3,-24,-2,3008
604,Serperior,2,-30,35,12,-4,28,3073
605,Tepig,-8,-42,-15,-18,-54,-40,6893
606,Pignite,17,-12,-5,7,-44,-30,3343
607,Emboar,37,18,5,37,-34,-20,4643
608,Oshawott,-18,-50,-15,0,-54,-40,7565
609,Dewott,2,-30,0,20,-39,-25,3450
610,Samurott,22,-5,25,45,-29,-15,4225
611,Samurott (Hisuian Samurott),17,3,20,37,-34,0,3223
612,Patrat,-28,-50,-21,-28,-60,-43,9958
613,Watchog,-13,-20,9,-3,-30,-8,1623
614,Lillipup,-28,-45,-15,-38,-54,-30,8294
615,Herdier,-8,-25,5,-28,-34,-25,3279
616,Stoutland,12,5,30,-18,-9,-5,1499
617,Purrloin,-32,-55,-23,-13,-62,-19,8952
618,Liepard,-9,-17,-10,25,-49,21,3937
619,Pansage,-23,-52,-12,-10,-51,-21,6519
620,Simisage,2,-7,3,35,-36,16,2839
621,Pansear,-23,-52,-12,-10,-51,-21,6519
622,Simisear,2,-7,3,35,-36,16,2839
623,Panpour,-23,-52,-12,-10,-51,-21,6519
624,Simipour,2,-7,3,35,-36,16,2839
625,Munna,3,-80,-15,4,-44,-61,12307
626,Musharna,43,-50,25,44,-4,-56,10062
627,Pidove,-23,-50,-10,-27,-69,-42,10383
628,Tranquill,-11,-28,2,-13,-57,-20,4727
629,Unfezant,7,10,20,2,-44,8,2553
630,Blitzle,-28,-45,-28,-13,-67,-9,8332
631,Zebstrika,2,-5,3,17,-36,31,2584
632,Roggenrola,-18,-30,25,-38,-74,-70,13669
633,Boldore,-3,0,45,-13,-59,-65,9909
634,Gigalith,12,30,70,-3,-19,-60,9914
635,Woobat,-8,-60,-17,-8,-56,-13,7322
636,Swoobat,-6,-48,-5,14,-44,29,5338
637,Drilbur,-13,-20,-20,-33,-54,-17,5263
638,Excadrill,37,30,0,-13,-34,3,3603
639,Audino,30,-45,26,-3,-13,-35,5004
640,Audino (Mega Audino),30,-45,66,17,27,-35,9524
641,Timburr,2,-25,-5,-38,-64,-50,8694
642,Gurdurr,12,0,25,-23,-49,-45,5724
643,Conkeldurr,32,35,35,-8,-34,-40,6294
644,Tympole,-23,-55,-20,-13,-59,-21,8045
645,Palpitoad,2,-40,-5,2,-44,-16,3825
646,Seismitoad,32,-10,15,22,-24,-11,2530
647,Throh,47,-5,25,-33,-14,-40,5744
648,Sawk,2,20,15,-33,-24,0,2294
649,Sewaddle,-28,-52,10,-23,-39,-43,7487
650,Swadloon,-18,-42,30,-13,-19,-43,5367
651,Leavanny,2,-2,20,7,-19,7,867
652,Venipede,-43,-60,-1,-33,-60,-28,10923
653,Whirlipede,-33,-50,39,-23,-20,-38,7483
654,Scolipede,-13,-5,29,-8,-30,27,2728
655,Cottonee,-33,-78,0,-26,-49,-19,10611
656,Whimsicott,-13,-38,25,14,-24,31,3971
657,Petilil,-28,-70,-10,7,-49,-55,11259
658,Lilligant,-3,-45,15,47,-24,5,5069
659,Lilligant (Hisuian Lilligant),-3,0,15,-13,-24,20,1379
660,Basculin,-3,-13,5,17,-44,13,2597
661,Sandile,-23,-33,-25,-28,-64,-20,7523
662,Krokorok,-13,-23,-15,-18,-54,-11,4284
663,Krookodile,22,12,20,2,-29,7,1922
664,Darumaka,-3,-15,-15,-48,-54,-35,6904
665,Darumaka (Galarian Darumaka),-3,-15,-15,-48,-54,-35,6904
666,Darmanitan (Standard Mode),32,35,-5,-33,-44,10,5399
667,Darmanitan (Zen Mode),32,-75,45,77,6,-30,15539
668,Darmanitan (Galarian Standard Mode),32,35,-5,-33,-44,10,5399
669,Darmanitan (Galarian Zen Mode),32,55,-5,-33,-44,50,9599
670,Maractus,2,-19,7,43,-32,-25,3912
671,Dwebble,-23,-40,25,-28,-64,-30,8534
672,Crustle,-3,0,65,2,-24,-40,6414
673,Scraggy,-23,-30,10,-28,-29,-37,4523
674,Scrafty,-8,-15,55,-18,16,-27,4623
675,Sigilyph,-1,-47,20,40,-19,12,4715
676,Yamask,-35,-75,25,-8,-34,-55,11720
677,Yamask (Galarian Yamask),-35,-50,25,-33,-34,-55,9620
678,Cofagrigus,-15,-55,85,32,6,-55,14560
679,Tirtouga,-19,-27,43,-10,-54,-63,9924
680,Carracosta,1,3,73,20,-34,-53,9704
681,Archen,-18,7,-15,11,-54,-15,3860
682,Archeops,2,35,5,49,-34,25,5436
683,Trubbish,-23,-55,2,-23,-37,-20,5856
684,Garbodor,7,-10,22,-3,-17,-10,1031
685,Zorua,-33,-40,-20,17,-59,-20,7259
686,Zorua (Hisuian Zorua),-38,-45,-20,22,-59,-15,8059
687,Zoroark,-13,0,0,57,-39,20,5339
688,Zoroark (Hisuian Zoroark),-18,-5,0,62,-39,25,6339
689,Minccino,-18,-55,-20,-23,-59,-10,7859
690,Cinccino,2,-10,0,2,-39,30,2529
691,Gothita,-28,-75,-10,-8,-34,-40,9329
692,Gothorita,-13,-60,10,12,-14,-30,5109
693,Gothitelle,-3,-50,35,32,11,-20,5279
694,Solosis,-28,-75,-20,42,-49,-65,15199
695,Duosion,-8,-65,-10,62,-39,-55,12779
696,Reuniclus,37,-40,15,62,-14,-55,10259
697,Ducklett,-11,-61,-10,-19,-49,-30,7604
698,Swanna,2,-18,3,24,-36,13,2378
699,Vanillite,-37,-55,-10,2,-39,-41,7700
700,Vanillish,-22,-40,5,17,-24,-26,3650
701,Vanilluxe,-2,-10,25,47,-4,-6,2990
702,Deerling,-13,-45,-10,-23,-49,-10,5324
703,Sawsbuck,7,-5,10,-3,-29,10,1124
704,Emolga,-18,-30,0,12,-39,18,3213
705,Karrablast,-23,-30,-15,-23,-54,-25,5724
706,Escavalier,-3,30,45,-3,6,-65,7204
707,Foongus,-4,-50,-15,-8,-44,-70,9641
708,Amoonguss,41,-20,10,22,-19,-55,6051
709,Frillish,-18,-65,-10,2,-14,-45,6874
710,Jellicent,27,-45,10,22,6,-25,3999
711,Alomomola,92,-30,20,-23,-54,-20,13609
712,Joltik,-23,-58,-10,-6,-49,-20,6830
713,Galvantula,-3,-28,0,34,-39,23,3999
714,Ferroseed,-29,-55,31,-39,-13,-75,12142
715,Ferrothorn,1,-11,71,-9,17,-65,9758
716,Klink,-33,-50,10,-18,-39,-55,8559
717,Klang,-13,-25,35,7,-14,-35,3489
718,Klinklang,-13,-5,55,7,-14,5,3489
719,Tynamo,-38,-50,-20,-18,-59,-25,8774
720,Eelektrik,-8,-20,10,12,-29,-45,3574
721,Eelektross,12,10,20,42,-19,-35,3994
722,Elgyem,-18,-50,-5,22,-44,-55,8294
723,Beheeyem,2,-30,15,62,-4,-45,7014
724,Litwick,-23,-75,-5,2,-44,-65,12344
725,Lampent,-13,-65,0,32,-39,-30,7839
726,Chandelure,-13,-50,30,82,-9,-5,10399
727,Axew,-27,-18,0,-33,-59,-28,6407
728,Fraxure,-7,12,10,-23,-49,-18,3547
729,Haxorus,3,42,30,-3,-29,12,3667
730,Cubchoo,-18,-35,-20,-3,-59,-45,7464
731,Beartic,22,25,20,7,-19,-35,3144
732,Cryogonal,7,-55,-10,32,36,20,5894
733,Shelmet,-23,-65,25,-23,-34,-60,10664
734,Accelgor,7,-35,-20,37,-39,60,8164
735,Stunfisk,36,-39,24,18,0,-53,6526
736,Stunfisk (Galarian Stunfisk),36,-24,39,3,-15,-53,6436
737,Mienfoo,-28,-20,-10,-8,-49,-20,4149
738,Mienshao,-8,20,0,32,-39,20,3409
739,Druddigon,4,15,30,-3,-9,-37,2600
740,Golett,-14,-31,-10,-28,-49,-50,6942
741,Golurk,16,19,20,-8,-19,-30,2342
742,Pawniard,-28,-20,10,-23,-59,-25,5919
743,Bisharp,-8,20,40,-3,-29,-15,3139
744,Bouffalant,22,5,35,-23,-4,-30,3179
745,Rufflet,-3,-22,-10,-26,-49,-25,4295
746,Braviary,27,18,15,-6,-24,-5,1915
747,Braviary (Hisuian Braviary),37,-22,10,49,-29,-20,5595
748,Vullaby,-3,-50,15,-18,-34,-25,4839
749,Mandibuzz,37,-40,45,-8,-4,-5,5099
750,Heatmor,12,-8,6,42,-33,-20,3497
751,Durant,-15,4,52,-15,-51,24,6347
752,Deino,-21,-40,-10,-18,-49,-47,7075
753,Zweilous,-1,-20,10,2,-29,-27,2075
754,Hydreigon,19,0,30,62,-9,13,5355
755,Larvesta,-18,-20,-5,-13,-44,-25,3479
756,Volcarona,12,-45,5,72,6,15,7639
757,Cobalion,18,-15,69,27,-27,23,7297
758,Terrakion,18,24,30,9,-9,23,2491
759,Virizion,18,-15,12,27,30,23,2851
760,Tornadus (Incarnate Forme),6,10,10,62,-19,26,5117
761,Tornadus (Therian Forme),6,-5,20,47,-9,36,4047
762,Thundurus (Incarnate Forme),6,10,10,62,-19,26,5117
763,Thundurus (Therian Forme),6,0,10,82,-19,16,7477
764,Reshiram,27,15,40,87,21,5,10589
765,Zekrom,27,45,60,57,1,5,9629
766,Landorus (Incarnate Forme),16,20,30,52,-19,16,4877
767,Landorus (Therian Forme),16,40,30,42,-19,6,4917
768,Kyurem,52,25,30,67,-9,10,8899
769,Kyurem (Black Kyurem),52,65,40,57,-9,10,11959
770,Kyurem (White Kyurem),52,15,30,107,1,10,15379
771,Keldeo,18,-33,30,66,-9,23,7279
772,Meloetta (Aria Forme),27,-28,17,65,29,5,6893
773,Meloetta (Pirouette Forme),27,23,30,14,-22,43,4687
774,Genesect,-2,15,35,57,-4,14,4915
775,Chespin,-17,-44,5,-15,-54,-47,7600
776,Quilladin,-12,-27,35,-7,-41,-28,4612
777,Chesnaught,15,2,62,11,-24,-21,5211
778,Fennekin,-33,-60,-20,-1,-39,-25,7236
779,Braixen,-14,-46,-2,27,-29,-12,4030
780,Delphox,2,-36,12,51,1,19,4407
781,Froakie,-32,-49,-20,-1,-55,-14,7047
782,Frogadier,-19,-42,-8,20,-43,12,4582
783,Greninja,-1,-10,7,40,-28,37,3903
784,Greninja (Ash-Greninja),-1,40,7,90,-28,47,12743
785,Bunnelby,-35,-69,-22,-31,-63,-28,12184
786,Diggersby,12,-49,17,-13,-22,-7,3536
787,Fletchling,-28,-55,-17,-23,-61,-23,8877
788,Fletchinder,-11,-32,-5,-7,-47,-1,3429
789,Talonflame,5,-24,11,11,-30,41,3424
790,Scatterbug,-35,-70,-20,-36,-74,-50,15797
791,Spewpa,-28,-83,0,-36,-69,-56,16866
792,Vivillon,7,-53,-10,27,-49,4,6104
793,Litleo,-11,-55,-2,10,-45,-13,5444
794,Pyroar,13,-37,12,46,-33,21,5328
795,Flabébé,-29,-67,-21,-2,-20,-43,8024
796,Floette,-19,-60,-13,12,-1,-33,5364
797,Florges,5,-40,8,49,55,-10,7215
798,Skiddo,-7,-40,-12,-1,-42,-33,4647
799,Gogoat,50,-5,2,34,-18,-17,4298
800,Pancham,-6,-23,2,-17,-51,-42,5223
801,Pangoro,22,19,18,6,-28,-27,2718
802,Furfrou,2,-25,0,2,-9,17,1003
803,Espurr,-11,-57,-6,0,-39,-17,5216
804,Meowstic,1,-57,16,20,-18,19,4591
805,Honedge,-28,-25,40,-28,-62,-57,10886
806,Doublade,-14,5,90,-18,-50,-50,13645
807,Aegislash (Shield Forme),-13,-55,80,-13,41,-25,12069
808,Aegislash (Blade Forme),-13,35,-10,77,-49,-25,10449
809,Spritzee,5,-53,0,0,-34,-62,7834
810,Aromatisse,28,-33,12,36,-10,-56,6549
811,Swirlix,-11,-57,6,-4,-42,-36,6482
812,Slurpuff,9,-25,26,22,-24,-13,2611
813,Inkay,-20,-51,-7,-26,-53,-40,8135
814,Malamar,13,-13,28,5,-24,-12,1867
815,Binacle,-31,-53,7,-24,-43,-35,7469
816,Barbaracle,-1,0,55,-9,-13,-17,3565
817,Skrelp,-23,-45,0,-3,-39,-55,7109
818,Dragalge,-8,-30,30,34,24,-41,5277
819,Clauncher,-23,-52,2,-5,-36,-41,6239
820,Clawitzer,-2,-32,28,57,-10,-26,5837
821,Helioptile,-29,-67,-27,-2,-56,-15,9424
822,Heliolisk,-11,-50,-8,46,-5,24,5402
823,Tyrunt,-15,-16,17,-18,-54,-37,5379
824,Tyrantrum,9,16,59,6,-40,-14,5650
825,Amaura,4,-46,-10,4,-36,-39,5065
826,Aurorus,50,-28,12,36,-7,-27,5502
827,Sylveon,22,-40,5,47,31,-25,5904
828,Hawlucha,5,-13,15,11,-36,33,2925
829,Dedenne,-6,-47,-3,18,-32,16,3858
830,Carbink,-23,-55,90,-13,51,-35,15649
831,Goomy,-28,-55,-25,-8,-24,-45,7099
832,Sliggoo,-5,-30,-7,20,14,-25,2195
833,Sliggoo (Hisuian Sliggoo),-15,-30,23,20,14,-45,4275
834,Goodra,17,-5,10,47,51,-5,5249
835,Goodra (Hisuian Goodra),7,-5,40,47,51,-25,7109
836,Klefki,-16,-25,31,17,-12,-10,2375
837,Phantump,-30,-35,-12,-13,-39,-47,6168
838,Trevenant,12,5,16,2,-17,-29,1559
839,Pumpkaboo (Small Size),-29,-39,10,-19,-44,-29,5600
840,Pumpkaboo (Average Size),-24,-39,10,-19,-44,-34,5650
841,Pumpkaboo (Large Size),-19,-39,10,-19,-44,-39,5800
842,Pumpkaboo (Super Size),-14,-39,10,-19,-44,-44,6050
843,Gourgeist (Small Size),-18,-20,62,-5,-24,14,5365
844,Gourgeist (Average Size),-8,-15,62,-5,-24,-1,4735
845,Gourgeist (Large Size),2,-10,62,-5,-24,-16,4805
846,Gourgeist (Super Size),12,-5,62,-5,-24,-31,5575
847,Bergmite,-18,-36,25,-31,-64,-57,10551
848,Avalugg,22,12,124,-19,-53,-57,22423
849,Avalugg (Hisuian Avalugg),22,22,124,-29,-63,-47,23363
850,Noibat,-33,-75,-25,-18,-59,-30,12044
851,Noivern,12,-35,20,34,-19,38,4730
852,Xerneas,53,26,35,68,-1,14,9531
853,Yveltal,53,26,35,68,-1,14,9531
854,Zygarde (50% Forme),35,-5,61,18,-4,10,5411
855,Zygarde (10% Forme),-19,-5,11,-2,-14,30,1607
856,Zygarde (Complete Forme),143,-5,61,28,-4,0,24995
857,Diancie,-23,-5,90,37,51,-35,13849
858,Diancie (Mega Diancie),-23,55,50,97,11,25,16209
859,Hoopa (Hoopa Confined),7,5,0,87,31,-15,8829
860,Hoopa (Hoopa Unbound),7,55,0,107,31,-5,15509
861,Volcanion,7,5,60,67,-9,-15,8469
862,Rowlet,-5,-50,-5,-13,-49,-43,6969
863,Dartrix,5,-30,15,7,-29,-33,3129
864,Decidueye,5,2,15,37,1,-15,1849
865,Decidueye (Hisuian Decidueye),15,7,20,32,-4,-25,2339
866,Litten,-28,-40,-20,-3,-59,-15,6499
867,Torracat,-8,-20,-10,17,-49,5,3279
868,Incineroar,22,10,30,17,-9,-25,2479
869,Popplio,-23,-51,-6,3,-43,-45,7049
870,Brionne,-13,-36,9,28,-18,-35,3879
871,Primarina,7,-31,14,63,17,-25,6089
872,Pikipek,-38,-30,-30,-33,-69,-20,9494
873,Trumbeak,-18,-20,-10,-23,-49,-10,3854
874,Toucannon,7,15,15,12,-24,-25,1844
875,Yungoos,-25,-35,-30,-33,-69,-40,10200
876,Gumshoos,15,5,0,-8,-39,-40,3435
877,Grubbin,-26,-43,-15,-8,-54,-39,7251
878,Charjabug,-16,-23,35,-8,-24,-49,5051
879,Vikavolt,4,-35,30,82,-24,-42,11205
880,Crabrawler,-26,-23,-3,-21,-52,-22,4843
881,Crabominable,24,27,17,-1,-32,-42,4383
882,Oricorio,2,-35,10,35,-29,8,3459
883,Cutiefly,-33,-60,-20,-8,-59,-1,8635
884,Ribombee,-13,-50,0,32,-29,39,6055
885,Rockruff,-28,-40,-20,-33,-59,-25,7979
886,Lycanroc (Midday Form),2,10,5,-8,-34,27,2078
887,Lycanroc (Midnight Form),12,10,15,-8,-24,-3,1118
888,Lycanroc (Dusk Form),2,12,5,-8,-34,25,2018
889,Wishiwashi (Solo Form),-28,-85,-40,-38,-74,-45,18554
890,Wishiwashi (School Form),-28,35,70,77,36,-55,17159
891,Mareanie,-23,-52,2,-20,-47,-40,7446
892,Toxapex,-23,-42,92,-10,43,-50,15206
893,Mudbray,-3,-5,10,-18,-44,-40,3994
894,Mudsdale,27,20,40,-8,-14,-50,5489
895,Dewpider,-35,-65,-8,-23,-27,-58,10136
896,Araquanid,-5,-35,32,-13,33,-43,5381
897,Fomantis,-33,-50,-25,-13,-64,-50,10979
898,Lurantis,-3,0,30,17,-9,-40,2879
899,Morelull,-33,-70,-5,2,-24,-70,11494
900,Shiinotic,-13,-60,20,27,1,-55,7924
901,Salandit,-25,-61,-20,8,-59,-8,8355
902,Salazzle,-5,-41,0,48,-39,32,6555
903,Stufful,-3,-30,-10,-18,-49,-35,4959
904,Bewear,47,20,20,-8,-39,-25,5219
905,Bounsweet,-31,-75,-22,-33,-61,-53,14689
906,Steenee,-21,-65,-12,-23,-51,-23,8469
907,Tsareena,-1,15,38,-13,-1,-13,2009
908,Comfey,-22,-53,30,19,11,15,4900
909,Oranguru,17,-45,20,27,11,-25,4189
910,Passimian,27,15,30,-23,-39,-5,3929
911,Wimpod,-48,-70,-20,-43,-69,-5,14239
912,Golisopod,2,20,80,-3,-9,-45,8919
913,Sandygast,-18,-50,20,7,-54,-70,11089
914,Palossand,12,-30,50,37,-24,-50,7989
915,Pyukumuku,-18,-45,70,-33,31,-80,15699
916,Type: Null,22,-10,35,32,-4,-26,3525
917,Silvally,22,-10,35,32,-4,10,2949
918,Minior (Meteor Form),-13,-45,40,-3,1,-25,4429
919,Minior (Core),-13,-5,0,37,-39,35,4309
920,Komala,-8,10,5,12,-4,-20,749
921,Turtonator,-13,-27,75,28,-14,-49,9904
922,Togedemaru,-8,-7,3,-23,-26,11,1448
923,Mimikyu,-18,-15,20,-13,6,11,1275
924,Bruxish,-5,0,10,7,-29,7,1064
925,Drampa,5,-45,25,72,-8,-49,10324
926,Dhelmise,-3,26,40,23,-9,-45,4920
927,Jangmo-o,-28,-50,5,-18,-54,-40,8149
928,Hakamo-o,-18,-30,30,2,-29,-20,3369
929,Kommo-o,2,5,65,37,6,0,5659
930,Tapu Koko,-3,10,25,32,-24,45,4359
931,Tapu Lele,-3,-20,15,67,16,10,5479
932,Tapu Bulu,-3,25,55,22,-4,-10,4259
933,Tapu Fini,-3,-30,55,32,31,0,5919
934,Cosmog,-30,-76,-29,-34,-68,-48,15601
935,Cosmoem,-30,-76,71,-34,32,-48,16201
936,Solgaleo,64,32,47,50,-10,12,10073
937,Lunala,64,8,29,74,8,12,10685
938,Nihilego,36,-52,-13,64,32,18,9613
939,Buzzwole,34,34,79,-10,-46,-6,10805
940,Pheromosa,-2,32,-23,74,-62,66,15233
941,Xurkitree,10,-16,11,110,-28,-2,13365
942,Celesteela,24,-4,43,44,2,-24,4957
943,Kartana,-14,76,71,-4,-68,24,16229
944,Guzzlord,150,-4,-7,34,-46,-42,27601
945,Necrozma,24,2,41,64,-10,-6,6493
946,Necrozma (Dusk Mane Necrozma),24,52,67,50,10,-8,10433
947,Necrozma (Dawn Wings Necrozma),24,8,49,94,28,-8,12725
948,Necrozma (Ultra Necrozma),24,62,37,104,-2,44,18545
949,Magearna,7,-10,55,67,16,-20,8319
950,Marshadow,17,20,20,27,-9,40,3499
951,Poipole,-6,-32,7,10,-32,-12,2377
952,Naganadel,0,-32,13,64,-26,36,7261
953,Stakataka,-12,26,151,-10,2,-72,28909
954,Blacephalon,-20,22,-7,88,-20,22,9561
955,Zeraora,15,7,15,39,-19,58,5745
956,Meltan,-27,-40,5,-8,-64,-51,9115
957,Melmetal,62,38,83,17,-34,-51,16223
958,Grookey,-23,-40,-10,-23,-59,-20,6639
959,Thwackey,-3,-20,10,-8,-39,-5,2119
960,Rillaboom,27,20,30,-3,-29,0,2879
961,Scorbunny,-23,-34,-20,-23,-59,-16,6351
962,Raboot,-8,-19,0,-8,-39,9,2091
963,Cinderace,7,11,15,2,-24,34,2131
964,Sobble,-23,-65,-20,7,-59,-15,8909
965,Drizzile,-8,-45,-5,32,-44,5,5099
966,Inteleon,-3,-20,5,62,-34,35,6659
967,Skwovet,-3,-50,-5,-28,-64,-60,11014
968,Greedent,47,-10,35,-8,-24,-65,8399
969,Rookidee,-35,-58,-25,-30,-64,-28,10994
970,Corvisquire,-5,-38,-5,-20,-44,-8,3894
971,Corviknight,25,-18,45,-10,-14,-18,3594
972,Blipbug,-48,-85,-40,-38,-54,-40,17089
973,Dottler,-23,-70,20,-13,-9,-55,9104
974,Orbeetle,-13,-60,50,17,21,5,7024
975,Nickit,-33,-77,-32,-16,-47,-35,11732
976,Thievul,-3,-47,-2,24,-7,5,2872
977,Gossifleur,-33,-65,0,-23,-39,-75,12989
978,Eldegoss,-13,-55,30,17,21,-25,5449
979,Wooloo,-31,-65,-5,-23,-54,-37,10025
980,Dubwool,-1,-25,40,-3,-9,3,2325
981,Chewtle,-23,-41,-10,-25,-61,-41,8337
982,Drednaw,17,10,30,-15,-31,-11,2596
983,Yamper,-14,-60,-10,-23,-49,-59,10307
984,Boltund,-4,-15,0,27,-39,36,3787
985,Rolycoly,-43,-65,-10,-23,-49,-55,12129
986,Carkol,7,-45,30,-3,-29,-35,5049
987,Coalossal,37,-25,60,17,-9,-55,8989
988,Applin,-33,-65,20,-23,-59,-65,13949
989,Flapple,-3,5,20,32,-39,-15,3204
990,Appletun,37,-20,20,37,-19,-55,6924
991,Silicobra,-21,-48,15,-28,-49,-39,7676
992,Sandaconda,-1,2,65,2,-29,-14,5271
993,Cramorant,-3,-20,-5,22,-4,0,934
994,Arrokuda,-32,-42,-20,-23,-69,-19,8839
