Luke Woods vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
476,Deoxys (Defense Forme),-18,-41,45,0,53,-15,7064
477,Deoxys (Speed Forme),-18,-16,-25,25,-17,75,7744
478,Turtwig,-13,-43,-51,-25,-52,-74,13424
479,Grotle,7,-22,-30,-15,-42,-69,8183
480,Torterra,27,-2,-10,5,-22,-49,3743
481,Chimchar,-24,-53,-71,-12,-63,-44,14475
482,Monferno,-4,-33,-63,8,-55,-24,8739
483,Infernape,8,-7,-44,34,-36,3,4510
484,Piplup,-15,-60,-62,-9,-51,-65,14576
485,Prinplup,-4,-45,-47,11,-31,-55,8357
486,Empoleon,16,-25,-27,41,-6,-45,5352
487,Starly,-28,-56,-85,-40,-77,-45,20699
488,Staravia,-13,-36,-65,-30,-67,-25,11704
489,Staraptor,17,9,-45,-20,-47,-5,5029
490,Bidoof,-9,-66,-75,-35,-67,-74,21252
491,Bibarel,11,-26,-55,-15,-47,-34,7412
492,Kricketot,-31,-86,-74,-45,-66,-80,26614
493,Kricketune,9,-26,-64,-15,-56,-40,9814
494,Shinx,-23,-46,-81,-30,-73,-60,19035
495,Luxio,-8,-26,-66,-10,-58,-45,10585
496,Luxray,12,9,-36,25,-28,-35,4155
497,Budew,-28,-81,-80,-20,-37,-50,18014
498,Roserade,-8,-41,-50,55,-2,-15,7499
499,Cranidos,-1,14,-75,-40,-77,-47,15560
500,Rampardos,29,54,-55,-5,-57,-47,12265
501,Shieldon,-38,-69,3,-28,-19,-75,12984
502,Bastiodon,-8,-59,53,-23,31,-75,13469
503,Burmy,-28,-82,-70,-41,-62,-69,22694
504,Wormadam (Plant Cloak),-8,-52,-30,9,-2,-69,8514
505,Wormadam (Sandy Cloak),-8,-32,-10,-11,-22,-69,6554
506,Wormadam (Trash Cloak),-8,-42,-20,-1,-12,-69,7134
507,Mothim,2,-17,-65,24,-57,-39,9864
508,Combee,-38,-81,-73,-40,-65,-35,20384
509,Vespiquen,2,-31,-13,10,-5,-65,5484
510,Pachirisu,-8,-66,-45,-25,-17,-10,7459
511,Buizel,-13,-46,-80,-10,-77,-20,15114
512,Floatzel,17,-6,-60,15,-57,10,7499
513,Cherubi,-23,-76,-70,-8,-54,-70,19085
514,Cherrim,2,-51,-45,17,-29,-20,6160
515,Shellos,8,-63,-67,-13,-45,-71,15757
516,Gastrodon,43,-28,-47,22,-25,-66,10307
517,Ambipom,7,-11,-49,-10,-41,10,4452
518,Drifloon,22,-61,-81,-10,-63,-35,16060
519,Drifblim,82,-31,-71,20,-53,-25,16560
520,Buneary,-13,-45,-71,-26,-51,-20,10912
521,Lopunny,-3,-35,-31,-16,-11,0,2572
522,Lopunny (Mega Lopunny),-3,25,-21,-16,-11,30,2352
523,Mismagius,-8,-51,-55,35,-2,0,6919
524,Honchkrow,32,14,-63,35,-55,-34,10595
525,Glameow,-19,-56,-73,-28,-70,-20,14910
526,Purugly,3,-29,-51,-6,-48,7,5840
527,Chingling,-23,-81,-65,-5,-57,-60,18189
528,Stunky,-5,-48,-68,-29,-66,-31,13111
529,Skuntank,35,-18,-48,1,-46,-21,6411
530,Bronzor,-11,-87,-29,-46,-21,-82,17812
531,Bronzong,-1,-22,1,9,9,-72,5832
532,Bonsly,-18,-31,-20,-60,-62,-95,18154
533,Mime Jr.,-48,-86,-70,0,-17,-45,16914
534,Happiny,32,-106,-110,-55,-42,-75,34774
535,Chatot,8,-46,-70,22,-65,-14,11985
536,Spiritomb,-18,-19,-7,22,1,-70,6119
537,Gible,-10,-41,-70,-30,-62,-63,15394
538,Gabite,0,-21,-50,-20,-52,-23,6574
539,Garchomp,40,19,-20,10,-22,-3,2954
540,Garchomp (Mega Garchomp),40,59,0,50,-12,-13,7894
541,Munchlax,67,-26,-75,-30,-22,-100,22174
542,Riolu,-28,-41,-75,-35,-67,-45,15829
543,Lucario,2,-1,-45,45,-37,-15,5649
544,Lucario (Mega Lucario),2,34,-27,70,-37,7,8207
545,Hippopotas,0,-39,-37,-32,-65,-73,13468
546,Hippowdon,40,1,3,-2,-35,-58,6203
547,Skorupi,-28,-61,-25,-40,-52,-40,11034
548,Drapion,2,-21,-5,-10,-32,-10,1694
549,Croagunk,-20,-50,-75,-9,-67,-55,16120
550,Toxicroak,15,-5,-50,16,-42,-20,5170
551,Carnivine,6,-11,-43,20,-35,-59,7112
552,Finneon,-19,-62,-59,-21,-46,-39,11764
553,Lumineon,1,-42,-39,-1,-21,-14,3924
554,Mantyke,-23,-91,-65,-10,13,-55,16329
555,Snover,-8,-49,-65,-8,-47,-65,13188
556,Abomasnow,22,-19,-40,22,-22,-45,5438
557,Abomasnow (Mega Abomasnow),22,21,-10,62,-2,-75,10498
558,Weavile,2,9,-50,-25,-22,20,4094
559,Magnezone,2,-41,0,60,-17,-45,7599
560,Lickilicky,42,-26,-20,10,-12,-55,6109
561,Rhyperior,47,29,15,-15,-52,-65,10429
562,Tangrowth,32,-11,10,40,-57,-55,9119
563,Electivire,7,12,-48,25,-22,-10,3706
564,Magmortar,7,-16,-48,55,-12,-22,6262
565,Togekiss,17,-61,-20,50,8,-25,7599
566,Yanmega,18,-35,-29,46,-51,-10,7207
567,Leafeon,-3,-1,15,-10,-42,-10,2199
568,Glaceon,-3,-51,-5,60,-12,-40,7979
569,Gliscor,7,-16,10,-25,-32,-10,2154
570,Mamoswine,42,19,-35,0,-47,-25,6184
571,Porygon-Z,17,-31,-45,65,-32,-15,8749
572,Gallade,0,14,-50,-5,8,-25,3410
573,Gallade (Mega Gallade),0,54,-20,-5,8,5,3430
574,Probopass,-8,-56,30,5,43,-65,10199
575,Dusknoir,-23,-11,20,-5,28,-60,5459
576,Froslass,2,-31,-45,10,-37,5,4484
577,Rotom,-18,-61,-38,25,-30,-14,7210
578,Rotom (Heat Rotom),-18,-46,-8,35,0,-19,4090
579,Rotom (Wash Rotom),-18,-46,-8,35,0,-19,4090
580,Rotom (Frost Rotom),-18,-46,-8,35,0,-19,4090
581,Rotom (Fan Rotom),-18,-46,-8,35,0,-19,4090
582,Rotom (Mow Rotom),-18,-46,-8,35,0,-19,4090
583,Uxie,7,-36,15,5,23,-10,2224
584,Mesprit,12,-6,-10,35,-2,-25,2134
585,Azelf,7,14,-45,55,-37,10,6764
586,Dialga,32,9,5,80,-7,-15,7804
587,Dialga (Origin Forme),32,-11,5,80,13,-15,7964
588,Palkia,22,9,-15,80,13,-5,7384
589,Palkia (Origin Forme),22,-11,-15,80,13,15,7624
590,Heatran,23,-21,-9,60,-1,-28,5436
591,Regigigas,42,49,-5,10,3,-5,4324
592,Giratina (Altered Forme),82,-11,5,30,13,-15,8164
593,Giratina (Origin Forme),82,9,-15,50,-7,-15,9804
594,Cresselia,52,-41,5,5,23,-20,5364
595,Phione,12,-31,-35,10,-27,-25,3784
596,Manaphy,32,-11,-15,30,-7,-5,2344
597,Darkrai,2,-21,-25,65,-17,20,5984
598,Shaymin (Land Forme),32,-11,-15,30,-7,-5,2344
599,Shaymin (Sky Forme),32,-8,-40,50,-32,22,6696
600,Arceus,52,9,5,50,13,15,5704
601,Victini,32,-11,-15,30,-7,-5,2344
602,Snivy,-23,-66,-60,-25,-52,-42,13578
603,Servine,-8,-51,-40,-10,-32,-22,5873
604,Serperior,7,-36,-20,5,-12,8,1978
605,Tepig,-3,-48,-70,-25,-62,-60,15282
606,Pignite,22,-18,-60,0,-52,-50,9612
607,Emboar,42,12,-50,30,-42,-40,8672
608,Oshawott,-13,-56,-70,-7,-62,-60,15698
609,Dewott,7,-36,-55,13,-47,-45,8773
610,Samurott,27,-11,-30,38,-37,-35,5788
611,Samurott (Hisuian Samurott),22,-3,-35,30,-42,-20,4782
612,Patrat,-23,-56,-76,-35,-68,-63,19259
613,Watchog,-8,-26,-46,-10,-38,-28,5184
614,Lillipup,-23,-51,-70,-45,-62,-50,16399
615,Herdier,-3,-31,-50,-35,-42,-45,8484
616,Stoutland,17,-1,-25,-25,-17,-25,2454
617,Purrloin,-27,-61,-78,-20,-70,-39,17355
618,Liepard,-4,-23,-65,18,-57,1,8344
619,Pansage,-18,-58,-67,-17,-59,-41,13628
620,Simisage,7,-13,-52,28,-44,-4,5658
621,Pansear,-18,-58,-67,-17,-59,-41,13628
622,Simisear,7,-13,-52,28,-44,-4,5658
623,Panpour,-18,-58,-67,-17,-59,-41,13628
624,Simipour,7,-13,-52,28,-44,-4,5658
625,Munna,8,-86,-70,-3,-52,-81,21634
626,Musharna,48,-56,-30,37,-12,-76,13629
627,Pidove,-18,-56,-65,-34,-77,-62,18614
628,Tranquill,-6,-34,-53,-20,-65,-40,10226
629,Unfezant,12,4,-35,-5,-52,-12,4258
630,Blitzle,-23,-51,-83,-20,-75,-29,16885
631,Zebstrika,7,-11,-52,10,-44,11,5031
632,Roggenrola,-13,-36,-30,-45,-82,-90,19214
633,Boldore,2,-6,-10,-20,-67,-85,12254
634,Gigalith,17,24,15,-10,-27,-80,8319
635,Woobat,-3,-66,-72,-15,-64,-33,14959
636,Swoobat,-1,-54,-60,7,-52,9,9351
637,Drilbur,-8,-26,-75,-40,-62,-37,13178
638,Excadrill,42,24,-55,-20,-42,-17,7818
639,Audino,35,-51,-29,-10,-21,-55,8233
640,Audino (Mega Audino),35,-51,11,10,19,-55,7433
641,Timburr,7,-31,-60,-45,-72,-70,16719
642,Gurdurr,17,-6,-30,-30,-57,-65,9599
643,Conkeldurr,37,29,-20,-15,-42,-60,8199
644,Tympole,-18,-61,-75,-20,-67,-41,16240
645,Palpitoad,7,-46,-60,-5,-52,-36,9790
646,Seismitoad,37,-16,-40,15,-32,-31,5435
647,Throh,52,-11,-30,-40,-22,-60,9409
648,Sawk,7,14,-40,-40,-32,-20,4869
649,Sewaddle,-23,-58,-45,-30,-47,-63,12996
650,Swadloon,-13,-48,-25,-20,-27,-63,8196
651,Leavanny,7,-8,-35,0,-27,-13,2236
652,Venipede,-38,-66,-56,-40,-68,-48,17464
653,Whirlipede,-28,-56,-16,-30,-28,-58,9224
654,Scolipede,-8,-11,-26,-15,-38,7,2579
655,Cottonee,-28,-84,-55,-33,-57,-39,16724
656,Whimsicott,-8,-44,-30,7,-32,11,4094
657,Petilil,-23,-76,-65,0,-57,-75,19404
658,Lilligant,2,-51,-40,40,-32,-15,7054
659,Lilligant (Hisuian Lilligant),2,-6,-40,-20,-32,0,3064
660,Basculin,2,-19,-50,10,-52,-7,5718
661,Sandile,-18,-39,-80,-35,-72,-40,16254
662,Krokorok,-8,-29,-70,-25,-62,-31,11235
663,Krookodile,27,6,-35,-5,-37,-13,3553
664,Darumaka,2,-21,-70,-55,-62,-55,15239
665,Darumaka (Galarian Darumaka),2,-21,-70,-55,-62,-55,15239
666,Darmanitan (Standard Mode),37,29,-60,-40,-52,-10,10214
667,Darmanitan (Zen Mode),37,-81,-10,70,-2,-50,15434
668,Darmanitan (Galarian Standard Mode),37,29,-60,-40,-52,-10,10214
669,Darmanitan (Galarian Zen Mode),37,49,-60,-40,-52,30,12574
670,Maractus,7,-25,-48,36,-40,-45,7899
671,Dwebble,-18,-46,-30,-35,-72,-50,12249
672,Crustle,2,-6,10,-5,-32,-60,4789
673,Scraggy,-18,-36,-45,-35,-37,-57,9488
674,Scrafty,-3,-21,0,-25,8,-47,3348
675,Sigilyph,4,-53,-35,33,-27,-8,5932
676,Yamask,-30,-81,-30,-15,-42,-75,15975
677,Yamask (Galarian Yamask),-30,-56,-30,-40,-42,-75,13925
678,Cofagrigus,-10,-61,30,25,-2,-75,10975
679,Tirtouga,-14,-33,-12,-17,-62,-83,12451
680,Carracosta,6,-3,18,13,-42,-73,7631
681,Archen,-13,1,-70,4,-62,-35,10155
682,Archeops,7,29,-50,42,-42,5,6943
683,Trubbish,-18,-61,-53,-30,-45,-40,11379
684,Garbodor,12,-16,-33,-10,-25,-30,3114
685,Zorua,-28,-46,-75,10,-67,-40,14714
686,Zorua (Hisuian Zorua),-33,-51,-75,15,-67,-35,15254
687,Zoroark,-8,-6,-55,50,-47,0,7834
688,Zoroark (Hisuian Zoroark),-13,-11,-55,55,-47,5,8574
689,Minccino,-13,-61,-75,-30,-67,-30,15804
690,Cinccino,7,-16,-55,-5,-47,10,5664
691,Gothita,-23,-81,-65,-15,-42,-60,16904
692,Gothorita,-8,-66,-45,5,-22,-50,9454
693,Gothitelle,2,-56,-20,25,3,-40,5774
694,Solosis,-23,-81,-75,35,-57,-85,24414
695,Duosion,-3,-71,-65,55,-47,-75,20134
696,Reuniclus,42,-46,-40,55,-22,-75,14614
697,Ducklett,-6,-67,-65,-26,-57,-50,15175
698,Swanna,7,-24,-52,17,-44,-7,5603
699,Vanillite,-32,-61,-65,-5,-47,-61,14925
700,Vanillish,-17,-46,-50,10,-32,-46,8145
701,Vanilluxe,3,-16,-30,40,-12,-26,3585
702,Deerling,-8,-51,-65,-30,-57,-30,11939
703,Sawsbuck,12,-11,-45,-10,-37,-10,3859
704,Emolga,-13,-36,-55,5,-47,-2,6728
705,Karrablast,-18,-36,-70,-30,-62,-45,13289
706,Escavalier,2,24,-10,-10,-2,-85,8009
707,Foongus,1,-56,-70,-15,-52,-90,19066
708,Amoonguss,46,-26,-45,15,-27,-75,11396
709,Frillish,-13,-71,-65,-5,-22,-65,14169
710,Jellicent,32,-51,-45,15,-2,-45,7904
711,Alomomola,97,-36,-35,-30,-62,-40,18274
712,Joltik,-18,-64,-65,-13,-57,-40,13663
713,Galvantula,2,-34,-55,27,-47,3,7132
714,Ferroseed,-24,-61,-24,-46,-21,-95,16455
715,Ferrothorn,6,-17,16,-16,9,-85,8143
716,Klink,-28,-56,-45,-25,-47,-75,14404
717,Klang,-8,-31,-20,0,-22,-55,4934
718,Klinklang,-8,-11,0,0,-22,-15,894
719,Tynamo,-33,-56,-75,-25,-67,-45,16989
720,Eelektrik,-3,-26,-45,5,-37,-65,8329
721,Eelektross,17,4,-35,35,-27,-55,6509
722,Elgyem,-13,-56,-60,15,-52,-75,15459
723,Beheeyem,7,-36,-40,55,-12,-65,10339
724,Litwick,-18,-81,-60,-5,-52,-85,20439
725,Lampent,-8,-71,-55,25,-47,-50,13464
726,Chandelure,-8,-56,-25,75,-17,-25,10364
727,Axew,-22,-24,-55,-40,-67,-48,12478
728,Fraxure,-2,6,-45,-30,-57,-38,7658
729,Haxorus,8,36,-25,-10,-37,-8,3518
730,Cubchoo,-13,-41,-75,-10,-67,-65,16289
731,Beartic,27,19,-35,0,-27,-55,6069
732,Cryogonal,12,-61,-65,25,28,0,9499
733,Shelmet,-18,-71,-30,-30,-42,-80,15329
734,Accelgor,12,-41,-75,30,-47,40,12159
735,Stunfisk,41,-45,-31,11,-8,-73,10181
736,Stunfisk (Galarian Stunfisk),41,-30,-16,-4,-23,-73,8711
737,Mienfoo,-23,-26,-65,-15,-57,-40,10504
738,Mienshao,-3,14,-55,25,-47,0,6064
739,Druddigon,9,9,-25,-10,-17,-57,4425
740,Golett,-9,-37,-65,-35,-57,-70,15049
741,Golurk,21,13,-35,-15,-27,-50,5289
742,Pawniard,-23,-26,-45,-30,-67,-45,10644
743,Bisharp,-3,14,-15,-10,-37,-35,3124
744,Bouffalant,27,-1,-20,-30,-12,-50,4674
745,Rufflet,2,-28,-65,-33,-57,-45,11376
746,Braviary,32,12,-40,-13,-32,-25,4586
747,Braviary (Hisuian Braviary),42,-28,-45,42,-37,-40,9306
748,Vullaby,2,-56,-40,-25,-42,-45,9154
749,Mandibuzz,42,-46,-10,-15,-12,-25,4974
750,Heatmor,17,-14,-49,35,-41,-40,7392
751,Durant,-10,-2,-3,-22,-59,4,4094
752,Deino,-16,-46,-65,-25,-57,-67,14960
753,Zweilous,4,-26,-45,-5,-37,-47,6320
754,Hydreigon,24,-6,-25,55,-17,-7,4600
755,Larvesta,-13,-26,-60,-20,-52,-45,9574
756,Volcarona,17,-51,-50,65,-2,-5,9644
757,Cobalion,23,-21,14,20,-35,3,2800
758,Terrakion,23,18,-25,2,-17,3,1780
759,Virizion,23,-21,-43,20,22,3,3712
760,Tornadus (Incarnate Forme),11,4,-45,55,-27,6,5952
761,Tornadus (Therian Forme),11,-11,-35,40,-17,16,3612
762,Thundurus (Incarnate Forme),11,4,-45,55,-27,6,5952
763,Thundurus (Therian Forme),11,-6,-45,75,-27,-4,8552
764,Reshiram,32,9,-15,80,13,-15,8124
765,Zekrom,32,39,5,50,-7,-15,5344
766,Landorus (Incarnate Forme),21,14,-25,45,-27,-4,4032
767,Landorus (Therian Forme),21,34,-25,35,-27,-14,4372
768,Kyurem,57,19,-25,60,-17,-10,8224
769,Kyurem (Black Kyurem),57,59,-15,50,-17,-10,9844
770,Kyurem (White Kyurem),57,9,-25,100,-7,-10,14104
771,Keldeo,23,-39,-25,59,-17,3,6454
772,Meloetta (Aria Forme),32,-34,-38,58,21,-15,7654
773,Meloetta (Pirouette Forme),32,17,-25,7,-30,23,3416
774,Genesect,3,9,-20,50,-12,-6,3170
775,Chespin,-12,-50,-50,-22,-62,-67,13961
776,Quilladin,-7,-33,-20,-14,-49,-48,6439
777,Chesnaught,20,-4,7,4,-32,-41,3186
778,Fennekin,-28,-66,-75,-8,-47,-45,15063
779,Braixen,-9,-52,-57,20,-37,-32,8827
780,Delphox,7,-42,-43,44,-7,-1,5648
781,Froakie,-27,-55,-75,-8,-63,-34,14568
782,Frogadier,-14,-48,-63,13,-51,-8,9303
783,Greninja,4,-16,-48,33,-36,17,5250
784,Greninja (Ash-Greninja),4,34,-48,83,-36,27,12390
785,Bunnelby,-30,-75,-77,-38,-71,-48,21243
786,Diggersby,17,-55,-38,-20,-30,-27,6787
787,Fletchling,-23,-61,-72,-30,-69,-43,16944
788,Fletchinder,-6,-38,-60,-14,-55,-21,8742
789,Talonflame,10,-30,-44,4,-38,21,4837
790,Scatterbug,-30,-76,-75,-43,-82,-70,25774
791,Spewpa,-23,-89,-55,-43,-77,-76,25029
792,Vivillon,12,-59,-65,20,-57,-16,11755
793,Litleo,-6,-61,-57,3,-53,-33,10913
794,Pyroar,18,-43,-43,39,-41,1,7225
795,Flabébé,-24,-73,-76,-9,-28,-63,16515
796,Floette,-14,-66,-68,5,-9,-53,12091
797,Florges,10,-46,-47,42,47,-30,9298
798,Skiddo,-2,-46,-67,-8,-50,-53,11982
799,Gogoat,55,-11,-53,27,-26,-37,8729
800,Pancham,-1,-29,-53,-24,-59,-62,11552
801,Pangoro,27,13,-37,-1,-36,-47,5773
802,Furfrou,7,-31,-55,-5,-17,-3,4358
803,Espurr,-6,-63,-61,-7,-47,-37,11353
804,Meowstic,6,-63,-39,13,-26,-1,6372
805,Honedge,-23,-31,-15,-35,-70,-77,13769
806,Doublade,-9,-1,35,-25,-58,-70,10196
807,Aegislash (Shield Forme),-8,-61,25,-20,33,-45,7924
808,Aegislash (Blade Forme),-8,29,-65,70,-57,-45,15304
809,Spritzee,10,-59,-55,-7,-42,-82,15143
810,Aromatisse,33,-39,-43,29,-18,-76,11400
811,Swirlix,-6,-63,-49,-11,-50,-56,12163
812,Slurpuff,14,-31,-29,15,-32,-33,4336
813,Inkay,-15,-57,-62,-33,-61,-60,15728
814,Malamar,18,-19,-27,-2,-32,-32,3466
815,Binacle,-26,-59,-48,-31,-51,-55,13048
816,Barbaracle,4,-6,0,-16,-21,-37,2118
817,Skrelp,-18,-51,-55,-10,-47,-75,13884
818,Dragalge,-3,-36,-25,27,16,-61,6636
819,Clauncher,-18,-58,-53,-12,-44,-61,12298
820,Clawitzer,3,-38,-27,50,-18,-46,7122
821,Helioptile,-24,-73,-82,-9,-64,-35,18031
822,Heliolisk,-6,-56,-63,39,-13,4,8847
823,Tyrunt,-10,-22,-38,-25,-62,-57,9746
824,Tyrantrum,14,10,4,-1,-48,-34,3773
825,Amaura,9,-52,-65,-3,-44,-59,12436
826,Aurorus,55,-34,-43,29,-15,-47,9305
827,Sylveon,27,-46,-50,40,23,-45,9499
828,Hawlucha,10,-19,-40,4,-44,13,4182
829,Dedenne,-1,-53,-58,11,-40,-4,7911
830,Carbink,-18,-61,35,-20,43,-55,10544
831,Goomy,-23,-61,-80,-15,-32,-65,16124
832,Sliggoo,0,-36,-62,13,6,-45,7370
833,Sliggoo (Hisuian Sliggoo),-10,-36,-32,13,6,-65,6850
834,Goodra,22,-11,-45,40,43,-25,6704
835,Goodra (Hisuian Goodra),12,-11,-15,40,43,-45,5964
836,Klefki,-11,-31,-24,10,-20,-30,3058
837,Phantump,-25,-41,-67,-20,-47,-67,13893
838,Trevenant,17,-1,-39,-5,-25,-49,4862
839,Pumpkaboo (Small Size),-24,-45,-45,-26,-52,-49,10407
840,Pumpkaboo (Average Size),-19,-45,-45,-26,-52,-54,10707
841,Pumpkaboo (Large Size),-14,-45,-45,-26,-52,-59,11107
842,Pumpkaboo (Super Size),-9,-45,-45,-26,-52,-64,11607
843,Gourgeist (Small Size),-13,-26,7,-12,-32,-6,2098
844,Gourgeist (Average Size),-3,-21,7,-12,-32,-21,2108
845,Gourgeist (Large Size),7,-16,7,-12,-32,-36,2818
846,Gourgeist (Super Size),17,-11,7,-12,-32,-51,4228
847,Bergmite,-13,-42,-30,-38,-72,-77,15390
848,Avalugg,27,6,69,-26,-61,-77,15852
849,Avalugg (Hisuian Avalugg),27,16,69,-36,-71,-67,16572
850,Noibat,-28,-81,-80,-25,-67,-50,21359
851,Noivern,17,-41,-35,27,-27,18,4977
852,Xerneas,58,20,-20,61,-9,-6,8002
853,Yveltal,58,20,-20,61,-9,-6,8002
854,Zygarde (50% Forme),40,-11,6,11,-12,-10,2122
855,Zygarde (10% Forme),-14,-11,-44,-9,-22,10,2918
856,Zygarde (Complete Forme),148,-11,6,21,-12,-20,23046
857,Diancie,-18,-11,35,30,43,-55,7444
858,Diancie (Mega Diancie),-18,49,-5,90,3,5,10884
859,Hoopa (Hoopa Confined),12,-1,-55,80,23,-35,11324
860,Hoopa (Hoopa Unbound),12,49,-55,100,23,-25,16724
861,Volcanion,12,-1,5,60,-17,-35,5284
862,Rowlet,0,-56,-60,-20,-57,-63,14354
863,Dartrix,10,-36,-40,0,-37,-53,7174
864,Decidueye,10,-4,-40,30,-7,-35,3890
865,Decidueye (Hisuian Decidueye),20,1,-35,25,-12,-45,4420
866,Litten,-23,-46,-75,-10,-67,-35,14084
867,Torracat,-3,-26,-65,10,-57,-15,8484
868,Incineroar,27,4,-25,10,-17,-45,3784
869,Popplio,-18,-57,-61,-4,-51,-65,14136
870,Brionne,-8,-42,-46,21,-26,-55,8086
871,Primarina,12,-37,-41,56,9,-45,8436
872,Pikipek,-33,-36,-85,-40,-77,-40,18739
873,Trumbeak,-13,-26,-65,-30,-57,-30,10119
874,Toucannon,12,9,-40,5,-32,-45,4899
875,Yungoos,-20,-41,-85,-40,-77,-60,20435
876,Gumshoos,20,-1,-55,-15,-47,-60,9460
877,Grubbin,-21,-49,-70,-15,-62,-59,15292
878,Charjabug,-11,-29,-20,-15,-32,-69,7372
879,Vikavolt,9,-41,-25,75,-32,-62,12880
880,Crabrawler,-21,-29,-58,-28,-60,-42,10794
881,Crabominable,29,21,-38,-8,-40,-62,8234
882,Oricorio,7,-41,-45,28,-37,-12,6052
883,Cutiefly,-28,-66,-75,-15,-67,-21,15920
884,Ribombee,-8,-56,-55,25,-37,19,8580
885,Rockruff,-23,-46,-75,-40,-67,-45,16384
886,Lycanroc (Midday Form),7,4,-50,-15,-42,7,4603
887,Lycanroc (Midnight Form),17,4,-40,-15,-32,-23,3683
888,Lycanroc (Dusk Form),7,6,-50,-15,-42,5,4599
889,Wishiwashi (Solo Form),-23,-91,-95,-45,-82,-65,30809
890,Wishiwashi (School Form),-23,29,15,70,28,-75,12904
891,Mareanie,-18,-58,-53,-27,-55,-60,13851
892,Toxapex,-18,-48,37,-17,35,-70,10411
893,Mudbray,2,-11,-45,-25,-52,-60,9079
894,Mudsdale,32,14,-15,-15,-22,-70,7054
895,Dewpider,-30,-71,-63,-30,-35,-78,18119
896,Araquanid,0,-41,-23,-20,25,-63,7204
897,Fomantis,-28,-56,-80,-20,-72,-70,20804
898,Lurantis,2,-6,-25,10,-17,-60,4654
899,Morelull,-28,-76,-60,-5,-32,-90,19309
900,Shiinotic,-8,-66,-35,20,-7,-75,11719
901,Salandit,-20,-67,-75,1,-67,-28,15788
902,Salazzle,0,-47,-55,41,-47,12,9268
903,Stufful,2,-36,-65,-25,-57,-55,12424
904,Bewear,52,14,-35,-15,-47,-45,8584
905,Bounsweet,-26,-81,-77,-40,-69,-73,24856
906,Steenee,-16,-71,-67,-30,-59,-43,16016
907,Tsareena,4,9,-17,-20,-9,-33,1956
908,Comfey,-17,-59,-25,12,3,-5,4573
909,Oranguru,22,-51,-35,20,3,-45,6744
910,Passimian,32,9,-25,-30,-47,-25,5464
911,Wimpod,-43,-76,-75,-50,-77,-25,22304
912,Golisopod,7,14,25,-10,-17,-65,5484
913,Sandygast,-13,-56,-35,0,-62,-90,16474
914,Palossand,17,-36,-5,30,-32,-70,8434
915,Pyukumuku,-13,-51,15,-40,23,-100,15124
916,Type: Null,27,-16,-20,25,-12,-46,4270
917,Silvally,27,-16,-20,25,-12,-10,2254
918,Minior (Meteor Form),-8,-51,-15,-10,-7,-45,5064
919,Minior (Core),-8,-11,-55,30,-47,15,6544
920,Komala,-3,4,-50,5,-12,-40,4294
921,Turtonator,-8,-33,20,21,-22,-69,7239
922,Togedemaru,-3,-13,-52,-30,-34,-9,5019
923,Mimikyu,-13,-21,-35,-20,-2,-9,2320
924,Bruxish,0,-6,-45,0,-37,-13,3599
925,Drampa,10,-51,-30,65,-16,-69,12843
926,Dhelmise,2,20,-15,16,-17,-65,5399
927,Jangmo-o,-23,-56,-50,-25,-62,-60,14234
928,Hakamo-o,-13,-36,-25,-5,-37,-40,5084
929,Kommo-o,7,-1,10,30,-2,-20,1454
930,Tapu Koko,2,4,-30,25,-32,25,3194
931,Tapu Lele,2,-26,-40,60,8,-10,6044
932,Tapu Bulu,2,19,0,15,-12,-30,1634
933,Tapu Fini,2,-36,0,25,23,-20,2854
934,Cosmog,-25,-82,-84,-41,-76,-68,26486
935,Cosmoem,-25,-82,16,-41,24,-68,14486
936,Solgaleo,69,26,-8,43,-18,-8,7738
937,Lunala,69,2,-26,67,0,-8,9994
938,Nihilego,41,-58,-68,57,24,-2,13498
939,Buzzwole,39,28,24,-17,-54,-26,6762
940,Pheromosa,3,26,-78,67,-70,46,18274
941,Xurkitree,15,-22,-44,103,-36,-22,15034
942,Celesteela,29,-10,-12,37,-6,-44,4426
943,Kartana,-9,70,16,-11,-76,4,11150
944,Guzzlord,155,-10,-62,27,-54,-62,35458
945,Necrozma,29,-4,-14,57,-18,-26,5302
946,Necrozma (Dusk Mane Necrozma),29,46,12,43,2,-28,5738
947,Necrozma (Dawn Wings Necrozma),29,2,-6,87,20,-28,9634
948,Necrozma (Ultra Necrozma),29,56,-18,97,-10,24,14386
949,Magearna,12,-16,0,60,8,-40,5664
950,Marshadow,22,14,-35,20,-17,20,2994
951,Poipole,-1,-38,-48,3,-40,-32,6382
952,Naganadel,5,-38,-42,57,-34,16,7894
953,Stakataka,-7,20,96,-17,-6,-92,18454
954,Blacephalon,-15,16,-62,81,-28,2,11674
955,Zeraora,20,1,-40,32,-27,38,5198
956,Meltan,-22,-46,-50,-15,-72,-71,15550
957,Melmetal,67,32,28,10,-42,-71,13202
958,Grookey,-18,-46,-65,-30,-67,-40,13654
959,Thwackey,2,-26,-45,-15,-47,-25,5764
960,Rillaboom,32,14,-25,-10,-37,-20,3714
961,Scorbunny,-18,-40,-75,-30,-67,-36,14234
962,Raboot,-3,-25,-55,-15,-47,-11,6214
963,Cinderace,12,5,-40,-5,-32,14,3014
964,Sobble,-18,-71,-75,0,-67,-35,16704
