Bryce Taylor vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
476,Deoxys (Defense Forme),-27,-38,51,4,62,-13,8803
477,Deoxys (Speed Forme),-27,-13,-19,29,-8,77,8093
478,Turtwig,-22,-40,-45,-21,-43,-72,11583
479,Grotle,-2,-19,-24,-11,-33,-67,6640
480,Torterra,18,1,-4,9,-13,-47,2800
481,Chimchar,-33,-50,-65,-8,-54,-42,12558
482,Monferno,-13,-30,-57,12,-46,-22,7062
483,Infernape,-1,-4,-38,38,-27,5,3659
484,Piplup,-24,-57,-56,-5,-42,-63,12719
485,Prinplup,-13,-42,-41,15,-22,-53,7132
486,Empoleon,7,-22,-21,45,3,-43,4857
487,Starly,-37,-53,-79,-36,-68,-43,18188
488,Staravia,-22,-33,-59,-26,-58,-23,9623
489,Staraptor,8,12,-39,-16,-38,-3,3438
490,Bidoof,-18,-63,-69,-31,-58,-72,18563
491,Bibarel,2,-23,-49,-11,-38,-32,5523
492,Kricketot,-40,-83,-68,-41,-57,-78,24127
493,Kricketune,0,-23,-58,-11,-47,-38,7667
494,Shinx,-32,-43,-75,-26,-64,-58,16634
495,Luxio,-17,-23,-60,-6,-49,-43,8704
496,Luxray,3,12,-30,29,-19,-33,3344
497,Budew,-37,-78,-74,-16,-28,-48,16273
498,Roserade,-17,-38,-44,59,7,-13,7368
499,Cranidos,-10,17,-69,-36,-68,-45,13095
500,Rampardos,20,57,-49,-1,-48,-45,10380
501,Shieldon,-47,-66,9,-24,-10,-73,12651
502,Bastiodon,-17,-56,59,-19,40,-73,14196
503,Burmy,-37,-79,-64,-37,-53,-67,20373
504,Wormadam (Plant Cloak),-17,-49,-24,13,7,-67,7973
505,Wormadam (Sandy Cloak),-17,-29,-4,-7,-13,-67,5853
506,Wormadam (Trash Cloak),-17,-39,-14,3,-3,-67,6513
507,Mothim,-7,-14,-59,28,-48,-37,8183
508,Combee,-47,-78,-67,-36,-56,-33,18303
509,Vespiquen,-7,-28,-7,14,4,-63,5063
510,Pachirisu,-17,-63,-39,-21,-8,-8,6348
511,Buizel,-22,-43,-74,-6,-68,-18,12793
512,Floatzel,8,-3,-54,19,-48,12,5798
513,Cherubi,-32,-73,-64,-4,-45,-68,17114
514,Cherrim,-7,-48,-39,21,-20,-18,5039
515,Shellos,-1,-60,-61,-9,-36,-69,13460
516,Gastrodon,34,-25,-41,26,-16,-64,8490
517,Ambipom,-2,-8,-43,-6,-32,12,3121
518,Drifloon,13,-58,-75,-6,-54,-33,13199
519,Drifblim,73,-28,-65,24,-44,-23,13379
520,Buneary,-22,-42,-65,-22,-42,-18,9045
521,Lopunny,-12,-32,-25,-12,-2,2,1945
522,Lopunny (Mega Lopunny),-12,28,-15,-12,-2,32,2325
523,Mismagius,-17,-48,-49,39,7,2,6568
524,Honchkrow,23,17,-57,39,-46,-32,8728
525,Glameow,-28,-53,-67,-24,-61,-18,12703
526,Purugly,-6,-26,-45,-2,-39,9,4343
527,Chingling,-32,-78,-59,-1,-48,-58,16258
528,Stunky,-14,-45,-62,-25,-57,-29,10780
529,Skuntank,26,-15,-42,5,-37,-19,4420
530,Bronzor,-20,-84,-23,-42,-12,-80,16293
531,Bronzong,-10,-19,7,13,18,-70,5903
532,Bonsly,-27,-28,-14,-56,-53,-93,16303
533,Mime Jr.,-57,-83,-64,4,-8,-43,16163
534,Happiny,23,-103,-104,-51,-33,-73,30973
535,Chatot,-1,-43,-64,26,-56,-12,9902
536,Spiritomb,-27,-16,-1,26,10,-68,6386
537,Gible,-19,-38,-64,-26,-53,-61,13107
538,Gabite,-9,-18,-44,-16,-43,-21,4887
539,Garchomp,31,22,-14,14,-13,-1,2007
540,Garchomp (Mega Garchomp),31,62,6,54,-3,-11,7887
541,Munchlax,58,-23,-69,-26,-13,-98,19103
542,Riolu,-37,-38,-69,-31,-58,-43,13748
543,Lucario,-7,2,-39,49,-28,-13,4928
544,Lucario (Mega Lucario),-7,37,-21,74,-28,9,8200
545,Hippopotas,-9,-36,-31,-28,-56,-71,11299
546,Hippowdon,31,4,9,2,-26,-56,4874
547,Skorupi,-37,-58,-19,-36,-43,-38,9683
548,Drapion,-7,-18,1,-6,-23,-8,1003
549,Croagunk,-29,-47,-69,-5,-58,-53,14009
550,Toxicroak,6,-2,-44,20,-33,-18,3789
551,Carnivine,-3,-8,-37,24,-26,-57,5943
552,Finneon,-28,-59,-53,-17,-37,-37,10101
553,Lumineon,-8,-39,-33,3,-12,-12,2971
554,Mantyke,-32,-88,-59,-6,22,-53,15578
555,Snover,-17,-46,-59,-4,-38,-63,11315
556,Abomasnow,13,-16,-34,26,-13,-43,4275
557,Abomasnow (Mega Abomasnow),13,24,-4,66,7,-73,10495
558,Weavile,-7,12,-44,-21,-13,22,3223
559,Magnezone,-7,-38,6,64,-8,-43,7538
560,Lickilicky,33,-23,-14,14,-3,-53,4828
561,Rhyperior,38,32,21,-11,-43,-63,8848
562,Tangrowth,23,-8,16,44,-48,-53,7898
563,Electivire,-2,15,-42,29,-13,-8,3067
564,Magmortar,-2,-13,-42,59,-3,-20,5827
565,Togekiss,8,-58,-14,54,17,-23,7358
566,Yanmega,9,-32,-23,50,-42,-8,5962
567,Leafeon,-12,2,21,-6,-33,-8,1778
568,Glaceon,-12,-48,1,64,-3,-38,7998
569,Gliscor,-2,-13,16,-21,-23,-8,1463
570,Mamoswine,33,22,-29,4,-38,-23,4403
571,Porygon-Z,8,-28,-39,69,-23,-13,7828
572,Gallade,-9,17,-44,-1,17,-23,3125
573,Gallade (Mega Gallade),-9,57,-14,-1,17,7,3865
574,Probopass,-17,-53,36,9,52,-63,11148
575,Dusknoir,-32,-8,26,-1,37,-58,6498
576,Froslass,-7,-28,-39,14,-28,7,3383
577,Rotom,-27,-58,-32,29,-21,-12,6543
578,Rotom (Heat Rotom),-27,-43,-2,39,9,-17,4473
579,Rotom (Wash Rotom),-27,-43,-2,39,9,-17,4473
580,Rotom (Frost Rotom),-27,-43,-2,39,9,-17,4473
581,Rotom (Fan Rotom),-27,-43,-2,39,9,-17,4473
582,Rotom (Mow Rotom),-27,-43,-2,39,9,-17,4473
583,Uxie,-2,-33,21,9,32,-8,2703
584,Mesprit,3,-3,-4,39,7,-23,2133
585,Azelf,-2,17,-39,59,-28,12,6223
586,Dialga,23,12,11,84,2,-13,8023
587,Dialga (Origin Forme),23,-8,11,84,22,-13,8423
588,Palkia,13,12,-9,84,22,-3,7943
589,Palkia (Origin Forme),13,-8,-9,84,22,17,8143
590,Heatran,14,-18,-3,64,8,-26,5365
591,Regigigas,33,52,1,14,12,-3,4143
592,Giratina (Altered Forme),73,-8,11,34,22,-13,7323
593,Giratina (Origin Forme),73,12,-9,54,2,-13,8643
594,Cresselia,43,-38,11,9,32,-18,4843
595,Phione,3,-28,-29,14,-18,-23,2683
596,Manaphy,23,-8,-9,34,2,-3,1843
597,Darkrai,-7,-18,-19,69,-8,22,6043
598,Shaymin (Land Forme),23,-8,-9,34,2,-3,1843
599,Shaymin (Sky Forme),23,-5,-34,54,-23,24,5731
600,Arceus,43,12,11,54,22,17,5803
601,Victini,23,-8,-9,34,2,-3,1843
602,Snivy,-32,-63,-54,-21,-43,-40,11799
603,Servine,-17,-48,-34,-6,-23,-20,4714
604,Serperior,-2,-33,-14,9,-3,10,1479
605,Tepig,-12,-45,-64,-21,-53,-58,12879
606,Pignite,13,-15,-54,4,-43,-48,7479
607,Emboar,33,15,-44,34,-33,-38,6939
608,Oshawott,-22,-53,-64,-3,-53,-58,13571
609,Dewott,-2,-33,-49,17,-38,-43,7076
610,Samurott,18,-8,-24,42,-28,-33,4601
611,Samurott (Hisuian Samurott),13,0,-29,34,-33,-18,3579
612,Patrat,-32,-53,-70,-31,-59,-61,16896
613,Watchog,-17,-23,-40,-6,-29,-26,3971
614,Lillipup,-32,-48,-64,-41,-53,-48,14218
615,Herdier,-12,-28,-44,-31,-33,-43,6763
616,Stoutland,8,2,-19,-21,-8,-23,1463
617,Purrloin,-36,-58,-72,-16,-61,-37,15190
618,Liepard,-13,-20,-59,22,-48,3,6847
619,Pansage,-27,-55,-61,-13,-50,-39,11665
620,Simisage,-2,-10,-46,32,-35,-2,4473
621,Pansear,-27,-55,-61,-13,-50,-39,11665
622,Simisear,-2,-10,-46,32,-35,-2,4473
623,Panpour,-27,-55,-61,-13,-50,-39,11665
624,Simipour,-2,-10,-46,32,-35,-2,4473
625,Munna,-1,-83,-64,1,-43,-79,19077
626,Musharna,39,-53,-24,41,-3,-74,12072
627,Pidove,-27,-53,-59,-30,-68,-60,16143
628,Tranquill,-15,-31,-47,-16,-56,-38,8231
629,Unfezant,3,7,-29,-1,-43,-10,2849
630,Blitzle,-32,-48,-77,-16,-66,-27,14598
631,Zebstrika,-2,-8,-46,14,-35,13,3774
632,Roggenrola,-22,-33,-24,-41,-73,-88,16903
633,Boldore,-7,-3,-4,-16,-58,-83,10583
634,Gigalith,8,27,21,-6,-18,-78,7678
635,Woobat,-12,-63,-66,-11,-55,-31,12576
636,Swoobat,-10,-51,-54,11,-43,11,7708
637,Drilbur,-17,-23,-69,-36,-53,-35,10909
638,Excadrill,33,27,-49,-16,-33,-15,5789
639,Audino,26,-48,-23,-6,-12,-53,6498
640,Audino (Mega Audino),26,-48,17,14,28,-53,7058
641,Timburr,-2,-28,-54,-41,-63,-68,13978
642,Gurdurr,8,-3,-24,-26,-48,-63,7598
643,Conkeldurr,28,32,-14,-11,-33,-58,6578
644,Tympole,-27,-58,-69,-16,-58,-39,13995
645,Palpitoad,-2,-43,-54,-1,-43,-34,7775
646,Seismitoad,28,-13,-34,19,-23,-29,3840
647,Throh,43,-8,-24,-36,-13,-58,7318
648,Sawk,-2,17,-34,-36,-23,-18,3598
649,Sewaddle,-32,-55,-39,-26,-38,-61,11411
650,Swadloon,-22,-45,-19,-16,-18,-61,7171
651,Leavanny,-2,-5,-29,4,-18,-11,1331
652,Venipede,-47,-63,-50,-36,-59,-46,15571
653,Whirlipede,-37,-53,-10,-26,-19,-56,8451
654,Scolipede,-17,-8,-20,-11,-29,9,1796
655,Cottonee,-37,-81,-49,-29,-48,-37,14845
656,Whimsicott,-17,-41,-24,11,-23,13,3365
657,Petilil,-32,-73,-59,4,-48,-73,17483
658,Lilligant,-7,-48,-34,44,-23,-13,6143
659,Lilligant (Hisuian Lilligant),-7,-3,-34,-16,-23,2,2003
660,Basculin,-7,-16,-44,14,-43,-5,4311
661,Sandile,-27,-36,-74,-31,-63,-38,13875
662,Krokorok,-17,-26,-64,-21,-53,-29,9152
663,Krookodile,18,9,-29,-1,-28,-11,2152
664,Darumaka,-7,-18,-64,-51,-53,-53,12688
665,Darumaka (Galarian Darumaka),-7,-18,-64,-51,-53,-53,12688
666,Darmanitan (Standard Mode),28,32,-54,-36,-43,-8,7933
667,Darmanitan (Zen Mode),28,-78,-4,74,7,-48,14713
668,Darmanitan (Galarian Standard Mode),28,32,-54,-36,-43,-8,7933
669,Darmanitan (Galarian Zen Mode),28,52,-54,-36,-43,32,10573
670,Maractus,-2,-22,-42,40,-31,-43,6662
671,Dwebble,-27,-43,-24,-31,-63,-48,10388
672,Crustle,-7,-3,16,-1,-23,-58,4208
673,Scraggy,-27,-33,-39,-31,-28,-55,8109
674,Scrafty,-12,-18,6,-21,17,-45,3259
675,Sigilyph,-5,-50,-29,37,-18,-6,5095
676,Yamask,-39,-78,-24,-11,-33,-73,14720
677,Yamask (Galarian Yamask),-39,-53,-24,-36,-33,-73,12620
678,Cofagrigus,-19,-58,36,29,7,-73,11240
679,Tirtouga,-23,-30,-6,-13,-53,-81,11004
680,Carracosta,-3,0,24,17,-33,-71,7004
681,Archen,-22,4,-64,8,-53,-33,8558
682,Archeops,-2,32,-44,46,-33,7,6218
683,Trubbish,-27,-58,-47,-26,-36,-38,9718
684,Garbodor,3,-13,-27,-6,-16,-28,1983
685,Zorua,-37,-43,-69,14,-58,-38,12983
686,Zorua (Hisuian Zorua),-42,-48,-69,19,-58,-33,13643
687,Zoroark,-17,-3,-49,54,-38,2,7063
688,Zoroark (Hisuian Zoroark),-22,-8,-49,59,-38,7,7923
689,Minccino,-22,-58,-69,-26,-58,-28,13433
690,Cinccino,-2,-13,-49,-1,-38,12,4163
691,Gothita,-32,-78,-59,-11,-33,-58,15163
692,Gothorita,-17,-63,-39,9,-13,-48,8333
693,Gothitelle,-7,-53,-14,29,12,-38,5483
694,Solosis,-32,-78,-69,39,-48,-83,22583
695,Duosion,-12,-68,-59,59,-38,-73,18503
696,Reuniclus,33,-43,-34,59,-13,-73,13073
697,Ducklett,-15,-64,-59,-22,-48,-48,12894
698,Swanna,-2,-21,-46,21,-35,-5,4252
699,Vanillite,-41,-58,-59,-1,-38,-59,13452
700,Vanillish,-26,-43,-44,14,-23,-44,7122
701,Vanilluxe,-6,-13,-24,44,-3,-24,3302
702,Deerling,-17,-48,-59,-26,-48,-28,9838
703,Sawsbuck,3,-8,-39,-6,-28,-8,2478
704,Emolga,-22,-33,-49,9,-38,0,5499
705,Karrablast,-27,-33,-64,-26,-53,-43,11248
706,Escavalier,-7,27,-4,-6,7,-83,7768
707,Foongus,-8,-53,-64,-11,-43,-88,16683
708,Amoonguss,37,-23,-39,19,-18,-73,9433
709,Frillish,-22,-68,-59,-1,-13,-63,12728
710,Jellicent,23,-48,-39,19,7,-43,6613
711,Alomomola,88,-33,-29,-26,-53,-38,14603
712,Joltik,-27,-61,-59,-9,-48,-38,11760
713,Galvantula,-7,-31,-49,31,-38,5,5841
714,Ferroseed,-33,-58,-18,-42,-12,-93,15334
715,Ferrothorn,-3,-14,22,-12,18,-83,8046
716,Klink,-37,-53,-39,-21,-38,-73,12913
717,Klang,-17,-28,-14,4,-13,-53,4263
718,Klinklang,-17,-8,6,4,-13,-13,743
719,Tynamo,-42,-53,-69,-21,-58,-43,14988
720,Eelektrik,-12,-23,-39,9,-28,-63,7028
721,Eelektross,8,7,-29,39,-18,-53,5608
722,Elgyem,-22,-53,-54,19,-43,-73,13748
723,Beheeyem,-2,-33,-34,59,-3,-63,9708
724,Litwick,-27,-78,-54,-1,-43,-83,18468
725,Lampent,-17,-68,-49,29,-38,-48,11903
726,Chandelure,-17,-53,-19,79,-8,-23,10293
727,Axew,-31,-21,-49,-36,-58,-46,10579
728,Fraxure,-11,9,-39,-26,-48,-36,5999
729,Haxorus,-1,39,-19,-6,-28,-6,2739
730,Cubchoo,-22,-38,-69,-6,-58,-63,14058
731,Beartic,18,22,-29,4,-18,-53,4798
732,Cryogonal,3,-58,-59,29,37,2,9068
733,Shelmet,-27,-68,-24,-26,-33,-78,13778
734,Accelgor,3,-38,-69,34,-38,42,10578
735,Stunfisk,32,-42,-25,15,1,-71,8680
736,Stunfisk (Galarian Stunfisk),32,-27,-10,0,-14,-71,7090
737,Mienfoo,-32,-23,-59,-11,-48,-38,8903
738,Mienshao,-12,17,-49,29,-38,2,5123
739,Druddigon,0,12,-19,-6,-8,-55,3630
740,Golett,-18,-34,-59,-31,-48,-68,12850
741,Golurk,12,16,-29,-11,-18,-48,3990
742,Pawniard,-32,-23,-39,-26,-58,-43,8963
743,Bisharp,-12,17,-9,-6,-28,-33,2423
744,Bouffalant,18,2,-14,-26,-3,-48,3513
745,Rufflet,-7,-25,-59,-29,-48,-43,9149
746,Braviary,23,15,-34,-9,-23,-23,3049
747,Braviary (Hisuian Braviary),33,-25,-39,46,-28,-38,7579
748,Vullaby,-7,-53,-34,-21,-33,-43,7393
749,Mandibuzz,33,-43,-4,-11,-3,-23,3613
750,Heatmor,8,-11,-43,39,-32,-38,6023
751,Durant,-19,1,3,-18,-50,6,3231
752,Deino,-25,-43,-59,-21,-48,-65,12925
753,Zweilous,-5,-23,-39,-1,-28,-45,4885
754,Hydreigon,15,-3,-19,59,-8,-5,4165
755,Larvesta,-22,-23,-54,-16,-43,-43,7883
756,Volcarona,8,-48,-44,69,7,-3,9123
757,Cobalion,14,-18,20,24,-26,5,2197
758,Terrakion,14,21,-19,6,-8,5,1123
759,Virizion,14,-18,-37,24,31,5,3451
760,Tornadus (Incarnate Forme),2,7,-39,59,-18,8,5443
761,Tornadus (Therian Forme),2,-8,-29,44,-8,18,3233
762,Thundurus (Incarnate Forme),2,7,-39,59,-18,8,5443
763,Thundurus (Therian Forme),2,-3,-39,79,-18,-2,8103
764,Reshiram,23,12,-9,84,22,-13,8463
765,Zekrom,23,42,11,54,2,-13,5503
766,Landorus (Incarnate Forme),12,17,-19,49,-18,-2,3523
767,Landorus (Therian Forme),12,37,-19,39,-18,-12,3863
768,Kyurem,48,22,-19,64,-8,-8,7373
769,Kyurem (Black Kyurem),48,62,-9,54,-8,-8,9273
770,Kyurem (White Kyurem),48,12,-19,104,2,-8,13693
771,Keldeo,14,-36,-19,63,-8,5,5911
772,Meloetta (Aria Forme),23,-31,-32,62,30,-13,7427
773,Meloetta (Pirouette Forme),23,20,-19,11,-21,25,2477
774,Genesect,-6,12,-14,54,-3,-4,3317
775,Chespin,-21,-47,-44,-18,-53,-65,11944
776,Quilladin,-16,-30,-14,-10,-40,-46,5168
777,Chesnaught,11,-1,13,8,-23,-39,2405
778,Fennekin,-37,-63,-69,-4,-38,-43,13408
779,Braixen,-18,-49,-51,24,-28,-30,7586
780,Delphox,-2,-39,-37,48,2,1,5203
781,Froakie,-36,-52,-69,-4,-54,-32,12717
782,Frogadier,-23,-45,-57,17,-42,-6,7892
783,Greninja,-5,-13,-42,37,-27,19,4417
784,Greninja (Ash-Greninja),-5,37,-42,87,-27,29,12297
785,Bunnelby,-39,-72,-71,-34,-62,-46,18862
786,Diggersby,8,-52,-32,-16,-21,-25,5114
787,Fletchling,-32,-58,-66,-26,-60,-41,14701
788,Fletchinder,-15,-35,-54,-10,-46,-19,6943
789,Talonflame,1,-27,-38,8,-29,23,3608
790,Scatterbug,-39,-73,-69,-39,-73,-68,23085
791,Spewpa,-32,-86,-49,-39,-68,-74,22442
792,Vivillon,3,-56,-59,24,-48,-14,9702
793,Litleo,-15,-58,-51,7,-44,-31,9136
794,Pyroar,9,-40,-37,43,-32,3,5932
795,Flabébé,-33,-70,-70,-5,-19,-61,14996
796,Floette,-23,-63,-62,9,0,-51,11024
797,Florges,1,-43,-41,46,56,-28,9567
798,Skiddo,-11,-43,-61,-4,-41,-51,9989
799,Gogoat,46,-8,-47,31,-17,-35,6864
800,Pancham,-10,-26,-47,-20,-50,-60,9485
801,Pangoro,18,16,-31,3,-27,-45,4304
802,Furfrou,-2,-28,-49,-1,-8,-1,3255
803,Espurr,-15,-60,-55,-3,-38,-35,9528
804,Meowstic,-3,-60,-33,17,-17,1,5277
805,Honedge,-32,-28,-9,-31,-61,-75,12196
806,Doublade,-18,2,41,-21,-49,-68,9475
807,Aegislash (Shield Forme),-17,-58,31,-16,42,-43,8483
808,Aegislash (Blade Forme),-17,32,-59,74,-48,-43,14423
809,Spritzee,1,-56,-49,-3,-33,-80,13036
810,Aromatisse,24,-36,-37,33,-9,-74,9887
811,Swirlix,-15,-60,-43,-7,-41,-54,10320
812,Slurpuff,5,-28,-23,19,-23,-31,3189
813,Inkay,-24,-54,-56,-29,-52,-58,13537
814,Malamar,9,-16,-21,2,-23,-30,2211
815,Binacle,-35,-56,-42,-27,-42,-53,11427
816,Barbaracle,-5,-3,6,-12,-12,-35,1583
817,Skrelp,-27,-48,-49,-6,-38,-73,12243
818,Dragalge,-12,-33,-19,31,25,-59,6661
819,Clauncher,-27,-55,-47,-8,-35,-59,10733
820,Clawitzer,-6,-35,-21,54,-9,-44,6635
821,Helioptile,-33,-70,-76,-5,-55,-33,15904
822,Heliolisk,-15,-53,-57,43,-4,6,8184
823,Tyrunt,-19,-19,-32,-21,-53,-55,8021
824,Tyrantrum,5,13,10,3,-39,-32,2848
825,Amaura,0,-49,-59,1,-35,-57,10357
826,Aurorus,46,-31,-37,33,-6,-45,7596
827,Sylveon,18,-43,-44,44,32,-43,8918
828,Hawlucha,1,-16,-34,8,-35,15,2927
829,Dedenne,-10,-50,-52,15,-31,-2,6494
830,Carbink,-27,-58,41,-16,52,-53,11543
831,Goomy,-32,-58,-74,-11,-23,-63,14483
832,Sliggoo,-9,-33,-56,17,15,-43,6669
833,Sliggoo (Hisuian Sliggoo),-19,-33,-26,17,15,-63,6609
834,Goodra,13,-8,-39,44,52,-23,6923
835,Goodra (Hisuian Goodra),3,-8,-9,44,52,-43,6643
836,Klefki,-20,-28,-18,14,-11,-28,2609
837,Phantump,-34,-38,-61,-16,-38,-65,12246
838,Trevenant,8,2,-33,-1,-16,-47,3623
839,Pumpkaboo (Small Size),-33,-42,-39,-22,-43,-47,8916
840,Pumpkaboo (Average Size),-28,-42,-39,-22,-43,-52,9106
841,Pumpkaboo (Large Size),-23,-42,-39,-22,-43,-57,9396
842,Pumpkaboo (Super Size),-18,-42,-39,-22,-43,-62,9786
843,Gourgeist (Small Size),-22,-23,13,-8,-23,-4,1791
844,Gourgeist (Average Size),-12,-18,13,-8,-23,-19,1591
845,Gourgeist (Large Size),-2,-13,13,-8,-23,-34,2091
846,Gourgeist (Super Size),8,-8,13,-8,-23,-49,3291
847,Bergmite,-22,-39,-24,-34,-63,-75,13331
848,Avalugg,18,9,75,-22,-52,-75,14843
849,Avalugg (Hisuian Avalugg),18,19,75,-32,-62,-65,15403
850,Noibat,-37,-78,-74,-21,-58,-48,19038
851,Noivern,8,-38,-29,31,-18,20,4034
852,Xerneas,49,23,-14,65,0,-4,7367
853,Yveltal,49,23,-14,65,0,-4,7367
854,Zygarde (50% Forme),31,-8,12,15,-3,-8,1467
855,Zygarde (10% Forme),-23,-8,-38,-5,-13,12,2375
856,Zygarde (Complete Forme),139,-8,12,25,-3,-18,20487
857,Diancie,-27,-8,41,34,52,-53,9143
858,Diancie (Mega Diancie),-27,52,1,94,12,7,12463
859,Hoopa (Hoopa Confined),3,2,-49,84,32,-33,11583
860,Hoopa (Hoopa Unbound),3,52,-49,104,32,-23,17483
861,Volcanion,3,2,11,64,-8,-33,5383
862,Rowlet,-9,-53,-54,-16,-48,-61,12087
863,Dartrix,1,-33,-34,4,-28,-51,5647
864,Decidueye,1,-1,-34,34,2,-33,3407
865,Decidueye (Hisuian Decidueye),11,4,-29,29,-3,-43,3677
866,Litten,-32,-43,-69,-6,-58,-33,12123
867,Torracat,-12,-23,-59,14,-48,-13,6823
868,Incineroar,18,7,-19,14,-8,-43,2843
869,Popplio,-27,-54,-55,0,-42,-63,12403
870,Brionne,-17,-39,-40,25,-17,-53,7133
871,Primarina,3,-34,-35,60,18,-43,8163
872,Pikipek,-42,-33,-79,-36,-68,-38,16458
873,Trumbeak,-22,-23,-59,-26,-48,-28,8258
874,Toucannon,3,12,-34,9,-23,-43,3768
875,Yungoos,-29,-38,-79,-36,-68,-58,17810
876,Gumshoos,11,2,-49,-11,-38,-58,7455
877,Grubbin,-30,-46,-64,-11,-53,-57,13291
878,Charjabug,-20,-26,-14,-11,-23,-67,6411
879,Vikavolt,0,-38,-19,79,-23,-60,12175
880,Crabrawler,-30,-26,-52,-24,-51,-40,9057
881,Crabominable,20,24,-32,-4,-31,-60,6577
882,Oricorio,-2,-38,-39,32,-28,-10,4877
883,Cutiefly,-37,-63,-69,-11,-58,-19,13945
884,Ribombee,-17,-53,-49,29,-28,21,7565
885,Rockruff,-32,-43,-69,-36,-58,-43,14143
886,Lycanroc (Midday Form),-2,7,-44,-11,-33,9,3280
887,Lycanroc (Midnight Form),8,7,-34,-11,-23,-21,2360
888,Lycanroc (Dusk Form),-2,9,-44,-11,-33,7,3280
889,Wishiwashi (Solo Form),-32,-88,-89,-41,-73,-63,27668
890,Wishiwashi (School Form),-32,32,21,74,37,-73,14663
891,Mareanie,-27,-55,-47,-23,-46,-58,11972
892,Toxapex,-27,-45,43,-13,44,-68,11332
893,Mudbray,-7,-8,-39,-21,-43,-58,7288
894,Mudsdale,23,17,-9,-11,-13,-68,5813
895,Dewpider,-39,-68,-57,-26,-26,-76,16522
896,Araquanid,-9,-38,-17,-16,34,-61,6947
897,Fomantis,-37,-53,-74,-16,-63,-68,18503
898,Lurantis,-7,-3,-19,14,-8,-58,4043
899,Morelull,-37,-73,-54,-1,-23,-88,17888
900,Shiinotic,-17,-63,-29,24,2,-73,11008
901,Salandit,-29,-64,-69,5,-58,-26,13763
902,Salazzle,-9,-44,-49,45,-38,14,8083
903,Stufful,-7,-33,-59,-21,-48,-53,10173
904,Bewear,43,17,-29,-11,-38,-43,6393
905,Bounsweet,-35,-78,-71,-36,-60,-71,22287
906,Steenee,-25,-68,-61,-26,-50,-41,13827
907,Tsareena,-5,12,-11,-16,0,-31,1507
908,Comfey,-26,-56,-19,16,12,-3,4582
909,Oranguru,13,-48,-29,24,12,-43,5883
910,Passimian,23,12,-19,-26,-38,-23,3683
911,Wimpod,-52,-73,-69,-46,-68,-23,20063
912,Golisopod,-2,17,31,-6,-8,-63,5323
913,Sandygast,-22,-53,-29,4,-53,-88,14703
914,Palossand,8,-33,1,34,-23,-68,7463
915,Pyukumuku,-22,-48,21,-36,32,-98,15153
916,Type: Null,18,-13,-14,29,-3,-44,3475
917,Silvally,18,-13,-14,29,-3,-8,1603
918,Minior (Meteor Form),-17,-48,-9,-6,2,-43,4563
919,Minior (Core),-17,-8,-49,34,-38,17,5643
920,Komala,-12,7,-44,9,-3,-38,3663
921,Turtonator,-17,-30,26,25,-13,-67,7148
922,Togedemaru,-12,-10,-46,-26,-25,-7,3710
923,Mimikyu,-22,-18,-29,-16,7,-7,2003
924,Bruxish,-9,-3,-39,4,-28,-11,2532
925,Drampa,1,-48,-24,69,-7,-67,12180
926,Dhelmise,-7,23,-9,20,-8,-63,5092
927,Jangmo-o,-32,-53,-44,-21,-53,-58,12383
928,Hakamo-o,-22,-33,-19,-1,-28,-38,4163
929,Kommo-o,-2,2,16,34,7,-18,1793
930,Tapu Koko,-7,7,-24,29,-23,27,2773
931,Tapu Lele,-7,-23,-34,64,17,-8,6183
932,Tapu Bulu,-7,22,6,19,-3,-28,1723
933,Tapu Fini,-7,-33,6,29,32,-18,3363
934,Cosmog,-34,-79,-78,-37,-67,-66,23695
935,Cosmoem,-34,-79,22,-37,33,-66,14695
936,Solgaleo,60,29,-2,47,-9,-6,6771
937,Lunala,60,5,-20,71,9,-6,9183
938,Nihilego,32,-55,-62,61,33,0,12703
939,Buzzwole,30,31,30,-13,-45,-24,5531
940,Pheromosa,-6,29,-72,71,-61,48,17127
941,Xurkitree,6,-19,-38,107,-27,-20,14419
942,Celesteela,20,-7,-6,41,3,-42,3939
943,Kartana,-18,73,22,-7,-67,6,10711
944,Guzzlord,146,-7,-56,31,-45,-60,31087
945,Necrozma,20,-1,-8,61,-9,-24,4843
946,Necrozma (Dusk Mane Necrozma),20,49,18,47,11,-26,6131
947,Necrozma (Dawn Wings Necrozma),20,5,0,91,29,-26,10223
948,Necrozma (Ultra Necrozma),20,59,-12,101,-1,26,14903
949,Magearna,3,-13,6,64,17,-38,6043
950,Marshadow,13,17,-29,24,-8,22,2423
951,Poipole,-10,-35,-42,7,-31,-30,4999
952,Naganadel,-4,-35,-36,61,-25,18,7207
953,Stakataka,-16,23,102,-13,3,-90,19467
954,Blacephalon,-24,19,-56,85,-19,4,11675
955,Zeraora,11,4,-34,36,-18,40,4513
956,Meltan,-31,-43,-44,-11,-63,-69,13597
957,Melmetal,58,35,34,14,-33,-69,11791
958,Grookey,-27,-43,-59,-26,-58,-38,11543
959,Thwackey,-7,-23,-39,-11,-38,-23,4193
960,Rillaboom,23,17,-19,-6,-28,-18,2323
961,Scorbunny,-27,-37,-69,-26,-58,-34,12055
962,Raboot,-12,-22,-49,-11,-38,-9,4675
963,Cinderace,3,8,-34,-1,-23,16,2015
