Paul Bartenfeld vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
490,Bidoof,-31,-39,-20,-31,-37,-86,12608
491,Bibarel,-11,1,0,-11,-17,-46,2648
492,Kricketot,-53,-59,-19,-41,-36,-92,18092
493,Kricketune,-13,1,-9,-11,-26,-52,3752
494,Shinx,-45,-19,-26,-26,-43,-72,10771
495,Luxio,-30,1,-11,-6,-28,-57,5091
496,Luxray,-10,36,19,29,2,-47,4811
497,Budew,-50,-54,-25,-16,-7,-62,10190
498,Roserade,-30,-14,5,59,28,-27,6115
499,Cranidos,-23,41,-20,-36,-47,-59,9596
500,Rampardos,7,81,0,-1,-27,-59,10821
501,Shieldon,-60,-42,58,-24,11,-87,16994
502,Bastiodon,-30,-32,108,-19,61,-87,25239
503,Burmy,-50,-55,-15,-37,-32,-81,14704
504,Wormadam (Plant Cloak),-30,-25,25,13,28,-81,9664
505,Wormadam (Sandy Cloak),-30,-5,45,-7,8,-81,9624
506,Wormadam (Trash Cloak),-30,-15,35,3,18,-81,9244
507,Mothim,-20,10,-10,28,-27,-51,4714
508,Combee,-60,-54,-18,-36,-35,-47,11570
509,Vespiquen,-20,-4,42,14,25,-77,8930
510,Pachirisu,-30,-39,10,-21,13,-22,3615
511,Buizel,-35,-19,-25,-6,-47,-32,5480
512,Floatzel,-5,21,-5,19,-27,-2,1585
513,Cherubi,-45,-49,-15,-4,-24,-82,11967
514,Cherrim,-20,-24,10,21,1,-32,2542
515,Shellos,-14,-36,-12,-9,-15,-83,8831
516,Gastrodon,21,-1,8,26,5,-78,7291
517,Ambipom,-15,16,6,-6,-11,-2,678
518,Drifloon,0,-34,-26,-6,-33,-47,5166
519,Drifblim,60,-4,-16,24,-23,-37,6346
520,Buneary,-35,-18,-16,-22,-21,-32,3754
521,Lopunny,-25,-8,24,-12,19,-12,1914
522,Lopunny (Mega Lopunny),-25,52,34,-12,19,18,5314
523,Mismagius,-30,-24,0,39,28,-12,3925
524,Honchkrow,10,41,-8,39,-25,-46,6107
525,Glameow,-41,-29,-18,-24,-40,-32,6046
526,Purugly,-19,-2,4,-2,-18,-5,734
527,Chingling,-45,-54,-10,-1,-27,-72,10955
528,Stunky,-27,-21,-13,-25,-36,-43,5109
529,Skuntank,13,9,7,5,-16,-33,1669
530,Bronzor,-33,-60,26,-42,9,-94,16046
531,Bronzong,-23,5,56,13,39,-84,12436
532,Bonsly,-40,-4,35,-56,-32,-107,18450
533,Mime Jr.,-70,-59,-15,4,13,-57,12040
534,Happiny,10,-79,-55,-51,-12,-87,19680
535,Chatot,-14,-19,-15,26,-35,-26,3359
536,Spiritomb,-40,8,48,26,31,-82,12329
537,Gible,-32,-14,-15,-26,-32,-75,8770
538,Gabite,-22,6,5,-16,-22,-35,2510
539,Garchomp,18,46,35,14,8,-15,4150
540,Garchomp (Mega Garchomp),18,86,55,54,18,-25,14610
541,Munchlax,45,1,-20,-26,8,-112,15710
542,Riolu,-50,-14,-20,-31,-37,-57,8675
543,Lucario,-20,26,10,49,-7,-27,4355
544,Lucario (Mega Lucario),-20,61,28,74,-7,-5,10455
545,Hippopotas,-22,-12,18,-28,-35,-85,10186
546,Hippowdon,18,28,58,2,-5,-70,9401
547,Skorupi,-50,-34,30,-36,-22,-52,9040
548,Drapion,-20,6,50,-6,-2,-22,3460
549,Croagunk,-42,-23,-20,-5,-37,-67,8576
550,Toxicroak,-7,22,5,20,-12,-32,2126
551,Carnivine,-16,16,12,24,-5,-71,6298
552,Finneon,-41,-35,-4,-17,-16,-51,6068
553,Lumineon,-21,-15,16,3,9,-26,1688
554,Mantyke,-45,-64,-10,-6,43,-67,12595
555,Snover,-30,-22,-10,-4,-17,-77,7718
556,Abomasnow,0,8,15,26,8,-57,4278
557,Abomasnow (Mega Abomasnow),0,48,45,66,28,-87,17038
558,Weavile,-20,36,5,-21,8,8,2290
559,Magnezone,-20,-14,55,64,13,-57,11135
560,Lickilicky,20,1,35,14,18,-67,6635
561,Rhyperior,25,56,70,-11,-22,-77,15195
562,Tangrowth,10,16,65,44,-27,-67,11735
563,Electivire,-15,39,7,29,8,-22,3184
564,Magmortar,-15,11,7,59,18,-34,5356
565,Togekiss,-5,-34,35,54,38,-37,8135
566,Yanmega,-4,-8,26,50,-21,-22,4181
567,Leafeon,-25,26,70,-6,-12,-22,6865
568,Glaceon,-25,-24,50,64,18,-52,10825
569,Gliscor,-15,11,65,-21,-2,-22,5500
570,Mamoswine,20,46,20,4,-17,-37,4590
571,Porygon-Z,-5,-4,10,69,-2,-27,5635
572,Gallade,-22,41,5,-1,38,-37,5004
573,Gallade (Mega Gallade),-22,81,35,-1,38,-7,9764
574,Probopass,-30,-29,85,9,73,-77,20305
575,Dusknoir,-45,16,75,-1,58,-72,16455
576,Froslass,-20,-4,10,14,-7,-7,810
577,Rotom,-40,-34,17,29,0,-26,4562
578,Rotom (Heat Rotom),-40,-19,47,39,30,-31,7552
579,Rotom (Wash Rotom),-40,-19,47,39,30,-31,7552
580,Rotom (Frost Rotom),-40,-19,47,39,30,-31,7552
581,Rotom (Fan Rotom),-40,-19,47,39,30,-31,7552
582,Rotom (Mow Rotom),-40,-19,47,39,30,-31,7552
583,Uxie,-15,-9,70,9,53,-22,8580
584,Mesprit,-10,21,45,39,28,-37,6240
585,Azelf,-15,41,10,59,-7,-2,5540
586,Dialga,10,36,60,84,23,-27,13310
587,Dialga (Origin Forme),10,16,60,84,43,-27,13590
588,Palkia,0,36,40,84,43,-17,12090
589,Palkia (Origin Forme),0,16,40,84,43,3,10770
590,Heatran,1,6,46,64,29,-40,8690
591,Regigigas,20,76,50,14,33,-17,10250
592,Giratina (Altered Forme),60,16,60,34,43,-27,11190
593,Giratina (Origin Forme),60,36,40,54,23,-27,10670
594,Cresselia,30,-14,60,9,53,-32,8610
595,Phione,-10,-4,20,14,3,-37,2090
596,Manaphy,10,16,40,34,23,-17,3930
597,Darkrai,-20,6,30,69,13,8,6330
598,Shaymin (Land Forme),10,16,40,34,23,-17,3930
599,Shaymin (Sky Forme),10,19,15,54,-2,10,3706
600,Arceus,30,36,60,54,43,3,10570
601,Victini,10,16,40,34,23,-17,3930
602,Snivy,-45,-39,-5,-21,-22,-54,7412
603,Servine,-30,-24,15,-6,-2,-34,2897
604,Serperior,-15,-9,35,9,18,-4,1952
605,Tepig,-25,-21,-15,-21,-32,-72,7940
606,Pignite,0,9,-5,4,-22,-62,4450
607,Emboar,20,39,5,34,-12,-52,5950
608,Oshawott,-35,-29,-15,-3,-32,-72,8508
609,Dewott,-15,-9,0,17,-17,-57,4133
610,Samurott,5,16,25,42,-7,-47,4928
611,Samurott (Hisuian Samurott),0,24,20,34,-12,-32,3300
612,Patrat,-45,-29,-21,-31,-38,-75,11337
613,Watchog,-30,1,9,-6,-8,-40,2682
614,Lillipup,-45,-24,-15,-41,-32,-62,9375
615,Herdier,-25,-4,5,-31,-12,-57,5020
616,Stoutland,-5,26,30,-21,13,-37,3580
617,Purrloin,-49,-34,-23,-16,-40,-51,8543
618,Liepard,-26,4,-10,22,-27,-11,2126
619,Pansage,-40,-31,-12,-13,-29,-53,6524
620,Simisage,-15,14,3,32,-14,-16,1906
621,Pansear,-40,-31,-12,-13,-29,-53,6524
622,Simisear,-15,14,3,32,-14,-16,1906
623,Panpour,-40,-31,-12,-13,-29,-53,6524
624,Simipour,-15,14,3,32,-14,-16,1906
625,Munna,-14,-59,-15,1,-22,-93,13036
626,Musharna,26,-29,25,41,18,-88,11891
627,Pidove,-40,-29,-10,-30,-47,-74,11126
628,Tranquill,-28,-7,2,-16,-35,-52,5022
629,Unfezant,-10,31,20,-1,-22,-24,2522
630,Blitzle,-45,-24,-28,-16,-45,-41,7347
631,Zebstrika,-15,16,3,14,-14,-1,883
632,Roggenrola,-35,-9,25,-41,-52,-102,16720
633,Boldore,-20,21,45,-16,-37,-97,13900
634,Gigalith,-5,51,70,-6,3,-92,16035
635,Woobat,-25,-39,-17,-11,-34,-45,5737
636,Swoobat,-23,-27,-5,11,-22,-3,1897
637,Drilbur,-30,1,-20,-36,-32,-49,6022
638,Excadrill,20,51,0,-16,-12,-29,4242
639,Audino,13,-24,26,-6,9,-67,6027
640,Audino (Mega Audino),13,-24,66,14,49,-67,12187
641,Timburr,-15,-4,-5,-41,-42,-82,10435
642,Gurdurr,-5,21,25,-26,-27,-77,8425
643,Conkeldurr,15,56,35,-11,-12,-72,10035
644,Tympole,-40,-34,-20,-16,-37,-53,7590
645,Palpitoad,-15,-19,-5,-1,-22,-48,3400
646,Seismitoad,15,11,15,19,-2,-43,2785
647,Throh,30,16,25,-36,8,-72,8325
648,Sawk,-15,41,15,-36,-2,-32,4455
649,Sewaddle,-45,-31,10,-26,-17,-75,9676
650,Swadloon,-35,-21,30,-16,3,-75,8456
651,Leavanny,-15,19,20,4,3,-25,1636
652,Venipede,-60,-39,-1,-36,-38,-60,11462
653,Whirlipede,-50,-29,39,-26,2,-70,10442
654,Scolipede,-30,16,29,-11,-8,-5,2207
655,Cottonee,-50,-57,0,-29,-27,-51,9920
656,Whimsicott,-30,-17,25,11,-2,-1,1940
657,Petilil,-45,-49,-10,4,-27,-87,12840
658,Lilligant,-20,-24,15,44,-2,-27,3870
659,Lilligant (Hisuian Lilligant),-20,21,15,-16,-2,-12,1470
660,Basculin,-20,8,5,14,-22,-19,1530
661,Sandile,-40,-12,-25,-31,-42,-52,7798
662,Krokorok,-30,-2,-15,-21,-32,-43,4443
663,Krookodile,5,33,20,-1,-7,-25,2189
664,Darumaka,-20,6,-15,-51,-32,-67,8775
665,Darumaka (Galarian Darumaka),-20,6,-15,-51,-32,-67,8775
666,Darmanitan (Standard Mode),15,56,-5,-36,-22,-22,5650
667,Darmanitan (Zen Mode),15,-54,45,74,28,-62,15270
668,Darmanitan (Galarian Standard Mode),15,56,-5,-36,-22,-22,5650
669,Darmanitan (Galarian Zen Mode),15,76,-5,-36,-22,18,8130
670,Maractus,-15,2,7,40,-10,-57,5227
671,Dwebble,-40,-19,25,-31,-42,-62,9155
672,Crustle,-20,21,65,-1,-2,-72,10255
673,Scraggy,-40,-9,10,-31,-7,-69,7552
674,Scrafty,-25,6,55,-21,38,-59,9052
675,Sigilyph,-18,-26,20,37,3,-20,3178
676,Yamask,-52,-54,25,-11,-12,-87,14079
677,Yamask (Galarian Yamask),-52,-29,25,-36,-12,-87,13179
678,Cofagrigus,-32,-34,85,29,28,-87,18599
679,Tirtouga,-36,-6,43,-13,-32,-95,13399
680,Carracosta,-16,24,73,17,-12,-85,13819
681,Archen,-35,28,-15,8,-32,-47,5531
682,Archeops,-15,56,5,46,-12,-7,5695
683,Trubbish,-40,-34,2,-26,-15,-52,6365
684,Garbodor,-10,11,22,-6,5,-42,2530
685,Zorua,-50,-19,-20,14,-37,-52,7530
686,Zorua (Hisuian Zorua),-55,-24,-20,19,-37,-47,7940
687,Zoroark,-30,21,0,54,-17,-12,4690
688,Zoroark (Hisuian Zoroark),-35,16,0,59,-17,-7,5300
689,Minccino,-35,-34,-20,-26,-37,-42,6590
690,Cinccino,-15,11,0,-1,-17,-2,640
691,Gothita,-45,-54,-10,-11,-12,-72,10490
692,Gothorita,-30,-39,10,9,8,-62,6510
693,Gothitelle,-20,-29,35,29,33,-52,7100
694,Solosis,-45,-54,-20,39,-27,-97,17000
695,Duosion,-25,-44,-10,59,-17,-87,14000
696,Reuniclus,20,-19,15,59,8,-87,12100
697,Ducklett,-28,-40,-10,-22,-27,-62,7541
698,Swanna,-15,3,3,21,-14,-19,1241
699,Vanillite,-54,-34,-10,-1,-17,-73,9791
700,Vanillish,-39,-19,5,14,-2,-58,5471
701,Vanilluxe,-19,11,25,44,18,-38,4811
702,Deerling,-30,-24,-10,-26,-27,-42,4745
703,Sawsbuck,-10,16,10,-6,-7,-22,1025
704,Emolga,-35,-9,0,9,-17,-14,1872
705,Karrablast,-40,-9,-15,-26,-32,-57,6855
706,Escavalier,-20,51,45,-6,28,-97,15255
707,Foongus,-21,-29,-15,-11,-22,-102,12516
708,Amoonguss,24,1,10,19,3,-87,8616
709,Frillish,-35,-44,-10,-1,8,-77,9255
710,Jellicent,10,-24,10,19,28,-57,5170
711,Alomomola,75,-9,20,-26,-32,-52,10510
712,Joltik,-40,-37,-10,-9,-27,-52,6583
713,Galvantula,-20,-7,0,31,-17,-9,1780
714,Ferroseed,-46,-34,31,-42,9,-107,17527
715,Ferrothorn,-16,10,71,-12,39,-97,16471
716,Klink,-50,-29,10,-21,-17,-87,11740
717,Klang,-30,-4,35,4,8,-67,6710
718,Klinklang,-30,16,55,4,8,-27,4990
719,Tynamo,-55,-29,-20,-21,-37,-57,9325
720,Eelektrik,-25,1,10,9,-7,-77,6785
721,Eelektross,-5,31,20,39,3,-67,7405
722,Elgyem,-35,-29,-5,19,-22,-87,10505
723,Beheeyem,-15,-9,15,59,18,-77,10265
724,Litwick,-40,-54,-5,-1,-22,-97,14435
725,Lampent,-30,-44,0,29,-17,-62,7810
726,Chandelure,-30,-29,30,79,13,-37,10420
727,Axew,-44,3,0,-36,-37,-60,8210
728,Fraxure,-24,33,10,-26,-27,-50,5670
729,Haxorus,-14,63,30,-6,-7,-20,5550
730,Cubchoo,-35,-14,-20,-6,-37,-77,9155
731,Beartic,5,46,20,4,3,-67,7055
732,Cryogonal,-10,-34,-10,29,58,-12,5705
733,Shelmet,-40,-44,25,-26,-12,-92,13445
734,Accelgor,-10,-14,-20,34,-17,28,2925
735,Stunfisk,19,-18,24,15,22,-85,9195
736,Stunfisk (Galarian Stunfisk),19,-3,39,0,7,-85,9165
737,Mienfoo,-45,1,-10,-11,-27,-52,5680
738,Mienshao,-25,41,0,29,-17,-12,3580
739,Druddigon,-13,36,30,-6,13,-69,7331
740,Golett,-31,-10,-10,-31,-27,-82,9575
741,Golurk,-1,40,20,-11,3,-62,5975
742,Pawniard,-45,1,10,-26,-37,-57,7420
743,Bisharp,-25,41,40,-6,-7,-47,6200
744,Bouffalant,5,26,35,-26,18,-62,6770
745,Rufflet,-20,-1,-10,-29,-27,-57,5320
746,Braviary,10,39,15,-9,-2,-37,3300
747,Braviary (Hisuian Braviary),20,-1,10,46,-7,-52,5370
748,Vullaby,-20,-29,15,-21,-12,-57,5300
749,Mandibuzz,20,-19,45,-11,18,-37,4600
750,Heatmor,-5,13,6,39,-11,-52,4576
751,Durant,-32,25,52,-18,-29,-8,5582
752,Deino,-38,-19,-10,-21,-27,-79,9316
753,Zweilous,-18,1,10,-1,-7,-59,3956
754,Hydreigon,2,21,30,59,13,-19,5356
755,Larvesta,-35,1,-5,-16,-22,-57,5240
756,Volcarona,-5,-24,5,69,28,-17,6460
757,Cobalion,1,6,69,24,-5,-9,5480
758,Terrakion,1,45,30,6,13,-9,3212
759,Virizion,1,6,12,24,52,-9,3542
760,Tornadus (Incarnate Forme),-11,31,10,59,3,-6,4708
761,Tornadus (Therian Forme),-11,16,20,44,13,4,2898
762,Thundurus (Incarnate Forme),-11,31,10,59,3,-6,4708
763,Thundurus (Therian Forme),-11,21,10,79,3,-16,7168
764,Reshiram,10,36,40,84,43,-27,12630
765,Zekrom,10,66,60,54,23,-27,12230
766,Landorus (Incarnate Forme),-1,41,30,49,3,-16,5248
767,Landorus (Therian Forme),-1,61,30,39,3,-26,6828
768,Kyurem,35,46,30,64,13,-22,8990
769,Kyurem (Black Kyurem),35,86,40,54,13,-22,13790
770,Kyurem (White Kyurem),35,36,30,104,23,-22,15250
771,Keldeo,1,-12,30,63,13,-9,5264
772,Meloetta (Aria Forme),10,-7,17,62,51,-27,7612
773,Meloetta (Pirouette Forme),10,44,30,11,0,11,3178
774,Genesect,-19,36,35,54,18,-18,6446
775,Chespin,-34,-23,5,-18,-32,-79,9299
776,Quilladin,-29,-6,35,-10,-19,-60,6163
777,Chesnaught,-2,23,62,8,-2,-53,7254
778,Fennekin,-50,-39,-20,-4,-17,-57,7975
779,Braixen,-31,-25,-2,24,-7,-44,4151
780,Delphox,-15,-15,12,48,23,-13,3596
781,Froakie,-49,-28,-20,-4,-33,-46,6806
782,Frogadier,-36,-21,-8,17,-21,-20,2931
783,Greninja,-18,11,7,37,-6,5,1924
784,Greninja (Ash-Greninja),-18,61,7,87,-6,15,11924
785,Bunnelby,-52,-48,-22,-34,-41,-60,11929
786,Diggersby,-5,-28,17,-16,0,-39,2875
787,Fletchling,-45,-34,-17,-26,-39,-55,8692
788,Fletchinder,-28,-11,-5,-10,-25,-33,2744
789,Talonflame,-12,-3,11,8,-8,9,483
790,Scatterbug,-52,-49,-20,-39,-52,-82,16454
791,Spewpa,-45,-62,0,-39,-47,-88,17343
792,Vivillon,-10,-32,-10,24,-27,-28,3313
793,Litleo,-28,-34,-2,7,-23,-45,4547
794,Pyroar,-4,-16,12,43,-11,-11,2507
795,Flabébé,-46,-46,-21,-5,2,-75,10327
796,Floette,-36,-39,-13,9,21,-65,7733
797,Florges,-12,-19,8,46,77,-42,10378
798,Skiddo,-24,-19,-12,-4,-20,-65,5722
799,Gogoat,33,16,2,31,4,-49,4727
800,Pancham,-23,-2,2,-20,-29,-74,7254
801,Pangoro,5,40,18,3,-6,-59,5475
802,Furfrou,-15,-4,0,-1,13,-15,636
803,Espurr,-28,-36,-6,-3,-17,-49,4815
804,Meowstic,-16,-36,16,17,4,-13,2282
805,Honedge,-45,-4,40,-31,-40,-89,14123
806,Doublade,-31,26,90,-21,-28,-82,17686
807,Aegislash (Shield Forme),-30,-34,80,-16,63,-57,15930
808,Aegislash (Blade Forme),-30,56,-10,74,-27,-57,13590
809,Spritzee,-12,-32,0,-3,-12,-94,10157
810,Aromatisse,11,-12,12,33,12,-88,9386
811,Swirlix,-28,-36,6,-7,-20,-68,7189
812,Slurpuff,-8,-4,26,19,-2,-45,3146
813,Inkay,-37,-30,-7,-29,-31,-72,9304
814,Malamar,-4,8,28,2,-2,-44,2808
815,Binacle,-48,-32,7,-27,-21,-67,9036
816,Barbaracle,-18,21,55,-12,9,-49,6416
817,Skrelp,-40,-24,0,-6,-17,-87,10070
818,Dragalge,-25,-9,30,31,46,-73,10012
819,Clauncher,-40,-31,2,-8,-14,-73,8154
820,Clawitzer,-19,-11,28,54,12,-58,7690
821,Helioptile,-46,-46,-27,-5,-34,-47,8351
822,Heliolisk,-28,-29,-8,43,17,-8,3891
823,Tyrunt,-32,5,17,-21,-32,-69,7564
824,Tyrantrum,-8,37,59,3,-18,-46,7363
825,Amaura,-13,-25,-10,1,-14,-71,6132
826,Aurorus,33,-7,12,33,15,-59,6077
827,Sylveon,5,-19,5,44,53,-57,8405
828,Hawlucha,-12,8,15,8,-14,1,694
829,Dedenne,-23,-26,-3,15,-10,-16,1795
830,Carbink,-40,-34,90,-16,73,-67,20930
831,Goomy,-45,-34,-25,-11,-2,-77,9860
832,Sliggoo,-22,-9,-7,17,36,-57,5448
833,Sliggoo (Hisuian Sliggoo),-32,-9,23,17,36,-77,9148
834,Goodra,0,16,10,44,73,-37,8990
835,Goodra (Hisuian Goodra),-10,16,40,44,73,-57,12470
836,Klefki,-33,-4,31,14,10,-42,4126
837,Phantump,-47,-14,-12,-16,-17,-79,9335
838,Trevenant,-5,26,16,-1,5,-61,4704
839,Pumpkaboo (Small Size),-46,-18,10,-22,-22,-61,7229
840,Pumpkaboo (Average Size),-41,-18,10,-22,-22,-66,7429
841,Pumpkaboo (Large Size),-36,-18,10,-22,-22,-71,7729
842,Pumpkaboo (Super Size),-31,-18,10,-22,-22,-76,8129
843,Gourgeist (Small Size),-35,1,62,-8,-2,-18,5462
844,Gourgeist (Average Size),-25,6,62,-8,-2,-33,5662
845,Gourgeist (Large Size),-15,11,62,-8,-2,-48,6562
846,Gourgeist (Super Size),-5,16,62,-8,-2,-63,8162
847,Bergmite,-35,-15,25,-34,-42,-89,12916
848,Avalugg,5,33,124,-22,-31,-89,25856
849,Avalugg (Hisuian Avalugg),5,43,124,-32,-41,-79,26196
850,Noibat,-50,-54,-25,-21,-37,-62,11695
851,Noivern,-5,-14,20,31,3,6,1627
852,Xerneas,36,47,35,65,21,-18,9720
853,Yveltal,36,47,35,65,21,-18,9720
854,Zygarde (50% Forme),18,16,61,15,18,-22,5334
855,Zygarde (10% Forme),-36,16,11,-5,8,-2,1766
856,Zygarde (Complete Forme),126,16,61,25,18,-32,21826
857,Diancie,-40,16,90,34,73,-67,20930
858,Diancie (Mega Diancie),-40,76,50,94,33,-7,19850
859,Hoopa (Hoopa Confined),-10,26,0,84,53,-47,12850
860,Hoopa (Hoopa Unbound),-10,76,0,104,53,-37,20870
861,Volcanion,-10,26,60,64,13,-47,10850
862,Rowlet,-22,-29,-5,-16,-27,-75,7960
863,Dartrix,-12,-9,15,4,-7,-65,4740
864,Decidueye,-12,23,15,34,23,-47,4792
865,Decidueye (Hisuian Decidueye),-2,28,20,29,18,-57,5602
866,Litten,-45,-19,-20,-6,-37,-47,6400
867,Torracat,-25,1,-10,14,-27,-27,2380
868,Incineroar,5,31,30,14,13,-57,5500
869,Popplio,-40,-30,-6,0,-21,-77,8906
870,Brionne,-30,-15,9,25,4,-67,6336
871,Primarina,-10,-10,14,60,39,-57,8766
872,Pikipek,-55,-9,-30,-36,-47,-52,10215
873,Trumbeak,-35,1,-10,-26,-27,-42,4495
874,Toucannon,-10,36,15,9,-2,-57,4955
875,Yungoos,-42,-14,-30,-36,-47,-72,11549
876,Gumshoos,-2,26,0,-11,-17,-72,6274
877,Grubbin,-43,-22,-15,-11,-32,-71,8744
878,Charjabug,-33,-2,35,-11,-2,-81,9004
879,Vikavolt,-13,-14,30,79,-2,-74,12986
880,Crabrawler,-43,-2,-3,-24,-30,-54,6254
881,Crabominable,7,48,17,-4,-10,-74,8234
882,Oricorio,-15,-14,10,32,-7,-24,2170
883,Cutiefly,-50,-39,-20,-11,-37,-33,7000
884,Ribombee,-30,-29,0,29,-7,7,2680
885,Rockruff,-45,-19,-20,-36,-37,-57,8700
886,Lycanroc (Midday Form),-15,31,5,-11,-12,-5,1501
887,Lycanroc (Midnight Form),-5,31,15,-11,-2,-35,2561
888,Lycanroc (Dusk Form),-15,33,5,-11,-12,-7,1653
889,Wishiwashi (Solo Form),-45,-64,-40,-41,-52,-77,18035
890,Wishiwashi (School Form),-45,56,70,74,58,-87,26470
891,Mareanie,-40,-31,2,-23,-25,-72,8903
892,Toxapex,-40,-21,92,-13,65,-82,21623
893,Mudbray,-20,16,10,-21,-22,-72,6865
894,Mudsdale,10,41,40,-11,8,-82,10290
895,Dewpider,-52,-44,-8,-26,-5,-90,13505
896,Araquanid,-22,-14,32,-16,55,-75,10610
897,Fomantis,-50,-29,-25,-16,-42,-82,12710
898,Lurantis,-20,21,30,14,13,-72,7290
899,Morelull,-50,-49,-5,-1,-2,-102,15335
900,Shiinotic,-30,-39,20,24,23,-87,11495
901,Salandit,-42,-40,-20,5,-37,-40,6758
902,Salazzle,-22,-20,0,45,-17,0,3198
903,Stufful,-20,-9,-10,-21,-27,-67,6240
904,Bewear,30,41,20,-11,-17,-57,6640
905,Bounsweet,-48,-54,-22,-36,-39,-85,15746
906,Steenee,-38,-44,-12,-26,-29,-55,8066
907,Tsareena,-18,36,38,-16,21,-45,5786
908,Comfey,-39,-32,30,16,33,-17,5079
909,Oranguru,0,-24,20,24,33,-57,5890
910,Passimian,10,36,30,-26,-17,-37,4630
911,Wimpod,-65,-49,-20,-46,-47,-37,12720
912,Golisopod,-15,41,80,-6,13,-77,14440
913,Sandygast,-35,-29,20,4,-32,-102,13910
914,Palossand,-5,-9,50,34,-2,-82,10490
915,Pyukumuku,-35,-24,70,-36,53,-112,23350
916,Type: Null,5,11,35,29,18,-58,5900
917,Silvally,5,11,35,29,18,-22,3020
918,Minior (Meteor Form),-30,-24,40,-6,23,-57,6890
919,Minior (Core),-30,16,0,34,-17,3,2610
920,Komala,-25,31,5,9,18,-52,4720
921,Turtonator,-30,-6,75,25,8,-81,13811
922,Togedemaru,-25,14,3,-26,-4,-21,1963
923,Mimikyu,-35,6,20,-16,28,-21,3142
924,Bruxish,-22,21,10,4,-7,-25,1715
925,Drampa,-12,-24,25,69,14,-81,12863
926,Dhelmise,-20,47,40,20,13,-77,10707
927,Jangmo-o,-45,-29,5,-21,-32,-72,9540
928,Hakamo-o,-35,-9,30,-1,-7,-52,4960
929,Kommo-o,-15,26,65,34,28,-32,8090
930,Tapu Koko,-20,31,25,29,-2,13,3000
931,Tapu Lele,-20,1,15,64,38,-22,6650
932,Tapu Bulu,-20,46,55,19,18,-42,7990
933,Tapu Fini,-20,-9,55,29,53,-32,8180
934,Cosmog,-47,-55,-29,-37,-46,-80,15960
935,Cosmoem,-47,-55,71,-37,54,-80,20960
936,Solgaleo,47,53,47,47,12,-20,9980
937,Lunala,47,29,29,71,30,-20,10232
938,Nihilego,19,-31,-13,61,54,-14,8324
939,Buzzwole,17,55,79,-13,-24,-38,11744
940,Pheromosa,-19,53,-23,71,-40,34,11496
941,Xurkitree,-7,5,11,107,-6,-34,12836
942,Celesteela,7,17,43,41,24,-56,7580
943,Kartana,-31,97,71,-7,-46,-8,17640
944,Guzzlord,133,17,-7,31,-24,-74,25040
945,Necrozma,7,23,41,61,12,-38,7568
946,Necrozma (Dusk Mane Necrozma),7,73,67,47,32,-40,14700
947,Necrozma (Dawn Wings Necrozma),7,29,49,91,50,-40,15672
948,Necrozma (Ultra Necrozma),7,83,37,101,20,12,19052
949,Magearna,-10,11,55,64,38,-52,11490
950,Marshadow,0,41,20,24,13,8,2890
951,Poipole,-23,-11,7,7,-10,-44,2784
952,Naganadel,-17,-11,13,61,-4,4,4332
953,Stakataka,-29,47,151,-13,24,-104,37412
954,Blacephalon,-37,43,-7,85,2,-10,10596
955,Zeraora,-2,28,15,36,3,26,2994
956,Meltan,-44,-19,5,-11,-42,-83,11096
957,Melmetal,45,59,83,14,-12,-83,19624
958,Grookey,-40,-19,-10,-26,-37,-52,6810
959,Thwackey,-20,1,10,-11,-17,-37,2280
960,Rillaboom,10,41,30,-6,-7,-32,3790
961,Scorbunny,-40,-13,-20,-26,-37,-48,6518
962,Raboot,-25,2,0,-11,-17,-23,1568
963,Cinderace,-10,32,15,-1,-2,2,1358
964,Sobble,-40,-44,-20,4,-37,-47,7530
965,Drizzile,-25,-24,-5,29,-22,-27,3280
966,Inteleon,-20,1,5,59,-12,3,4060
967,Skwovet,-20,-29,-5,-31,-42,-92,12455
968,Greedent,30,11,35,-11,-2,-97,11780
969,Rookidee,-52,-37,-25,-33,-42,-60,11151
970,Corvisquire,-22,-17,-5,-23,-22,-40,3411
971,Corviknight,8,3,45,-13,8,-50,4831
972,Blipbug,-65,-64,-40,-41,-32,-72,17810
973,Dottler,-40,-49,20,-16,13,-87,12395
974,Orbeetle,-30,-39,50,14,43,-27,7695
975,Nickit,-50,-56,-32,-19,-25,-67,12135
976,Thievul,-20,-26,-2,21,15,-27,2475
977,Gossifleur,-50,-44,0,-26,-17,-107,16850
978,Eldegoss,-30,-34,30,14,43,-57,8250
979,Wooloo,-48,-44,-5,-26,-32,-69,10726
980,Dubwool,-18,-4,40,-6,13,-29,2986
981,Chewtle,-40,-20,-10,-28,-39,-73,9734
982,Drednaw,0,31,30,-18,-9,-43,4115
983,Yamper,-31,-39,-10,-26,-27,-91,12268
984,Boltund,-21,6,0,24,-17,4,1358
985,Rolycoly,-60,-44,-10,-26,-27,-87,14610
986,Carkol,-10,-24,30,-6,-7,-67,6150
987,Coalossal,20,-4,60,14,13,-87,11950
988,Applin,-50,-44,20,-26,-37,-97,16290
989,Flapple,-20,26,20,29,-17,-47,4815
990,Appletun,20,1,20,34,3,-87,9535
991,Silicobra,-38,-27,15,-31,-27,-71,9129
992,Sandaconda,-18,23,65,-1,-7,-46,7244
