Matthew Werfel vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
477,Deoxys (Speed Forme),-24,-11,-7,29,-13,75,7381
478,Turtwig,-19,-38,-33,-21,-48,-74,11115
479,Grotle,1,-17,-12,-11,-38,-69,6760
480,Torterra,21,3,8,9,-18,-49,3320
481,Chimchar,-30,-48,-53,-8,-59,-44,11494
482,Monferno,-10,-28,-45,12,-51,-24,6230
483,Infernape,2,-2,-26,38,-32,3,3161
484,Piplup,-21,-55,-44,-5,-47,-65,11861
485,Prinplup,-10,-40,-29,15,-27,-55,6520
486,Empoleon,10,-20,-9,45,-2,-45,4635
487,Starly,-34,-51,-67,-36,-73,-45,16896
488,Staravia,-19,-31,-47,-26,-63,-25,8801
489,Staraptor,11,14,-27,-16,-43,-5,3176
490,Bidoof,-15,-61,-57,-31,-63,-74,17601
491,Bibarel,5,-21,-37,-11,-43,-34,4961
492,Kricketot,-37,-81,-56,-41,-62,-80,22991
493,Kricketune,3,-21,-46,-11,-52,-40,6991
494,Shinx,-29,-41,-63,-26,-69,-60,15528
495,Luxio,-14,-21,-48,-6,-54,-45,7918
496,Luxray,6,14,-18,29,-24,-35,3198
497,Budew,-34,-76,-62,-16,-33,-50,14621
498,Roserade,-14,-36,-32,59,2,-15,6226
499,Cranidos,-7,19,-57,-36,-73,-47,12493
500,Rampardos,23,59,-37,-1,-53,-47,10398
501,Shieldon,-44,-64,21,-24,-15,-75,12899
502,Bastiodon,-14,-54,71,-19,35,-75,15364
503,Burmy,-34,-77,-52,-37,-58,-69,19283
504,Wormadam (Plant Cloak),-14,-47,-12,13,2,-69,7483
505,Wormadam (Sandy Cloak),-14,-27,8,-7,-18,-69,6123
506,Wormadam (Trash Cloak),-14,-37,-2,3,-8,-69,6403
507,Mothim,-4,-12,-47,28,-53,-39,7483
508,Combee,-44,-76,-55,-36,-61,-35,16979
509,Vespiquen,-4,-26,5,14,-1,-65,5139
510,Pachirisu,-14,-61,-27,-21,-13,-10,5356
511,Buizel,-19,-41,-62,-6,-73,-20,11651
512,Floatzel,11,-1,-42,19,-53,10,5156
513,Cherubi,-29,-71,-52,-4,-50,-70,16002
514,Cherrim,-4,-46,-27,21,-25,-20,4327
515,Shellos,2,-58,-49,-9,-41,-71,12572
516,Gastrodon,37,-23,-29,26,-21,-66,8212
517,Ambipom,1,-6,-31,-6,-37,10,2503
518,Drifloon,16,-56,-63,-6,-59,-35,12103
519,Drifblim,76,-26,-53,24,-49,-25,12863
520,Buneary,-19,-40,-53,-22,-47,-20,7863
521,Lopunny,-9,-30,-13,-12,-7,0,1343
522,Lopunny (Mega Lopunny),-9,30,-3,-12,-7,30,2083
523,Mismagius,-14,-46,-37,39,2,0,5206
524,Honchkrow,26,19,-45,39,-51,-34,8340
525,Glameow,-25,-51,-55,-24,-66,-20,11583
526,Purugly,-3,-24,-33,-2,-44,7,3663
527,Chingling,-29,-76,-47,-1,-53,-60,15236
528,Stunky,-11,-43,-50,-25,-62,-31,9900
529,Skuntank,29,-13,-30,5,-42,-21,4140
530,Bronzor,-17,-82,-11,-42,-17,-82,15911
531,Bronzong,-7,-17,19,13,13,-72,6221
532,Bonsly,-24,-26,-2,-56,-58,-95,16781
533,Mime Jr.,-54,-81,-52,4,-13,-45,14391
534,Happiny,26,-101,-92,-51,-38,-75,29011
535,Chatot,2,-41,-52,26,-61,-14,8982
536,Spiritomb,-24,-14,11,26,5,-70,6494
537,Gible,-16,-36,-52,-26,-58,-63,12265
538,Gabite,-6,-16,-32,-16,-48,-23,4405
539,Garchomp,34,24,-2,14,-18,-3,2265
540,Garchomp (Mega Garchomp),34,64,18,54,-8,-13,8725
541,Munchlax,61,-21,-57,-26,-18,-100,18411
542,Riolu,-34,-36,-57,-31,-63,-45,12656
543,Lucario,-4,4,-27,49,-33,-15,4476
544,Lucario (Mega Lucario),-4,39,-9,74,-33,7,8232
545,Hippopotas,-6,-34,-19,-28,-61,-73,11387
546,Hippowdon,34,6,21,2,-31,-58,5962
547,Skorupi,-34,-56,-7,-36,-48,-40,9541
548,Drapion,-4,-16,13,-6,-28,-10,1361
549,Croagunk,-26,-45,-57,-5,-63,-55,12969
550,Toxicroak,9,0,-32,20,-38,-20,3349
551,Carnivine,0,-6,-25,24,-31,-59,5679
552,Finneon,-25,-57,-41,-17,-42,-39,9129
553,Lumineon,-5,-37,-21,3,-17,-14,2329
554,Mantyke,-29,-86,-47,-6,17,-55,13796
555,Snover,-14,-44,-47,-4,-43,-65,10431
556,Abomasnow,16,-14,-22,26,-18,-45,3961
557,Abomasnow (Mega Abomasnow),16,26,8,66,2,-75,10981
558,Weavile,-4,14,-32,-21,-18,20,2401
559,Magnezone,-4,-36,18,64,-13,-45,7926
560,Lickilicky,36,-21,-2,14,-8,-55,5026
561,Rhyperior,41,34,33,-11,-48,-65,10576
562,Tangrowth,26,-6,28,44,-53,-55,9266
563,Electivire,1,17,-30,29,-18,-10,2455
564,Magmortar,1,-11,-30,59,-8,-22,5051
565,Togekiss,11,-56,-2,54,12,-25,6946
566,Yanmega,12,-30,-11,50,-47,-10,5974
567,Leafeon,-9,4,33,-6,-38,-10,2766
568,Glaceon,-9,-46,13,64,-8,-40,8126
569,Gliscor,1,-11,28,-21,-28,-10,2231
570,Mamoswine,36,24,-17,4,-43,-25,4651
571,Porygon-Z,11,-26,-27,69,-28,-15,7296
572,Gallade,-6,19,-32,-1,12,-25,2191
573,Gallade (Mega Gallade),-6,59,-2,-1,12,5,3691
574,Probopass,-14,-51,48,9,47,-65,11616
575,Dusknoir,-29,-6,38,-1,32,-60,6946
576,Froslass,-4,-26,-27,14,-33,5,2731
577,Rotom,-24,-56,-20,29,-26,-14,5825
578,Rotom (Heat Rotom),-24,-41,10,39,4,-19,4255
579,Rotom (Wash Rotom),-24,-41,10,39,4,-19,4255
580,Rotom (Frost Rotom),-24,-41,10,39,4,-19,4255
581,Rotom (Fan Rotom),-24,-41,10,39,4,-19,4255
582,Rotom (Mow Rotom),-24,-41,10,39,4,-19,4255
583,Uxie,1,-31,33,9,27,-10,2961
584,Mesprit,6,-1,8,39,2,-25,2251
585,Azelf,1,19,-27,59,-33,10,5761
586,Dialga,26,14,23,84,-3,-15,8691
587,Dialga (Origin Forme),26,-6,23,84,17,-15,8811
588,Palkia,16,14,3,84,17,-5,7831
589,Palkia (Origin Forme),16,-6,3,84,17,15,7871
590,Heatran,17,-16,9,64,3,-28,5515
591,Regigigas,36,54,13,14,7,-5,4651
592,Giratina (Altered Forme),76,-6,23,34,17,-15,8011
593,Giratina (Origin Forme),76,14,3,54,-3,-15,9131
594,Cresselia,46,-36,23,9,27,-20,5151
595,Phione,6,-26,-17,14,-23,-25,2351
596,Manaphy,26,-6,3,34,-3,-5,1911
597,Darkrai,-4,-16,-7,69,-13,20,5651
598,Shaymin (Land Forme),26,-6,3,34,-3,-5,1911
599,Shaymin (Sky Forme),26,-3,-22,54,-28,22,5353
600,Arceus,46,14,23,54,17,15,6271
601,Victini,26,-6,3,34,-3,-5,1911
602,Snivy,-29,-61,-42,-21,-48,-42,10835
603,Servine,-14,-46,-22,-6,-28,-22,4100
604,Serperior,1,-31,-2,9,-8,8,1175
605,Tepig,-9,-43,-52,-21,-58,-60,12039
606,Pignite,16,-13,-42,4,-48,-50,7009
607,Emboar,36,17,-32,34,-38,-40,6809
608,Oshawott,-19,-51,-52,-3,-58,-60,12639
609,Dewott,1,-31,-37,17,-43,-45,6494
610,Samurott,21,-6,-12,42,-33,-35,4699
611,Samurott (Hisuian Samurott),16,2,-17,34,-38,-20,3549
612,Patrat,-29,-51,-58,-31,-64,-63,15832
613,Watchog,-14,-21,-28,-6,-34,-28,3397
614,Lillipup,-29,-46,-52,-41,-58,-50,13206
615,Herdier,-9,-26,-32,-31,-38,-45,6211
616,Stoutland,11,4,-7,-21,-13,-25,1421
617,Purrloin,-33,-56,-60,-16,-66,-39,13958
618,Liepard,-10,-18,-47,22,-53,1,5927
619,Pansage,-24,-53,-49,-13,-55,-41,10661
620,Simisage,1,-8,-34,32,-40,-4,3861
621,Pansear,-24,-53,-49,-13,-55,-41,10661
622,Simisear,1,-8,-34,32,-40,-4,3861
623,Panpour,-24,-53,-49,-13,-55,-41,10661
624,Simipour,1,-8,-34,32,-40,-4,3861
625,Munna,2,-81,-52,1,-48,-81,18135
626,Musharna,42,-51,-12,41,-8,-76,12030
627,Pidove,-24,-51,-47,-30,-73,-62,15459
628,Tranquill,-12,-29,-35,-16,-61,-40,7787
629,Unfezant,6,9,-17,-1,-48,-12,2855
630,Blitzle,-29,-46,-65,-16,-71,-29,13320
631,Zebstrika,1,-6,-34,14,-40,11,3110
632,Roggenrola,-19,-31,-12,-41,-78,-90,17331
633,Boldore,-4,-1,8,-16,-63,-85,11531
634,Gigalith,11,29,33,-6,-23,-80,9016
635,Woobat,-9,-61,-54,-11,-60,-33,11528
636,Swoobat,-7,-49,-42,11,-48,9,6720
637,Drilbur,-14,-21,-57,-36,-58,-37,9915
638,Excadrill,36,29,-37,-16,-38,-17,5495
639,Audino,29,-46,-11,-6,-17,-55,6428
640,Audino (Mega Audino),29,-46,29,14,23,-55,7548
641,Timburr,1,-26,-42,-41,-68,-70,13646
642,Gurdurr,11,-1,-12,-26,-53,-65,7976
643,Conkeldurr,31,34,-2,-11,-38,-60,7286
644,Tympole,-24,-56,-57,-16,-63,-41,12867
645,Palpitoad,1,-41,-42,-1,-48,-36,7047
646,Seismitoad,31,-11,-22,19,-28,-31,3672
647,Throh,46,-6,-12,-36,-18,-60,7516
648,Sawk,1,19,-22,-36,-28,-20,3326
649,Sewaddle,-29,-53,-27,-26,-43,-63,10873
650,Swadloon,-19,-43,-7,-16,-23,-63,7013
651,Leavanny,1,-3,-17,4,-23,-13,1013
652,Venipede,-44,-61,-38,-36,-64,-48,14797
653,Whirlipede,-34,-51,2,-26,-24,-58,8377
654,Scolipede,-14,-6,-8,-11,-34,7,1622
655,Cottonee,-34,-79,-37,-29,-53,-39,13937
656,Whimsicott,-14,-39,-12,11,-28,11,2887
657,Petilil,-29,-71,-47,4,-53,-75,16541
658,Lilligant,-4,-46,-22,44,-28,-15,5561
659,Lilligant (Hisuian Lilligant),-4,-1,-22,-16,-28,0,1541
660,Basculin,-4,-14,-32,14,-48,-7,3785
661,Sandile,-24,-34,-62,-31,-68,-40,12761
662,Krokorok,-14,-24,-52,-21,-58,-31,8242
663,Krookodile,21,11,-17,-1,-33,-13,2110
664,Darumaka,-4,-16,-52,-51,-58,-55,11966
665,Darumaka (Galarian Darumaka),-4,-16,-52,-51,-58,-55,11966
666,Darmanitan (Standard Mode),31,34,-42,-36,-48,-10,7581
667,Darmanitan (Zen Mode),31,-76,8,74,2,-50,14781
668,Darmanitan (Galarian Standard Mode),31,34,-42,-36,-48,-10,7581
669,Darmanitan (Galarian Zen Mode),31,54,-42,-36,-48,30,10141
670,Maractus,1,-20,-30,40,-36,-45,6222
671,Dwebble,-24,-41,-12,-31,-68,-50,10486
672,Crustle,-4,-1,28,-1,-28,-60,5186
673,Scraggy,-24,-31,-27,-31,-33,-57,7565
674,Scrafty,-9,-16,18,-21,12,-47,3455
675,Sigilyph,-2,-48,-17,37,-23,-8,4559
676,Yamask,-36,-76,-12,-11,-38,-75,14406
677,Yamask (Galarian Yamask),-36,-51,-12,-36,-38,-75,12406
678,Cofagrigus,-16,-56,48,29,2,-75,12166
679,Tirtouga,-20,-28,6,-13,-58,-83,11642
680,Carracosta,0,2,36,17,-38,-73,8362
681,Archen,-19,6,-52,8,-58,-35,7754
682,Archeops,1,34,-32,46,-38,5,5766
683,Trubbish,-24,-56,-35,-26,-41,-40,8894
684,Garbodor,6,-11,-15,-6,-21,-30,1759
685,Zorua,-34,-41,-57,14,-63,-40,11851
686,Zorua (Hisuian Zorua),-39,-46,-57,19,-63,-35,12441
687,Zoroark,-14,-1,-37,54,-43,0,6331
688,Zoroark (Hisuian Zoroark),-19,-6,-37,59,-43,5,7121
689,Minccino,-19,-56,-57,-26,-63,-30,12291
690,Cinccino,1,-11,-37,-1,-43,10,3441
691,Gothita,-29,-76,-47,-11,-38,-60,13991
692,Gothorita,-14,-61,-27,9,-18,-50,7551
693,Gothitelle,-4,-51,-2,29,7,-40,5111
694,Solosis,-29,-76,-57,39,-53,-85,21421
695,Duosion,-9,-66,-47,59,-43,-75,17601
696,Reuniclus,36,-41,-22,59,-18,-75,12891
697,Ducklett,-12,-62,-47,-22,-53,-50,11990
698,Swanna,1,-19,-34,21,-40,-7,3608
699,Vanillite,-38,-56,-47,-1,-43,-61,12360
700,Vanillish,-23,-41,-32,14,-28,-46,6330
701,Vanilluxe,-3,-11,-12,44,-8,-26,2950
702,Deerling,-14,-46,-47,-26,-53,-30,8906
703,Sawsbuck,6,-6,-27,-6,-33,-10,2026
704,Emolga,-19,-31,-37,9,-43,-2,4625
705,Karrablast,-24,-31,-52,-26,-58,-45,10306
706,Escavalier,-4,29,8,-6,2,-85,8186
707,Foongus,-5,-51,-52,-11,-48,-90,15855
708,Amoonguss,40,-21,-27,19,-23,-75,9285
709,Frillish,-19,-66,-47,-1,-18,-65,11476
710,Jellicent,26,-46,-27,19,2,-45,5911
711,Alomomola,91,-31,-17,-26,-58,-40,15171
712,Joltik,-24,-59,-47,-9,-53,-40,10756
713,Galvantula,-4,-29,-37,31,-43,3,5045
714,Ferroseed,-30,-56,-6,-42,-17,-95,15150
715,Ferrothorn,0,-12,34,-12,13,-85,8838
716,Klink,-34,-51,-27,-21,-43,-75,12401
717,Klang,-14,-26,-2,4,-18,-55,4241
718,Klinklang,-14,-6,18,4,-18,-15,1121
719,Tynamo,-39,-51,-57,-21,-63,-45,13806
720,Eelektrik,-9,-21,-27,9,-33,-65,6646
721,Eelektross,11,9,-17,39,-23,-55,5566
722,Elgyem,-19,-51,-42,19,-48,-75,13016
723,Beheeyem,1,-31,-22,59,-8,-65,9216
724,Litwick,-24,-76,-42,-1,-48,-85,17646
725,Lampent,-14,-66,-37,29,-43,-50,11111
726,Chandelure,-14,-51,-7,79,-13,-25,9881
727,Axew,-28,-19,-37,-36,-63,-48,10083
728,Fraxure,-8,11,-27,-26,-53,-38,5843
729,Haxorus,2,41,-7,-6,-33,-8,2923
730,Cubchoo,-19,-36,-57,-6,-63,-65,13136
731,Beartic,21,24,-17,4,-23,-55,4876
732,Cryogonal,6,-56,-47,29,32,0,7246
733,Shelmet,-24,-66,-12,-26,-38,-80,13596
734,Accelgor,6,-36,-57,34,-43,40,9186
735,Stunfisk,35,-40,-13,15,-4,-73,8564
736,Stunfisk (Galarian Stunfisk),35,-25,2,0,-19,-73,7544
737,Mienfoo,-29,-21,-47,-11,-53,-40,8021
738,Mienshao,-9,19,-37,29,-43,0,4501
739,Druddigon,3,14,-7,-6,-13,-57,3708
740,Golett,-15,-32,-47,-31,-53,-70,12128
741,Golurk,15,18,-17,-11,-23,-50,3988
742,Pawniard,-29,-21,-27,-26,-63,-45,8681
743,Bisharp,-9,19,3,-6,-33,-35,2801
744,Bouffalant,21,4,-2,-26,-8,-50,3701
745,Rufflet,-4,-23,-47,-29,-53,-45,8429
746,Braviary,26,17,-22,-9,-28,-25,2939
747,Braviary (Hisuian Braviary),36,-23,-27,46,-33,-40,7359
748,Vullaby,-4,-51,-22,-21,-38,-45,7011
749,Mandibuzz,36,-41,8,-11,-8,-25,3851
750,Heatmor,11,-9,-31,39,-37,-40,5653
751,Durant,-16,3,15,-18,-55,4,3855
752,Deino,-22,-41,-47,-21,-53,-67,12113
753,Zweilous,-2,-21,-27,-1,-33,-47,4473
754,Hydreigon,18,-1,-7,59,-13,-7,4073
755,Larvesta,-19,-21,-42,-16,-48,-45,7151
756,Volcarona,11,-46,-32,69,2,-5,8051
757,Cobalion,17,-16,32,24,-31,3,3115
758,Terrakion,17,23,-7,6,-13,3,1081
759,Virizion,17,-16,-25,24,26,3,2431
760,Tornadus (Incarnate Forme),5,9,-27,59,-23,6,4881
761,Tornadus (Therian Forme),5,-6,-17,44,-13,16,2711
762,Thundurus (Incarnate Forme),5,9,-27,59,-23,6,4881
763,Thundurus (Therian Forme),5,-1,-27,79,-23,-4,7541
764,Reshiram,26,14,3,84,17,-15,8451
765,Zekrom,26,44,23,54,-3,-15,6291
766,Landorus (Incarnate Forme),15,19,-7,49,-23,-4,3581
767,Landorus (Therian Forme),15,39,-7,39,-23,-14,4041
768,Kyurem,51,24,-7,64,-13,-10,7591
769,Kyurem (Black Kyurem),51,64,3,54,-13,-10,9891
770,Kyurem (White Kyurem),51,14,-7,104,-3,-10,13771
771,Keldeo,17,-34,-7,63,-13,3,5641
772,Meloetta (Aria Forme),26,-29,-20,62,25,-15,6611
773,Meloetta (Pirouette Forme),26,22,-7,11,-26,23,2535
774,Genesect,-3,14,-2,54,-8,-6,3225
775,Chespin,-18,-45,-32,-18,-58,-67,11550
776,Quilladin,-13,-28,-2,-10,-45,-48,5386
777,Chesnaught,14,1,25,8,-28,-41,3351
778,Fennekin,-34,-61,-57,-4,-43,-45,12016
779,Braixen,-15,-47,-39,24,-33,-32,6644
780,Delphox,1,-37,-25,48,-3,-1,4309
781,Froakie,-33,-50,-57,-4,-59,-34,11491
782,Frogadier,-20,-43,-45,17,-47,-8,6836
783,Greninja,-2,-11,-30,37,-32,17,3707
784,Greninja (Ash-Greninja),-2,39,-30,87,-32,27,11747
785,Bunnelby,-36,-70,-59,-34,-67,-48,17626
786,Diggersby,11,-50,-20,-16,-26,-27,4682
787,Fletchling,-29,-56,-54,-26,-65,-43,13643
788,Fletchinder,-12,-33,-42,-10,-51,-21,6139
789,Talonflame,4,-25,-26,8,-34,21,2978
790,Scatterbug,-36,-71,-57,-39,-78,-70,22091
791,Spewpa,-29,-84,-37,-39,-73,-76,21892
792,Vivillon,6,-54,-47,24,-53,-16,8802
793,Litleo,-12,-56,-39,7,-49,-33,8340
794,Pyroar,12,-38,-25,43,-37,1,5432
795,Flabébé,-30,-68,-58,-5,-24,-63,13458
796,Floette,-20,-61,-50,9,-5,-53,9536
797,Florges,4,-41,-29,46,51,-30,8155
798,Skiddo,-8,-41,-49,-4,-46,-53,9087
799,Gogoat,49,-6,-35,31,-22,-37,6476
800,Pancham,-7,-24,-35,-20,-55,-62,9119
801,Pangoro,21,18,-19,3,-32,-47,4368
802,Furfrou,1,-26,-37,-1,-13,-3,2225
803,Espurr,-12,-58,-43,-3,-43,-37,8584
804,Meowstic,0,-58,-21,17,-22,-1,4579
805,Honedge,-29,-26,3,-31,-66,-77,12772
806,Doublade,-15,4,53,-21,-54,-70,11307
807,Aegislash (Shield Forme),-14,-56,43,-16,37,-45,8831
808,Aegislash (Blade Forme),-14,34,-47,74,-53,-45,13871
809,Spritzee,4,-54,-37,-3,-38,-82,12478
810,Aromatisse,27,-34,-25,33,-14,-76,9571
811,Swirlix,-12,-58,-31,-7,-46,-56,9770
812,Slurpuff,8,-26,-11,19,-28,-33,3095
813,Inkay,-21,-52,-44,-29,-57,-60,12771
814,Malamar,12,-14,-9,2,-28,-32,2233
815,Binacle,-32,-54,-30,-27,-47,-55,10803
816,Barbaracle,-2,-1,18,-12,-17,-37,2131
817,Skrelp,-24,-46,-37,-6,-43,-75,11571
818,Dragalge,-9,-31,-7,31,20,-61,6173
819,Clauncher,-24,-53,-35,-8,-40,-61,9995
820,Clawitzer,-3,-33,-9,54,-14,-46,6407
821,Helioptile,-30,-68,-64,-5,-60,-35,14470
822,Heliolisk,-12,-51,-45,43,-9,4,6716
823,Tyrunt,-16,-17,-20,-21,-58,-57,7999
824,Tyrantrum,8,15,22,3,-44,-34,3874
825,Amaura,3,-47,-47,1,-40,-59,9509
826,Aurorus,49,-29,-25,33,-11,-47,7286
827,Sylveon,21,-41,-32,44,27,-45,7836
828,Hawlucha,4,-14,-22,8,-40,13,2529
829,Dedenne,-7,-48,-40,15,-36,-4,5490
830,Carbink,-24,-56,53,-16,47,-55,12011
831,Goomy,-29,-56,-62,-11,-28,-65,12951
832,Sliggoo,-6,-31,-44,17,10,-45,5347
833,Sliggoo (Hisuian Sliggoo),-16,-31,-14,17,10,-65,6027
834,Goodra,16,-6,-27,44,47,-25,5791
835,Goodra (Hisuian Goodra),6,-6,3,44,47,-45,6251
836,Klefki,-17,-26,-6,14,-16,-30,2353
837,Phantump,-31,-36,-49,-16,-43,-67,11252
838,Trevenant,11,4,-21,-1,-21,-49,3421
839,Pumpkaboo (Small Size),-30,-40,-27,-22,-48,-49,8418
840,Pumpkaboo (Average Size),-25,-40,-27,-22,-48,-54,8658
841,Pumpkaboo (Large Size),-20,-40,-27,-22,-48,-59,8998
842,Pumpkaboo (Super Size),-15,-40,-27,-22,-48,-64,9438
843,Gourgeist (Small Size),-19,-21,25,-8,-28,-6,2311
844,Gourgeist (Average Size),-9,-16,25,-8,-28,-21,2251
845,Gourgeist (Large Size),1,-11,25,-8,-28,-36,2891
846,Gourgeist (Super Size),11,-6,25,-8,-28,-51,4231
847,Bergmite,-19,-37,-12,-34,-68,-77,13583
848,Avalugg,21,11,87,-22,-57,-77,17793
849,Avalugg (Hisuian Avalugg),21,21,87,-32,-67,-67,18453
850,Noibat,-34,-76,-62,-21,-63,-50,17686
851,Noivern,11,-36,-17,31,-23,18,3520
852,Xerneas,52,25,-2,65,-5,-6,7619
853,Yveltal,52,25,-2,65,-5,-6,7619
854,Zygarde (50% Forme),34,-6,24,15,-8,-10,2157
855,Zygarde (10% Forme),-20,-6,-26,-5,-18,10,1561
856,Zygarde (Complete Forme),142,-6,24,25,-8,-20,21865
857,Diancie,-24,-6,53,34,47,-55,9811
858,Diancie (Mega Diancie),-24,54,13,94,7,5,12571
859,Hoopa (Hoopa Confined),6,4,-37,84,27,-35,10431
860,Hoopa (Hoopa Unbound),6,54,-37,104,27,-25,16491
861,Volcanion,6,4,23,64,-13,-35,6071
862,Rowlet,-6,-51,-42,-16,-53,-63,11435
863,Dartrix,4,-31,-22,4,-33,-53,5375
864,Decidueye,4,1,-22,34,-3,-35,2891
865,Decidueye (Hisuian Decidueye),14,6,-17,29,-8,-45,3451
866,Litten,-29,-41,-57,-6,-63,-35,11001
867,Torracat,-9,-21,-47,14,-53,-15,5961
868,Incineroar,21,9,-7,14,-13,-45,2961
869,Popplio,-24,-52,-43,0,-47,-65,11563
870,Brionne,-14,-37,-28,25,-22,-55,6483
871,Primarina,6,-32,-23,60,13,-45,7383
872,Pikipek,-39,-31,-67,-36,-73,-40,15196
873,Trumbeak,-19,-21,-47,-26,-53,-30,7396
874,Toucannon,6,14,-22,9,-28,-45,3606
875,Yungoos,-26,-36,-67,-36,-73,-60,16686
876,Gumshoos,14,4,-37,-11,-43,-60,7151
877,Grubbin,-27,-44,-52,-11,-58,-59,12335
878,Charjabug,-17,-24,-2,-11,-28,-69,6535
879,Vikavolt,3,-36,-7,79,-28,-62,12223
880,Crabrawler,-27,-24,-40,-24,-56,-42,8381
881,Crabominable,23,26,-20,-4,-36,-62,6761
882,Oricorio,1,-36,-27,32,-33,-12,4283
883,Cutiefly,-34,-61,-57,-11,-63,-21,12657
884,Ribombee,-14,-51,-37,29,-33,19,6457
885,Rockruff,-29,-41,-57,-36,-63,-45,13061
886,Lycanroc (Midday Form),1,9,-32,-11,-38,7,2720
887,Lycanroc (Midnight Form),11,9,-22,-11,-28,-23,2120
888,Lycanroc (Dusk Form),1,11,-32,-11,-38,5,2736
889,Wishiwashi (Solo Form),-29,-86,-77,-41,-78,-65,26156
890,Wishiwashi (School Form),-29,34,33,74,32,-75,15211
891,Mareanie,-24,-53,-35,-23,-51,-60,11340
892,Toxapex,-24,-43,55,-13,39,-70,12040
893,Mudbray,-4,-6,-27,-21,-48,-60,7126
894,Mudsdale,26,19,3,-11,-18,-70,6391
895,Dewpider,-36,-66,-45,-26,-31,-78,15398
896,Araquanid,-6,-36,-5,-16,29,-63,6423
897,Fomantis,-34,-51,-62,-16,-68,-70,17381
898,Lurantis,-4,-1,-7,14,-13,-60,4031
899,Morelull,-34,-71,-42,-1,-28,-90,16846
900,Shiinotic,-14,-61,-17,24,-3,-75,10416
901,Salandit,-26,-62,-57,5,-63,-28,12547
902,Salazzle,-6,-42,-37,45,-43,12,7187
903,Stufful,-4,-31,-47,-21,-53,-55,9461
904,Bewear,46,19,-17,-11,-43,-45,6761
905,Bounsweet,-32,-76,-59,-36,-65,-73,21131
906,Steenee,-22,-66,-49,-26,-55,-43,12791
907,Tsareena,-2,14,1,-16,-5,-33,1571
908,Comfey,-23,-54,-7,16,7,-5,3824
909,Oranguru,16,-46,-17,24,7,-45,5311
910,Passimian,26,14,-7,-26,-43,-25,4071
911,Wimpod,-49,-71,-57,-46,-73,-25,18761
912,Golisopod,1,19,43,-6,-13,-65,6641
913,Sandygast,-19,-51,-17,4,-58,-90,14731
914,Palossand,11,-31,13,34,-28,-70,8091
915,Pyukumuku,-19,-46,33,-36,27,-100,15591
916,Type: Null,21,-11,-2,29,-8,-46,3587
917,Silvally,21,-11,-2,29,-8,-10,1571
918,Minior (Meteor Form),-14,-46,3,-6,-3,-45,4391
919,Minior (Core),-14,-6,-37,34,-43,15,4831
920,Komala,-9,9,-32,9,-8,-40,2931
921,Turtonator,-14,-28,38,25,-18,-69,8134
922,Togedemaru,-9,-8,-34,-26,-30,-9,2958
923,Mimikyu,-19,-16,-17,-16,2,-9,1247
924,Bruxish,-6,-1,-27,4,-33,-13,2040
925,Drampa,4,-46,-12,69,-12,-69,11942
926,Dhelmise,-4,25,3,20,-13,-65,5444
927,Jangmo-o,-29,-51,-32,-21,-58,-60,11871
928,Hakamo-o,-19,-31,-7,-1,-33,-40,4061
929,Kommo-o,1,4,28,34,2,-20,2361
930,Tapu Koko,-4,9,-12,29,-28,25,2491
931,Tapu Lele,-4,-21,-22,64,12,-10,5281
932,Tapu Bulu,-4,24,18,19,-8,-30,2241
933,Tapu Fini,-4,-31,18,29,27,-20,3271
934,Cosmog,-31,-77,-66,-37,-72,-68,22423
935,Cosmoem,-31,-77,34,-37,28,-68,14823
936,Solgaleo,63,31,10,47,-14,-8,7499
937,Lunala,63,7,-8,71,4,-8,9203
938,Nihilego,35,-53,-50,61,28,-2,11043
939,Buzzwole,33,33,42,-13,-50,-26,7287
940,Pheromosa,-3,31,-60,71,-66,46,16083
941,Xurkitree,9,-17,-26,107,-32,-22,14003
942,Celesteela,23,-5,6,41,-2,-44,4211
943,Kartana,-15,75,34,-7,-72,4,12255
944,Guzzlord,149,-5,-44,31,-50,-62,31467
945,Necrozma,23,1,4,61,-14,-26,5139
946,Necrozma (Dusk Mane Necrozma),23,51,30,47,6,-28,7059
947,Necrozma (Dawn Wings Necrozma),23,7,12,91,24,-28,10363
948,Necrozma (Ultra Necrozma),23,61,0,101,-6,24,15063
949,Magearna,6,-11,18,64,12,-40,6321
950,Marshadow,16,19,-17,24,-13,20,2051
951,Poipole,-7,-33,-30,7,-36,-32,4407
952,Naganadel,-1,-33,-24,61,-30,16,6543
953,Stakataka,-13,25,114,-13,-2,-92,22427
954,Blacephalon,-21,21,-44,85,-24,2,10623
955,Zeraora,14,6,-22,36,-23,38,3985
956,Meltan,-28,-41,-32,-11,-68,-71,13275
957,Melmetal,61,37,46,14,-38,-71,13887
958,Grookey,-24,-41,-47,-26,-63,-40,10711
959,Thwackey,-4,-21,-27,-11,-43,-25,3781
960,Rillaboom,26,19,-7,-6,-33,-20,2611
961,Scorbunny,-24,-35,-57,-26,-63,-36,10991
962,Raboot,-9,-20,-37,-11,-43,-11,3941
963,Cinderace,6,10,-22,-1,-28,14,1601
964,Sobble,-24,-66,-57,4,-63,-35,13391
965,Drizzile,-9,-46,-42,29,-48,-15,7331
966,Inteleon,-4,-21,-32,59,-38,15,6631
