Julie Jackson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
483,Infernape,-13,7,-14,39,-14,11,2252
484,Piplup,-36,-46,-32,-4,-29,-57,8542
485,Prinplup,-25,-31,-17,16,-9,-47,4421
486,Empoleon,-5,-11,3,46,16,-37,3896
487,Starly,-49,-42,-55,-35,-55,-37,12809
488,Staravia,-34,-22,-35,-25,-45,-17,5804
489,Staraptor,-4,23,-15,-15,-25,3,1629
490,Bidoof,-30,-52,-45,-30,-45,-66,12910
491,Bibarel,-10,-12,-25,-10,-25,-26,2270
492,Kricketot,-52,-72,-44,-40,-44,-72,18544
493,Kricketune,-12,-12,-34,-10,-34,-32,3724
494,Shinx,-44,-32,-51,-25,-51,-52,11491
495,Luxio,-29,-12,-36,-5,-36,-37,4971
496,Luxray,-9,23,-6,30,-6,-27,2311
497,Budew,-49,-67,-50,-15,-15,-42,11604
498,Roserade,-29,-27,-20,60,20,-7,6019
499,Cranidos,-22,28,-45,-35,-55,-39,9064
500,Rampardos,8,68,-25,0,-35,-39,8059
501,Shieldon,-59,-55,33,-23,3,-67,12622
502,Bastiodon,-29,-45,83,-18,53,-67,17377
503,Burmy,-49,-68,-40,-36,-40,-61,15242
504,Wormadam (Plant Cloak),-29,-38,0,14,20,-61,6602
505,Wormadam (Sandy Cloak),-29,-18,20,-6,0,-61,5322
506,Wormadam (Trash Cloak),-29,-28,10,4,10,-61,5562
507,Mothim,-19,-3,-35,29,-35,-31,4622
508,Combee,-59,-67,-43,-35,-43,-27,13622
509,Vespiquen,-19,-17,17,15,17,-57,4702
510,Pachirisu,-29,-52,-15,-20,5,-2,4199
511,Buizel,-34,-32,-50,-5,-55,-12,7874
512,Floatzel,-4,8,-30,20,-35,18,2929
513,Cherubi,-44,-62,-40,-3,-32,-62,12257
514,Cherrim,-19,-37,-15,22,-7,-12,2632
515,Shellos,-13,-49,-37,-8,-23,-63,8501
516,Gastrodon,22,-14,-17,27,-3,-58,5071
517,Ambipom,-14,3,-19,-5,-19,18,1276
518,Drifloon,1,-47,-51,-5,-41,-27,7246
519,Drifblim,61,-17,-41,25,-31,-17,7566
520,Buneary,-34,-31,-41,-21,-29,-12,5224
521,Lopunny,-24,-21,-1,-11,11,8,1324
522,Lopunny (Mega Lopunny),-24,39,9,-11,11,38,3864
523,Mismagius,-29,-37,-25,40,20,8,4899
524,Honchkrow,11,28,-33,40,-33,-26,5359
525,Glameow,-40,-42,-43,-23,-48,-12,8190
526,Purugly,-18,-15,-21,-1,-26,15,1892
527,Chingling,-44,-67,-35,0,-35,-52,11579
528,Stunky,-26,-34,-38,-24,-44,-23,6317
529,Skuntank,14,-4,-18,6,-24,-13,1317
530,Bronzor,-32,-73,1,-41,1,-74,13512
531,Bronzong,-22,-8,31,14,31,-64,6762
532,Bonsly,-39,-17,10,-55,-40,-87,14104
533,Mime Jr.,-69,-72,-40,5,5,-37,12964
534,Happiny,11,-92,-80,-50,-20,-67,22374
535,Chatot,-13,-32,-40,27,-43,-6,5407
536,Spiritomb,-39,-5,23,27,23,-62,7177
537,Gible,-31,-27,-40,-25,-40,-55,8540
538,Gabite,-21,-7,-20,-15,-30,-15,2240
539,Garchomp,19,33,10,15,0,5,1800
540,Garchomp (Mega Garchomp),19,73,30,55,10,-5,9740
541,Munchlax,46,-12,-45,-25,0,-92,13374
542,Riolu,-49,-27,-45,-30,-45,-37,9449
543,Lucario,-19,13,-15,50,-15,-7,3529
544,Lucario (Mega Lucario),-19,48,3,75,-15,15,8749
545,Hippopotas,-21,-25,-7,-27,-43,-65,7918
546,Hippowdon,19,15,33,3,-13,-50,4353
547,Skorupi,-49,-47,5,-35,-30,-32,7784
548,Drapion,-19,-7,25,-5,-10,-2,1164
549,Croagunk,-41,-36,-45,-4,-45,-47,9252
550,Toxicroak,-6,9,-20,21,-20,-12,1502
551,Carnivine,-15,3,-13,25,-13,-51,3798
552,Finneon,-40,-48,-29,-16,-24,-31,6538
553,Lumineon,-20,-28,-9,4,1,-6,1318
554,Mantyke,-44,-77,-35,-5,35,-47,12549
555,Snover,-29,-35,-35,-3,-25,-57,7174
556,Abomasnow,1,-5,-10,27,0,-37,2224
557,Abomasnow (Mega Abomasnow),1,35,20,67,20,-67,11004
558,Weavile,-19,23,-20,-20,0,28,2474
559,Magnezone,-19,-27,30,65,5,-37,7609
560,Lickilicky,21,-12,10,15,10,-47,3219
561,Rhyperior,26,43,45,-10,-30,-57,8799
562,Tangrowth,11,3,40,45,-35,-47,7189
563,Electivire,-14,26,-18,30,0,-2,2100
564,Magmortar,-14,-2,-18,60,10,-14,4420
565,Togekiss,-4,-47,10,55,30,-17,6539
566,Yanmega,-3,-21,1,51,-29,-2,3897
567,Leafeon,-24,13,45,-5,-20,-2,3199
568,Glaceon,-24,-37,25,65,10,-32,7919
569,Gliscor,-14,-2,40,-20,-10,-2,2304
570,Mamoswine,21,33,-5,5,-25,-17,2494
571,Porygon-Z,-4,-17,-15,70,-10,-7,5579
572,Gallade,-21,28,-20,0,30,-17,2814
573,Gallade (Mega Gallade),-21,68,10,0,30,13,6234
574,Probopass,-29,-42,60,10,65,-57,13779
575,Dusknoir,-44,3,50,0,50,-52,9649
576,Froslass,-19,-17,-15,15,-15,13,1494
577,Rotom,-39,-47,-8,30,-8,-6,4794
578,Rotom (Heat Rotom),-39,-32,22,40,22,-11,5234
579,Rotom (Wash Rotom),-39,-32,22,40,22,-11,5234
580,Rotom (Frost Rotom),-39,-32,22,40,22,-11,5234
581,Rotom (Fan Rotom),-39,-32,22,40,22,-11,5234
582,Rotom (Mow Rotom),-39,-32,22,40,22,-11,5234
583,Uxie,-14,-22,45,10,45,-2,4834
584,Mesprit,-9,8,20,40,20,-17,2834
585,Azelf,-14,28,-15,60,-15,18,5354
586,Dialga,11,23,35,85,15,-7,9374
587,Dialga (Origin Forme),11,3,35,85,35,-7,9854
588,Palkia,1,23,15,85,35,3,9214
589,Palkia (Origin Forme),1,3,15,85,35,23,9214
590,Heatran,2,-7,21,65,21,-20,5560
591,Regigigas,21,63,25,15,25,3,5894
592,Giratina (Altered Forme),61,3,35,35,35,-7,7454
593,Giratina (Origin Forme),61,23,15,55,15,-7,7774
594,Cresselia,31,-27,35,10,45,-12,5184
595,Phione,-9,-17,-5,15,-5,-17,934
596,Manaphy,11,3,15,35,15,3,1814
597,Darkrai,-19,-7,5,70,5,28,6144
598,Shaymin (Land Forme),11,3,15,35,15,3,1814
599,Shaymin (Sky Forme),11,6,-10,55,-10,30,4282
600,Arceus,31,23,35,55,35,23,7494
601,Victini,11,3,15,35,15,3,1814
602,Snivy,-44,-52,-30,-20,-30,-34,7996
603,Servine,-29,-37,-10,-5,-10,-14,2631
604,Serperior,-14,-22,10,10,10,16,1236
605,Tepig,-24,-34,-40,-20,-40,-52,8036
606,Pignite,1,-4,-30,5,-30,-42,3606
607,Emboar,21,26,-20,35,-20,-32,4166
608,Oshawott,-34,-42,-40,-2,-40,-52,8828
609,Dewott,-14,-22,-25,18,-25,-37,3623
610,Samurott,6,3,0,43,-15,-27,2848
611,Samurott (Hisuian Samurott),1,11,-5,35,-20,-12,1916
612,Patrat,-44,-42,-46,-30,-46,-55,11857
613,Watchog,-29,-12,-16,-5,-16,-20,1922
614,Lillipup,-44,-37,-40,-40,-40,-42,9869
615,Herdier,-24,-17,-20,-30,-20,-37,3934
616,Stoutland,-4,13,5,-20,5,-17,924
617,Purrloin,-48,-47,-48,-15,-48,-31,10307
618,Liepard,-25,-9,-35,23,-35,9,3766
619,Pansage,-39,-44,-37,-12,-37,-33,7428
620,Simisage,-14,1,-22,33,-22,4,2270
621,Pansear,-39,-44,-37,-12,-37,-33,7428
622,Simisear,-14,1,-22,33,-22,4,2270
623,Panpour,-39,-44,-37,-12,-37,-33,7428
624,Simipour,-14,1,-22,33,-22,4,2270
625,Munna,-13,-72,-40,2,-30,-73,13186
626,Musharna,27,-42,0,42,10,-68,8981
627,Pidove,-39,-42,-35,-29,-55,-54,11292
628,Tranquill,-27,-20,-23,-15,-43,-32,4756
629,Unfezant,-9,18,-5,0,-30,-4,1346
630,Blitzle,-44,-37,-53,-15,-53,-21,9589
631,Zebstrika,-14,3,-22,15,-22,19,1759
632,Roggenrola,-34,-22,0,-40,-60,-82,13564
633,Boldore,-19,8,20,-15,-45,-77,9004
634,Gigalith,-4,38,45,-5,-5,-72,8719
635,Woobat,-24,-52,-42,-10,-42,-25,7533
636,Swoobat,-22,-40,-30,12,-30,17,4317
637,Drilbur,-29,-12,-45,-35,-40,-29,6676
638,Excadrill,21,38,-25,-15,-20,-9,3216
639,Audino,14,-37,1,-5,1,-47,3801
640,Audino (Mega Audino),14,-37,41,15,41,-47,7361
641,Timburr,-14,-17,-30,-40,-50,-62,9329
642,Gurdurr,-4,8,0,-25,-35,-57,5179
643,Conkeldurr,16,43,10,-10,-20,-52,5409
644,Tympole,-39,-47,-45,-15,-45,-33,9094
645,Palpitoad,-14,-32,-30,0,-30,-28,3804
646,Seismitoad,16,-2,-10,20,-10,-23,1389
647,Throh,31,3,0,-35,0,-52,4899
648,Sawk,-14,28,-10,-35,-10,-12,2549
649,Sewaddle,-44,-44,-15,-25,-25,-55,8372
650,Swadloon,-34,-34,5,-15,-5,-55,5612
651,Leavanny,-14,6,-5,5,-5,-5,332
652,Venipede,-59,-52,-26,-35,-46,-40,11802
653,Whirlipede,-49,-42,14,-25,-6,-50,7522
654,Scolipede,-29,3,4,-10,-16,15,1447
655,Cottonee,-49,-70,-25,-28,-35,-31,10896
656,Whimsicott,-29,-30,0,12,-10,19,2346
657,Petilil,-44,-62,-35,5,-35,-67,12744
658,Lilligant,-19,-37,-10,45,-10,-7,4004
659,Lilligant (Hisuian Lilligant),-19,8,-10,-15,-10,8,914
660,Basculin,-19,-5,-20,15,-30,1,1912
661,Sandile,-39,-25,-50,-30,-50,-32,9070
662,Krokorok,-29,-15,-40,-20,-40,-23,5195
663,Krookodile,6,20,-5,0,-15,-5,711
664,Darumaka,-19,-7,-40,-50,-40,-47,8319
665,Darumaka (Galarian Darumaka),-19,-7,-40,-50,-40,-47,8319
666,Darmanitan (Standard Mode),16,43,-30,-35,-30,-2,5134
667,Darmanitan (Zen Mode),16,-67,20,75,20,-42,12934
668,Darmanitan (Galarian Standard Mode),16,43,-30,-35,-30,-2,5134
669,Darmanitan (Galarian Zen Mode),16,63,-30,-35,-30,38,8694
670,Maractus,-14,-11,-18,41,-18,-37,4015
671,Dwebble,-39,-32,0,-30,-50,-42,7709
672,Crustle,-19,8,40,0,-10,-52,4829
673,Scraggy,-39,-22,-15,-30,-15,-49,5756
674,Scrafty,-24,-7,30,-20,30,-39,4346
675,Sigilyph,-17,-39,-5,38,-5,0,3304
676,Yamask,-51,-67,0,-10,-20,-67,12079
677,Yamask (Galarian Yamask),-51,-42,0,-35,-20,-67,10479
678,Cofagrigus,-31,-47,60,30,20,-67,12559
679,Tirtouga,-35,-19,18,-12,-40,-75,9279
680,Carracosta,-15,11,48,18,-20,-65,7599
681,Archen,-34,15,-40,9,-40,-27,5391
682,Archeops,-14,43,-20,47,-20,13,5223
683,Trubbish,-39,-47,-23,-25,-23,-32,6437
684,Garbodor,-9,-2,-3,-5,-3,-22,612
685,Zorua,-49,-32,-45,15,-45,-32,8724
686,Zorua (Hisuian Zorua),-54,-37,-45,20,-45,-27,9464
687,Zoroark,-29,8,-25,55,-25,8,5244
688,Zoroark (Hisuian Zoroark),-34,3,-25,60,-25,13,6184
689,Minccino,-34,-47,-45,-25,-45,-22,8524
690,Cinccino,-14,-2,-25,0,-25,18,1774
691,Gothita,-44,-67,-35,-10,-20,-52,10854
692,Gothorita,-29,-52,-15,10,0,-42,5634
693,Gothitelle,-19,-42,10,30,25,-32,4774
694,Solosis,-44,-67,-45,40,-35,-77,17204
695,Duosion,-24,-57,-35,60,-25,-67,13764
696,Reuniclus,21,-32,-10,60,0,-67,9654
697,Ducklett,-27,-53,-35,-21,-35,-42,8193
698,Swanna,-14,-10,-22,22,-22,1,1749
699,Vanillite,-53,-47,-35,0,-25,-53,9677
700,Vanillish,-38,-32,-20,15,-10,-38,4637
701,Vanilluxe,-18,-2,0,45,10,-18,2777
702,Deerling,-29,-37,-35,-25,-35,-22,5769
703,Sawsbuck,-9,3,-15,-5,-15,-2,569
704,Emolga,-34,-22,-25,10,-25,6,3026
705,Karrablast,-39,-22,-40,-25,-40,-37,7199
706,Escavalier,-19,38,20,-5,20,-77,8559
707,Foongus,-20,-42,-40,-10,-30,-82,11488
708,Amoonguss,25,-12,-15,20,-5,-67,5908
709,Frillish,-34,-57,-35,0,0,-57,8879
710,Jellicent,11,-37,-15,20,20,-37,3884
711,Alomomola,76,-22,-5,-25,-40,-32,9534
712,Joltik,-39,-50,-35,-8,-35,-32,7559
713,Galvantula,-19,-20,-25,32,-25,11,3156
714,Ferroseed,-45,-47,6,-41,1,-87,13521
715,Ferrothorn,-15,-3,46,-11,31,-77,9361
716,Klink,-49,-42,-15,-20,-25,-67,9904
717,Klang,-29,-17,10,5,0,-47,3464
718,Klinklang,-29,3,30,5,0,-7,1824
719,Tynamo,-54,-42,-45,-20,-45,-37,10499
720,Eelektrik,-24,-12,-15,10,-15,-57,4519
721,Eelektross,-4,18,-5,40,-5,-47,4199
722,Elgyem,-34,-42,-30,20,-30,-67,9609
723,Beheeyem,-14,-22,-10,60,10,-57,7729
724,Litwick,-39,-67,-30,0,-30,-77,13739
725,Lampent,-29,-57,-25,30,-25,-42,8004
726,Chandelure,-29,-42,5,80,5,-17,9344
727,Axew,-43,-10,-25,-35,-45,-40,7424
728,Fraxure,-23,20,-15,-25,-35,-30,3904
729,Haxorus,-13,50,5,-5,-15,0,2944
730,Cubchoo,-34,-27,-45,-5,-45,-57,9209
731,Beartic,6,33,-5,5,-5,-47,3409
732,Cryogonal,-9,-47,-35,30,50,8,6979
733,Shelmet,-39,-57,0,-25,-20,-72,10979
734,Accelgor,-9,-27,-45,35,-25,48,6989
735,Stunfisk,20,-31,-1,16,14,-65,6039
736,Stunfisk (Galarian Stunfisk),20,-16,14,1,-1,-65,5079
737,Mienfoo,-44,-12,-35,-10,-35,-32,5654
738,Mienshao,-24,28,-25,30,-25,8,3574
739,Druddigon,-12,23,5,-5,5,-49,3149
740,Golett,-30,-23,-35,-30,-35,-62,8623
741,Golurk,0,27,-5,-10,-5,-42,2643
742,Pawniard,-44,-12,-15,-25,-45,-37,6324
743,Bisharp,-24,28,15,-5,-15,-27,2564
744,Bouffalant,6,13,10,-25,10,-42,2794
745,Rufflet,-19,-14,-35,-28,-35,-37,5160
746,Braviary,11,26,-10,-8,-10,-17,1350
747,Braviary (Hisuian Braviary),21,-14,-15,47,-15,-32,4320
748,Vullaby,-19,-42,-10,-20,-20,-37,4394
749,Mandibuzz,21,-32,20,-10,10,-17,2354
750,Heatmor,-4,0,-19,40,-19,-32,3362
751,Durant,-31,12,27,-17,-37,12,3636
752,Deino,-37,-32,-35,-20,-35,-59,8724
753,Zweilous,-17,-12,-15,0,-15,-39,2404
754,Hydreigon,3,8,5,60,5,1,3724
755,Larvesta,-34,-12,-30,-15,-30,-37,4694
756,Volcarona,-4,-37,-20,70,20,3,7094
757,Cobalion,2,-7,44,25,-13,11,2904
758,Terrakion,2,32,5,7,5,11,1248
759,Virizion,2,-7,-13,25,44,11,2904
760,Tornadus (Incarnate Forme),-10,18,-15,60,-5,14,4470
761,Tornadus (Therian Forme),-10,3,-5,45,5,24,2760
762,Thundurus (Incarnate Forme),-10,18,-15,60,-5,14,4470
763,Thundurus (Therian Forme),-10,8,-15,80,-5,4,6830
764,Reshiram,11,23,15,85,35,-7,9374
765,Zekrom,11,53,35,55,15,-7,7454
766,Landorus (Incarnate Forme),0,28,5,50,-5,4,3350
767,Landorus (Therian Forme),0,48,5,40,-5,-6,3990
768,Kyurem,36,33,5,65,5,-2,6664
769,Kyurem (Black Kyurem),36,73,15,55,5,-2,9904
770,Kyurem (White Kyurem),36,23,5,105,15,-2,13104
771,Keldeo,2,-25,5,64,5,11,4896
772,Meloetta (Aria Forme),11,-20,-8,63,43,-7,6452
773,Meloetta (Pirouette Forme),11,31,5,12,-8,31,2276
774,Genesect,-18,23,10,55,10,2,4082
775,Chespin,-33,-36,-20,-17,-40,-59,8155
776,Quilladin,-28,-19,10,-9,-27,-40,3655
777,Chesnaught,-1,10,37,9,-10,-33,2740
778,Fennekin,-49,-52,-45,-3,-25,-37,9133
779,Braixen,-30,-38,-27,25,-15,-24,4499
780,Delphox,-14,-28,-13,49,15,7,3824
781,Froakie,-48,-41,-45,-3,-41,-26,8376
782,Frogadier,-35,-34,-33,18,-29,0,4635
783,Greninja,-17,-2,-18,38,-14,25,2882
784,Greninja (Ash-Greninja),-17,48,-18,88,-14,35,12082
785,Bunnelby,-51,-61,-47,-33,-49,-40,13621
786,Diggersby,-4,-41,-8,-15,-8,-19,2411
787,Fletchling,-44,-47,-42,-25,-47,-35,9968
788,Fletchinder,-27,-24,-30,-9,-33,-13,3544
789,Talonflame,-11,-16,-14,9,-16,29,1751
790,Scatterbug,-51,-62,-45,-38,-60,-62,17358
791,Spewpa,-44,-75,-25,-38,-55,-68,17279
792,Vivillon,-9,-45,-35,25,-35,-8,5245
793,Litleo,-27,-47,-27,8,-31,-25,5317
794,Pyroar,-3,-29,-13,44,-19,9,3397
795,Flabébé,-45,-59,-46,-4,-6,-55,10699
796,Floette,-35,-52,-38,10,13,-45,7667
797,Florges,-11,-32,-17,47,69,-22,8888
798,Skiddo,-23,-32,-37,-3,-28,-45,5740
799,Gogoat,34,3,-23,32,-4,-29,3575
800,Pancham,-22,-15,-23,-19,-37,-54,5884
801,Pangoro,6,27,-7,4,-14,-39,2547
802,Furfrou,-14,-17,-25,0,5,5,1160
803,Espurr,-27,-49,-31,-2,-25,-29,5561
804,Meowstic,-15,-49,-9,18,-4,7,3096
805,Honedge,-44,-17,15,-30,-48,-69,10415
806,Doublade,-30,13,65,-20,-36,-62,10834
807,Aegislash (Shield Forme),-29,-47,55,-15,55,-37,10694
808,Aegislash (Blade Forme),-29,43,-35,75,-35,-37,12134
809,Spritzee,-11,-45,-25,-2,-20,-74,8651
810,Aromatisse,12,-25,-13,34,4,-68,6734
811,Swirlix,-27,-49,-19,-6,-28,-48,6615
812,Slurpuff,-7,-17,1,20,-10,-25,1464
813,Inkay,-36,-43,-32,-28,-39,-52,9178
814,Malamar,-3,-5,3,3,-10,-24,728
815,Binacle,-47,-45,-18,-26,-29,-47,8284
816,Barbaracle,-17,8,30,-11,1,-29,2216
817,Skrelp,-39,-37,-25,-5,-25,-67,8654
818,Dragalge,-24,-22,5,32,38,-53,6362
819,Clauncher,-39,-44,-23,-7,-22,-53,7328
820,Clawitzer,-18,-24,3,55,4,-38,5394
821,Helioptile,-45,-59,-52,-4,-42,-27,10719
822,Heliolisk,-27,-42,-33,44,9,12,5743
823,Tyrunt,-31,-8,-8,-20,-40,-49,5490
824,Tyrantrum,-7,24,34,4,-26,-26,3149
825,Amaura,-12,-38,-35,2,-22,-51,5902
826,Aurorus,34,-20,-13,34,7,-39,4451
827,Sylveon,6,-32,-20,45,45,-37,6879
828,Hawlucha,-11,-5,-10,9,-22,21,1252
829,Dedenne,-22,-39,-28,16,-18,4,3385
830,Carbink,-39,-47,65,-15,65,-47,14614
831,Goomy,-44,-47,-50,-10,-10,-57,10094
832,Sliggoo,-21,-22,-32,18,28,-37,4426
833,Sliggoo (Hisuian Sliggoo),-31,-22,-2,18,28,-57,5806
834,Goodra,1,3,-15,45,65,-17,6774
835,Goodra (Hisuian Goodra),-9,3,15,45,65,-37,7934
836,Klefki,-32,-17,6,15,2,-22,2062
837,Phantump,-46,-27,-37,-15,-25,-59,8545
838,Trevenant,-4,13,-9,0,-3,-41,1956
839,Pumpkaboo (Small Size),-45,-31,-15,-21,-30,-41,6233
840,Pumpkaboo (Average Size),-40,-31,-15,-21,-30,-46,6243
841,Pumpkaboo (Large Size),-35,-31,-15,-21,-30,-51,6353
842,Pumpkaboo (Super Size),-30,-31,-15,-21,-30,-56,6563
843,Gourgeist (Small Size),-34,-12,37,-7,-10,2,2822
844,Gourgeist (Average Size),-24,-7,37,-7,-10,-13,2312
845,Gourgeist (Large Size),-14,-2,37,-7,-10,-28,2502
846,Gourgeist (Super Size),-4,3,37,-7,-10,-43,3392
847,Bergmite,-34,-28,0,-33,-50,-69,10290
848,Avalugg,6,20,99,-21,-39,-69,16960
849,Avalugg (Hisuian Avalugg),6,30,99,-31,-49,-59,17580
850,Noibat,-49,-67,-50,-20,-45,-42,13579
851,Noivern,-4,-27,-5,32,-5,26,2495
852,Xerneas,37,34,10,66,13,2,7154
853,Yveltal,37,34,10,66,13,2,7154
854,Zygarde (50% Forme),19,3,36,16,10,-2,2026
855,Zygarde (10% Forme),-35,3,-14,-4,0,18,1770
856,Zygarde (Complete Forme),127,3,36,26,10,-12,18354
857,Diancie,-39,3,65,35,65,-47,13414
858,Diancie (Mega Diancie),-39,63,25,95,25,13,15934
859,Hoopa (Hoopa Confined),-9,13,-25,85,45,-27,10854
860,Hoopa (Hoopa Unbound),-9,63,-25,105,45,-17,18014
861,Volcanion,-9,13,35,65,5,-27,6454
862,Rowlet,-21,-42,-30,-15,-35,-55,7580
863,Dartrix,-11,-22,-10,5,-15,-45,2980
864,Decidueye,-11,10,-10,35,15,-27,2500
865,Decidueye (Hisuian Decidueye),-1,15,-5,30,10,-37,2620
866,Litten,-44,-32,-45,-5,-45,-27,7764
867,Torracat,-24,-12,-35,15,-35,-7,3444
868,Incineroar,6,18,5,15,5,-37,2004
869,Popplio,-39,-43,-31,1,-29,-57,8422
870,Brionne,-29,-28,-16,26,-4,-47,4782
871,Primarina,-9,-23,-11,61,31,-37,6782
872,Pikipek,-54,-22,-55,-35,-55,-32,11699
873,Trumbeak,-34,-12,-35,-25,-35,-22,4859
874,Toucannon,-9,23,-10,10,-10,-37,2279
875,Yungoos,-41,-27,-55,-35,-55,-52,12389
876,Gumshoos,-1,13,-25,-10,-25,-52,4224
877,Grubbin,-42,-35,-40,-10,-40,-51,8890
878,Charjabug,-32,-15,10,-10,-10,-61,5270
879,Vikavolt,-12,-27,5,80,-10,-54,10314
880,Crabrawler,-42,-15,-28,-23,-38,-34,5902
881,Crabominable,8,35,-8,-3,-18,-54,4602
882,Oricorio,-14,-27,-15,33,-15,-4,2480
883,Cutiefly,-49,-52,-45,-10,-45,-13,9424
884,Ribombee,-29,-42,-25,30,-15,27,5084
885,Rockruff,-44,-32,-45,-35,-45,-37,9604
886,Lycanroc (Midday Form),-14,18,-20,-10,-20,15,1645
887,Lycanroc (Midnight Form),-4,18,-10,-10,-10,-15,865
888,Lycanroc (Dusk Form),-14,20,-20,-10,-20,13,1665
889,Wishiwashi (Solo Form),-44,-77,-65,-40,-60,-57,20539
890,Wishiwashi (School Form),-44,43,45,75,50,-67,18424
891,Mareanie,-39,-44,-23,-22,-33,-52,8263
892,Toxapex,-39,-34,67,-12,57,-62,14403
893,Mudbray,-19,3,-15,-20,-30,-52,4599
894,Mudsdale,11,28,15,-10,0,-62,5074
895,Dewpider,-51,-57,-33,-25,-13,-70,12633
896,Araquanid,-21,-27,7,-15,47,-55,6678
897,Fomantis,-49,-42,-50,-15,-50,-62,13234
898,Lurantis,-19,8,5,15,5,-52,3404
899,Morelull,-49,-62,-30,0,-10,-82,13969
900,Shiinotic,-29,-52,-5,25,15,-67,8909
901,Salandit,-41,-53,-45,6,-45,-20,8976
902,Salazzle,-21,-33,-25,46,-25,20,5296
903,Stufful,-19,-22,-35,-20,-35,-47,5904
904,Bewear,31,28,-5,-10,-25,-37,3864
905,Bounsweet,-47,-67,-47,-35,-47,-65,16566
906,Steenee,-37,-57,-37,-25,-37,-35,9206
907,Tsareena,-17,23,13,-15,13,-25,2006
908,Comfey,-38,-45,5,17,25,3,4417
909,Oranguru,1,-37,-5,25,25,-37,4014
910,Passimian,11,23,5,-25,-25,-17,2214
911,Wimpod,-64,-62,-45,-45,-55,-17,15304
912,Golisopod,-14,28,55,-5,5,-57,7304
913,Sandygast,-34,-42,-5,5,-40,-82,11294
914,Palossand,-4,-22,25,35,-10,-62,6294
915,Pyukumuku,-34,-37,45,-35,45,-92,16264
916,Type: Null,6,-2,10,30,10,-38,2584
917,Silvally,6,-2,10,30,10,-2,1144
918,Minior (Meteor Form),-29,-37,15,-5,15,-37,4054
919,Minior (Core),-29,3,-25,35,-25,23,3854
920,Komala,-24,18,-20,10,10,-32,2524
921,Turtonator,-29,-19,50,26,0,-61,8099
922,Togedemaru,-24,1,-22,-25,-12,-1,1831
923,Mimikyu,-34,-7,-5,-15,20,-1,1856
924,Bruxish,-21,8,-15,5,-15,-5,1005
925,Drampa,-11,-37,0,70,6,-61,10147
926,Dhelmise,-19,34,15,21,5,-57,5457
927,Jangmo-o,-44,-42,-20,-20,-40,-52,8804
928,Hakamo-o,-34,-22,5,0,-15,-32,2914
929,Kommo-o,-14,13,40,35,20,-12,3734
930,Tapu Koko,-19,18,0,30,-10,33,2774
931,Tapu Lele,-19,-12,-10,65,30,-2,5734
932,Tapu Bulu,-19,33,30,20,10,-22,3334
933,Tapu Fini,-19,-22,30,30,45,-12,4814
934,Cosmog,-46,-68,-54,-36,-54,-60,17468
935,Cosmoem,-46,-68,46,-36,46,-60,15868
936,Solgaleo,48,40,22,48,4,0,6708
937,Lunala,48,16,4,72,22,0,8244
938,Nihilego,20,-44,-38,62,46,6,9776
939,Buzzwole,18,42,54,-12,-32,-18,6496
940,Pheromosa,-18,40,-48,72,-48,54,14632
941,Xurkitree,-6,-8,-14,108,-14,-14,12352
942,Celesteela,8,4,18,42,16,-36,3720
943,Kartana,-30,84,46,-6,-54,12,13168
944,Guzzlord,134,4,-32,32,-32,-54,23960
945,Necrozma,8,10,16,62,4,-18,4604
946,Necrozma (Dusk Mane Necrozma),8,60,42,48,24,-20,8708
947,Necrozma (Dawn Wings Necrozma),8,16,24,92,42,-20,11524
948,Necrozma (Ultra Necrozma),8,70,12,102,12,32,16680
949,Magearna,-9,-2,30,65,30,-32,7134
950,Marshadow,1,28,-5,25,5,28,2244
951,Poipole,-22,-24,-18,8,-18,-24,2348
952,Naganadel,-16,-24,-12,62,-12,24,5540
953,Stakataka,-28,34,126,-12,16,-84,25272
954,Blacephalon,-36,30,-32,86,-6,10,10752
955,Zeraora,-1,15,-10,37,-5,46,3836
956,Meltan,-43,-32,-20,-10,-50,-63,9842
957,Melmetal,46,46,58,15,-20,-63,12190
958,Grookey,-39,-32,-35,-25,-45,-32,7444
959,Thwackey,-19,-12,-15,-10,-25,-17,1744
960,Rillaboom,11,28,5,-5,-15,-12,1324
961,Scorbunny,-39,-26,-45,-25,-45,-28,7656
962,Raboot,-24,-11,-25,-10,-25,-3,2056
963,Cinderace,-9,19,-10,0,-10,22,1126
964,Sobble,-39,-57,-45,5,-45,-27,9574
965,Drizzile,-24,-37,-30,30,-30,-7,4694
966,Inteleon,-19,-12,-20,60,-20,23,5434
967,Skwovet,-19,-42,-30,-30,-50,-72,11609
968,Greedent,31,-2,10,-10,-10,-77,7194
969,Rookidee,-51,-50,-50,-32,-50,-40,12725
970,Corvisquire,-21,-30,-30,-22,-30,-20,4025
971,Corviknight,9,-10,20,-12,0,-30,1625
972,Blipbug,-64,-77,-65,-40,-40,-52,20154
973,Dottler,-39,-62,-5,-15,5,-67,10129
974,Orbeetle,-29,-52,25,15,35,-7,5669
975,Nickit,-49,-69,-57,-18,-33,-47,14033
976,Thievul,-19,-39,-27,22,7,-7,3193
977,Gossifleur,-49,-57,-25,-25,-25,-87,15094
978,Eldegoss,-29,-47,5,15,35,-37,5894
