Alex LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
491,Bibarel,21,-13,-37,-8,-19,-29,3245
492,Kricketot,-21,-73,-56,-38,-38,-75,17419
493,Kricketune,19,-13,-46,-8,-28,-35,4719
494,Shinx,-13,-33,-63,-23,-45,-55,10806
495,Luxio,2,-13,-48,-3,-30,-40,4986
496,Luxray,22,22,-18,32,0,-30,3216
497,Budew,-18,-68,-62,-13,-9,-45,11067
498,Roserade,2,-28,-32,62,26,-10,6432
499,Cranidos,9,27,-57,-33,-49,-42,9313
500,Rampardos,39,67,-37,2,-29,-42,9988
501,Shieldon,-28,-56,21,-21,9,-70,9783
502,Bastiodon,2,-46,71,-16,59,-70,15798
503,Burmy,-18,-69,-52,-34,-34,-64,14197
504,Wormadam (Plant Cloak),2,-39,-12,16,26,-64,6697
505,Wormadam (Sandy Cloak),2,-19,8,-4,6,-64,4577
506,Wormadam (Trash Cloak),2,-29,-2,6,16,-64,5237
507,Mothim,12,-4,-47,31,-29,-34,5327
508,Combee,-28,-68,-55,-33,-37,-30,11791
509,Vespiquen,12,-18,5,17,23,-60,4911
510,Pachirisu,2,-53,-27,-18,11,-5,4012
511,Buizel,-3,-33,-62,-3,-49,-15,7577
512,Floatzel,27,7,-42,22,-29,15,4092
513,Cherubi,-13,-63,-52,-1,-26,-65,11744
514,Cherrim,12,-38,-27,24,-1,-15,3119
515,Shellos,18,-50,-49,-6,-17,-66,9906
516,Gastrodon,53,-15,-29,29,3,-61,8446
517,Ambipom,17,2,-31,-3,-13,15,1657
518,Drifloon,32,-48,-63,-3,-35,-30,9431
519,Drifblim,92,-18,-53,27,-25,-20,13351
520,Buneary,-3,-32,-53,-19,-23,-15,4957
521,Lopunny,7,-22,-13,-9,17,5,1097
522,Lopunny (Mega Lopunny),7,38,-3,-9,17,35,3097
523,Mismagius,2,-38,-37,42,26,5,5282
524,Honchkrow,42,27,-45,42,-27,-29,7852
525,Glameow,-9,-43,-55,-21,-42,-15,7385
526,Purugly,13,-16,-33,1,-20,12,2059
527,Chingling,-13,-68,-47,2,-29,-55,10872
528,Stunky,5,-35,-50,-22,-38,-26,6354
529,Skuntank,45,-5,-30,8,-18,-16,3594
530,Bronzor,-1,-74,-11,-39,7,-77,13097
531,Bronzong,9,-9,19,16,37,-67,6637
532,Bonsly,-8,-18,-2,-53,-34,-90,12457
533,Mime Jr.,-38,-73,-52,7,11,-40,11247
534,Happiny,42,-93,-92,-48,-14,-70,26277
535,Chatot,18,-33,-52,29,-37,-9,6408
536,Spiritomb,-8,-6,11,29,29,-65,6128
537,Gible,0,-28,-52,-23,-34,-58,8537
538,Gabite,10,-8,-32,-13,-24,-18,2257
539,Garchomp,50,32,-2,17,6,2,3857
540,Garchomp (Mega Garchomp),50,72,18,57,16,-8,11577
541,Munchlax,77,-13,-57,-23,6,-95,18937
542,Riolu,-18,-28,-57,-28,-39,-40,8262
543,Lucario,12,12,-27,52,-9,-10,3902
544,Lucario (Mega Lucario),12,47,-9,77,-9,12,8588
545,Hippopotas,10,-26,-19,-25,-37,-68,7755
546,Hippowdon,50,14,21,5,-7,-53,6020
547,Skorupi,-18,-48,-7,-33,-24,-35,5567
548,Drapion,12,-8,13,-3,-4,-5,427
549,Croagunk,-10,-37,-57,-2,-39,-50,8743
550,Toxicroak,25,8,-32,23,-14,-15,2663
551,Carnivine,16,2,-25,27,-7,-54,4579
552,Finneon,-9,-49,-41,-14,-18,-34,5839
553,Lumineon,11,-29,-21,6,7,-9,1569
554,Mantyke,-13,-78,-47,-3,41,-50,12652
555,Snover,2,-36,-47,-1,-19,-60,7471
556,Abomasnow,32,-6,-22,29,6,-40,4021
557,Abomasnow (Mega Abomasnow),32,34,8,69,26,-70,12581
558,Weavile,12,22,-32,-18,6,25,2637
559,Magnezone,12,-28,18,67,11,-40,7462
560,Lickilicky,52,-13,-2,17,16,-50,5922
561,Rhyperior,57,42,33,-8,-24,-60,10342
562,Tangrowth,42,2,28,47,-29,-50,8102
563,Electivire,17,25,-30,32,6,-5,2899
564,Magmortar,17,-3,-30,62,16,-17,5587
565,Togekiss,27,-48,-2,57,36,-20,7982
566,Yanmega,28,-22,-11,53,-23,-5,4752
567,Leafeon,7,12,33,-3,-14,-5,1512
568,Glaceon,7,-38,13,67,16,-35,7632
569,Gliscor,17,-3,28,-18,-4,-5,1447
570,Mamoswine,52,32,-17,7,-19,-20,4827
571,Porygon-Z,27,-18,-27,72,-4,-10,7082
572,Gallade,10,27,-32,2,36,-20,3553
573,Gallade (Mega Gallade),10,67,-2,2,36,10,5993
574,Probopass,2,-43,48,12,71,-60,12942
575,Dusknoir,-13,2,38,2,56,-55,7782
576,Froslass,12,-18,-27,17,-9,10,1667
577,Rotom,-8,-48,-20,32,-2,-9,3877
578,Rotom (Heat Rotom),-8,-33,10,42,28,-14,3997
579,Rotom (Wash Rotom),-8,-33,10,42,28,-14,3997
580,Rotom (Frost Rotom),-8,-33,10,42,28,-14,3997
581,Rotom (Fan Rotom),-8,-33,10,42,28,-14,3997
582,Rotom (Mow Rotom),-8,-33,10,42,28,-14,3997
583,Uxie,17,-23,33,12,51,-5,4677
584,Mesprit,22,7,8,42,26,-20,3437
585,Azelf,17,27,-27,62,-9,15,5897
586,Dialga,42,22,23,87,21,-10,10887
587,Dialga (Origin Forme),42,2,23,87,41,-10,11647
588,Palkia,32,22,3,87,41,0,10767
589,Palkia (Origin Forme),32,2,3,87,41,20,10687
590,Heatran,33,-8,9,67,27,-23,6981
591,Regigigas,52,62,13,17,31,0,7967
592,Giratina (Altered Forme),92,2,23,37,41,-10,12147
593,Giratina (Origin Forme),92,22,3,57,21,-10,12747
594,Cresselia,62,-28,23,12,51,-15,8127
595,Phione,22,-18,-17,17,1,-20,1787
596,Manaphy,42,2,3,37,21,0,3587
597,Darkrai,12,-8,-7,72,11,25,6187
598,Shaymin (Land Forme),42,2,3,37,21,0,3587
599,Shaymin (Sky Forme),42,5,-22,57,-4,27,6267
600,Arceus,62,22,23,57,41,20,10187
601,Victini,42,2,3,37,21,0,3587
602,Snivy,-13,-53,-42,-18,-24,-37,7011
603,Servine,2,-38,-22,-3,-4,-17,2246
604,Serperior,17,-23,-2,12,16,13,1391
605,Tepig,7,-35,-52,-18,-34,-55,8483
606,Pignite,32,-5,-42,7,-24,-45,5463
607,Emboar,52,25,-32,37,-14,-35,7143
608,Oshawott,-3,-43,-52,0,-34,-55,8743
609,Dewott,17,-23,-37,20,-19,-40,4548
610,Samurott,37,2,-12,45,-9,-30,4523
611,Samurott (Hisuian Samurott),32,10,-17,37,-14,-15,3203
612,Patrat,-13,-43,-58,-28,-40,-58,11130
613,Watchog,2,-13,-28,-3,-10,-23,1595
614,Lillipup,-13,-38,-52,-38,-34,-45,8942
615,Herdier,7,-18,-32,-28,-14,-40,3977
616,Stoutland,27,12,-7,-18,11,-20,1767
617,Purrloin,-17,-48,-60,-13,-42,-34,9282
618,Liepard,6,-10,-47,25,-29,6,3847
619,Pansage,-8,-45,-49,-10,-31,-36,6847
620,Simisage,17,0,-34,35,-16,1,2927
621,Pansear,-8,-45,-49,-10,-31,-36,6847
622,Simisear,17,0,-34,35,-16,1,2927
623,Panpour,-8,-45,-49,-10,-31,-36,6847
624,Simipour,17,0,-34,35,-16,1,2927
625,Munna,18,-73,-52,4,-24,-76,14725
626,Musharna,58,-43,-12,44,16,-71,12590
627,Pidove,-8,-43,-47,-27,-49,-57,10501
628,Tranquill,4,-21,-35,-13,-37,-35,4445
629,Unfezant,22,17,-17,2,-24,-7,1691
630,Blitzle,-13,-38,-65,-13,-47,-24,8792
631,Zebstrika,17,2,-34,17,-16,16,2250
632,Roggenrola,-3,-23,-12,-38,-54,-85,12267
633,Boldore,12,7,8,-13,-39,-80,8347
634,Gigalith,27,37,33,-3,1,-75,8822
635,Woobat,7,-53,-54,-8,-36,-28,7918
636,Swoobat,9,-41,-42,14,-24,14,4494
637,Drilbur,2,-13,-57,-33,-34,-32,6691
638,Excadrill,52,37,-37,-13,-14,-12,5951
639,Audino,45,-38,-11,-3,7,-50,6148
640,Audino (Mega Audino),45,-38,29,17,47,-50,9308
641,Timburr,17,-18,-42,-38,-44,-65,9982
642,Gurdurr,27,7,-12,-23,-29,-60,5892
643,Conkeldurr,47,42,-2,-8,-14,-55,7262
644,Tympole,-8,-48,-57,-13,-39,-36,8603
645,Palpitoad,17,-33,-42,2,-24,-31,4683
646,Seismitoad,47,-3,-22,22,-4,-26,3878
647,Throh,62,2,-12,-33,6,-55,8142
648,Sawk,17,27,-22,-33,-4,-15,2832
649,Sewaddle,-13,-45,-27,-23,-19,-58,7177
650,Swadloon,-3,-35,-7,-13,1,-58,4817
651,Leavanny,17,5,-17,7,1,-8,717
652,Venipede,-28,-53,-38,-33,-40,-43,9575
653,Whirlipede,-18,-43,2,-23,0,-53,5515
654,Scolipede,2,2,-8,-8,-10,12,380
655,Cottonee,-18,-71,-37,-26,-29,-34,9407
656,Whimsicott,2,-31,-12,14,-4,16,1577
657,Petilil,-13,-63,-47,7,-29,-70,12137
658,Lilligant,12,-38,-22,47,-4,-10,4397
659,Lilligant (Hisuian Lilligant),12,7,-22,-13,-4,5,887
660,Basculin,12,-6,-32,17,-24,-2,2073
661,Sandile,-8,-26,-62,-28,-44,-35,8529
662,Krokorok,2,-16,-52,-18,-34,-26,5120
663,Krookodile,37,19,-17,2,-9,-8,2168
664,Darumaka,12,-8,-52,-48,-34,-50,8872
665,Darumaka (Galarian Darumaka),12,-8,-52,-48,-34,-50,8872
666,Darmanitan (Standard Mode),47,42,-42,-33,-24,-5,7427
667,Darmanitan (Zen Mode),47,-68,8,77,26,-45,15527
668,Darmanitan (Galarian Standard Mode),47,42,-42,-33,-24,-5,7427
669,Darmanitan (Galarian Zen Mode),47,62,-42,-33,-24,35,10707
670,Maractus,17,-12,-30,43,-12,-40,4926
671,Dwebble,-8,-33,-12,-28,-44,-45,6042
672,Crustle,12,7,28,2,-4,-55,4022
673,Scraggy,-8,-23,-27,-28,-9,-52,4891
674,Scrafty,7,-8,18,-18,36,-42,3821
675,Sigilyph,14,-40,-17,40,1,-3,3695
676,Yamask,-20,-68,-12,-8,-14,-70,10328
677,Yamask (Galarian Yamask),-20,-43,-12,-33,-14,-70,8578
678,Cofagrigus,0,-48,48,32,26,-70,11208
679,Tirtouga,-4,-20,6,-10,-34,-78,7792
680,Carracosta,16,10,36,20,-14,-68,6872
681,Archen,-3,14,-52,11,-34,-30,5086
682,Archeops,17,42,-32,49,-14,10,5774
683,Trubbish,-8,-48,-35,-23,-17,-35,5636
684,Garbodor,22,-3,-15,-3,3,-25,1361
685,Zorua,-18,-33,-57,17,-39,-35,7697
686,Zorua (Hisuian Zorua),-23,-38,-57,22,-39,-30,8127
687,Zoroark,2,7,-37,57,-19,5,5057
688,Zoroark (Hisuian Zoroark),-3,2,-37,62,-19,10,5687
689,Minccino,-3,-48,-57,-23,-39,-25,8237
690,Cinccino,17,-3,-37,2,-19,15,2257
691,Gothita,-13,-68,-47,-8,-14,-55,10287
692,Gothorita,2,-53,-27,12,6,-45,5747
693,Gothitelle,12,-43,-2,32,31,-35,5207
694,Solosis,-13,-68,-57,42,-29,-80,17047
695,Duosion,7,-58,-47,62,-19,-70,14727
696,Reuniclus,52,-33,-22,62,6,-70,13057
697,Ducklett,4,-54,-47,-19,-29,-45,8368
698,Swanna,17,-11,-34,24,-16,-2,2402
699,Vanillite,-22,-48,-47,2,-19,-56,8498
700,Vanillish,-7,-33,-32,17,-4,-41,4148
701,Vanilluxe,13,-3,-12,47,16,-21,3228
702,Deerling,2,-38,-47,-23,-29,-25,5652
703,Sawsbuck,22,2,-27,-3,-9,-5,1332
704,Emolga,-3,-23,-37,12,-19,3,2421
705,Karrablast,-8,-23,-52,-23,-34,-40,6582
706,Escavalier,12,37,8,-3,26,-80,8662
707,Foongus,11,-43,-52,-8,-24,-85,12539
708,Amoonguss,56,-13,-27,22,1,-70,9419
709,Frillish,-3,-58,-47,2,6,-60,9222
710,Jellicent,42,-38,-27,22,26,-40,6697
711,Alomomola,107,-23,-17,-23,-34,-35,15177
712,Joltik,-8,-51,-47,-6,-29,-35,6976
713,Galvantula,12,-21,-37,34,-19,8,3535
714,Ferroseed,-14,-48,-6,-39,7,-90,12206
715,Ferrothorn,16,-4,34,-9,37,-80,9278
716,Klink,-18,-43,-27,-18,-19,-70,8487
717,Klang,2,-18,-2,7,6,-50,2917
718,Klinklang,2,2,18,7,6,-10,517
719,Tynamo,-23,-43,-57,-18,-39,-40,9072
720,Eelektrik,7,-13,-27,12,-9,-60,4772
721,Eelektross,27,17,-17,42,1,-50,5572
722,Elgyem,-3,-43,-42,22,-24,-70,9582
723,Beheeyem,17,-23,-22,62,16,-60,9002
724,Litwick,-8,-68,-42,2,-24,-80,13432
725,Lampent,2,-58,-37,32,-19,-45,8147
726,Chandelure,2,-43,-7,82,11,-20,9147
727,Axew,-12,-11,-37,-33,-39,-43,6093
728,Fraxure,8,19,-27,-23,-29,-33,3613
729,Haxorus,18,49,-7,-3,-9,-3,2873
730,Cubchoo,-3,-28,-57,-3,-39,-60,9172
731,Beartic,37,32,-17,7,1,-50,5232
732,Cryogonal,22,-48,-47,32,56,5,9182
733,Shelmet,-8,-58,-12,-23,-14,-75,9922
734,Accelgor,22,-28,-57,37,-19,45,8272
735,Stunfisk,51,-32,-13,18,20,-68,9142
736,Stunfisk (Galarian Stunfisk),51,-17,2,3,5,-68,7552
737,Mienfoo,-13,-13,-47,-8,-29,-35,4677
738,Mienshao,7,27,-37,32,-19,5,3557
739,Druddigon,19,22,-7,-3,11,-52,3728
740,Golett,1,-24,-47,-28,-29,-65,8636
741,Golurk,31,26,-17,-8,1,-45,4016
742,Pawniard,-13,-13,-27,-23,-39,-40,4717
743,Bisharp,7,27,3,-3,-9,-30,1777
744,Bouffalant,37,12,-2,-23,16,-45,4327
745,Rufflet,12,-15,-47,-26,-29,-40,5695
746,Braviary,42,25,-22,-6,-4,-20,3325
747,Braviary (Hisuian Braviary),52,-15,-27,49,-9,-35,7365
748,Vullaby,12,-43,-22,-18,-14,-40,4597
749,Mandibuzz,52,-33,8,-8,16,-20,4577
750,Heatmor,27,-1,-31,42,-13,-35,4849
751,Durant,0,11,15,-15,-31,9,1613
752,Deino,-6,-33,-47,-18,-29,-62,8343
753,Zweilous,14,-13,-27,2,-9,-42,2943
754,Hydreigon,34,7,-7,62,11,-2,5223
755,Larvesta,-3,-13,-42,-13,-24,-40,4287
756,Volcarona,27,-38,-32,72,26,0,9057
757,Cobalion,33,-8,32,27,-7,8,3019
758,Terrakion,33,31,-7,9,11,8,2365
759,Virizion,33,-8,-25,27,50,8,5071
760,Tornadus (Incarnate Forme),21,17,-27,62,1,11,5425
761,Tornadus (Therian Forme),21,2,-17,47,11,21,3505
762,Thundurus (Incarnate Forme),21,17,-27,62,1,11,5425
763,Thundurus (Therian Forme),21,7,-27,82,1,1,7945
764,Reshiram,42,22,3,87,41,-10,11607
765,Zekrom,42,52,23,57,21,-10,8787
766,Landorus (Incarnate Forme),31,27,-7,52,1,1,4445
767,Landorus (Therian Forme),31,47,-7,42,1,-9,5065
768,Kyurem,67,32,-7,67,11,-5,10197
769,Kyurem (Black Kyurem),67,72,3,57,11,-5,13077
770,Kyurem (White Kyurem),67,22,-7,107,21,-5,16937
771,Keldeo,33,-26,-7,66,11,8,6355
772,Meloetta (Aria Forme),42,-21,-20,65,49,-10,9331
773,Meloetta (Pirouette Forme),42,30,-7,14,-2,28,3697
774,Genesect,13,22,-2,57,16,-1,4163
775,Chespin,-2,-37,-32,-15,-34,-62,7622
776,Quilladin,3,-20,-2,-7,-21,-43,2752
777,Chesnaught,30,9,25,11,-4,-36,3039
778,Fennekin,-18,-53,-57,-1,-19,-40,8344
779,Braixen,1,-39,-39,27,-9,-27,4582
780,Delphox,17,-29,-25,51,21,4,4813
781,Froakie,-17,-42,-57,-1,-35,-29,7369
782,Frogadier,-4,-35,-45,20,-23,-3,4204
783,Greninja,14,-3,-30,40,-8,22,3253
784,Greninja (Ash-Greninja),14,47,-30,90,-8,32,12493
785,Bunnelby,-20,-62,-59,-31,-43,-43,12384
786,Diggersby,27,-42,-20,-13,-2,-22,3550
787,Fletchling,-13,-48,-54,-23,-41,-38,9043
788,Fletchinder,4,-25,-42,-7,-27,-16,3439
789,Talonflame,20,-17,-26,11,-10,26,2262
790,Scatterbug,-20,-63,-57,-36,-54,-65,16055
791,Spewpa,-13,-76,-37,-36,-49,-71,16052
792,Vivillon,22,-46,-47,27,-29,-11,6500
793,Litleo,4,-48,-39,10,-25,-28,5350
794,Pyroar,28,-30,-25,46,-13,6,4630
795,Flabébé,-14,-60,-58,-2,0,-58,10528
796,Floette,-4,-53,-50,12,19,-48,8134
797,Florges,20,-33,-29,49,75,-25,10981
798,Skiddo,8,-33,-49,-1,-22,-48,6343
799,Gogoat,65,2,-35,34,2,-32,7638
800,Pancham,9,-16,-35,-17,-31,-57,6061
801,Pangoro,37,26,-19,6,-8,-42,4270
802,Furfrou,17,-18,-37,2,11,2,2111
803,Espurr,4,-50,-43,0,-19,-32,5750
804,Meowstic,16,-50,-21,20,2,4,3617
805,Honedge,-13,-18,3,-28,-42,-72,8234
806,Doublade,1,12,53,-18,-30,-65,8403
807,Aegislash (Shield Forme),2,-48,43,-13,61,-40,9647
808,Aegislash (Blade Forme),2,42,-47,77,-29,-40,12347
809,Spritzee,20,-46,-37,0,-14,-77,10010
810,Aromatisse,43,-26,-25,36,10,-71,9587
811,Swirlix,4,-50,-31,-4,-22,-51,6578
812,Slurpuff,24,-18,-11,22,-4,-28,2305
813,Inkay,-5,-44,-44,-26,-33,-55,8687
814,Malamar,28,-6,-9,5,-4,-27,1671
815,Binacle,-16,-46,-30,-24,-23,-50,6877
816,Barbaracle,14,7,18,-9,7,-32,1723
817,Skrelp,-8,-38,-37,-3,-19,-70,8147
818,Dragalge,7,-23,-7,34,44,-56,6855
819,Clauncher,-8,-45,-35,-5,-16,-56,6731
820,Clawitzer,13,-25,-9,57,10,-41,5905
821,Helioptile,-14,-60,-64,-2,-36,-30,10092
822,Heliolisk,4,-43,-45,46,15,9,6312
823,Tyrunt,0,-9,-20,-18,-34,-52,4665
824,Tyrantrum,24,23,22,6,-20,-29,2866
825,Amaura,19,-39,-47,4,-16,-54,7279
826,Aurorus,65,-21,-25,36,13,-42,8520
827,Sylveon,37,-33,-32,47,51,-40,9892
828,Hawlucha,20,-6,-22,11,-16,18,1621
829,Dedenne,9,-40,-40,18,-12,1,3750
830,Carbink,-8,-48,53,-13,71,-50,12887
831,Goomy,-13,-48,-62,-8,-4,-60,9997
832,Sliggoo,10,-23,-44,20,34,-40,5721
833,Sliggoo (Hisuian Sliggoo),0,-23,-14,20,34,-60,5881
834,Goodra,32,2,-27,47,71,-20,9407
835,Goodra (Hisuian Goodra),22,2,3,47,71,-40,9347
836,Klefki,-1,-18,-6,17,8,-25,1339
837,Phantump,-15,-28,-49,-13,-19,-62,7784
838,Trevenant,27,12,-21,2,3,-44,3263
839,Pumpkaboo (Small Size),-14,-32,-27,-19,-24,-44,4822
840,Pumpkaboo (Average Size),-9,-32,-27,-19,-24,-49,5172
841,Pumpkaboo (Large Size),-4,-32,-27,-19,-24,-54,5622
842,Pumpkaboo (Super Size),1,-32,-27,-19,-24,-59,6172
843,Gourgeist (Small Size),-3,-13,25,-5,-4,-1,845
844,Gourgeist (Average Size),7,-8,25,-5,-4,-16,1035
845,Gourgeist (Large Size),17,-3,25,-5,-4,-31,1925
846,Gourgeist (Super Size),27,2,25,-5,-4,-46,3515
847,Bergmite,-3,-29,-12,-31,-44,-72,9075
848,Avalugg,37,19,87,-19,-33,-72,15933
849,Avalugg (Hisuian Avalugg),37,29,87,-29,-43,-62,16313
850,Noibat,-18,-68,-62,-18,-39,-45,12662
851,Noivern,27,-28,-17,34,1,23,3488
852,Xerneas,68,33,-2,68,19,-1,10703
853,Yveltal,68,33,-2,68,19,-1,10703
854,Zygarde (50% Forme),50,2,24,18,16,-5,3685
855,Zygarde (10% Forme),-4,2,-26,-2,6,15,961
856,Zygarde (Complete Forme),158,2,24,28,16,-15,26809
857,Diancie,-8,2,53,37,71,-50,11787
858,Diancie (Mega Diancie),-8,62,13,97,31,10,14547
859,Hoopa (Hoopa Confined),22,12,-37,87,51,-30,13067
860,Hoopa (Hoopa Unbound),22,62,-37,107,51,-20,20147
861,Volcanion,22,12,23,67,11,-30,6667
862,Rowlet,10,-43,-42,-13,-29,-58,8087
863,Dartrix,20,-23,-22,7,-9,-48,3847
864,Decidueye,20,9,-22,37,21,-30,3675
865,Decidueye (Hisuian Decidueye),30,14,-17,32,16,-40,4265
866,Litten,-13,-33,-57,-3,-39,-30,6937
867,Torracat,7,-13,-47,17,-29,-10,3657
868,Incineroar,37,17,-7,17,11,-40,3717
869,Popplio,-8,-44,-43,3,-23,-60,7987
870,Brionne,2,-29,-28,28,2,-50,4917
871,Primarina,22,-24,-23,63,37,-40,8527
872,Pikipek,-23,-23,-67,-33,-49,-35,10262
873,Trumbeak,-3,-13,-47,-23,-29,-25,4382
874,Toucannon,22,22,-22,12,-4,-40,3212
875,Yungoos,-10,-28,-67,-33,-49,-55,11888
876,Gumshoos,30,12,-37,-8,-19,-55,5863
877,Grubbin,-11,-36,-52,-8,-34,-54,8257
878,Charjabug,-1,-16,-2,-8,-4,-64,4437
879,Vikavolt,19,-28,-7,82,-4,-57,11183
880,Crabrawler,-11,-16,-40,-21,-32,-37,4811
881,Crabominable,39,34,-20,-1,-12,-57,6471
882,Oricorio,17,-28,-27,35,-9,-7,3157
883,Cutiefly,-18,-53,-57,-8,-39,-16,8223
884,Ribombee,2,-43,-37,32,-9,24,4903
885,Rockruff,-13,-33,-57,-33,-39,-40,8717
886,Lycanroc (Midday Form),17,17,-32,-8,-14,12,2006
887,Lycanroc (Midnight Form),27,17,-22,-8,-4,-18,1906
888,Lycanroc (Dusk Form),17,19,-32,-8,-14,10,2034
889,Wishiwashi (Solo Form),-13,-78,-77,-38,-54,-60,20142
890,Wishiwashi (School Form),-13,42,33,77,56,-70,16987
891,Mareanie,-8,-45,-35,-20,-27,-55,7468
892,Toxapex,-8,-35,55,-10,63,-65,12608
893,Mudbray,12,2,-27,-18,-24,-55,4802
894,Mudsdale,42,27,3,-8,6,-65,6827
895,Dewpider,-20,-58,-45,-23,-7,-73,11696
896,Araquanid,10,-28,-5,-13,53,-58,7251
897,Fomantis,-18,-43,-62,-13,-44,-65,12347
898,Lurantis,12,7,-7,17,11,-55,3677
899,Morelull,-18,-63,-42,2,-4,-85,13302
900,Shiinotic,2,-53,-17,27,21,-70,9172
901,Salandit,-10,-54,-57,8,-39,-23,8379
902,Salazzle,10,-34,-37,48,-19,17,5579
903,Stufful,12,-23,-47,-18,-29,-50,6547
904,Bewear,62,27,-17,-8,-19,-40,6887
905,Bounsweet,-16,-68,-59,-33,-41,-68,15755
906,Steenee,-6,-58,-49,-23,-31,-38,8735
907,Tsareena,14,22,1,-13,19,-28,1995
908,Comfey,-7,-46,-7,19,31,0,3536
909,Oranguru,32,-38,-17,27,31,-40,6047
910,Passimian,42,22,-7,-23,-19,-20,3587
911,Wimpod,-33,-63,-57,-43,-49,-20,12957
912,Golisopod,17,27,43,-3,11,-60,6597
913,Sandygast,-3,-43,-17,7,-34,-85,10577
914,Palossand,27,-23,13,37,-4,-65,7037
915,Pyukumuku,-3,-38,33,-33,51,-95,15257
916,Type: Null,37,-3,-2,32,16,-41,4343
917,Silvally,37,-3,-2,32,16,-5,2687
918,Minior (Meteor Form),2,-38,3,-3,21,-40,3507
919,Minior (Core),2,2,-37,37,-19,20,3507
920,Komala,7,17,-32,12,16,-35,2987
921,Turtonator,2,-20,38,28,6,-64,6764
922,Togedemaru,7,0,-34,-23,-6,-4,1786
923,Mimikyu,-3,-8,-17,-13,26,-4,1223
924,Bruxish,10,7,-27,7,-9,-8,1072
925,Drampa,20,-38,-12,72,12,-64,11412
926,Dhelmise,12,33,3,23,11,-60,5492
927,Jangmo-o,-13,-43,-32,-18,-34,-55,7547
928,Hakamo-o,-3,-23,-7,2,-9,-35,1897
929,Kommo-o,17,12,28,37,26,-15,3487
930,Tapu Koko,12,17,-12,32,-4,30,2517
931,Tapu Lele,12,-13,-22,67,36,-5,6607
932,Tapu Bulu,12,32,18,22,16,-25,2857
933,Tapu Fini,12,-23,18,32,51,-15,4847
934,Cosmog,-15,-69,-66,-34,-48,-63,16771
935,Cosmoem,-15,-69,34,-34,52,-63,13971
936,Solgaleo,79,39,10,50,10,-3,10471
937,Lunala,79,15,-8,74,28,-3,12799
938,Nihilego,51,-45,-50,64,52,3,13935
939,Buzzwole,49,41,42,-10,-26,-21,7063
940,Pheromosa,13,39,-60,74,-42,51,15131
941,Xurkitree,25,-9,-26,110,-8,-17,13835
942,Celesteela,39,3,6,44,22,-39,5507
943,Kartana,1,83,34,-4,-48,9,10447
944,Guzzlord,165,3,-44,34,-26,-57,34251
945,Necrozma,39,9,4,64,10,-21,6255
946,Necrozma (Dusk Mane Necrozma),39,59,30,50,30,-23,9831
947,Necrozma (Dawn Wings Necrozma),39,15,12,94,48,-23,13559
948,Necrozma (Ultra Necrozma),39,69,0,104,18,29,18263
949,Magearna,22,-3,18,67,36,-35,7827
950,Marshadow,32,27,-17,27,11,25,3517
951,Poipole,9,-25,-30,10,-12,-27,2579
952,Naganadel,15,-25,-24,64,-6,21,5999
953,Stakataka,3,33,114,-10,22,-87,22247
954,Blacephalon,-5,29,-44,88,0,7,10595
955,Zeraora,30,14,-22,39,1,43,4951
956,Meltan,-12,-33,-32,-8,-44,-66,8613
957,Melmetal,77,45,46,17,-14,-66,14911
958,Grookey,-8,-33,-47,-23,-39,-35,6637
959,Thwackey,12,-13,-27,-8,-19,-20,1867
960,Rillaboom,42,27,-7,-3,-9,-15,2857
961,Scorbunny,-8,-27,-57,-23,-39,-31,7053
962,Raboot,7,-12,-37,-8,-19,-6,2023
963,Cinderace,22,18,-22,2,-4,19,1673
964,Sobble,-8,-58,-57,7,-39,-30,9147
965,Drizzile,7,-38,-42,32,-24,-10,4957
966,Inteleon,12,-13,-32,62,-14,20,5777
967,Skwovet,12,-43,-42,-28,-44,-75,12102
968,Greedent,62,-3,-2,-8,-4,-80,10337
969,Rookidee,-20,-51,-62,-30,-44,-43,11530
970,Corvisquire,10,-31,-42,-20,-24,-23,4330
971,Corviknight,40,-11,8,-10,6,-33,3010
972,Blipbug,-33,-78,-77,-38,-34,-55,18727
973,Dottler,-8,-63,-17,-13,11,-70,9512
974,Orbeetle,2,-53,13,17,41,-10,5052
975,Nickit,-18,-70,-69,-16,-27,-50,13470
976,Thievul,12,-40,-39,24,13,-10,4110
977,Gossifleur,-18,-58,-37,-23,-19,-90,14047
978,Eldegoss,2,-48,-7,17,41,-40,5927
979,Wooloo,-16,-58,-42,-23,-34,-52,9773
980,Dubwool,14,-18,3,-3,11,-12,803
981,Chewtle,-8,-34,-47,-25,-41,-56,8871
982,Drednaw,32,17,-7,-15,-11,-26,2384
983,Yamper,1,-53,-47,-23,-29,-74,11865
984,Boltund,11,-8,-37,27,-19,21,3085
985,Rolycoly,-28,-58,-47,-23,-29,-70,12627
986,Carkol,22,-38,-7,-3,-9,-50,4567
987,Coalossal,52,-18,23,17,11,-70,8867
988,Applin,-18,-58,-17,-23,-39,-80,12427
989,Flapple,12,12,-17,32,-19,-30,2862
990,Appletun,52,-13,-17,37,1,-70,9432
991,Silicobra,-6,-41,-22,-28,-29,-54,6742
992,Sandaconda,14,9,28,2,-9,-29,1987
993,Cramorant,12,-13,-42,22,16,-15,3042
