Rasmi Tangirala vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
482,Monferno,-20,-19,-45,16,-27,-20,4171
483,Infernape,-8,7,-26,42,-8,7,2666
484,Piplup,-31,-46,-44,-1,-23,-61,9264
485,Prinplup,-20,-31,-29,19,-3,-51,5173
486,Empoleon,0,-11,-9,49,22,-41,4768
487,Starly,-44,-42,-67,-32,-49,-41,13295
488,Staravia,-29,-22,-47,-22,-39,-21,5980
489,Staraptor,1,23,-27,-12,-19,-1,1765
490,Bidoof,-25,-52,-57,-27,-39,-70,13728
491,Bibarel,-5,-12,-37,-7,-19,-30,2848
492,Kricketot,-47,-72,-56,-37,-38,-76,19118
493,Kricketune,-7,-12,-46,-7,-28,-36,4438
494,Shinx,-39,-32,-63,-22,-45,-56,12159
495,Luxio,-24,-12,-48,-2,-30,-41,5609
496,Luxray,-4,23,-18,33,0,-31,2919
497,Budew,-44,-67,-62,-12,-9,-46,12610
498,Roserade,-24,-27,-32,63,26,-11,7095
499,Cranidos,-17,28,-57,-32,-49,-43,9596
500,Rampardos,13,68,-37,3,-29,-43,8861
501,Shieldon,-54,-55,21,-20,9,-71,11904
502,Bastiodon,-24,-45,71,-15,59,-71,16389
503,Burmy,-44,-68,-52,-33,-34,-65,15734
504,Wormadam (Plant Cloak),-24,-38,-12,17,26,-65,7354
505,Wormadam (Sandy Cloak),-24,-18,8,-3,6,-65,5234
506,Wormadam (Trash Cloak),-24,-28,-2,7,16,-65,5894
507,Mothim,-14,-3,-47,32,-29,-35,5504
508,Combee,-54,-67,-55,-32,-37,-31,13784
509,Vespiquen,-14,-17,5,18,23,-61,5084
510,Pachirisu,-24,-52,-27,-17,11,-6,4455
511,Buizel,-29,-32,-62,-2,-49,-16,8370
512,Floatzel,1,8,-42,23,-29,14,3395
513,Cherubi,-39,-62,-52,0,-26,-66,13101
514,Cherrim,-14,-37,-27,25,-1,-16,3176
515,Shellos,-8,-49,-49,-5,-17,-67,9669
516,Gastrodon,27,-14,-29,30,3,-62,6519
517,Ambipom,-9,3,-31,-2,-13,14,1420
518,Drifloon,6,-47,-63,-2,-35,-31,8404
519,Drifblim,66,-17,-53,28,-25,-21,9304
520,Buneary,-29,-31,-53,-18,-23,-16,5720
521,Lopunny,-19,-21,-13,-8,17,4,1340
522,Lopunny (Mega Lopunny),-19,39,-3,-8,17,34,3400
523,Mismagius,-24,-37,-37,43,26,4,5855
524,Honchkrow,16,28,-45,43,-27,-30,6543
525,Glameow,-35,-42,-55,-20,-42,-16,8434
526,Purugly,-13,-15,-33,2,-20,11,2008
527,Chingling,-39,-67,-47,3,-29,-56,12205
528,Stunky,-21,-34,-50,-21,-38,-27,6711
529,Skuntank,19,-4,-30,9,-18,-17,1971
530,Bronzor,-27,-73,-11,-38,7,-78,13756
531,Bronzong,-17,-8,19,17,37,-68,6996
532,Bonsly,-34,-17,-2,-52,-34,-91,13590
533,Mime Jr.,-64,-72,-52,8,11,-41,13850
534,Happiny,16,-92,-92,-47,-14,-71,24630
535,Chatot,-8,-32,-52,30,-37,-10,6161
536,Spiritomb,-34,-5,11,30,29,-66,7399
537,Gible,-26,-27,-52,-22,-34,-59,9230
538,Gabite,-16,-7,-32,-12,-24,-19,2410
539,Garchomp,24,33,-2,18,6,1,2030
540,Garchomp (Mega Garchomp),24,73,18,58,16,-9,9930
541,Munchlax,51,-12,-57,-22,6,-96,15730
542,Riolu,-44,-27,-57,-27,-39,-41,9845
543,Lucario,-14,13,-27,53,-9,-11,4105
544,Lucario (Mega Lucario),-14,48,-9,78,-9,11,8867
545,Hippopotas,-16,-25,-19,-24,-37,-69,7948
546,Hippowdon,24,15,21,6,-7,-54,4243
547,Skorupi,-44,-47,-7,-32,-24,-36,7090
548,Drapion,-14,-7,13,-2,-4,-6,470
549,Croagunk,-36,-36,-57,-1,-39,-51,9964
550,Toxicroak,-1,9,-32,24,-14,-16,2134
551,Carnivine,-10,3,-25,28,-7,-55,4592
552,Finneon,-35,-48,-41,-13,-18,-35,6928
553,Lumineon,-15,-28,-21,7,7,-10,1648
554,Mantyke,-39,-77,-47,-2,41,-51,13945
555,Snover,-24,-35,-47,0,-19,-61,8092
556,Abomasnow,6,-5,-22,30,6,-41,3162
557,Abomasnow (Mega Abomasnow),6,35,8,70,26,-71,11942
558,Weavile,-14,23,-32,-17,6,24,2650
559,Magnezone,-14,-27,18,68,11,-41,7675
560,Lickilicky,26,-12,-2,18,16,-51,4005
561,Rhyperior,31,43,33,-7,-24,-61,8245
562,Tangrowth,16,3,28,48,-29,-51,6795
563,Electivire,-9,26,-30,33,6,-6,2818
564,Magmortar,-9,-2,-30,63,16,-18,5534
565,Togekiss,1,-47,-2,58,36,-21,7315
566,Yanmega,2,-21,-11,54,-23,-6,4047
567,Leafeon,-19,13,33,-2,-14,-6,1855
568,Glaceon,-19,-37,13,68,16,-36,8075
569,Gliscor,-9,-2,28,-17,-4,-6,1210
570,Mamoswine,26,33,-17,8,-19,-21,2920
571,Porygon-Z,1,-17,-27,73,-4,-11,6485
572,Gallade,-16,28,-32,3,36,-21,3810
573,Gallade (Mega Gallade),-16,68,-2,3,36,9,6270
574,Probopass,-24,-42,48,13,71,-61,13575
575,Dusknoir,-39,3,38,3,56,-56,9255
576,Froslass,-14,-17,-27,18,-9,9,1700
577,Rotom,-34,-47,-20,33,-2,-10,4958
578,Rotom (Heat Rotom),-34,-32,10,43,28,-15,5138
579,Rotom (Wash Rotom),-34,-32,10,43,28,-15,5138
580,Rotom (Frost Rotom),-34,-32,10,43,28,-15,5138
581,Rotom (Fan Rotom),-34,-32,10,43,28,-15,5138
582,Rotom (Mow Rotom),-34,-32,10,43,28,-15,5138
583,Uxie,-9,-22,33,13,51,-6,4460
584,Mesprit,-4,8,8,43,26,-21,3110
585,Azelf,-9,28,-27,63,-9,14,5840
586,Dialga,16,23,23,88,21,-11,9620
587,Dialga (Origin Forme),16,3,23,88,41,-11,10340
588,Palkia,6,23,3,88,41,-1,10000
589,Palkia (Origin Forme),6,3,3,88,41,19,9840
590,Heatran,7,-7,9,68,27,-24,6108
591,Regigigas,26,63,13,18,31,-1,6100
592,Giratina (Altered Forme),66,3,23,38,41,-11,8140
593,Giratina (Origin Forme),66,23,3,58,21,-11,8820
594,Cresselia,36,-27,23,13,51,-16,5580
595,Phione,-4,-17,-17,18,1,-21,1360
596,Manaphy,16,3,3,38,21,-1,2160
597,Darkrai,-14,-7,-7,73,11,24,6320
598,Shaymin (Land Forme),16,3,3,38,21,-1,2160
599,Shaymin (Sky Forme),16,6,-22,58,-4,26,4832
600,Arceus,36,23,23,58,41,19,7760
601,Victini,16,3,3,38,21,-1,2160
602,Snivy,-39,-52,-42,-17,-24,-38,8298
603,Servine,-24,-37,-22,-2,-4,-18,2773
604,Serperior,-9,-22,-2,13,16,12,1138
605,Tepig,-19,-34,-52,-17,-34,-56,8802
606,Pignite,6,-4,-42,8,-24,-46,4572
607,Emboar,26,26,-32,38,-14,-36,5312
608,Oshawott,-29,-42,-52,1,-34,-56,9602
609,Dewott,-9,-22,-37,21,-19,-41,4417
610,Samurott,11,3,-12,46,-9,-31,3432
611,Samurott (Hisuian Samurott),6,11,-17,38,-14,-16,2342
612,Patrat,-39,-42,-58,-27,-40,-59,12459
613,Watchog,-24,-12,-28,-2,-10,-24,2184
614,Lillipup,-39,-37,-52,-37,-34,-46,10235
615,Herdier,-19,-17,-32,-27,-14,-41,4280
616,Stoutland,1,13,-7,-17,11,-21,1070
617,Purrloin,-43,-47,-60,-12,-42,-35,10791
618,Liepard,-20,-9,-47,26,-29,5,4232
619,Pansage,-34,-44,-49,-9,-31,-37,7904
620,Simisage,-9,1,-34,36,-16,0,2790
621,Pansear,-34,-44,-49,-9,-31,-37,7904
622,Simisear,-9,1,-34,36,-16,0,2790
623,Panpour,-34,-44,-49,-9,-31,-37,7904
624,Simipour,-9,1,-34,36,-16,0,2790
625,Munna,-8,-72,-52,5,-24,-77,14482
626,Musharna,32,-42,-12,45,16,-72,10397
627,Pidove,-34,-42,-47,-26,-49,-58,11570
628,Tranquill,-22,-20,-35,-12,-37,-36,4918
629,Unfezant,-4,18,-17,3,-24,-8,1278
630,Blitzle,-39,-37,-65,-12,-47,-25,10093
631,Zebstrika,-9,3,-34,18,-16,15,2051
632,Roggenrola,-29,-22,-12,-37,-54,-86,13150
633,Boldore,-14,8,8,-12,-39,-81,8550
634,Gigalith,1,38,33,-2,1,-76,8315
635,Woobat,-19,-52,-54,-7,-36,-29,8167
636,Swoobat,-17,-40,-42,15,-24,13,4623
637,Drilbur,-24,-12,-57,-32,-34,-33,7238
638,Excadrill,26,38,-37,-12,-14,-13,3998
639,Audino,19,-37,-11,-2,7,-51,4505
640,Audino (Mega Audino),19,-37,29,18,47,-51,7705
641,Timburr,-9,-17,-42,-37,-44,-66,9795
642,Gurdurr,1,8,-12,-22,-29,-61,5255
643,Conkeldurr,21,43,-2,-7,-14,-56,5675
644,Tympole,-34,-47,-57,-12,-39,-37,9648
645,Palpitoad,-9,-32,-42,3,-24,-32,4478
646,Seismitoad,21,-2,-22,23,-4,-27,2203
647,Throh,36,3,-12,-32,6,-56,5645
648,Sawk,-9,28,-22,-32,-4,-16,2645
649,Sewaddle,-39,-44,-27,-22,-19,-59,8512
650,Swadloon,-29,-34,-7,-12,1,-59,5672
651,Leavanny,-9,6,-17,8,1,-9,552
652,Venipede,-54,-52,-38,-32,-40,-44,11624
653,Whirlipede,-44,-42,2,-22,0,-54,7104
654,Scolipede,-24,3,-8,-7,-10,11,919
655,Cottonee,-44,-70,-37,-25,-29,-35,10896
656,Whimsicott,-24,-30,-12,15,-4,15,2086
657,Petilil,-39,-62,-47,8,-29,-71,13520
658,Lilligant,-14,-37,-22,48,-4,-11,4490
659,Lilligant (Hisuian Lilligant),-14,8,-22,-12,-4,4,920
660,Basculin,-14,-5,-32,18,-24,-3,2154
661,Sandile,-34,-25,-62,-27,-44,-36,9586
662,Krokorok,-24,-15,-52,-17,-34,-27,5679
663,Krookodile,11,20,-17,3,-9,-9,981
664,Darumaka,-14,-7,-52,-47,-34,-51,8915
665,Darumaka (Galarian Darumaka),-14,-7,-52,-47,-34,-51,8915
666,Darmanitan (Standard Mode),21,43,-42,-32,-24,-6,5690
667,Darmanitan (Zen Mode),21,-67,8,78,26,-46,13870
668,Darmanitan (Galarian Standard Mode),21,43,-42,-32,-24,-6,5690
669,Darmanitan (Galarian Zen Mode),21,63,-42,-32,-24,34,8930
670,Maractus,-9,-11,-30,44,-12,-41,4863
671,Dwebble,-34,-32,-12,-27,-44,-46,7105
672,Crustle,-14,8,28,3,-4,-56,4205
673,Scraggy,-34,-22,-27,-27,-9,-53,5988
674,Scrafty,-19,-7,18,-17,36,-43,4168
675,Sigilyph,-12,-39,-17,41,1,-4,3652
676,Yamask,-46,-67,-12,-7,-14,-71,12035
677,Yamask (Galarian Yamask),-46,-42,-12,-32,-14,-71,10285
678,Cofagrigus,-26,-47,48,33,26,-71,11995
679,Tirtouga,-30,-19,6,-9,-34,-79,8775
680,Carracosta,-10,11,36,21,-14,-69,6915
681,Archen,-29,15,-52,12,-34,-31,6031
682,Archeops,-9,43,-32,50,-14,9,5731
683,Trubbish,-34,-47,-35,-22,-17,-36,6659
684,Garbodor,-4,-2,-15,-2,3,-26,934
685,Zorua,-44,-32,-57,18,-39,-36,9350
686,Zorua (Hisuian Zorua),-49,-37,-57,23,-39,-31,10030
687,Zoroark,-24,8,-37,58,-19,4,5750
688,Zoroark (Hisuian Zoroark),-29,3,-37,63,-19,9,6630
689,Minccino,-29,-47,-57,-22,-39,-26,8980
690,Cinccino,-9,-2,-37,3,-19,14,2020
691,Gothita,-39,-67,-47,-7,-14,-56,11600
692,Gothorita,-24,-52,-27,13,6,-46,6330
693,Gothitelle,-14,-42,-2,33,31,-36,5310
694,Solosis,-39,-67,-57,43,-29,-81,18510
695,Duosion,-19,-57,-47,63,-19,-71,15190
696,Reuniclus,26,-32,-22,63,6,-71,11230
697,Ducklett,-22,-53,-47,-18,-29,-46,8783
698,Swanna,-9,-10,-34,25,-16,-3,2227
699,Vanillite,-48,-47,-47,3,-19,-57,10341
700,Vanillish,-33,-32,-32,18,-4,-42,5241
701,Vanilluxe,-13,-2,-12,48,16,-22,3361
702,Deerling,-24,-37,-47,-22,-29,-26,6155
703,Sawsbuck,-4,3,-27,-2,-9,-6,875
704,Emolga,-29,-22,-37,13,-19,2,3228
705,Karrablast,-34,-22,-52,-22,-34,-41,7665
706,Escavalier,-14,38,8,-2,26,-81,8945
707,Foongus,-15,-42,-52,-7,-24,-86,12714
708,Amoonguss,30,-12,-27,23,1,-71,7344
709,Frillish,-29,-57,-47,3,6,-61,10065
710,Jellicent,16,-37,-27,23,26,-41,5240
711,Alomomola,81,-22,-17,-22,-34,-36,10270
712,Joltik,-34,-50,-47,-5,-29,-36,8027
713,Galvantula,-14,-20,-37,35,-19,7,3600
714,Ferroseed,-40,-47,-6,-38,7,-91,13619
715,Ferrothorn,-10,-3,34,-8,37,-81,9259
716,Klink,-44,-42,-27,-17,-19,-71,10120
717,Klang,-24,-17,-2,8,6,-51,3570
718,Klinklang,-24,3,18,8,6,-11,1130
719,Tynamo,-49,-42,-57,-17,-39,-41,10905
720,Eelektrik,-19,-12,-27,13,-9,-61,5205
721,Eelektross,1,18,-17,43,1,-51,5065
722,Elgyem,-29,-42,-42,23,-24,-71,10515
723,Beheeyem,-9,-22,-22,63,16,-61,8995
724,Litwick,-34,-67,-42,3,-24,-81,14555
725,Lampent,-24,-57,-37,33,-19,-46,8760
726,Chandelure,-24,-42,-7,83,11,-21,9840
727,Axew,-38,-10,-37,-32,-39,-44,7394
728,Fraxure,-18,20,-27,-22,-29,-34,3934
729,Haxorus,-8,50,-7,-2,-9,-4,2714
730,Cubchoo,-29,-27,-57,-2,-39,-61,10065
731,Beartic,11,33,-17,8,1,-51,4165
732,Cryogonal,-4,-47,-47,33,56,4,8675
733,Shelmet,-34,-57,-12,-22,-14,-76,11005
734,Accelgor,-4,-27,-57,38,-19,44,7735
735,Stunfisk,25,-31,-13,19,20,-69,7277
736,Stunfisk (Galarian Stunfisk),25,-16,2,4,5,-69,5687
737,Mienfoo,-39,-12,-47,-7,-29,-36,6060
738,Mienshao,-19,28,-37,33,-19,4,3980
739,Druddigon,-7,23,-7,-2,11,-53,3561
740,Golett,-25,-23,-47,-27,-29,-66,9289
741,Golurk,5,27,-17,-7,1,-46,3209
742,Pawniard,-39,-12,-27,-22,-39,-41,6080
743,Bisharp,-19,28,3,-2,-9,-31,2200
744,Bouffalant,11,13,-2,-22,16,-46,3150
745,Rufflet,-14,-14,-47,-25,-29,-41,5748
746,Braviary,16,26,-22,-5,-4,-21,1898
747,Braviary (Hisuian Braviary),26,-14,-27,50,-9,-36,5478
748,Vullaby,-14,-42,-22,-17,-14,-41,4610
749,Mandibuzz,26,-32,8,-7,16,-21,2510
750,Heatmor,1,0,-31,43,-13,-36,4276
751,Durant,-26,12,15,-14,-31,8,2266
752,Deino,-32,-32,-47,-17,-29,-63,9356
753,Zweilous,-12,-12,-27,3,-9,-43,2956
754,Hydreigon,8,8,-7,63,11,-3,4276
755,Larvesta,-29,-12,-42,-12,-24,-41,5150
756,Volcarona,1,-37,-32,73,26,-1,8400
757,Cobalion,7,-7,32,28,-7,7,2004
758,Terrakion,7,32,-7,10,11,7,1392
759,Virizion,7,-7,-25,28,50,7,4056
760,Tornadus (Incarnate Forme),-5,18,-27,63,1,10,5148
761,Tornadus (Therian Forme),-5,3,-17,48,11,20,3148
762,Thundurus (Incarnate Forme),-5,18,-27,63,1,10,5148
763,Thundurus (Therian Forme),-5,8,-27,83,1,0,7708
764,Reshiram,16,23,3,88,41,-11,10340
765,Zekrom,16,53,23,58,21,-11,7520
766,Landorus (Incarnate Forme),5,28,-7,53,1,0,3668
767,Landorus (Therian Forme),5,48,-7,43,1,-10,4328
768,Kyurem,41,33,-7,68,11,-6,7600
769,Kyurem (Black Kyurem),41,73,3,58,11,-6,10540
770,Kyurem (White Kyurem),41,23,-7,108,21,-6,14400
771,Keldeo,7,-25,-7,67,11,7,5382
772,Meloetta (Aria Forme),16,-20,-20,66,49,-11,7934
773,Meloetta (Pirouette Forme),16,31,-7,15,-2,27,2224
774,Genesect,-13,23,-2,58,16,-2,4326
775,Chespin,-28,-36,-32,-14,-34,-63,8425
776,Quilladin,-23,-19,-2,-6,-21,-44,3307
777,Chesnaught,4,10,25,12,-4,-37,2270
778,Fennekin,-44,-52,-57,0,-19,-41,9931
779,Braixen,-25,-38,-39,28,-9,-28,5239
780,Delphox,-9,-28,-25,52,21,3,4644
781,Froakie,-43,-41,-57,0,-35,-30,8904
782,Frogadier,-30,-34,-45,21,-23,-4,5067
783,Greninja,-12,-2,-30,41,-8,21,3234
784,Greninja (Ash-Greninja),-12,48,-30,91,-8,31,12654
785,Bunnelby,-46,-61,-59,-30,-43,-44,14003
786,Diggersby,1,-41,-20,-12,-2,-23,2759
787,Fletchling,-39,-47,-54,-22,-41,-39,10332
788,Fletchinder,-22,-24,-42,-6,-27,-17,3878
789,Talonflame,-6,-16,-26,12,-10,25,1837
790,Scatterbug,-46,-62,-57,-35,-54,-66,17706
791,Spewpa,-39,-75,-37,-35,-49,-72,17325
792,Vivillon,-4,-45,-47,28,-29,-12,6019
793,Litleo,-22,-47,-39,11,-25,-29,5801
794,Pyroar,2,-29,-25,47,-13,5,3873
795,Flabébé,-40,-59,-58,-1,0,-59,11927
796,Floette,-30,-52,-50,13,19,-49,9035
797,Florges,-6,-32,-29,50,75,-26,10702
798,Skiddo,-18,-32,-49,0,-22,-49,6634
799,Gogoat,39,3,-35,35,2,-33,5073
800,Pancham,-17,-15,-35,-16,-31,-58,6320
801,Pangoro,11,27,-19,7,-8,-43,3173
802,Furfrou,-9,-17,-37,3,11,1,1870
803,Espurr,-22,-49,-43,1,-19,-33,6185
804,Meowstic,-10,-49,-21,21,2,3,3396
805,Honedge,-39,-17,3,-27,-42,-73,9641
806,Doublade,-25,13,53,-17,-30,-66,9148
807,Aegislash (Shield Forme),-24,-47,43,-12,61,-41,10180
808,Aegislash (Blade Forme),-24,43,-47,78,-29,-41,13240
809,Spritzee,-6,-45,-37,1,-14,-78,9711
810,Aromatisse,17,-25,-25,37,10,-72,8192
811,Swirlix,-22,-49,-31,-3,-22,-52,7043
812,Slurpuff,-2,-17,-11,23,-4,-29,1800
813,Inkay,-31,-43,-44,-25,-33,-56,9596
814,Malamar,2,-5,-9,6,-4,-28,946
815,Binacle,-42,-45,-30,-23,-23,-51,8348
816,Barbaracle,-12,8,18,-8,7,-33,1734
817,Skrelp,-34,-37,-37,-2,-19,-71,9300
818,Dragalge,-19,-22,-7,35,44,-57,7304
819,Clauncher,-34,-44,-35,-4,-16,-57,7838
820,Clawitzer,-13,-24,-9,58,10,-42,6054
821,Helioptile,-40,-59,-64,-1,-36,-31,11435
822,Heliolisk,-22,-42,-45,47,15,8,6771
823,Tyrunt,-26,-8,-20,-17,-34,-53,5394
824,Tyrantrum,-2,24,22,7,-20,-30,2413
825,Amaura,-7,-38,-47,5,-16,-55,7008
826,Aurorus,39,-20,-25,37,13,-43,5933
827,Sylveon,11,-32,-32,48,51,-41,8755
828,Hawlucha,-6,-5,-22,12,-16,17,1234
829,Dedenne,-17,-39,-40,19,-12,0,3915
830,Carbink,-34,-47,53,-12,71,-51,13960
831,Goomy,-39,-47,-62,-7,-4,-61,11360
832,Sliggoo,-16,-22,-44,21,34,-41,5954
833,Sliggoo (Hisuian Sliggoo),-26,-22,-14,21,34,-61,6674
834,Goodra,6,3,-27,48,71,-21,8560
835,Goodra (Hisuian Goodra),-4,3,3,48,71,-41,9060
836,Klefki,-27,-17,-6,18,8,-26,2118
837,Phantump,-41,-27,-49,-12,-19,-63,9285
838,Trevenant,1,13,-21,3,3,-45,2654
839,Pumpkaboo (Small Size),-40,-31,-27,-18,-24,-45,6215
840,Pumpkaboo (Average Size),-35,-31,-27,-18,-24,-50,6315
841,Pumpkaboo (Large Size),-30,-31,-27,-18,-24,-55,6515
842,Pumpkaboo (Super Size),-25,-31,-27,-18,-24,-60,6815
843,Gourgeist (Small Size),-29,-12,25,-4,-4,-2,1646
844,Gourgeist (Average Size),-19,-7,25,-4,-4,-17,1356
845,Gourgeist (Large Size),-9,-2,25,-4,-4,-32,1766
846,Gourgeist (Super Size),1,3,25,-4,-4,-47,2876
847,Bergmite,-29,-28,-12,-30,-44,-73,9934
848,Avalugg,11,20,87,-18,-33,-73,14832
849,Avalugg (Hisuian Avalugg),11,30,87,-28,-43,-63,15192
850,Noibat,-44,-67,-62,-17,-39,-46,14195
851,Noivern,1,-27,-17,35,1,22,2729
852,Xerneas,42,34,-2,69,19,-2,8050
853,Yveltal,42,34,-2,69,19,-2,8050
854,Zygarde (50% Forme),24,3,24,19,16,-6,1814
855,Zygarde (10% Forme),-30,3,-26,-1,6,14,1818
856,Zygarde (Complete Forme),132,3,24,29,16,-16,19362
857,Diancie,-34,3,53,38,71,-51,13060
858,Diancie (Mega Diancie),-34,63,13,98,31,9,15940
859,Hoopa (Hoopa Confined),-4,13,-37,88,51,-31,12860
860,Hoopa (Hoopa Unbound),-4,63,-37,108,51,-21,20060
861,Volcanion,-4,13,23,68,11,-31,6420
862,Rowlet,-16,-42,-42,-12,-29,-59,8250
863,Dartrix,-6,-22,-22,8,-9,-49,3550
864,Decidueye,-6,10,-22,38,21,-31,3466
865,Decidueye (Hisuian Decidueye),4,15,-17,33,16,-41,3556
866,Litten,-39,-32,-57,-2,-39,-31,8280
867,Torracat,-19,-12,-47,18,-29,-11,4000
868,Incineroar,11,18,-7,18,11,-41,2620
869,Popplio,-34,-43,-43,4,-23,-61,9120
870,Brionne,-24,-28,-28,29,2,-51,5590
871,Primarina,-4,-23,-23,64,37,-41,8220
872,Pikipek,-49,-22,-67,-32,-49,-36,12095
873,Trumbeak,-29,-12,-47,-22,-29,-26,5195
874,Toucannon,-4,23,-22,13,-4,-41,2895
875,Yungoos,-36,-27,-67,-32,-49,-56,13075
876,Gumshoos,4,13,-37,-7,-19,-56,5100
877,Grubbin,-37,-35,-52,-7,-34,-55,9528
878,Charjabug,-27,-15,-2,-7,-4,-65,5248
879,Vikavolt,-7,-27,-7,83,-4,-58,11096
880,Crabrawler,-37,-15,-40,-20,-32,-38,6062
881,Crabominable,13,35,-20,0,-12,-58,5302
882,Oricorio,-9,-27,-27,36,-9,-8,2980
883,Cutiefly,-44,-52,-57,-7,-39,-17,9748
884,Ribombee,-24,-42,-37,33,-9,23,5408
885,Rockruff,-39,-32,-57,-32,-39,-41,10020
886,Lycanroc (Midday Form),-9,18,-32,-7,-14,11,1795
887,Lycanroc (Midnight Form),1,18,-22,-7,-4,-19,1235
888,Lycanroc (Dusk Form),-9,20,-32,-7,-14,9,1831
889,Wishiwashi (Solo Form),-39,-77,-77,-37,-54,-61,21385
890,Wishiwashi (School Form),-39,43,33,78,56,-71,18720
891,Mareanie,-34,-44,-35,-19,-27,-56,8543
892,Toxapex,-34,-34,55,-9,63,-66,13743
893,Mudbray,-14,3,-27,-17,-24,-56,4935
894,Mudsdale,16,28,3,-7,6,-66,5490
895,Dewpider,-46,-57,-45,-22,-7,-74,13399
896,Araquanid,-16,-27,-5,-12,53,-59,7444
897,Fomantis,-44,-42,-62,-12,-44,-66,13980
898,Lurantis,-14,8,-7,18,11,-56,3890
899,Morelull,-44,-62,-42,3,-4,-86,14965
900,Shiinotic,-24,-52,-17,28,21,-71,9835
901,Salandit,-36,-53,-57,9,-39,-24,9532
902,Salazzle,-16,-33,-37,49,-19,16,5732
903,Stufful,-14,-22,-47,-17,-29,-51,6620
904,Bewear,36,28,-17,-7,-19,-41,4460
905,Bounsweet,-42,-67,-59,-32,-41,-69,17200
906,Steenee,-32,-57,-49,-22,-31,-39,9640
907,Tsareena,-12,23,1,-12,19,-29,2020
908,Comfey,-33,-45,-7,20,31,-1,4525
909,Oranguru,6,-37,-17,28,31,-41,5120
910,Passimian,16,23,-7,-22,-19,-21,2120
911,Wimpod,-59,-62,-57,-42,-49,-21,15180
912,Golisopod,-9,28,43,-2,11,-61,6560
913,Sandygast,-29,-42,-17,8,-34,-86,11510
914,Palossand,1,-22,13,38,-4,-66,6470
915,Pyukumuku,-29,-37,33,-32,51,-96,16140
916,Type: Null,11,-2,-2,33,16,-42,3238
917,Silvally,11,-2,-2,33,16,-6,1510
918,Minior (Meteor Form),-24,-37,3,-2,21,-41,4080
919,Minior (Core),-24,3,-37,38,-19,19,4120
920,Komala,-19,18,-32,13,16,-36,3430
921,Turtonator,-24,-19,38,29,6,-65,7483
922,Togedemaru,-19,1,-34,-22,-6,-5,2063
923,Mimikyu,-29,-7,-17,-12,26,-5,2024
924,Bruxish,-16,8,-27,8,-9,-9,1275
925,Drampa,-6,-37,-12,73,12,-65,11247
926,Dhelmise,-14,34,3,24,11,-61,5779
927,Jangmo-o,-39,-42,-32,-17,-34,-56,8890
928,Hakamo-o,-29,-22,-7,3,-9,-36,2760
929,Kommo-o,-9,13,28,38,26,-16,3410
930,Tapu Koko,-14,18,-12,33,-4,29,2610
931,Tapu Lele,-14,-12,-22,68,36,-6,6780
932,Tapu Bulu,-14,33,18,23,16,-26,3070
933,Tapu Fini,-14,-22,18,33,51,-16,4950
934,Cosmog,-41,-68,-66,-33,-48,-64,18150
935,Cosmoem,-41,-68,34,-33,52,-64,15350
936,Solgaleo,53,40,10,51,10,-4,7226
937,Lunala,53,16,-8,75,28,-4,9554
938,Nihilego,25,-44,-50,65,52,2,11994
939,Buzzwole,23,42,42,-9,-26,-22,5298
940,Pheromosa,-13,40,-60,75,-42,50,15258
941,Xurkitree,-1,-8,-26,111,-8,-18,13450
942,Celesteela,13,4,6,45,22,-40,4330
943,Kartana,-25,84,34,-3,-48,8,11214
944,Guzzlord,139,4,-44,35,-26,-58,26538
945,Necrozma,13,10,4,65,10,-22,5094
946,Necrozma (Dusk Mane Necrozma),13,60,30,51,30,-24,8746
947,Necrozma (Dawn Wings Necrozma),13,16,12,95,48,-24,12474
948,Necrozma (Ultra Necrozma),13,70,0,105,18,28,17202
949,Magearna,-4,-2,18,68,36,-36,7560
950,Marshadow,6,28,-17,28,11,24,2590
951,Poipole,-17,-24,-30,11,-12,-28,2814
952,Naganadel,-11,-24,-24,65,-6,20,5934
953,Stakataka,-23,34,114,-9,22,-88,22990
954,Blacephalon,-31,30,-44,89,0,6,11754
955,Zeraora,4,15,-22,40,1,42,4090
956,Meltan,-38,-32,-32,-7,-44,-67,9966
957,Melmetal,51,46,46,18,-14,-67,11842
958,Grookey,-34,-32,-47,-22,-39,-36,7690
959,Thwackey,-14,-12,-27,-7,-19,-21,1920
960,Rillaboom,16,28,-7,-2,-9,-16,1430
961,Scorbunny,-34,-26,-57,-22,-39,-32,8110
962,Raboot,-19,-11,-37,-7,-19,-7,2310
963,Cinderace,-4,19,-22,3,-4,18,1210
964,Sobble,-34,-57,-57,8,-39,-31,10200
965,Drizzile,-19,-37,-42,33,-24,-11,5280
966,Inteleon,-14,-12,-32,63,-14,19,5890
967,Skwovet,-14,-42,-42,-27,-44,-76,12165
968,Greedent,36,-2,-2,-7,-4,-81,7930
969,Rookidee,-46,-50,-62,-29,-44,-44,13173
970,Corvisquire,-16,-30,-42,-19,-24,-24,4433
971,Corviknight,14,-10,8,-9,6,-34,1633
972,Blipbug,-59,-77,-77,-37,-34,-56,21000
973,Dottler,-34,-62,-17,-12,11,-71,10595
974,Orbeetle,-24,-52,13,18,41,-11,5575
975,Nickit,-44,-69,-69,-15,-27,-51,15013
976,Thievul,-14,-39,-39,25,13,-11,4153
