Matthew Kish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
474,Deoxys (Normal Forme),-31,43,-54,80,-52,47,17039
475,Deoxys (Attack Forme),-31,73,-84,110,-82,47,34379
476,Deoxys (Defense Forme),-31,-37,56,0,58,-13,8999
477,Deoxys (Speed Forme),-31,-12,-14,25,-12,77,7999
478,Turtwig,-26,-39,-40,-25,-47,-72,11815
479,Grotle,-6,-18,-19,-15,-37,-67,6804
480,Torterra,14,2,1,5,-17,-47,2724
481,Chimchar,-37,-49,-60,-12,-58,-42,12642
482,Monferno,-17,-29,-52,8,-50,-22,6882
483,Infernape,-5,-3,-33,34,-31,5,3265
484,Piplup,-28,-56,-51,-9,-46,-63,12687
485,Prinplup,-17,-41,-36,11,-26,-53,6872
486,Empoleon,3,-21,-16,41,-1,-43,4237
487,Starly,-41,-52,-74,-40,-72,-43,18494
488,Staravia,-26,-32,-54,-30,-62,-23,9889
489,Staraptor,4,13,-34,-20,-42,-3,3514
490,Bidoof,-22,-62,-64,-35,-62,-72,18677
491,Bibarel,-2,-22,-44,-15,-42,-32,5437
492,Kricketot,-44,-82,-63,-45,-61,-78,24459
493,Kricketune,-4,-22,-53,-15,-51,-38,7579
494,Shinx,-36,-42,-70,-30,-68,-58,16848
495,Luxio,-21,-22,-55,-10,-53,-43,8708
496,Luxray,-1,13,-25,25,-23,-33,3038
497,Budew,-41,-77,-69,-20,-32,-48,16099
498,Roserade,-21,-37,-39,55,3,-13,6534
499,Cranidos,-14,18,-64,-40,-72,-45,13425
500,Rampardos,16,58,-44,-5,-52,-45,10310
501,Shieldon,-51,-65,14,-28,-14,-73,13331
502,Bastiodon,-21,-55,64,-23,36,-73,14716
503,Burmy,-41,-78,-59,-41,-57,-67,20665
504,Wormadam (Plant Cloak),-21,-48,-19,9,3,-67,7685
505,Wormadam (Sandy Cloak),-21,-28,1,-11,-17,-67,6125
506,Wormadam (Trash Cloak),-21,-38,-9,-1,-7,-67,6505
507,Mothim,-11,-13,-54,24,-52,-37,7855
508,Combee,-51,-77,-62,-40,-60,-33,18663
509,Vespiquen,-11,-27,-2,10,0,-63,4923
510,Pachirisu,-21,-62,-34,-25,-12,-8,6274
511,Buizel,-26,-42,-69,-10,-72,-18,12809
512,Floatzel,4,-2,-49,15,-52,12,5494
513,Cherubi,-36,-72,-59,-8,-49,-68,17050
514,Cherrim,-11,-47,-34,17,-24,-18,4675
515,Shellos,-5,-59,-56,-13,-40,-69,13172
516,Gastrodon,30,-24,-36,22,-20,-64,7752
517,Ambipom,-6,-7,-38,-10,-36,12,3069
518,Drifloon,9,-57,-70,-10,-58,-33,12783
519,Drifblim,69,-27,-60,20,-48,-23,12323
520,Buneary,-26,-41,-60,-26,-46,-18,9073
521,Lopunny,-16,-31,-20,-16,-6,2,1913
522,Lopunny (Mega Lopunny),-16,29,-10,-16,-6,32,2513
523,Mismagius,-21,-47,-44,35,3,2,5824
524,Honchkrow,19,18,-52,35,-50,-32,8138
525,Glameow,-32,-52,-62,-28,-65,-18,12905
526,Purugly,-10,-25,-40,-6,-43,9,4291
527,Chingling,-36,-77,-54,-5,-52,-58,16234
528,Stunky,-18,-44,-57,-29,-61,-29,10912
529,Skuntank,22,-14,-37,1,-41,-19,4092
530,Bronzor,-24,-83,-18,-46,-16,-80,16561
531,Bronzong,-14,-18,12,9,14,-70,5841
532,Bonsly,-31,-27,-9,-60,-57,-93,17269
533,Mime Jr.,-61,-82,-59,0,-12,-43,15919
534,Happiny,19,-102,-99,-55,-37,-73,30289
535,Chatot,-5,-42,-59,22,-60,-12,9498
536,Spiritomb,-31,-15,4,22,6,-68,6346
537,Gible,-23,-37,-59,-30,-57,-61,13249
538,Gabite,-13,-17,-39,-20,-47,-21,5029
539,Garchomp,27,23,-9,10,-17,-1,1729
540,Garchomp (Mega Garchomp),27,63,11,50,-7,-11,7489
541,Munchlax,54,-22,-64,-30,-17,-98,18289
542,Riolu,-41,-37,-64,-35,-62,-43,14064
543,Lucario,-11,3,-34,45,-32,-13,4504
544,Lucario (Mega Lucario),-11,38,-16,70,-32,9,7826
545,Hippopotas,-13,-35,-26,-32,-60,-71,11735
546,Hippowdon,27,5,14,-2,-30,-56,4990
547,Skorupi,-41,-57,-14,-40,-47,-38,10379
548,Drapion,-11,-17,6,-10,-27,-8,1339
549,Croagunk,-33,-46,-64,-9,-62,-53,14035
550,Toxicroak,2,-1,-39,16,-37,-18,3475
551,Carnivine,-7,-7,-32,20,-30,-57,5671
552,Finneon,-32,-58,-48,-21,-41,-37,10183
553,Lumineon,-12,-38,-28,-1,-16,-12,2773
554,Mantyke,-36,-87,-54,-10,18,-53,15014
555,Snover,-21,-45,-54,-8,-42,-63,11179
556,Abomasnow,9,-15,-29,22,-17,-43,3769
557,Abomasnow (Mega Abomasnow),9,25,1,62,3,-73,9889
558,Weavile,-11,13,-39,-25,-17,22,3209
559,Magnezone,-11,-37,11,60,-12,-43,7204
560,Lickilicky,29,-22,-9,10,-7,-53,4364
561,Rhyperior,34,33,26,-15,-47,-63,9324
562,Tangrowth,19,-7,21,40,-52,-53,7964
563,Electivire,-6,16,-37,25,-17,-8,2639
564,Magmortar,-6,-12,-37,55,-7,-20,5023
565,Togekiss,4,-57,-9,50,13,-23,6544
566,Yanmega,5,-31,-18,46,-46,-8,5606
567,Leafeon,-16,3,26,-10,-37,-8,2474
568,Glaceon,-16,-47,6,60,-7,-38,7594
569,Gliscor,-6,-12,21,-25,-27,-8,2039
570,Mamoswine,29,23,-24,0,-42,-23,4239
571,Porygon-Z,4,-27,-34,65,-27,-13,7024
572,Gallade,-13,18,-39,-5,13,-23,2737
573,Gallade (Mega Gallade),-13,58,-9,-5,13,7,3857
574,Probopass,-21,-52,41,5,48,-63,11124
575,Dusknoir,-36,-7,31,-5,33,-58,6784
576,Froslass,-11,-27,-34,10,-32,7,3179
577,Rotom,-31,-57,-27,25,-25,-12,6333
578,Rotom (Heat Rotom),-31,-42,3,35,5,-17,4273
579,Rotom (Wash Rotom),-31,-42,3,35,5,-17,4273
580,Rotom (Frost Rotom),-31,-42,3,35,5,-17,4273
581,Rotom (Fan Rotom),-31,-42,3,35,5,-17,4273
582,Rotom (Mow Rotom),-31,-42,3,35,5,-17,4273
583,Uxie,-6,-32,26,5,28,-8,2609
584,Mesprit,-1,-2,1,35,3,-23,1769
585,Azelf,-6,18,-34,55,-32,12,5709
586,Dialga,19,13,16,80,-2,-13,7359
587,Dialga (Origin Forme),19,-7,16,80,18,-13,7559
588,Palkia,9,13,-4,80,18,-3,6999
589,Palkia (Origin Forme),9,-7,-4,80,18,17,7159
590,Heatran,10,-17,2,60,4,-26,4685
591,Regigigas,29,53,6,10,8,-3,3859
592,Giratina (Altered Forme),69,-7,16,30,18,-13,6459
593,Giratina (Origin Forme),69,13,-4,50,-2,-13,7619
594,Cresselia,39,-37,16,5,28,-18,4279
595,Phione,-1,-27,-24,10,-22,-23,2419
596,Manaphy,19,-7,-4,30,-2,-3,1339
597,Darkrai,-11,-17,-14,65,-12,22,5459
598,Shaymin (Land Forme),19,-7,-4,30,-2,-3,1339
599,Shaymin (Sky Forme),19,-4,-29,50,-27,24,5023
600,Arceus,39,13,16,50,18,17,5059
601,Victini,19,-7,-4,30,-2,-3,1339
602,Snivy,-36,-62,-49,-25,-47,-40,11975
603,Servine,-21,-47,-29,-10,-27,-20,4720
604,Serperior,-6,-32,-9,5,-7,10,1315
605,Tepig,-16,-44,-59,-25,-57,-58,12911
606,Pignite,9,-14,-49,0,-47,-48,7191
607,Emboar,29,16,-39,30,-37,-38,6331
608,Oshawott,-26,-52,-59,-7,-57,-58,13523
609,Dewott,-6,-32,-44,13,-42,-43,6778
610,Samurott,14,-7,-19,38,-32,-33,4163
611,Samurott (Hisuian Samurott),9,1,-24,30,-37,-18,3251
612,Patrat,-36,-52,-65,-35,-63,-61,17140
613,Watchog,-21,-22,-35,-10,-33,-26,4015
614,Lillipup,-36,-47,-59,-45,-57,-48,14564
615,Herdier,-16,-27,-39,-35,-37,-43,6949
616,Stoutland,4,3,-14,-25,-12,-23,1519
617,Purrloin,-40,-57,-67,-20,-65,-37,15332
618,Liepard,-17,-19,-54,18,-52,3,6603
619,Pansage,-31,-54,-56,-17,-54,-39,11739
620,Simisage,-6,-9,-41,28,-39,-2,4107
621,Pansear,-31,-54,-56,-17,-54,-39,11739
622,Simisear,-6,-9,-41,28,-39,-2,4107
623,Panpour,-31,-54,-56,-17,-54,-39,11739
624,Simipour,-6,-9,-41,28,-39,-2,4107
625,Munna,-5,-82,-59,-3,-47,-79,18689
626,Musharna,35,-52,-19,37,-7,-74,11184
627,Pidove,-31,-52,-54,-34,-72,-60,16521
628,Tranquill,-19,-30,-42,-20,-60,-38,8469
629,Unfezant,-1,8,-24,-5,-47,-10,2975
630,Blitzle,-36,-47,-72,-20,-70,-27,14718
631,Zebstrika,-6,-7,-41,10,-39,13,3556
632,Roggenrola,-26,-32,-19,-45,-77,-88,17759
633,Boldore,-11,-2,1,-20,-62,-83,11259
634,Gigalith,4,28,26,-10,-22,-78,8144
635,Woobat,-16,-62,-61,-15,-59,-31,12488
636,Swoobat,-14,-50,-49,7,-47,11,7476
637,Drilbur,-21,-22,-64,-40,-57,-35,11095
638,Excadrill,29,28,-44,-20,-37,-15,5555
639,Audino,22,-47,-18,-10,-16,-53,6182
640,Audino (Mega Audino),22,-47,22,10,24,-53,6662
641,Timburr,-6,-27,-49,-45,-67,-68,14304
642,Gurdurr,4,-2,-19,-30,-52,-63,7954
643,Conkeldurr,24,33,-9,-15,-37,-58,6704
644,Tympole,-31,-57,-64,-20,-62,-39,14071
645,Palpitoad,-6,-42,-49,-5,-47,-34,7591
646,Seismitoad,24,-12,-29,15,-27,-29,3356
647,Throh,39,-7,-19,-40,-17,-58,7184
648,Sawk,-6,18,-29,-40,-27,-18,3854
649,Sewaddle,-36,-54,-34,-30,-42,-61,11753
650,Swadloon,-26,-44,-14,-20,-22,-61,7413
651,Leavanny,-6,-4,-24,0,-22,-11,1233
652,Venipede,-51,-62,-45,-40,-63,-46,16155
653,Whirlipede,-41,-52,-5,-30,-23,-56,8975
654,Scolipede,-21,-7,-15,-15,-33,9,2110
655,Cottonee,-41,-80,-44,-33,-52,-37,15179
656,Whimsicott,-21,-40,-19,7,-27,13,3349
657,Petilil,-36,-72,-54,0,-52,-73,17429
658,Lilligant,-11,-47,-29,40,-27,-13,5669
659,Lilligant (Hisuian Lilligant),-11,-2,-29,-20,-27,2,2099
660,Basculin,-11,-15,-39,10,-47,-5,4201
661,Sandile,-31,-35,-69,-35,-67,-38,14105
662,Krokorok,-21,-25,-59,-25,-57,-29,9262
663,Krookodile,14,10,-24,-5,-32,-11,2042
664,Darumaka,-11,-17,-59,-55,-57,-53,12974
665,Darumaka (Galarian Darumaka),-11,-17,-59,-55,-57,-53,12974
666,Darmanitan (Standard Mode),24,33,-49,-40,-47,-8,7939
667,Darmanitan (Zen Mode),24,-77,1,70,3,-48,13719
668,Darmanitan (Galarian Standard Mode),24,33,-49,-40,-47,-8,7939
669,Darmanitan (Galarian Zen Mode),24,53,-49,-40,-47,32,10619
670,Maractus,-6,-21,-37,36,-35,-43,6216
671,Dwebble,-31,-42,-19,-35,-67,-48,11104
672,Crustle,-11,-2,21,-5,-27,-58,4684
673,Scraggy,-31,-32,-34,-35,-32,-55,8415
674,Scrafty,-16,-17,11,-25,13,-45,3485
675,Sigilyph,-9,-49,-24,33,-22,-6,4667
676,Yamask,-43,-77,-19,-15,-37,-73,15062
677,Yamask (Galarian Yamask),-43,-52,-19,-40,-37,-73,13212
678,Cofagrigus,-23,-57,41,25,3,-73,11422
679,Tirtouga,-27,-29,-1,-17,-57,-81,11670
680,Carracosta,-7,1,29,13,-37,-71,7470
681,Archen,-26,5,-59,4,-57,-33,8536
682,Archeops,-6,33,-39,42,-37,7,5828
683,Trubbish,-31,-57,-42,-30,-40,-38,9918
684,Garbodor,-1,-12,-22,-10,-20,-28,1913
685,Zorua,-41,-42,-64,10,-62,-38,12929
686,Zorua (Hisuian Zorua),-46,-47,-64,15,-62,-33,13579
687,Zoroark,-21,-2,-44,50,-42,2,6649
688,Zoroark (Hisuian Zoroark),-26,-7,-44,55,-42,7,7499
689,Minccino,-26,-57,-64,-30,-62,-28,13549
690,Cinccino,-6,-12,-44,-5,-42,12,4049
691,Gothita,-36,-77,-54,-15,-37,-58,15099
692,Gothorita,-21,-62,-34,5,-17,-48,8059
693,Gothitelle,-11,-52,-9,25,8,-38,5039
694,Solosis,-36,-77,-64,35,-52,-83,22139
695,Duosion,-16,-67,-54,55,-42,-73,17779
696,Reuniclus,29,-42,-29,55,-17,-73,12089
697,Ducklett,-19,-63,-54,-26,-52,-48,12930
698,Swanna,-6,-20,-41,17,-39,-5,3952
699,Vanillite,-45,-57,-54,-5,-42,-59,13460
700,Vanillish,-30,-42,-39,10,-27,-44,6950
701,Vanilluxe,-10,-12,-19,40,-7,-24,2830
702,Deerling,-21,-47,-54,-30,-52,-28,9954
703,Sawsbuck,-1,-7,-34,-10,-32,-8,2394
704,Emolga,-26,-32,-44,5,-42,0,5425
705,Karrablast,-31,-32,-59,-30,-57,-43,11464
706,Escavalier,-11,28,1,-10,3,-83,7904
707,Foongus,-12,-52,-59,-15,-47,-88,16507
708,Amoonguss,33,-22,-34,15,-22,-73,8767
709,Frillish,-26,-67,-54,-5,-17,-63,12364
710,Jellicent,19,-47,-34,15,3,-43,5809
711,Alomomola,84,-32,-24,-30,-57,-38,14249
712,Joltik,-31,-60,-54,-13,-52,-38,11794
713,Galvantula,-11,-30,-44,27,-42,5,5475
714,Ferroseed,-37,-57,-13,-46,-16,-93,15808
715,Ferrothorn,-7,-13,27,-16,14,-83,8288
716,Klink,-41,-52,-34,-25,-42,-73,13259
717,Klang,-21,-27,-9,0,-17,-53,4349
718,Klinklang,-21,-7,11,0,-17,-13,1069
719,Tynamo,-46,-52,-64,-25,-62,-43,15234
720,Eelektrik,-16,-22,-34,5,-32,-63,6914
721,Eelektross,4,8,-24,35,-22,-53,5174
722,Elgyem,-26,-52,-49,15,-47,-73,13544
723,Beheeyem,-6,-32,-29,55,-7,-63,8944
724,Litwick,-31,-77,-49,-5,-47,-83,18414
725,Lampent,-21,-67,-44,25,-42,-48,11559
726,Chandelure,-21,-52,-14,75,-12,-23,9639
727,Axew,-35,-20,-44,-40,-62,-46,11121
728,Fraxure,-15,10,-34,-30,-52,-36,6381
729,Haxorus,-5,40,-14,-10,-32,-6,2981
730,Cubchoo,-26,-37,-64,-10,-62,-63,14054
731,Beartic,14,23,-24,0,-22,-53,4594
732,Cryogonal,-1,-57,-54,25,33,2,7884
733,Shelmet,-31,-67,-19,-30,-37,-78,14164
734,Accelgor,-1,-37,-64,30,-42,42,9894
735,Stunfisk,28,-41,-20,11,-3,-71,8036
736,Stunfisk (Galarian Stunfisk),28,-26,-5,-4,-18,-71,6866
737,Mienfoo,-36,-22,-54,-15,-52,-38,9069
738,Mienshao,-16,18,-44,25,-42,2,4909
739,Druddigon,-4,13,-14,-10,-12,-55,3650
740,Golett,-22,-33,-54,-35,-52,-68,13042
741,Golurk,8,17,-24,-15,-22,-48,3942
742,Pawniard,-36,-22,-34,-30,-62,-43,9529
743,Bisharp,-16,18,-4,-10,-32,-33,2809
744,Bouffalant,14,3,-9,-30,-7,-48,3539
745,Rufflet,-11,-24,-54,-33,-52,-43,9255
746,Braviary,19,16,-29,-13,-27,-23,2885
747,Braviary (Hisuian Braviary),29,-24,-34,42,-32,-38,6805
748,Vullaby,-11,-52,-29,-25,-37,-43,7509
749,Mandibuzz,29,-42,1,-15,-7,-23,3409
750,Heatmor,4,-10,-38,35,-36,-38,5525
751,Durant,-23,2,8,-22,-54,6,4033
752,Deino,-29,-42,-54,-25,-52,-65,13075
753,Zweilous,-9,-22,-34,-5,-32,-45,4795
754,Hydreigon,11,-2,-14,55,-12,-5,3515
755,Larvesta,-26,-22,-49,-20,-47,-43,8019
756,Volcarona,4,-47,-39,65,3,-3,7989
757,Cobalion,10,-17,25,20,-30,5,2339
758,Terrakion,10,22,-14,2,-12,5,953
759,Virizion,10,-17,-32,20,27,5,2567
760,Tornadus (Incarnate Forme),-2,8,-34,55,-22,8,4797
761,Tornadus (Therian Forme),-2,-7,-24,40,-12,18,2697
762,Thundurus (Incarnate Forme),-2,8,-34,55,-22,8,4797
763,Thundurus (Therian Forme),-2,-2,-34,75,-22,-2,7277
764,Reshiram,19,13,-4,80,18,-13,7439
765,Zekrom,19,43,16,50,-2,-13,5139
766,Landorus (Incarnate Forme),8,18,-14,45,-22,-2,3097
767,Landorus (Therian Forme),8,38,-14,35,-22,-12,3557
768,Kyurem,44,23,-14,60,-12,-8,6469
769,Kyurem (Black Kyurem),44,63,-4,50,-12,-8,8629
770,Kyurem (White Kyurem),44,13,-14,100,-2,-8,12369
771,Keldeo,10,-35,-14,59,-12,5,5171
772,Meloetta (Aria Forme),19,-30,-27,58,26,-13,6199
773,Meloetta (Pirouette Forme),19,21,-14,7,-25,25,2297
774,Genesect,-10,13,-9,50,-7,-4,2915
775,Chespin,-25,-46,-39,-22,-57,-65,12220
776,Quilladin,-20,-29,-9,-14,-44,-46,5570
777,Chesnaught,7,0,18,4,-27,-39,2639
778,Fennekin,-41,-62,-64,-8,-42,-43,13298
779,Braixen,-22,-48,-46,20,-32,-30,7228
780,Delphox,-6,-38,-32,44,-2,1,4445
781,Froakie,-40,-51,-64,-8,-58,-32,12749
782,Frogadier,-27,-44,-52,13,-46,-6,7690
783,Greninja,-9,-12,-37,33,-31,19,4005
784,Greninja (Ash-Greninja),-9,38,-37,83,-31,29,11585
785,Bunnelby,-43,-71,-66,-38,-66,-46,19162
786,Diggersby,4,-51,-27,-20,-25,-25,4996
787,Fletchling,-36,-57,-61,-30,-64,-41,14943
788,Fletchinder,-19,-34,-49,-14,-50,-19,6975
789,Talonflame,-3,-26,-33,4,-33,23,3408
790,Scatterbug,-43,-72,-64,-43,-77,-68,23531
791,Spewpa,-36,-85,-44,-43,-72,-74,22966
792,Vivillon,-1,-55,-54,20,-52,-14,9242
793,Litleo,-19,-57,-46,3,-48,-31,9000
794,Pyroar,5,-39,-32,39,-36,3,5396
795,Flabébé,-37,-69,-65,-9,-23,-61,14686
796,Floette,-27,-62,-57,5,-4,-51,10464
797,Florges,-3,-42,-36,42,52,-28,8321
798,Skiddo,-15,-42,-56,-8,-45,-51,9815
799,Gogoat,42,-7,-42,27,-21,-35,5972
800,Pancham,-14,-25,-42,-24,-54,-60,9677
801,Pangoro,14,17,-26,-1,-31,-45,4148
802,Furfrou,-6,-27,-44,-5,-12,-1,2871
803,Espurr,-19,-59,-50,-7,-42,-35,9380
804,Meowstic,-7,-59,-28,13,-21,1,4925
805,Honedge,-36,-27,-4,-35,-65,-75,13116
806,Doublade,-22,3,46,-25,-53,-68,10667
807,Aegislash (Shield Forme),-21,-57,36,-20,38,-43,8679
808,Aegislash (Blade Forme),-21,33,-54,70,-52,-43,13899
809,Spritzee,-3,-55,-44,-7,-37,-80,12788
810,Aromatisse,20,-35,-32,29,-13,-74,9135
811,Swirlix,-19,-59,-38,-11,-45,-54,10348
812,Slurpuff,1,-27,-18,15,-27,-31,2969
813,Inkay,-28,-53,-51,-33,-56,-58,13783
814,Malamar,5,-15,-16,-2,-27,-30,2139
815,Binacle,-39,-55,-37,-31,-46,-53,11801
816,Barbaracle,-9,-2,11,-16,-16,-35,1943
817,Skrelp,-31,-47,-44,-10,-42,-73,12299
818,Dragalge,-16,-32,-14,27,21,-59,6127
819,Clauncher,-31,-54,-42,-12,-39,-59,10787
820,Clawitzer,-10,-34,-16,50,-13,-44,6117
821,Helioptile,-37,-69,-71,-9,-59,-33,15822
822,Heliolisk,-19,-52,-52,39,-8,6,7390
823,Tyrunt,-23,-18,-27,-25,-57,-55,8481
824,Tyrantrum,1,14,15,-1,-43,-32,3296
825,Amaura,-4,-48,-54,-3,-39,-57,10015
826,Aurorus,42,-30,-32,29,-10,-45,6654
827,Sylveon,14,-42,-39,40,28,-43,7714
828,Hawlucha,-3,-15,-29,4,-39,15,2837
829,Dedenne,-14,-49,-47,11,-35,-2,6156
830,Carbink,-31,-57,46,-20,48,-53,11839
831,Goomy,-36,-57,-69,-15,-27,-63,14229
832,Sliggoo,-13,-32,-51,13,11,-43,5933
833,Sliggoo (Hisuian Sliggoo),-23,-32,-21,13,11,-63,6253
834,Goodra,9,-7,-34,40,48,-23,5719
835,Goodra (Hisuian Goodra),-1,-7,-4,40,48,-43,5819
836,Klefki,-24,-27,-13,10,-15,-28,2583
837,Phantump,-38,-37,-56,-20,-42,-65,12338
838,Trevenant,4,3,-28,-5,-20,-47,3443
839,Pumpkaboo (Small Size),-37,-41,-34,-26,-47,-47,9300
840,Pumpkaboo (Average Size),-32,-41,-34,-26,-47,-52,9450
841,Pumpkaboo (Large Size),-27,-41,-34,-26,-47,-57,9700
842,Pumpkaboo (Super Size),-22,-41,-34,-26,-47,-62,10050
843,Gourgeist (Small Size),-26,-22,18,-12,-27,-4,2373
844,Gourgeist (Average Size),-16,-17,18,-12,-27,-19,2103
845,Gourgeist (Large Size),-6,-12,18,-12,-27,-34,2533
846,Gourgeist (Super Size),4,-7,18,-12,-27,-49,3663
847,Bergmite,-26,-38,-19,-38,-67,-75,14039
848,Avalugg,14,10,80,-26,-56,-75,16133
849,Avalugg (Hisuian Avalugg),14,20,80,-36,-66,-65,16873
850,Noibat,-41,-77,-69,-25,-62,-48,19144
851,Noivern,4,-37,-24,27,-22,20,3574
852,Xerneas,45,24,-9,61,-4,-4,6435
853,Yveltal,45,24,-9,61,-4,-4,6435
854,Zygarde (50% Forme),27,-7,17,11,-7,-8,1301
855,Zygarde (10% Forme),-27,-7,-33,-9,-17,12,2381
856,Zygarde (Complete Forme),135,-7,17,21,-7,-18,19377
857,Diancie,-31,-7,46,30,48,-53,9139
858,Diancie (Mega Diancie),-31,53,6,90,8,7,12019
859,Hoopa (Hoopa Confined),-1,3,-44,80,28,-33,10219
860,Hoopa (Hoopa Unbound),-1,53,-44,100,28,-23,16059
861,Volcanion,-1,3,16,60,-12,-33,5099
862,Rowlet,-13,-52,-49,-20,-52,-61,12099
863,Dartrix,-3,-32,-29,0,-32,-51,5499
864,Decidueye,-3,0,-29,30,-2,-33,2843
865,Decidueye (Hisuian Decidueye),7,5,-24,25,-7,-43,3173
866,Litten,-36,-42,-64,-10,-62,-33,12189
867,Torracat,-16,-22,-54,10,-52,-13,6629
868,Incineroar,14,8,-14,10,-12,-43,2549
869,Popplio,-31,-53,-50,-4,-46,-63,12371
870,Brionne,-21,-38,-35,21,-21,-53,6801
871,Primarina,-1,-33,-30,56,14,-43,7171
872,Pikipek,-46,-32,-74,-40,-72,-38,16844
873,Trumbeak,-26,-22,-54,-30,-52,-28,8464
874,Toucannon,-1,13,-29,5,-27,-43,3614
875,Yungoos,-33,-37,-74,-40,-72,-58,18082
876,Gumshoos,7,3,-44,-15,-42,-58,7347
877,Grubbin,-34,-45,-59,-15,-57,-57,13385
878,Charjabug,-24,-25,-9,-15,-27,-67,6725
879,Vikavolt,-4,-37,-14,75,-27,-60,11535
880,Crabrawler,-34,-25,-47,-28,-55,-40,9399
881,Crabominable,16,25,-27,-8,-35,-60,6499
882,Oricorio,-6,-37,-34,28,-32,-10,4469
883,Cutiefly,-41,-62,-64,-15,-62,-19,14051
884,Ribombee,-21,-52,-44,25,-32,21,7171
885,Rockruff,-36,-42,-64,-40,-62,-43,14449
886,Lycanroc (Midday Form),-6,8,-39,-15,-37,9,3296
887,Lycanroc (Midnight Form),4,8,-29,-15,-27,-21,2316
888,Lycanroc (Dusk Form),-6,10,-39,-15,-37,7,3300
889,Wishiwashi (Solo Form),-36,-87,-84,-45,-77,-63,27844
890,Wishiwashi (School Form),-36,33,26,70,33,-73,14379
891,Mareanie,-31,-54,-42,-27,-50,-58,12234
892,Toxapex,-31,-44,48,-17,40,-68,11714
893,Mudbray,-11,-7,-34,-25,-47,-58,7524
894,Mudsdale,19,18,-4,-15,-17,-68,5839
895,Dewpider,-43,-67,-52,-30,-30,-76,16618
896,Araquanid,-13,-37,-12,-20,30,-61,6703
897,Fomantis,-41,-52,-69,-20,-67,-68,18659
898,Lurantis,-11,-2,-14,10,-12,-58,3929
899,Morelull,-41,-72,-49,-5,-27,-88,17764
900,Shiinotic,-21,-62,-24,20,-2,-73,10594
901,Salandit,-33,-63,-64,1,-62,-26,13675
902,Salazzle,-13,-43,-44,41,-42,14,7595
903,Stufful,-11,-32,-54,-25,-52,-53,10199
904,Bewear,39,18,-24,-15,-42,-43,6259
905,Bounsweet,-39,-77,-66,-40,-64,-71,22543
906,Steenee,-29,-67,-56,-30,-54,-41,13963
907,Tsareena,-9,13,-6,-20,-4,-31,1663
908,Comfey,-30,-55,-14,12,8,-3,4338
909,Oranguru,9,-47,-24,20,8,-43,5179
910,Passimian,19,13,-14,-30,-42,-23,3919
911,Wimpod,-56,-72,-64,-50,-72,-23,20629
912,Golisopod,-6,18,36,-10,-12,-63,5869
913,Sandygast,-26,-52,-24,0,-57,-88,14949
914,Palossand,4,-32,6,30,-27,-68,7329
915,Pyukumuku,-26,-47,26,-40,28,-98,15549
916,Type: Null,14,-12,-9,25,-7,-44,3031
917,Silvally,14,-12,-9,25,-7,-8,1159
918,Minior (Meteor Form),-21,-47,-4,-10,-2,-43,4619
919,Minior (Core),-21,-7,-44,30,-42,17,5379
920,Komala,-16,8,-39,5,-7,-38,3359
921,Turtonator,-21,-29,31,21,-17,-67,7462
922,Togedemaru,-16,-9,-41,-30,-29,-7,3808
923,Mimikyu,-26,-17,-24,-20,3,-7,1999
924,Bruxish,-13,-2,-34,0,-32,-11,2474
925,Drampa,-3,-47,-19,65,-11,-67,11414
926,Dhelmise,-11,24,-4,16,-12,-63,5082
927,Jangmo-o,-36,-52,-39,-25,-57,-58,12759
928,Hakamo-o,-26,-32,-14,-5,-32,-38,4389
929,Kommo-o,-6,3,21,30,3,-18,1719
930,Tapu Koko,-11,8,-19,25,-27,27,2629
931,Tapu Lele,-11,-22,-29,60,13,-8,5279
932,Tapu Bulu,-11,23,11,15,-7,-28,1829
933,Tapu Fini,-11,-32,11,25,28,-18,2999
934,Cosmog,-38,-78,-73,-41,-71,-66,23935
935,Cosmoem,-38,-78,27,-41,29,-66,15135
936,Solgaleo,56,30,3,43,-13,-6,6099
937,Lunala,56,6,-15,67,5,-6,7947
938,Nihilego,28,-54,-57,57,29,0,11039
939,Buzzwole,26,32,35,-17,-49,-24,6191
940,Pheromosa,-10,30,-67,67,-65,48,16507
941,Xurkitree,2,-18,-33,103,-31,-20,13387
942,Celesteela,16,-6,-1,37,-1,-42,3427
943,Kartana,-22,74,27,-11,-71,6,11887
944,Guzzlord,142,-6,-51,27,-49,-60,29531
945,Necrozma,16,0,-3,57,-13,-24,4259
946,Necrozma (Dusk Mane Necrozma),16,50,23,43,7,-26,5859
947,Necrozma (Dawn Wings Necrozma),16,6,5,87,25,-26,9187
948,Necrozma (Ultra Necrozma),16,60,-7,97,-5,26,14015
949,Magearna,-1,-12,11,60,13,-38,5479
950,Marshadow,9,18,-24,20,-12,22,2009
951,Poipole,-14,-34,-37,3,-35,-30,4855
952,Naganadel,-8,-34,-31,57,-29,18,6595
953,Stakataka,-20,24,107,-17,-1,-90,20815
954,Blacephalon,-28,20,-51,81,-23,4,10891
955,Zeraora,7,5,-29,32,-22,40,4023
956,Meltan,-35,-42,-39,-15,-67,-69,13985
957,Melmetal,54,36,39,10,-37,-69,11963
958,Grookey,-31,-42,-54,-30,-62,-38,11829
959,Thwackey,-11,-22,-34,-15,-42,-23,4279
