Charles Myersberg vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
499,Cranidos,-6,28,-20,-30,-45,-24,4721
500,Rampardos,24,68,0,5,-25,-24,6426
501,Shieldon,-43,-55,58,-18,13,-52,11435
502,Bastiodon,-13,-45,108,-13,63,-52,20700
503,Burmy,-33,-68,-15,-31,-30,-46,9915
504,Wormadam (Plant Cloak),-13,-38,25,19,30,-46,5615
505,Wormadam (Sandy Cloak),-13,-18,45,-1,10,-46,4735
506,Wormadam (Trash Cloak),-13,-28,35,9,20,-46,4775
507,Mothim,-3,-3,-10,34,-25,-16,2155
508,Combee,-43,-67,-18,-30,-33,-12,8795
509,Vespiquen,-3,-17,42,20,27,-42,4955
510,Pachirisu,-13,-52,10,-15,15,13,3592
511,Buizel,-18,-32,-25,0,-45,3,4007
512,Floatzel,12,8,-5,25,-25,33,2572
513,Cherubi,-28,-62,-15,2,-22,-47,7550
514,Cherrim,-3,-37,10,27,3,3,2225
515,Shellos,3,-49,-12,-3,-13,-48,5036
516,Gastrodon,38,-14,8,32,7,-43,4626
517,Ambipom,2,3,6,0,-9,33,1219
518,Drifloon,17,-47,-26,0,-31,-12,4279
519,Drifblim,77,-17,-16,30,-21,-2,7819
520,Buneary,-18,-31,-16,-16,-19,3,2167
521,Lopunny,-8,-21,24,-6,21,23,2087
522,Lopunny (Mega Lopunny),-8,39,34,-6,21,53,6027
523,Mismagius,-13,-37,0,45,30,23,4992
524,Honchkrow,27,28,-8,45,-23,-11,4252
525,Glameow,-24,-42,-18,-18,-38,3,4441
526,Purugly,-2,-15,4,4,-16,30,1417
527,Chingling,-28,-67,-10,5,-25,-37,7392
528,Stunky,-10,-34,-13,-19,-34,-8,3006
529,Skuntank,30,-4,7,11,-14,2,1286
530,Bronzor,-16,-73,26,-36,11,-59,11159
531,Bronzong,-6,-8,56,19,41,-49,7679
532,Bonsly,-23,-17,35,-50,-30,-72,10627
533,Mime Jr.,-53,-72,-15,10,15,-22,9027
534,Happiny,27,-92,-55,-45,-10,-52,17047
535,Chatot,3,-32,-15,32,-33,9,3452
536,Spiritomb,-23,-5,48,32,33,-47,7180
537,Gible,-15,-27,-15,-20,-30,-40,4079
538,Gabite,-5,-7,5,-10,-20,0,599
539,Garchomp,35,33,35,20,10,20,4439
540,Garchomp (Mega Garchomp),35,73,55,60,20,10,13679
541,Munchlax,62,-12,-20,-20,10,-77,10817
542,Riolu,-33,-27,-20,-25,-35,-22,4552
543,Lucario,-3,13,10,55,-5,8,3392
544,Lucario (Mega Lucario),-3,48,28,80,-5,30,10422
545,Hippopotas,-5,-25,18,-22,-33,-50,5047
546,Hippowdon,35,15,58,8,-3,-35,6112
547,Skorupi,-33,-47,30,-30,-20,-17,5787
548,Drapion,-3,-7,50,0,0,13,2727
549,Croagunk,-25,-36,-20,1,-35,-32,4571
550,Toxicroak,10,9,5,26,-10,3,991
551,Carnivine,1,3,12,30,-3,-36,2359
552,Finneon,-24,-48,-4,-11,-14,-16,3469
553,Lumineon,-4,-28,16,9,11,9,1339
554,Mantyke,-28,-77,-10,0,45,-32,9862
555,Snover,-13,-35,-10,2,-15,-42,3487
556,Abomasnow,17,-5,15,32,10,-22,2147
557,Abomasnow (Mega Abomasnow),17,35,45,72,30,-52,12327
558,Weavile,-3,23,5,-15,10,43,2737
559,Magnezone,-3,-27,55,70,15,-22,9372
560,Lickilicky,37,-12,35,20,20,-32,4562
561,Rhyperior,42,43,70,-5,-20,-42,10702
562,Tangrowth,27,3,65,50,-25,-32,9112
563,Electivire,2,26,7,35,10,13,2223
564,Magmortar,2,-2,7,65,20,1,4683
565,Togekiss,12,-47,35,60,40,-2,8782
566,Yanmega,13,-21,26,56,-19,13,4952
567,Leafeon,-8,13,70,0,-10,13,5402
568,Glaceon,-8,-37,50,70,20,-17,9522
569,Gliscor,2,-2,65,-15,0,13,4627
570,Mamoswine,37,33,20,10,-15,-2,3187
571,Porygon-Z,12,-17,10,75,0,8,6222
572,Gallade,-5,28,5,5,40,-2,2463
573,Gallade (Mega Gallade),-5,68,35,5,40,28,8283
574,Probopass,-13,-42,85,15,75,-42,16772
575,Dusknoir,-28,3,75,5,60,-37,11412
576,Froslass,-3,-17,10,20,-5,28,1607
577,Rotom,-23,-47,17,35,2,9,4337
578,Rotom (Heat Rotom),-23,-32,47,45,32,4,6827
579,Rotom (Wash Rotom),-23,-32,47,45,32,4,6827
580,Rotom (Frost Rotom),-23,-32,47,45,32,4,6827
581,Rotom (Fan Rotom),-23,-32,47,45,32,4,6827
582,Rotom (Mow Rotom),-23,-32,47,45,32,4,6827
583,Uxie,2,-22,70,15,55,13,8807
584,Mesprit,7,8,45,45,30,-2,5067
585,Azelf,2,28,10,65,-5,33,6227
586,Dialga,27,23,60,90,25,8,13647
587,Dialga (Origin Forme),27,3,60,90,45,8,14527
588,Palkia,17,23,40,90,45,18,12867
589,Palkia (Origin Forme),17,3,40,90,45,38,13467
590,Heatran,18,-7,46,70,31,-5,8375
591,Regigigas,37,63,50,20,35,18,9787
592,Giratina (Altered Forme),77,3,60,40,45,8,13227
593,Giratina (Origin Forme),77,23,40,60,25,8,12347
594,Cresselia,47,-27,60,15,55,3,9797
595,Phione,7,-17,20,20,5,-2,1167
596,Manaphy,27,3,40,40,25,18,4887
597,Darkrai,-3,-7,30,75,15,43,8657
598,Shaymin (Land Forme),27,3,40,40,25,18,4887
599,Shaymin (Sky Forme),27,6,15,60,0,45,6615
600,Arceus,47,23,60,60,45,38,13407
601,Victini,27,3,40,40,25,18,4887
602,Snivy,-28,-52,-5,-15,-20,-19,4499
603,Servine,-13,-37,15,0,0,1,1764
604,Serperior,2,-22,35,15,20,31,3299
605,Tepig,-8,-34,-15,-15,-30,-37,3939
606,Pignite,17,-4,-5,10,-20,-27,1559
607,Emboar,37,26,5,40,-10,-17,4059
608,Oshawott,-18,-42,-15,3,-30,-37,4591
609,Dewott,2,-22,0,23,-15,-22,1726
610,Samurott,22,3,25,48,-5,-12,3591
611,Samurott (Hisuian Samurott),17,11,20,40,-10,3,2519
612,Patrat,-28,-42,-21,-25,-36,-40,6510
613,Watchog,-13,-12,9,0,-6,-5,455
614,Lillipup,-28,-37,-15,-35,-30,-27,5232
615,Herdier,-8,-17,5,-25,-10,-22,1587
616,Stoutland,12,13,30,-15,15,-2,1667
617,Purrloin,-32,-47,-23,-10,-38,-16,5562
618,Liepard,-9,-9,-10,28,-25,24,2247
619,Pansage,-23,-44,-12,-7,-27,-18,3711
620,Simisage,2,1,3,38,-12,19,1963
621,Pansear,-23,-44,-12,-7,-27,-18,3711
622,Simisear,2,1,3,38,-12,19,1963
623,Panpour,-23,-44,-12,-7,-27,-18,3711
624,Simipour,2,1,3,38,-12,19,1963
625,Munna,3,-72,-15,7,-20,-58,9231
626,Musharna,43,-42,25,47,20,-53,9656
627,Pidove,-23,-42,-10,-24,-45,-39,6515
628,Tranquill,-11,-20,2,-10,-33,-17,2003
629,Unfezant,7,18,20,5,-20,11,1319
630,Blitzle,-28,-37,-28,-10,-43,-6,4922
631,Zebstrika,2,3,3,20,-12,34,1722
632,Roggenrola,-18,-22,25,-35,-50,-67,9647
633,Boldore,-3,8,45,-10,-35,-62,7267
634,Gigalith,12,38,70,0,5,-57,9762
635,Woobat,-8,-52,-17,-5,-32,-10,4206
636,Swoobat,-6,-40,-5,17,-20,32,3374
637,Drilbur,-13,-12,-20,-30,-30,-14,2709
638,Excadrill,37,38,0,-10,-10,6,3049
639,Audino,30,-37,26,0,11,-32,4090
640,Audino (Mega Audino),30,-37,66,20,51,-32,10650
641,Timburr,2,-17,-5,-35,-40,-47,5352
642,Gurdurr,12,8,25,-20,-25,-42,3622
643,Conkeldurr,32,43,35,-5,-10,-37,5592
644,Tympole,-23,-47,-20,-10,-35,-18,4787
645,Palpitoad,2,-32,-5,5,-20,-13,1647
646,Seismitoad,32,-2,15,25,0,-8,1942
647,Throh,47,3,25,-30,10,-37,5212
648,Sawk,2,28,15,-30,0,3,1922
649,Sewaddle,-28,-44,10,-20,-15,-40,5045
650,Swadloon,-18,-34,30,-10,5,-40,4105
651,Leavanny,2,6,20,10,5,10,665
652,Venipede,-43,-52,-1,-30,-36,-25,7375
653,Whirlipede,-33,-42,39,-20,4,-35,6015
654,Scolipede,-13,3,29,-5,-6,30,1980
655,Cottonee,-33,-70,0,-23,-25,-16,7399
656,Whimsicott,-13,-30,25,17,0,34,3139
657,Petilil,-28,-62,-10,10,-25,-52,8157
658,Lilligant,-3,-37,15,50,0,8,4167
659,Lilligant (Hisuian Lilligant),-3,8,15,-10,0,23,927
660,Basculin,-3,-5,5,20,-20,16,1115
661,Sandile,-23,-25,-25,-25,-40,-17,4293
662,Krokorok,-13,-15,-15,-15,-30,-8,1808
663,Krookodile,22,20,20,5,-5,10,1434
664,Darumaka,-3,-7,-15,-45,-30,-32,4232
665,Darumaka (Galarian Darumaka),-3,-7,-15,-45,-30,-32,4232
666,Darmanitan (Standard Mode),32,43,-5,-30,-20,13,4367
667,Darmanitan (Zen Mode),32,-67,45,80,30,-27,15567
668,Darmanitan (Galarian Standard Mode),32,43,-5,-30,-20,13,4367
669,Darmanitan (Galarian Zen Mode),32,63,-5,-30,-20,53,9127
670,Maractus,2,-11,7,46,-8,-22,2838
671,Dwebble,-23,-32,25,-25,-40,-27,5132
672,Crustle,-3,8,65,5,0,-37,5692
673,Scraggy,-23,-22,10,-25,-5,-34,2919
674,Scrafty,-8,-7,55,-15,40,-24,5539
675,Sigilyph,-1,-39,20,43,5,15,4021
676,Yamask,-35,-67,25,-5,-10,-52,9168
677,Yamask (Galarian Yamask),-35,-42,25,-30,-10,-52,7318
678,Cofagrigus,-15,-47,85,35,30,-52,14488
679,Tirtouga,-19,-19,43,-7,-30,-60,7120
680,Carracosta,1,11,73,23,-10,-50,8580
681,Archen,-18,15,-15,14,-30,-12,2014
682,Archeops,2,43,5,52,-10,28,5466
683,Trubbish,-23,-47,2,-20,-13,-17,3600
684,Garbodor,7,-2,22,0,7,-7,635
685,Zorua,-33,-32,-20,20,-35,-17,4427
686,Zorua (Hisuian Zorua),-38,-37,-20,25,-35,-12,5207
687,Zoroark,-13,8,0,60,-15,23,4587
688,Zoroark (Hisuian Zoroark),-18,3,0,65,-15,28,5567
689,Minccino,-18,-47,-20,-20,-35,-7,4607
690,Cinccino,2,-2,0,5,-15,33,1347
691,Gothita,-28,-67,-10,-5,-10,-37,6867
692,Gothorita,-13,-52,10,15,10,-27,4027
693,Gothitelle,-3,-42,35,35,35,-17,5737
694,Solosis,-28,-67,-20,45,-25,-62,12167
695,Duosion,-8,-57,-10,65,-15,-52,10567
696,Reuniclus,37,-32,15,65,10,-52,9647
697,Ducklett,-11,-53,-10,-16,-25,-27,4640
698,Swanna,2,-10,3,27,-12,16,1242
699,Vanillite,-37,-47,-10,5,-15,-38,5372
700,Vanillish,-22,-32,5,20,0,-23,2462
701,Vanilluxe,-2,-2,25,50,20,-3,3542
702,Deerling,-13,-37,-10,-20,-25,-7,2712
703,Sawsbuck,7,3,10,0,-5,13,352
704,Emolga,-18,-22,0,15,-15,21,1699
705,Karrablast,-23,-22,-15,-20,-30,-22,3022
706,Escavalier,-3,38,45,0,30,-62,8222
707,Foongus,-4,-42,-15,-5,-20,-67,6919
708,Amoonguss,41,-12,10,25,5,-52,5279
709,Frillish,-18,-57,-10,5,10,-42,5562
710,Jellicent,27,-37,10,25,30,-22,4207
711,Alomomola,92,-22,20,-20,-30,-17,10937
712,Joltik,-23,-50,-10,-3,-25,-17,4052
713,Galvantula,-3,-20,0,37,-15,26,2679
714,Ferroseed,-29,-47,31,-36,11,-72,10612
715,Ferrothorn,1,-3,71,-6,41,-62,10612
716,Klink,-33,-42,10,-15,-15,-52,6107
717,Klang,-13,-17,35,10,10,-32,2907
718,Klinklang,-13,3,55,10,10,8,3467
719,Tynamo,-38,-42,-20,-15,-35,-22,5542
720,Eelektrik,-8,-12,10,15,-5,-42,2322
721,Eelektross,12,18,20,45,5,-32,3942
722,Elgyem,-18,-42,-5,25,-20,-52,5842
723,Beheeyem,2,-22,15,65,20,-42,7102
724,Litwick,-23,-67,-5,5,-20,-62,9312
725,Lampent,-13,-57,0,35,-15,-27,5597
726,Chandelure,-13,-42,30,85,15,-2,10287
727,Axew,-27,-10,0,-30,-35,-25,3579
728,Fraxure,-7,20,10,-20,-25,-15,1799
729,Haxorus,3,50,30,0,-5,15,3659
730,Cubchoo,-18,-27,-20,0,-35,-42,4442
731,Beartic,22,33,20,10,5,-32,3122
732,Cryogonal,7,-47,-10,35,60,23,7712
733,Shelmet,-23,-57,25,-20,-10,-57,8152
734,Accelgor,7,-27,-20,40,-15,63,6972
735,Stunfisk,36,-31,24,21,24,-50,6350
736,Stunfisk (Galarian Stunfisk),36,-16,39,6,9,-50,5690
737,Mienfoo,-28,-12,-10,-5,-25,-17,1967
738,Mienshao,-8,28,0,35,-15,23,2827
739,Druddigon,4,23,30,0,15,-34,2826
740,Golett,-14,-23,-10,-25,-25,-47,4284
741,Golurk,16,27,20,-5,5,-27,2164
742,Pawniard,-28,-12,10,-20,-35,-22,3137
743,Bisharp,-8,28,40,0,-5,-12,2617
744,Bouffalant,22,13,35,-20,20,-27,3407
745,Rufflet,-3,-14,-10,-23,-25,-22,1943
746,Braviary,27,26,15,-3,0,-2,1643
747,Braviary (Hisuian Braviary),37,-14,10,52,-5,-17,4683
748,Vullaby,-3,-42,15,-15,-10,-22,2807
749,Mandibuzz,37,-32,45,-5,20,-2,4847
750,Heatmor,12,0,6,45,-9,-17,2575
751,Durant,-15,12,52,-12,-27,27,4675
752,Deino,-21,-32,-10,-15,-25,-44,4351
753,Zweilous,-1,-12,10,5,-5,-24,871
754,Hydreigon,19,8,30,65,15,16,6031
755,Larvesta,-18,-12,-5,-10,-20,-22,1477
756,Volcarona,12,-37,5,75,30,18,8387
757,Cobalion,18,-7,69,30,-3,26,6719
758,Terrakion,18,32,30,12,15,26,3293
759,Virizion,18,-7,12,30,54,26,5009
760,Tornadus (Incarnate Forme),6,18,10,65,5,29,5551
761,Tornadus (Therian Forme),6,3,20,50,15,39,4691
762,Thundurus (Incarnate Forme),6,18,10,65,5,29,5551
763,Thundurus (Therian Forme),6,8,10,85,5,19,7811
764,Reshiram,27,23,40,90,45,8,13047
765,Zekrom,27,53,60,60,25,8,11427
766,Landorus (Incarnate Forme),16,28,30,55,5,19,5351
767,Landorus (Therian Forme),16,48,30,45,5,9,5591
768,Kyurem,52,33,30,70,15,13,9987
769,Kyurem (Black Kyurem),52,73,40,60,15,13,13627
770,Kyurem (White Kyurem),52,23,30,110,25,13,17027
771,Keldeo,18,-25,30,69,15,26,7511
772,Meloetta (Aria Forme),27,-20,17,68,53,8,8915
773,Meloetta (Pirouette Forme),27,31,30,17,2,46,4999
774,Genesect,-2,23,35,60,20,17,6047
775,Chespin,-17,-36,5,-12,-30,-44,4590
776,Quilladin,-12,-19,35,-4,-17,-25,2660
777,Chesnaught,15,10,62,14,0,-18,4689
778,Fennekin,-33,-52,-20,2,-15,-22,4906
779,Braixen,-14,-38,-2,30,-5,-9,2650
780,Delphox,2,-28,12,54,25,22,4957
781,Froakie,-32,-41,-20,2,-31,-11,4191
782,Frogadier,-19,-34,-8,23,-19,15,2696
783,Greninja,-1,-2,7,43,-4,40,3519
784,Greninja (Ash-Greninja),-1,48,7,93,-4,50,13519
785,Bunnelby,-35,-61,-22,-28,-39,-25,8360
786,Diggersby,12,-41,17,-10,2,-4,2234
787,Fletchling,-28,-47,-17,-20,-37,-20,5451
788,Fletchinder,-11,-24,-5,-4,-23,2,1271
789,Talonflame,5,-16,11,14,-6,44,2570
790,Scatterbug,-35,-62,-20,-33,-50,-47,11267
791,Spewpa,-28,-75,0,-33,-45,-53,12332
792,Vivillon,7,-45,-10,30,-25,7,3748
793,Litleo,-11,-47,-2,13,-21,-10,3044
794,Pyroar,13,-29,12,49,-9,24,4212
795,Flabébé,-29,-59,-21,1,4,-40,6380
796,Floette,-19,-52,-13,15,23,-30,4888
797,Florges,5,-32,8,52,79,-7,10107
798,Skiddo,-7,-32,-12,2,-18,-30,2445
799,Gogoat,50,3,2,37,6,-14,4114
800,Pancham,-6,-15,2,-14,-27,-39,2711
801,Pangoro,22,27,18,9,-4,-24,2210
802,Furfrou,2,-17,0,5,15,20,943
803,Espurr,-11,-49,-6,3,-15,-14,2988
804,Meowstic,1,-49,16,23,6,22,3707
805,Honedge,-28,-17,40,-25,-38,-54,7658
806,Doublade,-14,13,90,-15,-26,-47,11575
807,Aegislash (Shield Forme),-13,-47,80,-10,65,-22,13587
808,Aegislash (Blade Forme),-13,43,-10,80,-25,-22,9627
809,Spritzee,5,-45,0,3,-10,-59,5640
810,Aromatisse,28,-25,12,39,14,-53,6079
811,Swirlix,-11,-49,6,-1,-18,-33,3972
812,Slurpuff,9,-17,26,25,0,-10,1771
813,Inkay,-20,-43,-7,-23,-29,-37,5037
814,Malamar,13,-5,28,8,0,-9,1123
815,Binacle,-31,-45,7,-21,-19,-32,4861
816,Barbaracle,-1,8,55,-6,11,-14,3443
817,Skrelp,-23,-37,0,0,-15,-52,4827
818,Dragalge,-8,-22,30,37,48,-38,6565
819,Clauncher,-23,-44,2,-2,-12,-38,4061
820,Clawitzer,-2,-24,28,60,14,-23,5689
821,Helioptile,-29,-59,-27,1,-32,-12,6220
822,Heliolisk,-11,-42,-8,49,19,27,5440
823,Tyrunt,-15,-8,17,-15,-30,-34,2859
824,Tyrantrum,9,24,59,9,-16,-11,4596
825,Amaura,4,-38,-10,7,-12,-36,3049
826,Aurorus,50,-20,12,39,17,-24,5430
827,Sylveon,22,-32,5,50,55,-22,7542
828,Hawlucha,5,-5,15,14,-12,36,1911
829,Dedenne,-6,-39,-3,21,-8,19,2432
830,Carbink,-23,-47,90,-10,75,-32,17587
831,Goomy,-28,-47,-25,-5,0,-42,5407
832,Sliggoo,-5,-22,-7,23,38,-22,3015
833,Sliggoo (Hisuian Sliggoo),-15,-22,23,23,38,-42,4975
834,Goodra,17,3,10,50,75,-2,8527
835,Goodra (Hisuian Goodra),7,3,40,50,75,-22,10267
836,Klefki,-16,-17,31,20,12,-7,2099
837,Phantump,-30,-27,-12,-10,-15,-44,4034
838,Trevenant,12,13,16,5,7,-26,1319
839,Pumpkaboo (Small Size),-29,-31,10,-16,-20,-26,3234
840,Pumpkaboo (Average Size),-24,-31,10,-16,-20,-31,3254
841,Pumpkaboo (Large Size),-19,-31,10,-16,-20,-36,3374
842,Pumpkaboo (Super Size),-14,-31,10,-16,-20,-41,3594
843,Gourgeist (Small Size),-18,-12,62,-2,0,17,4605
844,Gourgeist (Average Size),-8,-7,62,-2,0,2,3965
845,Gourgeist (Large Size),2,-2,62,-2,0,-13,4025
846,Gourgeist (Super Size),12,3,62,-2,0,-28,4785
847,Bergmite,-18,-28,25,-28,-40,-54,7033
848,Avalugg,22,20,124,-16,-29,-54,20273
849,Avalugg (Hisuian Avalugg),22,30,124,-26,-39,-44,20893
850,Noibat,-33,-67,-25,-15,-35,-27,8382
851,Noivern,12,-27,20,37,5,41,4348
852,Xerneas,53,34,35,71,23,17,11049
853,Yveltal,53,34,35,71,23,17,11049
854,Zygarde (50% Forme),35,3,61,21,20,13,5965
855,Zygarde (10% Forme),-19,3,11,1,10,33,1681
856,Zygarde (Complete Forme),143,3,61,31,20,3,25549
857,Diancie,-23,3,90,40,75,-32,16887
858,Diancie (Mega Diancie),-23,63,50,100,35,28,19007
859,Hoopa (Hoopa Confined),7,13,0,90,55,-12,11487
860,Hoopa (Hoopa Unbound),7,63,0,110,55,-2,19147
861,Volcanion,7,13,60,70,15,-12,9087
862,Rowlet,-5,-42,-5,-10,-25,-40,4139
863,Dartrix,5,-22,15,10,-5,-30,1759
864,Decidueye,5,10,15,40,25,-12,2719
865,Decidueye (Hisuian Decidueye),15,15,20,35,20,-22,2959
866,Litten,-28,-32,-20,0,-35,-12,3577
867,Torracat,-8,-12,-10,20,-25,8,1397
868,Incineroar,22,18,30,20,15,-22,2817
869,Popplio,-23,-43,-6,6,-19,-42,4575
870,Brionne,-13,-28,9,31,6,-32,3055
871,Primarina,7,-23,14,66,41,-22,7295
872,Pikipek,-38,-22,-30,-30,-45,-17,6042
873,Trumbeak,-18,-12,-10,-20,-25,-7,1642
874,Toucannon,7,23,15,15,0,-22,1512
875,Yungoos,-25,-27,-30,-30,-45,-37,6548
876,Gumshoos,15,13,0,-5,-15,-37,2013
877,Grubbin,-26,-35,-15,-5,-30,-36,4347
878,Charjabug,-16,-15,35,-5,0,-46,3847
879,Vikavolt,4,-27,30,85,0,-39,10391
880,Crabrawler,-26,-15,-3,-18,-28,-19,2379
881,Crabominable,24,35,17,2,-8,-39,3679
882,Oricorio,2,-27,10,38,-5,11,2423
883,Cutiefly,-33,-52,-20,-5,-35,2,5447
884,Ribombee,-13,-42,0,35,-5,42,4947
885,Rockruff,-28,-32,-20,-30,-35,-22,4817
886,Lycanroc (Midday Form),2,18,5,-5,-10,30,1378
887,Lycanroc (Midnight Form),12,18,15,-5,0,0,718
888,Lycanroc (Dusk Form),2,20,5,-5,-10,28,1338
889,Wishiwashi (Solo Form),-28,-77,-40,-35,-50,-42,13802
890,Wishiwashi (School Form),-28,43,70,80,60,-52,20237
891,Mareanie,-23,-44,2,-17,-23,-37,4656
892,Toxapex,-23,-34,92,-7,67,-47,16896
893,Mudbray,-3,3,10,-15,-20,-37,2112
894,Mudsdale,27,28,40,-5,10,-47,5447
895,Dewpider,-35,-57,-8,-20,-3,-55,7972
896,Araquanid,-5,-27,32,-10,57,-40,6727
897,Fomantis,-33,-42,-25,-10,-40,-47,7387
898,Lurantis,-3,8,30,20,15,-37,2967
899,Morelull,-33,-62,-5,5,0,-67,9472
900,Shiinotic,-13,-52,20,30,25,-52,7502
901,Salandit,-25,-53,-20,11,-35,-5,5205
902,Salazzle,-5,-33,0,51,-15,35,5165
903,Stufful,-3,-22,-10,-15,-25,-32,2467
904,Bewear,47,28,20,-5,-15,-22,4127
905,Bounsweet,-31,-67,-22,-30,-37,-50,10703
906,Steenee,-21,-57,-12,-20,-27,-20,5363
907,Tsareena,-1,23,38,-10,23,-10,2703
908,Comfey,-22,-45,30,22,35,18,5442
909,Oranguru,17,-37,20,30,35,-22,4667
910,Passimian,27,23,30,-20,-15,-2,2787
911,Wimpod,-48,-62,-20,-40,-45,-2,10177
912,Golisopod,2,28,80,0,15,-42,9177
913,Sandygast,-18,-42,20,10,-30,-67,7977
914,Palossand,12,-22,50,40,0,-47,6937
915,Pyukumuku,-18,-37,70,-30,55,-77,16447
916,Type: Null,22,-2,35,35,20,-23,3867
917,Silvally,22,-2,35,35,20,13,3507
918,Minior (Meteor Form),-13,-37,40,0,25,-22,4247
919,Minior (Core),-13,3,0,40,-15,38,3447
920,Komala,-8,18,5,15,20,-17,1327
921,Turtonator,-13,-19,75,31,10,-46,9332
922,Togedemaru,-8,1,3,-20,-2,14,674
923,Mimikyu,-18,-7,20,-10,30,14,1969
924,Bruxish,-5,8,10,10,-5,10,414
925,Drampa,5,-37,25,75,16,-46,10016
926,Dhelmise,-3,34,40,26,15,-42,5430
927,Jangmo-o,-28,-42,5,-15,-30,-37,5067
928,Hakamo-o,-18,-22,30,5,-5,-17,2047
929,Kommo-o,2,13,65,40,30,3,6907
930,Tapu Koko,-3,18,25,35,0,48,4487
931,Tapu Lele,-3,-12,15,70,40,13,7047
932,Tapu Bulu,-3,33,55,25,20,-7,5197
933,Tapu Fini,-3,-22,55,35,55,3,7777
934,Cosmog,-30,-68,-29,-31,-44,-45,11287
935,Cosmoem,-30,-68,71,-31,56,-45,16687
936,Solgaleo,64,40,47,53,14,15,11135
937,Lunala,64,16,29,77,32,15,12371
938,Nihilego,36,-44,-13,67,56,21,11467
939,Buzzwole,34,42,79,-7,-22,-3,9703
940,Pheromosa,-2,40,-23,77,-38,69,14267
941,Xurkitree,10,-8,11,113,-4,1,13071
942,Celesteela,24,4,43,47,26,-21,5767
943,Kartana,-14,84,71,-1,-44,27,14959
944,Guzzlord,150,4,-7,37,-22,-39,25939
945,Necrozma,24,10,41,67,14,-3,7051
946,Necrozma (Dusk Mane Necrozma),24,60,67,53,34,-5,12655
947,Necrozma (Dawn Wings Necrozma),24,16,49,97,52,-5,15371
948,Necrozma (Ultra Necrozma),24,70,37,107,22,47,20987
949,Magearna,7,-2,55,70,40,-17,9867
950,Marshadow,17,28,20,30,15,43,4447
951,Poipole,-6,-24,7,13,-8,-9,975
952,Naganadel,0,-24,13,67,-2,39,6759
953,Stakataka,-12,34,151,-7,26,-69,29587
954,Blacephalon,-20,30,-7,91,4,25,10271
955,Zeraora,15,15,15,42,5,61,6185
956,Meltan,-27,-32,5,-5,-40,-48,5707
957,Melmetal,62,46,83,20,-10,-48,15653
958,Grookey,-23,-32,-10,-20,-35,-17,3567
959,Thwackey,-3,-12,10,-5,-15,-2,507
960,Rillaboom,27,28,30,0,-5,3,2447
961,Scorbunny,-23,-26,-20,-20,-35,-13,3399
962,Raboot,-8,-11,0,-5,-15,12,579
963,Cinderace,7,19,15,5,0,37,2029
964,Sobble,-23,-57,-20,10,-35,-12,5647
965,Drizzile,-8,-37,-5,35,-20,8,3147
966,Inteleon,-3,-12,5,65,-10,38,5947
967,Skwovet,-3,-42,-5,-25,-40,-57,7272
968,Greedent,47,-2,35,-5,0,-62,7307
969,Rookidee,-35,-50,-25,-27,-40,-25,7304
970,Corvisquire,-5,-30,-5,-17,-20,-5,1664
971,Corviknight,25,-10,45,-7,10,-15,3124
972,Blipbug,-48,-77,-40,-35,-30,-37,13327
973,Dottler,-23,-62,20,-10,15,-52,7802
974,Orbeetle,-13,-52,50,20,45,8,7862
975,Nickit,-33,-69,-32,-13,-23,-32,8596
976,Thievul,-3,-39,-2,27,17,8,2616
977,Gossifleur,-33,-57,0,-20,-15,-72,10147
978,Eldegoss,-13,-47,30,20,45,-22,6187
979,Wooloo,-31,-57,-5,-20,-30,-34,6691
980,Dubwool,-1,-17,40,0,15,6,2151
981,Chewtle,-23,-33,-10,-22,-37,-38,5015
982,Drednaw,17,18,30,-12,-7,-8,1770
983,Yamper,-14,-52,-10,-20,-25,-56,7161
984,Boltund,-4,-7,0,30,-15,39,2711
985,Rolycoly,-43,-57,-10,-20,-25,-52,8927
986,Carkol,7,-37,30,0,-5,-32,3367
987,Coalossal,37,-17,60,20,15,-52,8587
988,Applin,-33,-57,20,-20,-35,-62,10207
989,Flapple,-3,13,20,35,-15,-12,2172
990,Appletun,37,-12,20,40,5,-52,6242
991,Silicobra,-21,-40,15,-25,-25,-36,4812
992,Sandaconda,-1,10,65,5,-5,-11,4497
993,Cramorant,-3,-12,-5,25,20,3,1212
994,Arrokuda,-32,-34,-20,-20,-45,-16,5261
995,Barraskewda,-12,26,0,0,-25,54,4361
996,Toxel,-33,-59,-25,-6,-40,-42,8595
997,Toxtricity,2,1,10,54,-5,-7,3095
998,Sizzlipede,-23,-32,-15,-10,-25,-37,3872
999,Centiskorch,27,18,5,30,15,-17,2492
1000,Clobbopus,-23,-29,0,-10,-25,-50,4595
1001,Grapploct,7,21,30,10,5,-40,3115
1002,Sinistea,-33,-52,-15,14,-21,-32,5679
1003,Polteageist,-13,-32,5,74,39,-12,8359
1004,Hatenna,-31,-67,-15,-4,-22,-43,8024
1005,Hattrem,-16,-57,5,26,-2,-33,5299
1006,Hatterene,-16,-7,35,76,28,-53,10899
1007,Impidimp,-28,-52,-30,-5,-35,-32,6662
1008,Morgrem,-8,-37,-15,15,-20,-12,2427
1009,Grimmsnarl,22,23,5,35,0,-22,2747
1010,Obstagoon,20,-7,41,0,6,13,2335
