Anna Brown vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
478,Turtwig,-22,-34,-33,-31,-38,-66,9490
479,Grotle,-2,-13,-12,-21,-28,-61,5263
480,Torterra,18,7,8,-1,-8,-41,2183
481,Chimchar,-33,-44,-53,-18,-49,-36,9855
482,Monferno,-13,-24,-45,2,-41,-16,4711
483,Infernape,-1,2,-26,28,-22,11,2070
484,Piplup,-24,-51,-44,-15,-37,-57,9956
485,Prinplup,-13,-36,-29,5,-17,-47,4829
486,Empoleon,7,-16,-9,35,8,-37,3044
487,Starly,-37,-47,-67,-46,-63,-37,15521
488,Staravia,-22,-27,-47,-36,-53,-17,7816
489,Staraptor,8,18,-27,-26,-33,3,2891
490,Bidoof,-18,-57,-57,-41,-53,-66,15668
491,Bibarel,2,-17,-37,-21,-33,-26,3868
492,Kricketot,-40,-77,-56,-51,-52,-72,21154
493,Kricketune,0,-17,-46,-21,-42,-32,5634
494,Shinx,-32,-37,-63,-36,-59,-52,13843
495,Luxio,-17,-17,-48,-16,-44,-37,6443
496,Luxray,3,18,-18,19,-14,-27,1943
497,Budew,-37,-72,-62,-26,-23,-42,13366
498,Roserade,-17,-32,-32,49,12,-7,4931
499,Cranidos,-10,23,-57,-46,-63,-39,11484
500,Rampardos,20,63,-37,-11,-43,-39,9229
501,Shieldon,-47,-60,21,-34,-5,-67,11920
502,Bastiodon,-17,-50,71,-29,45,-67,15185
503,Burmy,-37,-73,-52,-47,-48,-61,17636
504,Wormadam (Plant Cloak),-17,-43,-12,3,12,-61,6156
505,Wormadam (Sandy Cloak),-17,-23,8,-17,-8,-61,4956
506,Wormadam (Trash Cloak),-17,-33,-2,-7,2,-61,5156
507,Mothim,-7,-8,-47,18,-43,-31,5456
508,Combee,-47,-72,-55,-46,-51,-27,15864
509,Vespiquen,-7,-22,5,4,9,-57,3904
510,Pachirisu,-17,-57,-27,-31,-3,-2,5241
511,Buizel,-22,-37,-62,-16,-63,-12,10066
512,Floatzel,8,3,-42,9,-43,18,4091
513,Cherubi,-32,-67,-52,-14,-40,-62,13857
514,Cherrim,-7,-42,-27,11,-15,-12,3032
515,Shellos,-1,-54,-49,-19,-31,-63,10609
516,Gastrodon,34,-19,-29,16,-11,-58,6099
517,Ambipom,-2,-2,-31,-16,-27,18,2278
518,Drifloon,13,-52,-63,-16,-49,-27,10228
519,Drifblim,73,-22,-53,14,-39,-17,10628
520,Buneary,-22,-36,-53,-32,-37,-12,7126
521,Lopunny,-12,-26,-13,-22,3,8,1546
522,Lopunny (Mega Lopunny),-12,34,-3,-22,3,38,3246
523,Mismagius,-17,-42,-37,29,12,8,4471
524,Honchkrow,23,23,-45,29,-41,-26,6281
525,Glameow,-28,-47,-55,-34,-56,-12,10454
526,Purugly,-6,-20,-33,-12,-34,15,3050
527,Chingling,-32,-72,-47,-11,-43,-52,13091
528,Stunky,-14,-39,-50,-35,-52,-23,8675
529,Skuntank,26,-9,-30,-5,-32,-13,2875
530,Bronzor,-20,-78,-11,-52,-7,-74,14834
531,Bronzong,-10,-13,19,3,23,-64,5264
532,Bonsly,-27,-22,-2,-66,-48,-87,15446
533,Mime Jr.,-57,-77,-52,-6,-3,-37,13296
534,Happiny,23,-97,-92,-61,-28,-67,27396
535,Chatot,-1,-37,-52,16,-51,-6,6967
536,Spiritomb,-27,-10,11,16,15,-62,5275
537,Gible,-19,-32,-52,-36,-48,-55,10714
538,Gabite,-9,-12,-32,-26,-38,-15,3594
539,Garchomp,31,28,-2,4,-8,5,1854
540,Garchomp (Mega Garchomp),31,68,18,44,2,-5,7874
541,Munchlax,58,-17,-57,-36,-8,-92,16726
542,Riolu,-37,-32,-57,-41,-53,-37,11501
543,Lucario,-7,8,-27,39,-23,-7,2941
544,Lucario (Mega Lucario),-7,43,-9,64,-23,15,6829
545,Hippopotas,-9,-30,-19,-38,-51,-65,9612
546,Hippowdon,31,10,21,-8,-21,-50,4507
547,Skorupi,-37,-52,-7,-46,-38,-32,8706
548,Drapion,-7,-12,13,-16,-18,-2,946
549,Croagunk,-29,-41,-57,-15,-53,-47,11014
550,Toxicroak,6,4,-32,10,-28,-12,2104
551,Carnivine,-3,-2,-25,14,-21,-51,3876
552,Finneon,-28,-53,-41,-27,-32,-31,7988
553,Lumineon,-8,-33,-21,-7,-7,-6,1728
554,Mantyke,-32,-82,-47,-16,27,-47,13151
555,Snover,-17,-40,-47,-14,-33,-57,8632
556,Abomasnow,13,-10,-22,16,-8,-37,2442
557,Abomasnow (Mega Abomasnow),13,30,8,56,12,-67,8902
558,Weavile,-7,18,-32,-31,-8,28,3206
559,Magnezone,-7,-32,18,54,-3,-37,5691
560,Lickilicky,33,-17,-2,4,2,-47,3611
561,Rhyperior,38,38,33,-21,-38,-57,9111
562,Tangrowth,23,-2,28,34,-43,-47,6531
563,Electivire,-2,21,-30,19,-8,-2,1774
564,Magmortar,-2,-7,-30,49,2,-14,3554
565,Togekiss,8,-52,-2,44,22,-17,5481
566,Yanmega,9,-26,-11,40,-37,-2,3851
567,Leafeon,-12,8,33,-16,-28,-2,2341
568,Glaceon,-12,-42,13,54,2,-32,6021
569,Gliscor,-2,-7,28,-31,-18,-2,2126
570,Mamoswine,33,28,-17,-6,-33,-17,3576
571,Porygon-Z,8,-22,-27,59,-18,-7,5131
572,Gallade,-9,23,-32,-11,22,-17,2528
573,Gallade (Mega Gallade),-9,63,-2,-11,22,13,4828
574,Probopass,-17,-47,48,-1,57,-57,11301
575,Dusknoir,-32,-2,38,-11,42,-52,7061
576,Froslass,-7,-22,-27,4,-23,13,1976
577,Rotom,-27,-52,-20,19,-16,-6,4486
578,Rotom (Heat Rotom),-27,-37,10,29,14,-11,3356
579,Rotom (Wash Rotom),-27,-37,10,29,14,-11,3356
580,Rotom (Frost Rotom),-27,-37,10,29,14,-11,3356
581,Rotom (Fan Rotom),-27,-37,10,29,14,-11,3356
582,Rotom (Mow Rotom),-27,-37,10,29,14,-11,3356
583,Uxie,-2,-27,33,-1,37,-2,3196
584,Mesprit,3,3,8,29,12,-17,1356
585,Azelf,-2,23,-27,49,-23,18,4516
586,Dialga,23,18,23,74,7,-7,6956
587,Dialga (Origin Forme),23,-2,23,74,27,-7,7316
588,Palkia,13,18,3,74,27,3,6716
589,Palkia (Origin Forme),13,-2,3,74,27,23,6916
590,Heatran,14,-12,9,54,13,-20,3906
591,Regigigas,33,58,13,4,17,3,4936
592,Giratina (Altered Forme),73,-2,23,24,27,-7,7216
593,Giratina (Origin Forme),73,18,3,44,7,-7,7696
594,Cresselia,43,-32,23,-1,37,-12,4916
595,Phione,3,-22,-17,4,-13,-17,1256
596,Manaphy,23,-2,3,24,7,3,1176
597,Darkrai,-7,-12,-7,59,-3,28,4516
598,Shaymin (Land Forme),23,-2,3,24,7,3,1176
599,Shaymin (Sky Forme),23,1,-22,44,-18,30,4174
600,Arceus,43,18,23,44,27,23,5896
601,Victini,23,-2,3,24,7,3,1176
602,Snivy,-32,-57,-42,-31,-38,-34,9598
603,Servine,-17,-42,-22,-16,-18,-14,3313
604,Serperior,-2,-27,-2,-1,2,16,998
605,Tepig,-12,-39,-52,-31,-48,-52,10338
606,Pignite,13,-9,-42,-6,-38,-42,5258
607,Emboar,33,21,-32,24,-28,-32,4938
608,Oshawott,-22,-47,-52,-13,-48,-52,10574
609,Dewott,-2,-27,-37,7,-33,-37,4609
610,Samurott,18,-2,-12,32,-23,-27,2754
611,Samurott (Hisuian Samurott),13,6,-17,24,-28,-12,1998
612,Patrat,-32,-47,-58,-41,-54,-55,14219
613,Watchog,-17,-17,-28,-16,-24,-20,2594
614,Lillipup,-32,-42,-52,-51,-48,-42,12161
615,Herdier,-12,-22,-32,-41,-28,-37,5486
616,Stoutland,8,8,-7,-31,-3,-17,1436
617,Purrloin,-36,-52,-60,-26,-56,-31,12373
618,Liepard,-13,-14,-47,12,-43,9,4648
619,Pansage,-27,-49,-49,-23,-45,-33,9174
620,Simisage,-2,-4,-34,22,-30,4,2576
621,Pansear,-27,-49,-49,-23,-45,-33,9174
622,Simisear,-2,-4,-34,22,-30,4,2576
623,Panpour,-27,-49,-49,-23,-45,-33,9174
624,Simipour,-2,-4,-34,22,-30,4,2576
625,Munna,-1,-77,-52,-9,-38,-73,15488
626,Musharna,39,-47,-12,31,2,-68,9463
627,Pidove,-27,-47,-47,-40,-63,-54,13632
628,Tranquill,-15,-25,-35,-26,-51,-32,6376
629,Unfezant,3,13,-17,-11,-38,-4,2048
630,Blitzle,-32,-42,-65,-26,-61,-21,11851
631,Zebstrika,-2,-2,-34,4,-30,19,2441
632,Roggenrola,-22,-27,-12,-51,-68,-82,15306
633,Boldore,-7,3,8,-26,-53,-77,9536
634,Gigalith,8,33,33,-16,-13,-72,7851
635,Woobat,-12,-57,-54,-21,-50,-25,9875
636,Swoobat,-10,-45,-42,1,-38,17,5623
637,Drilbur,-17,-17,-57,-46,-48,-29,9088
638,Excadrill,33,33,-37,-26,-28,-9,5088
639,Audino,26,-42,-11,-16,-7,-47,5075
640,Audino (Mega Audino),26,-42,29,4,33,-47,6595
641,Timburr,-2,-22,-42,-51,-58,-62,12061
642,Gurdurr,8,3,-12,-36,-43,-57,6611
643,Conkeldurr,28,38,-2,-21,-28,-52,6161
644,Tympole,-27,-52,-57,-26,-53,-33,11256
645,Palpitoad,-2,-37,-42,-11,-38,-28,5486
646,Seismitoad,28,-7,-22,9,-18,-23,2251
647,Throh,43,-2,-12,-46,-8,-52,6881
648,Sawk,-2,23,-22,-46,-18,-12,3601
649,Sewaddle,-32,-49,-27,-36,-33,-55,9564
650,Swadloon,-22,-39,-7,-26,-13,-55,5924
651,Leavanny,-2,1,-17,-6,-13,-5,524
652,Venipede,-47,-57,-38,-46,-54,-40,13534
653,Whirlipede,-37,-47,2,-36,-14,-50,7574
654,Scolipede,-17,-2,-8,-21,-24,15,1599
655,Cottonee,-37,-75,-37,-39,-43,-31,12694
656,Whimsicott,-17,-35,-12,1,-18,19,2344
657,Petilil,-32,-67,-47,-6,-43,-67,14096
658,Lilligant,-7,-42,-22,34,-18,-7,3826
659,Lilligant (Hisuian Lilligant),-7,3,-22,-26,-18,8,1606
660,Basculin,-7,-10,-32,4,-38,1,2634
661,Sandile,-27,-30,-62,-41,-58,-32,11542
662,Krokorok,-17,-20,-52,-31,-48,-23,7187
663,Krookodile,18,15,-17,-11,-23,-5,1513
664,Darumaka,-7,-12,-52,-61,-48,-47,11131
665,Darumaka (Galarian Darumaka),-7,-12,-52,-61,-48,-47,11131
666,Darmanitan (Standard Mode),28,38,-42,-46,-38,-2,7556
667,Darmanitan (Zen Mode),28,-72,8,64,12,-42,12036
668,Darmanitan (Galarian Standard Mode),28,38,-42,-46,-38,-2,7556
669,Darmanitan (Galarian Zen Mode),28,58,-42,-46,-38,38,10916
670,Maractus,-2,-16,-30,30,-26,-37,4105
671,Dwebble,-27,-37,-12,-41,-58,-42,9051
672,Crustle,-7,3,28,-11,-18,-52,3991
673,Scraggy,-27,-27,-27,-41,-23,-49,6798
674,Scrafty,-12,-12,18,-31,22,-39,3578
675,Sigilyph,-5,-44,-17,27,-13,0,3148
676,Yamask,-39,-72,-12,-21,-28,-67,12563
677,Yamask (Galarian Yamask),-39,-47,-12,-46,-28,-67,11263
678,Cofagrigus,-19,-52,48,19,12,-67,10363
679,Tirtouga,-23,-24,6,-23,-48,-75,9599
680,Carracosta,-3,6,36,7,-28,-65,6399
681,Archen,-22,10,-52,-2,-48,-27,6325
682,Archeops,-2,38,-32,36,-28,13,4721
683,Trubbish,-27,-52,-35,-36,-31,-32,7939
684,Garbodor,3,-7,-15,-16,-11,-22,1144
685,Zorua,-37,-37,-57,4,-53,-32,9836
686,Zorua (Hisuian Zorua),-42,-42,-57,9,-53,-27,10396
687,Zoroark,-17,3,-37,44,-33,8,4756
688,Zoroark (Hisuian Zoroark),-22,-2,-37,49,-33,13,5516
689,Minccino,-22,-52,-57,-36,-53,-22,11026
690,Cinccino,-2,-7,-37,-11,-33,18,2956
691,Gothita,-32,-72,-47,-21,-28,-52,12346
692,Gothorita,-17,-57,-27,-1,-8,-42,6096
693,Gothitelle,-7,-47,-2,19,17,-32,3936
694,Solosis,-32,-72,-57,29,-43,-77,18076
695,Duosion,-12,-62,-47,49,-33,-67,14176
696,Reuniclus,33,-37,-22,49,-8,-67,9896
697,Ducklett,-15,-58,-47,-32,-43,-42,10435
698,Swanna,-2,-15,-34,11,-30,1,2407
699,Vanillite,-41,-52,-47,-11,-33,-53,10613
700,Vanillish,-26,-37,-32,4,-18,-38,4853
701,Vanilluxe,-6,-7,-12,34,2,-18,1713
702,Deerling,-17,-42,-47,-36,-43,-22,7891
703,Sawsbuck,3,-2,-27,-16,-23,-2,1531
704,Emolga,-22,-27,-37,-1,-33,6,3708
705,Karrablast,-27,-27,-52,-36,-48,-37,9131
706,Escavalier,-7,33,8,-16,12,-77,7531
707,Foongus,-8,-47,-52,-21,-38,-82,13586
708,Amoonguss,37,-17,-27,9,-13,-67,7126
709,Frillish,-22,-62,-47,-11,-8,-57,9971
710,Jellicent,23,-42,-27,9,12,-37,4616
711,Alomomola,88,-27,-17,-36,-48,-32,13386
712,Joltik,-27,-55,-47,-19,-43,-32,9197
713,Galvantula,-7,-25,-37,21,-33,11,3694
714,Ferroseed,-33,-52,-6,-52,-7,-87,14151
715,Ferrothorn,-3,-8,34,-22,23,-77,8171
716,Klink,-37,-47,-27,-31,-33,-67,10846
717,Klang,-17,-22,-2,-6,-8,-47,3086
718,Klinklang,-17,-2,18,-6,-8,-7,766
719,Tynamo,-42,-47,-57,-31,-53,-37,12361
720,Eelektrik,-12,-17,-27,-1,-23,-57,4941
721,Eelektross,8,13,-17,29,-13,-47,3741
722,Elgyem,-22,-47,-42,9,-38,-67,10471
723,Beheeyem,-2,-27,-22,49,2,-57,6871
724,Litwick,-27,-72,-42,-11,-38,-77,15171
725,Lampent,-17,-62,-37,19,-33,-42,8716
726,Chandelure,-17,-47,-7,69,-3,-17,7606
727,Axew,-31,-15,-37,-46,-53,-40,9080
728,Fraxure,-11,15,-27,-36,-43,-30,5120
729,Haxorus,-1,45,-7,-16,-23,0,2860
730,Cubchoo,-22,-32,-57,-16,-53,-57,11071
731,Beartic,18,28,-17,-6,-13,-47,3811
732,Cryogonal,3,-52,-47,19,42,8,7111
733,Shelmet,-27,-62,-12,-36,-28,-72,11981
734,Accelgor,3,-32,-57,24,-33,48,8251
735,Stunfisk,32,-36,-13,5,6,-65,6775
736,Stunfisk (Galarian Stunfisk),32,-21,2,-10,-9,-65,5875
737,Mienfoo,-32,-17,-47,-21,-43,-32,6836
738,Mienshao,-12,23,-37,19,-33,8,3556
739,Druddigon,0,18,-7,-16,-3,-49,3039
740,Golett,-18,-28,-47,-41,-43,-62,10691
741,Golurk,12,22,-17,-21,-13,-42,3291
742,Pawniard,-32,-17,-27,-36,-53,-37,7516
743,Bisharp,-12,23,3,-16,-23,-27,2196
744,Bouffalant,18,8,-2,-36,2,-42,3456
745,Rufflet,-7,-19,-47,-39,-43,-37,7358
746,Braviary,23,21,-22,-19,-18,-17,2428
747,Braviary (Hisuian Braviary),33,-19,-27,36,-23,-32,5028
748,Vullaby,-7,-47,-22,-31,-28,-37,5856
749,Mandibuzz,33,-37,8,-21,2,-17,3256
750,Heatmor,8,-5,-31,29,-27,-32,3644
751,Durant,-19,7,15,-28,-45,12,3588
752,Deino,-25,-37,-47,-31,-43,-59,10494
753,Zweilous,-5,-17,-27,-11,-23,-39,3214
754,Hydreigon,15,3,-7,49,-3,1,2694
755,Larvesta,-22,-17,-42,-26,-38,-37,6026
756,Volcarona,8,-42,-32,59,12,3,6486
757,Cobalion,14,-12,32,14,-21,11,2122
758,Terrakion,14,27,-7,-4,-3,11,1120
759,Virizion,14,-12,-25,14,36,11,2578
760,Tornadus (Incarnate Forme),2,13,-27,49,-13,14,3668
761,Tornadus (Therian Forme),2,-2,-17,34,-3,24,2038
762,Thundurus (Incarnate Forme),2,13,-27,49,-13,14,3668
763,Thundurus (Therian Forme),2,3,-27,69,-13,4,5688
764,Reshiram,23,18,3,74,27,-7,7116
765,Zekrom,23,48,23,44,7,-7,5396
766,Landorus (Incarnate Forme),12,23,-7,39,-13,4,2428
767,Landorus (Therian Forme),12,43,-7,29,-13,-6,3088
768,Kyurem,48,28,-7,54,-3,-2,6066
769,Kyurem (Black Kyurem),48,68,3,44,-3,-2,8886
770,Kyurem (White Kyurem),48,18,-7,94,7,-2,11566
771,Keldeo,14,-30,-7,53,-3,11,4084
772,Meloetta (Aria Forme),23,-25,-20,52,35,-7,5532
773,Meloetta (Pirouette Forme),23,26,-7,1,-16,31,2472
774,Genesect,-6,18,-2,44,2,2,2308
775,Chespin,-21,-41,-32,-28,-48,-59,9715
776,Quilladin,-16,-24,-2,-20,-35,-40,4061
777,Chesnaught,11,5,25,-2,-18,-33,2188
778,Fennekin,-37,-57,-57,-14,-33,-37,10521
779,Braixen,-18,-43,-39,14,-23,-24,4995
780,Delphox,-2,-33,-25,38,7,7,3260
781,Froakie,-36,-46,-57,-14,-49,-26,9934
782,Frogadier,-23,-39,-45,7,-37,0,5493
783,Greninja,-5,-7,-30,27,-22,25,2812
784,Greninja (Ash-Greninja),-5,43,-30,77,-22,35,10412
785,Bunnelby,-39,-66,-59,-44,-57,-40,16143
786,Diggersby,8,-46,-20,-26,-16,-19,3873
787,Fletchling,-32,-52,-54,-36,-55,-35,12190
788,Fletchinder,-15,-29,-42,-20,-41,-13,5080
789,Talonflame,1,-21,-26,-2,-24,29,2539
790,Scatterbug,-39,-67,-57,-49,-68,-62,20128
791,Spewpa,-32,-80,-37,-49,-63,-68,19787
792,Vivillon,3,-50,-47,14,-43,-8,6827
793,Litleo,-15,-52,-39,-3,-39,-25,6605
794,Pyroar,9,-34,-25,33,-27,9,3761
795,Flabébé,-33,-64,-58,-15,-14,-55,11995
796,Floette,-23,-57,-50,-1,5,-45,8329
797,Florges,1,-37,-29,36,61,-22,7712
798,Skiddo,-11,-37,-49,-14,-36,-45,7408
799,Gogoat,46,-2,-35,21,-12,-29,4771
800,Pancham,-10,-20,-35,-30,-45,-54,7566
801,Pangoro,18,22,-19,-7,-22,-39,3223
802,Furfrou,-2,-22,-37,-11,-3,5,2012
803,Espurr,-15,-54,-43,-13,-33,-29,7089
804,Meowstic,-3,-54,-21,7,-12,7,3608
805,Honedge,-32,-22,3,-41,-56,-69,11095
806,Doublade,-18,8,53,-31,-44,-62,9938
807,Aegislash (Shield Forme),-17,-52,43,-26,47,-37,9096
808,Aegislash (Blade Forme),-17,38,-47,64,-43,-37,11256
809,Spritzee,1,-50,-37,-13,-28,-74,10299
810,Aromatisse,24,-30,-25,23,-4,-68,7270
811,Swirlix,-15,-54,-31,-17,-36,-48,7991
812,Slurpuff,5,-22,-11,9,-18,-25,1660
813,Inkay,-24,-48,-44,-39,-47,-52,11250
814,Malamar,9,-10,-9,-8,-18,-24,1226
815,Binacle,-35,-50,-30,-37,-37,-47,9572
816,Barbaracle,-5,3,18,-22,-7,-29,1732
817,Skrelp,-27,-42,-37,-16,-33,-67,9696
818,Dragalge,-12,-27,-7,21,30,-53,5072
819,Clauncher,-27,-49,-35,-18,-30,-53,8388
820,Clawitzer,-6,-29,-9,44,-4,-38,4354
821,Helioptile,-33,-64,-64,-15,-50,-27,12735
822,Heliolisk,-15,-47,-45,33,1,12,5693
823,Tyrunt,-19,-13,-20,-31,-48,-49,6596
824,Tyrantrum,5,19,22,-7,-34,-26,2751
825,Amaura,0,-43,-47,-9,-30,-51,7640
826,Aurorus,46,-25,-25,23,-1,-39,5417
827,Sylveon,18,-37,-32,34,37,-37,6611
828,Hawlucha,1,-10,-22,-2,-30,21,1930
829,Dedenne,-10,-44,-40,5,-26,4,4353
830,Carbink,-27,-52,53,-26,57,-47,12376
831,Goomy,-32,-52,-62,-21,-18,-57,11586
832,Sliggoo,-9,-27,-44,7,20,-37,4564
833,Sliggoo (Hisuian Sliggoo),-19,-27,-14,7,20,-57,4984
834,Goodra,13,-2,-27,34,57,-17,5596
835,Goodra (Hisuian Goodra),3,-2,3,34,57,-37,5796
836,Klefki,-20,-22,-6,4,-6,-22,1456
837,Phantump,-34,-32,-49,-26,-33,-59,9827
838,Trevenant,8,8,-21,-11,-11,-41,2492
839,Pumpkaboo (Small Size),-33,-36,-27,-32,-38,-41,7263
840,Pumpkaboo (Average Size),-28,-36,-27,-32,-38,-46,7393
841,Pumpkaboo (Large Size),-23,-36,-27,-32,-38,-51,7623
842,Pumpkaboo (Super Size),-18,-36,-27,-32,-38,-56,7953
843,Gourgeist (Small Size),-22,-17,25,-18,-18,2,2050
844,Gourgeist (Average Size),-12,-12,25,-18,-18,-13,1730
845,Gourgeist (Large Size),-2,-7,25,-18,-18,-28,2110
846,Gourgeist (Super Size),8,-2,25,-18,-18,-43,3190
847,Bergmite,-22,-33,-12,-44,-58,-69,11778
848,Avalugg,18,15,87,-32,-47,-69,16112
849,Avalugg (Hisuian Avalugg),18,25,87,-42,-57,-59,17012
850,Noibat,-37,-72,-62,-31,-53,-42,15931
851,Noivern,8,-32,-17,21,-13,26,2663
852,Xerneas,49,29,-2,55,5,2,6300
853,Yveltal,49,29,-2,55,5,2,6300
854,Zygarde (50% Forme),31,-2,24,5,2,-2,1574
855,Zygarde (10% Forme),-23,-2,-26,-15,-8,18,1822
856,Zygarde (Complete Forme),139,-2,24,15,2,-12,20274
857,Diancie,-27,-2,53,24,57,-47,9576
858,Diancie (Mega Diancie),-27,58,13,84,17,13,11776
859,Hoopa (Hoopa Confined),3,8,-37,74,37,-27,9016
860,Hoopa (Hoopa Unbound),3,58,-37,94,37,-17,15236
861,Volcanion,3,8,23,54,-3,-27,4256
862,Rowlet,-9,-47,-42,-26,-43,-55,9604
863,Dartrix,1,-27,-22,-6,-23,-45,3804
864,Decidueye,1,5,-22,24,7,-27,1864
865,Decidueye (Hisuian Decidueye),11,10,-17,19,2,-37,2244
866,Litten,-32,-37,-57,-16,-53,-27,9436
867,Torracat,-12,-17,-47,4,-43,-7,4556
868,Incineroar,18,13,-7,4,-3,-37,1936
869,Popplio,-27,-48,-43,-10,-37,-57,9600
870,Brionne,-17,-33,-28,15,-12,-47,4740
871,Primarina,3,-28,-23,50,23,-37,5720
872,Pikipek,-42,-27,-67,-46,-63,-32,14091
873,Trumbeak,-22,-17,-47,-36,-43,-22,6611
874,Toucannon,3,18,-22,-1,-18,-37,2511
875,Yungoos,-29,-32,-67,-46,-63,-52,15143
876,Gumshoos,11,8,-37,-21,-33,-52,5788
877,Grubbin,-30,-40,-52,-21,-48,-51,10550
878,Charjabug,-20,-20,-2,-21,-18,-61,5290
879,Vikavolt,0,-32,-7,69,-18,-54,9074
880,Crabrawler,-30,-20,-40,-34,-46,-34,7328
881,Crabominable,20,30,-20,-14,-26,-54,5488
882,Oricorio,-2,-32,-27,22,-23,-4,2786
883,Cutiefly,-37,-57,-57,-21,-53,-13,11286
884,Ribombee,-17,-47,-37,19,-23,27,5486
885,Rockruff,-32,-37,-57,-46,-53,-37,11936
886,Lycanroc (Midday Form),-2,13,-32,-21,-28,15,2647
887,Lycanroc (Midnight Form),8,13,-22,-21,-18,-15,1707
888,Lycanroc (Dusk Form),-2,15,-32,-21,-28,13,2647
889,Wishiwashi (Solo Form),-32,-82,-77,-51,-68,-57,24151
890,Wishiwashi (School Form),-32,38,33,64,42,-67,13906
891,Mareanie,-27,-49,-35,-33,-41,-52,9829
892,Toxapex,-27,-39,55,-23,49,-62,12049
893,Mudbray,-7,-2,-27,-31,-38,-52,5891
894,Mudsdale,23,23,3,-21,-8,-62,5416
895,Dewpider,-39,-62,-45,-36,-21,-70,14027
896,Araquanid,-9,-32,-5,-26,39,-55,6352
897,Fomantis,-37,-47,-62,-26,-58,-62,15306
898,Lurantis,-7,3,-7,4,-3,-52,2836
899,Morelull,-37,-67,-42,-11,-18,-82,14791
900,Shiinotic,-17,-57,-17,14,7,-67,8561
901,Salandit,-29,-58,-57,-5,-53,-20,10688
902,Salazzle,-9,-38,-37,35,-33,20,5608
903,Stufful,-7,-27,-47,-31,-43,-47,8006
904,Bewear,43,23,-17,-21,-33,-37,5566
905,Bounsweet,-35,-72,-59,-46,-55,-65,19256
906,Steenee,-25,-62,-49,-36,-45,-35,11416
907,Tsareena,-5,18,1,-26,5,-25,1676
908,Comfey,-26,-50,-7,6,17,3,3559
909,Oranguru,13,-42,-17,14,17,-37,4076
910,Passimian,23,18,-7,-36,-33,-17,3576
911,Wimpod,-52,-67,-57,-56,-63,-17,17836
912,Golisopod,-2,23,43,-16,-3,-57,5896
913,Sandygast,-22,-47,-17,-6,-48,-82,12046
914,Palossand,8,-27,13,24,-18,-62,5706
915,Pyukumuku,-22,-42,33,-46,37,-92,15286
916,Type: Null,18,-7,-2,19,2,-38,2186
917,Silvally,18,-7,-2,19,2,-2,746
918,Minior (Meteor Form),-17,-42,3,-16,7,-37,3736
919,Minior (Core),-17,-2,-37,24,-33,23,3856
920,Komala,-12,13,-32,-1,2,-32,2366
921,Turtonator,-17,-24,38,15,-8,-61,6319
922,Togedemaru,-12,-4,-34,-36,-20,-1,3013
923,Mimikyu,-22,-12,-17,-26,12,-1,1738
924,Bruxish,-9,3,-27,-6,-23,-5,1409
925,Drampa,1,-42,-12,59,-2,-61,9115
926,Dhelmise,-7,29,3,10,-3,-57,4257
927,Jangmo-o,-32,-47,-32,-31,-48,-52,10226
928,Hakamo-o,-22,-27,-7,-11,-23,-32,2936
929,Kommo-o,-2,8,28,24,12,-12,1716
930,Tapu Koko,-7,13,-12,19,-18,33,2136
931,Tapu Lele,-7,-17,-22,54,22,-2,4226
932,Tapu Bulu,-7,28,18,9,2,-22,1726
933,Tapu Fini,-7,-27,18,19,37,-12,2976
934,Cosmog,-34,-73,-66,-47,-62,-60,20494
935,Cosmoem,-34,-73,34,-47,38,-60,14894
936,Solgaleo,60,35,10,37,-4,0,6310
937,Lunala,60,11,-8,61,14,0,7702
938,Nihilego,32,-49,-50,51,38,6,10006
939,Buzzwole,30,37,42,-23,-40,-18,6486
940,Pheromosa,-6,35,-60,61,-56,54,14634
941,Xurkitree,6,-13,-26,97,-22,-14,10970
942,Celesteela,20,-1,6,31,8,-36,2758
943,Kartana,-18,79,34,-17,-62,12,11998
944,Guzzlord,146,-1,-44,21,-40,-54,28210
945,Necrozma,20,5,4,51,-4,-18,3382
946,Necrozma (Dusk Mane Necrozma),20,55,30,37,16,-20,6350
947,Necrozma (Dawn Wings Necrozma),20,11,12,81,34,-20,8782
948,Necrozma (Ultra Necrozma),20,65,0,91,4,32,13946
949,Magearna,3,-7,18,54,22,-32,4806
950,Marshadow,13,23,-17,14,-3,28,1976
951,Poipole,-10,-29,-30,-3,-26,-24,3102
952,Naganadel,-4,-29,-24,51,-20,24,5010
953,Stakataka,-16,29,114,-23,8,-84,21742
954,Blacephalon,-24,25,-44,75,-14,10,9058
955,Zeraora,11,10,-22,26,-13,46,3666
956,Meltan,-31,-37,-32,-21,-58,-63,11128
957,Melmetal,58,41,46,4,-28,-63,11930
958,Grookey,-27,-37,-47,-36,-53,-32,9436
959,Thwackey,-7,-17,-27,-21,-33,-17,2886
960,Rillaboom,23,23,-7,-16,-23,-12,2036
961,Scorbunny,-27,-31,-57,-36,-53,-28,9828
962,Raboot,-12,-16,-37,-21,-33,-3,3308
963,Cinderace,3,14,-22,-11,-18,22,1618
964,Sobble,-27,-62,-57,-6,-53,-27,11396
965,Drizzile,-12,-42,-42,19,-38,-7,5526
966,Inteleon,-7,-17,-32,49,-28,23,5076
967,Skwovet,-7,-47,-42,-41,-58,-72,14251
968,Greedent,43,-7,-2,-21,-18,-77,8596
