Levin Lee vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
480,Torterra,16,-11,-4,-29,-22,16,1974
481,Chimchar,-35,-62,-65,-46,-63,21,15820
482,Monferno,-15,-42,-57,-26,-55,41,10620
483,Infernape,-3,-16,-38,0,-36,68,7629
484,Piplup,-26,-69,-56,-43,-51,0,13023
485,Prinplup,-15,-54,-41,-23,-31,10,6412
486,Empoleon,5,-34,-21,7,-6,20,2107
487,Starly,-39,-65,-79,-74,-77,20,23792
488,Staravia,-24,-45,-59,-64,-67,40,16267
489,Staraptor,6,0,-39,-54,-47,60,10282
490,Bidoof,-20,-75,-69,-69,-67,-9,20117
491,Bibarel,0,-35,-49,-49,-47,31,9197
492,Kricketot,-42,-95,-68,-79,-66,-15,26235
493,Kricketune,-2,-35,-58,-49,-56,25,10755
494,Shinx,-34,-55,-75,-64,-73,5,19256
495,Luxio,-19,-35,-60,-44,-58,20,10886
496,Luxray,1,0,-30,-9,-28,30,2666
497,Budew,-39,-90,-74,-54,-37,15,19607
498,Roserade,-19,-50,-44,21,-2,50,7742
499,Cranidos,-12,5,-69,-74,-77,18,16659
500,Rampardos,18,45,-49,-39,-57,18,9844
501,Shieldon,-49,-78,9,-62,-19,-10,12871
502,Bastiodon,-19,-68,59,-57,31,-10,12776
503,Burmy,-39,-91,-64,-75,-62,-4,23383
504,Wormadam (Plant Cloak),-19,-61,-24,-25,-2,-4,5303
505,Wormadam (Sandy Cloak),-19,-41,-4,-45,-22,-4,4583
506,Wormadam (Trash Cloak),-19,-51,-14,-35,-12,-4,4543
507,Mothim,-9,-26,-59,-10,-57,26,8263
508,Combee,-49,-90,-67,-74,-65,30,25591
509,Vespiquen,-9,-40,-7,-24,-5,0,2331
510,Pachirisu,-19,-75,-39,-59,-17,55,14302
511,Buizel,-24,-55,-74,-44,-77,45,18967
512,Floatzel,6,-15,-54,-19,-57,75,12412
513,Cherubi,-34,-85,-64,-42,-54,-5,17182
514,Cherrim,-9,-60,-39,-17,-29,45,8357
515,Shellos,-3,-72,-61,-47,-45,-6,13184
516,Gastrodon,32,-37,-41,-12,-25,-1,4844
517,Ambipom,-4,-20,-43,-44,-41,75,11507
518,Drifloon,11,-70,-75,-44,-63,30,17451
519,Drifblim,71,-40,-65,-14,-53,40,15471
520,Buneary,-24,-54,-65,-60,-51,45,15943
521,Lopunny,-14,-44,-25,-50,-11,65,9603
522,Lopunny (Mega Lopunny),-14,16,-15,-50,-11,95,12323
523,Mismagius,-19,-60,-49,1,-2,65,10592
524,Honchkrow,21,5,-57,1,-55,31,7702
525,Glameow,-30,-65,-67,-62,-70,45,20383
526,Purugly,-8,-38,-45,-40,-48,72,12621
527,Chingling,-34,-90,-59,-39,-57,5,17532
528,Stunky,-16,-57,-62,-63,-66,34,16830
529,Skuntank,24,-27,-42,-33,-46,44,8210
530,Bronzor,-22,-96,-23,-80,-21,-17,17359
531,Bronzong,-12,-31,7,-25,9,-7,1909
532,Bonsly,-29,-40,-14,-94,-62,-30,16217
533,Mime Jr.,-59,-95,-64,-34,-17,20,18447
534,Happiny,21,-115,-104,-89,-42,-10,34267
535,Chatot,-3,-55,-64,-12,-65,51,14100
536,Spiritomb,-29,-28,-1,-12,1,-5,1796
537,Gible,-21,-50,-64,-64,-62,2,14981
538,Gabite,-11,-30,-44,-54,-52,42,10341
539,Garchomp,29,10,-14,-24,-22,62,6041
540,Garchomp (Mega Garchomp),29,50,6,16,-12,52,6481
541,Munchlax,56,-35,-69,-64,-22,-35,14927
542,Riolu,-39,-50,-69,-69,-67,20,18432
543,Lucario,-9,-10,-39,11,-37,50,5692
544,Lucario (Mega Lucario),-9,25,-21,36,-37,72,8996
545,Hippopotas,-11,-48,-31,-66,-65,-8,12031
546,Hippowdon,29,-8,9,-36,-35,7,3556
547,Skorupi,-39,-70,-19,-74,-52,25,15587
548,Drapion,-9,-30,1,-44,-32,55,6967
549,Croagunk,-31,-59,-69,-43,-67,10,15641
550,Toxicroak,4,-14,-44,-18,-42,45,6261
551,Carnivine,-5,-20,-37,-14,-35,6,3251
552,Finneon,-30,-71,-53,-55,-46,26,14567
553,Lumineon,-10,-51,-33,-35,-21,51,8057
554,Mantyke,-34,-100,-59,-44,13,10,16842
555,Snover,-19,-58,-59,-42,-47,0,11179
556,Abomasnow,11,-28,-34,-12,-22,20,3089
557,Abomasnow (Mega Abomasnow),11,12,-4,28,-2,-10,1169
558,Weavile,-9,0,-44,-59,-22,85,13207
559,Magnezone,-9,-50,6,26,-17,20,3982
560,Lickilicky,31,-35,-14,-24,-12,10,3202
561,Rhyperior,36,20,21,-49,-52,0,7242
562,Tangrowth,21,-20,16,6,-57,10,4482
563,Electivire,-4,3,-42,-9,-22,55,5379
564,Magmortar,-4,-25,-42,21,-12,43,4839
565,Togekiss,6,-70,-14,16,8,40,7052
566,Yanmega,7,-44,-23,12,-51,55,8284
567,Leafeon,-14,-10,21,-44,-42,55,7462
568,Glaceon,-14,-60,1,26,-12,25,5242
569,Gliscor,-4,-25,16,-59,-32,55,8427
570,Mamoswine,31,10,-29,-34,-47,40,6867
571,Porygon-Z,6,-40,-39,31,-32,50,7642
572,Gallade,-11,5,-44,-39,8,40,5267
573,Gallade (Mega Gallade),-11,45,-14,-39,8,70,8827
574,Probopass,-19,-65,36,-29,43,0,8572
575,Dusknoir,-34,-20,26,-39,28,5,4562
576,Froslass,-9,-40,-39,-24,-37,70,10047
577,Rotom,-29,-70,-32,-9,-30,51,10347
578,Rotom (Heat Rotom),-29,-55,-2,1,0,46,5987
579,Rotom (Wash Rotom),-29,-55,-2,1,0,46,5987
580,Rotom (Frost Rotom),-29,-55,-2,1,0,46,5987
581,Rotom (Fan Rotom),-29,-55,-2,1,0,46,5987
582,Rotom (Mow Rotom),-29,-55,-2,1,0,46,5987
583,Uxie,-4,-45,21,-29,23,55,6877
584,Mesprit,1,-15,-4,1,-2,40,1847
585,Azelf,-4,5,-39,21,-37,75,8997
586,Dialga,21,0,11,46,-7,50,5227
587,Dialga (Origin Forme),21,-20,11,46,13,50,5747
588,Palkia,11,0,-9,46,13,60,6087
589,Palkia (Origin Forme),11,-20,-9,46,13,80,9287
590,Heatran,12,-30,-3,26,-1,37,3099
591,Regigigas,31,40,1,-24,3,60,6747
592,Giratina (Altered Forme),71,-20,11,-4,13,50,8247
593,Giratina (Origin Forme),71,0,-9,16,-7,50,7927
594,Cresselia,41,-50,11,-29,23,45,7697
595,Phione,1,-40,-29,-24,-27,40,5347
596,Manaphy,21,-20,-9,-4,-7,60,4587
597,Darkrai,-9,-30,-19,31,-17,85,9817
598,Shaymin (Land Forme),21,-20,-9,-4,-7,60,4587
599,Shaymin (Sky Forme),21,-17,-34,16,-32,87,10735
600,Arceus,41,0,11,16,13,80,8627
601,Victini,21,-20,-9,-4,-7,60,4587
602,Snivy,-34,-75,-54,-59,-52,23,16411
603,Servine,-19,-60,-34,-44,-32,43,9926
604,Serperior,-4,-45,-14,-29,-12,73,8551
605,Tepig,-14,-57,-64,-59,-62,5,14891
606,Pignite,11,-27,-54,-34,-52,15,7851
607,Emboar,31,3,-44,-4,-42,25,5311
608,Oshawott,-24,-65,-64,-41,-62,5,14447
609,Dewott,-4,-45,-49,-21,-47,20,7492
610,Samurott,16,-20,-24,4,-37,30,3517
611,Samurott (Hisuian Samurott),11,-12,-29,-4,-42,45,4911
612,Patrat,-34,-65,-70,-69,-68,2,19670
613,Watchog,-19,-35,-40,-44,-38,37,7935
614,Lillipup,-34,-60,-64,-79,-62,15,19162
615,Herdier,-14,-40,-44,-69,-42,20,10657
616,Stoutland,6,-10,-19,-59,-17,40,5867
617,Purrloin,-38,-70,-72,-54,-70,26,20020
618,Liepard,-15,-32,-59,-16,-57,66,12591
619,Pansage,-29,-67,-61,-51,-59,24,15709
620,Simisage,-4,-22,-46,-6,-44,61,8309
621,Pansear,-29,-67,-61,-51,-59,24,15709
622,Simisear,-4,-22,-46,-6,-44,61,8309
623,Panpour,-29,-67,-61,-51,-59,24,15709
624,Simipour,-4,-22,-46,-6,-44,61,8309
625,Munna,-3,-95,-64,-37,-52,-16,17459
626,Musharna,37,-65,-24,3,-12,-11,6444
627,Pidove,-29,-65,-59,-68,-77,3,19109
628,Tranquill,-17,-43,-47,-54,-65,25,12113
629,Unfezant,1,-5,-29,-39,-52,53,7901
630,Blitzle,-34,-60,-77,-54,-75,36,20522
631,Zebstrika,-4,-20,-46,-24,-44,76,10820
632,Roggenrola,-24,-45,-24,-79,-82,-25,16767
633,Boldore,-9,-15,-4,-54,-67,-20,8127
634,Gigalith,6,15,21,-44,-27,-15,3592
635,Woobat,-14,-75,-66,-49,-64,32,17698
636,Swoobat,-12,-63,-54,-27,-52,74,15938
637,Drilbur,-19,-35,-69,-74,-62,28,16451
638,Excadrill,31,15,-49,-54,-42,48,10571
639,Audino,24,-60,-23,-44,-21,10,7182
640,Audino (Mega Audino),24,-60,17,-24,19,10,5502
641,Timburr,-4,-40,-54,-79,-72,-5,15982
642,Gurdurr,6,-15,-24,-64,-57,0,8182
643,Conkeldurr,26,20,-14,-49,-42,5,5462
644,Tympole,-29,-70,-69,-54,-67,24,18483
645,Palpitoad,-4,-55,-54,-39,-52,29,11023
646,Seismitoad,26,-25,-34,-19,-32,34,4998
647,Throh,41,-20,-24,-74,-22,5,8642
648,Sawk,-4,5,-34,-74,-32,45,9722
649,Sewaddle,-34,-67,-39,-64,-47,2,13475
650,Swadloon,-24,-57,-19,-54,-27,2,7835
651,Leavanny,-4,-17,-29,-34,-27,52,5735
652,Venipede,-49,-75,-50,-74,-68,17,20915
653,Whirlipede,-39,-65,-10,-64,-28,7,10775
654,Scolipede,-19,-20,-20,-49,-38,72,10190
655,Cottonee,-39,-93,-49,-67,-57,26,20985
656,Whimsicott,-19,-53,-24,-27,-32,76,11275
657,Petilil,-34,-85,-59,-34,-57,-10,16367
658,Lilligant,-9,-60,-34,6,-32,50,8397
659,Lilligant (Hisuian Lilligant),-9,-15,-34,-54,-32,65,9627
660,Basculin,-9,-28,-44,-24,-52,58,9445
661,Sandile,-29,-48,-74,-69,-72,25,19191
662,Krokorok,-19,-38,-64,-59,-62,34,14382
663,Krookodile,16,-3,-29,-39,-37,52,6700
664,Darumaka,-9,-30,-64,-89,-62,10,16942
665,Darumaka (Galarian Darumaka),-9,-30,-64,-89,-62,10,16942
666,Darmanitan (Standard Mode),26,20,-54,-74,-52,55,15197
667,Darmanitan (Zen Mode),26,-90,-4,36,-2,15,10317
668,Darmanitan (Galarian Standard Mode),26,20,-54,-74,-52,55,15197
669,Darmanitan (Galarian Zen Mode),26,40,-54,-74,-52,95,22397
670,Maractus,-4,-34,-42,2,-40,20,4940
671,Dwebble,-29,-55,-24,-69,-72,15,14612
672,Crustle,-9,-15,16,-39,-32,5,3132
673,Scraggy,-29,-45,-39,-69,-37,8,10581
674,Scrafty,-14,-30,6,-59,8,18,5001
675,Sigilyph,-7,-62,-29,-1,-27,57,8713
676,Yamask,-41,-90,-24,-49,-42,-10,14622
677,Yamask (Galarian Yamask),-41,-65,-24,-74,-42,-10,13822
678,Cofagrigus,-21,-70,36,-9,-2,-10,6822
679,Tirtouga,-25,-42,-6,-51,-62,-18,9194
680,Carracosta,-5,-12,24,-21,-42,-8,3014
681,Archen,-24,-8,-64,-30,-62,30,10380
682,Archeops,-4,20,-44,8,-42,70,9080
683,Trubbish,-29,-70,-47,-64,-45,25,14696
684,Garbodor,1,-25,-27,-44,-25,35,5141
685,Zorua,-39,-55,-69,-24,-67,25,14997
686,Zorua (Hisuian Zorua),-44,-60,-69,-19,-67,30,16047
687,Zoroark,-19,-15,-49,16,-47,65,9677
688,Zoroark (Hisuian Zoroark),-24,-20,-49,21,-47,70,10927
689,Minccino,-24,-70,-69,-64,-67,35,20047
690,Cinccino,-4,-25,-49,-39,-47,75,12397
691,Gothita,-34,-90,-59,-49,-42,5,16927
692,Gothorita,-19,-75,-39,-29,-22,15,9057
693,Gothitelle,-9,-65,-14,-9,3,25,5217
694,Solosis,-34,-90,-69,1,-57,-20,17667
695,Duosion,-14,-80,-59,21,-47,-10,12827
696,Reuniclus,31,-55,-34,21,-22,-10,6167
697,Ducklett,-17,-76,-59,-60,-57,15,16620
698,Swanna,-4,-33,-46,-17,-44,58,8810
699,Vanillite,-43,-70,-59,-39,-47,4,13976
700,Vanillish,-28,-55,-44,-24,-32,19,7706
701,Vanilluxe,-8,-25,-24,6,-12,39,2966
702,Deerling,-19,-60,-59,-64,-57,35,16012
703,Sawsbuck,1,-20,-39,-44,-37,55,8252
704,Emolga,-24,-45,-49,-29,-47,63,12021
705,Karrablast,-29,-45,-64,-64,-62,20,15302
706,Escavalier,-9,15,-4,-44,-2,-20,2662
707,Foongus,-10,-65,-64,-49,-52,-25,14151
708,Amoonguss,35,-35,-39,-19,-27,-10,5161
709,Frillish,-24,-80,-59,-39,-22,0,12462
710,Jellicent,21,-60,-39,-19,-2,20,6327
711,Alomomola,86,-45,-29,-64,-62,25,18827
712,Joltik,-29,-73,-59,-47,-57,25,15734
713,Galvantula,-9,-43,-49,-7,-47,68,11213
714,Ferroseed,-35,-70,-18,-80,-21,-30,14190
715,Ferrothorn,-5,-26,22,-50,9,-20,4166
716,Klink,-39,-65,-39,-59,-47,-10,13057
717,Klang,-19,-40,-14,-34,-22,10,3897
718,Klinklang,-19,-20,6,-34,-22,50,4937
719,Tynamo,-44,-65,-69,-59,-67,20,19292
720,Eelektrik,-14,-35,-39,-29,-37,0,5152
721,Eelektross,6,-5,-29,1,-27,10,1732
722,Elgyem,-24,-65,-54,-19,-52,-10,10882
723,Beheeyem,-4,-45,-34,21,-12,0,3782
724,Litwick,-29,-90,-54,-39,-52,-20,16482
725,Lampent,-19,-80,-49,-9,-47,15,11677
726,Chandelure,-19,-65,-19,41,-17,40,8517
727,Axew,-33,-33,-49,-74,-67,17,14833
728,Fraxure,-13,-3,-39,-64,-57,27,9773
729,Haxorus,-3,27,-19,-44,-37,57,7653
730,Cubchoo,-24,-50,-69,-44,-67,0,14262
731,Beartic,16,10,-29,-34,-27,10,3182
732,Cryogonal,1,-70,-59,-9,28,65,13472
733,Shelmet,-29,-80,-24,-64,-42,-15,13902
734,Accelgor,1,-50,-69,-4,-47,105,20512
735,Stunfisk,30,-54,-25,-23,-8,-8,5098
736,Stunfisk (Galarian Stunfisk),30,-39,-10,-38,-23,-8,4558
737,Mienfoo,-34,-35,-59,-49,-57,25,12137
738,Mienshao,-14,5,-49,-9,-47,65,9137
739,Druddigon,-2,0,-19,-44,-17,8,2654
740,Golett,-20,-46,-59,-69,-57,-5,14032
741,Golurk,10,4,-29,-49,-27,15,4312
742,Pawniard,-34,-35,-39,-64,-67,20,12887
743,Bisharp,-14,5,-9,-44,-37,30,4507
744,Bouffalant,16,-10,-14,-64,-12,15,5017
745,Rufflet,-9,-37,-59,-67,-57,20,13069
746,Braviary,21,3,-34,-47,-32,40,6439
747,Braviary (Hisuian Braviary),31,-37,-39,8,-37,25,5909
748,Vullaby,-9,-65,-34,-59,-42,20,11107
749,Mandibuzz,31,-55,-4,-49,-12,40,8147
750,Heatmor,6,-23,-43,1,-41,25,4721
751,Durant,-21,-11,3,-56,-59,69,11949
752,Deino,-27,-55,-59,-59,-57,-2,13969
753,Zweilous,-7,-35,-39,-39,-37,18,6009
754,Hydreigon,13,-15,-19,21,-17,58,4849
755,Larvesta,-24,-35,-54,-54,-52,20,10737
756,Volcarona,6,-60,-44,31,-2,60,10137
757,Cobalion,12,-30,20,-14,-35,68,7489
758,Terrakion,12,9,-19,-32,-17,68,6523
759,Virizion,12,-30,-37,-14,22,68,7717
760,Tornadus (Incarnate Forme),0,-5,-39,21,-27,71,7757
761,Tornadus (Therian Forme),0,-20,-29,6,-17,81,8127
762,Thundurus (Incarnate Forme),0,-5,-39,21,-27,71,7757
763,Thundurus (Therian Forme),0,-15,-39,41,-27,61,7877
764,Reshiram,21,0,-9,46,13,50,5307
765,Zekrom,21,30,11,16,-7,50,4267
766,Landorus (Incarnate Forme),10,5,-19,11,-27,61,5057
767,Landorus (Therian Forme),10,25,-19,1,-27,51,4417
768,Kyurem,46,10,-19,26,-17,55,6567
769,Kyurem (Black Kyurem),46,50,-9,16,-17,55,8267
770,Kyurem (White Kyurem),46,0,-19,66,-7,55,9907
771,Keldeo,12,-48,-19,25,-17,68,8347
772,Meloetta (Aria Forme),21,-43,-32,24,21,50,6831
773,Meloetta (Pirouette Forme),21,8,-19,-27,-30,88,10239
774,Genesect,-8,0,-14,16,-12,59,4141
775,Chespin,-23,-59,-44,-56,-62,-2,12930
776,Quilladin,-18,-42,-14,-48,-49,17,7278
777,Chesnaught,9,-13,13,-30,-32,24,2919
778,Fennekin,-39,-75,-69,-42,-47,20,16280
779,Braixen,-20,-61,-51,-14,-37,33,9376
780,Delphox,-4,-51,-37,10,-7,64,8231
781,Froakie,-38,-64,-69,-42,-63,31,16995
782,Frogadier,-25,-57,-57,-21,-51,57,13414
783,Greninja,-7,-25,-42,-1,-36,82,10459
784,Greninja (Ash-Greninja),-7,25,-42,49,-36,92,14599
785,Bunnelby,-41,-84,-71,-72,-71,17,24292
786,Diggersby,6,-64,-32,-54,-30,38,10416
787,Fletchling,-34,-70,-66,-64,-69,22,19753
788,Fletchinder,-17,-47,-54,-48,-55,44,12679
789,Talonflame,-1,-39,-38,-30,-38,86,12706
790,Scatterbug,-41,-85,-69,-77,-82,-5,26345
791,Spewpa,-34,-98,-49,-77,-77,-11,25140
792,Vivillon,1,-68,-59,-14,-57,49,13952
793,Litleo,-17,-70,-51,-31,-53,32,12584
794,Pyroar,7,-52,-37,5,-41,66,10184
795,Flabébé,-35,-82,-70,-43,-28,2,15486
796,Floette,-25,-75,-62,-29,-9,12,11160
797,Florges,-1,-55,-41,8,47,35,8205
798,Skiddo,-13,-55,-61,-42,-50,12,11323
799,Gogoat,44,-20,-47,-7,-26,28,6054
800,Pancham,-12,-38,-47,-58,-59,3,10651
801,Pangoro,16,4,-31,-35,-36,18,4078
802,Furfrou,-4,-40,-49,-39,-17,62,9671
803,Espurr,-17,-72,-55,-41,-47,28,13172
804,Meowstic,-5,-72,-33,-21,-26,64,11511
805,Honedge,-34,-40,-9,-69,-70,-12,12642
806,Doublade,-20,-10,41,-59,-58,-5,9051
807,Aegislash (Shield Forme),-19,-70,31,-54,33,20,10627
808,Aegislash (Blade Forme),-19,20,-59,36,-57,20,9187
809,Spritzee,-1,-68,-49,-41,-42,-17,10760
810,Aromatisse,22,-48,-37,-5,-18,-11,4627
811,Swirlix,-17,-72,-43,-45,-50,9,11928
812,Slurpuff,3,-40,-23,-19,-32,32,4547
813,Inkay,-26,-66,-56,-67,-61,5,16403
814,Malamar,7,-28,-21,-36,-32,33,4683
815,Binacle,-37,-68,-42,-65,-51,10,14683
816,Barbaracle,-7,-15,6,-50,-21,28,4035
817,Skrelp,-29,-60,-49,-44,-47,-10,11087
818,Dragalge,-14,-45,-19,-7,16,4,2903
819,Clauncher,-29,-67,-47,-46,-44,4,11607
820,Clawitzer,-8,-47,-21,16,-18,19,3655
821,Helioptile,-35,-82,-76,-43,-64,30,20570
822,Heliolisk,-17,-65,-57,5,-13,69,12718
823,Tyrunt,-21,-31,-32,-59,-62,8,9815
824,Tyrantrum,3,1,10,-35,-48,31,4600
825,Amaura,-2,-61,-59,-37,-44,6,10547
826,Aurorus,44,-43,-37,-5,-15,18,5728
827,Sylveon,16,-55,-44,6,23,20,6182
828,Hawlucha,-1,-28,-34,-30,-44,78,10861
829,Dedenne,-12,-62,-52,-23,-40,61,12542
830,Carbink,-29,-70,41,-54,43,10,12287
831,Goomy,-34,-70,-74,-49,-32,0,14957
832,Sliggoo,-11,-45,-56,-21,6,20,6159
833,Sliggoo (Hisuian Sliggoo),-21,-45,-26,-21,6,0,3619
834,Goodra,11,-20,-39,6,43,40,5527
835,Goodra (Hisuian Goodra),1,-20,-9,6,43,20,2767
836,Klefki,-22,-40,-18,-24,-20,35,4609
837,Phantump,-36,-50,-61,-54,-47,-2,12646
838,Trevenant,6,-10,-33,-39,-25,16,3627
839,Pumpkaboo (Small Size),-35,-54,-39,-60,-52,16,12222
840,Pumpkaboo (Average Size),-30,-54,-39,-60,-52,11,11762
841,Pumpkaboo (Large Size),-25,-54,-39,-60,-52,6,11402
842,Pumpkaboo (Super Size),-20,-54,-39,-60,-52,1,11142
843,Gourgeist (Small Size),-24,-35,13,-46,-32,59,8591
844,Gourgeist (Average Size),-14,-30,13,-46,-32,44,6341
845,Gourgeist (Large Size),-4,-25,13,-46,-32,29,4791
846,Gourgeist (Super Size),6,-20,13,-46,-32,14,3941
847,Bergmite,-24,-51,-24,-72,-72,-12,14265
848,Avalugg,16,-3,75,-60,-61,-12,13355
849,Avalugg (Hisuian Avalugg),16,7,75,-70,-71,-2,15875
850,Noibat,-39,-90,-74,-59,-67,15,23292
851,Noivern,6,-50,-29,-7,-27,83,11044
852,Xerneas,47,11,-14,27,-9,59,6817
853,Yveltal,47,11,-14,27,-9,59,6817
854,Zygarde (50% Forme),29,-20,12,-23,-12,55,5083
855,Zygarde (10% Forme),-25,-20,-38,-43,-22,75,10427
856,Zygarde (Complete Forme),137,-20,12,-13,-12,45,21651
857,Diancie,-29,-20,41,-4,43,10,4887
858,Diancie (Mega Diancie),-29,40,1,56,3,70,10487
859,Hoopa (Hoopa Confined),1,-10,-49,46,23,30,6047
860,Hoopa (Hoopa Unbound),1,40,-49,66,23,40,10487
861,Volcanion,1,-10,11,26,-17,30,2087
862,Rowlet,-11,-65,-54,-54,-57,2,13431
863,Dartrix,-1,-45,-34,-34,-37,12,5851
864,Decidueye,-1,-13,-34,-4,-7,30,2291
865,Decidueye (Hisuian Decidueye),9,-8,-29,-9,-12,20,1611
866,Litten,-34,-55,-69,-44,-67,30,16267
867,Torracat,-14,-35,-59,-24,-57,50,11227
868,Incineroar,16,-5,-19,-24,-17,20,1907
869,Popplio,-29,-66,-55,-38,-51,0,12267
870,Brionne,-19,-51,-40,-13,-26,10,5507
871,Primarina,1,-46,-35,22,9,20,4307
872,Pikipek,-44,-45,-79,-74,-77,25,22232
873,Trumbeak,-24,-35,-59,-64,-57,35,13852
874,Toucannon,1,0,-34,-29,-32,20,3422
875,Yungoos,-31,-50,-79,-74,-77,5,21132
876,Gumshoos,9,-10,-49,-49,-47,5,7217
877,Grubbin,-32,-58,-64,-49,-62,6,14765
878,Charjabug,-22,-38,-14,-49,-32,-4,5565
879,Vikavolt,-2,-50,-19,41,-32,3,5579
880,Crabrawler,-32,-38,-52,-62,-60,23,13145
881,Crabominable,18,12,-32,-42,-40,3,4865
882,Oricorio,-4,-50,-39,-6,-37,53,8251
883,Cutiefly,-39,-75,-69,-49,-67,44,20733
884,Ribombee,-19,-65,-49,-9,-37,84,15493
885,Rockruff,-34,-55,-69,-74,-67,20,19307
886,Lycanroc (Midday Form),-4,-5,-44,-49,-42,72,11326
887,Lycanroc (Midnight Form),6,-5,-34,-49,-32,42,6406
888,Lycanroc (Dusk Form),-4,-3,-44,-49,-42,70,11026
889,Wishiwashi (Solo Form),-34,-100,-89,-79,-82,0,32042
890,Wishiwashi (School Form),-34,20,21,36,28,-10,4177
891,Mareanie,-29,-67,-47,-61,-55,5,14310
892,Toxapex,-29,-57,43,-51,35,-5,9790
893,Mudbray,-9,-20,-39,-59,-52,5,8212
894,Mudsdale,21,5,-9,-49,-22,-5,3457
895,Dewpider,-41,-80,-57,-64,-35,-13,16820
896,Araquanid,-11,-50,-17,-54,25,2,6455
897,Fomantis,-39,-65,-74,-54,-72,-5,19347
898,Lurantis,-9,-15,-19,-24,-17,5,1557
899,Morelull,-39,-85,-54,-39,-32,-25,14832
900,Shiinotic,-19,-75,-29,-14,-7,-10,7172
901,Salandit,-31,-76,-69,-33,-67,37,18445
902,Salazzle,-11,-56,-49,7,-47,77,13845
903,Stufful,-9,-45,-59,-59,-57,10,12417
904,Bewear,41,5,-29,-49,-47,20,7557
905,Bounsweet,-37,-90,-71,-74,-69,-8,24811
906,Steenee,-27,-80,-61,-64,-59,22,18911
907,Tsareena,-7,0,-11,-54,-9,32,4191
908,Comfey,-28,-68,-19,-22,3,60,9862
909,Oranguru,11,-60,-29,-14,3,20,5167
910,Passimian,21,0,-19,-64,-47,40,8707
911,Wimpod,-54,-85,-69,-84,-77,40,29487
912,Golisopod,-4,5,31,-44,-17,0,3227
913,Sandygast,-24,-65,-29,-34,-62,-25,11267
914,Palossand,6,-45,1,-4,-32,-5,3127
915,Pyukumuku,-24,-60,21,-74,23,-35,11847
916,Type: Null,16,-25,-14,-9,-12,19,1663
917,Silvally,16,-25,-14,-9,-12,55,4327
918,Minior (Meteor Form),-19,-60,-9,-44,-7,20,6427
919,Minior (Core),-19,-20,-49,-4,-47,80,11787
920,Komala,-14,-5,-44,-29,-12,25,3767
921,Turtonator,-19,-42,26,-13,-22,-4,3470
922,Togedemaru,-14,-22,-46,-64,-34,56,11184
923,Mimikyu,-24,-30,-29,-54,-2,56,8373
924,Bruxish,-11,-15,-39,-34,-37,52,7096
925,Drampa,-1,-60,-24,31,-16,-4,5410
926,Dhelmise,-9,11,-9,-18,-17,0,896
927,Jangmo-o,-34,-65,-44,-59,-62,5,14667
928,Hakamo-o,-24,-45,-19,-39,-37,25,6477
929,Kommo-o,-4,-10,16,-4,-2,45,2417
930,Tapu Koko,-9,-5,-24,-9,-32,90,9887
931,Tapu Lele,-9,-35,-34,26,8,55,6227
932,Tapu Bulu,-9,10,6,-19,-12,35,1947
933,Tapu Fini,-9,-45,6,-9,23,45,4777
934,Cosmog,-36,-91,-78,-75,-76,-3,27071
935,Cosmoem,-36,-91,22,-75,24,-3,16271
936,Solgaleo,58,17,-2,9,-18,57,7311
937,Lunala,58,-7,-20,33,0,57,8151
938,Nihilego,30,-67,-62,23,24,63,14307
939,Buzzwole,28,19,30,-51,-54,39,9083
940,Pheromosa,-8,17,-72,33,-70,111,23847
941,Xurkitree,4,-31,-38,69,-36,43,10327
942,Celesteela,18,-19,-6,3,-6,21,1207
943,Kartana,-20,61,22,-45,-76,69,17167
944,Guzzlord,144,-19,-56,-7,-54,3,27207
945,Necrozma,18,-13,-8,23,-18,39,2931
946,Necrozma (Dusk Mane Necrozma),18,37,18,9,2,37,3471
947,Necrozma (Dawn Wings Necrozma),18,-7,0,53,20,37,4951
948,Necrozma (Ultra Necrozma),18,47,-12,63,-10,89,14667
949,Magearna,1,-25,6,26,8,25,2027
950,Marshadow,11,5,-29,-14,-17,85,8697
951,Poipole,-12,-47,-42,-31,-40,33,7767
952,Naganadel,-6,-47,-36,23,-34,81,11787
953,Stakataka,-18,11,102,-51,-6,-27,14215
954,Blacephalon,-26,7,-56,47,-28,67,11343
955,Zeraora,9,-8,-34,-2,-27,103,12643
956,Meltan,-33,-55,-44,-49,-72,-6,13671
957,Melmetal,56,23,34,-24,-42,-6,7197
958,Grookey,-29,-55,-59,-64,-67,25,16557
959,Thwackey,-9,-35,-39,-49,-47,40,9037
960,Rillaboom,21,5,-19,-44,-37,45,6157
961,Scorbunny,-29,-49,-69,-64,-67,29,17429
962,Raboot,-14,-34,-49,-49,-47,54,11279
963,Cinderace,1,-4,-34,-39,-32,79,9959
964,Sobble,-29,-80,-69,-34,-67,30,18547
965,Drizzile,-14,-60,-54,-9,-52,50,11997
966,Inteleon,-9,-35,-44,21,-42,80,11847
967,Skwovet,-9,-65,-54,-69,-72,-15,17392
968,Greedent,41,-25,-14,-49,-32,-20,6327
969,Rookidee,-41,-73,-74,-71,-72,17,23000
970,Corvisquire,-11,-53,-54,-61,-52,37,13640
971,Corviknight,19,-33,-4,-51,-22,27,5280
972,Blipbug,-54,-100,-89,-79,-62,5,30947
