Carolyn LastName vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
485,Prinplup,-7,-43,-29,16,-4,-45,5036
486,Empoleon,13,-23,-9,46,21,-35,4561
487,Starly,-31,-54,-67,-35,-50,-35,13316
488,Staravia,-16,-34,-47,-25,-40,-15,6071
489,Staraptor,14,11,-27,-15,-20,5,1696
490,Bidoof,-12,-64,-57,-30,-40,-64,14085
491,Bibarel,8,-24,-37,-10,-20,-24,3085
492,Kricketot,-34,-84,-56,-40,-39,-70,19369
493,Kricketune,6,-24,-46,-10,-29,-30,4569
494,Shinx,-26,-44,-63,-25,-46,-50,11822
495,Luxio,-11,-24,-48,-5,-31,-35,5212
496,Luxray,9,11,-18,30,-1,-25,2052
497,Budew,-31,-79,-62,-15,-10,-40,12971
498,Roserade,-11,-39,-32,60,25,-5,6916
499,Cranidos,-4,16,-57,-35,-50,-37,8615
500,Rampardos,26,56,-37,0,-30,-37,7450
501,Shieldon,-41,-67,21,-23,8,-65,11429
502,Bastiodon,-11,-57,71,-18,58,-65,16324
503,Burmy,-31,-80,-52,-36,-35,-59,16067
504,Wormadam (Plant Cloak),-11,-50,-12,14,25,-59,7067
505,Wormadam (Sandy Cloak),-11,-30,8,-6,5,-59,4627
506,Wormadam (Trash Cloak),-11,-40,-2,4,15,-59,5447
507,Mothim,-1,-15,-47,29,-30,-29,5017
508,Combee,-41,-79,-55,-35,-38,-25,14241
509,Vespiquen,-1,-29,5,15,22,-55,4601
510,Pachirisu,-11,-64,-27,-20,10,0,5446
511,Buizel,-16,-44,-62,-5,-50,-10,8661
512,Floatzel,14,-4,-42,20,-30,20,3676
513,Cherubi,-26,-74,-52,-3,-27,-60,13194
514,Cherrim,-1,-49,-27,22,-2,-10,3719
515,Shellos,5,-61,-49,-8,-18,-61,10256
516,Gastrodon,40,-26,-29,27,2,-56,6986
517,Ambipom,4,-9,-31,-5,-14,20,1679
518,Drifloon,19,-59,-63,-5,-36,-25,9757
519,Drifblim,79,-29,-53,25,-26,-15,11417
520,Buneary,-16,-43,-53,-21,-24,-10,6031
521,Lopunny,-6,-33,-13,-11,16,10,1771
522,Lopunny (Mega Lopunny),-6,27,-3,-11,16,40,2751
523,Mismagius,-11,-49,-37,40,25,10,6216
524,Honchkrow,29,16,-45,40,-28,-24,6082
525,Glameow,-22,-54,-55,-23,-43,-10,8903
526,Purugly,0,-27,-33,-1,-21,17,2549
527,Chingling,-26,-79,-47,0,-30,-50,12526
528,Stunky,-8,-46,-50,-24,-39,-21,7218
529,Skuntank,32,-16,-30,6,-19,-11,2698
530,Bronzor,-14,-85,-11,-41,6,-72,14443
531,Bronzong,-4,-20,19,14,36,-62,6113
532,Bonsly,-21,-29,-2,-55,-35,-85,12761
533,Mime Jr.,-51,-84,-52,5,10,-35,13711
534,Happiny,29,-104,-92,-50,-15,-65,27071
535,Chatot,5,-44,-52,27,-38,-4,6854
536,Spiritomb,-21,-17,11,27,28,-60,5964
537,Gible,-13,-39,-52,-25,-35,-53,9053
538,Gabite,-3,-19,-32,-15,-25,-13,2413
539,Garchomp,37,21,-2,15,5,7,2113
540,Garchomp (Mega Garchomp),37,61,18,55,15,-3,8673
541,Munchlax,64,-24,-57,-25,5,-90,16671
542,Riolu,-31,-39,-57,-30,-40,-35,9456
543,Lucario,-1,1,-27,50,-10,-5,3356
544,Lucario (Mega Lucario),-1,36,-9,75,-10,17,7392
545,Hippopotas,-3,-37,-19,-27,-38,-63,7881
546,Hippowdon,37,3,21,3,-8,-48,4196
547,Skorupi,-31,-59,-7,-35,-25,-30,7241
548,Drapion,-1,-19,13,-5,-5,0,581
549,Croagunk,-23,-48,-57,-4,-40,-45,9723
550,Toxicroak,12,-3,-32,21,-15,-10,1943
551,Carnivine,3,-9,-25,25,-8,-49,3805
552,Finneon,-22,-60,-41,-16,-19,-29,7223
553,Lumineon,-2,-40,-21,4,6,-4,2113
554,Mantyke,-26,-89,-47,-5,40,-45,14456
555,Snover,-11,-47,-47,-3,-20,-55,7973
556,Abomasnow,19,-17,-22,27,5,-35,3113
557,Abomasnow (Mega Abomasnow),19,23,8,67,25,-65,10293
558,Weavile,-1,11,-32,-20,5,30,2471
559,Magnezone,-1,-39,18,65,10,-35,7396
560,Lickilicky,39,-24,-2,15,15,-45,4576
561,Rhyperior,44,31,33,-10,-25,-55,7736
562,Tangrowth,29,-9,28,45,-30,-45,6656
563,Electivire,4,14,-30,30,5,0,2037
564,Magmortar,4,-14,-30,60,15,-12,5081
565,Togekiss,14,-59,-2,55,35,-15,8156
566,Yanmega,15,-33,-11,51,-24,0,4612
567,Leafeon,-6,1,33,-5,-15,0,1376
568,Glaceon,-6,-49,13,65,15,-30,7956
569,Gliscor,4,-14,28,-20,-5,0,1421
570,Mamoswine,39,21,-17,5,-20,-15,2901
571,Porygon-Z,14,-29,-27,70,-5,-5,6716
572,Gallade,-3,16,-32,0,35,-15,2739
573,Gallade (Mega Gallade),-3,56,-2,0,35,15,4599
574,Probopass,-11,-54,48,10,70,-55,13366
575,Dusknoir,-26,-9,38,0,55,-50,7726
576,Froslass,-1,-29,-27,15,-10,15,2121
577,Rotom,-21,-59,-20,30,-3,-4,5247
578,Rotom (Heat Rotom),-21,-44,10,40,27,-9,4887
579,Rotom (Wash Rotom),-21,-44,10,40,27,-9,4887
580,Rotom (Frost Rotom),-21,-44,10,40,27,-9,4887
581,Rotom (Fan Rotom),-21,-44,10,40,27,-9,4887
582,Rotom (Mow Rotom),-21,-44,10,40,27,-9,4887
583,Uxie,4,-34,33,10,50,0,4861
584,Mesprit,9,-4,8,40,25,-15,2611
585,Azelf,4,16,-27,60,-10,20,5101
586,Dialga,29,11,23,85,20,-5,9141
587,Dialga (Origin Forme),29,-9,23,85,40,-5,10301
588,Palkia,19,11,3,85,40,5,9341
589,Palkia (Origin Forme),19,-9,3,85,40,25,9901
590,Heatran,20,-19,9,65,26,-18,6067
591,Regigigas,39,51,13,15,30,5,5441
592,Giratina (Altered Forme),79,-9,23,35,40,-5,9701
593,Giratina (Origin Forme),79,11,3,55,20,-5,9821
594,Cresselia,49,-39,23,10,50,-10,7151
595,Phione,9,-29,-17,15,0,-15,1661
596,Manaphy,29,-9,3,35,20,5,2581
597,Darkrai,-1,-19,-7,70,10,30,6311
598,Shaymin (Land Forme),29,-9,3,35,20,5,2581
599,Shaymin (Sky Forme),29,-6,-22,55,-5,32,5435
600,Arceus,49,11,23,55,40,25,8301
601,Victini,29,-9,3,35,20,5,2581
602,Snivy,-26,-64,-42,-20,-25,-32,8585
603,Servine,-11,-49,-22,-5,-5,-12,3200
604,Serperior,4,-34,-2,10,15,18,1825
605,Tepig,-6,-46,-52,-20,-35,-50,8981
606,Pignite,19,-16,-42,5,-25,-40,4631
607,Emboar,39,14,-32,35,-15,-30,5091
608,Oshawott,-16,-54,-52,-2,-35,-50,9605
609,Dewott,4,-34,-37,18,-20,-35,4490
610,Samurott,24,-9,-12,43,-10,-25,3375
611,Samurott (Hisuian Samurott),19,-1,-17,35,-15,-10,2201
612,Patrat,-26,-54,-58,-30,-41,-53,12346
613,Watchog,-11,-24,-28,-5,-11,-18,1951
614,Lillipup,-26,-49,-52,-40,-35,-40,10206
615,Herdier,-6,-29,-32,-30,-15,-35,4251
616,Stoutland,14,1,-7,-20,10,-15,971
617,Purrloin,-30,-59,-60,-15,-43,-29,10896
618,Liepard,-7,-21,-47,23,-30,11,4249
619,Pansage,-21,-56,-49,-12,-32,-31,8107
620,Simisage,4,-11,-34,33,-17,6,2707
621,Pansear,-21,-56,-49,-12,-32,-31,8107
622,Simisear,4,-11,-34,33,-17,6,2707
623,Panpour,-21,-56,-49,-12,-32,-31,8107
624,Simipour,4,-11,-34,33,-17,6,2707
625,Munna,5,-84,-52,2,-25,-71,15455
626,Musharna,45,-54,-12,42,15,-66,11430
627,Pidove,-21,-54,-47,-29,-50,-52,11611
628,Tranquill,-9,-32,-35,-15,-38,-30,4899
629,Unfezant,9,6,-17,0,-25,-2,1035
630,Blitzle,-26,-49,-65,-15,-48,-19,10192
631,Zebstrika,4,-9,-34,15,-17,21,2208
632,Roggenrola,-16,-34,-12,-40,-55,-80,12581
633,Boldore,-1,-4,8,-15,-40,-75,7531
634,Gigalith,14,26,33,-5,0,-70,6886
635,Woobat,-6,-64,-54,-10,-37,-23,9046
636,Swoobat,-4,-52,-42,12,-25,19,5614
637,Drilbur,-11,-24,-57,-35,-35,-27,7125
638,Excadrill,39,26,-37,-15,-15,-7,4065
639,Audino,32,-49,-11,-5,6,-45,5632
640,Audino (Mega Audino),32,-49,29,15,46,-45,8632
641,Timburr,4,-29,-42,-40,-45,-60,9846
642,Gurdurr,14,-4,-12,-25,-30,-55,4906
643,Conkeldurr,34,31,-2,-10,-15,-50,4946
644,Tympole,-21,-59,-57,-15,-40,-31,9957
645,Palpitoad,4,-44,-42,0,-25,-26,5017
646,Seismitoad,34,-14,-22,20,-5,-21,2702
647,Throh,49,-9,-12,-35,5,-50,6376
648,Sawk,4,16,-22,-35,-5,-10,2106
649,Sewaddle,-26,-56,-27,-25,-20,-53,8375
650,Swadloon,-16,-46,-7,-15,0,-53,5455
651,Leavanny,4,-6,-17,5,0,-3,375
652,Venipede,-41,-64,-38,-35,-41,-38,11571
653,Whirlipede,-31,-54,2,-25,-1,-48,6811
654,Scolipede,-11,-9,-8,-10,-11,17,776
655,Cottonee,-31,-82,-37,-28,-30,-29,11579
656,Whimsicott,-11,-42,-12,12,-5,21,2639
657,Petilil,-26,-74,-47,5,-30,-65,13511
658,Lilligant,-1,-49,-22,45,-5,-5,4961
659,Lilligant (Hisuian Lilligant),-1,-4,-22,-15,-5,10,851
660,Basculin,-1,-17,-32,15,-25,3,2173
661,Sandile,-21,-37,-62,-30,-45,-30,9479
662,Krokorok,-11,-27,-52,-20,-35,-21,5620
663,Krookodile,24,8,-17,0,-10,-3,1038
664,Darumaka,-1,-19,-52,-50,-35,-45,8816
665,Darumaka (Galarian Darumaka),-1,-19,-52,-50,-35,-45,8816
666,Darmanitan (Standard Mode),34,31,-42,-35,-25,0,5731
667,Darmanitan (Zen Mode),34,-79,8,75,25,-40,15311
668,Darmanitan (Galarian Standard Mode),34,31,-42,-35,-25,0,5731
669,Darmanitan (Galarian Zen Mode),34,51,-42,-35,-25,40,8971
670,Maractus,4,-23,-30,41,-13,-35,4520
671,Dwebble,-21,-44,-12,-30,-45,-40,7046
672,Crustle,-1,-4,28,0,-5,-50,3326
673,Scraggy,-21,-34,-27,-30,-10,-47,5535
674,Scrafty,-6,-19,18,-20,35,-37,3715
675,Sigilyph,1,-51,-17,38,0,2,4339
676,Yamask,-33,-79,-12,-10,-15,-65,12024
677,Yamask (Galarian Yamask),-33,-54,-12,-35,-15,-65,9824
678,Cofagrigus,-13,-59,48,30,25,-65,11704
679,Tirtouga,-17,-31,6,-12,-35,-73,7984
680,Carracosta,3,-1,36,18,-15,-63,5824
681,Archen,-16,3,-52,9,-35,-25,4900
682,Archeops,4,31,-32,47,-15,15,4660
683,Trubbish,-21,-59,-35,-25,-18,-30,6996
684,Garbodor,9,-14,-15,-5,2,-20,931
685,Zorua,-31,-44,-57,15,-40,-30,8871
686,Zorua (Hisuian Zorua),-36,-49,-57,20,-40,-25,9571
687,Zoroark,-11,-4,-37,55,-20,10,5031
688,Zoroark (Hisuian Zoroark),-16,-9,-37,60,-20,15,5931
689,Minccino,-16,-59,-57,-25,-40,-20,9611
690,Cinccino,4,-14,-37,0,-20,20,2381
691,Gothita,-26,-79,-47,-10,-15,-50,11951
692,Gothorita,-11,-64,-27,10,5,-40,6671
693,Gothitelle,-1,-54,-2,30,30,-30,5621
694,Solosis,-26,-79,-57,40,-30,-75,18291
695,Duosion,-6,-69,-47,60,-20,-65,15231
696,Reuniclus,39,-44,-22,60,5,-65,11791
697,Ducklett,-9,-65,-47,-21,-30,-40,9456
698,Swanna,4,-22,-34,22,-17,3,2438
699,Vanillite,-35,-59,-47,0,-20,-51,9916
700,Vanillish,-20,-44,-32,15,-5,-36,4906
701,Vanilluxe,0,-14,-12,45,15,-16,2846
702,Deerling,-11,-49,-47,-25,-30,-20,6656
703,Sawsbuck,9,-9,-27,-5,-10,0,1016
704,Emolga,-16,-34,-37,10,-20,8,3345
705,Karrablast,-21,-34,-52,-25,-35,-35,7376
706,Escavalier,-1,26,8,-5,25,-75,7016
707,Foongus,-2,-54,-52,-10,-25,-80,12749
708,Amoonguss,43,-24,-27,20,0,-65,7779
709,Frillish,-16,-69,-47,0,5,-55,10276
710,Jellicent,29,-49,-27,20,25,-35,6221
711,Alomomola,94,-34,-17,-25,-35,-30,13031
712,Joltik,-21,-62,-47,-8,-30,-30,8358
713,Galvantula,-1,-32,-37,32,-20,13,3987
714,Ferroseed,-27,-59,-6,-41,6,-85,13188
715,Ferrothorn,3,-15,34,-11,36,-75,8432
716,Klink,-31,-54,-27,-20,-20,-65,9631
717,Klang,-11,-29,-2,5,5,-45,3041
718,Klinklang,-11,-9,18,5,5,-5,601
719,Tynamo,-36,-54,-57,-20,-40,-35,10686
720,Eelektrik,-6,-24,-27,10,-10,-55,4566
721,Eelektross,14,6,-17,40,0,-45,4146
722,Elgyem,-16,-54,-42,20,-25,-65,10186
723,Beheeyem,4,-34,-22,60,15,-55,8506
724,Litwick,-21,-79,-42,0,-25,-75,14696
725,Lampent,-11,-69,-37,30,-20,-40,9151
726,Chandelure,-11,-54,-7,80,10,-15,9811
727,Axew,-25,-22,-37,-35,-40,-38,6747
728,Fraxure,-5,8,-27,-25,-30,-28,3127
729,Haxorus,5,38,-7,-5,-10,2,1647
730,Cubchoo,-16,-39,-57,-5,-40,-55,9676
731,Beartic,24,21,-17,5,0,-45,3356
732,Cryogonal,9,-59,-47,30,55,10,9796
733,Shelmet,-21,-69,-12,-25,-15,-70,11096
734,Accelgor,9,-39,-57,35,-20,50,8976
735,Stunfisk,38,-43,-13,16,19,-63,8048
736,Stunfisk (Galarian Stunfisk),38,-28,2,1,4,-63,6218
737,Mienfoo,-26,-24,-47,-10,-30,-30,5361
738,Mienshao,-6,16,-37,30,-20,10,3061
739,Druddigon,6,11,-7,-5,10,-47,2540
740,Golett,-12,-35,-47,-30,-30,-60,8978
741,Golurk,18,15,-17,-10,0,-40,2538
742,Pawniard,-26,-24,-27,-25,-40,-35,5431
743,Bisharp,-6,16,3,-5,-10,-25,1051
744,Bouffalant,24,1,-2,-25,15,-40,3031
745,Rufflet,-1,-26,-47,-28,-30,-35,5795
746,Braviary,29,14,-22,-8,-5,-15,1835
747,Braviary (Hisuian Braviary),39,-26,-27,47,-10,-30,6135
748,Vullaby,-1,-54,-22,-20,-15,-35,5251
749,Mandibuzz,39,-44,8,-10,15,-15,4071
750,Heatmor,14,-12,-31,40,-14,-30,3997
751,Durant,-13,0,15,-17,-32,14,1903
752,Deino,-19,-44,-47,-20,-30,-57,9055
753,Zweilous,1,-24,-27,0,-10,-37,2775
754,Hydreigon,21,-4,-7,60,10,3,4215
755,Larvesta,-16,-24,-42,-15,-25,-35,4671
756,Volcarona,14,-49,-32,70,25,5,9171
757,Cobalion,20,-19,32,25,-8,13,2643
758,Terrakion,20,20,-7,7,10,13,1167
759,Virizion,20,-19,-25,25,49,13,4581
760,Tornadus (Incarnate Forme),8,6,-27,60,0,16,4685
761,Tornadus (Therian Forme),8,-9,-17,45,10,26,3235
762,Thundurus (Incarnate Forme),8,6,-27,60,0,16,4685
763,Thundurus (Therian Forme),8,-4,-27,80,0,6,7245
764,Reshiram,29,11,3,85,40,-5,9821
765,Zekrom,29,41,23,55,20,-5,6501
766,Landorus (Incarnate Forme),18,16,-7,50,0,6,3165
767,Landorus (Therian Forme),18,36,-7,40,0,-4,3285
768,Kyurem,54,21,-7,65,10,0,7731
769,Kyurem (Black Kyurem),54,61,3,55,10,0,9771
770,Kyurem (White Kyurem),54,11,-7,105,20,0,14511
771,Keldeo,20,-37,-7,64,10,13,6183
772,Meloetta (Aria Forme),29,-32,-20,63,48,-5,8563
773,Meloetta (Pirouette Forme),29,19,-7,12,-3,33,2493
774,Genesect,0,11,-2,55,15,4,3391
775,Chespin,-15,-48,-32,-17,-35,-57,8316
776,Quilladin,-10,-31,-2,-9,-22,-38,3074
777,Chesnaught,17,-2,25,9,-5,-31,1985
778,Fennekin,-31,-64,-57,-3,-20,-35,9940
779,Braixen,-12,-50,-39,25,-10,-22,5374
780,Delphox,4,-40,-25,49,20,9,5123
781,Froakie,-30,-53,-57,-3,-36,-24,8839
782,Frogadier,-17,-46,-45,18,-24,2,5334
783,Greninja,1,-14,-30,38,-9,27,3351
784,Greninja (Ash-Greninja),1,36,-30,88,-9,37,11391
785,Bunnelby,-33,-73,-59,-33,-44,-38,14368
786,Diggersby,14,-53,-20,-15,-3,-17,3928
787,Fletchling,-26,-59,-54,-25,-42,-33,10551
788,Fletchinder,-9,-36,-42,-9,-28,-11,4127
789,Talonflame,7,-28,-26,9,-11,31,2672
790,Scatterbug,-33,-74,-57,-38,-55,-60,17883
791,Spewpa,-26,-87,-37,-38,-50,-66,17914
792,Vivillon,9,-57,-47,25,-30,-6,7100
793,Litleo,-9,-59,-39,8,-26,-23,6352
794,Pyroar,15,-41,-25,44,-14,11,4784
795,Flabébé,-27,-71,-58,-4,-1,-53,11960
796,Floette,-17,-64,-50,10,18,-43,9158
797,Florges,7,-44,-29,47,74,-20,10911
798,Skiddo,-5,-44,-49,-3,-23,-43,6749
799,Gogoat,52,-9,-35,32,1,-27,5764
800,Pancham,-4,-27,-35,-19,-32,-52,6059
801,Pangoro,24,15,-19,4,-9,-37,2628
802,Furfrou,4,-29,-37,0,10,7,2375
803,Espurr,-9,-61,-43,-2,-20,-27,6784
804,Meowstic,3,-61,-21,18,1,9,4577
805,Honedge,-26,-29,3,-30,-43,-67,8764
806,Doublade,-12,1,53,-20,-31,-60,7915
807,Aegislash (Shield Forme),-11,-59,43,-15,60,-35,10501
808,Aegislash (Blade Forme),-11,31,-47,75,-30,-35,11041
809,Spritzee,7,-57,-37,-2,-15,-72,10080
810,Aromatisse,30,-37,-25,34,9,-66,8487
811,Swirlix,-9,-61,-31,-6,-23,-46,7444
812,Slurpuff,11,-29,-11,20,-5,-23,2037
813,Inkay,-18,-55,-44,-28,-34,-50,9725
814,Malamar,15,-17,-9,3,-5,-22,1113
815,Binacle,-29,-57,-30,-26,-24,-45,8267
816,Barbaracle,1,-4,18,-11,6,-27,1227
817,Skrelp,-21,-49,-37,-5,-20,-65,8861
818,Dragalge,-6,-34,-7,32,43,-51,6715
819,Clauncher,-21,-56,-35,-7,-17,-51,7741
820,Clawitzer,0,-36,-9,55,9,-36,5779
821,Helioptile,-27,-71,-64,-4,-37,-25,11876
822,Heliolisk,-9,-54,-45,44,14,14,7350
823,Tyrunt,-13,-20,-20,-20,-35,-47,4803
824,Tyrantrum,11,12,22,4,-21,-24,1782
825,Amaura,6,-50,-47,2,-17,-49,7439
826,Aurorus,52,-32,-25,34,12,-37,7022
827,Sylveon,24,-44,-32,45,50,-35,9286
828,Hawlucha,7,-17,-22,9,-17,23,1721
829,Dedenne,-4,-51,-40,16,-13,6,4678
830,Carbink,-21,-59,53,-15,70,-45,13881
831,Goomy,-26,-59,-62,-10,-5,-55,11151
832,Sliggoo,-3,-34,-44,18,33,-35,5739
833,Sliggoo (Hisuian Sliggoo),-13,-34,-14,18,33,-55,5959
834,Goodra,19,-9,-27,45,70,-15,8321
835,Goodra (Hisuian Goodra),9,-9,3,45,70,-35,8321
836,Klefki,-14,-29,-6,15,7,-20,1747
837,Phantump,-28,-39,-49,-15,-20,-57,8580
838,Trevenant,14,1,-21,0,2,-39,2163
839,Pumpkaboo (Small Size),-27,-43,-27,-21,-25,-39,5894
840,Pumpkaboo (Average Size),-22,-43,-27,-21,-25,-44,6064
841,Pumpkaboo (Large Size),-17,-43,-27,-21,-25,-49,6334
842,Pumpkaboo (Super Size),-12,-43,-27,-21,-25,-54,6704
843,Gourgeist (Small Size),-16,-24,25,-7,-5,4,1547
844,Gourgeist (Average Size),-6,-19,25,-7,-5,-11,1217
845,Gourgeist (Large Size),4,-14,25,-7,-5,-26,1587
846,Gourgeist (Super Size),14,-9,25,-7,-5,-41,2657
847,Bergmite,-16,-40,-12,-33,-45,-67,9603
848,Avalugg,24,8,87,-21,-34,-67,14295
849,Avalugg (Hisuian Avalugg),24,18,87,-31,-44,-57,14615
850,Noibat,-31,-79,-62,-20,-40,-40,14646
851,Noivern,14,-39,-17,32,0,28,3814
852,Xerneas,55,22,-2,66,18,4,8209
853,Yveltal,55,22,-2,66,18,4,8209
854,Zygarde (50% Forme),37,-9,24,16,15,0,2507
855,Zygarde (10% Forme),-17,-9,-26,-4,5,20,1487
856,Zygarde (Complete Forme),145,-9,24,26,15,-10,22683
857,Diancie,-21,-9,53,35,70,-45,11481
858,Diancie (Mega Diancie),-21,51,13,95,30,15,13361
859,Hoopa (Hoopa Confined),9,1,-37,85,50,-25,11801
860,Hoopa (Hoopa Unbound),9,51,-37,105,50,-15,17801
861,Volcanion,9,1,23,65,10,-25,5561
862,Rowlet,-3,-54,-42,-15,-30,-53,8623
863,Dartrix,7,-34,-22,5,-10,-43,3663
864,Decidueye,7,-2,-22,35,20,-25,2787
865,Decidueye (Hisuian Decidueye),17,3,-17,30,15,-35,2937
866,Litten,-26,-44,-57,-5,-40,-25,8111
867,Torracat,-6,-24,-47,15,-30,-5,3971
868,Incineroar,24,6,-7,15,10,-35,2211
869,Popplio,-21,-55,-43,1,-24,-55,8917
870,Brionne,-11,-40,-28,26,1,-45,5207
871,Primarina,9,-35,-23,61,36,-35,8077
872,Pikipek,-36,-34,-67,-35,-50,-30,11566
873,Trumbeak,-16,-24,-47,-25,-30,-20,4966
874,Toucannon,9,11,-22,10,-5,-35,2036
875,Yungoos,-23,-39,-67,-35,-50,-50,12764
876,Gumshoos,17,1,-37,-10,-20,-50,4659
877,Grubbin,-24,-47,-52,-10,-35,-49,9215
878,Charjabug,-14,-27,-2,-10,-5,-59,4535
879,Vikavolt,6,-39,-7,80,-5,-52,10735
880,Crabrawler,-24,-27,-40,-23,-33,-32,5547
881,Crabominable,26,23,-20,-3,-13,-52,4487
882,Oricorio,4,-39,-27,33,-10,-2,3459
883,Cutiefly,-31,-64,-57,-10,-40,-11,10127
884,Ribombee,-11,-54,-37,30,-10,29,6247
885,Rockruff,-26,-44,-57,-35,-40,-35,9911
886,Lycanroc (Midday Form),4,6,-32,-10,-15,17,1690
887,Lycanroc (Midnight Form),14,6,-22,-10,-5,-13,1010
888,Lycanroc (Dusk Form),4,8,-32,-10,-15,15,1654
889,Wishiwashi (Solo Form),-26,-89,-77,-40,-55,-55,22176
890,Wishiwashi (School Form),-26,31,33,75,55,-65,15601
891,Mareanie,-21,-56,-35,-22,-28,-50,8570
892,Toxapex,-21,-46,55,-12,62,-60,13170
893,Mudbray,-1,-9,-27,-20,-25,-50,4336
894,Mudsdale,29,16,3,-10,5,-60,4831
895,Dewpider,-33,-69,-45,-25,-8,-68,13188
896,Araquanid,-3,-39,-5,-15,52,-53,7293
897,Fomantis,-31,-54,-62,-15,-45,-60,13571
898,Lurantis,-1,-4,-7,15,10,-50,2891
899,Morelull,-31,-74,-42,0,-5,-80,14626
900,Shiinotic,-11,-64,-17,25,20,-65,9756
901,Salandit,-23,-65,-57,6,-40,-18,9963
902,Salazzle,-3,-45,-37,46,-20,22,6403
903,Stufful,-1,-34,-47,-20,-30,-45,6691
904,Bewear,49,16,-17,-10,-20,-35,4671
905,Bounsweet,-29,-79,-59,-35,-42,-63,17521
906,Steenee,-19,-69,-49,-25,-32,-33,10261
907,Tsareena,1,11,1,-15,18,-23,1201
908,Comfey,-20,-57,-7,17,30,5,4912
909,Oranguru,19,-49,-17,25,30,-35,5801
910,Passimian,29,11,-7,-25,-20,-15,2261
911,Wimpod,-46,-74,-57,-45,-50,-15,15591
912,Golisopod,4,16,43,-5,10,-55,5271
913,Sandygast,-16,-54,-17,5,-35,-80,11111
914,Palossand,14,-34,13,35,-5,-60,6371
915,Pyukumuku,-16,-49,33,-35,50,-90,15571
916,Type: Null,24,-14,-2,30,15,-36,3197
917,Silvally,24,-14,-2,30,15,0,1901
918,Minior (Meteor Form),-11,-49,3,-5,20,-35,4181
919,Minior (Core),-11,-9,-37,35,-20,25,3821
920,Komala,-6,6,-32,10,15,-30,2321
921,Turtonator,-11,-31,38,26,5,-59,6708
922,Togedemaru,-6,-11,-34,-25,-7,1,1988
923,Mimikyu,-16,-19,-17,-15,25,1,1757
924,Bruxish,-3,-4,-27,5,-10,-3,888
925,Drampa,7,-49,-12,70,11,-59,11096
926,Dhelmise,-1,22,3,21,10,-55,4060
927,Jangmo-o,-26,-54,-32,-20,-35,-50,8741
928,Hakamo-o,-16,-34,-7,0,-10,-30,2461
929,Kommo-o,4,1,28,35,25,-10,2751
930,Tapu Koko,-1,6,-12,30,-5,35,2331
931,Tapu Lele,-1,-24,-22,65,35,0,6511
932,Tapu Bulu,-1,21,18,20,15,-20,1791
933,Tapu Fini,-1,-34,18,30,50,-10,4981
934,Cosmog,-28,-80,-66,-36,-49,-58,18601
935,Cosmoem,-28,-80,34,-36,51,-58,15601
936,Solgaleo,66,28,10,48,9,2,7629
937,Lunala,66,4,-8,72,27,2,10353
938,Nihilego,38,-56,-50,62,51,8,13589
939,Buzzwole,36,30,42,-12,-27,-16,5089
940,Pheromosa,0,28,-60,72,-43,56,14553
941,Xurkitree,12,-20,-26,108,-9,-12,13109
942,Celesteela,26,-8,6,42,21,-34,4137
943,Kartana,-12,72,34,-6,-49,14,9117
944,Guzzlord,152,-8,-44,32,-27,-52,29561
945,Necrozma,26,-2,4,62,9,-16,4877
946,Necrozma (Dusk Mane Necrozma),26,48,30,48,29,-18,7349
947,Necrozma (Dawn Wings Necrozma),26,4,12,92,47,-18,11833
948,Necrozma (Ultra Necrozma),26,58,0,102,17,34,15889
949,Magearna,9,-14,18,65,35,-30,6951
950,Marshadow,19,16,-17,25,10,30,2531
951,Poipole,-4,-36,-30,8,-13,-22,2929
952,Naganadel,2,-36,-24,62,-7,26,6445
953,Stakataka,-10,22,114,-12,21,-82,20889
954,Blacephalon,-18,18,-44,86,-1,12,10125
955,Zeraora,17,3,-22,37,0,48,4455
956,Meltan,-25,-44,-32,-10,-45,-61,9431
957,Melmetal,64,34,46,15,-15,-61,11539
958,Grookey,-21,-44,-47,-25,-40,-30,7711
959,Thwackey,-1,-24,-27,-10,-20,-15,2031
960,Rillaboom,29,16,-7,-5,-10,-10,1371
961,Scorbunny,-21,-38,-57,-25,-40,-26,8035
962,Raboot,-6,-23,-37,-10,-20,-1,2435
963,Cinderace,9,7,-22,0,-5,24,1215
964,Sobble,-21,-69,-57,5,-40,-25,10701
965,Drizzile,-6,-49,-42,30,-25,-5,5751
966,Inteleon,-1,-24,-32,60,-15,25,6051
967,Skwovet,-1,-54,-42,-30,-45,-70,12506
968,Greedent,49,-14,-2,-10,-5,-75,8351
969,Rookidee,-33,-62,-62,-32,-45,-38,13270
970,Corvisquire,-3,-42,-42,-22,-25,-18,4970
971,Corviknight,27,-22,8,-12,5,-28,2230
972,Blipbug,-46,-89,-77,-40,-35,-50,21291
973,Dottler,-21,-74,-17,-15,10,-65,10756
974,Orbeetle,-11,-64,13,15,40,-5,6236
975,Nickit,-31,-81,-69,-18,-28,-45,15416
976,Thievul,-1,-51,-39,22,12,-5,4776
977,Gossifleur,-31,-69,-37,-25,-20,-85,15341
978,Eldegoss,-11,-59,-7,15,40,-35,6701
979,Wooloo,-29,-69,-42,-25,-35,-47,11425
980,Dubwool,1,-29,3,-5,10,-7,1025
981,Chewtle,-21,-45,-47,-27,-42,-51,9769
