Nathan Snow vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
473,Jirachi,15,-10,-6,26,-2,-2,1045
474,Deoxys (Normal Forme),-35,40,-56,76,-52,48,16745
475,Deoxys (Attack Forme),-35,70,-86,106,-82,48,33785
476,Deoxys (Defense Forme),-35,-40,54,-4,58,-12,9265
477,Deoxys (Speed Forme),-35,-15,-16,21,-12,78,8375
478,Turtwig,-30,-42,-42,-29,-47,-71,12519
479,Grotle,-10,-21,-21,-19,-37,-66,7068
480,Torterra,10,-1,-1,1,-17,-46,2508
481,Chimchar,-41,-52,-62,-16,-58,-41,13530
482,Monferno,-21,-32,-54,4,-50,-21,7338
483,Infernape,-9,-6,-35,30,-31,6,3239
484,Piplup,-32,-59,-53,-13,-46,-62,13443
485,Prinplup,-21,-44,-38,7,-26,-52,7250
486,Empoleon,-1,-24,-18,37,-1,-42,4035
487,Starly,-45,-55,-76,-44,-72,-42,19710
488,Staravia,-30,-35,-56,-34,-62,-22,10745
489,Staraptor,0,10,-36,-24,-42,-2,3740
490,Bidoof,-26,-65,-66,-39,-62,-71,19663
491,Bibarel,-6,-25,-46,-19,-42,-31,5863
492,Kricketot,-48,-85,-65,-49,-61,-77,25805
493,Kricketune,-8,-25,-55,-19,-51,-37,8045
494,Shinx,-40,-45,-72,-34,-68,-57,17838
495,Luxio,-25,-25,-57,-14,-53,-42,9268
496,Luxray,-5,10,-27,21,-23,-32,2848
497,Budew,-45,-80,-71,-24,-32,-47,17275
498,Roserade,-25,-40,-41,51,3,-12,6660
499,Cranidos,-18,15,-66,-44,-72,-44,13961
500,Rampardos,12,55,-46,-9,-52,-44,10006
501,Shieldon,-55,-68,12,-32,-14,-72,14197
502,Bastiodon,-25,-58,62,-27,36,-72,15042
503,Burmy,-45,-81,-61,-45,-57,-66,21937
504,Wormadam (Plant Cloak),-25,-51,-21,5,3,-66,8057
505,Wormadam (Sandy Cloak),-25,-31,-1,-15,-17,-66,6457
506,Wormadam (Trash Cloak),-25,-41,-11,-5,-7,-66,6857
507,Mothim,-15,-16,-56,20,-52,-36,8017
508,Combee,-55,-80,-64,-44,-60,-32,20081
509,Vespiquen,-15,-30,-4,6,0,-62,5021
510,Pachirisu,-25,-65,-36,-29,-12,-7,7180
511,Buizel,-30,-45,-71,-14,-72,-17,13635
512,Floatzel,0,-5,-51,11,-52,13,5620
513,Cherubi,-40,-75,-61,-12,-49,-67,17980
514,Cherrim,-15,-50,-36,13,-24,-17,5055
515,Shellos,-9,-62,-58,-17,-40,-68,13802
516,Gastrodon,26,-27,-38,18,-20,-63,7542
517,Ambipom,-10,-10,-40,-14,-36,13,3461
518,Drifloon,5,-60,-72,-14,-58,-32,13393
519,Drifblim,65,-30,-62,16,-48,-22,12013
520,Buneary,-30,-44,-62,-30,-46,-17,9985
521,Lopunny,-20,-34,-22,-20,-6,3,2485
522,Lopunny (Mega Lopunny),-20,26,-12,-20,-6,33,2745
523,Mismagius,-25,-50,-46,31,3,3,6220
524,Honchkrow,15,15,-54,31,-50,-31,7788
525,Glameow,-36,-55,-64,-32,-65,-17,13955
526,Purugly,-14,-28,-42,-10,-43,10,4793
527,Chingling,-40,-80,-56,-9,-52,-57,17170
528,Stunky,-22,-47,-59,-33,-61,-28,11768
529,Skuntank,18,-17,-39,-3,-41,-18,4148
530,Bronzor,-28,-86,-20,-50,-16,-79,17577
531,Bronzong,-18,-21,10,5,14,-69,5847
532,Bonsly,-35,-30,-11,-64,-57,-92,18055
533,Mime Jr.,-65,-85,-61,-4,-12,-42,17095
534,Happiny,15,-105,-101,-59,-37,-72,31485
535,Chatot,-9,-45,-61,18,-60,-11,9872
536,Spiritomb,-35,-18,2,18,6,-67,6402
537,Gible,-27,-40,-61,-34,-57,-60,14055
538,Gabite,-17,-20,-41,-24,-47,-20,5555
539,Garchomp,23,20,-11,6,-17,0,1375
540,Garchomp (Mega Garchomp),23,60,9,46,-7,-10,6475
541,Munchlax,50,-25,-66,-34,-17,-97,18335
542,Riolu,-45,-40,-66,-39,-62,-42,15110
543,Lucario,-15,0,-36,41,-32,-12,4370
544,Lucario (Mega Lucario),-15,35,-18,66,-32,10,7254
545,Hippopotas,-17,-38,-28,-36,-60,-70,12313
546,Hippowdon,23,2,12,-6,-30,-55,4638
547,Skorupi,-45,-60,-16,-44,-47,-37,11395
548,Drapion,-15,-20,4,-14,-27,-7,1615
549,Croagunk,-37,-49,-66,-13,-62,-52,14843
550,Toxicroak,-2,-4,-41,12,-37,-17,3503
551,Carnivine,-11,-10,-34,16,-30,-56,5669
552,Finneon,-36,-61,-50,-25,-41,-36,11119
553,Lumineon,-16,-41,-30,-5,-16,-11,3239
554,Mantyke,-40,-90,-56,-14,18,-52,16060
555,Snover,-25,-48,-56,-12,-42,-62,11817
556,Abomasnow,5,-18,-31,18,-17,-42,3687
557,Abomasnow (Mega Abomasnow),5,22,-1,58,3,-72,9067
558,Weavile,-15,10,-41,-29,-17,23,3665
559,Magnezone,-15,-40,9,56,-12,-42,6950
560,Lickilicky,25,-25,-11,6,-7,-52,4160
561,Rhyperior,30,30,24,-19,-47,-62,8790
562,Tangrowth,15,-10,19,36,-52,-52,7390
563,Electivire,-10,13,-39,21,-17,-7,2569
564,Magmortar,-10,-15,-39,51,-7,-19,4857
565,Togekiss,0,-60,-11,46,13,-22,6490
566,Yanmega,1,-34,-20,42,-46,-7,5486
567,Leafeon,-20,0,24,-14,-37,-7,2590
568,Glaceon,-20,-50,4,56,-7,-37,7470
569,Gliscor,-10,-15,19,-29,-27,-7,2305
570,Mamoswine,25,20,-26,-4,-42,-22,3965
571,Porygon-Z,0,-30,-36,61,-27,-12,6790
572,Gallade,-17,15,-41,-9,13,-22,2929
573,Gallade (Mega Gallade),-17,55,-11,-9,13,8,3749
574,Probopass,-25,-55,39,1,48,-62,11320
575,Dusknoir,-40,-10,29,-9,33,-57,6960
576,Froslass,-15,-30,-36,6,-32,8,3545
577,Rotom,-35,-60,-29,21,-25,-11,6853
578,Rotom (Heat Rotom),-35,-45,1,31,5,-16,4493
579,Rotom (Wash Rotom),-35,-45,1,31,5,-16,4493
580,Rotom (Frost Rotom),-35,-45,1,31,5,-16,4493
581,Rotom (Fan Rotom),-35,-45,1,31,5,-16,4493
582,Rotom (Mow Rotom),-35,-45,1,31,5,-16,4493
583,Uxie,-10,-35,24,1,28,-7,2735
584,Mesprit,-5,-5,-1,31,3,-22,1505
585,Azelf,-10,15,-36,51,-32,13,5415
586,Dialga,15,10,14,76,-2,-12,6445
587,Dialga (Origin Forme),15,-10,14,76,18,-12,6765
588,Palkia,5,10,-6,76,18,-2,6265
589,Palkia (Origin Forme),5,-10,-6,76,18,18,6585
590,Heatran,6,-20,0,56,4,-25,4213
591,Regigigas,25,50,4,6,8,-2,3245
592,Giratina (Altered Forme),65,-10,14,26,18,-12,5665
593,Giratina (Origin Forme),65,10,-6,46,-2,-12,6625
594,Cresselia,35,-40,14,1,28,-17,4095
595,Phione,-5,-30,-26,6,-22,-22,2605
596,Manaphy,15,-10,-6,26,-2,-2,1045
597,Darkrai,-15,-20,-16,61,-12,23,5275
598,Shaymin (Land Forme),15,-10,-6,26,-2,-2,1045
599,Shaymin (Sky Forme),15,-7,-31,46,-27,25,4705
600,Arceus,35,10,14,46,18,18,4285
601,Victini,15,-10,-6,26,-2,-2,1045
602,Snivy,-40,-65,-51,-29,-47,-39,12997
603,Servine,-25,-50,-31,-14,-27,-19,5372
604,Serperior,-10,-35,-11,1,-7,11,1617
605,Tepig,-20,-47,-61,-29,-57,-57,13669
606,Pignite,5,-17,-51,-4,-47,-47,7349
607,Emboar,25,13,-41,26,-37,-37,5889
608,Oshawott,-30,-55,-61,-11,-57,-57,14265
609,Dewott,-10,-35,-46,9,-42,-42,7050
610,Samurott,10,-10,-21,34,-32,-32,3845
611,Samurott (Hisuian Samurott),5,-2,-26,26,-37,-17,3039
612,Patrat,-40,-55,-67,-39,-63,-60,18204
613,Watchog,-25,-25,-37,-14,-33,-25,4529
614,Lillipup,-40,-50,-61,-49,-57,-47,15680
615,Herdier,-20,-30,-41,-39,-37,-42,7635
616,Stoutland,0,0,-16,-29,-12,-22,1725
617,Purrloin,-44,-60,-69,-24,-65,-36,16394
618,Liepard,-21,-22,-56,14,-52,4,6977
619,Pansage,-35,-57,-58,-21,-54,-38,12639
620,Simisage,-10,-12,-43,24,-39,-1,4191
621,Pansear,-35,-57,-58,-21,-54,-38,12639
622,Simisear,-10,-12,-43,24,-39,-1,4191
623,Panpour,-35,-57,-58,-21,-54,-38,12639
624,Simipour,-10,-12,-43,24,-39,-1,4191
625,Munna,-9,-85,-61,-7,-47,-78,19369
626,Musharna,31,-55,-21,33,-7,-73,10894
627,Pidove,-35,-55,-56,-38,-72,-59,17495
628,Tranquill,-23,-33,-44,-24,-60,-37,9099
629,Unfezant,-5,5,-26,-9,-47,-9,3097
630,Blitzle,-40,-50,-74,-24,-70,-26,15728
631,Zebstrika,-10,-10,-43,6,-39,14,3802
632,Roggenrola,-30,-35,-21,-49,-77,-87,18465
633,Boldore,-15,-5,-1,-24,-62,-82,11395
634,Gigalith,0,25,24,-14,-22,-77,7810
635,Woobat,-20,-65,-63,-19,-59,-30,13336
636,Swoobat,-18,-53,-51,3,-47,12,8096
637,Drilbur,-25,-25,-66,-44,-57,-34,11947
638,Excadrill,25,25,-46,-24,-37,-14,5507
639,Audino,18,-50,-20,-14,-16,-52,6380
640,Audino (Mega Audino),18,-50,20,6,24,-52,6540
641,Timburr,-10,-30,-51,-49,-67,-67,14980
642,Gurdurr,0,-5,-21,-34,-52,-62,8170
643,Conkeldurr,20,30,-11,-19,-37,-57,6400
644,Tympole,-35,-60,-66,-24,-62,-38,15045
645,Palpitoad,-10,-45,-51,-9,-47,-33,8105
646,Seismitoad,20,-15,-31,11,-27,-28,3220
647,Throh,35,-10,-21,-44,-17,-57,7240
648,Sawk,-10,15,-31,-44,-27,-17,4240
649,Sewaddle,-40,-57,-36,-34,-42,-60,12665
650,Swadloon,-30,-47,-16,-24,-22,-60,8025
651,Leavanny,-10,-7,-26,-4,-22,-10,1425
652,Venipede,-55,-65,-47,-44,-63,-45,17389
653,Whirlipede,-45,-55,-7,-34,-23,-55,9809
654,Scolipede,-25,-10,-17,-19,-33,10,2564
655,Cottonee,-45,-83,-46,-37,-52,-36,16399
656,Whimsicott,-25,-43,-21,3,-27,14,3849
657,Petilil,-40,-75,-56,-4,-52,-72,18265
658,Lilligant,-15,-50,-31,36,-27,-12,5855
659,Lilligant (Hisuian Lilligant),-15,-5,-31,-24,-27,3,2525
660,Basculin,-15,-18,-41,6,-47,-4,4491
661,Sandile,-35,-38,-71,-39,-67,-37,15089
662,Krokorok,-25,-28,-61,-29,-57,-28,10004
663,Krookodile,10,7,-26,-9,-32,-10,2030
664,Darumaka,-15,-20,-61,-59,-57,-52,13780
665,Darumaka (Galarian Darumaka),-15,-20,-61,-59,-57,-52,13780
666,Darmanitan (Standard Mode),20,30,-51,-44,-47,-7,8095
667,Darmanitan (Zen Mode),20,-80,-1,66,3,-47,13375
668,Darmanitan (Galarian Standard Mode),20,30,-51,-44,-47,-7,8095
669,Darmanitan (Galarian Zen Mode),20,50,-51,-44,-47,33,10735
670,Maractus,-10,-24,-39,32,-35,-42,6210
671,Dwebble,-35,-45,-21,-39,-67,-47,11910
672,Crustle,-15,-5,19,-9,-27,-57,4670
673,Scraggy,-35,-35,-36,-39,-32,-54,9207
674,Scrafty,-20,-20,9,-29,13,-44,3827
675,Sigilyph,-13,-52,-26,29,-22,-5,4899
676,Yamask,-47,-80,-21,-19,-37,-72,15964
677,Yamask (Galarian Yamask),-47,-55,-21,-44,-37,-72,14164
678,Cofagrigus,-27,-60,39,21,3,-72,11484
679,Tirtouga,-31,-32,-3,-21,-57,-80,12084
680,Carracosta,-11,-2,27,9,-37,-70,7204
681,Archen,-30,2,-61,0,-57,-32,8898
682,Archeops,-10,30,-41,38,-37,8,5558
683,Trubbish,-35,-60,-44,-34,-40,-37,10886
684,Garbodor,-5,-15,-24,-14,-20,-27,2151
685,Zorua,-45,-45,-66,6,-62,-37,13655
686,Zorua (Hisuian Zorua),-50,-50,-66,11,-62,-32,14345
687,Zoroark,-25,-5,-46,46,-42,3,6655
688,Zoroark (Hisuian Zoroark),-30,-10,-46,51,-42,8,7545
689,Minccino,-30,-60,-66,-34,-62,-27,14585
690,Cinccino,-10,-15,-46,-9,-42,13,4455
691,Gothita,-40,-80,-56,-19,-37,-57,16115
692,Gothorita,-25,-65,-36,1,-17,-47,8645
693,Gothitelle,-15,-55,-11,21,8,-37,5245
694,Solosis,-40,-80,-66,31,-52,-82,22745
695,Duosion,-20,-70,-56,51,-42,-72,17985
696,Reuniclus,25,-45,-31,51,-17,-72,11685
697,Ducklett,-23,-66,-56,-30,-52,-47,13834
698,Swanna,-10,-23,-43,13,-39,-4,4184
699,Vanillite,-49,-60,-56,-9,-42,-58,14346
700,Vanillish,-34,-45,-41,6,-27,-43,7476
701,Vanilluxe,-14,-15,-21,36,-7,-23,2736
702,Deerling,-25,-50,-56,-34,-52,-27,10850
703,Sawsbuck,-5,-10,-36,-14,-32,-7,2690
704,Emolga,-30,-35,-46,1,-42,1,6007
705,Karrablast,-35,-35,-61,-34,-57,-42,12340
706,Escavalier,-15,25,-1,-14,3,-82,7780
707,Foongus,-16,-55,-61,-19,-47,-87,17141
708,Amoonguss,29,-25,-36,11,-22,-72,8551
709,Frillish,-30,-70,-56,-9,-17,-62,13150
710,Jellicent,15,-50,-36,11,3,-42,5915
711,Alomomola,80,-35,-26,-34,-57,-37,14075
712,Joltik,-35,-63,-56,-17,-52,-37,12692
713,Galvantula,-15,-33,-46,23,-42,6,5759
714,Ferroseed,-41,-60,-15,-50,-16,-92,16726
715,Ferrothorn,-11,-16,25,-20,14,-82,8322
716,Klink,-45,-55,-36,-29,-42,-72,14135
717,Klang,-25,-30,-11,-4,-17,-52,4655
718,Klinklang,-25,-10,9,-4,-17,-12,1255
719,Tynamo,-50,-55,-66,-29,-62,-42,16330
720,Eelektrik,-20,-25,-36,1,-32,-62,7190
721,Eelektross,0,5,-26,31,-22,-52,4850
722,Elgyem,-30,-55,-51,11,-47,-72,14040
723,Beheeyem,-10,-35,-31,51,-7,-62,8780
724,Litwick,-35,-80,-51,-9,-47,-82,19240
725,Lampent,-25,-70,-46,21,-42,-47,12055
726,Chandelure,-25,-55,-16,71,-12,-22,9575
727,Axew,-39,-23,-46,-44,-62,-45,11971
728,Fraxure,-19,7,-36,-34,-52,-35,6791
729,Haxorus,-9,37,-16,-14,-32,-5,2951
730,Cubchoo,-30,-40,-66,-14,-62,-62,14740
731,Beartic,10,20,-26,-4,-22,-52,4380
732,Cryogonal,-5,-60,-56,21,33,3,8300
733,Shelmet,-35,-70,-21,-34,-37,-77,15020
734,Accelgor,-5,-40,-66,26,-42,43,10270
735,Stunfisk,24,-44,-22,7,-3,-70,7954
736,Stunfisk (Galarian Stunfisk),24,-29,-7,-8,-18,-70,6754
737,Mienfoo,-40,-25,-56,-19,-52,-37,9795
738,Mienshao,-20,15,-46,21,-42,3,4955
739,Druddigon,-8,10,-16,-14,-12,-54,3676
740,Golett,-26,-36,-56,-39,-52,-67,13822
741,Golurk,4,14,-26,-19,-22,-47,3942
742,Pawniard,-40,-25,-36,-34,-62,-42,10285
743,Bisharp,-20,15,-6,-14,-32,-32,2905
744,Bouffalant,10,0,-11,-34,-7,-47,3635
745,Rufflet,-15,-27,-56,-37,-52,-42,9927
746,Braviary,15,13,-31,-17,-27,-22,2857
747,Braviary (Hisuian Braviary),25,-27,-36,38,-32,-37,6487
748,Vullaby,-15,-55,-31,-29,-37,-42,8185
749,Mandibuzz,25,-45,-1,-19,-7,-22,3545
750,Heatmor,0,-13,-40,31,-36,-37,5395
751,Durant,-27,-1,6,-26,-54,7,4407
752,Deino,-33,-45,-56,-29,-52,-64,13891
753,Zweilous,-13,-25,-36,-9,-32,-44,5131
754,Hydreigon,7,-5,-16,51,-12,-4,3091
755,Larvesta,-30,-25,-51,-24,-47,-42,8675
756,Volcarona,0,-50,-41,61,3,-2,7915
757,Cobalion,6,-20,23,16,-30,6,2157
758,Terrakion,6,19,-16,-2,-12,6,837
759,Virizion,6,-20,-34,16,27,6,2613
760,Tornadus (Incarnate Forme),-6,5,-36,51,-22,9,4523
761,Tornadus (Therian Forme),-6,-10,-26,36,-12,19,2613
762,Thundurus (Incarnate Forme),-6,5,-36,51,-22,9,4523
763,Thundurus (Therian Forme),-6,-5,-36,71,-22,-1,6883
764,Reshiram,15,10,-6,76,18,-12,6605
765,Zekrom,15,40,14,46,-2,-12,4285
766,Landorus (Incarnate Forme),4,15,-16,41,-22,-1,2663
767,Landorus (Therian Forme),4,35,-16,31,-22,-11,3063
768,Kyurem,40,20,-16,56,-12,-7,5585
769,Kyurem (Black Kyurem),40,60,-6,46,-12,-7,7545
770,Kyurem (White Kyurem),40,10,-16,96,-2,-7,11225
771,Keldeo,6,-38,-16,55,-12,6,4941
772,Meloetta (Aria Forme),15,-33,-29,54,26,-12,5891
773,Meloetta (Pirouette Forme),15,18,-16,3,-25,26,2115
774,Genesect,-14,10,-11,46,-7,-3,2591
775,Chespin,-29,-49,-41,-26,-57,-64,12944
776,Quilladin,-24,-32,-11,-18,-44,-45,6006
777,Chesnaught,3,-3,16,0,-27,-38,2447
778,Fennekin,-45,-65,-66,-12,-42,-42,14278
779,Braixen,-26,-51,-48,16,-32,-29,7702
780,Delphox,-10,-41,-34,40,-2,2,4545
781,Froakie,-44,-54,-66,-12,-58,-31,13677
782,Frogadier,-31,-47,-54,9,-46,-5,8308
783,Greninja,-13,-15,-39,29,-31,20,4117
784,Greninja (Ash-Greninja),-13,35,-39,79,-31,30,11017
785,Bunnelby,-47,-74,-68,-42,-66,-45,20454
786,Diggersby,0,-54,-29,-24,-25,-24,5534
787,Fletchling,-40,-60,-63,-34,-64,-40,16021
788,Fletchinder,-23,-37,-51,-18,-50,-18,7647
789,Talonflame,-7,-29,-35,0,-33,24,3780
790,Scatterbug,-47,-75,-66,-47,-77,-67,24817
791,Spewpa,-40,-88,-46,-47,-72,-73,24182
792,Vivillon,-5,-58,-56,16,-52,-13,9654
793,Litleo,-23,-60,-48,-1,-48,-30,9638
794,Pyroar,1,-42,-34,35,-36,4,5458
795,Flabébé,-41,-72,-67,-13,-23,-60,15652
796,Floette,-31,-65,-59,1,-4,-50,11184
797,Florges,-7,-45,-38,38,52,-27,8395
798,Skiddo,-19,-45,-58,-12,-45,-50,10419
799,Gogoat,38,-10,-44,23,-21,-34,5606
800,Pancham,-18,-28,-44,-28,-54,-59,10225
801,Pangoro,10,14,-28,-5,-31,-44,4002
802,Furfrou,-10,-30,-46,-9,-12,0,3341
803,Espurr,-23,-62,-52,-11,-42,-34,10118
804,Meowstic,-11,-62,-30,9,-21,2,5391
805,Honedge,-40,-30,-6,-39,-65,-74,13758
806,Doublade,-26,0,44,-29,-53,-67,10751
807,Aegislash (Shield Forme),-25,-60,34,-24,38,-42,9165
808,Aegislash (Blade Forme),-25,30,-56,66,-52,-42,13485
809,Spritzee,-7,-58,-46,-11,-37,-79,13260
810,Aromatisse,16,-38,-34,25,-13,-73,8979
811,Swirlix,-23,-62,-40,-15,-45,-53,11032
812,Slurpuff,-3,-30,-20,11,-27,-30,3059
813,Inkay,-32,-56,-53,-37,-56,-57,14723
814,Malamar,1,-18,-18,-6,-27,-29,2255
815,Binacle,-43,-58,-39,-35,-46,-52,12779
816,Barbaracle,-13,-5,9,-20,-16,-34,2087
817,Skrelp,-35,-50,-46,-14,-42,-72,12985
818,Dragalge,-20,-35,-16,23,21,-58,6215
819,Clauncher,-35,-57,-44,-16,-39,-58,11551
820,Clawitzer,-14,-37,-18,46,-13,-43,6023
821,Helioptile,-41,-72,-73,-13,-59,-32,16868
822,Heliolisk,-23,-55,-54,35,-8,7,7808
823,Tyrunt,-27,-21,-29,-29,-57,-54,9017
824,Tyrantrum,-3,11,13,-5,-43,-31,3134
825,Amaura,-8,-51,-56,-7,-39,-56,10507
826,Aurorus,38,-33,-34,25,-10,-44,6350
827,Sylveon,10,-45,-41,36,28,-42,7650
828,Hawlucha,-7,-18,-31,0,-39,16,3111
829,Dedenne,-18,-52,-49,7,-35,-1,6704
830,Carbink,-35,-60,44,-24,48,-52,12345
831,Goomy,-40,-60,-71,-19,-27,-62,15175
832,Sliggoo,-17,-35,-53,9,11,-42,6289
833,Sliggoo (Hisuian Sliggoo),-27,-35,-23,9,11,-62,6529
834,Goodra,5,-10,-36,36,48,-22,5505
835,Goodra (Hisuian Goodra),-5,-10,-6,36,48,-42,5525
836,Klefki,-28,-30,-15,6,-15,-27,2899
837,Phantump,-42,-40,-58,-24,-42,-64,13164
838,Trevenant,0,0,-30,-9,-20,-46,3497
839,Pumpkaboo (Small Size),-41,-44,-36,-30,-47,-46,10138
840,Pumpkaboo (Average Size),-36,-44,-36,-30,-47,-51,10238
841,Pumpkaboo (Large Size),-31,-44,-36,-30,-47,-56,10438
842,Pumpkaboo (Super Size),-26,-44,-36,-30,-47,-61,10738
843,Gourgeist (Small Size),-30,-25,16,-16,-27,-3,2775
844,Gourgeist (Average Size),-20,-20,16,-16,-27,-18,2365
845,Gourgeist (Large Size),-10,-15,16,-16,-27,-33,2655
846,Gourgeist (Super Size),0,-10,16,-16,-27,-48,3645
847,Bergmite,-30,-41,-21,-42,-67,-74,14751
848,Avalugg,10,7,78,-30,-56,-74,15745
849,Avalugg (Hisuian Avalugg),10,17,78,-40,-66,-64,16525
850,Noibat,-45,-80,-71,-29,-62,-47,20360
851,Noivern,0,-40,-26,23,-22,21,3730
852,Xerneas,41,21,-11,57,-4,-3,5517
853,Yveltal,41,21,-11,57,-4,-3,5517
854,Zygarde (50% Forme),23,-10,15,7,-7,-7,1001
855,Zygarde (10% Forme),-31,-10,-35,-13,-17,13,2913
856,Zygarde (Complete Forme),131,-10,15,17,-7,-17,18113
857,Diancie,-35,-10,44,26,48,-52,8945
858,Diancie (Mega Diancie),-35,50,4,86,8,8,11265
859,Hoopa (Hoopa Confined),-5,0,-46,76,28,-32,9725
860,Hoopa (Hoopa Unbound),-5,50,-46,96,28,-22,15125
861,Volcanion,-5,0,14,56,-12,-32,4525
862,Rowlet,-17,-55,-51,-24,-52,-60,12795
863,Dartrix,-7,-35,-31,-4,-32,-50,5775
864,Decidueye,-7,-3,-31,26,-2,-32,2723
865,Decidueye (Hisuian Decidueye),3,2,-26,21,-7,-42,2943
866,Litten,-40,-45,-66,-14,-62,-32,13045
867,Torracat,-20,-25,-56,6,-52,-12,7045
868,Incineroar,10,5,-16,6,-12,-42,2325
869,Popplio,-35,-56,-52,-8,-46,-62,13089
870,Brionne,-25,-41,-37,17,-21,-52,7109
871,Primarina,-5,-36,-32,52,14,-42,7009
872,Pikipek,-50,-35,-76,-44,-72,-37,17990
873,Trumbeak,-30,-25,-56,-34,-52,-27,9250
874,Toucannon,-5,10,-31,1,-27,-42,3580
875,Yungoos,-37,-40,-76,-44,-72,-57,19114
876,Gumshoos,3,0,-46,-19,-42,-57,7499
877,Grubbin,-38,-48,-61,-19,-57,-56,14215
878,Charjabug,-28,-28,-11,-19,-27,-66,7135
879,Vikavolt,-8,-40,-16,71,-27,-59,11171
880,Crabrawler,-38,-28,-49,-32,-55,-39,10199
881,Crabominable,12,22,-29,-12,-35,-59,6319
882,Oricorio,-10,-40,-36,24,-32,-9,4677
883,Cutiefly,-45,-65,-66,-19,-62,-18,15135
884,Ribombee,-25,-55,-46,21,-32,22,7715
885,Rockruff,-40,-45,-66,-44,-62,-42,15525
886,Lycanroc (Midday Form),-10,5,-41,-19,-37,10,3636
887,Lycanroc (Midnight Form),0,5,-31,-19,-27,-20,2476
888,Lycanroc (Dusk Form),-10,7,-41,-19,-37,8,3624
889,Wishiwashi (Solo Form),-40,-90,-86,-49,-77,-62,29270
890,Wishiwashi (School Form),-40,30,24,66,33,-72,13705
891,Mareanie,-35,-57,-44,-31,-50,-57,13120
892,Toxapex,-35,-47,46,-21,40,-67,12080
893,Mudbray,-15,-10,-36,-29,-47,-57,7920
894,Mudsdale,15,15,-6,-19,-17,-67,5625
895,Dewpider,-47,-70,-54,-34,-30,-75,17706
896,Araquanid,-17,-40,-14,-24,30,-60,7161
897,Fomantis,-45,-55,-71,-24,-67,-67,19645
898,Lurantis,-15,-5,-16,6,-12,-57,3935
899,Morelull,-45,-75,-51,-9,-27,-87,18630
900,Shiinotic,-25,-65,-26,16,-2,-72,10970
901,Salandit,-37,-66,-66,-3,-62,-25,14559
902,Salazzle,-17,-46,-46,37,-42,15,7879
903,Stufful,-15,-35,-56,-29,-52,-52,10835
904,Bewear,35,15,-26,-19,-42,-42,6015
905,Bounsweet,-43,-80,-68,-44,-64,-70,23805
906,Steenee,-33,-70,-58,-34,-54,-40,15025
907,Tsareena,-13,10,-8,-24,-4,-30,1825
908,Comfey,-34,-58,-16,8,8,-2,4908
909,Oranguru,5,-50,-26,16,8,-42,5285
910,Passimian,15,10,-16,-34,-42,-22,3985
911,Wimpod,-60,-75,-66,-54,-72,-22,22165
912,Golisopod,-10,15,34,-14,-12,-62,5665
913,Sandygast,-30,-55,-26,-4,-57,-87,15435
914,Palossand,0,-35,4,26,-27,-67,7135
915,Pyukumuku,-30,-50,24,-44,28,-97,16105
916,Type: Null,10,-15,-11,21,-7,-43,2785
917,Silvally,10,-15,-11,21,-7,-7,985
918,Minior (Meteor Form),-25,-50,-6,-14,-2,-42,5125
919,Minior (Core),-25,-10,-46,26,-42,18,5605
920,Komala,-20,5,-41,1,-7,-37,3525
921,Turtonator,-25,-32,29,17,-17,-66,7424
922,Togedemaru,-20,-12,-43,-34,-29,-6,4426
923,Mimikyu,-30,-20,-26,-24,3,-6,2597
924,Bruxish,-17,-5,-36,-4,-32,-10,2750
925,Drampa,-7,-50,-21,61,-11,-66,11188
926,Dhelmise,-15,21,-6,12,-12,-62,4834
927,Jangmo-o,-40,-55,-41,-29,-57,-57,13645
928,Hakamo-o,-30,-35,-16,-9,-32,-37,4855
929,Kommo-o,-10,0,19,26,3,-17,1435
930,Tapu Koko,-15,5,-21,21,-27,28,2645
931,Tapu Lele,-15,-25,-31,56,13,-7,5165
932,Tapu Bulu,-15,20,9,11,-7,-27,1605
933,Tapu Fini,-15,-35,9,21,28,-17,3045
934,Cosmog,-42,-81,-75,-45,-71,-65,25241
935,Cosmoem,-42,-81,25,-45,29,-65,16041
936,Solgaleo,52,27,1,39,-13,-5,5149
937,Lunala,52,3,-17,63,5,-5,7021
938,Nihilego,24,-57,-59,53,29,1,10957
939,Buzzwole,22,29,33,-21,-49,-23,5785
940,Pheromosa,-14,27,-69,63,-65,49,16281
941,Xurkitree,-2,-21,-35,99,-31,-19,12793
942,Celesteela,12,-9,-3,33,-1,-41,3005
943,Kartana,-26,71,25,-15,-71,7,11657
944,Guzzlord,138,-9,-53,23,-49,-59,28345
945,Necrozma,12,-3,-5,53,-13,-23,3685
946,Necrozma (Dusk Mane Necrozma),12,47,21,39,7,-25,4989
947,Necrozma (Dawn Wings Necrozma),12,3,3,83,25,-25,8301
948,Necrozma (Ultra Necrozma),12,57,-9,93,-5,27,12877
949,Magearna,-5,-15,9,56,13,-37,5005
950,Marshadow,5,15,-26,16,-12,23,1855
951,Poipole,-18,-37,-39,-1,-35,-29,5281
952,Naganadel,-12,-37,-33,53,-29,19,6613
953,Stakataka,-24,21,105,-21,-1,-89,20405
954,Blacephalon,-32,17,-53,77,-23,5,10605
955,Zeraora,3,2,-31,28,-22,41,3923
956,Meltan,-39,-45,-41,-19,-67,-68,14701
957,Melmetal,50,33,37,6,-37,-68,10987
