Milen Satish vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
473,Jirachi,19,-9,-12,26,-1,0,1263
474,Deoxys (Normal Forme),-31,41,-62,76,-51,50,17363
475,Deoxys (Attack Forme),-31,71,-92,106,-81,50,34763
476,Deoxys (Defense Forme),-31,-39,48,-4,59,-10,8383
477,Deoxys (Speed Forme),-31,-14,-22,21,-11,80,8603
478,Turtwig,-26,-41,-48,-29,-46,-69,12379
479,Grotle,-6,-20,-27,-19,-36,-64,6918
480,Torterra,14,0,-7,1,-16,-44,2438
481,Chimchar,-37,-51,-68,-16,-57,-39,13620
482,Monferno,-17,-31,-60,4,-49,-19,7628
483,Infernape,-5,-5,-41,30,-30,8,3595
484,Piplup,-28,-58,-59,-13,-45,-60,13423
485,Prinplup,-17,-43,-44,7,-25,-50,7248
486,Empoleon,3,-23,-24,37,0,-40,4083
487,Starly,-41,-54,-82,-44,-71,-40,19898
488,Staravia,-26,-34,-62,-34,-61,-20,10953
489,Staraptor,4,11,-42,-24,-41,0,4158
490,Bidoof,-22,-64,-72,-39,-61,-69,19767
491,Bibarel,-2,-24,-52,-19,-41,-29,6167
492,Kricketot,-44,-84,-71,-49,-60,-75,25659
493,Kricketune,-4,-24,-61,-19,-50,-35,8399
494,Shinx,-36,-44,-78,-34,-67,-55,17986
495,Luxio,-21,-24,-63,-14,-52,-40,9486
496,Luxray,-1,11,-33,21,-22,-30,3036
497,Budew,-41,-79,-77,-24,-31,-45,17413
498,Roserade,-21,-39,-47,51,4,-10,6888
499,Cranidos,-14,16,-72,-44,-71,-42,14377
500,Rampardos,16,56,-52,-9,-51,-42,10542
501,Shieldon,-51,-67,6,-32,-13,-70,13219
502,Bastiodon,-21,-57,56,-27,37,-70,13824
503,Burmy,-41,-80,-67,-45,-56,-64,21827
504,Wormadam (Plant Cloak),-21,-50,-27,5,4,-64,7807
505,Wormadam (Sandy Cloak),-21,-30,-7,-15,-16,-64,5967
506,Wormadam (Trash Cloak),-21,-40,-17,-5,-6,-64,6487
507,Mothim,-11,-15,-62,20,-51,-34,8347
508,Combee,-51,-79,-70,-44,-59,-30,20059
509,Vespiquen,-11,-29,-10,6,1,-60,4699
510,Pachirisu,-21,-64,-42,-29,-11,-5,7288
511,Buizel,-26,-44,-77,-14,-71,-15,14003
512,Floatzel,4,-4,-57,11,-51,15,6228
513,Cherubi,-36,-74,-67,-12,-48,-65,17934
514,Cherrim,-11,-49,-42,13,-23,-15,5209
515,Shellos,-5,-61,-64,-17,-39,-66,14008
516,Gastrodon,30,-26,-44,18,-19,-61,7918
517,Ambipom,-6,-9,-46,-14,-35,15,3879
518,Drifloon,9,-59,-78,-14,-57,-30,13991
519,Drifblim,69,-29,-68,16,-47,-20,13091
520,Buneary,-26,-43,-68,-30,-45,-15,10299
521,Lopunny,-16,-33,-28,-20,-5,5,2579
522,Lopunny (Mega Lopunny),-16,27,-18,-20,-5,35,2959
523,Mismagius,-21,-49,-52,31,4,5,6548
524,Honchkrow,19,16,-60,31,-49,-29,8420
525,Glameow,-32,-54,-70,-32,-64,-15,14185
526,Purugly,-10,-27,-48,-10,-42,12,5141
527,Chingling,-36,-79,-62,-9,-51,-55,17088
528,Stunky,-18,-46,-65,-33,-60,-26,12030
529,Skuntank,22,-16,-45,-3,-40,-16,4630
530,Bronzor,-24,-85,-26,-50,-15,-77,17131
531,Bronzong,-14,-20,4,5,15,-67,5351
532,Bonsly,-31,-29,-17,-64,-56,-90,17423
533,Mime Jr.,-61,-84,-67,-4,-11,-40,17003
534,Happiny,19,-104,-107,-59,-36,-70,32303
535,Chatot,-5,-44,-67,18,-59,-9,10336
536,Spiritomb,-31,-17,-4,18,7,-65,5864
537,Gible,-23,-39,-67,-34,-56,-58,14195
538,Gabite,-13,-19,-47,-24,-46,-18,5755
539,Garchomp,27,21,-17,6,-16,2,1755
540,Garchomp (Mega Garchomp),27,61,3,46,-6,-8,6675
541,Munchlax,54,-24,-72,-34,-16,-95,19113
542,Riolu,-41,-39,-72,-39,-61,-40,15228
543,Lucario,-11,1,-42,41,-31,-10,4628
544,Lucario (Mega Lucario),-11,36,-24,66,-31,12,7454
545,Hippopotas,-13,-37,-34,-36,-59,-68,12095
546,Hippowdon,27,3,6,-6,-29,-53,4460
547,Skorupi,-41,-59,-22,-44,-46,-35,10923
548,Drapion,-11,-19,-2,-14,-26,-5,1383
549,Croagunk,-33,-48,-72,-13,-61,-50,14967
550,Toxicroak,2,-3,-47,12,-36,-15,3887
551,Carnivine,-7,-9,-40,16,-29,-54,5743
552,Finneon,-32,-60,-56,-25,-40,-34,11141
553,Lumineon,-12,-40,-36,-5,-15,-9,3371
554,Mantyke,-36,-89,-62,-14,19,-50,16118
555,Snover,-21,-47,-62,-12,-41,-60,11919
556,Abomasnow,9,-17,-37,18,-16,-40,3919
557,Abomasnow (Mega Abomasnow),9,23,-7,58,4,-70,8939
558,Weavile,-11,11,-47,-29,-16,25,4173
559,Magnezone,-11,-39,3,56,-11,-40,6508
560,Lickilicky,29,-24,-17,6,-6,-50,4278
561,Rhyperior,34,31,18,-19,-46,-60,8518
562,Tangrowth,19,-9,13,36,-51,-50,7008
563,Electivire,-6,14,-45,21,-16,-5,2979
564,Magmortar,-6,-14,-45,51,-6,-17,5183
565,Togekiss,4,-59,-17,46,14,-20,6498
566,Yanmega,5,-33,-26,42,-45,-5,5604
567,Leafeon,-16,1,18,-14,-36,-5,2098
568,Glaceon,-16,-49,-2,56,-6,-35,7058
569,Gliscor,-6,-14,13,-29,-26,-5,1943
570,Mamoswine,29,21,-32,-4,-41,-20,4403
571,Porygon-Z,4,-29,-42,61,-26,-10,7118
572,Gallade,-13,16,-47,-9,14,-20,3311
573,Gallade (Mega Gallade),-13,56,-17,-9,14,10,3971
574,Probopass,-21,-54,33,1,49,-60,10448
575,Dusknoir,-36,-9,23,-9,34,-55,6168
576,Froslass,-11,-29,-42,6,-31,10,3823
577,Rotom,-31,-59,-35,21,-24,-9,6765
578,Rotom (Heat Rotom),-31,-44,-5,31,6,-14,4115
579,Rotom (Wash Rotom),-31,-44,-5,31,6,-14,4115
580,Rotom (Frost Rotom),-31,-44,-5,31,6,-14,4115
581,Rotom (Fan Rotom),-31,-44,-5,31,6,-14,4115
582,Rotom (Mow Rotom),-31,-44,-5,31,6,-14,4115
583,Uxie,-6,-34,18,1,29,-5,2383
584,Mesprit,-1,-4,-7,31,4,-20,1443
585,Azelf,-6,16,-42,51,-31,15,5843
586,Dialga,19,11,8,76,-1,-10,6423
587,Dialga (Origin Forme),19,-9,8,76,19,-10,6743
588,Palkia,9,11,-12,76,19,0,6483
589,Palkia (Origin Forme),9,-9,-12,76,19,20,6843
590,Heatran,10,-19,-6,56,5,-23,4187
591,Regigigas,29,51,-2,6,9,0,3563
592,Giratina (Altered Forme),69,-9,8,26,19,-10,6043
593,Giratina (Origin Forme),69,11,-12,46,-1,-10,7243
594,Cresselia,39,-39,8,1,29,-15,4173
595,Phione,-1,-29,-32,6,-21,-20,2743
596,Manaphy,19,-9,-12,26,-1,0,1263
597,Darkrai,-11,-19,-22,61,-11,25,5433
598,Shaymin (Land Forme),19,-9,-12,26,-1,0,1263
599,Shaymin (Sky Forme),19,-6,-37,46,-26,27,5287
600,Arceus,39,11,8,46,19,20,4583
601,Victini,19,-9,-12,26,-1,0,1263
602,Snivy,-36,-64,-57,-29,-46,-37,12967
603,Servine,-21,-49,-37,-14,-26,-17,5372
604,Serperior,-6,-34,-17,1,-6,13,1687
605,Tepig,-16,-46,-67,-29,-56,-55,13863
606,Pignite,9,-16,-57,-4,-46,-45,7743
607,Emboar,29,14,-47,26,-36,-35,6443
608,Oshawott,-26,-54,-67,-11,-56,-55,14363
609,Dewott,-6,-34,-52,9,-41,-40,7258
610,Samurott,14,-9,-27,34,-31,-30,4023
611,Samurott (Hisuian Samurott),9,-1,-32,26,-36,-15,3303
612,Patrat,-36,-54,-73,-39,-62,-58,18270
613,Watchog,-21,-24,-43,-14,-32,-23,4615
614,Lillipup,-36,-49,-67,-49,-56,-45,15748
615,Herdier,-16,-29,-47,-39,-36,-40,7723
616,Stoutland,4,1,-22,-29,-11,-20,1863
617,Purrloin,-40,-59,-75,-24,-64,-34,16534
618,Liepard,-17,-21,-62,14,-51,6,7407
619,Pansage,-31,-56,-64,-21,-53,-36,12739
620,Simisage,-6,-11,-49,24,-38,1,4579
621,Pansear,-31,-56,-64,-21,-53,-36,12739
622,Simisear,-6,-11,-49,24,-38,1,4579
623,Panpour,-31,-56,-64,-21,-53,-36,12739
624,Simipour,-6,-11,-49,24,-38,1,4579
625,Munna,-5,-84,-67,-7,-46,-76,19511
626,Musharna,35,-54,-27,33,-6,-71,11036
627,Pidove,-31,-54,-62,-38,-71,-57,17455
628,Tranquill,-19,-32,-50,-24,-59,-35,9167
629,Unfezant,-1,6,-32,-9,-46,-7,3307
630,Blitzle,-36,-49,-80,-24,-69,-24,16010
631,Zebstrika,-6,-9,-49,6,-38,16,4254
632,Roggenrola,-26,-34,-27,-49,-76,-85,17963
633,Boldore,-11,-4,-7,-24,-61,-80,10883
634,Gigalith,4,26,18,-14,-21,-75,7278
635,Woobat,-16,-64,-69,-19,-58,-28,13622
636,Swoobat,-14,-52,-57,3,-46,14,8470
637,Drilbur,-21,-24,-72,-44,-56,-32,12297
638,Excadrill,29,26,-52,-24,-36,-12,6237
639,Audino,22,-49,-26,-14,-15,-50,6482
640,Audino (Mega Audino),22,-49,14,6,25,-50,6242
641,Timburr,-6,-29,-57,-49,-66,-65,15108
642,Gurdurr,4,-4,-27,-34,-51,-60,8118
643,Conkeldurr,24,31,-17,-19,-36,-55,6508
644,Tympole,-31,-59,-72,-24,-61,-36,15219
645,Palpitoad,-6,-44,-57,-9,-46,-31,8379
646,Seismitoad,24,-14,-37,11,-26,-26,3614
647,Throh,39,-9,-27,-44,-16,-55,7548
648,Sawk,-6,16,-37,-44,-26,-15,4498
649,Sewaddle,-36,-56,-42,-34,-41,-58,12397
650,Swadloon,-26,-46,-22,-24,-21,-58,7657
651,Leavanny,-6,-6,-32,-4,-21,-8,1617
652,Venipede,-51,-64,-53,-44,-62,-43,17135
653,Whirlipede,-41,-54,-13,-34,-22,-53,9215
654,Scolipede,-21,-9,-23,-19,-32,12,2580
655,Cottonee,-41,-82,-52,-37,-51,-34,16235
656,Whimsicott,-21,-42,-27,3,-26,16,3875
657,Petilil,-36,-74,-62,-4,-51,-70,18133
658,Lilligant,-11,-49,-37,36,-26,-10,5963
659,Lilligant (Hisuian Lilligant),-11,-4,-37,-24,-26,5,2783
660,Basculin,-11,-17,-47,6,-46,-2,4775
661,Sandile,-31,-37,-77,-39,-66,-35,15361
662,Krokorok,-21,-27,-67,-29,-56,-26,10312
663,Krookodile,14,8,-32,-9,-31,-8,2390
664,Darumaka,-11,-19,-67,-59,-56,-50,14088
665,Darumaka (Galarian Darumaka),-11,-19,-67,-59,-56,-50,14088
666,Darmanitan (Standard Mode),24,31,-57,-44,-46,-5,8863
667,Darmanitan (Zen Mode),24,-79,-7,66,4,-45,13263
668,Darmanitan (Galarian Standard Mode),24,31,-57,-44,-46,-5,8863
669,Darmanitan (Galarian Zen Mode),24,51,-57,-44,-46,35,11703
670,Maractus,-6,-23,-45,32,-34,-40,6370
671,Dwebble,-31,-44,-27,-39,-66,-45,11528
672,Crustle,-11,-4,13,-9,-26,-55,4088
673,Scraggy,-31,-34,-42,-39,-31,-52,9067
674,Scrafty,-16,-19,3,-29,14,-42,3427
675,Sigilyph,-9,-51,-32,29,-21,-3,4997
676,Yamask,-43,-79,-27,-19,-36,-70,15376
677,Yamask (Galarian Yamask),-43,-54,-27,-44,-36,-70,13626
678,Cofagrigus,-23,-59,33,21,4,-70,10456
679,Tirtouga,-27,-31,-9,-21,-56,-78,11432
680,Carracosta,-7,-1,21,9,-36,-68,6492
681,Archen,-26,3,-67,0,-56,-30,9210
682,Archeops,-6,31,-47,38,-36,10,6046
683,Trubbish,-31,-59,-50,-34,-39,-35,10844
684,Garbodor,-1,-14,-30,-14,-19,-25,2279
685,Zorua,-41,-44,-72,6,-61,-35,13783
686,Zorua (Hisuian Zorua),-46,-49,-72,11,-61,-30,14443
687,Zoroark,-21,-4,-52,46,-41,5,6983
688,Zoroark (Hisuian Zoroark),-26,-9,-52,51,-41,10,7843
689,Minccino,-26,-59,-72,-34,-61,-25,14843
690,Cinccino,-6,-14,-52,-9,-41,15,4923
691,Gothita,-36,-79,-62,-19,-36,-55,16063
692,Gothorita,-21,-64,-42,1,-16,-45,8583
693,Gothitelle,-11,-54,-17,21,9,-35,5073
694,Solosis,-36,-79,-72,31,-51,-80,22683
695,Duosion,-16,-69,-62,51,-41,-70,18043
696,Reuniclus,29,-44,-37,51,-16,-70,11903
697,Ducklett,-19,-65,-62,-30,-51,-45,13956
698,Swanna,-6,-22,-49,13,-38,-2,4538
699,Vanillite,-45,-59,-62,-9,-41,-56,14248
700,Vanillish,-30,-44,-47,6,-26,-41,7438
701,Vanilluxe,-10,-14,-27,36,-6,-21,2798
702,Deerling,-21,-49,-62,-34,-51,-25,11068
703,Sawsbuck,-1,-9,-42,-14,-31,-5,3028
704,Emolga,-26,-34,-52,1,-41,3,6227
705,Karrablast,-31,-34,-67,-34,-56,-40,12498
706,Escavalier,-11,26,-7,-14,4,-80,7458
707,Foongus,-12,-54,-67,-19,-46,-85,17251
708,Amoonguss,33,-24,-42,11,-21,-70,8891
709,Frillish,-26,-69,-62,-9,-16,-60,13218
710,Jellicent,19,-49,-42,11,4,-40,6263
711,Alomomola,84,-34,-32,-34,-56,-35,14753
712,Joltik,-31,-62,-62,-17,-51,-35,12764
713,Galvantula,-11,-32,-52,23,-41,8,6123
714,Ferroseed,-37,-59,-21,-50,-15,-90,16116
715,Ferrothorn,-7,-15,19,-20,15,-80,7660
716,Klink,-41,-54,-42,-29,-41,-70,13783
717,Klang,-21,-29,-17,-4,-16,-50,4343
718,Klinklang,-21,-9,3,-4,-16,-10,903
719,Tynamo,-46,-54,-72,-29,-61,-40,16378
720,Eelektrik,-16,-24,-42,1,-31,-60,7158
721,Eelektross,4,6,-32,31,-21,-50,4978
722,Elgyem,-26,-54,-57,11,-46,-70,13978
723,Beheeyem,-6,-34,-37,51,-6,-60,8798
724,Litwick,-31,-79,-57,-9,-46,-80,19048
725,Lampent,-21,-69,-52,21,-41,-45,12053
726,Chandelure,-21,-54,-22,71,-11,-20,9403
727,Axew,-35,-22,-52,-44,-61,-43,11919
728,Fraxure,-15,8,-42,-34,-51,-33,6899
729,Haxorus,-5,38,-22,-14,-31,-3,3119
730,Cubchoo,-26,-39,-72,-14,-61,-60,14898
731,Beartic,14,21,-32,-4,-21,-50,4618
732,Cryogonal,-1,-59,-62,21,34,5,8948
733,Shelmet,-31,-69,-27,-34,-36,-75,14528
734,Accelgor,-1,-39,-72,26,-41,45,11088
735,Stunfisk,28,-43,-28,7,-2,-68,8094
736,Stunfisk (Galarian Stunfisk),28,-28,-13,-8,-17,-68,6714
737,Mienfoo,-36,-24,-62,-19,-51,-35,9903
738,Mienshao,-16,16,-52,21,-41,5,5363
739,Druddigon,-4,11,-22,-14,-11,-52,3642
740,Golett,-22,-35,-62,-39,-51,-65,13900
741,Golurk,8,15,-32,-19,-21,-45,4140
742,Pawniard,-36,-24,-42,-34,-61,-40,10113
743,Bisharp,-16,16,-12,-14,-31,-30,2713
744,Bouffalant,14,1,-17,-34,-6,-45,3703
745,Rufflet,-11,-26,-62,-37,-51,-40,10211
746,Braviary,19,14,-37,-17,-26,-20,3291
747,Braviary (Hisuian Braviary),29,-26,-42,38,-31,-35,6911
748,Vullaby,-11,-54,-37,-29,-36,-40,8143
749,Mandibuzz,29,-44,-7,-19,-6,-20,3623
750,Heatmor,4,-12,-46,31,-35,-35,5687
751,Durant,-23,0,0,-26,-53,9,4095
752,Deino,-29,-44,-62,-29,-51,-62,13907
753,Zweilous,-9,-24,-42,-9,-31,-42,5227
754,Hydreigon,11,-4,-22,51,-11,-2,3347
755,Larvesta,-26,-24,-57,-24,-46,-40,8793
756,Volcarona,4,-49,-47,61,4,0,8363
757,Cobalion,10,-19,17,16,-29,8,1911
758,Terrakion,10,20,-22,-2,-11,8,1173
759,Virizion,10,-19,-40,16,28,8,3165
760,Tornadus (Incarnate Forme),-2,6,-42,51,-21,11,4967
761,Tornadus (Therian Forme),-2,-9,-32,36,-11,21,2967
762,Thundurus (Incarnate Forme),-2,6,-42,51,-21,11,4967
763,Thundurus (Therian Forme),-2,-4,-42,71,-21,1,7267
764,Reshiram,19,11,-12,76,19,-10,6863
765,Zekrom,19,41,8,46,-1,-10,4323
766,Landorus (Incarnate Forme),8,16,-22,41,-21,1,2927
767,Landorus (Therian Forme),8,36,-22,31,-21,-9,3327
768,Kyurem,44,21,-22,56,-11,-5,6143
769,Kyurem (Black Kyurem),44,61,-12,46,-11,-5,8063
770,Kyurem (White Kyurem),44,11,-22,96,-1,-5,11783
771,Keldeo,10,-37,-22,55,-11,8,5163
772,Meloetta (Aria Forme),19,-32,-35,54,27,-10,6355
773,Meloetta (Pirouette Forme),19,19,-22,3,-24,28,2575
774,Genesect,-10,11,-17,46,-6,-1,2663
775,Chespin,-25,-48,-47,-26,-56,-62,12794
776,Quilladin,-20,-31,-17,-18,-43,-43,5672
777,Chesnaught,7,-2,10,0,-26,-36,2125
778,Fennekin,-41,-64,-72,-12,-41,-40,14386
779,Braixen,-22,-50,-54,16,-31,-27,7846
780,Delphox,-6,-40,-40,40,-1,4,4853
781,Froakie,-40,-53,-72,-12,-57,-29,13827
782,Frogadier,-27,-46,-60,9,-45,-3,8560
783,Greninja,-9,-14,-45,29,-30,22,4527
784,Greninja (Ash-Greninja),-9,36,-45,79,-30,32,11567
785,Bunnelby,-43,-73,-74,-42,-65,-43,20492
786,Diggersby,4,-53,-35,-24,-24,-22,5686
787,Fletchling,-36,-59,-69,-34,-63,-38,16107
788,Fletchinder,-19,-36,-57,-18,-49,-16,7887
789,Talonflame,-3,-28,-41,0,-32,26,4174
790,Scatterbug,-43,-74,-72,-47,-76,-65,24719
791,Spewpa,-36,-87,-52,-47,-71,-71,23860
792,Vivillon,-1,-57,-62,16,-51,-11,10072
793,Litleo,-19,-59,-54,-1,-47,-28,9752
794,Pyroar,5,-41,-40,35,-35,6,5792
795,Flabébé,-37,-71,-73,-13,-22,-58,15756
796,Floette,-27,-64,-65,1,-3,-48,11364
797,Florges,-3,-44,-44,38,53,-25,8759
798,Skiddo,-15,-44,-64,-12,-44,-48,10641
799,Gogoat,42,-9,-50,23,-20,-32,6298
800,Pancham,-14,-27,-50,-28,-53,-57,10267
801,Pangoro,14,15,-34,-5,-30,-42,4266
802,Furfrou,-6,-29,-52,-9,-11,2,3787
803,Espurr,-19,-61,-58,-11,-41,-32,10272
804,Meowstic,-7,-61,-36,9,-20,4,5563
805,Honedge,-36,-29,-12,-39,-64,-72,13082
806,Doublade,-22,1,38,-29,-52,-65,9699
807,Aegislash (Shield Forme),-21,-59,28,-24,39,-40,8403
808,Aegislash (Blade Forme),-21,31,-62,66,-51,-40,13803
809,Spritzee,-3,-57,-52,-11,-36,-77,13308
810,Aromatisse,20,-37,-40,25,-12,-71,9179
811,Swirlix,-19,-61,-46,-15,-44,-51,10960
812,Slurpuff,1,-29,-26,11,-26,-28,3099
813,Inkay,-28,-55,-59,-37,-55,-55,14709
814,Malamar,5,-17,-24,-6,-26,-27,2331
815,Binacle,-39,-57,-45,-35,-45,-50,12545
816,Barbaracle,-9,-4,3,-20,-15,-32,1755
817,Skrelp,-31,-49,-52,-14,-41,-70,12843
818,Dragalge,-16,-34,-22,23,22,-56,6045
819,Clauncher,-31,-56,-50,-16,-38,-56,11433
820,Clawitzer,-10,-36,-24,46,-12,-41,5913
821,Helioptile,-37,-71,-79,-13,-58,-30,17084
822,Heliolisk,-19,-54,-60,35,-7,9,8232
823,Tyrunt,-23,-20,-35,-29,-56,-52,8835
824,Tyrantrum,1,12,7,-5,-42,-29,2824
825,Amaura,-4,-50,-62,-7,-38,-54,10769
826,Aurorus,42,-32,-40,25,-9,-42,6858
827,Sylveon,14,-44,-47,36,29,-40,8078
828,Hawlucha,-3,-17,-37,0,-38,18,3435
829,Dedenne,-14,-51,-55,7,-34,1,7028
830,Carbink,-31,-59,38,-24,49,-50,11363
831,Goomy,-36,-59,-77,-19,-26,-60,15343
832,Sliggoo,-13,-34,-59,9,12,-40,6631
833,Sliggoo (Hisuian Sliggoo),-23,-34,-29,9,12,-60,6351
834,Goodra,9,-9,-42,36,49,-20,6023
835,Goodra (Hisuian Goodra),-1,-9,-12,36,49,-40,5523
836,Klefki,-24,-29,-21,6,-14,-25,2715
837,Phantump,-38,-39,-64,-24,-41,-62,13162
838,Trevenant,4,1,-36,-9,-19,-44,3691
839,Pumpkaboo (Small Size),-37,-43,-42,-30,-46,-44,9934
840,Pumpkaboo (Average Size),-32,-43,-42,-30,-46,-49,10054
841,Pumpkaboo (Large Size),-27,-43,-42,-30,-46,-54,10274
842,Pumpkaboo (Super Size),-22,-43,-42,-30,-46,-59,10594
843,Gourgeist (Small Size),-26,-24,10,-16,-26,-1,2285
844,Gourgeist (Average Size),-16,-19,10,-16,-26,-16,1905
845,Gourgeist (Large Size),-6,-14,10,-16,-26,-31,2225
846,Gourgeist (Super Size),4,-9,10,-16,-26,-46,3245
847,Bergmite,-26,-40,-27,-42,-66,-72,14309
848,Avalugg,14,8,72,-30,-55,-72,14553
849,Avalugg (Hisuian Avalugg),14,18,72,-40,-65,-62,15373
850,Noibat,-41,-79,-77,-29,-61,-45,20438
851,Noivern,4,-39,-32,23,-21,23,4060
852,Xerneas,45,22,-17,57,-3,-1,6057
853,Yveltal,45,22,-17,57,-3,-1,6057
854,Zygarde (50% Forme),27,-9,9,7,-6,-5,1001
855,Zygarde (10% Forme),-27,-9,-41,-13,-16,15,3141
856,Zygarde (Complete Forme),135,-9,9,17,-6,-15,18937
857,Diancie,-31,-9,38,26,49,-50,8063
858,Diancie (Mega Diancie),-31,51,-2,86,9,10,11143
859,Hoopa (Hoopa Confined),-1,1,-52,76,29,-30,10223
860,Hoopa (Hoopa Unbound),-1,51,-52,96,29,-20,15763
861,Volcanion,-1,1,8,56,-11,-30,4223
862,Rowlet,-13,-54,-57,-24,-51,-58,12875
863,Dartrix,-3,-34,-37,-4,-31,-48,5815
864,Decidueye,-3,-2,-37,26,-1,-30,2959
865,Decidueye (Hisuian Decidueye),7,3,-32,21,-6,-40,3159
866,Litten,-36,-44,-72,-14,-61,-30,13233
867,Torracat,-16,-24,-62,6,-51,-10,7413
868,Incineroar,14,6,-22,6,-11,-40,2473
869,Popplio,-31,-55,-58,-8,-45,-60,13039
870,Brionne,-21,-40,-43,17,-20,-50,7079
871,Primarina,-1,-35,-38,52,15,-40,7199
872,Pikipek,-46,-34,-82,-44,-71,-35,18198
873,Trumbeak,-26,-24,-62,-34,-51,-25,9478
874,Toucannon,-1,11,-37,1,-26,-40,3768
875,Yungoos,-33,-39,-82,-44,-71,-55,19336
876,Gumshoos,7,1,-52,-19,-41,-55,7821
877,Grubbin,-34,-47,-67,-19,-56,-54,14267
878,Charjabug,-24,-27,-17,-19,-26,-64,6727
879,Vikavolt,-4,-39,-22,71,-26,-57,10987
880,Crabrawler,-34,-27,-55,-32,-54,-37,10219
881,Crabominable,16,23,-35,-12,-34,-57,6559
882,Oricorio,-6,-39,-42,24,-31,-7,4907
883,Cutiefly,-41,-64,-72,-19,-61,-16,15299
884,Ribombee,-21,-54,-52,21,-31,24,8039
885,Rockruff,-36,-44,-72,-44,-61,-40,15673
886,Lycanroc (Midday Form),-6,6,-47,-19,-36,12,4082
887,Lycanroc (Midnight Form),4,6,-37,-19,-26,-18,2782
888,Lycanroc (Dusk Form),-6,8,-47,-19,-36,10,4066
889,Wishiwashi (Solo Form),-36,-89,-92,-49,-76,-60,29458
890,Wishiwashi (School Form),-36,31,18,66,34,-70,12993
891,Mareanie,-31,-56,-50,-31,-49,-55,12984
892,Toxapex,-31,-46,40,-21,41,-65,11024
893,Mudbray,-11,-9,-42,-29,-46,-55,7948
894,Mudsdale,19,16,-12,-19,-16,-65,5603
895,Dewpider,-43,-69,-60,-34,-29,-73,17536
896,Araquanid,-13,-39,-20,-24,31,-58,6991
897,Fomantis,-41,-54,-77,-24,-66,-65,19683
898,Lurantis,-11,-4,-22,6,-11,-55,3803
899,Morelull,-41,-74,-57,-9,-26,-85,18388
900,Shiinotic,-21,-64,-32,16,-1,-70,10718
901,Salandit,-33,-65,-72,-3,-61,-23,14757
902,Salazzle,-13,-45,-52,37,-41,17,8237
903,Stufful,-11,-34,-62,-29,-51,-50,11063
904,Bewear,39,16,-32,-19,-41,-40,6443
905,Bounsweet,-39,-79,-74,-44,-63,-68,23767
906,Steenee,-29,-69,-64,-34,-53,-38,15107
907,Tsareena,-9,11,-14,-24,-3,-28,1767
908,Comfey,-30,-57,-22,8,9,0,4778
909,Oranguru,9,-49,-32,16,9,-40,5443
910,Passimian,19,11,-22,-34,-41,-20,4203
911,Wimpod,-56,-74,-72,-54,-71,-20,22153
912,Golisopod,-6,16,28,-14,-11,-60,4993
913,Sandygast,-26,-54,-32,-4,-56,-85,14993
914,Palossand,4,-34,-2,26,-26,-65,6753
915,Pyukumuku,-26,-49,18,-44,29,-95,15203
916,Type: Null,14,-14,-17,21,-6,-41,2839
917,Silvally,14,-14,-17,21,-6,-5,1183
918,Minior (Meteor Form),-21,-49,-12,-14,-1,-40,4783
919,Minior (Core),-21,-9,-52,26,-41,20,5983
920,Komala,-16,6,-47,1,-6,-35,3763
921,Turtonator,-21,-31,23,17,-16,-64,6572
922,Togedemaru,-16,-11,-49,-34,-28,-4,4734
923,Mimikyu,-26,-19,-32,-24,4,-4,2669
924,Bruxish,-13,-4,-42,-4,-31,-8,2990
925,Drampa,-3,-49,-27,61,-10,-64,11056
926,Dhelmise,-11,22,-12,12,-11,-60,4614
927,Jangmo-o,-36,-54,-47,-29,-56,-55,13423
928,Hakamo-o,-26,-34,-22,-9,-31,-35,4583
929,Kommo-o,-6,1,13,26,4,-15,1123
930,Tapu Koko,-11,6,-27,21,-26,30,2903
931,Tapu Lele,-11,-24,-37,56,14,-5,5423
932,Tapu Bulu,-11,21,3,11,-6,-25,1353
933,Tapu Fini,-11,-34,3,21,29,-15,2793
934,Cosmog,-38,-80,-81,-45,-70,-63,25299
935,Cosmoem,-38,-80,19,-45,30,-63,15099
936,Solgaleo,56,28,-5,39,-12,-3,5619
937,Lunala,56,4,-23,63,6,-3,7695
938,Nihilego,28,-56,-65,53,30,3,11863
939,Buzzwole,26,30,27,-21,-48,-21,5491
940,Pheromosa,-10,28,-75,63,-64,51,17175
941,Xurkitree,2,-20,-41,99,-30,-17,13075
942,Celesteela,16,-8,-9,33,0,-39,3011
943,Kartana,-22,72,19,-15,-70,9,11235
944,Guzzlord,142,-8,-59,23,-48,-57,29791
945,Necrozma,16,-2,-11,53,-12,-21,3775
946,Necrozma (Dusk Mane Necrozma),16,48,15,39,8,-23,4899
947,Necrozma (Dawn Wings Necrozma),16,4,-3,83,26,-23,8375
948,Necrozma (Ultra Necrozma),16,58,-15,93,-4,29,13351
949,Magearna,-1,-14,3,56,14,-35,4763
950,Marshadow,9,16,-32,16,-11,25,2363
951,Poipole,-14,-36,-45,-1,-34,-27,5403
952,Naganadel,-8,-36,-39,53,-28,21,6915
953,Stakataka,-20,22,99,-21,0,-87,18695
954,Blacephalon,-28,18,-59,77,-22,7,11051
955,Zeraora,7,3,-37,28,-21,43,4501
956,Meltan,-35,-44,-47,-19,-66,-66,14443
957,Melmetal,54,34,31,6,-36,-66,10721
