Jack Massingill vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
469,Groudon,18,42,39,-12,-16,-7,4058
470,Groudon (Primal Groudon),18,72,59,38,-16,-7,10738
471,Rayquaza,23,42,-11,38,-16,-2,4118
472,Rayquaza (Mega Rayquaza),23,72,-1,68,-6,18,10698
473,Jirachi,18,-8,-1,-12,-6,3,578
474,Deoxys (Normal Forme),-32,42,-51,38,-56,53,12778
475,Deoxys (Attack Forme),-32,72,-81,68,-86,53,27598
476,Deoxys (Defense Forme),-32,-38,59,-42,54,-7,10678
477,Deoxys (Speed Forme),-32,-13,-11,-17,-16,83,8748
478,Turtwig,-27,-40,-37,-67,-51,-66,15144
479,Grotle,-7,-19,-16,-57,-41,-61,9317
480,Torterra,13,1,4,-37,-21,-41,3677
481,Chimchar,-38,-50,-57,-54,-62,-36,15249
482,Monferno,-18,-30,-49,-34,-54,-16,7953
483,Infernape,-6,-4,-30,-8,-35,11,2362
484,Piplup,-29,-57,-48,-51,-50,-57,14744
485,Prinplup,-18,-42,-33,-31,-30,-47,7247
486,Empoleon,2,-22,-13,-1,-5,-37,2052
487,Starly,-42,-53,-71,-82,-76,-37,23483
488,Staravia,-27,-33,-51,-72,-66,-17,14248
489,Staraptor,3,12,-31,-62,-46,3,7083
490,Bidoof,-23,-63,-61,-77,-66,-66,22860
491,Bibarel,-3,-23,-41,-57,-46,-26,8260
492,Kricketot,-45,-83,-60,-87,-65,-72,29492
493,Kricketune,-5,-23,-50,-57,-55,-32,10352
494,Shinx,-37,-43,-67,-72,-72,-52,20779
495,Luxio,-22,-23,-52,-52,-57,-37,11039
496,Luxray,-2,12,-22,-17,-27,-27,2379
497,Budew,-42,-78,-66,-62,-36,-42,19108
498,Roserade,-22,-38,-36,13,-1,-7,3443
499,Cranidos,-15,17,-61,-82,-76,-39,18256
500,Rampardos,15,57,-41,-47,-56,-39,12021
501,Shieldon,-52,-66,17,-70,-18,-67,17062
502,Bastiodon,-22,-56,67,-65,32,-67,17847
503,Burmy,-42,-79,-56,-83,-61,-61,25472
504,Wormadam (Plant Cloak),-22,-49,-16,-33,-1,-61,7952
505,Wormadam (Sandy Cloak),-22,-29,4,-53,-21,-61,8312
506,Wormadam (Trash Cloak),-22,-39,-6,-43,-11,-61,7732
507,Mothim,-12,-14,-51,-18,-56,-31,7362
508,Combee,-52,-78,-59,-82,-64,-27,23818
509,Vespiquen,-12,-28,1,-32,-4,-57,5218
510,Pachirisu,-22,-63,-31,-67,-16,-2,10163
511,Buizel,-27,-43,-66,-52,-76,-12,15558
512,Floatzel,3,-3,-46,-27,-56,18,6323
513,Cherubi,-37,-73,-56,-50,-53,-62,18987
514,Cherrim,-12,-48,-31,-25,-28,-12,4962
515,Shellos,-6,-60,-53,-55,-44,-63,15375
516,Gastrodon,29,-25,-33,-20,-24,-58,6895
517,Ambipom,-7,-8,-35,-52,-40,18,5966
518,Drifloon,8,-58,-67,-52,-62,-27,15194
519,Drifblim,68,-28,-57,-22,-52,-17,12134
520,Buneary,-27,-42,-57,-68,-50,-12,13010
521,Lopunny,-17,-32,-17,-58,-10,8,5130
522,Lopunny (Mega Lopunny),-17,28,-7,-58,-10,38,6030
523,Mismagius,-22,-48,-41,-7,-1,8,4583
524,Honchkrow,18,17,-49,-7,-54,-26,6655
525,Glameow,-33,-53,-59,-70,-69,-12,17184
526,Purugly,-11,-26,-37,-48,-47,15,6904
527,Chingling,-37,-78,-51,-47,-56,-52,18103
528,Stunky,-19,-45,-54,-71,-65,-23,15097
529,Skuntank,21,-15,-34,-41,-45,-13,5697
530,Bronzor,-25,-84,-15,-88,-20,-74,21526
531,Bronzong,-15,-19,15,-33,10,-64,6096
532,Bonsly,-32,-28,-6,-102,-61,-87,23538
533,Mime Jr.,-62,-83,-56,-42,-16,-37,17258
534,Happiny,18,-103,-96,-97,-41,-67,35728
535,Chatot,-6,-43,-56,-20,-64,-6,9553
536,Spiritomb,-32,-16,7,-20,2,-62,5577
537,Gible,-24,-38,-56,-72,-61,-55,17086
538,Gabite,-14,-18,-36,-62,-51,-15,8486
539,Garchomp,26,22,-6,-32,-21,5,2686
540,Garchomp (Mega Garchomp),26,62,14,8,-11,-5,4926
541,Munchlax,53,-23,-61,-72,-21,-92,21148
542,Riolu,-42,-38,-61,-77,-66,-37,18583
543,Lucario,-12,2,-31,3,-36,-7,2463
544,Lucario (Mega Lucario),-12,37,-13,28,-36,15,3987
545,Hippopotas,-14,-36,-23,-74,-64,-65,15818
546,Hippowdon,26,4,17,-44,-34,-50,6573
547,Skorupi,-42,-58,-11,-82,-51,-32,15598
548,Drapion,-12,-18,9,-52,-31,-2,4218
549,Croagunk,-34,-47,-61,-51,-66,-47,16252
550,Toxicroak,1,-2,-36,-26,-41,-12,3802
551,Carnivine,-8,-8,-29,-22,-34,-51,5210
552,Finneon,-33,-59,-45,-63,-45,-31,13550
553,Lumineon,-13,-39,-25,-43,-20,-6,4600
554,Mantyke,-37,-88,-51,-52,14,-47,16823
555,Snover,-22,-46,-51,-50,-46,-57,13066
556,Abomasnow,8,-16,-26,-20,-21,-37,3206
557,Abomasnow (Mega Abomasnow),8,24,4,20,-1,-67,5546
558,Weavile,-12,12,-36,-67,-21,28,7298
559,Magnezone,-12,-38,14,18,-16,-37,3733
560,Lickilicky,28,-23,-6,-32,-11,-47,4703
561,Rhyperior,33,32,29,-57,-51,-57,12053
562,Tangrowth,18,-8,24,-2,-56,-47,6313
563,Electivire,-7,15,-34,-17,-21,-2,2164
564,Magmortar,-7,-13,-34,13,-11,-14,1860
565,Togekiss,3,-58,-6,8,9,-17,3843
566,Yanmega,4,-32,-15,4,-50,-2,3785
567,Leafeon,-17,2,29,-52,-41,-2,5523
568,Glaceon,-17,-48,9,18,-11,-32,4143
569,Gliscor,-7,-13,24,-67,-31,-2,6248
570,Mamoswine,28,22,-21,-42,-46,-17,5878
571,Porygon-Z,3,-28,-31,23,-31,-7,3293
572,Gallade,-14,17,-36,-47,9,-17,4360
573,Gallade (Mega Gallade),-14,57,-6,-47,9,13,5940
574,Probopass,-22,-53,44,-37,44,-57,11783
575,Dusknoir,-37,-8,34,-47,29,-52,8343
576,Froslass,-12,-28,-31,-32,-36,13,4378
577,Rotom,-32,-58,-24,-17,-29,-6,6130
578,Rotom (Heat Rotom),-32,-43,6,-7,1,-11,3080
579,Rotom (Wash Rotom),-32,-43,6,-7,1,-11,3080
580,Rotom (Frost Rotom),-32,-43,6,-7,1,-11,3080
581,Rotom (Fan Rotom),-32,-43,6,-7,1,-11,3080
582,Rotom (Mow Rotom),-32,-43,6,-7,1,-11,3080
583,Uxie,-7,-33,29,-37,24,-2,3928
584,Mesprit,-2,-3,4,-7,-1,-17,368
585,Azelf,-7,17,-31,13,-36,18,3088
586,Dialga,18,12,19,38,-6,-7,2358
587,Dialga (Origin Forme),18,-8,19,38,14,-7,2438
588,Palkia,8,12,-1,38,14,3,1858
589,Palkia (Origin Forme),8,-8,-1,38,14,23,2298
590,Heatran,9,-18,5,18,0,-20,1154
591,Regigigas,28,52,9,-32,4,3,4618
592,Giratina (Altered Forme),68,-8,19,-12,14,-7,5438
593,Giratina (Origin Forme),68,12,-1,8,-6,-7,4918
594,Cresselia,38,-38,19,-37,24,-12,5338
595,Phione,-2,-28,-21,-32,-26,-17,3218
596,Manaphy,18,-8,-1,-12,-6,3,578
597,Darkrai,-12,-18,-11,23,-16,28,2158
598,Shaymin (Land Forme),18,-8,-1,-12,-6,3,578
599,Shaymin (Sky Forme),18,-5,-26,8,-31,30,2950
600,Arceus,38,12,19,8,14,23,2738
601,Victini,18,-8,-1,-12,-6,3,578
602,Snivy,-37,-63,-46,-67,-51,-34,15700
603,Servine,-22,-48,-26,-52,-31,-14,7325
604,Serperior,-7,-33,-6,-37,-11,16,2920
605,Tepig,-17,-45,-56,-67,-61,-52,16364
606,Pignite,8,-15,-46,-42,-51,-42,8534
607,Emboar,28,15,-36,-12,-41,-32,5154
608,Oshawott,-27,-53,-56,-49,-61,-52,15500
609,Dewott,-7,-33,-41,-29,-46,-37,7145
610,Samurott,13,-8,-16,-4,-36,-27,2530
611,Samurott (Hisuian Samurott),8,0,-21,-12,-41,-12,2474
612,Patrat,-37,-53,-62,-77,-67,-55,21465
613,Watchog,-22,-23,-32,-52,-37,-20,6510
614,Lillipup,-37,-48,-56,-87,-61,-42,19863
615,Herdier,-17,-28,-36,-77,-41,-37,11348
616,Stoutland,3,2,-11,-67,-16,-17,5168
617,Purrloin,-41,-58,-64,-62,-69,-31,18707
618,Liepard,-18,-20,-51,-24,-56,9,7118
619,Pansage,-32,-55,-53,-59,-58,-33,14792
620,Simisage,-7,-10,-38,-14,-43,4,3654
621,Pansear,-32,-55,-53,-59,-58,-33,14792
622,Simisear,-7,-10,-38,-14,-43,4,3654
623,Panpour,-32,-55,-53,-59,-58,-33,14792
624,Simipour,-7,-10,-38,-14,-43,4,3654
625,Munna,-6,-83,-56,-45,-51,-73,20016
626,Musharna,34,-53,-16,-5,-11,-68,8991
627,Pidove,-32,-53,-51,-76,-76,-54,20902
628,Tranquill,-20,-31,-39,-62,-64,-32,11846
629,Unfezant,-2,7,-21,-47,-51,-4,5320
630,Blitzle,-37,-48,-69,-62,-74,-21,18195
631,Zebstrika,-7,-8,-38,-32,-43,19,4791
632,Roggenrola,-27,-33,-16,-87,-81,-82,22928
633,Boldore,-12,-3,4,-62,-66,-77,14298
634,Gigalith,3,27,29,-52,-26,-72,10143
635,Woobat,-17,-63,-58,-57,-63,-25,15465
636,Swoobat,-15,-51,-46,-35,-51,17,9057
637,Drilbur,-22,-23,-61,-82,-61,-29,16020
638,Excadrill,28,27,-41,-62,-41,-9,8800
639,Audino,21,-48,-15,-52,-20,-47,8283
640,Audino (Mega Audino),21,-48,25,-32,20,-47,7003
641,Timburr,-7,-28,-46,-87,-71,-62,19403
642,Gurdurr,3,-3,-16,-72,-56,-57,11843
643,Conkeldurr,23,32,-6,-57,-41,-52,9223
644,Tympole,-32,-58,-61,-62,-66,-33,17398
645,Palpitoad,-7,-43,-46,-47,-51,-28,9608
646,Seismitoad,23,-13,-26,-27,-31,-23,3593
647,Throh,38,-8,-16,-82,-21,-52,11633
648,Sawk,-7,17,-26,-82,-31,-12,8843
649,Sewaddle,-37,-55,-31,-72,-46,-55,15680
650,Swadloon,-27,-45,-11,-62,-26,-55,10420
651,Leavanny,-7,-5,-21,-42,-26,-5,2980
652,Venipede,-52,-63,-42,-82,-67,-40,21250
653,Whirlipede,-42,-53,-2,-72,-27,-50,12990
654,Scolipede,-22,-8,-12,-57,-37,15,5535
655,Cottonee,-42,-81,-41,-75,-56,-31,19728
656,Whimsicott,-22,-41,-16,-35,-31,19,4968
657,Petilil,-37,-73,-51,-42,-56,-67,18688
658,Lilligant,-12,-48,-26,-2,-31,-7,4138
659,Lilligant (Hisuian Lilligant),-12,-3,-26,-62,-31,8,5698
660,Basculin,-12,-16,-36,-32,-51,1,5322
661,Sandile,-32,-36,-66,-77,-71,-32,18670
662,Krokorok,-22,-26,-56,-67,-61,-23,13035
663,Krookodile,13,9,-21,-47,-36,-5,4221
664,Darumaka,-12,-18,-56,-97,-61,-47,18943
665,Darumaka (Galarian Darumaka),-12,-18,-56,-97,-61,-47,18943
666,Darmanitan (Standard Mode),23,32,-46,-82,-51,-2,12998
667,Darmanitan (Zen Mode),23,-78,4,28,-1,-42,9178
668,Darmanitan (Galarian Standard Mode),23,32,-46,-82,-51,-2,12998
669,Darmanitan (Galarian Zen Mode),23,52,-46,-82,-51,38,16118
670,Maractus,-7,-22,-34,-6,-39,-37,4615
671,Dwebble,-32,-43,-16,-77,-71,-42,15863
672,Crustle,-12,-3,24,-47,-31,-52,6603
673,Scraggy,-32,-33,-31,-77,-36,-49,12700
674,Scrafty,-17,-18,14,-67,9,-39,6900
675,Sigilyph,-10,-50,-21,-9,-26,0,3798
676,Yamask,-44,-78,-16,-57,-41,-67,17695
677,Yamask (Galarian Yamask),-44,-53,-16,-82,-41,-67,17895
678,Cofagrigus,-24,-58,44,-17,-1,-67,10655
679,Tirtouga,-28,-30,2,-59,-61,-75,14515
680,Carracosta,-8,0,32,-29,-41,-65,7835
681,Archen,-27,4,-56,-38,-61,-27,9775
682,Archeops,-7,32,-36,0,-41,13,4219
683,Trubbish,-32,-58,-39,-72,-44,-32,14053
684,Garbodor,-2,-13,-19,-52,-24,-22,4298
685,Zorua,-42,-43,-61,-32,-66,-32,13738
686,Zorua (Hisuian Zorua),-47,-48,-61,-27,-66,-27,14048
687,Zoroark,-22,-3,-41,8,-46,8,4418
688,Zoroark (Hisuian Zoroark),-27,-8,-41,13,-46,13,4928
689,Minccino,-27,-58,-61,-72,-66,-22,17838
690,Cinccino,-7,-13,-41,-47,-46,18,6548
691,Gothita,-37,-78,-51,-57,-41,-52,17688
692,Gothorita,-22,-63,-31,-37,-21,-42,8988
693,Gothitelle,-12,-53,-6,-17,4,-32,4318
694,Solosis,-37,-78,-61,-7,-56,-77,20288
695,Duosion,-17,-68,-51,13,-46,-67,14288
696,Reuniclus,28,-43,-26,13,-21,-67,8408
697,Ducklett,-20,-64,-51,-68,-56,-42,16621
698,Swanna,-7,-21,-38,-25,-43,1,4409
699,Vanillite,-46,-58,-51,-47,-46,-53,15215
700,Vanillish,-31,-43,-36,-32,-31,-38,7535
701,Vanilluxe,-11,-13,-16,-2,-11,-18,995
702,Deerling,-22,-48,-51,-72,-56,-22,14193
703,Sawsbuck,-2,-8,-31,-52,-36,-2,5033
704,Emolga,-27,-33,-41,-37,-46,6,7020
705,Karrablast,-32,-33,-56,-72,-61,-37,15523
706,Escavalier,-12,27,4,-52,-1,-77,9523
707,Foongus,-13,-53,-56,-57,-51,-82,18688
708,Amoonguss,32,-23,-31,-27,-26,-67,8408
709,Frillish,-27,-68,-51,-47,-21,-57,13853
710,Jellicent,18,-48,-31,-27,-1,-37,5688
711,Alomomola,83,-33,-21,-72,-61,-32,18348
712,Joltik,-32,-61,-51,-55,-56,-32,14531
713,Galvantula,-12,-31,-41,-15,-46,11,5248
714,Ferroseed,-38,-58,-10,-88,-20,-87,20621
715,Ferrothorn,-8,-14,30,-58,10,-77,10553
716,Klink,-42,-53,-31,-67,-46,-67,16628
717,Klang,-22,-28,-6,-42,-21,-47,5718
718,Klinklang,-22,-8,14,-42,-21,-7,2998
719,Tynamo,-47,-53,-61,-67,-66,-37,18953
720,Eelektrik,-17,-23,-31,-37,-36,-57,7693
721,Eelektross,3,7,-21,-7,-26,-47,3433
722,Elgyem,-27,-53,-46,-27,-51,-67,13473
723,Beheeyem,-7,-33,-26,13,-11,-57,5353
724,Litwick,-32,-78,-46,-47,-51,-77,19963
725,Lampent,-22,-68,-41,-17,-46,-42,10958
726,Chandelure,-22,-53,-11,33,-16,-17,5048
727,Axew,-36,-21,-41,-82,-66,-40,16098
728,Fraxure,-16,9,-31,-72,-56,-30,10518
729,Haxorus,-6,39,-11,-52,-36,0,5678
730,Cubchoo,-27,-38,-61,-52,-66,-57,16203
731,Beartic,13,22,-21,-42,-26,-47,5743
732,Cryogonal,-2,-58,-51,-17,29,8,7163
733,Shelmet,-32,-68,-16,-72,-41,-72,17953
734,Accelgor,-2,-38,-61,-12,-46,48,9733
735,Stunfisk,27,-42,-17,-31,-7,-65,8017
736,Stunfisk (Galarian Stunfisk),27,-27,-2,-46,-22,-65,8287
737,Mienfoo,-37,-23,-51,-57,-56,-32,11908
738,Mienshao,-17,17,-41,-17,-46,8,4728
739,Druddigon,-5,12,-11,-52,-16,-49,5651
740,Golett,-23,-34,-51,-77,-56,-62,17195
741,Golurk,7,16,-21,-57,-26,-42,6435
742,Pawniard,-37,-23,-31,-72,-66,-37,13768
743,Bisharp,-17,17,-1,-52,-36,-27,5308
744,Bouffalant,13,2,-6,-72,-11,-42,7278
745,Rufflet,-12,-25,-51,-75,-56,-37,13500
746,Braviary,18,15,-26,-55,-31,-17,5500
747,Braviary (Hisuian Braviary),28,-25,-31,0,-36,-32,4690
748,Vullaby,-12,-53,-26,-67,-41,-37,11168
749,Mandibuzz,28,-43,4,-57,-11,-17,6308
750,Heatmor,3,-11,-35,-7,-40,-32,4028
751,Durant,-24,1,11,-64,-58,12,8302
752,Deino,-30,-43,-51,-67,-56,-59,16456
753,Zweilous,-10,-23,-31,-47,-36,-39,6616
754,Hydreigon,10,-3,-11,13,-16,1,656
755,Larvesta,-27,-23,-46,-62,-51,-37,11188
756,Volcarona,3,-48,-36,23,-1,3,4148
757,Cobalion,9,-18,28,-22,-34,11,2950
758,Terrakion,9,21,-11,-40,-16,11,2620
759,Virizion,9,-18,-29,-22,23,11,2380
760,Tornadus (Incarnate Forme),-3,7,-31,13,-26,14,2060
761,Tornadus (Therian Forme),-3,-8,-21,-2,-16,24,1350
762,Thundurus (Incarnate Forme),-3,7,-31,13,-26,14,2060
763,Thundurus (Therian Forme),-3,-3,-31,33,-26,4,2760
764,Reshiram,18,12,-1,38,14,-7,2158
765,Zekrom,18,42,19,8,-6,-7,2598
766,Landorus (Incarnate Forme),7,17,-11,3,-26,4,1160
767,Landorus (Therian Forme),7,37,-11,-7,-26,-6,2300
768,Kyurem,43,22,-11,18,-16,-2,3038
769,Kyurem (Black Kyurem),43,62,-1,8,-16,-2,6018
770,Kyurem (White Kyurem),43,12,-11,58,-6,-2,5518
771,Keldeo,9,-36,-11,17,-16,11,2164
772,Meloetta (Aria Forme),18,-31,-24,16,22,-7,2650
773,Meloetta (Pirouette Forme),18,20,-11,-35,-29,31,3872
774,Genesect,-11,12,-6,8,-11,2,490
775,Chespin,-26,-47,-36,-64,-61,-59,15479
776,Quilladin,-21,-30,-6,-56,-48,-40,8417
777,Chesnaught,6,-1,21,-38,-31,-33,3972
778,Fennekin,-42,-63,-61,-50,-46,-37,15439
779,Braixen,-23,-49,-43,-22,-36,-24,7135
780,Delphox,-7,-39,-29,2,-6,7,2500
781,Froakie,-41,-52,-61,-50,-62,-26,15126
782,Frogadier,-28,-45,-49,-29,-50,0,8551
783,Greninja,-10,-13,-34,-9,-35,25,3356
784,Greninja (Ash-Greninja),-10,37,-34,41,-35,35,6756
785,Bunnelby,-44,-72,-63,-80,-70,-40,23989
786,Diggersby,3,-52,-24,-62,-29,-19,8335
787,Fletchling,-37,-58,-58,-72,-68,-35,19130
788,Fletchinder,-20,-35,-46,-56,-54,-13,9962
789,Talonflame,-4,-27,-30,-38,-37,29,5299
790,Scatterbug,-44,-73,-61,-85,-81,-62,28616
791,Spewpa,-37,-86,-41,-85,-76,-68,28071
792,Vivillon,-2,-56,-51,-22,-56,-8,9425
793,Litleo,-20,-58,-43,-39,-52,-25,10463
794,Pyroar,4,-40,-29,-3,-40,9,4147
795,Flabébé,-38,-70,-62,-51,-27,-55,16543
796,Floette,-28,-63,-54,-37,-8,-45,11127
797,Florges,-4,-43,-33,0,48,-22,5742
798,Skiddo,-16,-43,-53,-50,-49,-45,11840
799,Gogoat,41,-8,-39,-15,-25,-29,4957
800,Pancham,-15,-26,-39,-66,-58,-54,13058
801,Pangoro,13,16,-23,-43,-35,-39,5549
802,Furfrou,-7,-28,-41,-47,-16,5,5004
803,Espurr,-20,-60,-47,-49,-46,-29,11567
804,Meowstic,-8,-60,-25,-29,-25,7,5804
805,Honedge,-37,-28,-1,-77,-69,-69,17605
806,Doublade,-23,2,49,-67,-57,-62,14516
807,Aegislash (Shield Forme),-22,-58,39,-62,34,-37,11738
808,Aegislash (Blade Forme),-22,32,-51,28,-56,-37,9398
809,Spritzee,-4,-56,-41,-49,-41,-74,14391
810,Aromatisse,19,-36,-29,-13,-17,-68,7580
811,Swirlix,-20,-60,-35,-53,-49,-48,12739
812,Slurpuff,0,-28,-15,-27,-31,-25,3324
813,Inkay,-29,-54,-48,-75,-60,-52,17990
814,Malamar,4,-16,-13,-44,-31,-24,3914
815,Binacle,-40,-56,-34,-73,-50,-47,15930
816,Barbaracle,-10,-3,14,-58,-20,-29,4910
817,Skrelp,-32,-48,-41,-52,-46,-67,14318
818,Dragalge,-17,-33,-11,-15,17,-53,4822
819,Clauncher,-32,-55,-39,-54,-43,-53,13144
820,Clawitzer,-11,-35,-13,8,-17,-38,3312
821,Helioptile,-38,-70,-68,-51,-63,-27,18267
822,Heliolisk,-20,-53,-49,-3,-12,12,5907
823,Tyrunt,-24,-19,-24,-67,-61,-49,12124
824,Tyrantrum,0,13,18,-43,-47,-26,5227
825,Amaura,-5,-49,-51,-45,-43,-51,11502
826,Aurorus,41,-31,-29,-13,-14,-39,5369
827,Sylveon,13,-43,-36,-2,24,-37,5263
828,Hawlucha,-4,-16,-26,-38,-43,21,4682
829,Dedenne,-15,-50,-44,-31,-39,4,7159
830,Carbink,-32,-58,49,-62,44,-47,14778
831,Goomy,-37,-58,-66,-57,-31,-57,16548
832,Sliggoo,-14,-33,-48,-29,7,-37,5848
833,Sliggoo (Hisuian Sliggoo),-24,-33,-18,-29,7,-57,6128
834,Goodra,8,-8,-31,-2,44,-17,3318
835,Goodra (Hisuian Goodra),-2,-8,-1,-2,44,-37,3378
836,Klefki,-25,-28,-10,-32,-19,-22,3378
837,Phantump,-39,-38,-53,-62,-46,-59,15215
838,Trevenant,3,2,-25,-47,-24,-41,5104
839,Pumpkaboo (Small Size),-38,-42,-31,-68,-51,-41,13075
840,Pumpkaboo (Average Size),-33,-42,-31,-68,-51,-46,13155
841,Pumpkaboo (Large Size),-28,-42,-31,-68,-51,-51,13335
842,Pumpkaboo (Super Size),-23,-42,-31,-68,-51,-56,13615
843,Gourgeist (Small Size),-27,-23,21,-54,-31,2,5580
844,Gourgeist (Average Size),-17,-18,21,-54,-31,-13,5100
845,Gourgeist (Large Size),-7,-13,21,-54,-31,-28,5320
846,Gourgeist (Super Size),3,-8,21,-54,-31,-43,6240
847,Bergmite,-27,-39,-16,-80,-71,-69,18708
848,Avalugg,13,9,83,-68,-60,-69,20124
849,Avalugg (Hisuian Avalugg),13,19,83,-78,-70,-59,21884
850,Noibat,-42,-78,-66,-67,-66,-42,22813
851,Noivern,3,-38,-21,-15,-26,26,3471
852,Xerneas,44,23,-6,19,-8,2,2930
853,Yveltal,44,23,-6,19,-8,2,2930
854,Zygarde (50% Forme),26,-8,20,-31,-11,-2,2226
855,Zygarde (10% Forme),-28,-8,-30,-51,-21,18,5114
856,Zygarde (Complete Forme),134,-8,20,-21,-11,-12,19126
857,Diancie,-32,-8,49,-12,44,-47,7778
858,Diancie (Mega Diancie),-32,52,9,48,4,13,6298
859,Hoopa (Hoopa Confined),-2,2,-41,38,24,-27,4438
860,Hoopa (Hoopa Unbound),-2,52,-41,58,24,-17,8618
861,Volcanion,-2,2,19,18,-16,-27,1678
862,Rowlet,-14,-53,-46,-62,-56,-55,15126
863,Dartrix,-4,-33,-26,-42,-36,-45,6866
864,Decidueye,-4,-1,-26,-12,-6,-27,1602
865,Decidueye (Hisuian Decidueye),6,4,-21,-17,-11,-37,2272
866,Litten,-37,-43,-61,-52,-66,-27,14728
867,Torracat,-17,-23,-51,-32,-56,-7,7628
868,Incineroar,13,7,-11,-32,-16,-37,2988
869,Popplio,-32,-54,-47,-46,-50,-57,14014
870,Brionne,-22,-39,-32,-21,-25,-47,6304
871,Primarina,-2,-34,-27,14,10,-37,3554
872,Pikipek,-47,-33,-71,-82,-76,-32,21863
873,Trumbeak,-27,-23,-51,-72,-56,-22,12663
874,Toucannon,-2,12,-26,-37,-31,-37,4523
875,Yungoos,-34,-38,-71,-82,-76,-52,22845
876,Gumshoos,6,2,-41,-57,-46,-52,9790
877,Grubbin,-35,-46,-56,-57,-61,-51,16048
878,Charjabug,-25,-26,-6,-57,-31,-61,9268
879,Vikavolt,-5,-38,-11,33,-31,-54,6556
880,Crabrawler,-35,-26,-44,-70,-59,-34,13374
881,Crabominable,15,24,-24,-50,-39,-54,8314
882,Oricorio,-7,-38,-31,-14,-36,-4,3962
883,Cutiefly,-42,-63,-61,-57,-66,-13,17228
884,Ribombee,-22,-53,-41,-17,-36,27,7288
885,Rockruff,-37,-43,-61,-82,-66,-37,19388
886,Lycanroc (Midday Form),-7,7,-36,-57,-41,15,6549
887,Lycanroc (Midnight Form),3,7,-26,-57,-31,-15,5169
888,Lycanroc (Dusk Form),-7,9,-36,-57,-41,13,6525
889,Wishiwashi (Solo Form),-37,-88,-81,-87,-81,-57,33053
890,Wishiwashi (School Form),-37,32,29,28,29,-67,9348
891,Mareanie,-32,-55,-39,-69,-54,-52,15951
892,Toxapex,-32,-45,51,-59,36,-62,14271
893,Mudbray,-12,-8,-31,-67,-51,-52,10963
894,Mudsdale,18,17,-1,-57,-21,-62,8148
895,Dewpider,-44,-68,-49,-72,-34,-70,20201
896,Araquanid,-14,-38,-9,-62,26,-55,9266
897,Fomantis,-42,-53,-66,-62,-71,-62,21658
898,Lurantis,-12,-3,-11,-32,-16,-52,4258
899,Morelull,-42,-73,-46,-47,-31,-82,19103
900,Shiinotic,-22,-63,-21,-22,-6,-67,9903
901,Salandit,-34,-64,-61,-41,-66,-20,15410
902,Salazzle,-14,-44,-41,-1,-46,20,6330
903,Stufful,-12,-33,-51,-67,-56,-47,13668
904,Bewear,38,17,-21,-57,-46,-37,8908
905,Bounsweet,-40,-78,-63,-82,-68,-65,27226
906,Steenee,-30,-68,-53,-72,-58,-35,18106
907,Tsareena,-10,12,-3,-62,-8,-25,4786
908,Comfey,-31,-56,-11,-30,4,3,5143
909,Oranguru,8,-48,-21,-22,4,-37,4678
910,Passimian,18,12,-11,-72,-46,-17,8178
911,Wimpod,-57,-73,-61,-92,-76,-17,26828
912,Golisopod,-7,17,39,-52,-16,-57,8068
913,Sandygast,-27,-53,-21,-42,-61,-82,16188
914,Palossand,3,-33,9,-12,-31,-62,6128
915,Pyukumuku,-27,-48,29,-82,24,-92,19638
916,Type: Null,13,-13,-6,-17,-11,-38,2228
917,Silvally,13,-13,-6,-17,-11,-2,788
918,Minior (Meteor Form),-22,-48,-1,-52,-6,-37,6898
919,Minior (Core),-22,-8,-41,-12,-46,23,5018
920,Komala,-17,7,-36,-37,-11,-32,4148
921,Turtonator,-22,-30,34,-21,-21,-61,7143
922,Togedemaru,-17,-10,-38,-72,-33,-1,8107
923,Mimikyu,-27,-18,-21,-62,-1,-1,5340
924,Bruxish,-14,-3,-31,-42,-36,-5,4251
925,Drampa,-4,-48,-16,23,-15,-61,7051
926,Dhelmise,-12,23,-1,-26,-16,-57,4855
927,Jangmo-o,-37,-53,-36,-67,-61,-52,16388
928,Hakamo-o,-27,-33,-11,-47,-36,-32,6468
929,Kommo-o,-7,2,24,-12,-1,-12,918
930,Tapu Koko,-12,7,-16,-17,-31,33,2788
931,Tapu Lele,-12,-23,-26,18,9,-2,1758
932,Tapu Bulu,-12,22,14,-27,-11,-22,2158
933,Tapu Fini,-12,-33,14,-17,24,-12,2438
934,Cosmog,-39,-79,-70,-83,-75,-60,28776
935,Cosmoem,-39,-79,30,-83,25,-60,19776
936,Solgaleo,55,29,6,1,-17,0,4192
937,Lunala,55,5,-12,25,1,0,3820
938,Nihilego,27,-55,-54,15,25,6,7556
939,Buzzwole,25,31,38,-59,-53,-18,9644
940,Pheromosa,-11,29,-64,25,-69,54,13360
941,Xurkitree,1,-19,-30,61,-35,-14,6404
942,Celesteela,15,-7,2,-5,-5,-36,1624
943,Kartana,-23,73,30,-53,-75,12,15336
944,Guzzlord,141,-7,-48,-15,-53,-54,28184
945,Necrozma,15,-1,0,15,-17,-18,1064
946,Necrozma (Dusk Mane Necrozma),15,49,26,1,3,-20,3712
947,Necrozma (Dawn Wings Necrozma),15,5,8,45,21,-20,3180
948,Necrozma (Ultra Necrozma),15,59,-4,55,-9,32,7852
949,Magearna,-2,-13,14,18,9,-32,1798
