Kristian Banlaoi vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
501,Shieldon,-10,-69,58,-18,-13,-48,11022
502,Bastiodon,20,-59,108,-13,37,-48,19387
503,Burmy,0,-82,-15,-31,-56,-42,12810
504,Wormadam (Plant Cloak),20,-52,25,19,4,-42,5870
505,Wormadam (Sandy Cloak),20,-32,45,-1,-16,-42,5470
506,Wormadam (Trash Cloak),20,-42,35,9,-6,-42,5270
507,Mothim,30,-17,-10,34,-51,-12,5190
508,Combee,-10,-81,-18,-30,-59,-8,11430
509,Vespiquen,30,-31,42,20,1,-38,5470
510,Pachirisu,20,-66,10,-15,-11,17,5491
511,Buizel,15,-46,-25,0,-71,7,8056
512,Floatzel,45,-6,-5,25,-51,37,6681
513,Cherubi,5,-76,-15,2,-48,-43,10183
514,Cherrim,30,-51,10,27,-23,7,4908
515,Shellos,36,-63,-12,-3,-39,-44,8875
516,Gastrodon,71,-28,8,32,-19,-39,8795
517,Ambipom,35,-11,6,0,-35,37,3976
518,Drifloon,50,-61,-26,0,-57,-8,10210
519,Drifblim,110,-31,-16,30,-47,2,16430
520,Buneary,15,-45,-16,-16,-45,7,4836
521,Lopunny,25,-35,24,-6,-5,27,3216
522,Lopunny (Mega Lopunny),25,25,34,-6,-5,57,5716
523,Mismagius,20,-51,0,45,4,27,5771
524,Honchkrow,60,14,-8,45,-49,-7,8335
525,Glameow,9,-56,-18,-18,-64,7,8010
526,Purugly,31,-29,4,4,-42,34,4754
527,Chingling,5,-81,-10,5,-51,-33,10401
528,Stunky,23,-48,-13,-19,-60,-4,6979
529,Skuntank,63,-18,7,11,-40,6,6099
530,Bronzor,17,-87,26,-36,-15,-55,13080
531,Bronzong,27,-22,56,19,15,-45,6960
532,Bonsly,10,-31,35,-50,-56,-68,12546
533,Mime Jr.,-20,-86,-15,10,-11,-18,8566
534,Happiny,60,-106,-55,-45,-36,-48,23486
535,Chatot,36,-46,-15,32,-59,13,8311
536,Spiritomb,10,-19,48,32,7,-43,5687
537,Gible,18,-41,-15,-20,-56,-36,7062
538,Gabite,28,-21,5,-10,-46,4,3482
539,Garchomp,68,19,35,20,-16,24,7442
540,Garchomp (Mega Garchomp),68,59,55,60,-6,14,14962
541,Munchlax,95,-26,-20,-20,-16,-73,16086
542,Riolu,0,-41,-20,-25,-61,-18,6751
543,Lucario,30,-1,10,55,-31,12,5131
544,Lucario (Mega Lucario),30,34,28,80,-31,34,11357
545,Hippopotas,28,-39,18,-22,-59,-46,8710
546,Hippowdon,68,1,58,8,-29,-31,9855
547,Skorupi,0,-61,30,-30,-46,-13,7806
548,Drapion,30,-21,50,0,-26,17,4806
549,Croagunk,8,-50,-20,1,-61,-28,7470
550,Toxicroak,43,-5,5,26,-36,7,3920
551,Carnivine,34,-11,12,30,-29,-32,4186
552,Finneon,9,-62,-4,-11,-40,-12,5806
553,Lumineon,29,-42,16,9,-15,13,3336
554,Mantyke,5,-91,-10,0,19,-28,9551
555,Snover,20,-49,-10,2,-41,-38,6030
556,Abomasnow,50,-19,15,32,-16,-18,4690
557,Abomasnow (Mega Abomasnow),50,21,45,72,4,-48,12470
558,Weavile,30,9,5,-15,-16,47,3696
559,Magnezone,30,-41,55,70,-11,-18,10951
560,Lickilicky,70,-26,35,20,-6,-28,8021
561,Rhyperior,75,29,70,-5,-46,-38,14951
562,Tangrowth,60,-11,65,50,-51,-28,13831
563,Electivire,35,12,7,35,-16,17,3188
564,Magmortar,35,-16,7,65,-6,5,5816
565,Togekiss,45,-61,35,60,14,2,10771
566,Yanmega,46,-35,26,56,-45,17,9467
567,Leafeon,25,-1,70,0,-36,17,7111
568,Glaceon,25,-51,50,70,-6,-13,10831
569,Gliscor,35,-16,65,-15,-26,17,6896
570,Mamoswine,70,19,20,10,-41,2,7446
571,Porygon-Z,45,-31,10,75,-26,12,9531
572,Gallade,28,14,5,5,14,2,1230
573,Gallade (Mega Gallade),28,54,35,5,14,32,6170
574,Probopass,20,-56,85,15,49,-38,14831
575,Dusknoir,5,-11,75,5,34,-33,8041
576,Froslass,30,-31,10,20,-31,32,4346
577,Rotom,10,-61,17,35,-24,13,6080
578,Rotom (Heat Rotom),10,-46,47,45,6,8,6550
579,Rotom (Wash Rotom),10,-46,47,45,6,8,6550
580,Rotom (Frost Rotom),10,-46,47,45,6,8,6550
581,Rotom (Fan Rotom),10,-46,47,45,6,8,6550
582,Rotom (Mow Rotom),10,-46,47,45,6,8,6550
583,Uxie,35,-36,70,15,29,17,8776
584,Mesprit,40,-6,45,45,4,2,5706
585,Azelf,35,14,10,65,-31,37,8076
586,Dialga,60,9,60,90,-1,12,15526
587,Dialga (Origin Forme),60,-11,60,90,19,12,15926
588,Palkia,50,9,40,90,19,22,13126
589,Palkia (Origin Forme),50,-11,40,90,19,42,14446
590,Heatran,51,-21,46,70,5,-1,10084
591,Regigigas,70,49,50,20,9,22,10766
592,Giratina (Altered Forme),110,-11,60,40,19,12,17926
593,Giratina (Origin Forme),110,9,40,60,-1,12,17526
594,Cresselia,80,-41,60,15,29,7,12796
595,Phione,40,-31,20,20,-21,2,3806
596,Manaphy,60,-11,40,40,-1,22,7406
597,Darkrai,30,-21,30,75,-11,47,10196
598,Shaymin (Land Forme),60,-11,40,40,-1,22,7406
599,Shaymin (Sky Forme),60,-8,15,60,-26,49,10566
600,Arceus,80,9,60,60,19,42,15806
601,Victini,60,-11,40,40,-1,22,7406
602,Snivy,5,-66,-5,-15,-46,-15,6972
603,Servine,20,-51,15,0,-26,5,3927
604,Serperior,35,-36,35,15,-6,35,5232
605,Tepig,25,-48,-15,-15,-56,-33,7604
606,Pignite,50,-18,-5,10,-46,-23,5594
607,Emboar,70,12,5,40,-36,-13,8134
608,Oshawott,15,-56,-15,3,-56,-33,7820
609,Dewott,35,-36,0,23,-41,-18,5055
610,Samurott,55,-11,25,48,-31,-8,7100
611,Samurott (Hisuian Samurott),50,-3,20,40,-36,7,5854
612,Patrat,5,-56,-21,-25,-62,-36,9367
613,Watchog,20,-26,9,0,-32,-1,2182
614,Lillipup,5,-51,-15,-35,-56,-23,7741
615,Herdier,25,-31,5,-25,-36,-18,3856
616,Stoutland,45,-1,30,-15,-11,2,3276
617,Purrloin,1,-61,-23,-10,-64,-12,8591
618,Liepard,24,-23,-10,28,-51,28,5374
619,Pansage,10,-58,-12,-7,-53,-14,6662
620,Simisage,35,-13,3,38,-38,23,4820
621,Pansear,10,-58,-12,-7,-53,-14,6662
622,Simisear,35,-13,3,38,-38,23,4820
623,Panpour,10,-58,-12,-7,-53,-14,6662
624,Simipour,35,-13,3,38,-38,23,4820
625,Munna,36,-86,-15,7,-46,-54,13998
626,Musharna,76,-56,25,47,-6,-49,14183
627,Pidove,10,-56,-10,-24,-71,-35,10178
628,Tranquill,22,-34,2,-10,-59,-13,5394
629,Unfezant,40,4,20,5,-46,15,4382
630,Blitzle,5,-51,-28,-10,-69,-2,8275
631,Zebstrika,35,-11,3,20,-38,38,4643
632,Roggenrola,15,-36,25,-35,-76,-63,13116
633,Boldore,30,-6,45,-10,-61,-58,10146
634,Gigalith,45,24,70,0,-21,-53,10751
635,Woobat,25,-66,-17,-5,-58,-6,8695
636,Swoobat,27,-54,-5,17,-46,36,7371
637,Drilbur,20,-26,-20,-30,-56,-10,5612
638,Excadrill,70,24,0,-10,-36,10,6972
639,Audino,63,-51,26,0,-15,-28,8255
640,Audino (Mega Audino),63,-51,66,20,25,-28,12735
641,Timburr,35,-31,-5,-35,-66,-43,9641
642,Gurdurr,45,-6,25,-20,-51,-38,7131
643,Conkeldurr,65,29,35,-5,-36,-33,8701
644,Tympole,10,-61,-20,-10,-61,-14,8238
645,Palpitoad,35,-46,-5,5,-46,-9,5588
646,Seismitoad,65,-16,15,25,-26,-4,6023
647,Throh,80,-11,25,-30,-16,-33,9391
648,Sawk,35,14,15,-30,-26,7,3271
649,Sewaddle,5,-58,10,-20,-41,-36,6866
650,Swadloon,15,-48,30,-10,-21,-36,5266
651,Leavanny,35,-8,20,10,-21,14,2426
652,Venipede,-10,-66,-1,-30,-62,-21,9642
653,Whirlipede,0,-56,39,-20,-22,-31,6502
654,Scolipede,20,-11,29,-5,-32,34,3567
655,Cottonee,0,-84,0,-23,-51,-12,10330
656,Whimsicott,20,-44,25,17,-26,38,5370
657,Petilil,5,-76,-10,10,-51,-48,10906
658,Lilligant,30,-51,15,50,-26,12,7046
659,Lilligant (Hisuian Lilligant),30,-6,15,-10,-26,27,2666
660,Basculin,30,-19,5,20,-46,20,4202
661,Sandile,10,-39,-25,-25,-66,-13,7396
662,Krokorok,20,-29,-15,-15,-56,-4,4843
663,Krookodile,55,6,20,5,-31,14,4643
664,Darumaka,30,-21,-15,-45,-56,-28,7511
665,Darumaka (Galarian Darumaka),30,-21,-15,-45,-56,-28,7511
666,Darmanitan (Standard Mode),65,29,-5,-30,-46,17,8396
667,Darmanitan (Zen Mode),65,-81,45,80,4,-23,19756
668,Darmanitan (Galarian Standard Mode),65,29,-5,-30,-46,17,8396
669,Darmanitan (Galarian Zen Mode),65,49,-5,-30,-46,57,12916
670,Maractus,35,-25,7,46,-34,-18,5495
671,Dwebble,10,-46,25,-25,-66,-23,8351
672,Crustle,30,-6,65,5,-26,-33,6951
673,Scraggy,10,-36,10,-25,-31,-30,3982
674,Scrafty,25,-21,55,-15,14,-20,4912
675,Sigilyph,32,-53,20,43,-21,19,6884
676,Yamask,-2,-81,25,-5,-36,-48,10815
677,Yamask (Galarian Yamask),-2,-56,25,-30,-36,-48,8265
678,Cofagrigus,18,-61,85,35,4,-48,14815
679,Tirtouga,14,-33,43,-7,-56,-56,9455
680,Carracosta,34,-3,73,23,-36,-46,10435
681,Archen,15,1,-15,14,-56,-8,3847
682,Archeops,35,29,5,52,-36,32,7115
683,Trubbish,10,-61,2,-20,-39,-13,5915
684,Garbodor,40,-16,22,0,-19,-3,2710
685,Zorua,0,-46,-20,20,-61,-13,6806
686,Zorua (Hisuian Zorua),-5,-51,-20,25,-61,-8,7436
687,Zoroark,20,-6,0,60,-41,27,6446
688,Zoroark (Hisuian Zoroark),15,-11,0,65,-41,32,7276
689,Minccino,15,-61,-20,-20,-61,-3,8476
690,Cinccino,35,-16,0,5,-41,37,4556
691,Gothita,5,-81,-10,-5,-36,-33,9096
692,Gothorita,20,-66,10,15,-16,-23,5866
693,Gothitelle,30,-56,35,35,9,-13,6736
694,Solosis,5,-81,-20,45,-51,-58,14976
695,Duosion,25,-71,-10,65,-41,-48,13976
696,Reuniclus,70,-46,15,65,-16,-48,14026
697,Ducklett,22,-67,-10,-16,-51,-23,8459
698,Swanna,35,-24,3,27,-38,20,4383
699,Vanillite,-4,-61,-10,5,-41,-34,6699
700,Vanillish,11,-46,5,20,-26,-19,3699
701,Vanilluxe,31,-16,25,50,-6,1,4379
702,Deerling,20,-51,-10,-20,-51,-3,6111
703,Sawsbuck,40,-11,10,0,-31,17,3071
704,Emolga,15,-36,0,15,-41,25,4052
705,Karrablast,10,-36,-15,-20,-56,-18,5481
706,Escavalier,30,24,45,0,4,-58,6881
707,Foongus,29,-56,-15,-5,-46,-63,10312
708,Amoonguss,74,-26,10,25,-21,-48,9622
709,Frillish,15,-71,-10,5,-16,-38,7091
710,Jellicent,60,-51,10,25,4,-18,7266
711,Alomomola,125,-36,20,-20,-56,-13,21026
712,Joltik,10,-64,-10,-3,-51,-13,7075
713,Galvantula,30,-34,0,37,-41,30,6006
714,Ferroseed,4,-61,31,-36,-15,-68,10843
715,Ferrothorn,34,-17,71,-6,15,-58,10111
716,Klink,0,-56,10,-15,-41,-48,7446
717,Klang,20,-31,35,10,-16,-28,3726
718,Klinklang,20,-11,55,10,-16,12,4046
719,Tynamo,-5,-56,-20,-15,-61,-18,7831
720,Eelektrik,25,-26,10,15,-31,-38,4031
721,Eelektross,45,4,20,45,-21,-28,5691
722,Elgyem,15,-56,-5,25,-46,-48,8431
723,Beheeyem,35,-36,15,65,-6,-38,8451
724,Litwick,10,-81,-5,5,-46,-58,12191
725,Lampent,20,-71,0,35,-41,-23,8876
726,Chandelure,20,-56,30,85,-11,2,11786
727,Axew,6,-24,0,-30,-61,-21,5674
728,Fraxure,26,6,10,-20,-51,-11,3934
729,Haxorus,36,36,30,0,-31,19,4814
730,Cubchoo,15,-41,-20,0,-61,-38,7471
731,Beartic,55,19,20,10,-21,-28,5111
732,Cryogonal,40,-61,-10,35,34,27,8531
733,Shelmet,10,-71,25,-20,-36,-53,10271
734,Accelgor,40,-41,-20,40,-41,67,11451
735,Stunfisk,69,-45,24,21,-2,-46,9923
736,Stunfisk (Galarian Stunfisk),69,-30,39,6,-17,-46,9623
737,Mienfoo,5,-26,-10,-5,-51,-13,3596
738,Mienshao,25,14,0,35,-41,27,4456
739,Druddigon,37,9,30,0,-11,-30,3371
740,Golett,19,-37,-10,-25,-51,-43,6905
741,Golurk,49,13,20,-5,-21,-23,3965
742,Pawniard,5,-26,10,-20,-61,-18,5246
743,Bisharp,25,14,40,0,-31,-8,3446
744,Bouffalant,55,-1,35,-20,-6,-23,5216
745,Rufflet,30,-28,-10,-23,-51,-18,5238
746,Braviary,60,12,15,-3,-26,2,4658
747,Braviary (Hisuian Braviary),70,-28,10,52,-31,-13,9618
748,Vullaby,30,-56,15,-15,-36,-18,6106
749,Mandibuzz,70,-46,45,-5,-6,2,9106
750,Heatmor,45,-14,6,45,-35,-13,5676
751,Durant,18,-2,52,-12,-53,31,6946
752,Deino,12,-46,-10,-15,-51,-40,6786
753,Zweilous,32,-26,10,5,-31,-20,3186
754,Hydreigon,52,-6,30,65,-11,20,8386
755,Larvesta,15,-26,-5,-10,-46,-18,3466
756,Volcarona,45,-51,5,75,4,22,10776
757,Cobalion,51,-21,69,30,-29,30,10444
758,Terrakion,51,18,30,12,-11,30,4990
759,Virizion,51,-21,12,30,28,30,5770
760,Tornadus (Incarnate Forme),39,4,10,65,-21,33,7392
761,Tornadus (Therian Forme),39,-11,20,50,-11,43,6512
762,Thundurus (Incarnate Forme),39,4,10,65,-21,33,7392
763,Thundurus (Therian Forme),39,-6,10,85,-21,23,9852
764,Reshiram,60,9,40,90,19,12,13886
765,Zekrom,60,39,60,60,-1,12,12466
766,Landorus (Incarnate Forme),49,14,30,55,-21,23,7492
767,Landorus (Therian Forme),49,34,30,45,-21,13,7092
768,Kyurem,85,19,30,70,-11,17,13796
769,Kyurem (Black Kyurem),85,59,40,60,-11,17,16316
770,Kyurem (White Kyurem),85,9,30,110,-1,17,20596
771,Keldeo,51,-39,30,69,-11,30,10804
772,Meloetta (Aria Forme),60,-34,17,68,27,12,10542
773,Meloetta (Pirouette Forme),60,17,30,17,-24,50,8154
774,Genesect,31,9,35,60,-6,21,6344
775,Chespin,16,-50,5,-12,-56,-40,7661
776,Quilladin,21,-33,35,-4,-43,-21,5061
777,Chesnaught,48,-4,62,14,-26,-14,7232
778,Fennekin,0,-66,-20,2,-41,-18,6765
779,Braixen,19,-52,-2,30,-31,-5,4955
780,Delphox,35,-42,12,54,-1,26,6726
781,Froakie,1,-55,-20,2,-57,-7,6728
782,Frogadier,14,-48,-8,23,-45,19,5479
783,Greninja,32,-16,7,43,-30,44,6014
784,Greninja (Ash-Greninja),32,34,7,93,-30,54,14694
785,Bunnelby,-2,-75,-22,-28,-65,-21,11563
786,Diggersby,45,-55,17,-10,-24,0,6015
787,Fletchling,5,-61,-17,-20,-63,-16,8660
788,Fletchinder,22,-38,-5,-4,-49,6,4406
789,Talonflame,38,-30,11,14,-32,48,5989
790,Scatterbug,-2,-76,-20,-33,-76,-43,14894
791,Spewpa,5,-89,0,-33,-71,-49,16477
792,Vivillon,40,-59,-10,30,-51,11,8803
793,Litleo,22,-61,-2,13,-47,-6,6623
794,Pyroar,46,-43,12,49,-35,28,8519
795,Flabébé,4,-73,-21,1,-22,-36,7567
796,Floette,14,-66,-13,15,-3,-26,5631
797,Florges,38,-46,8,52,53,-3,9146
798,Skiddo,26,-46,-12,2,-44,-26,5552
799,Gogoat,83,-11,2,37,-20,-10,8883
800,Pancham,27,-29,2,-14,-53,-35,5804
801,Pangoro,55,13,18,9,-30,-20,4899
802,Furfrou,35,-31,0,5,-11,24,2908
803,Espurr,22,-63,-6,3,-41,-10,6279
804,Meowstic,34,-63,16,23,-20,26,6986
805,Honedge,5,-31,40,-25,-64,-50,9807
806,Doublade,19,-1,90,-15,-52,-43,13240
807,Aegislash (Shield Forme),20,-61,80,-10,39,-18,12466
808,Aegislash (Blade Forme),20,29,-10,80,-51,-18,10666
809,Spritzee,38,-59,0,3,-36,-55,9255
810,Aromatisse,61,-39,12,39,-12,-49,9452
811,Swirlix,22,-63,6,-1,-44,-29,7267
812,Slurpuff,42,-31,26,25,-26,-6,4738
813,Inkay,13,-57,-7,-23,-55,-33,8110
814,Malamar,46,-19,28,8,-26,-5,4026
815,Binacle,2,-59,7,-21,-45,-28,6784
816,Barbaracle,32,-6,55,-6,-15,-10,4446
817,Skrelp,10,-51,0,0,-41,-48,6686
818,Dragalge,25,-36,30,37,22,-34,5830
819,Clauncher,10,-58,2,-2,-38,-34,6072
820,Clawitzer,31,-38,28,60,-12,-19,7294
821,Helioptile,4,-73,-27,1,-58,-8,9503
822,Heliolisk,22,-56,-8,49,-7,31,7095
823,Tyrunt,18,-22,17,-15,-56,-30,5358
824,Tyrantrum,42,10,59,9,-42,-7,7239
825,Amaura,37,-52,-10,7,-38,-32,6690
826,Aurorus,83,-34,12,39,-9,-20,10191
827,Sylveon,55,-46,5,50,29,-18,8831
828,Hawlucha,38,-19,15,14,-38,40,5270
829,Dedenne,27,-53,-3,21,-34,23,5673
830,Carbink,10,-61,90,-10,49,-28,15206
831,Goomy,5,-61,-25,-5,-26,-38,6516
832,Sliggoo,28,-36,-7,23,12,-18,3126
833,Sliggoo (Hisuian Sliggoo),18,-36,23,23,12,-38,4266
834,Goodra,50,-11,10,50,49,2,7626
835,Goodra (Hisuian Goodra),40,-11,40,50,49,-18,8546
836,Klefki,17,-31,31,20,-14,-3,2816
837,Phantump,3,-41,-12,-10,-41,-40,5215
838,Trevenant,45,-1,16,5,-19,-22,3152
839,Pumpkaboo (Small Size),4,-45,10,-16,-46,-22,4997
840,Pumpkaboo (Average Size),9,-45,10,-16,-46,-27,5307
841,Pumpkaboo (Large Size),14,-45,10,-16,-46,-32,5717
842,Pumpkaboo (Super Size),19,-45,10,-16,-46,-37,6227
843,Gourgeist (Small Size),15,-26,62,-2,-26,21,5866
844,Gourgeist (Average Size),25,-21,62,-2,-26,6,5626
845,Gourgeist (Large Size),35,-16,62,-2,-26,-9,6086
846,Gourgeist (Super Size),45,-11,62,-2,-26,-24,7246
847,Bergmite,15,-42,25,-28,-66,-50,10254
848,Avalugg,55,6,124,-16,-55,-50,24218
849,Avalugg (Hisuian Avalugg),55,16,124,-26,-65,-40,25158
850,Noibat,0,-81,-25,-15,-61,-23,11661
851,Noivern,45,-41,20,37,-21,45,7941
852,Xerneas,86,20,35,71,-3,21,14512
853,Yveltal,86,20,35,71,-3,21,14512
854,Zygarde (50% Forme),68,-11,61,21,-6,17,9232
855,Zygarde (10% Forme),14,-11,11,1,-16,37,2064
856,Zygarde (Complete Forme),176,-11,61,31,-6,7,35864
857,Diancie,10,-11,90,40,49,-28,13106
858,Diancie (Mega Diancie),10,49,50,100,9,32,16106
859,Hoopa (Hoopa Confined),40,-1,0,90,29,-8,10606
860,Hoopa (Hoopa Unbound),40,49,0,110,29,2,16946
861,Volcanion,40,-1,60,70,-11,-8,10286
862,Rowlet,28,-56,-5,-10,-51,-36,7942
863,Dartrix,38,-36,15,10,-31,-26,4702
864,Decidueye,38,-4,15,40,-1,-8,3350
865,Decidueye (Hisuian Decidueye),48,1,20,35,-6,-18,4290
866,Litten,5,-46,-20,0,-61,-8,6326
867,Torracat,25,-26,-10,20,-51,12,4546
868,Incineroar,55,4,30,20,-11,-18,4786
869,Popplio,10,-57,-6,6,-45,-38,6890
870,Brionne,20,-42,9,31,-20,-28,4390
871,Primarina,40,-37,14,66,15,-18,8070
872,Pikipek,-5,-36,-30,-30,-71,-13,8331
873,Trumbeak,15,-26,-10,-20,-51,-3,4011
874,Toucannon,40,9,15,15,-26,-18,3131
875,Yungoos,8,-41,-30,-30,-71,-33,9675
876,Gumshoos,48,-1,0,-5,-41,-33,5100
877,Grubbin,7,-49,-15,-5,-56,-32,6860
878,Charjabug,17,-29,35,-5,-26,-42,4820
879,Vikavolt,37,-41,30,85,-26,-35,13076
880,Crabrawler,7,-29,-3,-18,-54,-15,4364
881,Crabominable,57,21,17,2,-34,-35,6364
882,Oricorio,35,-41,10,38,-31,15,5636
883,Cutiefly,0,-66,-20,-5,-61,6,8538
884,Ribombee,20,-56,0,35,-31,46,7838
885,Rockruff,5,-46,-20,-30,-61,-18,7486
886,Lycanroc (Midday Form),35,4,5,-5,-36,34,3743
887,Lycanroc (Midnight Form),45,4,15,-5,-26,4,2983
888,Lycanroc (Dusk Form),35,6,5,-5,-36,32,3631
889,Wishiwashi (Solo Form),5,-91,-40,-35,-76,-38,18351
890,Wishiwashi (School Form),5,29,70,80,34,-48,15626
891,Mareanie,10,-58,2,-17,-49,-33,7247
892,Toxapex,10,-48,92,-7,41,-43,14447
893,Mudbray,30,-11,10,-15,-46,-33,4551
894,Mudsdale,60,14,40,-5,-16,-43,7526
895,Dewpider,-2,-71,-8,-20,-29,-51,8951
896,Araquanid,28,-41,32,-10,31,-36,5846
897,Fomantis,0,-56,-25,-10,-66,-43,10066
898,Lurantis,30,-6,30,20,-11,-33,3446
899,Morelull,0,-76,-5,5,-26,-63,10471
900,Shiinotic,20,-66,20,30,-1,-48,8361
901,Salandit,8,-67,-20,11,-61,-1,8796
902,Salazzle,28,-47,0,51,-41,39,8796
903,Stufful,30,-36,-10,-15,-51,-28,5906
904,Bewear,80,14,20,-5,-41,-18,9026
905,Bounsweet,2,-81,-22,-30,-63,-46,14034
906,Steenee,12,-71,-12,-20,-53,-16,8794
907,Tsareena,32,9,38,-10,-3,-6,2694
908,Comfey,11,-59,30,22,9,22,5551
909,Oranguru,50,-51,20,30,9,-18,6806
910,Passimian,60,9,30,-20,-41,2,6666
911,Wimpod,-15,-76,-20,-40,-71,2,13046
912,Golisopod,35,14,80,0,-11,-38,9386
913,Sandygast,15,-56,20,10,-56,-63,10966
914,Palossand,45,-36,50,40,-26,-43,9946
915,Pyukumuku,15,-51,70,-30,29,-73,14796
916,Type: Null,55,-16,35,35,-6,-19,6128
917,Silvally,55,-16,35,35,-6,17,6056
918,Minior (Meteor Form),20,-51,40,0,-1,-18,4926
919,Minior (Core),20,-11,0,40,-41,42,5566
920,Komala,25,4,5,15,-6,-13,1096
921,Turtonator,20,-33,75,31,-16,-42,10095
922,Togedemaru,25,-13,3,-20,-28,18,2311
923,Mimikyu,15,-21,20,-10,4,18,1506
924,Bruxish,28,-6,10,10,-31,14,2177
925,Drampa,38,-51,25,75,-10,-42,12159
926,Dhelmise,30,20,40,26,-11,-38,5141
927,Jangmo-o,5,-56,5,-15,-56,-33,7636
928,Hakamo-o,15,-36,30,5,-31,-13,3576
929,Kommo-o,35,-1,65,40,4,7,7116
930,Tapu Koko,30,4,25,35,-26,52,6146
931,Tapu Lele,30,-26,15,70,14,17,7186
932,Tapu Bulu,30,19,55,25,-6,-3,4956
933,Tapu Fini,30,-36,55,35,29,7,7336
934,Cosmog,3,-82,-29,-31,-70,-41,15116
935,Cosmoem,3,-82,71,-31,30,-41,15316
936,Solgaleo,97,26,47,53,-12,19,15608
937,Lunala,97,2,29,77,6,19,16580
938,Nihilego,69,-58,-13,67,30,25,14308
939,Buzzwole,67,28,79,-7,-48,1,13868
940,Pheromosa,31,26,-23,77,-64,73,17520
941,Xurkitree,43,-22,11,113,-30,5,16148
942,Celesteela,57,-10,43,47,0,-17,7696
943,Kartana,19,70,71,-1,-70,31,16164
944,Guzzlord,183,-10,-7,37,-48,-35,38536
945,Necrozma,57,-4,41,67,-12,1,9580
946,Necrozma (Dusk Mane Necrozma),57,46,67,53,8,-1,12728
947,Necrozma (Dawn Wings Necrozma),57,2,49,97,26,-1,15740
948,Necrozma (Ultra Necrozma),57,56,37,107,-4,51,21820
949,Magearna,40,-16,55,70,14,-13,10146
950,Marshadow,50,14,20,30,-11,47,6326
951,Poipole,27,-38,7,13,-34,-5,3572
952,Naganadel,33,-38,13,67,-28,43,9824
953,Stakataka,21,20,151,-7,0,-65,27916
954,Blacephalon,13,16,-7,91,-22,29,10080
955,Zeraora,48,1,15,42,-21,65,8960
956,Meltan,6,-46,5,-5,-66,-44,8494
957,Melmetal,95,32,83,20,-36,-44,20570
958,Grookey,10,-46,-10,-20,-61,-13,6606
959,Thwackey,30,-26,10,-5,-41,2,3386
960,Rillaboom,60,14,30,0,-31,7,5706
961,Scorbunny,10,-40,-20,-20,-61,-9,6302
962,Raboot,25,-25,0,-5,-41,16,3212
963,Cinderace,40,5,15,5,-26,41,4232
964,Sobble,10,-71,-20,10,-61,-8,9426
965,Drizzile,25,-51,-5,35,-46,12,6736
966,Inteleon,30,-26,5,65,-36,42,8886
967,Skwovet,30,-56,-5,-25,-66,-53,11851
968,Greedent,80,-16,35,-5,-26,-58,11946
969,Rookidee,-2,-64,-25,-27,-66,-21,10251
970,Corvisquire,28,-44,-5,-17,-46,-1,5151
971,Corviknight,58,-24,45,-7,-16,-11,6391
972,Blipbug,-15,-91,-40,-35,-56,-33,15556
973,Dottler,10,-76,20,-10,-11,-48,8801
974,Orbeetle,20,-66,50,20,19,12,8161
975,Nickit,0,-83,-32,-13,-49,-28,11267
976,Thievul,30,-53,-2,27,-9,12,4667
977,Gossifleur,0,-71,0,-20,-41,-68,11746
978,Eldegoss,20,-61,30,20,19,-18,6106
979,Wooloo,2,-71,-5,-20,-56,-30,9506
980,Dubwool,32,-31,40,0,-11,10,3806
981,Chewtle,10,-47,-10,-22,-63,-34,8018
982,Drednaw,50,4,30,-12,-33,-4,4665
983,Yamper,19,-66,-10,-20,-51,-52,10522
984,Boltund,29,-21,0,30,-41,43,5712
985,Rolycoly,-10,-71,-10,-20,-51,-48,10546
986,Carkol,40,-51,30,0,-31,-28,6846
987,Coalossal,70,-31,60,20,-11,-48,12286
988,Applin,0,-71,20,-20,-61,-58,12926
989,Flapple,30,-1,20,35,-41,-8,4271
990,Appletun,70,-26,20,40,-21,-48,10321
991,Silicobra,12,-54,15,-25,-51,-32,7535
992,Sandaconda,32,-4,65,5,-31,-7,6300
993,Cramorant,30,-26,-5,25,-6,7,2311
994,Arrokuda,1,-48,-20,-20,-71,-12,8290
995,Barraskewda,21,12,0,0,-51,58,6550
996,Toxel,0,-73,-25,-6,-66,-38,11790
997,Toxtricity,35,-13,10,54,-31,-3,5380
998,Sizzlipede,10,-46,-15,-10,-51,-33,6231
999,Centiskorch,60,4,5,30,-11,-13,4831
1000,Clobbopus,10,-43,0,-10,-51,-46,6766
1001,Grapploct,40,7,30,10,-21,-36,4386
1002,Sinistea,0,-66,-15,14,-47,-28,7770
1003,Polteageist,20,-46,5,74,13,-8,8250
1004,Hatenna,2,-81,-15,-4,-48,-39,10631
1005,Hattrem,17,-71,5,26,-28,-29,7656
1006,Hatterene,17,-21,35,76,2,-49,10136
1007,Impidimp,5,-66,-30,-5,-61,-28,9811
1008,Morgrem,25,-51,-15,15,-46,-8,5856
1009,Grimmsnarl,55,9,5,35,-26,-18,5356
1010,Obstagoon,53,-21,41,0,-20,17,5620
1011,Perrserker,30,-1,40,-10,-41,-28,5066
1012,Cursola,20,-16,-10,85,29,-48,11126
1013,Sirfetch'd,22,24,35,8,-19,-13,2879
1014,Mr. Rime,40,-26,15,50,-1,-8,5066
