Eric Edwards vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
476,Deoxys (Defense Forme),-23,-38,57,-4,60,-14,9034
477,Deoxys (Speed Forme),-23,-13,-13,21,-10,76,7184
478,Turtwig,-18,-40,-39,-29,-45,-73,11640
479,Grotle,2,-19,-18,-19,-35,-68,6899
480,Torterra,22,1,2,1,-15,-48,3019
481,Chimchar,-29,-50,-59,-16,-56,-43,12063
482,Monferno,-9,-30,-51,4,-48,-23,6431
483,Infernape,3,-4,-32,30,-29,4,2806
484,Piplup,-20,-57,-50,-13,-44,-64,12350
485,Prinplup,-9,-42,-35,7,-24,-54,6611
486,Empoleon,11,-22,-15,37,1,-44,4136
487,Starly,-33,-53,-73,-44,-70,-44,17999
488,Staravia,-18,-33,-53,-34,-60,-24,9554
489,Staraptor,12,12,-33,-24,-40,-4,3569
490,Bidoof,-14,-63,-63,-39,-60,-73,18584
491,Bibarel,6,-23,-43,-19,-40,-33,5464
492,Kricketot,-36,-83,-62,-49,-59,-79,24152
493,Kricketune,4,-23,-52,-19,-49,-39,7532
494,Shinx,-28,-43,-69,-34,-66,-59,16387
495,Luxio,-13,-23,-54,-14,-51,-44,8347
496,Luxray,7,12,-24,21,-21,-34,2807
497,Budew,-33,-78,-68,-24,-30,-49,15674
498,Roserade,-13,-38,-38,51,5,-14,5879
499,Cranidos,-6,17,-63,-44,-70,-46,13246
500,Rampardos,24,57,-43,-9,-50,-46,10371
501,Shieldon,-43,-66,15,-32,-12,-74,13074
502,Bastiodon,-13,-56,65,-27,38,-74,15179
503,Burmy,-33,-79,-58,-45,-55,-68,20368
504,Wormadam (Plant Cloak),-13,-49,-18,5,5,-68,7568
505,Wormadam (Sandy Cloak),-13,-29,2,-15,-15,-68,6088
506,Wormadam (Trash Cloak),-13,-39,-8,-5,-5,-68,6428
507,Mothim,-3,-14,-53,20,-50,-38,7358
508,Combee,-43,-78,-61,-44,-58,-34,18110
509,Vespiquen,-3,-28,-1,6,2,-64,4930
510,Pachirisu,-13,-63,-33,-29,-10,-9,6249
511,Buizel,-18,-43,-68,-14,-70,-19,12254
512,Floatzel,12,-3,-48,11,-50,11,5199
513,Cherubi,-28,-73,-58,-12,-47,-69,16591
514,Cherrim,-3,-48,-33,13,-22,-19,4416
515,Shellos,3,-60,-55,-17,-38,-70,13267
516,Gastrodon,38,-25,-35,18,-18,-65,8167
517,Ambipom,2,-8,-37,-14,-34,11,2910
518,Drifloon,17,-58,-69,-14,-56,-34,12902
519,Drifblim,77,-28,-59,16,-46,-24,13142
520,Buneary,-18,-42,-59,-30,-44,-19,8766
521,Lopunny,-8,-32,-19,-20,-4,1,1866
522,Lopunny (Mega Lopunny),-8,28,-9,-20,-4,31,2306
523,Mismagius,-13,-48,-43,31,5,1,5309
524,Honchkrow,27,17,-51,31,-48,-33,7973
525,Glameow,-24,-53,-61,-32,-63,-19,12460
526,Purugly,-2,-26,-39,-10,-41,8,4046
527,Chingling,-28,-78,-53,-9,-50,-59,15739
528,Stunky,-10,-45,-56,-33,-59,-30,10731
529,Skuntank,30,-15,-36,-3,-39,-20,4351
530,Bronzor,-16,-84,-17,-50,-14,-81,16858
531,Bronzong,-6,-19,13,5,16,-71,5888
532,Bonsly,-23,-28,-8,-64,-55,-94,17334
533,Mime Jr.,-53,-83,-58,-4,-10,-44,15114
534,Happiny,27,-103,-98,-59,-35,-74,31124
535,Chatot,3,-43,-58,18,-58,-13,9079
536,Spiritomb,-23,-16,5,18,8,-69,5959
537,Gible,-15,-38,-58,-34,-55,-62,13058
538,Gabite,-5,-18,-38,-24,-45,-22,4878
539,Garchomp,35,22,-8,6,-15,-2,2038
540,Garchomp (Mega Garchomp),35,62,12,46,-5,-12,7498
541,Munchlax,62,-23,-63,-34,-15,-99,19524
542,Riolu,-33,-38,-63,-39,-60,-44,13559
543,Lucario,-3,2,-33,41,-30,-14,3879
544,Lucario (Mega Lucario),-3,37,-15,66,-30,8,6923
545,Hippopotas,-5,-36,-25,-36,-58,-72,11790
546,Hippowdon,35,4,15,-6,-28,-57,5535
547,Skorupi,-33,-58,-13,-44,-45,-39,10104
548,Drapion,-3,-18,7,-14,-25,-9,1284
549,Croagunk,-25,-47,-63,-13,-60,-54,13488
550,Toxicroak,10,-2,-38,12,-35,-19,3278
551,Carnivine,1,-8,-31,16,-28,-58,5430
552,Finneon,-24,-59,-47,-25,-39,-38,9856
553,Lumineon,-4,-39,-27,-5,-14,-13,2656
554,Mantyke,-28,-88,-53,-14,20,-54,14849
555,Snover,-13,-46,-53,-12,-40,-64,10934
556,Abomasnow,17,-16,-28,18,-15,-44,3814
557,Abomasnow (Mega Abomasnow),17,24,2,58,5,-74,9734
558,Weavile,-3,12,-38,-29,-15,21,3104
559,Magnezone,-3,-38,12,56,-10,-44,6769
560,Lickilicky,37,-23,-8,6,-5,-54,4939
561,Rhyperior,42,32,27,-19,-45,-64,9999
562,Tangrowth,27,-8,22,36,-50,-54,7989
563,Electivire,2,15,-36,21,-15,-9,2272
564,Magmortar,2,-13,-36,51,-5,-21,4536
565,Togekiss,12,-58,-8,46,15,-24,6489
566,Yanmega,13,-32,-17,42,-44,-9,5263
567,Leafeon,-8,2,27,-14,-35,-9,2299
568,Glaceon,-8,-48,7,56,-5,-39,7099
569,Gliscor,2,-13,22,-29,-25,-9,2204
570,Mamoswine,37,22,-23,-4,-40,-24,4574
571,Porygon-Z,12,-28,-33,61,-25,-14,6559
572,Gallade,-5,17,-38,-9,15,-24,2640
573,Gallade (Mega Gallade),-5,57,-8,-9,15,6,3680
574,Probopass,-13,-53,42,1,50,-64,11339
575,Dusknoir,-28,-8,32,-9,35,-59,6659
576,Froslass,-3,-28,-33,6,-30,6,2854
577,Rotom,-23,-58,-26,21,-23,-13,5708
578,Rotom (Heat Rotom),-23,-43,4,31,7,-18,3728
579,Rotom (Wash Rotom),-23,-43,4,31,7,-18,3728
580,Rotom (Frost Rotom),-23,-43,4,31,7,-18,3728
581,Rotom (Fan Rotom),-23,-43,4,31,7,-18,3728
582,Rotom (Mow Rotom),-23,-43,4,31,7,-18,3728
583,Uxie,2,-33,27,1,30,-9,2804
584,Mesprit,7,-3,2,31,5,-24,1624
585,Azelf,2,17,-33,51,-30,11,5004
586,Dialga,27,12,17,76,0,-14,7134
587,Dialga (Origin Forme),27,-8,17,76,20,-14,7454
588,Palkia,17,12,-3,76,20,-4,6634
589,Palkia (Origin Forme),17,-8,-3,76,20,16,6794
590,Heatran,18,-18,3,56,6,-27,4558
591,Regigigas,37,52,7,6,10,-4,4274
592,Giratina (Altered Forme),77,-8,17,26,20,-14,7554
593,Giratina (Origin Forme),77,12,-3,46,0,-14,8394
594,Cresselia,47,-38,17,1,30,-19,5204
595,Phione,7,-28,-23,6,-20,-24,2374
596,Manaphy,27,-8,-3,26,0,-4,1494
597,Darkrai,-3,-18,-13,61,-10,21,4764
598,Shaymin (Land Forme),27,-8,-3,26,0,-4,1494
599,Shaymin (Sky Forme),27,-5,-28,46,-25,23,4808
600,Arceus,47,12,17,46,20,16,5414
601,Victini,27,-8,-3,26,0,-4,1494
602,Snivy,-28,-63,-48,-29,-45,-41,11604
603,Servine,-13,-48,-28,-14,-25,-21,4519
604,Serperior,2,-33,-8,1,-5,9,1264
605,Tepig,-8,-45,-58,-29,-55,-59,12800
606,Pignite,17,-15,-48,-4,-45,-49,7260
607,Emboar,37,15,-38,26,-35,-39,6460
608,Oshawott,-18,-53,-58,-11,-55,-59,13124
609,Dewott,2,-33,-43,9,-40,-44,6559
610,Samurott,22,-8,-18,34,-30,-34,4084
611,Samurott (Hisuian Samurott),17,0,-23,26,-35,-19,3080
612,Patrat,-28,-53,-64,-39,-61,-62,16775
613,Watchog,-13,-23,-34,-14,-31,-27,3740
614,Lillipup,-28,-48,-58,-49,-55,-49,14279
615,Herdier,-8,-28,-38,-39,-35,-44,6974
616,Stoutland,12,2,-13,-29,-10,-24,1834
617,Purrloin,-32,-58,-66,-24,-63,-38,14733
618,Liepard,-9,-20,-53,14,-50,2,5990
619,Pansage,-23,-55,-55,-21,-52,-40,11324
620,Simisage,2,-10,-40,24,-37,-3,3658
621,Pansear,-23,-55,-55,-21,-52,-40,11324
622,Simisear,2,-10,-40,24,-37,-3,3658
623,Panpour,-23,-55,-55,-21,-52,-40,11324
624,Simipour,2,-10,-40,24,-37,-3,3658
625,Munna,3,-83,-58,-7,-45,-80,18736
626,Musharna,43,-53,-18,33,-5,-75,11721
627,Pidove,-23,-53,-53,-38,-70,-61,16212
628,Tranquill,-11,-31,-41,-24,-58,-39,8224
629,Unfezant,7,7,-23,-9,-45,-11,2854
630,Blitzle,-28,-48,-71,-24,-68,-28,14113
631,Zebstrika,2,-8,-40,6,-37,12,3217
632,Roggenrola,-18,-33,-18,-49,-75,-89,17684
633,Boldore,-3,-3,2,-24,-60,-84,11254
634,Gigalith,12,27,27,-14,-20,-79,8439
635,Woobat,-8,-63,-60,-19,-57,-32,12267
636,Swoobat,-6,-51,-48,3,-45,10,7075
637,Drilbur,-13,-23,-63,-44,-55,-36,10924
638,Excadrill,37,27,-43,-24,-35,-16,6004
639,Audino,30,-48,-17,-14,-14,-54,6801
640,Audino (Mega Audino),30,-48,23,6,26,-54,7361
641,Timburr,2,-28,-48,-49,-65,-69,14479
642,Gurdurr,12,-3,-18,-34,-50,-64,8229
643,Conkeldurr,32,32,-8,-19,-35,-59,7179
644,Tympole,-23,-58,-63,-24,-60,-40,13638
645,Palpitoad,2,-43,-48,-9,-45,-35,7488
646,Seismitoad,32,-13,-28,11,-25,-30,3623
647,Throh,47,-8,-18,-44,-15,-59,8239
648,Sawk,2,17,-28,-44,-25,-19,3999
649,Sewaddle,-28,-55,-33,-34,-40,-62,11498
650,Swadloon,-18,-45,-13,-24,-20,-62,7338
651,Leavanny,2,-5,-23,-4,-20,-12,1118
652,Venipede,-43,-63,-44,-44,-61,-47,15620
653,Whirlipede,-33,-53,-4,-34,-21,-57,8760
654,Scolipede,-13,-8,-14,-19,-31,8,1815
655,Cottonee,-33,-81,-43,-37,-50,-38,14812
656,Whimsicott,-13,-41,-18,3,-25,12,2952
657,Petilil,-28,-73,-53,-4,-50,-74,16914
658,Lilligant,-3,-48,-28,36,-25,-14,5214
659,Lilligant (Hisuian Lilligant),-3,-3,-28,-24,-25,1,2004
660,Basculin,-3,-16,-38,6,-45,-6,3806
661,Sandile,-23,-36,-68,-39,-65,-39,13716
662,Krokorok,-13,-26,-58,-29,-55,-30,8975
663,Krookodile,22,9,-23,-9,-30,-12,2219
664,Darumaka,-3,-18,-58,-59,-55,-54,13119
665,Darumaka (Galarian Darumaka),-3,-18,-58,-59,-55,-54,13119
666,Darmanitan (Standard Mode),32,32,-48,-44,-45,-9,8394
667,Darmanitan (Zen Mode),32,-78,2,66,5,-49,13894
668,Darmanitan (Galarian Standard Mode),32,32,-48,-44,-45,-9,8394
669,Darmanitan (Galarian Zen Mode),32,52,-48,-44,-45,31,10954
670,Maractus,2,-22,-36,32,-33,-44,5833
671,Dwebble,-23,-43,-18,-39,-65,-49,10849
672,Crustle,-3,-3,22,-9,-25,-59,4689
673,Scraggy,-23,-33,-33,-39,-30,-56,8264
674,Scrafty,-8,-18,12,-29,15,-46,3714
675,Sigilyph,-1,-50,-23,29,-20,-7,4320
676,Yamask,-35,-78,-18,-19,-35,-74,14695
677,Yamask (Galarian Yamask),-35,-53,-18,-44,-35,-74,12995
678,Cofagrigus,-15,-58,42,21,5,-74,11295
679,Tirtouga,-19,-30,0,-21,-55,-82,11451
680,Carracosta,1,0,30,9,-35,-72,7391
681,Archen,-18,4,-58,0,-55,-34,7885
682,Archeops,2,32,-38,38,-35,6,5177
683,Trubbish,-23,-58,-41,-34,-38,-39,9695
684,Garbodor,7,-13,-21,-14,-18,-29,2020
685,Zorua,-33,-43,-63,6,-60,-39,12064
686,Zorua (Hisuian Zorua),-38,-48,-63,11,-60,-34,12594
687,Zoroark,-13,-3,-43,46,-40,1,5744
688,Zoroark (Hisuian Zoroark),-18,-8,-43,51,-40,6,6474
689,Minccino,-18,-58,-63,-34,-60,-29,13254
690,Cinccino,2,-13,-43,-9,-40,11,3824
691,Gothita,-28,-78,-53,-19,-35,-59,14744
692,Gothorita,-13,-63,-33,1,-15,-49,7854
693,Gothitelle,-3,-53,-8,21,10,-39,4944
694,Solosis,-28,-78,-63,31,-50,-84,21354
695,Duosion,-8,-68,-53,51,-40,-74,17174
696,Reuniclus,37,-43,-28,51,-15,-74,12304
697,Ducklett,-11,-64,-53,-30,-50,-49,12827
698,Swanna,2,-21,-40,13,-37,-6,3619
699,Vanillite,-37,-58,-53,-9,-40,-60,12823
700,Vanillish,-22,-43,-38,6,-25,-45,6463
701,Vanilluxe,-2,-13,-18,36,-5,-25,2443
702,Deerling,-13,-48,-53,-34,-50,-29,9779
703,Sawsbuck,7,-8,-33,-14,-30,-9,2379
704,Emolga,-18,-33,-43,1,-40,-1,4864
705,Karrablast,-23,-33,-58,-34,-55,-44,11099
706,Escavalier,-3,27,2,-14,5,-84,8019
707,Foongus,-4,-53,-58,-19,-45,-89,16496
708,Amoonguss,41,-23,-33,11,-20,-74,9296
709,Frillish,-18,-68,-53,-9,-15,-64,12159
710,Jellicent,27,-48,-33,11,5,-44,6204
711,Alomomola,92,-33,-23,-34,-55,-39,15784
712,Joltik,-23,-61,-53,-17,-50,-39,11369
713,Galvantula,-3,-31,-43,23,-40,4,4964
714,Ferroseed,-29,-58,-12,-50,-14,-94,15881
715,Ferrothorn,1,-14,28,-20,16,-84,8693
716,Klink,-33,-53,-33,-29,-40,-74,12904
717,Klang,-13,-28,-8,-4,-15,-54,4174
718,Klinklang,-13,-8,12,-4,-15,-14,814
719,Tynamo,-38,-53,-63,-29,-60,-44,14599
720,Eelektrik,-8,-23,-33,1,-30,-64,6679
721,Eelektross,12,7,-23,31,-20,-54,4999
722,Elgyem,-18,-53,-48,11,-45,-74,13059
723,Beheeyem,2,-33,-28,51,-5,-64,8599
724,Litwick,-23,-78,-48,-9,-45,-84,18079
725,Lampent,-13,-68,-43,21,-40,-49,11084
726,Chandelure,-13,-53,-13,71,-10,-24,8864
727,Axew,-27,-21,-43,-44,-60,-47,10764
728,Fraxure,-7,9,-33,-34,-50,-37,6244
729,Haxorus,3,39,-13,-14,-30,-7,2844
730,Cubchoo,-18,-38,-63,-14,-60,-64,13629
731,Beartic,22,22,-23,-4,-20,-54,4829
732,Cryogonal,7,-58,-53,21,35,1,7889
733,Shelmet,-23,-68,-18,-34,-35,-79,14099
734,Accelgor,7,-38,-63,26,-40,41,9419
735,Stunfisk,36,-42,-19,7,-1,-72,8655
736,Stunfisk (Galarian Stunfisk),36,-27,-4,-8,-16,-72,7545
737,Mienfoo,-28,-23,-53,-19,-50,-39,8504
738,Mienshao,-8,17,-43,21,-40,1,4244
739,Druddigon,4,12,-13,-14,-10,-56,3761
740,Golett,-14,-34,-53,-39,-50,-69,12943
741,Golurk,16,16,-23,-19,-20,-49,4203
742,Pawniard,-28,-23,-33,-34,-60,-44,9094
743,Bisharp,-8,17,-3,-14,-30,-34,2614
744,Bouffalant,22,2,-8,-34,-5,-49,4134
745,Rufflet,-3,-25,-53,-37,-50,-44,9248
746,Braviary,27,15,-28,-17,-25,-24,3228
747,Braviary (Hisuian Braviary),37,-25,-33,38,-30,-39,6948
748,Vullaby,-3,-53,-28,-29,-35,-44,7604
749,Mandibuzz,37,-43,2,-19,-5,-24,4184
750,Heatmor,12,-11,-37,31,-34,-39,5272
751,Durant,-15,1,9,-26,-52,5,3712
752,Deino,-21,-43,-53,-29,-50,-66,12796
753,Zweilous,-1,-23,-33,-9,-30,-46,4716
754,Hydreigon,19,-3,-13,51,-10,-6,3276
755,Larvesta,-18,-23,-48,-24,-45,-44,7694
756,Volcarona,12,-48,-38,61,5,-4,7654
757,Cobalion,18,-18,26,16,-28,4,2380
758,Terrakion,18,21,-13,-2,-10,4,1054
759,Virizion,18,-18,-31,16,29,4,2722
760,Tornadus (Incarnate Forme),6,7,-33,51,-20,7,4224
761,Tornadus (Therian Forme),6,-8,-23,36,-10,17,2314
762,Thundurus (Incarnate Forme),6,7,-33,51,-20,7,4224
763,Thundurus (Therian Forme),6,-3,-33,71,-20,-3,6584
764,Reshiram,27,12,-3,76,20,-14,7254
765,Zekrom,27,42,17,46,0,-14,5094
766,Landorus (Incarnate Forme),16,17,-13,41,-20,-3,2804
767,Landorus (Therian Forme),16,37,-13,31,-20,-13,3324
768,Kyurem,52,22,-13,56,-10,-9,6674
769,Kyurem (Black Kyurem),52,62,-3,46,-10,-9,8854
770,Kyurem (White Kyurem),52,12,-13,96,0,-9,12314
771,Keldeo,18,-36,-13,55,-10,4,4930
772,Meloetta (Aria Forme),27,-31,-26,54,28,-14,6262
773,Meloetta (Pirouette Forme),27,20,-13,3,-23,24,2412
774,Genesect,-2,12,-8,46,-5,-5,2378
775,Chespin,-17,-47,-38,-26,-55,-66,11999
776,Quilladin,-12,-30,-8,-18,-42,-47,5405
777,Chesnaught,15,-1,19,0,-25,-40,2812
778,Fennekin,-33,-63,-63,-12,-40,-44,12707
779,Braixen,-14,-49,-45,16,-30,-31,6739
780,Delphox,2,-39,-31,40,0,0,4086
781,Froakie,-32,-52,-63,-12,-56,-33,12066
782,Frogadier,-19,-45,-51,9,-44,-7,7053
783,Greninja,-1,-13,-36,29,-29,18,3472
784,Greninja (Ash-Greninja),-1,37,-36,79,-29,28,10532
785,Bunnelby,-35,-72,-65,-42,-64,-47,18703
786,Diggersby,12,-52,-26,-24,-23,-26,5305
787,Fletchling,-28,-58,-60,-34,-62,-42,14512
788,Fletchinder,-11,-35,-48,-18,-48,-20,6678
789,Talonflame,5,-27,-32,0,-31,22,3223
790,Scatterbug,-35,-73,-63,-47,-75,-69,23118
791,Spewpa,-28,-86,-43,-47,-70,-75,22763
792,Vivillon,7,-56,-53,16,-50,-15,8975
793,Litleo,-11,-58,-45,-1,-46,-32,8651
794,Pyroar,13,-40,-31,35,-34,2,5115
795,Flabébé,-29,-70,-64,-13,-21,-62,14291
796,Floette,-19,-63,-56,1,-2,-52,10175
797,Florges,5,-43,-35,38,54,-29,8300
798,Skiddo,-7,-43,-55,-12,-43,-52,9620
799,Gogoat,50,-8,-41,23,-19,-36,6431
800,Pancham,-6,-26,-41,-28,-52,-61,9602
801,Pangoro,22,16,-25,-5,-29,-46,4347
802,Furfrou,2,-28,-43,-9,-10,-2,2822
803,Espurr,-11,-60,-49,-11,-40,-36,9139
804,Meowstic,1,-60,-27,9,-19,0,4772
805,Honedge,-28,-28,-3,-39,-63,-76,12843
806,Doublade,-14,2,47,-29,-51,-69,10612
807,Aegislash (Shield Forme),-13,-58,37,-24,40,-44,9014
808,Aegislash (Blade Forme),-13,32,-53,66,-50,-44,12794
809,Spritzee,5,-56,-43,-11,-35,-81,12917
810,Aromatisse,28,-36,-31,25,-11,-75,9412
811,Swirlix,-11,-60,-37,-15,-43,-55,10189
812,Slurpuff,9,-28,-17,11,-25,-32,2924
813,Inkay,-20,-54,-50,-37,-54,-59,13582
814,Malamar,13,-16,-15,-6,-25,-31,2272
815,Binacle,-31,-56,-36,-35,-44,-54,11470
816,Barbaracle,-1,-3,12,-20,-14,-36,2046
817,Skrelp,-23,-48,-43,-14,-40,-74,11954
818,Dragalge,-8,-33,-13,23,23,-60,5980
819,Clauncher,-23,-55,-41,-16,-37,-60,10460
820,Clawitzer,-2,-35,-15,46,-11,-45,5716
821,Helioptile,-29,-70,-70,-13,-57,-34,15215
822,Heliolisk,-11,-53,-51,35,-6,5,6817
823,Tyrunt,-15,-19,-26,-29,-55,-56,8264
824,Tyrantrum,9,13,16,-5,-41,-33,3301
825,Amaura,4,-49,-53,-7,-37,-58,10008
826,Aurorus,50,-31,-31,25,-8,-46,7227
827,Sylveon,22,-43,-38,36,30,-44,7909
828,Hawlucha,5,-16,-28,0,-37,14,2630
829,Dedenne,-6,-50,-46,7,-33,-3,5799
830,Carbink,-23,-58,47,-24,50,-54,12094
831,Goomy,-28,-58,-68,-19,-25,-64,13854
832,Sliggoo,-5,-33,-50,9,13,-44,5800
833,Sliggoo (Hisuian Sliggoo),-15,-33,-20,9,13,-64,6060
834,Goodra,17,-8,-33,36,50,-24,5814
835,Goodra (Hisuian Goodra),7,-8,-3,36,50,-44,5854
836,Klefki,-16,-28,-12,6,-13,-29,2230
837,Phantump,-30,-38,-55,-24,-40,-66,11901
838,Trevenant,12,2,-27,-9,-18,-48,3586
839,Pumpkaboo (Small Size),-29,-42,-33,-30,-45,-48,8923
840,Pumpkaboo (Average Size),-24,-42,-33,-30,-45,-53,9163
841,Pumpkaboo (Large Size),-19,-42,-33,-30,-45,-58,9503
842,Pumpkaboo (Super Size),-14,-42,-33,-30,-45,-63,9943
843,Gourgeist (Small Size),-18,-23,19,-16,-25,-5,2120
844,Gourgeist (Average Size),-8,-18,19,-16,-25,-20,2030
845,Gourgeist (Large Size),2,-13,19,-16,-25,-35,2640
846,Gourgeist (Super Size),12,-8,19,-16,-25,-50,3950
847,Bergmite,-18,-39,-18,-42,-65,-76,13934
848,Avalugg,22,9,81,-30,-54,-76,16718
849,Avalugg (Hisuian Avalugg),22,19,81,-40,-64,-66,17458
850,Noibat,-33,-78,-68,-29,-60,-49,18639
851,Noivern,12,-38,-23,23,-20,19,3407
852,Xerneas,53,23,-8,57,-2,-5,6680
853,Yveltal,53,23,-8,57,-2,-5,6680
854,Zygarde (50% Forme),35,-8,18,7,-5,-9,1768
855,Zygarde (10% Forme),-19,-8,-32,-13,-15,11,1964
856,Zygarde (Complete Forme),143,-8,18,17,-5,-19,21512
857,Diancie,-23,-8,47,26,50,-54,8894
858,Diancie (Mega Diancie),-23,52,7,86,10,6,10814
859,Hoopa (Hoopa Confined),7,2,-43,76,30,-34,9734
860,Hoopa (Hoopa Unbound),7,52,-43,96,30,-24,15294
861,Volcanion,7,2,17,56,-10,-34,4734
862,Rowlet,-5,-53,-48,-24,-50,-62,12058
863,Dartrix,5,-33,-28,-4,-30,-52,5518
864,Decidueye,5,-1,-28,26,0,-34,2642
865,Decidueye (Hisuian Decidueye),15,4,-23,21,-5,-44,3172
866,Litten,-28,-43,-63,-14,-60,-34,11554
867,Torracat,-8,-23,-53,6,-50,-14,6134
868,Incineroar,22,7,-13,6,-10,-44,2774
869,Popplio,-23,-54,-49,-8,-44,-64,11942
870,Brionne,-13,-39,-34,17,-19,-54,6412
871,Primarina,7,-34,-29,52,16,-44,6942
872,Pikipek,-38,-33,-73,-44,-70,-39,16219
873,Trumbeak,-18,-23,-53,-34,-50,-29,8159
874,Toucannon,7,12,-28,1,-25,-44,3539
875,Yungoos,-25,-38,-73,-44,-70,-59,17715
876,Gumshoos,15,2,-43,-19,-40,-59,7520
877,Grubbin,-26,-46,-58,-19,-55,-58,12906
878,Charjabug,-16,-26,-8,-19,-25,-68,6606
879,Vikavolt,4,-38,-13,71,-25,-61,11016
880,Crabrawler,-26,-26,-46,-32,-53,-41,8982
881,Crabominable,24,24,-26,-12,-33,-61,6782
882,Oricorio,2,-38,-33,24,-30,-11,4134
883,Cutiefly,-33,-63,-63,-19,-60,-20,13388
884,Ribombee,-13,-53,-43,21,-30,20,6568
885,Rockruff,-28,-43,-63,-44,-60,-44,14074
886,Lycanroc (Midday Form),2,7,-38,-19,-35,8,3147
887,Lycanroc (Midnight Form),12,7,-28,-19,-25,-22,2447
888,Lycanroc (Dusk Form),2,9,-38,-19,-35,6,3151
889,Wishiwashi (Solo Form),-28,-88,-83,-49,-75,-64,27539
890,Wishiwashi (School Form),-28,32,27,66,35,-74,13594
891,Mareanie,-23,-55,-41,-31,-48,-59,11981
892,Toxapex,-23,-45,49,-21,42,-69,11921
893,Mudbray,-3,-8,-33,-29,-45,-59,7509
894,Mudsdale,27,17,-3,-19,-15,-69,6374
895,Dewpider,-35,-68,-51,-34,-28,-77,16319
896,Araquanid,-5,-38,-11,-24,32,-62,7034
897,Fomantis,-33,-53,-68,-24,-65,-69,18084
898,Lurantis,-3,-3,-13,6,-10,-59,3804
899,Morelull,-33,-73,-48,-9,-25,-89,17349
900,Shiinotic,-13,-63,-23,16,0,-74,10399
901,Salandit,-25,-64,-63,-3,-60,-27,13028
902,Salazzle,-5,-44,-43,37,-40,13,6948
903,Stufful,-3,-33,-53,-29,-50,-54,10164
904,Bewear,47,17,-23,-19,-40,-44,6924
905,Bounsweet,-31,-78,-65,-44,-62,-72,22234
906,Steenee,-21,-68,-55,-34,-52,-42,13714
907,Tsareena,-1,12,-5,-24,-2,-32,1774
908,Comfey,-22,-56,-13,8,10,-4,3969
909,Oranguru,17,-48,-23,16,10,-44,5414
910,Passimian,27,12,-13,-34,-40,-24,4374
911,Wimpod,-48,-73,-63,-54,-70,-24,19994
912,Golisopod,2,17,37,-14,-10,-64,6054
913,Sandygast,-18,-53,-23,-4,-55,-89,14624
914,Palossand,12,-33,7,26,-25,-69,7344
915,Pyukumuku,-18,-48,27,-44,30,-99,15994
916,Type: Null,22,-13,-8,21,-5,-45,3208
917,Silvally,22,-13,-8,21,-5,-9,1264
918,Minior (Meteor Form),-13,-48,-3,-14,0,-44,4614
919,Minior (Core),-13,-8,-43,26,-40,16,4614
920,Komala,-8,7,-38,1,-5,-39,3104
921,Turtonator,-13,-30,32,17,-15,-68,7231
922,Togedemaru,-8,-10,-40,-34,-27,-8,3713
923,Mimikyu,-18,-18,-23,-24,5,-8,1842
924,Bruxish,-5,-3,-33,-4,-30,-12,2183
925,Drampa,5,-48,-18,61,-9,-68,11079
926,Dhelmise,-3,23,-3,12,-10,-64,4887
927,Jangmo-o,-28,-53,-38,-29,-55,-59,12384
928,Hakamo-o,-18,-33,-13,-9,-30,-39,4084
929,Kommo-o,2,2,22,26,5,-19,1554
930,Tapu Koko,-3,7,-18,21,-25,26,2124
931,Tapu Lele,-3,-23,-28,56,15,-9,4764
932,Tapu Bulu,-3,22,12,11,-5,-29,1624
933,Tapu Fini,-3,-33,12,21,30,-19,2944
934,Cosmog,-30,-79,-72,-45,-69,-67,23600
935,Cosmoem,-30,-79,28,-45,31,-67,15400
936,Solgaleo,64,29,4,39,-11,-7,6644
937,Lunala,64,5,-14,63,7,-7,8384
938,Nihilego,36,-55,-56,53,31,-1,11228
939,Buzzwole,34,31,36,-21,-47,-25,6688
940,Pheromosa,-2,29,-66,63,-63,47,15348
941,Xurkitree,10,-19,-32,99,-29,-21,12568
942,Celesteela,24,-7,0,33,1,-43,3564
943,Kartana,-14,73,28,-15,-69,5,11320
944,Guzzlord,150,-7,-50,23,-47,-61,31508
945,Necrozma,24,-1,-2,53,-11,-25,4136
946,Necrozma (Dusk Mane Necrozma),24,49,24,39,9,-27,5884
947,Necrozma (Dawn Wings Necrozma),24,5,6,83,27,-27,8984
948,Necrozma (Ultra Necrozma),24,59,-6,93,-3,25,13376
949,Magearna,7,-13,12,56,15,-39,5244
950,Marshadow,17,17,-23,16,-10,21,1904
951,Poipole,-6,-35,-36,-1,-33,-31,4608
952,Naganadel,0,-35,-30,53,-27,17,5952
953,Stakataka,-12,23,108,-21,1,-91,21060
954,Blacephalon,-20,19,-50,77,-21,3,9640
955,Zeraora,15,4,-28,28,-20,39,3730
956,Meltan,-27,-43,-38,-19,-65,-70,13508
957,Melmetal,62,35,40,6,-35,-70,12830
958,Grookey,-23,-43,-53,-34,-60,-39,11464
959,Thwackey,-3,-23,-33,-19,-40,-24,4164
960,Rillaboom,27,17,-13,-14,-30,-19,2644
961,Scorbunny,-23,-37,-63,-34,-60,-35,11848
962,Raboot,-8,-22,-43,-19,-40,-10,4458
963,Cinderace,7,8,-28,-9,-25,15,1828
964,Sobble,-23,-68,-63,-4,-60,-34,13894
