Noah Dale vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
480,Torterra,3,17,37,8,-11,-64,5948
481,Chimchar,-48,-34,-24,-9,-52,-59,10302
482,Monferno,-28,-14,-16,11,-44,-39,4814
483,Infernape,-16,12,3,37,-25,-12,2547
484,Piplup,-39,-41,-15,-6,-40,-80,11463
485,Prinplup,-28,-26,0,14,-20,-70,6956
486,Empoleon,-8,-6,20,44,5,-60,6061
487,Starly,-52,-37,-38,-37,-66,-60,14842
488,Staravia,-37,-17,-18,-27,-56,-40,7447
489,Staraptor,-7,28,2,-17,-36,-20,2822
490,Bidoof,-33,-47,-28,-32,-56,-89,16163
491,Bibarel,-13,-7,-8,-12,-36,-49,4123
492,Kricketot,-55,-67,-27,-42,-55,-95,22057
493,Kricketune,-15,-7,-17,-12,-45,-55,5757
494,Shinx,-47,-27,-34,-27,-62,-75,14292
495,Luxio,-32,-7,-19,-7,-47,-60,7292
496,Luxray,-12,28,11,28,-17,-50,4622
497,Budew,-52,-62,-33,-17,-26,-65,12827
498,Roserade,-32,-22,-3,58,9,-30,5862
499,Cranidos,-25,33,-28,-37,-66,-62,12067
500,Rampardos,5,73,-8,-2,-46,-62,11382
501,Shieldon,-62,-50,50,-25,-8,-90,17633
502,Bastiodon,-32,-40,100,-20,42,-90,22888
503,Burmy,-52,-63,-23,-38,-51,-84,18303
504,Wormadam (Plant Cloak),-32,-33,17,12,9,-84,9683
505,Wormadam (Sandy Cloak),-32,-13,37,-8,-11,-84,9803
506,Wormadam (Trash Cloak),-32,-23,27,2,-1,-84,9343
507,Mothim,-22,2,-18,27,-46,-54,6573
508,Combee,-62,-62,-26,-37,-54,-50,15149
509,Vespiquen,-22,-12,34,13,6,-80,8389
510,Pachirisu,-32,-47,2,-22,-6,-25,4382
511,Buizel,-37,-27,-33,-7,-66,-35,8817
512,Floatzel,-7,13,-13,18,-46,-5,2852
513,Cherubi,-47,-57,-23,-5,-43,-85,15086
514,Cherrim,-22,-32,2,20,-18,-35,3461
515,Shellos,-16,-44,-20,-10,-34,-86,11244
516,Gastrodon,19,-9,0,25,-14,-81,7824
517,Ambipom,-17,8,-2,-7,-30,-5,1331
518,Drifloon,-2,-42,-34,-7,-52,-50,8177
519,Drifblim,58,-12,-24,23,-42,-40,7977
520,Buneary,-37,-26,-24,-23,-40,-35,5975
521,Lopunny,-27,-16,16,-13,0,-15,1635
522,Lopunny (Mega Lopunny),-27,44,26,-13,0,15,3735
523,Mismagius,-32,-32,-8,38,9,-15,3862
524,Honchkrow,8,33,-16,38,-44,-49,7190
525,Glameow,-43,-37,-26,-25,-59,-35,9225
526,Purugly,-21,-10,-4,-3,-37,-8,1999
527,Chingling,-47,-62,-18,-2,-46,-75,14122
528,Stunky,-29,-29,-21,-26,-55,-46,7940
529,Skuntank,11,1,-1,4,-35,-36,2660
530,Bronzor,-35,-68,18,-43,-10,-97,17531
531,Bronzong,-25,-3,48,12,20,-87,11051
532,Bonsly,-42,-12,27,-57,-51,-110,20587
533,Mime Jr.,-72,-67,-23,3,-6,-60,13847
534,Happiny,8,-87,-63,-52,-31,-90,23367
535,Chatot,-16,-27,-23,25,-54,-29,5896
536,Spiritomb,-42,0,40,25,12,-85,11358
537,Gible,-34,-22,-23,-27,-51,-78,11583
538,Gabite,-24,-2,-3,-17,-41,-38,4003
539,Garchomp,16,38,27,13,-11,-18,3043
540,Garchomp (Mega Garchomp),16,78,47,53,-1,-28,12143
541,Munchlax,43,-7,-28,-27,-11,-115,16757
542,Riolu,-52,-22,-28,-32,-56,-60,11732
543,Lucario,-22,18,2,48,-26,-30,4692
544,Lucario (Mega Lucario),-22,53,20,73,-26,-8,9762
545,Hippopotas,-24,-20,10,-29,-54,-88,12577
546,Hippowdon,16,20,50,1,-24,-73,9062
547,Skorupi,-52,-42,22,-37,-41,-55,11027
548,Drapion,-22,-2,42,-7,-21,-25,3367
549,Croagunk,-44,-31,-28,-6,-56,-70,11753
550,Toxicroak,-9,14,-3,19,-31,-35,2833
551,Carnivine,-18,8,4,23,-24,-74,6985
552,Finneon,-43,-43,-12,-18,-35,-54,8307
553,Lumineon,-23,-23,8,2,-10,-29,2067
554,Mantyke,-47,-72,-18,-7,24,-70,13242
555,Snover,-32,-30,-18,-5,-36,-80,9969
556,Abomasnow,-2,0,7,25,-11,-60,4399
557,Abomasnow (Mega Abomasnow),-2,40,37,65,9,-90,15379
558,Weavile,-22,28,-3,-22,-11,5,1907
559,Magnezone,-22,-22,47,63,-6,-60,10782
560,Lickilicky,18,-7,27,13,-1,-70,6172
561,Rhyperior,23,48,62,-12,-41,-80,14902
562,Tangrowth,8,8,57,43,-46,-70,12242
563,Electivire,-17,31,-1,28,-11,-25,2781
564,Magmortar,-17,3,-1,58,-1,-37,5033
565,Togekiss,-7,-42,27,53,19,-40,7312
566,Yanmega,-6,-16,18,49,-40,-25,5242
567,Leafeon,-27,18,62,-7,-31,-25,6532
568,Glaceon,-27,-32,42,63,-1,-55,10512
569,Gliscor,-17,3,57,-22,-21,-25,5097
570,Mamoswine,18,38,12,3,-36,-40,4817
571,Porygon-Z,-7,-12,2,68,-21,-30,6162
572,Gallade,-24,33,-3,-2,19,-40,3639
573,Gallade (Mega Gallade),-24,73,27,-2,19,-10,7099
574,Probopass,-32,-37,77,8,54,-80,17702
575,Dusknoir,-47,8,67,-2,39,-75,13912
576,Froslass,-22,-12,2,13,-26,-10,1577
577,Rotom,-42,-42,9,28,-19,-29,5595
578,Rotom (Heat Rotom),-42,-27,39,38,11,-34,6735
579,Rotom (Wash Rotom),-42,-27,39,38,11,-34,6735
580,Rotom (Frost Rotom),-42,-27,39,38,11,-34,6735
581,Rotom (Fan Rotom),-42,-27,39,38,11,-34,6735
582,Rotom (Mow Rotom),-42,-27,39,38,11,-34,6735
583,Uxie,-17,-17,62,8,34,-25,6267
584,Mesprit,-12,13,37,38,9,-40,4807
585,Azelf,-17,33,2,58,-26,-5,5447
586,Dialga,8,28,52,83,4,-30,11357
587,Dialga (Origin Forme),8,8,52,83,24,-30,11197
588,Palkia,-2,28,32,83,24,-20,9677
589,Palkia (Origin Forme),-2,8,32,83,24,0,8557
590,Heatran,-1,-2,38,63,10,-43,7367
591,Regigigas,18,68,42,13,14,-20,7477
592,Giratina (Altered Forme),58,8,52,33,24,-30,8697
593,Giratina (Origin Forme),58,28,32,53,4,-30,8897
594,Cresselia,28,-22,52,8,34,-35,6417
595,Phione,-12,-12,12,13,-16,-40,2457
596,Manaphy,8,8,32,33,4,-20,2657
597,Darkrai,-22,-2,22,68,-6,5,5657
598,Shaymin (Land Forme),8,8,32,33,4,-20,2657
599,Shaymin (Sky Forme),8,11,7,53,-21,7,3533
600,Arceus,28,28,52,53,24,0,7657
601,Victini,8,8,32,33,4,-20,2657
602,Snivy,-47,-47,-13,-22,-41,-57,10001
603,Servine,-32,-32,7,-7,-21,-37,3956
604,Serperior,-17,-17,27,8,-1,-7,1421
605,Tepig,-27,-29,-23,-22,-51,-75,10809
606,Pignite,-2,1,-13,3,-41,-65,6089
607,Emboar,18,31,-3,33,-31,-55,6369
608,Oshawott,-37,-37,-23,-4,-51,-75,11509
609,Dewott,-17,-17,-8,16,-36,-60,5794
610,Samurott,3,8,17,41,-26,-50,5219
611,Samurott (Hisuian Samurott),-2,16,12,33,-31,-35,3679
612,Patrat,-47,-37,-29,-32,-57,-78,14776
613,Watchog,-32,-7,1,-7,-27,-43,3701
614,Lillipup,-47,-32,-23,-42,-51,-65,12352
615,Herdier,-27,-12,-3,-32,-31,-60,6467
616,Stoutland,-7,18,22,-22,-6,-40,2977
617,Purrloin,-51,-42,-31,-17,-59,-54,12012
618,Liepard,-28,-4,-18,21,-46,-14,3877
619,Pansage,-42,-39,-20,-14,-48,-56,9321
620,Simisage,-17,6,-5,31,-33,-19,2761
621,Pansear,-42,-39,-20,-14,-48,-56,9321
622,Simisear,-17,6,-5,31,-33,-19,2761
623,Panpour,-42,-39,-20,-14,-48,-56,9321
624,Simipour,-17,6,-5,31,-33,-19,2761
625,Munna,-16,-67,-23,0,-41,-96,16171
626,Musharna,24,-37,17,40,-1,-91,12116
627,Pidove,-42,-37,-18,-31,-66,-77,14703
628,Tranquill,-30,-15,-6,-17,-54,-55,7391
629,Unfezant,-12,23,12,-2,-41,-27,3231
630,Blitzle,-47,-32,-36,-17,-64,-44,10850
631,Zebstrika,-17,8,-5,13,-33,-4,1652
632,Roggenrola,-37,-17,17,-42,-71,-105,19777
633,Boldore,-22,13,37,-17,-56,-100,15447
634,Gigalith,-7,43,62,-7,-16,-95,15072
635,Woobat,-27,-47,-25,-12,-53,-48,8820
636,Swoobat,-25,-35,-13,10,-41,-6,3836
637,Drilbur,-32,-7,-28,-37,-51,-52,8531
638,Excadrill,18,43,-8,-17,-31,-32,4511
639,Audino,11,-32,18,-7,-10,-70,6518
640,Audino (Mega Audino),11,-32,58,13,30,-70,10478
641,Timburr,-17,-12,-13,-42,-61,-85,13312
642,Gurdurr,-7,13,17,-27,-46,-80,9752
643,Conkeldurr,13,48,27,-12,-31,-75,9932
644,Tympole,-42,-42,-28,-17,-56,-56,10873
645,Palpitoad,-17,-27,-13,-2,-41,-51,5473
646,Seismitoad,13,3,7,18,-21,-46,3108
647,Throh,28,8,17,-37,-11,-75,8252
648,Sawk,-17,33,7,-37,-21,-35,4462
649,Sewaddle,-47,-39,2,-27,-36,-78,11843
650,Swadloon,-37,-29,22,-17,-16,-78,9323
651,Leavanny,-17,11,12,3,-16,-28,1603
652,Venipede,-62,-47,-9,-37,-57,-63,14721
653,Whirlipede,-52,-37,31,-27,-17,-73,11381
654,Scolipede,-32,8,21,-12,-27,-8,2466
655,Cottonee,-52,-65,-8,-30,-46,-54,12925
656,Whimsicott,-32,-25,17,10,-21,-4,2495
657,Petilil,-47,-57,-18,3,-46,-90,16007
658,Lilligant,-22,-32,7,43,-21,-30,4747
659,Lilligant (Hisuian Lilligant),-22,13,7,-17,-21,-15,1657
660,Basculin,-22,0,-3,13,-41,-22,2827
661,Sandile,-42,-20,-33,-32,-61,-55,11023
662,Krokorok,-32,-10,-23,-22,-51,-46,6854
663,Krookodile,3,25,12,-2,-26,-28,2242
664,Darumaka,-22,-2,-23,-52,-51,-70,11222
665,Darumaka (Galarian Darumaka),-22,-2,-23,-52,-51,-70,11222
666,Darmanitan (Standard Mode),13,48,-13,-37,-41,-25,6317
667,Darmanitan (Zen Mode),13,-62,37,73,9,-65,15017
668,Darmanitan (Galarian Standard Mode),13,48,-13,-37,-41,-25,6317
669,Darmanitan (Galarian Zen Mode),13,68,-13,-37,-41,15,8237
670,Maractus,-17,-6,-1,39,-29,-60,6288
671,Dwebble,-42,-27,17,-32,-61,-65,11752
672,Crustle,-22,13,57,-2,-21,-75,9972
673,Scraggy,-42,-17,2,-32,-26,-72,8941
674,Scrafty,-27,-2,47,-22,19,-62,7631
675,Sigilyph,-20,-34,12,36,-16,-23,3781
676,Yamask,-54,-62,17,-12,-31,-90,16254
677,Yamask (Galarian Yamask),-54,-37,17,-37,-31,-90,15004
678,Cofagrigus,-34,-42,77,28,9,-90,17814
679,Tirtouga,-38,-14,35,-14,-51,-98,15266
680,Carracosta,-18,16,65,16,-31,-88,13766
681,Archen,-37,20,-23,7,-51,-50,7448
682,Archeops,-17,48,-3,45,-31,-10,5688
683,Trubbish,-42,-42,-6,-27,-34,-55,8474
684,Garbodor,-12,3,14,-7,-14,-45,2619
685,Zorua,-52,-27,-28,13,-56,-55,10547
686,Zorua (Hisuian Zorua),-57,-32,-28,18,-56,-50,11017
687,Zoroark,-32,13,-8,53,-36,-15,5587
688,Zoroark (Hisuian Zoroark),-37,8,-8,58,-36,-10,6257
689,Minccino,-37,-42,-28,-27,-56,-45,9807
690,Cinccino,-17,3,-8,-2,-36,-5,1687
691,Gothita,-47,-62,-18,-12,-31,-75,13107
692,Gothorita,-32,-47,2,8,-11,-65,7647
693,Gothitelle,-22,-37,27,28,14,-55,6587
694,Solosis,-47,-62,-28,38,-46,-100,20397
695,Duosion,-27,-52,-18,58,-36,-90,16517
696,Reuniclus,18,-27,7,58,-11,-90,12687
697,Ducklett,-30,-48,-18,-23,-46,-65,10398
698,Swanna,-17,-5,-5,20,-33,-22,2312
699,Vanillite,-56,-42,-18,-2,-36,-76,12300
700,Vanillish,-41,-27,-3,13,-21,-61,6750
701,Vanilluxe,-21,3,17,43,-1,-41,4270
702,Deerling,-32,-32,-18,-27,-46,-45,7242
703,Sawsbuck,-12,8,2,-7,-26,-25,1562
704,Emolga,-37,-17,-8,8,-36,-17,3371
705,Karrablast,-42,-17,-23,-27,-51,-60,9512
706,Escavalier,-22,43,37,-7,9,-100,13832
707,Foongus,-23,-37,-23,-12,-41,-105,15277
708,Amoonguss,22,-7,2,18,-16,-90,9217
709,Frillish,-37,-52,-18,-2,-11,-80,10922
710,Jellicent,8,-32,2,18,9,-60,5097
711,Alomomola,73,-17,12,-27,-51,-55,12117
712,Joltik,-42,-45,-18,-10,-46,-55,9354
713,Galvantula,-22,-15,-8,30,-36,-12,3113
714,Ferroseed,-48,-42,23,-43,-10,-110,18646
715,Ferrothorn,-18,2,63,-13,20,-100,14866
716,Klink,-52,-37,2,-22,-36,-90,13957
717,Klang,-32,-12,27,3,-11,-70,6927
718,Klinklang,-32,8,47,3,-11,-30,4327
719,Tynamo,-57,-37,-28,-22,-56,-60,12622
720,Eelektrik,-27,-7,2,8,-26,-80,7922
721,Eelektross,-7,23,12,38,-16,-70,7322
722,Elgyem,-37,-37,-13,18,-41,-90,13012
723,Beheeyem,-17,-17,7,58,-1,-80,10392
724,Litwick,-42,-62,-13,-2,-41,-100,17462
725,Lampent,-32,-52,-8,28,-36,-65,10097
726,Chandelure,-32,-37,22,78,-6,-40,10597
727,Axew,-46,-5,-8,-37,-56,-63,10679
728,Fraxure,-26,25,2,-27,-46,-53,6959
729,Haxorus,-16,55,22,-7,-26,-23,5019
730,Cubchoo,-37,-22,-28,-7,-56,-80,12222
731,Beartic,3,38,12,3,-16,-70,6762
732,Cryogonal,-12,-42,-18,28,39,-15,4762
733,Shelmet,-42,-52,17,-27,-31,-95,15472
734,Accelgor,-12,-22,-28,33,-36,25,4422
735,Stunfisk,17,-26,16,14,3,-88,9170
736,Stunfisk (Galarian Stunfisk),17,-11,31,-1,-12,-88,9260
737,Mienfoo,-47,-7,-18,-12,-46,-55,7867
738,Mienshao,-27,33,-8,28,-36,-15,4187
739,Druddigon,-15,28,22,-7,-6,-72,6762
740,Golett,-33,-18,-18,-32,-46,-85,12102
741,Golurk,-3,32,12,-12,-16,-65,5802
742,Pawniard,-47,-7,2,-27,-56,-60,9727
743,Bisharp,-27,33,32,-7,-26,-50,6067
744,Bouffalant,3,18,27,-27,-1,-65,6017
745,Rufflet,-22,-9,-18,-30,-46,-60,7505
746,Braviary,8,31,7,-10,-21,-40,3215
747,Braviary (Hisuian Braviary),18,-9,2,45,-26,-55,6135
748,Vullaby,-22,-37,7,-22,-31,-60,6947
749,Mandibuzz,18,-27,37,-12,-1,-40,4167
750,Heatmor,-7,5,-2,38,-30,-55,5447
751,Durant,-34,17,44,-19,-48,-11,6167
752,Deino,-40,-27,-18,-22,-46,-82,11977
753,Zweilous,-20,-7,2,-2,-26,-62,4977
754,Hydreigon,0,13,22,58,-6,-22,4537
755,Larvesta,-37,-7,-13,-17,-41,-60,7157
756,Volcarona,-7,-32,-3,68,9,-20,6187
757,Cobalion,-1,-2,61,23,-24,-12,4975
758,Terrakion,-1,37,22,5,-6,-12,2059
759,Virizion,-1,-2,4,23,33,-12,1783
760,Tornadus (Incarnate Forme),-13,23,2,58,-16,-9,4403
761,Tornadus (Therian Forme),-13,8,12,43,-6,1,2263
762,Thundurus (Incarnate Forme),-13,23,2,58,-16,-9,4403
763,Thundurus (Therian Forme),-13,13,2,78,-16,-19,7043
764,Reshiram,8,28,32,83,24,-30,10237
765,Zekrom,8,58,52,53,4,-30,9857
766,Landorus (Incarnate Forme),-3,33,22,48,-16,-19,4503
767,Landorus (Therian Forme),-3,53,22,38,-16,-29,5843
768,Kyurem,33,38,22,63,-6,-25,7647
769,Kyurem (Black Kyurem),33,78,32,53,-6,-25,11667
770,Kyurem (White Kyurem),33,28,22,103,4,-25,13607
771,Keldeo,-1,-20,22,62,-6,-12,4909
772,Meloetta (Aria Forme),8,-15,9,61,32,-30,6015
773,Meloetta (Pirouette Forme),8,36,22,10,-19,8,2369
774,Genesect,-21,28,27,53,-1,-21,5205
775,Chespin,-36,-31,-3,-19,-51,-82,11952
776,Quilladin,-31,-14,27,-11,-38,-63,7420
777,Chesnaught,-4,15,54,7,-21,-56,6783
778,Fennekin,-52,-47,-28,-5,-36,-60,10618
779,Braixen,-33,-33,-10,23,-26,-47,5692
780,Delphox,-17,-23,4,47,4,-16,3315
781,Froakie,-51,-36,-28,-5,-52,-49,9811
782,Frogadier,-38,-29,-16,16,-40,-23,4926
783,Greninja,-20,3,-1,36,-25,2,2335
784,Greninja (Ash-Greninja),-20,53,-1,86,-25,12,11375
785,Bunnelby,-54,-56,-30,-35,-60,-63,15746
786,Diggersby,-7,-36,9,-17,-19,-42,3840
787,Fletchling,-47,-42,-25,-27,-58,-58,12055
788,Fletchinder,-30,-19,-13,-11,-44,-36,4783
789,Talonflame,-14,-11,3,7,-27,6,1140
790,Scatterbug,-54,-57,-28,-40,-71,-85,20815
791,Spewpa,-47,-70,-8,-40,-66,-91,21410
792,Vivillon,-12,-40,-18,23,-46,-31,5674
793,Litleo,-30,-42,-10,6,-42,-48,6868
794,Pyroar,-6,-24,4,42,-30,-14,3488
795,Flabébé,-48,-54,-29,-6,-17,-78,12470
796,Floette,-38,-47,-21,8,2,-68,8786
797,Florges,-14,-27,0,45,58,-45,8339
798,Skiddo,-26,-27,-20,-5,-39,-68,7975
799,Gogoat,31,8,-6,30,-15,-52,4890
800,Pancham,-25,-10,-6,-21,-48,-77,9435
801,Pangoro,3,32,10,2,-25,-62,5606
802,Furfrou,-17,-12,-8,-2,-6,-18,861
803,Espurr,-30,-44,-14,-4,-36,-52,7048
804,Meowstic,-18,-44,8,16,-15,-16,3061
805,Honedge,-47,-12,32,-32,-59,-92,16346
806,Doublade,-33,18,82,-22,-47,-85,18055
807,Aegislash (Shield Forme),-32,-42,72,-17,44,-60,13797
808,Aegislash (Blade Forme),-32,48,-18,73,-46,-60,14697
809,Spritzee,-14,-40,-8,-4,-31,-97,12246
810,Aromatisse,9,-20,4,32,-7,-91,9851
811,Swirlix,-30,-44,-2,-8,-39,-71,9466
812,Slurpuff,-10,-12,18,18,-21,-48,3637
813,Inkay,-39,-38,-15,-30,-50,-75,12215
814,Malamar,-6,0,20,1,-21,-47,3087
815,Binacle,-50,-40,-1,-28,-40,-70,11385
816,Barbaracle,-20,13,47,-13,-10,-52,5751
817,Skrelp,-42,-32,-8,-7,-36,-90,12297
818,Dragalge,-27,-17,22,30,27,-76,8907
819,Clauncher,-42,-39,-6,-9,-33,-76,10267
820,Clawitzer,-21,-19,20,53,-7,-61,7781
821,Helioptile,-48,-54,-35,-6,-53,-50,11790
822,Heliolisk,-30,-37,-16,42,-2,-11,4414
823,Tyrunt,-34,-3,9,-22,-51,-72,9515
824,Tyrantrum,-10,29,51,2,-37,-49,7316
825,Amaura,-15,-33,-18,0,-33,-74,8203
826,Aurorus,31,-15,4,32,-4,-62,6086
827,Sylveon,3,-27,-3,43,34,-60,7352
828,Hawlucha,-14,0,7,7,-33,-2,1387
829,Dedenne,-25,-34,-11,14,-29,-19,3300
830,Carbink,-42,-42,82,-17,54,-70,18357
831,Goomy,-47,-42,-33,-12,-21,-80,12047
832,Sliggoo,-24,-17,-15,16,17,-60,5235
833,Sliggoo (Hisuian Sliggoo),-34,-17,15,16,17,-80,8615
834,Goodra,-2,8,2,43,54,-40,6437
835,Goodra (Hisuian Goodra),-12,8,32,43,54,-60,9597
836,Klefki,-35,-12,23,13,-9,-45,4173
837,Phantump,-49,-22,-20,-17,-36,-82,11594
838,Trevenant,-7,18,8,-2,-14,-64,4733
839,Pumpkaboo (Small Size),-48,-26,2,-23,-41,-64,9290
840,Pumpkaboo (Average Size),-43,-26,2,-23,-41,-69,9500
841,Pumpkaboo (Large Size),-38,-26,2,-23,-41,-74,9810
842,Pumpkaboo (Super Size),-33,-26,2,-23,-41,-79,10220
843,Gourgeist (Small Size),-37,-7,54,-9,-21,-21,5297
844,Gourgeist (Average Size),-27,-2,54,-9,-21,-36,5467
845,Gourgeist (Large Size),-17,3,54,-9,-21,-51,6337
846,Gourgeist (Super Size),-7,8,54,-9,-21,-66,7907
847,Bergmite,-37,-23,17,-35,-61,-92,15597
848,Avalugg,3,25,116,-23,-50,-92,25583
849,Avalugg (Hisuian Avalugg),3,35,116,-33,-60,-82,26103
850,Noibat,-52,-62,-33,-22,-56,-65,15482
851,Noivern,-7,-22,12,30,-16,3,1842
852,Xerneas,34,39,27,64,2,-21,7947
853,Yveltal,34,39,27,64,2,-21,7947
854,Zygarde (50% Forme),16,8,53,14,-1,-25,3951
855,Zygarde (10% Forme),-38,8,3,-6,-11,-5,1699
856,Zygarde (Complete Forme),124,8,53,24,-1,-35,20051
857,Diancie,-42,8,82,33,54,-70,17457
858,Diancie (Mega Diancie),-42,68,42,93,14,-10,17097
859,Hoopa (Hoopa Confined),-12,18,-8,83,34,-50,11077
860,Hoopa (Hoopa Unbound),-12,68,-8,103,34,-40,18197
861,Volcanion,-12,18,52,63,-6,-50,9677
862,Rowlet,-24,-37,-13,-17,-46,-78,10603
863,Dartrix,-14,-17,7,3,-26,-68,5843
864,Decidueye,-14,15,7,33,4,-50,4075
865,Decidueye (Hisuian Decidueye),-4,20,12,28,-1,-60,4945
866,Litten,-47,-27,-28,-7,-56,-50,9407
867,Torracat,-27,-7,-18,13,-46,-30,4287
868,Incineroar,3,23,22,13,-6,-60,4827
869,Popplio,-42,-38,-14,-1,-40,-80,11405
870,Brionne,-32,-23,1,24,-15,-70,7255
871,Primarina,-12,-18,6,59,20,-60,7985
872,Pikipek,-57,-17,-38,-37,-66,-55,13732
873,Trumbeak,-37,-7,-18,-27,-46,-45,6612
874,Toucannon,-12,28,7,8,-21,-60,5082
875,Yungoos,-44,-22,-38,-37,-66,-75,15214
876,Gumshoos,-4,18,-8,-12,-36,-75,7469
877,Grubbin,-45,-30,-23,-12,-51,-74,11675
878,Charjabug,-35,-10,27,-12,-21,-84,9695
879,Vikavolt,-15,-22,22,78,-21,-77,13647
880,Crabrawler,-45,-10,-11,-25,-49,-57,8521
881,Crabominable,5,40,9,-5,-29,-77,8501
882,Oricorio,-17,-22,2,31,-26,-27,3143
883,Cutiefly,-52,-47,-28,-12,-56,-36,10273
884,Ribombee,-32,-37,-8,28,-26,4,3933
885,Rockruff,-47,-27,-28,-37,-56,-60,11827
886,Lycanroc (Midday Form),-17,23,-3,-12,-31,-8,1996
887,Lycanroc (Midnight Form),-7,23,7,-12,-21,-38,2656
888,Lycanroc (Dusk Form),-17,25,-3,-12,-31,-10,2128
889,Wishiwashi (Solo Form),-47,-72,-48,-42,-71,-80,22902
890,Wishiwashi (School Form),-47,48,62,73,39,-90,23307
891,Mareanie,-42,-39,-6,-24,-44,-75,11458
892,Toxapex,-42,-29,84,-14,46,-85,19198
893,Mudbray,-22,8,2,-22,-41,-75,8342
894,Mudsdale,8,33,32,-12,-11,-85,9667
895,Dewpider,-54,-52,-16,-27,-24,-93,15830
896,Araquanid,-24,-22,24,-17,36,-78,9305
897,Fomantis,-52,-37,-33,-17,-61,-85,16397
898,Lurantis,-22,13,22,13,-6,-75,6967
899,Morelull,-52,-57,-13,-2,-21,-105,17592
900,Shiinotic,-32,-47,12,23,4,-90,12022
901,Salandit,-44,-48,-28,4,-56,-43,10025
902,Salazzle,-24,-28,-8,44,-36,-3,4665
903,Stufful,-22,-17,-18,-22,-46,-70,8597
904,Bewear,28,33,12,-12,-36,-60,7057
905,Bounsweet,-50,-62,-30,-37,-58,-88,19721
906,Steenee,-40,-52,-20,-27,-48,-58,11101
907,Tsareena,-20,28,30,-17,2,-48,4681
908,Comfey,-41,-40,22,15,14,-20,4586
909,Oranguru,-2,-32,12,23,14,-60,5497
910,Passimian,8,28,22,-27,-36,-40,4957
911,Wimpod,-67,-57,-28,-47,-66,-40,16687
912,Golisopod,-17,33,72,-7,-6,-80,13047
913,Sandygast,-37,-37,12,3,-51,-105,16517
914,Palossand,-7,-17,42,33,-21,-85,10857
915,Pyukumuku,-37,-32,62,-37,34,-115,21987
916,Type: Null,3,3,27,28,-1,-61,5253
917,Silvally,3,3,27,28,-1,-25,2157
918,Minior (Meteor Form),-32,-32,32,-7,4,-60,6737
919,Minior (Core),-32,8,-8,33,-36,0,3537
920,Komala,-27,23,-3,8,-1,-55,4357
921,Turtonator,-32,-14,67,24,-11,-84,13462
922,Togedemaru,-27,6,-5,-27,-23,-24,2624
923,Mimikyu,-37,-2,12,-17,9,-24,2463
924,Bruxish,-24,13,2,3,-26,-28,2218
925,Drampa,-14,-32,17,68,-5,-84,13214
926,Dhelmise,-22,39,32,19,-6,-80,9826
927,Jangmo-o,-47,-37,-3,-22,-51,-75,12297
928,Hakamo-o,-37,-17,22,-2,-26,-55,5847
929,Kommo-o,-17,18,57,33,9,-35,6257
930,Tapu Koko,-22,23,17,28,-21,10,2627
931,Tapu Lele,-22,-7,7,63,19,-25,5537
932,Tapu Bulu,-22,38,47,18,-1,-45,6487
933,Tapu Fini,-22,-17,47,28,34,-35,6147
934,Cosmog,-49,-63,-37,-38,-65,-83,20297
935,Cosmoem,-49,-63,63,-38,35,-83,19897
936,Solgaleo,45,45,39,46,-7,-23,8265
937,Lunala,45,21,21,70,11,-23,8457
938,Nihilego,17,-39,-21,60,35,-17,7365
939,Buzzwole,15,47,71,-14,-43,-41,11201
940,Pheromosa,-21,45,-31,70,-59,31,12769
941,Xurkitree,-9,-3,3,106,-25,-37,13329
942,Celesteela,5,9,35,40,5,-59,6437
943,Kartana,-33,89,63,-8,-65,-11,17389
944,Guzzlord,131,9,-15,30,-43,-77,26145
945,Necrozma,5,15,33,60,-7,-41,6669
946,Necrozma (Dusk Mane Necrozma),5,65,59,46,13,-43,11865
947,Necrozma (Dawn Wings Necrozma),5,21,41,90,31,-43,13057
948,Necrozma (Ultra Necrozma),5,75,29,100,1,9,16573
949,Magearna,-12,3,47,63,19,-55,9717
950,Marshadow,-2,33,12,23,-6,5,1827
951,Poipole,-25,-19,-1,6,-29,-47,4073
952,Naganadel,-19,-19,5,60,-23,1,4877
953,Stakataka,-31,39,143,-14,5,-107,34601
954,Blacephalon,-39,35,-15,84,-17,-13,10485
955,Zeraora,-4,20,7,35,-16,23,2475
956,Meltan,-46,-27,-3,-12,-61,-86,14115
957,Melmetal,43,51,75,13,-31,-86,18601
958,Grookey,-42,-27,-18,-27,-56,-55,9707
959,Thwackey,-22,-7,2,-12,-36,-40,3577
960,Rillaboom,8,33,22,-7,-26,-35,3587
961,Scorbunny,-42,-21,-28,-27,-56,-51,9455
962,Raboot,-27,-6,-8,-12,-36,-26,2945
963,Cinderace,-12,24,7,-2,-21,-1,1215
964,Sobble,-42,-52,-28,3,-56,-50,10897
965,Drizzile,-27,-32,-13,28,-41,-30,5287
966,Inteleon,-22,-7,-3,58,-31,0,4867
967,Skwovet,-22,-37,-13,-32,-61,-95,15792
968,Greedent,28,3,27,-12,-21,-100,12107
969,Rookidee,-54,-45,-33,-34,-61,-63,14876
970,Corvisquire,-24,-25,-13,-24,-41,-43,5476
971,Corviknight,6,-5,37,-14,-11,-53,4556
972,Blipbug,-67,-72,-48,-42,-51,-75,21967
973,Dottler,-42,-57,12,-17,-6,-90,13582
