Sam Tellis vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
508,Combee,-31,-30,-18,-30,-32,-24,4685
509,Vespiquen,9,20,42,20,28,-54,6345
510,Pachirisu,-1,-15,10,-15,16,1,808
511,Buizel,-6,5,-25,0,-44,-9,2703
512,Floatzel,24,45,-5,25,-24,21,4268
513,Cherubi,-16,-25,-15,2,-21,-59,5032
514,Cherrim,9,0,10,27,4,-9,1007
515,Shellos,15,-12,-12,-3,-12,-60,4266
516,Gastrodon,50,23,8,32,8,-55,7206
517,Ambipom,14,40,6,0,-8,21,2337
518,Drifloon,29,-10,-26,0,-30,-24,3093
519,Drifblim,89,20,-16,30,-20,-14,10073
520,Buneary,-6,6,-16,-16,-18,-9,989
521,Lopunny,4,16,24,-6,22,11,1489
522,Lopunny (Mega Lopunny),4,76,34,-6,22,41,9149
523,Mismagius,-1,0,0,45,31,11,3108
524,Honchkrow,39,65,-8,45,-22,-23,8848
525,Glameow,-12,-5,-18,-18,-37,-9,2267
526,Purugly,10,22,4,4,-15,18,1165
527,Chingling,-16,-30,-10,5,-24,-49,4258
528,Stunky,2,3,-13,-19,-33,-20,2032
529,Skuntank,42,33,7,11,-13,-10,3292
530,Bronzor,-4,-36,26,-36,12,-71,8469
531,Bronzong,6,29,56,19,42,-61,9859
532,Bonsly,-11,20,35,-50,-29,-84,12143
533,Mime Jr.,-41,-35,-15,10,16,-34,4643
534,Happiny,39,-55,-55,-45,-9,-64,13773
535,Chatot,15,5,-15,32,-32,-3,2532
536,Spiritomb,-11,32,48,32,34,-59,9110
537,Gible,-3,10,-15,-20,-29,-52,4279
538,Gabite,7,30,5,-10,-19,-12,1579
539,Garchomp,47,70,35,20,11,8,8919
540,Garchomp (Mega Garchomp),47,110,55,60,21,-2,21379
541,Munchlax,74,25,-20,-20,11,-89,14943
542,Riolu,-21,10,-20,-25,-34,-34,3878
543,Lucario,9,50,10,55,-4,-4,5738
544,Lucario (Mega Lucario),9,85,28,80,-4,18,14830
545,Hippopotas,7,12,18,-22,-32,-62,5869
546,Hippowdon,47,52,58,8,-2,-47,10554
547,Skorupi,-21,-10,30,-30,-19,-29,3543
548,Drapion,9,30,50,0,1,1,3483
549,Croagunk,-13,1,-20,1,-34,-44,3663
550,Toxicroak,22,46,5,26,-9,-9,3463
551,Carnivine,13,40,12,30,-2,-48,5121
552,Finneon,-12,-11,-4,-11,-13,-28,1355
553,Lumineon,8,9,16,9,12,-3,635
554,Mantyke,-16,-40,-10,0,46,-44,6008
555,Snover,-1,2,-10,2,-14,-54,3221
556,Abomasnow,29,32,15,32,11,-34,4391
557,Abomasnow (Mega Abomasnow),29,72,45,72,31,-64,18291
558,Weavile,9,60,5,-15,11,31,5013
559,Magnezone,9,10,55,70,16,-34,9518
560,Lickilicky,49,25,35,20,21,-44,7028
561,Rhyperior,54,80,70,-5,-19,-54,17518
562,Tangrowth,39,40,65,50,-24,-44,12358
563,Electivire,14,63,7,35,11,1,5561
564,Magmortar,14,35,7,65,21,-11,6257
565,Togekiss,24,-10,35,60,41,-14,7378
566,Yanmega,25,16,26,56,-18,1,5018
567,Leafeon,4,50,70,0,-9,1,7498
568,Glaceon,4,0,50,70,21,-29,8698
569,Gliscor,14,35,65,-15,1,1,5873
570,Mamoswine,49,70,20,10,-14,-14,8193
571,Porygon-Z,24,20,10,75,1,-4,6718
572,Gallade,7,65,5,5,41,-14,6201
573,Gallade (Mega Gallade),7,105,35,5,41,16,14261
574,Probopass,-1,-5,85,15,76,-54,16168
575,Dusknoir,-16,40,75,5,61,-49,13628
576,Froslass,9,20,10,20,-4,16,1253
577,Rotom,-11,-10,17,35,3,-3,1753
578,Rotom (Heat Rotom),-11,5,47,45,33,-8,5533
579,Rotom (Wash Rotom),-11,5,47,45,33,-8,5533
580,Rotom (Frost Rotom),-11,5,47,45,33,-8,5533
581,Rotom (Fan Rotom),-11,5,47,45,33,-8,5533
582,Rotom (Mow Rotom),-11,5,47,45,33,-8,5533
583,Uxie,14,15,70,15,56,1,8683
584,Mesprit,19,45,45,45,31,-14,7593
585,Azelf,14,65,10,65,-4,21,9203
586,Dialga,39,60,60,90,26,-4,17513
587,Dialga (Origin Forme),39,40,60,90,46,-4,16953
588,Palkia,29,60,40,90,46,6,16293
589,Palkia (Origin Forme),29,40,40,90,46,26,14933
590,Heatran,30,30,46,70,32,-17,10129
591,Regigigas,49,100,50,20,36,6,16633
592,Giratina (Altered Forme),89,40,60,40,46,-4,16853
593,Giratina (Origin Forme),89,60,40,60,26,-4,17413
594,Cresselia,59,10,60,15,56,-9,10623
595,Phione,19,20,20,20,6,-14,1793
596,Manaphy,39,40,40,40,26,6,7033
597,Darkrai,9,30,30,75,16,31,8723
598,Shaymin (Land Forme),39,40,40,40,26,6,7033
599,Shaymin (Sky Forme),39,43,15,60,1,33,8285
600,Arceus,59,60,60,60,46,26,17073
601,Victini,39,40,40,40,26,6,7033
602,Snivy,-16,-15,-5,-15,-19,-31,2053
603,Servine,-1,0,15,0,1,-11,348
604,Serperior,14,15,35,15,21,19,2673
605,Tepig,4,3,-15,-15,-29,-49,3717
606,Pignite,29,33,-5,10,-19,-39,3937
607,Emboar,49,63,5,40,-9,-29,8917
608,Oshawott,-6,-5,-15,3,-29,-49,3537
609,Dewott,14,15,0,23,-14,-34,2302
610,Samurott,34,40,25,48,-4,-24,6277
611,Samurott (Hisuian Samurott),29,48,20,40,-9,-9,5307
612,Patrat,-16,-5,-21,-25,-35,-52,5276
613,Watchog,-1,25,9,0,-5,-17,1021
614,Lillipup,-16,0,-15,-35,-29,-39,4068
615,Herdier,4,20,5,-25,-9,-34,2303
616,Stoutland,24,50,30,-15,16,-14,4653
617,Purrloin,-20,-10,-23,-10,-37,-28,3282
618,Liepard,3,28,-10,28,-24,12,2397
619,Pansage,-11,-7,-12,-7,-26,-30,1939
620,Simisage,14,38,3,38,-11,7,3263
621,Pansear,-11,-7,-12,-7,-26,-30,1939
622,Simisear,14,38,3,38,-11,7,3263
623,Panpour,-11,-7,-12,-7,-26,-30,1939
624,Simipour,14,38,3,38,-11,7,3263
625,Munna,15,-35,-15,7,-19,-70,6985
626,Musharna,55,-5,25,47,21,-65,10550
627,Pidove,-11,-5,-10,-24,-44,-51,5359
628,Tranquill,1,17,2,-10,-32,-29,2259
629,Unfezant,19,55,20,5,-19,-1,4173
630,Blitzle,-16,0,-28,-10,-42,-18,3228
631,Zebstrika,14,40,3,20,-11,22,2810
632,Roggenrola,-6,15,25,-35,-49,-79,10753
633,Boldore,9,45,45,-10,-34,-74,10863
634,Gigalith,24,75,70,0,6,-69,15898
635,Woobat,4,-15,-17,-5,-31,-22,2000
636,Swoobat,6,-3,-5,17,-19,20,1120
637,Drilbur,-1,25,-20,-30,-29,-26,3443
638,Excadrill,49,75,0,-10,-9,-6,8243
639,Audino,42,0,26,0,12,-44,4520
640,Audino (Mega Audino),42,0,66,20,52,-44,11160
641,Timburr,14,20,-5,-35,-39,-59,6848
642,Gurdurr,24,45,25,-20,-24,-54,7118
643,Conkeldurr,44,80,35,-5,-9,-49,12068
644,Tympole,-11,-10,-20,-10,-34,-30,2777
645,Palpitoad,14,5,-5,5,-19,-25,1257
646,Seismitoad,44,35,15,25,1,-20,4412
647,Throh,59,40,25,-30,11,-49,9128
648,Sawk,14,65,15,-30,1,-9,5628
649,Sewaddle,-16,-7,10,-20,-14,-52,3705
650,Swadloon,-6,3,30,-10,6,-52,3785
651,Leavanny,14,43,20,10,6,-2,2585
652,Venipede,-31,-15,-1,-30,-35,-37,4681
653,Whirlipede,-21,-5,39,-20,5,-47,4621
654,Scolipede,-1,40,29,-5,-5,18,2816
655,Cottonee,-21,-33,0,-23,-24,-28,3419
656,Whimsicott,-1,7,25,17,1,22,1449
657,Petilil,-16,-25,-10,10,-24,-64,5753
658,Lilligant,9,0,15,50,1,-4,2823
659,Lilligant (Hisuian Lilligant),9,45,15,-10,1,11,2553
660,Basculin,9,32,5,20,-19,4,1907
661,Sandile,-11,12,-25,-25,-39,-29,3877
662,Krokorok,-1,22,-15,-15,-29,-20,2176
663,Krookodile,34,57,20,5,-4,-2,4850
664,Darumaka,9,30,-15,-45,-29,-44,6008
665,Darumaka (Galarian Darumaka),9,30,-15,-45,-29,-44,6008
666,Darmanitan (Standard Mode),44,80,-5,-30,-19,1,9623
667,Darmanitan (Zen Mode),44,-30,45,80,31,-39,13743
668,Darmanitan (Galarian Standard Mode),44,80,-5,-30,-19,1,9623
669,Darmanitan (Galarian Zen Mode),44,100,-5,-30,-19,41,14903
670,Maractus,14,26,7,46,-7,-34,4242
671,Dwebble,-11,5,25,-25,-39,-39,4438
672,Crustle,9,45,65,5,1,-49,8758
673,Scraggy,-11,15,10,-25,-4,-46,3203
674,Scrafty,4,30,55,-15,41,-36,7143
675,Sigilyph,11,-2,20,43,6,3,2419
676,Yamask,-23,-30,25,-5,-9,-64,6256
677,Yamask (Galarian Yamask),-23,-5,25,-30,-9,-64,6256
678,Cofagrigus,-3,-10,85,35,31,-64,13616
679,Tirtouga,-7,18,43,-7,-29,-72,8296
680,Carracosta,13,48,73,23,-9,-62,12256
681,Archen,-6,52,-15,14,-29,-24,4578
682,Archeops,14,80,5,52,-9,16,9662
683,Trubbish,-11,-10,2,-20,-12,-29,1610
684,Garbodor,19,35,22,0,8,-19,2495
685,Zorua,-21,5,-20,20,-34,-29,3263
686,Zorua (Hisuian Zorua),-26,0,-20,25,-34,-24,3433
687,Zoroark,-1,45,0,60,-14,11,5943
688,Zoroark (Hisuian Zoroark),-6,40,0,65,-14,16,6313
689,Minccino,-6,-10,-20,-20,-34,-19,2453
690,Cinccino,14,35,0,5,-14,21,2083
691,Gothita,-16,-30,-10,-5,-9,-49,3763
692,Gothorita,-1,-15,10,15,11,-39,2193
693,Gothitelle,9,-5,35,35,36,-29,4693
694,Solosis,-16,-30,-20,45,-24,-74,9633
695,Duosion,4,-20,-10,65,-14,-64,9033
696,Reuniclus,49,5,15,65,11,-64,11093
697,Ducklett,1,-16,-10,-16,-24,-39,2710
698,Swanna,14,27,3,27,-11,4,1800
699,Vanillite,-25,-10,-10,5,-14,-50,3546
700,Vanillish,-10,5,5,20,1,-35,1776
701,Vanilluxe,10,35,25,50,21,-15,5116
702,Deerling,-1,0,-10,-20,-24,-19,1438
703,Sawsbuck,19,40,10,0,-4,1,2078
704,Emolga,-6,15,0,15,-14,9,763
705,Karrablast,-11,15,-15,-20,-29,-34,2968
706,Escavalier,9,75,45,0,31,-74,14168
707,Foongus,8,-5,-15,-5,-19,-79,6941
708,Amoonguss,53,25,10,25,6,-64,8291
709,Frillish,-6,-20,-10,5,11,-54,3598
710,Jellicent,39,0,10,25,31,-34,4363
711,Alomomola,104,15,20,-20,-29,-29,13523
712,Joltik,-11,-13,-10,-3,-24,-29,1816
713,Galvantula,9,17,0,37,-14,14,2131
714,Ferroseed,-17,-10,31,-36,12,-84,9846
715,Ferrothorn,13,34,71,-6,42,-74,13642
716,Klink,-21,-5,10,-15,-14,-64,5083
717,Klang,-1,20,35,10,11,-44,3783
718,Klinklang,-1,40,55,10,11,-4,4863
719,Tynamo,-26,-5,-20,-15,-34,-34,3638
720,Eelektrik,4,25,10,15,-4,-54,3898
721,Eelektross,24,55,20,45,6,-44,7998
722,Elgyem,-6,-5,-5,25,-19,-64,5168
723,Beheeyem,14,15,15,65,21,-54,8228
724,Litwick,-11,-30,-5,5,-19,-74,6908
725,Lampent,-1,-20,0,35,-14,-39,3343
726,Chandelure,-1,-5,30,85,16,-14,8603
727,Axew,-15,27,0,-30,-34,-37,4379
728,Fraxure,5,57,10,-20,-24,-27,5079
729,Haxorus,15,87,30,0,-4,3,8719
730,Cubchoo,-6,10,-20,0,-34,-54,4608
731,Beartic,34,70,20,10,6,-44,8528
732,Cryogonal,19,-10,-10,35,61,11,5628
733,Shelmet,-11,-20,25,-20,-9,-69,6388
734,Accelgor,19,10,-20,40,-14,51,5258
735,Stunfisk,48,6,24,21,25,-62,7826
736,Stunfisk (Galarian Stunfisk),48,21,39,6,10,-62,8246
737,Mienfoo,-16,25,-10,-5,-24,-29,2423
738,Mienshao,4,65,0,35,-14,11,5783
739,Druddigon,16,60,30,0,16,-46,7128
740,Golett,-2,14,-10,-25,-24,-59,4982
741,Golurk,28,64,20,-5,6,-39,6862
742,Pawniard,-16,25,10,-20,-34,-34,3693
743,Bisharp,4,65,40,0,-4,-24,6433
744,Bouffalant,34,50,35,-20,21,-39,7243
745,Rufflet,9,23,-10,-23,-24,-34,2971
746,Braviary,39,63,15,-3,1,-14,5921
747,Braviary (Hisuian Braviary),49,23,10,52,-4,-29,6591
748,Vullaby,9,-5,15,-15,-9,-34,1793
749,Mandibuzz,49,5,45,-5,21,-14,5113
750,Heatmor,24,37,6,45,-8,-29,4911
751,Durant,-3,49,52,-12,-26,15,6159
752,Deino,-9,5,-10,-15,-24,-56,4143
753,Zweilous,11,25,10,5,-4,-36,2183
754,Hydreigon,31,45,30,65,16,4,8383
755,Larvesta,-6,25,-5,-10,-19,-34,2303
756,Volcarona,24,0,5,75,31,6,7223
757,Cobalion,30,30,69,30,-2,14,7661
758,Terrakion,30,69,30,12,16,14,7157
759,Virizion,30,30,12,30,55,14,6065
760,Tornadus (Incarnate Forme),18,55,10,65,6,17,7999
761,Tornadus (Therian Forme),18,40,20,50,16,27,5809
762,Thundurus (Incarnate Forme),18,55,10,65,6,17,7999
763,Thundurus (Therian Forme),18,45,10,85,6,7,9759
764,Reshiram,39,60,40,90,46,-4,16953
765,Zekrom,39,90,60,60,26,-4,17513
766,Landorus (Incarnate Forme),28,65,30,55,6,7,9019
767,Landorus (Therian Forme),28,85,30,45,6,-3,10979
768,Kyurem,64,70,30,70,16,1,15053
769,Kyurem (Black Kyurem),64,110,40,60,16,1,21653
770,Kyurem (White Kyurem),64,60,30,110,26,1,21373
771,Keldeo,30,12,30,69,16,14,7157
772,Meloetta (Aria Forme),39,17,17,68,54,-4,9655
773,Meloetta (Pirouette Forme),39,68,30,17,3,34,8499
774,Genesect,10,60,35,60,21,5,8991
775,Chespin,-5,1,5,-12,-29,-56,4172
776,Quilladin,0,18,35,-4,-16,-37,3190
777,Chesnaught,27,47,62,14,1,-30,7879
778,Fennekin,-21,-15,-20,2,-14,-34,2422
779,Braixen,-2,-1,-2,30,-4,-21,1366
780,Delphox,14,9,12,54,26,10,4113
781,Froakie,-20,-4,-20,2,-30,-23,2249
782,Frogadier,-7,3,-8,23,-18,3,984
783,Greninja,11,35,7,43,-3,28,4037
784,Greninja (Ash-Greninja),11,85,7,93,-3,38,17497
785,Bunnelby,-23,-24,-22,-28,-38,-37,5186
786,Diggersby,24,-4,17,-10,3,-16,1246
787,Fletchling,-16,-10,-17,-20,-36,-32,3365
788,Fletchinder,1,13,-5,-4,-22,-10,795
789,Talonflame,17,21,11,14,-5,32,2096
790,Scatterbug,-23,-25,-20,-33,-49,-59,8525
791,Spewpa,-16,-38,0,-33,-44,-65,8950
792,Vivillon,19,-8,-10,30,-24,-5,2026
793,Litleo,1,-10,-2,13,-20,-22,1158
794,Pyroar,25,8,12,49,-8,12,3442
795,Flabébé,-17,-22,-21,1,5,-52,3944
796,Floette,-7,-15,-13,15,24,-42,3008
797,Florges,17,5,8,52,80,-19,9843
798,Skiddo,5,5,-12,2,-17,-42,2251
799,Gogoat,62,40,2,37,7,-26,7542
800,Pancham,6,22,2,-14,-26,-51,3997
801,Pangoro,34,64,18,9,-3,-36,6962
802,Furfrou,14,20,0,5,16,8,941
803,Espurr,1,-12,-6,3,-14,-26,1062
804,Meowstic,13,-12,16,23,7,10,1247
805,Honedge,-16,20,40,-25,-37,-66,8606
806,Doublade,-2,50,90,-15,-25,-59,14935
807,Aegislash (Shield Forme),-1,-10,80,-10,66,-34,12113
808,Aegislash (Blade Forme),-1,80,-10,80,-24,-34,14633
809,Spritzee,17,-8,0,3,-9,-71,5484
810,Aromatisse,40,12,12,39,15,-65,7859
811,Swirlix,1,-12,6,-1,-17,-45,2496
812,Slurpuff,21,20,26,25,1,-22,2627
813,Inkay,-8,-6,-7,-23,-28,-49,3863
814,Malamar,25,32,28,8,1,-21,2939
815,Binacle,-19,-8,7,-21,-18,-44,3175
816,Barbaracle,11,45,55,-6,12,-26,6027
817,Skrelp,-11,0,0,0,-14,-64,4413
818,Dragalge,4,15,30,37,49,-50,7411
819,Clauncher,-11,-7,2,-2,-11,-50,2799
820,Clawitzer,10,13,28,60,15,-35,6103
821,Helioptile,-17,-22,-27,1,-31,-24,3040
822,Heliolisk,1,-5,-8,49,20,15,3116
823,Tyrunt,-3,29,17,-15,-29,-46,4321
824,Tyrantrum,21,61,59,9,-15,-23,8478
825,Amaura,16,-1,-10,7,-11,-48,2831
826,Aurorus,62,17,12,39,18,-36,7418
827,Sylveon,34,5,5,50,56,-34,7998
828,Hawlucha,17,32,15,14,-11,24,2431
829,Dedenne,6,-2,-3,21,-7,7,588
830,Carbink,-11,-10,90,-10,76,-44,16133
831,Goomy,-16,-10,-25,-5,1,-54,3923
832,Sliggoo,7,15,-7,23,39,-34,3529
833,Sliggoo (Hisuian Sliggoo),-3,15,23,23,39,-54,5729
834,Goodra,29,40,10,50,76,-14,11013
835,Goodra (Hisuian Goodra),19,40,40,50,76,-34,12993
836,Klefki,-4,20,31,20,13,-19,2307
837,Phantump,-18,10,-12,-10,-14,-56,4000
838,Trevenant,24,50,16,5,8,-38,4865
839,Pumpkaboo (Small Size),-17,6,10,-16,-19,-38,2486
840,Pumpkaboo (Average Size),-12,6,10,-16,-19,-43,2746
841,Pumpkaboo (Large Size),-7,6,10,-16,-19,-48,3106
842,Pumpkaboo (Super Size),-2,6,10,-16,-19,-53,3566
843,Gourgeist (Small Size),-6,25,62,-2,1,5,4535
844,Gourgeist (Average Size),4,30,62,-2,1,-10,4865
845,Gourgeist (Large Size),14,35,62,-2,1,-25,5895
846,Gourgeist (Super Size),24,40,62,-2,1,-40,7625
847,Bergmite,-6,9,25,-28,-39,-66,7403
848,Avalugg,34,57,124,-16,-28,-66,25177
849,Avalugg (Hisuian Avalugg),34,67,124,-26,-38,-56,26277
850,Noibat,-21,-30,-25,-15,-34,-39,4868
851,Noivern,24,10,20,37,6,29,3322
852,Xerneas,65,71,35,71,24,5,16133
853,Yveltal,65,71,35,71,24,5,16133
854,Zygarde (50% Forme),47,40,61,21,21,1,8413
855,Zygarde (10% Forme),-7,40,11,1,11,21,2333
856,Zygarde (Complete Forme),155,40,61,31,21,-9,30829
857,Diancie,-11,40,90,40,76,-44,19133
858,Diancie (Mega Diancie),-11,100,50,100,36,16,24173
859,Hoopa (Hoopa Confined),19,50,0,90,56,-24,14673
860,Hoopa (Hoopa Unbound),19,100,0,110,56,-14,25793
861,Volcanion,19,50,60,70,16,-24,12193
862,Rowlet,7,-5,-5,-10,-24,-52,3479
863,Dartrix,17,15,15,10,-4,-42,2619
864,Decidueye,17,47,15,40,26,-24,5575
865,Decidueye (Hisuian Decidueye),27,52,20,35,21,-34,6655
866,Litten,-16,5,-20,0,-34,-24,2413
867,Torracat,4,25,-10,20,-24,-4,1733
868,Incineroar,34,55,30,20,16,-34,6893
869,Popplio,-11,-6,-6,6,-18,-54,3469
870,Brionne,-1,9,9,31,7,-44,3109
871,Primarina,19,14,14,66,42,-34,8029
872,Pikipek,-26,15,-30,-30,-44,-29,5478
873,Trumbeak,-6,25,-10,-20,-24,-19,2098
874,Toucannon,19,60,15,15,1,-34,5568
875,Yungoos,-13,10,-30,-30,-44,-49,6406
876,Gumshoos,27,50,0,-5,-14,-49,5851
877,Grubbin,-14,2,-15,-5,-29,-48,3595
878,Charjabug,-4,22,35,-5,1,-58,5115
879,Vikavolt,16,10,30,85,1,-51,11083
880,Crabrawler,-14,22,-3,-18,-27,-31,2703
881,Crabominable,36,72,17,2,-7,-51,9423
882,Oricorio,14,10,10,38,-4,-1,1857
883,Cutiefly,-21,-15,-20,-5,-34,-10,2347
884,Ribombee,-1,-5,0,35,-4,30,2167
885,Rockruff,-16,5,-20,-30,-34,-34,3893
886,Lycanroc (Midday Form),14,55,5,-5,-9,18,3676
887,Lycanroc (Midnight Form),24,55,15,-5,1,-12,3996
888,Lycanroc (Dusk Form),14,57,5,-5,-9,16,3832
889,Wishiwashi (Solo Form),-16,-40,-40,-35,-49,-54,9998
890,Wishiwashi (School Form),-16,80,70,80,61,-64,25773
891,Mareanie,-11,-7,2,-17,-22,-49,3348
892,Toxapex,-11,3,92,-7,68,-59,16748
893,Mudbray,9,40,10,-15,-19,-49,4768
894,Mudsdale,39,65,40,-5,11,-59,10973
895,Dewpider,-23,-20,-8,-20,-2,-67,5886
896,Araquanid,7,10,32,-10,58,-52,7341
897,Fomantis,-21,-5,-25,-10,-39,-59,6193
898,Lurantis,9,45,30,20,16,-49,6063
899,Morelull,-21,-25,-5,5,1,-79,7358
900,Shiinotic,-1,-15,20,30,26,-64,6298
901,Salandit,-13,-16,-20,11,-34,-17,2391
902,Salazzle,7,4,0,51,-14,23,3391
903,Stufful,9,15,-10,-15,-24,-44,3143
904,Bewear,59,65,20,-5,-14,-34,9483
905,Bounsweet,-19,-30,-22,-30,-36,-62,7785
906,Steenee,-9,-20,-12,-20,-26,-32,2725
907,Tsareena,11,60,38,-10,24,-22,6325
908,Comfey,-10,-8,30,22,36,6,2880
909,Oranguru,29,0,20,30,36,-34,4593
910,Passimian,39,60,30,-20,-14,-14,6813
911,Wimpod,-36,-25,-20,-40,-44,-14,6053
912,Golisopod,14,65,80,0,16,-54,13993
913,Sandygast,-6,-5,20,10,-29,-79,7643
914,Palossand,24,15,50,40,1,-59,8383
915,Pyukumuku,-6,0,70,-30,56,-89,16893
916,Type: Null,34,35,35,35,21,-35,6497
917,Silvally,34,35,35,35,21,1,5273
918,Minior (Meteor Form),-1,0,40,0,26,-34,3433
919,Minior (Core),-1,40,0,40,-14,26,4073
920,Komala,4,55,5,15,21,-29,4573
921,Turtonator,-1,18,75,31,11,-58,10396
922,Togedemaru,4,38,3,-20,-1,2,1874
923,Mimikyu,-6,30,20,-10,31,2,2401
924,Bruxish,7,45,10,10,-4,-2,2294
925,Drampa,17,0,25,75,17,-58,10192
926,Dhelmise,9,71,40,26,16,-54,10570
927,Jangmo-o,-16,-5,5,-15,-29,-49,3773
928,Hakamo-o,-6,15,30,5,-4,-29,2043
929,Kommo-o,14,50,65,40,31,-9,9563
930,Tapu Koko,9,55,25,35,1,36,6253
931,Tapu Lele,9,25,15,70,41,1,7513
932,Tapu Bulu,9,70,55,25,21,-19,9433
933,Tapu Fini,9,15,55,35,56,-9,7773
934,Cosmog,-18,-31,-29,-31,-43,-57,8185
935,Cosmoem,-18,-31,71,-31,57,-57,13785
936,Solgaleo,76,77,47,53,15,3,16957
937,Lunala,76,53,29,77,33,3,16453
938,Nihilego,48,-7,-13,67,57,9,10341
939,Buzzwole,46,79,79,-7,-21,-15,15313
940,Pheromosa,10,77,-23,77,-37,57,17105
941,Xurkitree,22,29,11,113,-3,-11,14345
942,Celesteela,36,41,43,47,27,-33,8853
943,Kartana,-2,121,71,-1,-43,15,21761
944,Guzzlord,162,41,-7,37,-21,-51,32385
945,Necrozma,36,47,41,67,15,-15,10125
946,Necrozma (Dusk Mane Necrozma),36,97,67,53,35,-17,19517
947,Necrozma (Dawn Wings Necrozma),36,53,49,97,53,-17,19013
948,Necrozma (Ultra Necrozma),36,107,37,107,23,35,27317
949,Magearna,19,35,55,70,41,-29,12033
950,Marshadow,29,65,20,30,16,31,7583
951,Poipole,6,13,7,13,-7,-21,913
952,Naganadel,12,13,13,67,-1,27,5701
953,Stakataka,0,71,151,-7,27,-81,35181
954,Blacephalon,-8,67,-7,91,5,13,13077
955,Zeraora,27,52,15,42,6,49,7859
956,Meltan,-15,5,5,-5,-39,-60,5421
957,Melmetal,74,83,83,20,-9,-60,23335
958,Grookey,-11,5,-10,-20,-34,-29,2643
959,Thwackey,9,25,10,-5,-14,-14,1223
960,Rillaboom,39,65,30,0,-4,-9,6743
961,Scorbunny,-11,11,-20,-20,-34,-25,2823
962,Raboot,4,26,0,-5,-14,0,913
963,Cinderace,19,56,15,5,1,25,4373
964,Sobble,-11,-20,-20,10,-34,-24,2753
965,Drizzile,4,0,-5,35,-19,-4,1643
966,Inteleon,9,25,5,65,-9,26,5713
967,Skwovet,9,-5,-5,-25,-39,-69,7038
968,Greedent,59,35,35,-5,1,-74,11433
969,Rookidee,-23,-13,-25,-27,-39,-37,4942
970,Corvisquire,7,7,-5,-17,-19,-17,1062
971,Corviknight,37,27,45,-7,11,-27,5022
972,Blipbug,-36,-40,-40,-35,-29,-49,8963
973,Dottler,-11,-25,20,-10,16,-64,5598
974,Orbeetle,-1,-15,50,20,46,-4,5258
975,Nickit,-21,-32,-32,-13,-22,-44,5078
976,Thievul,9,-2,-2,27,18,-4,1158
977,Gossifleur,-21,-20,0,-20,-14,-84,8493
978,Eldegoss,-1,-10,30,20,46,-34,4673
979,Wooloo,-19,-20,-5,-20,-29,-46,4143
980,Dubwool,11,20,40,0,16,-6,2413
981,Chewtle,-11,4,-10,-22,-36,-50,4517
982,Drednaw,29,55,30,-12,-6,-20,5346
983,Yamper,-2,-15,-10,-20,-24,-68,5929
984,Boltund,8,30,0,30,-14,27,2789
985,Rolycoly,-31,-20,-10,-20,-24,-64,6533
986,Carkol,19,0,30,0,-4,-44,3213
987,Coalossal,49,20,60,20,16,-64,11153
988,Applin,-21,-20,20,-20,-34,-74,8273
989,Flapple,9,50,20,35,-14,-24,4978
990,Appletun,49,25,20,40,6,-64,9158
991,Silicobra,-9,-3,15,-25,-24,-48,3820
992,Sandaconda,11,47,65,5,-4,-23,7125
993,Cramorant,9,25,-5,25,21,-9,1878
994,Arrokuda,-20,3,-20,-20,-44,-28,3929
995,Barraskewda,0,63,0,0,-24,42,6309
996,Toxel,-21,-22,-25,-6,-39,-54,6023
997,Toxtricity,14,38,10,54,-4,-19,5033
998,Sizzlipede,-11,5,-15,-10,-24,-49,3448
999,Centiskorch,39,55,5,30,16,-29,6568
1000,Clobbopus,-11,8,0,-10,-24,-62,4705
1001,Grapploct,19,58,30,10,6,-52,7465
1002,Sinistea,-21,-15,-15,14,-20,-44,3423
1003,Polteageist,-1,5,5,74,40,-24,7703
1004,Hatenna,-19,-30,-15,-4,-21,-55,4968
1005,Hattrem,-4,-20,5,26,-1,-45,3143
1006,Hatterene,-4,30,35,76,29,-65,12983
1007,Impidimp,-16,-15,-30,-5,-34,-44,4498
1008,Morgrem,4,0,-15,15,-19,-24,1403
1009,Grimmsnarl,34,60,5,35,1,-34,7163
1010,Obstagoon,32,30,41,0,7,1,3655
1011,Perrserker,9,50,40,-10,-14,-44,6413
1012,Cursola,-1,35,-10,85,56,-64,15783
1013,Sirfetch'd,1,75,35,8,8,-29,7820
1014,Mr. Rime,19,25,15,50,26,-24,4963
1015,Runerigus,-3,35,85,-10,31,-64,13616
1016,Milcery,-16,-20,-20,-10,-13,-60,4925
1017,Alcremie,4,0,15,50,47,-30,5850
1018,Falinks,4,40,40,10,-14,-19,3873
1019,Pincurchin,-13,41,35,31,11,-79,10398
1020,Snom,-31,-35,-25,-15,-44,-74,10448
1021,Frosmoth,9,5,0,65,16,-29,5428
1022,Stonjourner,39,65,75,-40,-54,-24,16463
1023,Eiscue (Ice Face),14,20,50,5,16,-44,5313
1024,Eiscue (Noice Face),14,20,10,5,-24,36,2593
1025,Indeedee (Male),-1,5,-5,45,21,1,2518
1026,Indeedee (Female),9,-5,5,35,31,-9,2398
1027,Morpeko,-3,35,-2,10,-16,3,1603
1028,Cufant,11,20,-11,-20,-25,-54,4583
1029,Copperajah,61,70,9,20,-5,-64,13223
