Evan Sooklal vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
492,Kricketot,-50,-63,-19,-40,-40,-66,14386
493,Kricketune,-10,-3,-9,-10,-30,-26,1866
494,Shinx,-42,-23,-26,-25,-47,-46,7919
495,Luxio,-27,-3,-11,-5,-32,-31,2869
496,Luxray,-7,32,19,30,-2,-21,2779
497,Budew,-47,-58,-25,-15,-11,-36,7840
498,Roserade,-27,-18,5,60,24,-1,5255
499,Cranidos,-20,37,-20,-35,-51,-33,7084
500,Rampardos,10,77,0,0,-31,-33,8079
501,Shieldon,-57,-46,58,-23,7,-61,13028
502,Bastiodon,-27,-36,108,-18,57,-61,20983
503,Burmy,-47,-59,-15,-36,-36,-55,11532
504,Wormadam (Plant Cloak),-27,-29,25,14,24,-55,5992
505,Wormadam (Sandy Cloak),-27,-9,45,-6,4,-55,5912
506,Wormadam (Trash Cloak),-27,-19,35,4,14,-55,5552
507,Mothim,-17,6,-10,29,-31,-25,2852
508,Combee,-57,-58,-18,-35,-39,-21,10124
509,Vespiquen,-17,-8,42,15,21,-51,5384
510,Pachirisu,-27,-43,10,-20,9,4,3175
511,Buizel,-32,-23,-25,-5,-51,-6,4840
512,Floatzel,-2,17,-5,20,-31,24,2255
513,Cherubi,-42,-53,-15,-3,-28,-56,8727
514,Cherrim,-17,-28,10,22,-3,-6,1702
515,Shellos,-11,-40,-12,-8,-19,-57,5539
516,Gastrodon,24,-5,8,27,1,-52,4099
517,Ambipom,-12,12,6,-5,-15,24,1150
518,Drifloon,3,-38,-26,-5,-37,-21,3964
519,Drifblim,63,-8,-16,25,-27,-11,5764
520,Buneary,-32,-22,-16,-21,-25,-6,2866
521,Lopunny,-22,-12,24,-11,15,14,1746
522,Lopunny (Mega Lopunny),-22,48,34,-11,15,44,6226
523,Mismagius,-27,-28,0,40,24,14,3885
524,Honchkrow,13,37,-8,40,-29,-20,4443
525,Glameow,-38,-33,-18,-23,-44,-6,5358
526,Purugly,-16,-6,4,-1,-22,21,1234
527,Chingling,-42,-58,-10,0,-31,-46,8305
528,Stunky,-24,-25,-13,-24,-40,-17,3835
529,Skuntank,16,5,7,6,-20,-7,815
530,Bronzor,-30,-64,26,-41,5,-68,12002
531,Bronzong,-20,1,56,14,35,-58,8322
532,Bonsly,-37,-8,35,-55,-36,-81,13540
533,Mime Jr.,-67,-63,-15,5,9,-31,9750
534,Happiny,13,-83,-55,-50,-16,-61,16560
535,Chatot,-11,-23,-15,27,-39,0,3125
536,Spiritomb,-37,4,48,27,27,-56,8283
537,Gible,-29,-18,-15,-25,-36,-49,5712
538,Gabite,-19,2,5,-15,-26,-9,1372
539,Garchomp,21,42,35,15,4,11,3792
540,Garchomp (Mega Garchomp),21,82,55,55,14,1,13412
541,Munchlax,48,-3,-20,-25,4,-86,10750
542,Riolu,-47,-18,-20,-30,-41,-31,6475
543,Lucario,-17,22,10,50,-11,-1,3495
544,Lucario (Mega Lucario),-17,57,28,75,-11,21,10509
545,Hippopotas,-19,-16,18,-27,-39,-59,6672
546,Hippowdon,21,24,58,3,-9,-44,6407
547,Skorupi,-47,-38,30,-35,-26,-26,7130
548,Drapion,-17,2,50,-5,-6,4,2870
549,Croagunk,-39,-27,-20,-4,-41,-41,6028
550,Toxicroak,-4,18,5,21,-16,-6,1098
551,Carnivine,-13,12,12,25,-9,-45,3188
552,Finneon,-38,-39,-4,-16,-20,-25,4262
553,Lumineon,-18,-19,16,4,5,0,982
554,Mantyke,-42,-68,-10,-5,39,-41,9715
555,Snover,-27,-26,-10,-3,-21,-51,4556
556,Abomasnow,3,4,15,27,4,-31,1956
557,Abomasnow (Mega Abomasnow),3,44,45,67,24,-61,12756
558,Weavile,-17,32,5,-20,4,34,2910
559,Magnezone,-17,-18,55,65,9,-31,8905
560,Lickilicky,23,-3,35,15,14,-41,3865
561,Rhyperior,28,52,70,-10,-26,-51,11765
562,Tangrowth,13,12,65,45,-31,-41,9205
563,Electivire,-12,35,7,30,4,4,2350
564,Magmortar,-12,7,7,60,14,-8,4102
565,Togekiss,-2,-38,35,55,34,-11,6975
566,Yanmega,-1,-12,26,51,-25,4,4063
567,Leafeon,-22,22,70,-5,-16,4,6165
568,Glaceon,-22,-28,50,65,14,-26,8865
569,Gliscor,-12,7,65,-20,-6,4,4870
570,Mamoswine,23,42,20,5,-21,-11,3280
571,Porygon-Z,-2,-8,10,70,-6,-1,5105
572,Gallade,-19,37,5,0,34,-11,3032
573,Gallade (Mega Gallade),-19,77,35,0,34,19,9032
574,Probopass,-27,-33,85,10,69,-51,16505
575,Dusknoir,-42,12,75,0,54,-46,12565
576,Froslass,-17,-8,10,15,-11,19,1160
577,Rotom,-37,-38,17,30,-4,0,4018
578,Rotom (Heat Rotom),-37,-23,47,40,26,-5,6408
579,Rotom (Wash Rotom),-37,-23,47,40,26,-5,6408
580,Rotom (Frost Rotom),-37,-23,47,40,26,-5,6408
581,Rotom (Fan Rotom),-37,-23,47,40,26,-5,6408
582,Rotom (Mow Rotom),-37,-23,47,40,26,-5,6408
583,Uxie,-12,-13,70,10,49,4,7730
584,Mesprit,-7,17,45,40,24,-11,4660
585,Azelf,-12,37,10,60,-11,24,5910
586,Dialga,13,32,60,85,19,-1,12380
587,Dialga (Origin Forme),13,12,60,85,39,-1,12660
588,Palkia,3,32,40,85,39,9,11460
589,Palkia (Origin Forme),3,12,40,85,39,29,11340
590,Heatran,4,2,46,65,25,-14,7182
591,Regigigas,23,72,50,15,29,9,9360
592,Giratina (Altered Forme),63,12,60,35,39,-1,10460
593,Giratina (Origin Forme),63,32,40,55,19,-1,9980
594,Cresselia,33,-18,60,10,49,-6,7550
595,Phione,-7,-8,20,15,-1,-11,860
596,Manaphy,13,12,40,35,19,9,3580
597,Darkrai,-17,2,30,70,9,34,7330
598,Shaymin (Land Forme),13,12,40,35,19,9,3580
599,Shaymin (Sky Forme),13,15,15,55,-6,36,4976
600,Arceus,33,32,60,55,39,29,11100
601,Victini,13,12,40,35,19,9,3580
602,Snivy,-42,-43,-5,-20,-26,-28,5498
603,Servine,-27,-28,15,-5,-6,-8,1863
604,Serperior,-12,-13,35,10,14,22,2318
605,Tepig,-22,-25,-15,-20,-36,-46,5146
606,Pignite,3,5,-5,5,-26,-36,2056
607,Emboar,23,35,5,35,-16,-26,3936
608,Oshawott,-32,-33,-15,-2,-36,-46,5754
609,Dewott,-12,-13,0,18,-21,-31,2039
610,Samurott,8,12,25,43,-11,-21,3244
611,Samurott (Hisuian Samurott),3,20,20,35,-16,-6,2326
612,Patrat,-42,-33,-21,-30,-42,-49,8359
613,Watchog,-27,-3,9,-5,-12,-14,1184
614,Lillipup,-42,-28,-15,-40,-36,-36,6965
615,Herdier,-22,-8,5,-30,-16,-31,2690
616,Stoutland,-2,22,30,-20,9,-11,1990
617,Purrloin,-46,-38,-23,-15,-44,-25,6875
618,Liepard,-23,0,-10,23,-31,15,2344
619,Pansage,-37,-35,-12,-12,-33,-27,4700
620,Simisage,-12,10,3,33,-18,10,1766
621,Pansear,-37,-35,-12,-12,-33,-27,4700
622,Simisear,-12,10,3,33,-18,10,1766
623,Panpour,-37,-35,-12,-12,-33,-27,4700
624,Simipour,-12,10,3,33,-18,10,1766
625,Munna,-11,-63,-15,2,-26,-67,9484
626,Musharna,29,-33,25,42,14,-62,8359
627,Pidove,-37,-33,-10,-29,-51,-48,8304
628,Tranquill,-25,-11,2,-15,-39,-26,3172
629,Unfezant,-7,27,20,0,-26,2,1858
630,Blitzle,-42,-28,-28,-15,-49,-15,6183
631,Zebstrika,-12,12,3,15,-18,25,1471
632,Roggenrola,-32,-13,25,-40,-56,-76,12330
633,Boldore,-17,17,45,-15,-41,-71,9550
634,Gigalith,-2,47,70,-5,-1,-66,11495
635,Woobat,-22,-43,-17,-10,-38,-19,4527
636,Swoobat,-20,-31,-5,12,-26,23,2735
637,Drilbur,-27,-3,-20,-35,-36,-23,4188
638,Excadrill,23,47,0,-15,-16,-3,3228
639,Audino,16,-28,26,-5,5,-41,3447
640,Audino (Mega Audino),16,-28,66,15,45,-41,9327
641,Timburr,-12,-8,-5,-40,-46,-56,7085
642,Gurdurr,-2,17,25,-25,-31,-51,5105
643,Conkeldurr,18,52,35,-10,-16,-46,6725
644,Tympole,-37,-38,-20,-15,-41,-27,5848
645,Palpitoad,-12,-23,-5,0,-26,-22,1858
646,Seismitoad,18,7,15,20,-6,-17,1323
647,Throh,33,12,25,-35,4,-46,5215
648,Sawk,-12,37,15,-35,-6,-6,3035
649,Sewaddle,-42,-35,10,-25,-21,-49,6556
650,Swadloon,-32,-25,30,-15,-1,-49,5176
651,Leavanny,-12,15,20,5,-1,1,796
652,Venipede,-57,-43,-1,-35,-42,-34,9244
653,Whirlipede,-47,-33,39,-25,-2,-44,7384
654,Scolipede,-27,12,29,-10,-12,21,2399
655,Cottonee,-47,-61,0,-28,-31,-25,8300
656,Whimsicott,-27,-21,25,12,-6,25,2600
657,Petilil,-42,-53,-10,5,-31,-61,9380
658,Lilligant,-17,-28,15,45,-6,-1,3360
659,Lilligant (Hisuian Lilligant),-17,17,15,-15,-6,14,1260
660,Basculin,-17,4,5,15,-26,7,1280
661,Sandile,-37,-16,-25,-30,-46,-26,5942
662,Krokorok,-27,-6,-15,-20,-36,-17,2975
663,Krookodile,8,29,20,0,-11,1,1427
664,Darumaka,-17,2,-15,-50,-36,-41,5995
665,Darumaka (Galarian Darumaka),-17,2,-15,-50,-36,-41,5995
666,Darmanitan (Standard Mode),18,52,-5,-35,-26,4,4970
667,Darmanitan (Zen Mode),18,-58,45,75,24,-36,13210
668,Darmanitan (Galarian Standard Mode),18,52,-5,-35,-26,4,4970
669,Darmanitan (Galarian Zen Mode),18,72,-5,-35,-26,44,9370
670,Maractus,-12,-2,7,41,-14,-31,3035
671,Dwebble,-37,-23,25,-30,-46,-36,6835
672,Crustle,-17,17,65,0,-6,-46,6955
673,Scraggy,-37,-13,10,-30,-11,-43,4508
674,Scrafty,-22,2,55,-20,34,-33,6158
675,Sigilyph,-15,-30,20,38,-1,6,3006
676,Yamask,-49,-58,25,-10,-16,-61,10467
677,Yamask (Galarian Yamask),-49,-33,25,-35,-16,-61,9317
678,Cofagrigus,-29,-38,85,30,24,-61,14707
679,Tirtouga,-33,-10,43,-12,-36,-69,9239
680,Carracosta,-13,20,73,18,-16,-59,9959
681,Archen,-32,24,-15,9,-36,-21,3643
682,Archeops,-12,52,5,47,-16,19,5699
683,Trubbish,-37,-38,2,-25,-19,-26,4479
684,Garbodor,-7,7,22,-5,1,-16,864
685,Zorua,-47,-23,-20,15,-41,-26,5720
686,Zorua (Hisuian Zorua),-52,-28,-20,20,-41,-21,6410
687,Zoroark,-27,17,0,55,-21,14,4680
688,Zoroark (Hisuian Zoroark),-32,12,0,60,-21,19,5570
689,Minccino,-32,-38,-20,-25,-41,-16,5430
690,Cinccino,-12,7,0,0,-21,24,1210
691,Gothita,-42,-58,-10,-10,-16,-46,7700
692,Gothorita,-27,-43,10,10,4,-36,4090
693,Gothitelle,-17,-33,35,30,29,-26,5020
694,Solosis,-42,-58,-20,40,-31,-71,13130
695,Duosion,-22,-48,-10,60,-21,-61,10650
696,Reuniclus,23,-23,15,60,4,-61,8620
697,Ducklett,-25,-44,-10,-21,-31,-36,5359
698,Swanna,-12,-1,3,22,-18,7,1011
699,Vanillite,-51,-38,-10,0,-21,-47,6795
700,Vanillish,-36,-23,5,15,-6,-32,3135
701,Vanilluxe,-16,7,25,45,14,-12,3295
702,Deerling,-27,-28,-10,-25,-31,-16,3455
703,Sawsbuck,-7,12,10,-5,-11,4,455
704,Emolga,-32,-13,0,10,-21,12,1878
705,Karrablast,-37,-13,-15,-25,-36,-31,4645
706,Escavalier,-17,47,45,-5,24,-71,10165
707,Foongus,-18,-33,-15,-10,-26,-76,8190
708,Amoonguss,27,-3,10,20,-1,-61,4960
709,Frillish,-32,-48,-10,0,4,-51,6045
710,Jellicent,13,-28,10,20,24,-31,2990
711,Alomomola,78,-13,20,-25,-36,-26,9250
712,Joltik,-37,-41,-10,-8,-31,-26,4851
713,Galvantula,-17,-11,0,32,-21,17,2164
714,Ferroseed,-43,-38,31,-41,5,-81,12521
715,Ferrothorn,-13,6,71,-11,35,-71,11633
716,Klink,-47,-33,10,-20,-21,-61,7960
717,Klang,-27,-8,35,5,4,-41,3740
718,Klinklang,-27,12,55,5,4,-1,3940
719,Tynamo,-52,-33,-20,-20,-41,-31,7235
720,Eelektrik,-22,-3,10,10,-11,-51,3415
721,Eelektross,-2,27,20,40,-1,-41,4415
722,Elgyem,-32,-33,-5,20,-26,-61,6935
723,Beheeyem,-12,-13,15,60,14,-51,6935
724,Litwick,-37,-58,-5,0,-26,-71,10475
725,Lampent,-27,-48,0,30,-21,-36,5670
726,Chandelure,-27,-33,30,80,9,-11,9320
727,Axew,-41,-1,0,-35,-41,-34,5744
728,Fraxure,-21,29,10,-25,-31,-24,3544
729,Haxorus,-11,59,30,-5,-11,6,4684
730,Cubchoo,-32,-18,-20,-5,-41,-51,6055
731,Beartic,8,42,20,5,-1,-41,3935
732,Cryogonal,-7,-38,-10,30,54,14,5605
733,Shelmet,-37,-48,25,-25,-16,-66,9535
734,Accelgor,-7,-18,-20,35,-21,54,5355
735,Stunfisk,22,-22,24,16,18,-59,5605
736,Stunfisk (Galarian Stunfisk),22,-7,39,1,3,-59,5545
737,Mienfoo,-42,-3,-10,-10,-31,-26,3610
738,Mienshao,-22,37,0,30,-21,14,3390
739,Druddigon,-10,32,30,-5,9,-43,3979
740,Golett,-28,-14,-10,-30,-31,-56,6077
741,Golurk,2,36,20,-10,-1,-36,3097
742,Pawniard,-42,-3,10,-25,-41,-31,5140
743,Bisharp,-22,37,40,-5,-11,-21,4040
744,Bouffalant,8,22,35,-25,14,-36,3890
745,Rufflet,-17,-5,-10,-28,-31,-31,3120
746,Braviary,13,35,15,-8,-6,-11,1840
747,Braviary (Hisuian Braviary),23,-5,10,47,-11,-26,3660
748,Vullaby,-17,-33,15,-20,-16,-31,3220
749,Mandibuzz,23,-23,45,-10,14,-11,3500
750,Heatmor,-2,9,6,40,-15,-26,2622
751,Durant,-29,21,52,-17,-33,18,5688
752,Deino,-35,-23,-10,-20,-31,-53,6024
753,Zweilous,-15,-3,10,0,-11,-33,1544
754,Hydreigon,5,17,30,60,9,7,4944
755,Larvesta,-32,-3,-5,-15,-26,-31,2920
756,Volcarona,-2,-28,5,70,24,9,6370
757,Cobalion,4,2,69,25,-9,17,5776
758,Terrakion,4,41,30,7,9,17,3016
759,Virizion,4,2,12,25,48,17,3382
760,Tornadus (Incarnate Forme),-8,27,10,60,-1,20,4894
761,Tornadus (Therian Forme),-8,12,20,45,9,30,3614
762,Thundurus (Incarnate Forme),-8,27,10,60,-1,20,4894
763,Thundurus (Therian Forme),-8,17,10,80,-1,10,6954
764,Reshiram,13,32,40,85,39,-1,11540
765,Zekrom,13,62,60,55,19,-1,11000
766,Landorus (Incarnate Forme),2,37,30,50,-1,10,4874
767,Landorus (Therian Forme),2,57,30,40,-1,0,5754
768,Kyurem,38,42,30,65,9,4,8430
769,Kyurem (Black Kyurem),38,82,40,55,9,4,12890
770,Kyurem (White Kyurem),38,32,30,105,19,4,14770
771,Keldeo,4,-16,30,64,9,17,5638
772,Meloetta (Aria Forme),13,-11,17,63,47,-1,6758
773,Meloetta (Pirouette Forme),13,40,30,12,-4,37,4198
774,Genesect,-16,32,35,55,14,8,5790
775,Chespin,-31,-27,5,-17,-36,-53,6109
776,Quilladin,-26,-10,35,-9,-23,-34,3767
777,Chesnaught,1,19,62,9,-6,-27,5052
778,Fennekin,-47,-43,-20,-3,-21,-31,5869
779,Braixen,-28,-29,-2,25,-11,-18,2699
780,Delphox,-12,-19,12,49,19,13,3580
781,Froakie,-46,-32,-20,-3,-37,-20,5318
782,Frogadier,-33,-25,-8,18,-25,6,2763
783,Greninja,-15,7,7,38,-10,31,2828
784,Greninja (Ash-Greninja),-15,57,7,88,-10,41,13048
785,Bunnelby,-49,-52,-22,-33,-45,-34,9859
786,Diggersby,-2,-32,17,-15,-4,-13,1727
787,Fletchling,-42,-38,-17,-25,-43,-29,6812
788,Fletchinder,-25,-15,-5,-9,-29,-7,1846
789,Talonflame,-9,-7,11,9,-12,35,1701
790,Scatterbug,-49,-53,-20,-38,-56,-56,13326
791,Spewpa,-42,-66,0,-38,-51,-62,14009
792,Vivillon,-7,-36,-10,25,-31,-2,3035
793,Litleo,-25,-38,-2,8,-27,-19,3227
794,Pyroar,-1,-20,12,44,-15,15,2931
795,Flabébé,-43,-50,-21,-4,-2,-49,7211
796,Floette,-33,-43,-13,10,17,-39,5017
797,Florges,-9,-23,8,47,73,-16,8468
798,Skiddo,-21,-23,-12,-3,-24,-39,3220
799,Gogoat,36,12,2,32,0,-23,2997
800,Pancham,-20,-6,2,-19,-33,-48,4194
801,Pangoro,8,36,18,4,-10,-33,2889
802,Furfrou,-12,-8,0,0,9,11,410
803,Espurr,-25,-40,-6,-2,-21,-23,3235
804,Meowstic,-13,-40,16,18,0,13,2518
805,Honedge,-42,-8,40,-30,-44,-63,10233
806,Doublade,-28,22,90,-20,-32,-56,13928
807,Aegislash (Shield Forme),-27,-38,80,-15,59,-31,13240
808,Aegislash (Blade Forme),-27,52,-10,75,-31,-31,11080
809,Spritzee,-9,-36,0,-2,-16,-68,6261
810,Aromatisse,14,-16,12,34,8,-62,5660
811,Swirlix,-25,-40,6,-6,-24,-42,4637
812,Slurpuff,-5,-8,26,20,-6,-19,1562
813,Inkay,-34,-34,-7,-28,-35,-46,6486
814,Malamar,-1,4,28,3,-6,-18,1170
815,Binacle,-45,-36,7,-26,-25,-41,6352
816,Barbaracle,-15,17,55,-11,5,-23,4214
817,Skrelp,-37,-28,0,-5,-21,-61,6340
818,Dragalge,-22,-13,30,32,42,-47,6550
819,Clauncher,-37,-35,2,-7,-18,-47,5180
820,Clawitzer,-16,-15,28,55,8,-32,5378
821,Helioptile,-43,-50,-27,-4,-38,-21,6979
822,Heliolisk,-25,-33,-8,44,13,18,4207
823,Tyrunt,-29,1,17,-20,-36,-43,4676
824,Tyrantrum,-5,33,59,4,-22,-20,5495
825,Amaura,-10,-29,-10,2,-18,-45,3394
826,Aurorus,36,-11,12,34,11,-33,3927
827,Sylveon,8,-23,5,45,49,-31,6005
828,Hawlucha,-9,4,15,9,-18,27,1456
829,Dedenne,-20,-30,-3,16,-14,10,1861
830,Carbink,-37,-38,90,-15,69,-41,17580
831,Goomy,-42,-38,-25,-10,-6,-51,6570
832,Sliggoo,-19,-13,-7,18,32,-31,2888
833,Sliggoo (Hisuian Sliggoo),-29,-13,23,18,32,-51,5488
834,Goodra,3,12,10,45,69,-11,7160
835,Goodra (Hisuian Goodra),-7,12,40,45,69,-31,9540
836,Klefki,-30,-8,31,15,6,-16,2442
837,Phantump,-44,-18,-12,-15,-21,-53,5879
838,Trevenant,-2,22,16,0,1,-35,1970
839,Pumpkaboo (Small Size),-43,-22,10,-21,-26,-35,4775
840,Pumpkaboo (Average Size),-38,-22,10,-21,-26,-40,4745
841,Pumpkaboo (Large Size),-33,-22,10,-21,-26,-45,4815
842,Pumpkaboo (Super Size),-28,-22,10,-21,-26,-50,4985
843,Gourgeist (Small Size),-32,-3,62,-7,-6,8,5026
844,Gourgeist (Average Size),-22,2,62,-7,-6,-7,4466
845,Gourgeist (Large Size),-12,7,62,-7,-6,-22,4606
846,Gourgeist (Super Size),-2,12,62,-7,-6,-37,5446
847,Bergmite,-32,-19,25,-33,-46,-63,9184
848,Avalugg,8,29,124,-21,-35,-63,21916
849,Avalugg (Hisuian Avalugg),8,39,124,-31,-45,-53,22756
850,Noibat,-47,-58,-25,-20,-41,-36,9575
851,Noivern,-2,-18,20,32,-1,32,2777
852,Xerneas,39,43,35,66,17,8,9304
853,Yveltal,39,43,35,66,17,8,9304
854,Zygarde (50% Forme),21,12,61,16,14,4,4774
855,Zygarde (10% Forme),-33,12,11,-4,4,24,1962
856,Zygarde (Complete Forme),129,12,61,26,14,-6,21414
857,Diancie,-37,12,90,35,69,-41,17280
858,Diancie (Mega Diancie),-37,72,50,95,29,19,19280
859,Hoopa (Hoopa Confined),-7,22,0,85,49,-21,10600
860,Hoopa (Hoopa Unbound),-7,72,0,105,49,-11,18780
861,Volcanion,-7,22,60,65,9,-21,8880
862,Rowlet,-19,-33,-5,-15,-31,-49,5062
863,Dartrix,-9,-13,15,5,-11,-39,2142
864,Decidueye,-9,19,15,35,19,-21,2694
865,Decidueye (Hisuian Decidueye),1,24,20,30,14,-31,3034
866,Litten,-42,-23,-20,-5,-41,-21,4840
867,Torracat,-22,-3,-10,15,-31,-1,1780
868,Incineroar,8,27,30,15,9,-31,2960
869,Popplio,-37,-34,-6,1,-25,-51,5788
870,Brionne,-27,-19,9,26,0,-41,3528
871,Primarina,-7,-14,14,61,35,-31,6348
872,Pikipek,-52,-13,-30,-35,-51,-26,8275
873,Trumbeak,-32,-3,-10,-25,-31,-16,2975
874,Toucannon,-7,32,15,10,-6,-31,2395
875,Yungoos,-39,-18,-30,-35,-51,-46,8687
876,Gumshoos,1,22,0,-10,-21,-46,3142
877,Grubbin,-40,-26,-15,-10,-36,-45,5922
878,Charjabug,-30,-6,35,-10,-6,-55,5322
879,Vikavolt,-10,-18,30,80,-6,-48,10064
880,Crabrawler,-40,-6,-3,-23,-34,-28,4114
881,Crabominable,10,44,17,-3,-14,-48,4834
882,Oricorio,-12,-18,10,33,-11,2,1782
883,Cutiefly,-47,-43,-20,-10,-41,-7,6288
884,Ribombee,-27,-33,0,30,-11,33,3928
885,Rockruff,-42,-23,-20,-35,-41,-31,6560
886,Lycanroc (Midday Form),-12,27,5,-10,-16,21,1695
887,Lycanroc (Midnight Form),-2,27,15,-10,-6,-9,1175
888,Lycanroc (Dusk Form),-12,29,5,-10,-16,19,1727
889,Wishiwashi (Solo Form),-42,-68,-40,-40,-56,-51,15325
890,Wishiwashi (School Form),-42,52,70,75,54,-61,21630
891,Mareanie,-37,-35,2,-22,-29,-46,6039
892,Toxapex,-37,-25,92,-12,61,-56,17459
893,Mudbray,-17,12,10,-20,-26,-46,3725
894,Mudsdale,13,37,40,-10,4,-56,6390
895,Dewpider,-49,-48,-8,-25,-9,-64,9571
896,Araquanid,-19,-18,32,-15,51,-49,6936
897,Fomantis,-47,-33,-25,-15,-46,-56,9400
898,Lurantis,-17,17,30,15,9,-46,3900
899,Morelull,-47,-53,-5,0,-6,-76,10855
900,Shiinotic,-27,-43,20,25,19,-61,7685
901,Salandit,-39,-44,-20,6,-41,-14,5770
902,Salazzle,-19,-24,0,46,-21,26,4170
903,Stufful,-17,-13,-10,-20,-31,-41,3600
904,Bewear,33,37,20,-10,-21,-31,4360
905,Bounsweet,-45,-58,-22,-35,-43,-59,12428
906,Steenee,-35,-48,-12,-25,-33,-29,6228
907,Tsareena,-15,32,38,-15,17,-19,3568
908,Comfey,-36,-36,30,17,29,9,4703
909,Oranguru,3,-28,20,25,29,-31,3620
910,Passimian,13,32,30,-25,-21,-11,3280
911,Wimpod,-62,-53,-20,-45,-51,-11,11800
912,Golisopod,-12,37,80,-5,9,-51,10620
913,Sandygast,-32,-33,20,5,-36,-76,9610
914,Palossand,-2,-13,50,35,-6,-56,7070
915,Pyukumuku,-32,-28,70,-35,49,-86,17730
916,Type: Null,8,7,35,30,14,-32,3458
917,Silvally,8,7,35,30,14,4,2450
918,Minior (Meteor Form),-27,-28,40,-5,19,-31,4460
919,Minior (Core),-27,12,0,35,-21,29,3380
920,Komala,-22,27,5,10,14,-26,2210
921,Turtonator,-27,-10,75,26,4,-55,10171
922,Togedemaru,-22,10,3,-25,-8,5,1307
923,Mimikyu,-32,2,20,-15,24,5,2254
924,Bruxish,-19,17,10,5,-11,1,897
925,Drampa,-9,-28,25,70,10,-55,9515
926,Dhelmise,-17,43,40,21,9,-51,6861
927,Jangmo-o,-42,-33,5,-20,-36,-46,6690
928,Hakamo-o,-32,-13,30,0,-11,-26,2890
929,Kommo-o,-12,22,65,35,24,-6,6690
930,Tapu Koko,-17,27,25,30,-6,39,4100
931,Tapu Lele,-17,-3,15,65,34,4,5920
932,Tapu Bulu,-17,42,55,20,14,-16,5930
933,Tapu Fini,-17,-13,55,30,49,-6,6820
934,Cosmog,-44,-59,-29,-36,-50,-54,12970
935,Cosmoem,-44,-59,71,-36,50,-54,17170
936,Solgaleo,50,49,47,48,8,6,9514
937,Lunala,50,25,29,72,26,6,9862
938,Nihilego,22,-35,-13,62,50,12,8366
939,Buzzwole,20,51,79,-12,-28,-12,10314
940,Pheromosa,-16,49,-23,72,-44,60,13906
941,Xurkitree,-4,1,11,108,-10,-8,11966
942,Celesteela,10,13,43,42,20,-30,5182
943,Kartana,-28,93,71,-6,-50,18,17334
944,Guzzlord,136,13,-7,32,-28,-48,22826
945,Necrozma,10,19,41,62,8,-12,6194
946,Necrozma (Dusk Mane Necrozma),10,69,67,48,28,-14,12634
947,Necrozma (Dawn Wings Necrozma),10,25,49,92,46,-14,13902
948,Necrozma (Ultra Necrozma),10,79,37,102,16,38,19814
949,Magearna,-7,7,55,65,34,-26,9180
950,Marshadow,3,37,20,25,9,34,3640
951,Poipole,-20,-15,7,8,-14,-18,1258
952,Naganadel,-14,-15,13,62,-8,30,5398
953,Stakataka,-26,43,151,-12,20,-78,31954
954,Blacephalon,-34,39,-7,86,-2,16,10382
955,Zeraora,1,24,15,37,-1,52,4876
956,Meltan,-41,-23,5,-10,-46,-57,7700
957,Melmetal,48,55,83,15,-16,-57,15948
958,Grookey,-37,-23,-10,-25,-41,-26,4980
959,Thwackey,-17,-3,10,-10,-21,-11,1060
960,Rillaboom,13,37,30,-5,-11,-6,2620
961,Scorbunny,-37,-17,-20,-25,-41,-22,4848
962,Raboot,-22,-2,0,-10,-21,3,1038
963,Cinderace,-7,28,15,0,-6,28,1878
964,Sobble,-37,-48,-20,5,-41,-21,6220
965,Drizzile,-22,-28,-5,30,-26,-1,2870
966,Inteleon,-17,-3,5,60,-16,29,5020
967,Skwovet,-17,-33,-5,-30,-46,-66,8775
968,Greedent,33,7,35,-10,-6,-71,7540
969,Rookidee,-49,-41,-25,-32,-46,-34,9003
970,Corvisquire,-19,-21,-5,-22,-26,-14,2183
971,Corviknight,11,-1,45,-12,4,-24,2883
972,Blipbug,-62,-68,-40,-40,-36,-46,15080
973,Dottler,-37,-53,20,-15,9,-61,8605
974,Orbeetle,-27,-43,50,15,39,-1,6825
975,Nickit,-47,-60,-32,-18,-29,-41,9679
976,Thievul,-17,-30,-2,22,11,-1,1799
977,Gossifleur,-47,-48,0,-25,-21,-81,12140
978,Eldegoss,-27,-38,30,15,39,-31,5780
979,Wooloo,-45,-48,-5,-25,-36,-43,8124
980,Dubwool,-15,-8,40,-5,9,-3,2004
981,Chewtle,-37,-24,-10,-27,-43,-47,6832
982,Drednaw,3,27,30,-17,-13,-17,2385
983,Yamper,-28,-43,-10,-25,-31,-65,8544
984,Boltund,-18,2,0,25,-21,30,2294
985,Rolycoly,-57,-48,-10,-25,-31,-61,10960
986,Carkol,-7,-28,30,-5,-11,-41,3560
987,Coalossal,23,-8,60,15,9,-61,8220
988,Applin,-47,-48,20,-25,-41,-71,12260
989,Flapple,-17,22,20,30,-21,-21,2955
990,Appletun,23,-3,20,35,-1,-61,5885
991,Silicobra,-35,-31,15,-30,-31,-45,6297
992,Sandaconda,-15,19,65,0,-11,-20,5332
993,Cramorant,-17,-3,-5,20,14,-6,955
994,Arrokuda,-46,-25,-20,-25,-51,-25,6992
995,Barraskewda,-26,35,0,-5,-31,45,4912
996,Toxel,-47,-50,-25,-11,-46,-51,10172
997,Toxtricity,-12,10,10,49,-11,-16,3122
