Matthew Rusten vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
496,Luxray,5,28,19,32,8,-30,3158
497,Budew,-35,-62,-25,-13,-1,-45,7889
498,Roserade,-15,-22,5,62,34,-10,5834
499,Cranidos,-8,33,-20,-33,-41,-42,6087
500,Rampardos,22,73,0,2,-21,-42,8022
501,Shieldon,-45,-50,58,-21,17,-70,13519
502,Bastiodon,-15,-40,108,-16,67,-70,23134
503,Burmy,-35,-63,-15,-34,-26,-64,11347
504,Wormadam (Plant Cloak),-15,-33,25,16,34,-64,7447
505,Wormadam (Sandy Cloak),-15,-13,45,-4,14,-64,6727
506,Wormadam (Trash Cloak),-15,-23,35,6,24,-64,6687
507,Mothim,-5,2,-10,31,-21,-34,2687
508,Combee,-45,-62,-18,-33,-29,-30,9023
509,Vespiquen,-5,-12,42,17,31,-60,6783
510,Pachirisu,-15,-47,10,-18,19,-5,3244
511,Buizel,-20,-27,-25,-3,-41,-15,3669
512,Floatzel,10,13,-5,22,-21,15,1444
513,Cherubi,-30,-57,-15,-1,-18,-65,8924
514,Cherrim,-5,-32,10,24,7,-15,1999
515,Shellos,1,-44,-12,-6,-9,-66,6554
516,Gastrodon,36,-9,8,29,11,-61,6124
517,Ambipom,0,8,6,-3,-5,15,359
518,Drifloon,15,-42,-26,-3,-27,-30,4303
519,Drifblim,75,-12,-16,27,-17,-20,7443
520,Buneary,-20,-26,-16,-19,-15,-15,2143
521,Lopunny,-10,-16,24,-9,25,5,1663
522,Lopunny (Mega Lopunny),-10,44,34,-9,25,35,5123
523,Mismagius,-15,-32,0,42,34,5,4194
524,Honchkrow,25,33,-8,42,-19,-29,4744
525,Glameow,-26,-37,-18,-21,-34,-15,4191
526,Purugly,-4,-10,4,1,-12,12,421
527,Chingling,-30,-62,-10,2,-21,-55,8314
528,Stunky,-12,-29,-13,-22,-30,-26,3214
529,Skuntank,28,1,7,8,-10,-16,1254
530,Bronzor,-18,-68,26,-39,15,-77,13299
531,Bronzong,-8,-3,56,16,45,-67,9979
532,Bonsly,-25,-12,35,-53,-26,-90,13579
533,Mime Jr.,-55,-67,-15,7,19,-40,9749
534,Happiny,25,-87,-55,-48,-6,-70,18459
535,Chatot,1,-27,-15,29,-29,-9,2718
536,Spiritomb,-25,0,48,29,37,-65,9364
537,Gible,-17,-22,-15,-23,-26,-58,5567
538,Gabite,-7,-2,5,-13,-16,-18,827
539,Garchomp,33,38,35,17,14,2,4247
540,Garchomp (Mega Garchomp),33,78,55,57,24,-8,14087
541,Munchlax,60,-7,-20,-23,14,-95,13799
542,Riolu,-35,-22,-20,-28,-31,-40,5454
543,Lucario,-5,18,10,52,-1,-10,3254
544,Lucario (Mega Lucario),-5,53,28,77,-1,12,9692
545,Hippopotas,-7,-20,18,-25,-29,-68,6863
546,Hippowdon,33,20,58,5,1,-53,7688
547,Skorupi,-35,-42,30,-33,-16,-35,6459
548,Drapion,-5,-2,50,-3,4,-5,2579
549,Croagunk,-27,-31,-20,-2,-31,-50,5555
550,Toxicroak,8,14,5,23,-6,-15,1075
551,Carnivine,-1,8,12,27,1,-54,3855
552,Finneon,-26,-43,-4,-14,-10,-34,3993
553,Lumineon,-6,-23,16,6,15,-9,1163
554,Mantyke,-30,-72,-10,-3,49,-50,11094
555,Snover,-15,-30,-10,-1,-11,-60,4947
556,Abomasnow,15,0,15,29,14,-40,3087
557,Abomasnow (Mega Abomasnow),15,40,45,69,34,-70,14667
558,Weavile,-5,28,5,-18,14,25,1979
559,Magnezone,-5,-22,55,67,19,-40,9984
560,Lickilicky,35,-7,35,17,24,-50,5864
561,Rhyperior,40,48,70,-8,-16,-60,12724
562,Tangrowth,25,8,65,47,-21,-50,10064
563,Electivire,0,31,7,32,14,-5,2255
564,Magmortar,0,3,7,62,24,-17,4767
565,Togekiss,10,-42,35,57,44,-20,8674
566,Yanmega,11,-16,26,53,-15,-5,4112
567,Leafeon,-10,18,70,-3,-6,-5,5394
568,Glaceon,-10,-32,50,67,24,-35,9914
569,Gliscor,0,3,65,-18,4,-5,4599
570,Mamoswine,35,38,20,7,-11,-20,3639
571,Porygon-Z,10,-12,10,72,4,-10,5644
572,Gallade,-7,33,5,2,44,-20,3503
573,Gallade (Mega Gallade),-7,73,35,2,44,10,8643
574,Probopass,-15,-37,85,12,79,-60,18804
575,Dusknoir,-30,8,75,2,64,-55,13714
576,Froslass,-5,-12,10,17,-1,10,659
577,Rotom,-25,-42,17,32,6,-9,3819
578,Rotom (Heat Rotom),-25,-27,47,42,36,-14,6819
579,Rotom (Wash Rotom),-25,-27,47,42,36,-14,6819
580,Rotom (Frost Rotom),-25,-27,47,42,36,-14,6819
581,Rotom (Fan Rotom),-25,-27,47,42,36,-14,6819
582,Rotom (Mow Rotom),-25,-27,47,42,36,-14,6819
583,Uxie,0,-17,70,12,59,-5,8839
584,Mesprit,5,13,45,42,34,-20,5539
585,Azelf,0,33,10,62,-1,15,5259
586,Dialga,25,28,60,87,29,-10,13519
587,Dialga (Origin Forme),25,8,60,87,49,-10,14359
588,Palkia,15,28,40,87,49,0,12579
589,Palkia (Origin Forme),15,8,40,87,49,20,12259
590,Heatran,16,-2,46,67,35,-23,8619
591,Regigigas,35,68,50,17,39,0,10159
592,Giratina (Altered Forme),75,8,60,37,49,-10,13159
593,Giratina (Origin Forme),75,28,40,57,29,-10,12199
594,Cresselia,45,-22,60,12,59,-15,9959
595,Phione,5,-12,20,17,9,-20,1339
596,Manaphy,25,8,40,37,29,0,4499
597,Darkrai,-5,-2,30,72,19,25,7099
598,Shaymin (Land Forme),25,8,40,37,29,0,4499
599,Shaymin (Sky Forme),25,11,15,57,4,27,4965
600,Arceus,45,28,60,57,49,20,12459
601,Victini,25,8,40,37,29,0,4499
602,Snivy,-30,-47,-5,-18,-16,-37,5083
603,Servine,-15,-32,15,-3,4,-17,1788
604,Serperior,0,-17,35,12,24,13,2403
605,Tepig,-10,-29,-15,-18,-26,-55,5191
606,Pignite,15,1,-5,7,-16,-45,2581
607,Emboar,35,31,5,37,-6,-35,4841
608,Oshawott,-20,-37,-15,0,-26,-55,5695
609,Dewott,0,-17,0,20,-11,-40,2410
610,Samurott,20,8,25,45,-1,-30,4015
611,Samurott (Hisuian Samurott),15,16,20,37,-6,-15,2511
612,Patrat,-30,-37,-21,-28,-32,-58,7882
613,Watchog,-15,-7,9,-3,-2,-23,897
614,Lillipup,-30,-32,-15,-38,-26,-45,6294
615,Herdier,-10,-12,5,-28,-6,-40,2689
616,Stoutland,10,18,30,-18,19,-20,2409
617,Purrloin,-34,-42,-23,-13,-34,-34,5930
618,Liepard,-11,-4,-10,25,-21,6,1339
619,Pansage,-25,-39,-12,-10,-23,-36,4215
620,Simisage,0,6,3,35,-8,1,1335
621,Pansear,-25,-39,-12,-10,-23,-36,4215
622,Simisear,0,6,3,35,-8,1,1335
623,Panpour,-25,-39,-12,-10,-23,-36,4215
624,Simipour,0,6,3,35,-8,1,1335
625,Munna,1,-67,-15,4,-16,-76,10763
626,Musharna,41,-37,25,44,24,-71,11228
627,Pidove,-25,-37,-10,-27,-41,-57,7753
628,Tranquill,-13,-15,2,-13,-29,-35,2633
629,Unfezant,5,23,20,2,-16,-7,1263
630,Blitzle,-30,-32,-28,-13,-39,-24,4974
631,Zebstrika,0,8,3,17,-8,16,682
632,Roggenrola,-20,-17,25,-38,-46,-85,12099
633,Boldore,-5,13,45,-13,-31,-80,9749
634,Gigalith,10,43,70,-3,9,-75,12564
635,Woobat,-10,-47,-17,-8,-28,-28,4230
636,Swoobat,-8,-35,-5,14,-16,14,1962
637,Drilbur,-15,-7,-20,-33,-26,-32,3463
638,Excadrill,35,43,0,-13,-6,-12,3423
639,Audino,28,-32,26,-3,15,-50,5218
640,Audino (Mega Audino),28,-32,66,17,55,-50,11978
641,Timburr,0,-12,-5,-38,-36,-65,7134
642,Gurdurr,10,13,25,-23,-21,-60,5464
643,Conkeldurr,30,48,35,-8,-6,-55,7554
644,Tympole,-25,-42,-20,-13,-31,-36,5215
645,Palpitoad,0,-27,-5,2,-16,-31,1975
646,Seismitoad,30,3,15,22,4,-26,2310
647,Throh,45,8,25,-33,14,-55,7024
648,Sawk,0,33,15,-33,4,-15,2644
649,Sewaddle,-30,-39,10,-23,-11,-58,6535
650,Swadloon,-20,-29,30,-13,9,-58,5755
651,Leavanny,0,11,20,7,9,-8,715
652,Venipede,-45,-47,-1,-33,-32,-43,8197
653,Whirlipede,-35,-37,39,-23,8,-53,7517
654,Scolipede,-15,8,29,-8,-2,12,1342
655,Cottonee,-35,-65,0,-26,-21,-34,7723
656,Whimsicott,-15,-25,25,14,4,16,1943
657,Petilil,-30,-57,-10,7,-21,-70,9639
658,Lilligant,-5,-32,15,47,4,-10,3599
659,Lilligant (Hisuian Lilligant),-5,13,15,-13,4,5,629
660,Basculin,-5,0,5,17,-16,-2,599
661,Sandile,-25,-20,-25,-28,-36,-35,4955
662,Krokorok,-15,-10,-15,-18,-26,-26,2226
663,Krookodile,20,25,20,2,-1,-8,1494
664,Darumaka,-5,-2,-15,-48,-26,-50,5734
665,Darumaka (Galarian Darumaka),-5,-2,-15,-48,-26,-50,5734
666,Darmanitan (Standard Mode),30,48,-5,-33,-16,-5,4599
667,Darmanitan (Zen Mode),30,-62,45,77,34,-45,15879
668,Darmanitan (Galarian Standard Mode),30,48,-5,-33,-16,-5,4599
669,Darmanitan (Galarian Zen Mode),30,68,-5,-33,-16,35,8119
670,Maractus,0,-6,7,43,-4,-40,3550
671,Dwebble,-25,-27,25,-28,-36,-45,6084
672,Crustle,-5,13,65,2,4,-55,7464
673,Scraggy,-25,-17,10,-28,-1,-52,4503
674,Scrafty,-10,-2,55,-18,44,-42,7153
675,Sigilyph,-3,-34,20,40,9,-3,3255
676,Yamask,-37,-62,25,-8,-6,-70,10838
677,Yamask (Galarian Yamask),-37,-37,25,-33,-6,-70,9388
678,Cofagrigus,-17,-42,85,32,34,-70,16358
679,Tirtouga,-21,-14,43,-10,-26,-78,9346
680,Carracosta,-1,16,73,20,-6,-68,10646
681,Archen,-20,20,-15,11,-26,-30,2722
682,Archeops,0,48,5,49,-6,10,4866
683,Trubbish,-25,-42,2,-23,-9,-35,4228
684,Garbodor,5,3,22,-3,11,-25,1273
685,Zorua,-35,-27,-20,17,-31,-35,4829
686,Zorua (Hisuian Zorua),-40,-32,-20,22,-31,-30,5369
687,Zoroark,-15,13,0,57,-11,5,3789
688,Zoroark (Hisuian Zoroark),-20,8,0,62,-11,10,4529
689,Minccino,-20,-42,-20,-23,-31,-25,4679
690,Cinccino,0,3,0,2,-11,15,359
691,Gothita,-30,-62,-10,-8,-6,-55,7969
692,Gothorita,-15,-47,10,12,14,-45,4899
693,Gothitelle,-5,-37,35,32,39,-35,6389
694,Solosis,-30,-62,-20,42,-21,-80,13749
695,Duosion,-10,-52,-10,62,-11,-70,11769
696,Reuniclus,35,-27,15,62,14,-70,11119
697,Ducklett,-13,-48,-10,-19,-21,-45,5400
698,Swanna,0,-5,3,24,-8,-2,678
699,Vanillite,-39,-42,-10,2,-11,-56,6646
700,Vanillish,-24,-27,5,17,4,-41,3316
701,Vanilluxe,-4,3,25,47,24,-21,3876
702,Deerling,-15,-32,-10,-23,-21,-25,2944
703,Sawsbuck,5,8,10,-3,-1,-5,224
704,Emolga,-20,-17,0,12,-11,3,963
705,Karrablast,-25,-17,-15,-23,-26,-40,3944
706,Escavalier,-5,43,45,-3,34,-80,11464
707,Foongus,-6,-37,-15,-8,-16,-85,9175
708,Amoonguss,39,-7,10,22,9,-70,7135
709,Frillish,-20,-52,-10,2,14,-60,7004
710,Jellicent,25,-32,10,22,34,-40,4989
711,Alomomola,90,-17,20,-23,-26,-35,11219
712,Joltik,-25,-45,-10,-6,-21,-35,4452
713,Galvantula,-5,-15,0,34,-11,8,1591
714,Ferroseed,-31,-42,31,-39,15,-90,13532
715,Ferrothorn,-1,2,71,-9,45,-80,13552
716,Klink,-35,-37,10,-18,-11,-70,8039
717,Klang,-15,-12,35,7,14,-50,4339
718,Klinklang,-15,8,55,7,14,-10,3659
719,Tynamo,-40,-37,-20,-18,-31,-40,6254
720,Eelektrik,-10,-7,10,12,-1,-60,3994
721,Eelektross,10,23,20,42,9,-50,5374
722,Elgyem,-20,-37,-5,22,-16,-70,7434
723,Beheeyem,0,-17,15,62,24,-60,8534
724,Litwick,-25,-62,-5,2,-16,-80,11154
725,Lampent,-15,-52,0,32,-11,-45,6099
726,Chandelure,-15,-37,30,82,19,-20,9979
727,Axew,-29,-5,0,-33,-31,-43,4765
728,Fraxure,-9,25,10,-23,-21,-33,2865
729,Haxorus,1,55,30,-3,-1,-3,3945
730,Cubchoo,-20,-22,-20,-3,-31,-60,5854
731,Beartic,20,38,20,7,9,-50,4874
732,Cryogonal,5,-42,-10,32,64,5,7034
733,Shelmet,-25,-52,25,-23,-6,-75,10144
734,Accelgor,5,-22,-20,37,-11,45,4424
735,Stunfisk,34,-26,24,18,28,-68,8140
736,Stunfisk (Galarian Stunfisk),34,-11,39,3,13,-68,7600
737,Mienfoo,-30,-7,-10,-8,-21,-35,2779
738,Mienshao,-10,33,0,32,-11,5,2359
739,Druddigon,2,28,30,-3,19,-52,4762
740,Golett,-16,-18,-10,-28,-21,-65,6130
741,Golurk,14,32,20,-8,9,-45,3790
742,Pawniard,-30,-7,10,-23,-31,-40,4139
743,Bisharp,-10,33,40,-3,-1,-30,3699
744,Bouffalant,20,18,35,-23,24,-45,5079
745,Rufflet,-5,-9,-10,-26,-21,-40,2923
746,Braviary,25,31,15,-6,4,-20,2263
747,Braviary (Hisuian Braviary),35,-9,10,49,-1,-35,5033
748,Vullaby,-5,-37,15,-18,-6,-40,3579
749,Mandibuzz,35,-27,45,-8,24,-20,5019
750,Heatmor,10,5,6,42,-5,-35,3175
751,Durant,-17,17,52,-15,-23,9,4117
752,Deino,-23,-27,-10,-18,-21,-62,5967
753,Zweilous,-3,-7,10,2,-1,-42,1927
754,Hydreigon,17,13,30,62,19,-2,5567
755,Larvesta,-20,-7,-5,-13,-16,-40,2499
756,Volcarona,10,-32,5,72,34,0,7489
757,Cobalion,16,-2,69,27,1,8,5815
758,Terrakion,16,37,30,9,19,8,3031
759,Virizion,16,-2,12,27,58,8,4561
760,Tornadus (Incarnate Forme),4,23,10,62,9,11,4691
761,Tornadus (Therian Forme),4,8,20,47,19,21,3491
762,Thundurus (Incarnate Forme),4,23,10,62,9,11,4691
763,Thundurus (Therian Forme),4,13,10,82,9,1,7091
764,Reshiram,25,28,40,87,49,-10,13079
765,Zekrom,25,58,60,57,29,-10,11779
766,Landorus (Incarnate Forme),14,33,30,52,9,1,4971
767,Landorus (Therian Forme),14,53,30,42,9,-9,5831
768,Kyurem,50,38,30,67,19,-5,9719
769,Kyurem (Black Kyurem),50,78,40,57,19,-5,13819
770,Kyurem (White Kyurem),50,28,30,107,29,-5,16499
771,Keldeo,16,-20,30,66,19,8,6337
772,Meloetta (Aria Forme),25,-15,17,65,57,-10,8713
773,Meloetta (Pirouette Forme),25,36,30,14,6,28,3837
774,Genesect,-4,28,35,57,24,-1,5851
775,Chespin,-19,-31,5,-15,-26,-62,6092
776,Quilladin,-14,-14,35,-7,-13,-43,3684
777,Chesnaught,13,15,62,11,4,-36,5671
778,Fennekin,-35,-47,-20,-1,-11,-40,5556
779,Braixen,-16,-33,-2,27,-1,-27,2808
780,Delphox,0,-23,12,51,29,4,4131
781,Froakie,-34,-36,-20,-1,-27,-29,4423
782,Frogadier,-21,-29,-8,20,-15,-3,1980
783,Greninja,-3,3,7,40,0,22,2151
784,Greninja (Ash-Greninja),-3,53,7,90,0,32,11991
785,Bunnelby,-37,-56,-22,-31,-35,-43,9024
786,Diggersby,10,-36,17,-13,6,-22,2374
787,Fletchling,-30,-42,-17,-23,-33,-38,6015
788,Fletchinder,-13,-19,-5,-7,-19,-16,1221
789,Talonflame,3,-11,11,11,-2,26,1052
790,Scatterbug,-37,-57,-20,-36,-46,-65,12655
791,Spewpa,-30,-70,0,-36,-41,-71,13818
792,Vivillon,5,-40,-10,27,-21,-11,3016
793,Litleo,-13,-42,-2,10,-17,-28,3110
794,Pyroar,11,-24,12,46,-5,6,3018
795,Flabébé,-31,-54,-21,-2,8,-58,7750
796,Floette,-21,-47,-13,12,27,-48,5996
797,Florges,3,-27,8,49,83,-25,10717
798,Skiddo,-9,-27,-12,-1,-14,-48,3455
799,Gogoat,48,8,2,34,10,-32,4652
800,Pancham,-8,-10,2,-17,-23,-57,4235
801,Pangoro,20,32,18,6,0,-42,3548
802,Furfrou,0,-12,0,2,19,2,513
803,Espurr,-13,-44,-6,0,-11,-32,3286
804,Meowstic,-1,-44,16,20,10,4,2709
805,Honedge,-30,-12,40,-28,-34,-72,9768
806,Doublade,-16,18,90,-18,-22,-65,13713
807,Aegislash (Shield Forme),-15,-42,80,-13,69,-40,14919
808,Aegislash (Blade Forme),-15,48,-10,77,-21,-40,10599
809,Spritzee,3,-40,0,0,-6,-77,7574
810,Aromatisse,26,-20,12,36,18,-71,7881
811,Swirlix,-13,-44,6,-4,-14,-51,4954
812,Slurpuff,7,-12,26,22,4,-28,2153
813,Inkay,-22,-38,-7,-26,-25,-55,6303
814,Malamar,11,0,28,5,4,-27,1675
815,Binacle,-33,-40,7,-24,-15,-50,6039
816,Barbaracle,-3,13,55,-9,15,-32,4533
817,Skrelp,-25,-32,0,-3,-11,-70,6679
818,Dragalge,-10,-17,30,34,52,-56,8285
819,Clauncher,-25,-39,2,-5,-8,-56,5375
820,Clawitzer,-4,-19,28,57,18,-41,6415
821,Helioptile,-31,-54,-27,-2,-28,-30,6294
822,Heliolisk,-13,-37,-8,46,23,9,4328
823,Tyrunt,-17,-3,17,-18,-26,-52,4291
824,Tyrantrum,7,29,59,6,-12,-29,5392
825,Amaura,2,-33,-10,4,-8,-54,4189
826,Aurorus,48,-15,12,36,21,-42,6174
827,Sylveon,20,-27,5,47,59,-40,8444
828,Hawlucha,3,0,15,11,-8,18,743
829,Dedenne,-8,-34,-3,18,-4,1,1570
830,Carbink,-25,-42,90,-13,79,-50,19399
831,Goomy,-30,-42,-25,-8,4,-60,6969
832,Sliggoo,-7,-17,-7,20,42,-40,4151
833,Sliggoo (Hisuian Sliggoo),-17,-17,23,20,42,-60,6871
834,Goodra,15,8,10,47,79,-20,9239
835,Goodra (Hisuian Goodra),5,8,40,47,79,-40,11739
836,Klefki,-18,-12,31,17,16,-25,2599
837,Phantump,-32,-22,-12,-13,-11,-62,5786
838,Trevenant,10,18,16,2,11,-44,2741
839,Pumpkaboo (Small Size),-31,-26,10,-19,-16,-44,4290
840,Pumpkaboo (Average Size),-26,-26,10,-19,-16,-49,4470
841,Pumpkaboo (Large Size),-21,-26,10,-19,-16,-54,4750
842,Pumpkaboo (Super Size),-16,-26,10,-19,-16,-59,5130
843,Gourgeist (Small Size),-20,-7,62,-5,4,-1,4335
844,Gourgeist (Average Size),-10,-2,62,-5,4,-16,4245
845,Gourgeist (Large Size),0,3,62,-5,4,-31,4855
846,Gourgeist (Super Size),10,8,62,-5,4,-46,6165
847,Bergmite,-20,-23,25,-31,-36,-72,8995
848,Avalugg,20,25,124,-19,-25,-72,22571
849,Avalugg (Hisuian Avalugg),20,35,124,-29,-35,-62,22911
850,Noibat,-35,-62,-25,-18,-31,-45,9004
851,Noivern,10,-22,20,34,9,23,2750
852,Xerneas,51,39,35,68,27,-1,10701
853,Yveltal,51,39,35,68,27,-1,10701
854,Zygarde (50% Forme),33,8,61,18,24,-5,5799
855,Zygarde (10% Forme),-21,8,11,-2,14,15,1051
856,Zygarde (Complete Forme),141,8,61,28,24,-15,25251
857,Diancie,-25,8,90,37,79,-50,18899
858,Diancie (Mega Diancie),-25,68,50,97,39,10,18779
859,Hoopa (Hoopa Confined),5,18,0,87,59,-30,12299
860,Hoopa (Hoopa Unbound),5,68,0,107,59,-20,19979
861,Volcanion,5,18,60,67,19,-30,9699
862,Rowlet,-7,-37,-5,-13,-21,-58,5417
863,Dartrix,3,-17,15,7,-1,-48,2877
864,Decidueye,3,15,15,37,29,-30,3569
865,Decidueye (Hisuian Decidueye),13,20,20,32,24,-40,4169
866,Litten,-30,-27,-20,-3,-31,-30,3899
867,Torracat,-10,-7,-10,17,-21,-10,1079
868,Incineroar,20,23,30,17,19,-40,4079
869,Popplio,-25,-38,-6,3,-15,-60,5939
870,Brionne,-15,-23,9,28,10,-50,4219
871,Primarina,5,-18,14,63,45,-40,8139
872,Pikipek,-40,-17,-30,-33,-41,-35,6784
873,Trumbeak,-20,-7,-10,-23,-21,-25,2144
874,Toucannon,5,28,15,12,4,-40,2794
875,Yungoos,-27,-22,-30,-33,-41,-55,7908
876,Gumshoos,13,18,0,-8,-11,-55,3703
877,Grubbin,-28,-30,-15,-8,-26,-54,5565
878,Charjabug,-18,-10,35,-8,4,-64,5825
879,Vikavolt,2,-22,30,82,4,-57,11377
880,Crabrawler,-28,-10,-3,-21,-24,-37,3279
881,Crabominable,22,40,17,-1,-4,-57,5639
882,Oricorio,0,-22,10,35,-1,-7,1859
883,Cutiefly,-35,-47,-20,-8,-31,-16,5115
884,Ribombee,-15,-37,0,32,-1,24,3195
885,Rockruff,-30,-27,-20,-33,-31,-40,5679
886,Lycanroc (Midday Form),0,23,5,-8,-6,12,798
887,Lycanroc (Midnight Form),10,23,15,-8,4,-18,1258
888,Lycanroc (Dusk Form),0,25,5,-8,-6,10,850
889,Wishiwashi (Solo Form),-30,-72,-40,-38,-46,-60,14844
890,Wishiwashi (School Form),-30,48,70,77,64,-70,23029
891,Mareanie,-25,-39,2,-20,-19,-55,5936
892,Toxapex,-25,-29,92,-10,71,-65,19296
893,Mudbray,-5,8,10,-18,-16,-55,3794
894,Mudsdale,25,33,40,-8,14,-65,7799
895,Dewpider,-37,-52,-8,-23,1,-73,9996
896,Araquanid,-7,-22,32,-13,61,-58,8811
897,Fomantis,-35,-37,-25,-13,-36,-65,8909
898,Lurantis,-5,13,30,17,19,-55,4769
899,Morelull,-35,-57,-5,2,4,-85,11744
900,Shiinotic,-15,-47,20,27,29,-70,9304
901,Salandit,-27,-48,-20,8,-31,-23,4987
902,Salazzle,-7,-28,0,48,-11,17,3547
903,Stufful,-5,-17,-10,-18,-21,-50,3679
904,Bewear,45,33,20,-8,-11,-40,5299
905,Bounsweet,-33,-62,-22,-33,-33,-68,12219
906,Steenee,-23,-52,-12,-23,-23,-38,5879
907,Tsareena,-3,28,38,-13,27,-28,3919
908,Comfey,-24,-40,30,19,39,0,4958
909,Oranguru,15,-32,20,27,39,-40,5499
910,Passimian,25,28,30,-23,-11,-20,3359
911,Wimpod,-50,-57,-20,-43,-41,-20,10079
912,Golisopod,0,33,80,-3,19,-60,11459
913,Sandygast,-20,-37,20,7,-26,-85,10119
914,Palossand,10,-17,50,37,4,-65,8499
915,Pyukumuku,-20,-32,70,-33,59,-95,19919
916,Type: Null,20,3,35,32,24,-41,4915
917,Silvally,20,3,35,32,24,-5,3259
918,Minior (Meteor Form),-15,-32,40,-3,29,-40,5299
919,Minior (Core),-15,8,0,37,-11,20,2179
920,Komala,-10,23,5,12,24,-35,2599
921,Turtonator,-15,-14,75,28,14,-64,11122
922,Togedemaru,-10,6,3,-23,2,-4,694
923,Mimikyu,-20,-2,20,-13,34,-4,2145
924,Bruxish,-7,13,10,7,-1,-8,432
925,Drampa,3,-32,25,72,20,-64,11338
926,Dhelmise,-5,39,40,23,19,-60,7636
927,Jangmo-o,-30,-37,5,-18,-26,-55,6319
928,Hakamo-o,-20,-17,30,2,-1,-35,2819
929,Kommo-o,0,18,65,37,34,-15,7299
930,Tapu Koko,-5,23,25,32,4,30,3119
931,Tapu Lele,-5,-7,15,67,44,-5,6749
932,Tapu Bulu,-5,38,55,22,24,-25,6179
933,Tapu Fini,-5,-17,55,32,59,-15,8069
934,Cosmog,-32,-63,-29,-34,-40,-63,12559
935,Cosmoem,-32,-63,71,-34,60,-63,18759
936,Solgaleo,62,45,47,50,18,-3,10911
937,Lunala,62,21,29,74,36,-3,11907
938,Nihilego,34,-39,-13,64,60,3,10551
939,Buzzwole,32,47,79,-10,-18,-21,10339
940,Pheromosa,-4,45,-23,74,-34,51,11803
941,Xurkitree,8,-3,11,110,0,-17,12583
942,Celesteela,22,9,43,44,30,-39,6771
943,Kartana,-16,89,71,-4,-40,9,14915
944,Guzzlord,148,9,-7,34,-18,-57,26763
945,Necrozma,22,15,41,64,18,-21,7251
946,Necrozma (Dusk Mane Necrozma),22,65,67,50,38,-23,13671
947,Necrozma (Dawn Wings Necrozma),22,21,49,94,56,-23,15827
948,Necrozma (Ultra Necrozma),22,75,37,104,26,29,19811
949,Magearna,5,3,55,67,44,-35,10709
950,Marshadow,15,33,20,27,19,25,3429
951,Poipole,-8,-19,7,10,-4,-27,1319
952,Naganadel,-2,-19,13,64,2,21,5075
953,Stakataka,-14,39,151,-10,30,-87,33087
954,Blacephalon,-22,35,-7,88,8,7,9615
955,Zeraora,13,20,15,39,9,43,4245
956,Meltan,-29,-27,5,-8,-36,-66,7311
957,Melmetal,60,51,83,17,-6,-66,17771
958,Grookey,-25,-27,-10,-23,-31,-35,4169
959,Thwackey,-5,-7,10,-8,-11,-20,759
960,Rillaboom,25,33,30,-3,-1,-15,2849
961,Scorbunny,-25,-21,-20,-23,-31,-31,3917
962,Raboot,-10,-6,0,-8,-11,-6,357
963,Cinderace,5,24,15,2,4,19,1207
964,Sobble,-25,-52,-20,7,-31,-30,5639
965,Drizzile,-10,-32,-5,32,-16,-10,2529
966,Inteleon,-5,-7,5,62,-6,20,4379
967,Skwovet,-5,-37,-5,-28,-36,-75,9124
968,Greedent,45,3,35,-8,4,-80,9739
969,Rookidee,-37,-45,-25,-30,-36,-43,8064
970,Corvisquire,-7,-25,-5,-20,-16,-23,1884
971,Corviknight,23,-5,45,-10,14,-33,3964
972,Blipbug,-50,-72,-40,-38,-26,-55,14429
973,Dottler,-25,-57,20,-13,19,-70,9704
974,Orbeetle,-15,-47,50,17,49,-10,7724
975,Nickit,-35,-64,-32,-16,-19,-50,9462
976,Thievul,-5,-34,-2,24,21,-10,2302
977,Gossifleur,-35,-52,0,-23,-11,-90,12679
978,Eldegoss,-15,-42,30,17,49,-40,7179
979,Wooloo,-33,-52,-5,-23,-26,-52,7727
980,Dubwool,-3,-12,40,-3,19,-12,2267
981,Chewtle,-25,-28,-10,-25,-33,-56,6359
982,Drednaw,15,23,30,-15,-3,-26,2564
983,Yamper,-16,-47,-10,-23,-21,-74,9011
984,Boltund,-6,-2,0,27,-11,21,1331
985,Rolycoly,-45,-52,-10,-23,-21,-70,10699
986,Carkol,5,-32,30,-3,-1,-50,4459
987,Coalossal,35,-12,60,17,19,-70,10519
988,Applin,-35,-52,20,-23,-31,-80,12219
989,Flapple,-5,18,20,32,-11,-30,2794
990,Appletun,35,-7,20,37,9,-70,8024
991,Silicobra,-23,-35,15,-28,-21,-54,6120
992,Sandaconda,-3,15,65,2,-1,-29,5305
993,Cramorant,-5,-7,-5,22,24,-15,1384
994,Arrokuda,-34,-29,-20,-23,-41,-34,5763
995,Barraskewda,-14,31,0,-3,-21,36,2903
996,Toxel,-35,-54,-25,-9,-36,-60,9743
997,Toxtricity,0,6,10,51,-1,-25,3363
998,Sizzlipede,-25,-27,-15,-13,-21,-55,5214
999,Centiskorch,25,23,5,27,19,-35,3494
1000,Clobbopus,-25,-24,0,-13,-21,-68,6435
1001,Grapploct,5,26,30,7,9,-58,5095
1002,Sinistea,-35,-47,-15,11,-17,-50,6569
1003,Polteageist,-15,-27,5,71,43,-30,8769
1004,Hatenna,-33,-62,-15,-7,-18,-61,9252
1005,Hattrem,-18,-52,5,23,2,-51,6187
